"","variety","number","weight","size"
"346",13,13160,224,0.017
"347",14,70,1.4,0.02
"348",16,420,4.2,0.01
"349",17,70,0.7,0.01
"350",4,282,4,0.014
"351",5,210,5,0.024
"352",6,585,14,0.024
"353",7,935,24,0.026
"354",8,259,7,0.027
"355",9,305,8,0.026
"356",11,722,15,0.021
"357",13,3937,80,0.02
"358",14,145,4,0.028
"359",1,131,2.5,0.019
"360",2,199,4,0.02
"361",4,485,6,0.012
"362",5,298,6,0.02
"363",6,1041,21,0.02
"364",7,1345,35,0.026
"365",8,555,9,0.016
"366",9,430,9,0.021
"367",10,87,1,0.011
"368",11,675,20,0.03
"369",12,632,4,0.006
"370",13,6098,114,0.019
"371",14,221,5,0.023
"372",15,27,0.5,0.019
"373",16,180,4,0.022
"374",18,27,0.5,0.019
"375",1,5,0.3,0.06
"376",2,4,0.25,0.063
"377",4,4,0.1,0.025
"378",5,5,0.2,0.04
"379",6,22,0.9,0.041
"380",7,76,3,0.039
"381",8,9,0.3,0.033
"382",9,23,1.1,0.048
"383",11,16,0.7,0.044
"384",12,3,0.1,0.033
"385",13,61,1.7,0.028
"386",14,2,0.1,0.05
"387",15,1,0.05,0.05
"388",16,2,0.1,0.05
"389",18,2,0.1,0.05
"390",1,10,0.2,0.02
"391",2,2,0.03,0.015
"392",4,4,0.05,0.013
"393",5,14,0.4,0.029
"394",6,35,0.6,0.017
"395",7,131,2,0.015
"396",8,10,0.2,0.02
"397",9,32,0.6,0.019
"398",11,16,0.2,0.013
"399",12,5,0.07,0.014
"400",13,266,3.35,0.013
"401",14,3,0.02,0.007
"402",15,1,0.03,0.03
"403",16,8,0.2,0.025
"404",18,4,0.05,0.013
"405",1,10,0.2,0.02
"406",2,9,0.15,0.017
"407",4,5,0.1,0.02
"408",5,20,0.4,0.02
"409",6,9,0.2,0.022
"410",7,98,2.15,0.022
"411",8,3,0.05,0.017
"412",9,30,0.7,0.023
"413",11,34,0.8,0.024
"414",13,136,3,0.022
"415",14,8,0.15,0.019
"416",16,6,0.1,0.017
"417",1,12,0.2,0.017
"418",2,8,0.1,0.013
"419",5,53,0.8,0.015
"420",6,40,0.6,0.015
"421",7,122,1.9,0.016
"422",8,9,0.1,0.011
"423",9,98,1.5,0.015
"424",11,50,0.9,0.018
"425",12,21,0.3,0.014
"426",13,147,2.2,0.015
"427",14,13,0.15,0.012
"428",16,65,1,0.015
"429",18,11,0.1,0.009
"430",19,4,0.05,0.013
"431",24,10,0.1,0.01
"432",5,84,1.5,0.018
"433",7,14,0.3,0.021
"434",8,3,0.04,0.013
"435",9,13,0.35,0.027
"436",10,3,0.1,0.033
"437",11,107,2,0.019
"438",12,2,0.05,0.025
"439",13,32,0.55,0.017
"440",14,2,0.06,0.03
"441",15,2,0.05,0.025
"442",5,201,3.45,0.017
"443",6,2,0.05,0.025
"444",7,46,0.75,0.016
"445",8,12,0.15,0.013
"446",9,20,0.4,0.02
"447",10,1,0.02,0.02
"448",11,90,1.6,0.018
"449",12,5,0.1,0.02
"450",13,130,1.5,0.012
"451",14,5,0.1,0.02
"452",15,1,0.03,0.03
"453",16,8,0.15,0.019
"454",19,2,0.05,0.025
"455",2,412,7,0.017
"456",4,646,10,0.015
"457",7,247,5,0.02
"458",8,304,5,0.016
"459",9,1063,26,0.024
"460",10,1463,17,0.012
"461",13,589,10,0.017
"462",16,569,20,0.035
"463",2,326,8.5,0.026
"464",4,2045,25,0.012
"465",7,171,5,0.029
"466",8,155,3,0.019
"467",9,2126,40,0.019
"468",10,506,7.5,0.015
"469",13,511,11,0.022
"470",2,763,15,0.02
"471",4,2278,32,0.014
"472",7,200,4,0.02
"473",8,116,3,0.026
"474",9,2426,48,0.02
"475",10,638,9,0.014
"476",13,576,16.5,0.029
"477",16,900,22.5,0.025
"478",2,145,4,0.028
"479",6,1787,27,0.015
"480",7,426,9,0.021
"481",8,152,4,0.026
"482",9,1553,42,0.027
"483",13,849,24,0.028
"484",16,724,14,0.019
"485",5,53,3.3,0.062
"486",6,333,20,0.06
"487",9,120,6.7,0.056
"488",11,120,6.7,0.056
"489",13,60,3.3,0.055
"490",1,600,18,0.03
"491",3,30,0.3,0.01
"492",5,720,15,0.021
"493",6,150,1.2,0.008
"494",7,60,1.2,0.02
"495",8,180,2.4,0.013
"496",9,330,0.3,0.001
"497",10,90,0.6,0.007
"498",11,1560,18,0.012
"499",13,10350,120,0.012
"500",14,30,1.3,0.043
"501",16,60,0.3,0.005
"502",17,180,1.5,0.008
"503",19,90,0.9,0.01
"504",2,1120,16.8,0.015
"505",5,40,0.8,0.02
"506",6,8200,88.8,0.011
"507",8,40,0.8,0.02
"508",9,6240,64.8,0.01
"509",10,200,2,0.01
"510",11,40,0.8,0.02
"511",13,840,8.4,0.01
"512",16,1240,56.8,0.046
"513",1,34,1,0.029
"514",5,60,1.5,0.025
"515",6,1238,18,0.015
"516",7,45,1,0.022
"517",8,153,2.5,0.016
"518",9,546,13,0.024
"519",11,110,3,0.027
"520",13,2812,50,0.018
"521",18,130,2,0.015
"522",1,40,1,0.025
"523",5,36,1,0.028
"524",6,1650,26,0.016
"525",7,24,0.5,0.021
"526",8,131,3,0.023
"527",9,720,18,0.025
"528",10,29,0.5,0.017
"529",11,154,4,0.026
"530",13,2627,74.5,0.028
"531",14,24,0.5,0.021
"532",15,36,0.5,0.014
"533",16,268,5,0.019
"534",18,95,3,0.032
"535",19,12,0.3,0.025
"536",22,28,0.2,0.007
"537",5,2,0.03,0.015
"538",6,292,3,0.01
"539",9,89,1.1,0.012
"540",10,1,0.02,0.02
"541",13,49,0.5,0.01
"542",16,22,0.3,0.014
"543",18,15,0.15,0.01
"544",1,7,0.1,0.014
"545",5,19,0.35,0.018
"546",6,37,0.35,0.009
"547",7,14,0.2,0.014
"548",8,20,0.2,0.01
"549",9,18,0.35,0.019
"550",11,21,0.3,0.014
"551",13,592,5.95,0.01
"552",16,1,0.01,0.01
"553",18,2,0.02,0.01
"554",19,7,0.15,0.021
"555",22,3,0.02,0.007
"556",1,3,0.1,0.033
"557",5,4,0.15,0.038
"558",6,7,0.2,0.029
"559",7,4,0.1,0.025
"560",8,11,0.2,0.018
"561",9,13,0.4,0.031
"562",11,19,0.7,0.037
"563",13,284,6,0.021
"564",16,1,0.03,0.03
"565",18,1,0.04,0.04
"566",19,2,0.08,0.04
"567",1,4,0.1,0.025
"568",5,9,0.2,0.022
"569",6,13,0.3,0.023
"570",7,2,0.03,0.015
"571",8,3,0.05,0.017
"572",9,18,0.4,0.022
"573",11,27,0.6,0.022
"574",13,240,5.3,0.022
"575",18,1,0.02,0.02
"576",1,15,0.2,0.013
"577",2,9,0.15,0.017
"578",5,28,0.4,0.014
"579",6,58,0.7,0.012
"580",7,5,0.1,0.02
"581",8,10,0.15,0.015
"582",9,35,0.5,0.014
"583",11,26,0.35,0.013
"584",12,3,0.05,0.017
"585",13,335,4.95,0.015
"586",14,2,0.02,0.01
"587",16,7,0.1,0.014
"588",18,13,0.2,0.015
"589",19,5,0.1,0.02
"590",22,2,0.03,0.015
"591",1,8,0.2,0.025
"592",5,7,0.2,0.029
"593",7,4,0.1,0.025
"594",8,11,0.25,0.023
"595",9,13,0.4,0.031
"596",11,19,0.7,0.037
"597",13,188,5,0.027
"598",16,3,0.1,0.033
"599",19,2,0.05,0.025
"600",1,6,0.1,0.017
"601",5,45,0.8,0.018
"602",6,7,0.2,0.029
"603",7,35,0.5,0.014
"604",8,20,0.5,0.025
"605",9,52,1,0.019
"606",11,43,0.8,0.019
"607",12,3,0.05,0.017
"608",13,290,3.3,0.011
"609",16,51,0.7,0.014
"610",18,4,0.1,0.025
"611",19,3,0.05,0.017
"612",22,5,0.1,0.02
"613",7,59,2,0.034
"614",8,94,2,0.021
"615",9,3631,70,0.019
"616",10,1779,22,0.012
"617",13,2433,50,0.021
"618",16,198,4,0.02
"619",7,99,3,0.03
"620",8,1776,32,0.018
"621",9,879,27,0.031
"622",10,309,5,0.016
"623",13,1475,25,0.017
"624",6,152,3,0.02
"625",7,166,5,0.03
"626",8,2092,36.5,0.017
"627",9,1400,35,0.025
"628",10,718,10,0.014
"629",13,1446,30,0.021
"630",16,326,7,0.021
"631",6,171,2.5,0.015
"632",6,168,3,0.018
"633",7,89,2.4,0.027
"634",7,93,2.8,0.03
"635",8,258,5,0.019
"636",8,339,6,0.018
"637",8,486,8,0.016
"638",9,169,3.7,0.022
"639",9,452,10,0.022
"640",10,63,0.8,0.013
"641",10,125,1.5,0.012
"642",13,1027,22,0.021
"643",13,1044,26,0.025
"644",13,2126,40,0.019
"645",15,19,0.3,0.016
"646",15,57,0.8,0.014
"647",16,55,1,0.018
"648",16,61,1.15,0.019
"649",18,15,0.45,0.03
"650",18,20,0.6,0.03
"651",11,3450,50,0.014
"652",2,73,0.4,0.005
"653",6,403,7.3,0.018
"654",8,1210,12.7,0.01
"655",9,880,9.2,0.01
"656",11,183,2.5,0.014
"657",13,9056,73.4,0.008
"658",16,183,3.7,0.02
"659",18,18,0.2,0.011
"660",22,37,0.2,0.005
"661",23,55,0.4,0.007
"662",1,750,15,0.02
"663",6,780,15,0.019
"664",9,750,45,0.06
"665",11,210,15,0.071
"666",13,1380,90,0.065
"667",1,200,8,0.04
"668",8,600,32,0.053
"669",13,24000,160,0.007
"670",1,44,0.8,0.018
"671",5,28,0.8,0.029
"672",6,451,6.8,0.015
"673",7,41,0.8,0.02
"674",8,536,10,0.019
"675",9,106,2.7,0.025
"676",11,208,4.5,0.022
"677",13,3255,53,0.016
"678",14,24,0.6,0.025
"679",19,44,0.5,0.011
"680",1,98,2.2,0.022
"681",5,14,0.3,0.021
"682",6,2058,33,0.016
"683",7,51,1.4,0.027
"684",8,1360,23,0.017
"685",9,244,5,0.02
"686",11,255,6.9,0.027
"687",13,9297,183,0.02
"688",14,37,1.2,0.032
"689",16,839,15.5,0.018
"690",18,45,0.8,0.018
"691",19,28,0.3,0.011
"692",20,82,2,0.024
"693",22,193,1.4,0.007
"694",5,5,0.2,0.04
"695",6,23,1.1,0.048
"696",7,16,0.7,0.044
"697",8,22,0.9,0.041
"698",9,55,1.6,0.029
"699",13,80,3.2,0.04
"700",16,9,0.3,0.033
"701",1,7,0.5,0.071
"702",4,11,0.15,0.014
"703",5,4,0.1,0.025
"704",6,200,0.7,0.004
"705",7,8,0.5,0.063
"706",8,42,0.8,0.019
"707",9,51,1,0.02
"708",11,3,0.03,0.01
"709",13,293,3.3,0.011
"710",16,53,0.8,0.015
"711",18,7,0.1,0.014
"712",19,2,0.02,0.01
"713",1,9,0.2,0.022
"714",2,27,0.7,0.026
"715",4,1,0.01,0.01
"716",5,17,0.55,0.032
"717",6,21,0.4,0.019
"718",7,8,0.15,0.019
"719",8,7,0.1,0.014
"720",9,46,0.8,0.017
"721",12,1,0.01,0.01
"722",13,247,3.1,0.013
"723",14,21,0.65,0.031
"724",16,53,1.2,0.023
"725",17,1,0.01,0.01
"726",18,12,0.11,0.009
"727",22,2,0.01,0.005
"728",2,4,0.1,0.025
"729",5,17,0.4,0.024
"730",6,54,1.3,0.024
"731",7,7,0.15,0.021
"732",8,4,0.1,0.025
"733",9,75,1.6,0.021
"734",11,11,0.2,0.018
"735",13,159,3.8,0.024
"736",14,10,0.2,0.02
"737",16,6,0.15,0.025
"738",1,5,0.1,0.02
"739",2,3,0.04,0.013
"740",5,12,0.3,0.025
"741",6,60,1.2,0.02
"742",7,15,0.2,0.013
"743",8,10,0.25,0.025
"744",9,38,0.75,0.02
"745",11,8,0.15,0.019
"746",13,280,4.2,0.015
"747",14,3,0.03,0.01
"748",16,24,0.45,0.019
"749",18,2,0.03,0.015
"750",22,4,0.1,0.025
"751",6,1701,17.5,0.01
"752",10,1496,2.5,0.002
"753",13,1059,4.5,0.004
"754",16,4127,8,0.002
"755",8,335,8,0.024
"756",9,727,12,0.017
"757",10,781,15,0.019
"758",13,1230,24,0.02
"759",2,365,36,0.099
"760",7,534,20,0.037
"761",8,622,5.5,0.009
"762",9,970,55,0.057
"763",10,1648,2,0.001
"764",13,2101,6,0.003
"765",6,810,3,0.004
"766",9,265,7,0.026
"767",16,3162,22,0.007
"768",7,154,2,0.013
"769",8,327,10,0.031
"770",9,712,5,0.007
"771",10,994,7,0.007
"772",13,1983,30,0.015
"773",6,613,48,0.078
"774",7,237,3,0.013
"775",8,391,10,0.026
"776",9,1470,1,0.001
"777",13,1692,4,0.002
"778",16,167,3,0.018
"779",4,400,1,0.003
"780",5,100,1,0.01
"781",10,200,1.5,0.008
"782",14,100,9,0.09
"783",16,200,5,0.025
"784",19,100,0.5,0.005
"785",1,200,4,0.02
"786",6,350,0.5,0.001
"787",7,50,1.5,0.03
"788",10,400,10,0.025
"789",11,3950,4,0.001
"790",13,16000,12,0.001
"791",19,550,7,0.013
"792",6,291,15,0.052
"793",8,933,6,0.006
"794",9,3208,14,0.004
"795",10,408,2,0.005
"796",11,933,1,0.001
"797",15,525,4.4,0.008
"798",16,875,7.4,0.008
"799",18,175,9.2,0.053
"800",1,31,1,0.032
"801",5,84,2.2,0.026
"802",6,278,4.4,0.016
"803",7,267,7.4,0.028
"804",8,526,9.2,0.017
"805",9,595,13.2,0.022
"806",10,153,2.4,0.016
"807",11,355,10.9,0.031
"808",13,5724,132,0.023
"809",14,47,1.3,0.028
"810",1,69,1.6,0.023
"811",3,120,1.2,0.01
"812",5,45,1,0.022
"813",6,1068,15,0.014
"814",7,255,8.1,0.032
"815",8,219,5,0.023
"816",9,584,12.2,0.021
"817",10,203,2.5,0.012
"818",11,222,7.5,0.034
"819",13,7041,149,0.021
"820",14,49,1.2,0.024
"821",22,372,2.7,0.007
"822",1,3,0.1,0.033
"823",5,7,0.2,0.029
"824",6,8,0.2,0.025
"825",7,4,0.15,0.038
"826",8,10,0.25,0.025
"827",9,12,0.4,0.033
"828",11,19,0.7,0.037
"829",13,190,5,0.026
"830",1,6,0.1,0.017
"831",5,21,0.5,0.024
"832",6,9,0.1,0.011
"833",7,10,0.35,0.035
"834",8,12,0.3,0.025
"835",9,13,0.35,0.027
"836",11,75,1.4,0.019
"837",13,201,3.8,0.019
"838",14,3,0.05,0.017
"839",22,3,0.05,0.017
"840",1,4,0.1,0.025
"841",5,14,0.3,0.021
"842",6,40,0.9,0.023
"843",7,7,0.15,0.021
"844",8,10,0.2,0.02
"845",9,54,1.2,0.022
"846",11,31,0.7,0.023
"847",13,160,3.45,0.022
"848",1,15,0.2,0.013
"849",5,27,0.4,0.015
"850",6,69,1,0.014
"851",7,15,0.25,0.017
"852",8,19,0.3,0.016
"853",9,41,0.7,0.017
"854",11,50,0.8,0.016
"855",12,4,0.05,0.013
"856",13,223,3.6,0.016
"857",14,9,0.1,0.011
"858",16,25,0.4,0.016
"859",18,10,0.15,0.015
"860",22,5,0.05,0.01
"861",1,5,0.1,0.02
"862",6,4,0.1,0.025
"863",7,9,0.2,0.022
"864",8,13,0.3,0.023
"865",9,18,0.4,0.022
"866",11,26,0.6,0.023
"867",13,230,5,0.022
"868",1,3,0.05,0.017
"869",5,10,0.2,0.02
"870",6,7,0.1,0.014
"871",7,10,0.15,0.015
"872",8,17,0.3,0.018
"873",9,6,0.1,0.017
"874",11,38,0.75,0.02
"875",12,3,0.05,0.017
"876",13,134,3,0.022
