"","ENV","GEN","YLD"
"140",3,40,76.486667
"141",3,41,65.33
"142",3,42,77.516667
"143",3,43,90.433333
"144",3,44,79.436667
"145",3,45,72.843333
"146",3,46,58.09
"147",3,47,70.513333
"148",3,48,74.076667
"149",3,49,61.64
"150",3,50,77.326667
"151",4,1,77.053333
"152",4,2,64.486667
"153",4,3,57.06
"154",4,4,88.266667
"155",4,5,59.136667
"156",4,6,100.513333
"157",4,7,96.8
"158",4,8,82.776667
"159",4,9,126.08
"160",4,10,99.303333
"161",4,11,93.996667
"162",4,12,105.096667
"163",4,13,115.903333
"164",4,14,125.923333
"165",4,15,103.663333
"166",4,16,100.566667
"167",4,17,83.683333
"168",4,18,83.28
"169",4,19,98.24
"170",4,20,56.983333
"171",4,21,108.853333
"172",4,22,98.926667
"173",4,23,79.62
"174",4,24,93.376667
"175",4,25,81.486667
"176",4,26,86.38
"177",4,27,108.546667
"178",4,28,119.466667
"179",4,29,108.406667
"180",4,30,126.466667
"181",4,31,87.7
"182",4,32,93.793333
"183",4,33,97.543333
"184",4,34,117.64
"185",4,35,84.62
"186",4,36,90.733333
"187",4,37,98.923333
"188",4,38,101
"189",4,39,100.316667
"190",4,40,100.996667
"191",4,41,84.173333
"192",4,42,98.856667
"193",4,43,101.753333
"194",4,44,86.796667
"195",4,45,99.4
"196",4,46,77.476667
"197",4,47,104.583333
"198",4,48,94.516667
"199",4,49,80.753333
"200",4,50,85.18
"201",5,1,28.94
"202",5,2,27.71
"203",5,3,28.566667
"204",5,4,33.336667
"205",5,5,23.396667
"206",5,6,31.123333
"207",5,7,34.083333
"208",5,8,29.486667
"209",5,9,35.07
"210",5,10,26.006667
"211",5,11,35.863333
"212",5,12,34.256667
"213",5,13,26.973333
"214",5,14,31.506667
"215",5,15,30.186667
"216",5,16,39.466667
"217",5,17,29.793333
"218",5,18,48.006667
"219",5,19,34.51
"220",5,20,37.496667
"221",5,21,32.76
"222",5,22,30.746667
"223",5,23,33.333333
"224",5,24,31.64
"225",5,25,35.246667
"226",5,26,26.933333
"227",5,27,37.036667
"228",5,28,38.533333
"229",5,29,28.276667
"230",5,30,28.706667
"231",5,31,30.38
"232",5,32,38.3
"233",5,33,29.166667
"234",5,34,29.3
"235",5,35,32.86
"236",5,36,32.3
"237",5,37,36.38
"238",5,38,33.983333
"239",5,39,35.803333
"240",5,40,31.686667
"241",5,41,36.683333
"242",5,42,36.016667
"243",5,43,37.49
"244",5,44,39.443333
"245",5,45,39.74
"246",5,46,29.25
"247",5,47,28.91
"248",5,48,33.963333
"249",5,49,35.566667
"250",5,50,26.77
