"","cultivar","replication","comas","oxapampa"
"48","SantaAna","I",0.534,0.609
"49","Tacna","I",0.669,0.74
"50","Tahuaquea","I",0.725,0.669
"51","TIBISAY","I",0.14,0.695
"52","Tubira","I",0.555,0.7
"53","UNICA","I",0.433,0.635
"54","Victoria","I",0.234,0.224
"55","Yana","I",0.564,0.728
"56","Yayla-Kizi","I",0.71,0.62
"57","Amarilis-INIA","II",0.596,0.652
"58","Andinita","II",0.357,0.688
"59","Atahualpa","II",0.498,0.63
"60","Baseko","II",0.334,0.598
"61","BIRRIS","II",0.499,0.68
"62","C91-906-(Primavera)","II",0.236,0.435
"63","Canchan-INIA","II",0.646,0.694
"64","Chagllina-INIA","II",0.555,0.632
"65","Chamak","II",0.706,0.747
"66","Chata-Roja","II",0.42,0.642
"67","Costanera","II",0.706,0.724
"68","CRUZA-148","II",0.164,0.547
"69","Dheera","II",0.57,0.695
"70","Enfula","II",0.062,0.641
"71","FLS-5-(Raniag)","II",0.663,0.611
"72","Gikungu","II",0.293,0.547
"73","Heera","II",0.734,0.743
"74","ICA-Zipa","II",0.489,0.676
"75","Idiafrit","II",0.39,0.618
"76","IDIAP-92","II",0.305,0.35
"77","Ingabire","II",0.346,0.612
"78","INIA-301","II",0.293,0.667
"79","INIAP-FRIPAPA","II",0.356,0.673
"80","INIAPMargarita","II",0.283,0.635
"81","IRA-92","II",0.541,0.632
"82","Jubile","II",0.537,0.725
"83","Kigega","II",0.162,0.582
"84","Kinga","II",0.67,0.724
"85","Kinigi","II",0.177,0.66
"86","Kisoro","II",0.269,0.261
"87","Kori-INIA","II",0.28,0.648
"88","LB-(AWASH)","II",0.524,0.716
"89","LB-III-(PRECODEPA)","II",0.353,0.717
"90","LBr-40","II",0.011,0.019
"91","LB-VII-(Chaposa)","II",0.359,0.617
"92","LT-5","II",0.559,0.536
"93","Maria-Bonita-INIA","II",0.505,0.465
"94","MariaHuanca","II",0.729,0.656
"95","Maria-Tambena","II",0.557,0.575
"96","MF-IxTPS-13(CIP-SURAJ)","II",0.5,0.62
"97","Muruta","II",0.445,0.649
"98","Muziranzara","II",0.035,0.259
"99","P-9","II",0.377,0.706
"100","Perricholi","II",0.541,0.728
"101","PIMPERNEL","II",0.583,0.679
"102","REICHE","II",0.596,0.786
"103","Rukinzo","II",0.328,0.118
"104","SantaAna","II",0.655,0.649
"105","Tacna","II",0.689,0.743
"106","Tahuaquea","II",0.704,0.719
"107","TIBISAY","II",0.203,0.68
"108","Tubira","II",0.642,0.679
"109","UNICA","II",0.515,0.644
"110","Victoria","II",0.461,0.241
"111","Yana","II",0.781,0.722
"112","Yayla-Kizi","II",0.725,0.722
"113","Amarilis-INIA","III",0.641,0.607
"114","Andinita","III",0.4,0.65
"115","Atahualpa","III",0.6,0.606
"116","Baseko","III",0.323,0.475
"117","BIRRIS","III",0.576,0.683
"118","C91-906-(Primavera)","III",0.332,0.641
"119","Canchan-INIA","III",0.732,0.662
"120","Chagllina-INIA","III",0.57,0.588
"121","Chamak","III",0.711,0.682
"122","Chata-Roja","III",0.386,0.63
"123","Costanera","III",0.688,0.773
"124","CRUZA-148","III",0.194,0.524
"125","Dheera","III",0.62,0.652
"126","Enfula","III",0.202,0.598
"127","FLS-5-(Raniag)","III",0.632,0.564
"128","Gikungu","III",0.271,0.516
"129","Heera","III",0.776,0.722
"130","ICA-Zipa","III",0.534,0.65
"131","Idiafrit","III",0.56,0.595
"132","IDIAP-92","III",0,0.244
"133","Ingabire","III",0.227,0.574
"134","INIA-301","III",0.345,0.627
"135","INIAP-FRIPAPA","III",0.507,0.594
"136","INIAPMargarita","III",0.326,0.621
"137","IRA-92","III",0.578,0.629
"138","Jubile","III",0.555,0.722
"139","Kigega","III",0.249,0.434
"140","Kinga","III",0.725,0.704
"141","Kinigi","III",0.285,0.595
"142","Kisoro","III",0.264,0.137
"143","Kori-INIA","III",0.248,0.615
"144","LB-(AWASH)","III",0,0.684
"145","LB-III-(PRECODEPA)","III",0.512,0.678
"146","LBr-40","III",0.011,0.031
"147","LB-VII-(Chaposa)","III",0.328,0.54
"148","LT-5","III",0.64,0.207
"149","Maria-Bonita-INIA","III",0.505,0.437
"150","MariaHuanca","III",0.724,0.694
"151","Maria-Tambena","III",0.541,0.605
"152","MF-IxTPS-13(CIP-SURAJ)","III",0.428,0.677
"153","Muruta","III",0.43,0.605
"154","Muziranzara","III",0.019,0.094
"155","P-9","III",0.364,0.623
"156","Perricholi","III",0,0.627
"157","PIMPERNEL","III",0.639,0.654
"158","REICHE","III",0.596,0.685
"159","Rukinzo","III",0.383,0.109
"160","SantaAna","III",0.56,0.602
"161","Tacna","III",0.641,0.722
"162","Tahuaquea","III",0.736,0.676
"163","TIBISAY","III",0.225,0.642
"164","Tubira","III",0.593,0.616
"165","UNICA","III",0.49,0.616
"166","Victoria","III",0.424,0.165
"167","Yana","III",0,0.744
"168","Yayla-Kizi","III",0.72,0.668
