"","date","plot","Treatment","Orden","Family","Number.of.specimens"
"82","17-11-05","PARACSHO","SIN","HEMIPTERA","ANTHOCORIDAE",1
"83","17-11-05","PARACSHO","SIN","DIPTERA","TACHINIDAE",16
"84","17-11-05","PARACSHO","SIN","DIPTERA","ANTHOCORIDAE",3
"85","17-11-05","PARACSHO","SIN","DIPTERA","SCATOPHAGIDAE",5
"86","17-11-05","PARACSHO","SIN","DIPTERA","SYRPHIDAE",1
"87","17-11-05","PARACSHO","SIN","DIPTERA","MUSCIDAE",3
"88","15-12-05","PARACSHO","CON","LEPIDOPTERA","NOCTUIDAE",12
"89","15-12-05","PARACSHO","CON","DIPTERA","TIPULIDAE",3
"90","15-12-05","PARACSHO","CON","HYMENOPTERA","ICHNEUMONIDAE",3
"91","15-12-05","PARACSHO","CON","DIPTERA","ANTHOMYIIDAE",6
"92","15-12-05","PARACSHO","CON","DIPTERA","SCATOPHOGIDAE",3
"93","15-12-05","PARACSHO","CON","DIPTERA","MUSICADAE",2
"94","15-12-05","PARACSHO","CON","HYMENOPTERA","BRACONIDAE",1
"95","15-12-05","PARACSHO","SIN","DIPTERA","TIPULIDAE",4
"96","15-12-05","PARACSHO","SIN","HYMENOPTERA","ICHNEUMONIDAE",4
"97","15-12-05","PARACSHO","SIN","DIPTERA","TACHINIDAE",10
"98","15-12-05","PARACSHO","SIN","DIPTERA","ANTHOMYIIDAE",30
"99","15-12-05","PARACSHO","SIN","DIPTERA","SCATOPHAGIDAE",6
"100","15-12-05","PARACSHO","SIN","LEPIDOPTERA","PYRALIDAE",10
"101","15-12-05","PARACSHO","SIN","HEMIPTERA","CICADELLIDAE",3
"102","15-12-05","PARACSHO","SIN","HYMENOPTERA","BRACONIDAE",1
"103","15-12-05","PARACSHO","SIN","DIPTERA","SCIARIDAE",2
"104","15-12-05","PARACSHO","SIN","DIPTERA","MUSICADAE",6
"105","15-12-05","PARACSHO","SIN","LEPIDOPTERA","NOCTUIDAE",2
"106","15-12-05","PARACSHO","SIN","DIPTERA","CECIDOMYIDAE",2
"107","15-12-05","PARACSHO","SIN","COLEOPTERA","CHRYOMELIDAE",1
"108","15-12-05","PARACSHO","SIN","DIPTERA","SYRPHIDAE",2
"109","15-12-05","PARACSHO","SIN","DIPTERA","AGROMYZIDAE",1
"110","15-12-05","PARACSHO","SIN","HEMIPTERA","MIRIDAE",1
