"","Genotype","Locality","Rep","WeightPlant","WeightPlot","Yield"
"90","163.9","LM-02",1,1.1,9.9,36.6666666666667
"91","221.19","LM-02",1,0.89,8.9,32.962962962963
"92","233.11","LM-02",1,0.78,7.8,28.8888888888889
"93","235.6","LM-02",1,1.18,11.8,43.7037037037037
"94","241.2","LM-02",1,1.05,10.5,38.8888888888889
"95","255.7","LM-02",1,1.004,10.04,37.1851851851852
"96","314.12","LM-02",1,0.945,9.45,35
"97","317.6","LM-02",1,1.28,12.8,47.4074074074074
"98","319.20","LM-02",1,1.185,11.85,43.8888888888889
"99","320.16","LM-02",1,0.808,8.08,29.9259259259259
"100","342.15","LM-02",1,0.88,8.8,32.5925925925926
"101","346.2","LM-02",1,0.902,9.02,33.4074074074074
"102","351.26","LM-02",1,0.75,7.5,27.7777777777778
"103","364.21","LM-02",1,1.105,11.05,40.9259259259259
"104","402.7","LM-02",1,0.97,9.7,35.9259259259259
"105","405.2","LM-02",1,0.91,9.1,33.7037037037037
"106","406.12","LM-02",1,1.47142857142857,10.3,38.1481481481481
"107","427.7","LM-02",1,1.25,12.5,46.2962962962963
"108","450.3","LM-02",1,1.02,10.2,37.7777777777778
"109","506.2","LM-02",1,1.42,14.2,52.5925925925926
"110","Canchan","LM-02",1,0.6,6,22.2222222222222
"111","Desiree","LM-02",1,0.533333333333333,4.8,17.7777777777778
"112","Unica","LM-02",1,1.5,15,55.5555555555556
"113","102.18","LM-02",2,0.888888888888889,8,29.6296296296296
"114","104.22","LM-02",2,1.085,10.85,40.1851851851852
"115","121.31","LM-02",2,0.87,8.7,32.2222222222222
"116","141.28","LM-02",2,1.21,12.1,44.8148148148148
"117","157.26","LM-02",2,1.25,12.5,46.2962962962963
"118","163.9","LM-02",2,0.91,9.1,33.7037037037037
"119","221.19","LM-02",2,0.713,7.13,26.4074074074074
"120","233.11","LM-02",2,0.65,6.5,24.0740740740741
"121","235.6","LM-02",2,1.13,11.3,41.8518518518519
"122","241.2","LM-02",2,0.915,9.15,33.8888888888889
"123","255.7","LM-02",2,0.838,8.38,31.037037037037
"124","314.12","LM-02",2,1.015,10.15,37.5925925925926
"125","317.6","LM-02",2,1.02,10.2,37.7777777777778
"126","319.20","LM-02",2,0.885,8.85,32.7777777777778
"127","320.16","LM-02",2,1,10,37.037037037037
"128","342.15","LM-02",2,0.82,8.2,30.3703703703704
"129","346.2","LM-02",2,0.77,7.7,28.5185185185185
"130","351.26","LM-02",2,0.88,8.8,32.5925925925926
"131","364.21","LM-02",2,1.08,10.8,40
"132","402.7","LM-02",2,0.9,9,33.3333333333333
"133","405.2","LM-02",2,0.83,8.3,30.7407407407407
"134","406.12","LM-02",2,1.02,10.2,37.7777777777778
"135","427.7","LM-02",2,1.205,12.05,44.6296296296296
"136","450.3","LM-02",2,1.17,11.7,43.3333333333333
"137","506.2","LM-02",2,1.185,11.85,43.8888888888889
"138","Canchan","LM-02",2,0.66,6.6,24.4444444444444
"139","Desiree","LM-02",2,0.59,5.9,21.8518518518519
"140","Unica","LM-02",2,1.325,13.25,49.0740740740741
"141","102.18","LM-02",3,0.81,8.1,30
"142","104.22","LM-02",3,1.105,11.05,40.9259259259259
"143","121.31","LM-02",3,1.18,11.8,43.7037037037037
"144","141.28","LM-02",3,0.58,5.8,21.4814814814815
"145","157.26","LM-02",3,1.238,12.38,45.8518518518518
"146","163.9","LM-02",3,0.44,4.4,16.2962962962963
"147","221.19","LM-02",3,0.91,9.1,33.7037037037037
"148","233.11","LM-02",3,0.935,9.35,34.6296296296296
"149","235.6","LM-02",3,0.96,9.6,35.5555555555556
"150","241.2","LM-02",3,0.93,9.3,34.4444444444444
"151","255.7","LM-02",3,0.805,8.05,29.8148148148148
"152","314.12","LM-02",3,0.835,8.35,30.9259259259259
"153","317.6","LM-02",3,1.13,11.3,41.8518518518519
"154","319.20","LM-02",3,0.6,6,22.2222222222222
"155","320.16","LM-02",3,1.05,10.5,38.8888888888889
"156","342.15","LM-02",3,0.53,5.3,19.6296296296296
"157","346.2","LM-02",3,0.442222222222222,3.98,14.7407407407407
"158","351.26","LM-02",3,0.74,7.4,27.4074074074074
"159","364.21","LM-02",3,0.885,8.85,32.7777777777778
"160","402.7","LM-02",3,0.66,6.6,24.4444444444444
"161","405.2","LM-02",3,0.88,8.8,32.5925925925926
"162","406.12","LM-02",3,1.01,10.1,37.4074074074074
"163","427.7","LM-02",3,1.27222222222222,11.45,42.4074074074074
"164","450.3","LM-02",3,0.798,7.98,29.5555555555556
"165","506.2","LM-02",3,1.085,10.85,40.1851851851852
"166","Canchan","LM-02",3,0.49,4.9,18.1481481481481
"167","Desiree","LM-02",3,0.58,5.8,21.4814814814815
"168","Unica","LM-02",3,1.05,10.5,38.8888888888889
"169","102.18","SR-02",1,0.325,3.25,12.037037037037
"170","104.22","SR-02",1,0.47,4.7,17.4074074074074
"171","121.31","SR-02",1,0.12,0.6,2.22222222222222
"172","141.28","SR-02",1,0.36,3.6,13.3333333333333
"173","157.26","SR-02",1,0.4,4,14.8148148148148
"174","163.9","SR-02",1,0.511111111111111,4.6,17.037037037037
"175","221.19","SR-02",1,0.142,1.42,5.25925925925926
"176","233.11","SR-02",1,0.394444444444444,3.55,13.1481481481481
"177","235.6","SR-02",1,0.415,4.15,15.3703703703704
"178","241.2","SR-02",1,0.308,3.08,11.4074074074074
"179","255.7","SR-02",1,0.484,4.84,17.9259259259259
"180","314.12","SR-02",1,0.096,0.96,3.55555555555555
"181","317.6","SR-02",1,0.355555555555556,3.2,11.8518518518519
"182","319.20","SR-02",1,0.598,5.98,22.1481481481481
"183","320.16","SR-02",1,0.34,3.4,12.5925925925926
"184","342.15","SR-02",1,0.54,5.4,20
"185","346.2","SR-02",1,0.45,4.5,16.6666666666667
"186","351.26","SR-02",1,0.58,5.8,21.4814814814815
"187","364.21","SR-02",1,0.39,3.9,14.4444444444444
"188","402.7","SR-02",1,0.41,4.1,15.1851851851852
"189","405.2","SR-02",1,0.45,4.5,16.6666666666667
"190","406.12","SR-02",1,0.35,3.5,12.962962962963
"191","427.7","SR-02",1,0.51,5.1,18.8888888888889
"192","450.3","SR-02",1,0.31,3.1,11.4814814814815
"193","506.2","SR-02",1,0.55,5.5,20.3703703703704
"194","Canchan","SR-02",1,0.18,1.8,6.66666666666667
"195","Desiree","SR-02",1,0.283333333333333,2.55,9.44444444444444
"196","Unica","SR-02",1,0.55,5.5,20.3703703703704
"197","102.18","SR-02",2,0.4,3.6,13.3333333333333
"198","104.22","SR-02",2,0.38,3.8,14.0740740740741
"199","121.31","SR-02",2,0.25,0.75,2.77777777777778
"200","141.28","SR-02",2,0.508,5.08,18.8148148148148
"201","157.26","SR-02",2,0.82,8.2,30.3703703703704
"202","163.9","SR-02",2,0.27,2.7,10
"203","221.19","SR-02",2,0.23,2.3,8.51851851851852
"204","233.11","SR-02",2,0.288888888888889,2.6,9.62962962962963
"205","235.6","SR-02",2,0.51,5.1,18.8888888888889
"206","241.2","SR-02",2,0.37,3.7,13.7037037037037
"207","255.7","SR-02",2,0.52,5.2,19.2592592592593
"208","314.12","SR-02",2,0.45,4.5,16.6666666666667
"209","317.6","SR-02",2,0.33,3.3,12.2222222222222
"210","319.20","SR-02",2,0.66,6.6,24.4444444444444
"211","320.16","SR-02",2,0.454,4.54,16.8148148148148
"212","342.15","SR-02",2,0.561111111111111,5.05,18.7037037037037
"213","346.2","SR-02",2,0.52,5.2,19.2592592592593
"214","351.26","SR-02",2,0.55,5.5,20.3703703703704
"215","364.21","SR-02",2,0.265,2.65,9.81481481481481
"216","402.7","SR-02",2,0.32,3.2,11.8518518518519
"217","405.2","SR-02",2,0.43,4.3,15.9259259259259
"218","406.12","SR-02",2,0.35,3.5,12.962962962963
"219","427.7","SR-02",2,0.55,5.5,20.3703703703704
"220","450.3","SR-02",2,0.43,4.3,15.9259259259259
"221","506.2","SR-02",2,0.51,5.1,18.8888888888889
"222","Canchan","SR-02",2,0.19,1.9,7.03703703703704
"223","Desiree","SR-02",2,0.21,2.1,7.77777777777778
"224","Unica","SR-02",2,0.468,4.68,17.3333333333333
"225","102.18","SR-02",3,0.41,4.1,15.1851851851852
"226","104.22","SR-02",3,0.45,4.5,16.6666666666667
"227","121.31","SR-02",3,0.19,0.68,2.5
"228","141.28","SR-02",3,0.69,6.9,25.5555555555556
"229","157.26","SR-02",3,0.72,7.2,26.6666666666667
"230","163.9","SR-02",3,0.333333333333333,3,11.1111111111111
"231","221.19","SR-02",3,0.32,3.2,11.8518518518519
"232","233.11","SR-02",3,0.45,4.5,16.6666666666667
"233","235.6","SR-02",3,0.274,2.74,10.1481481481481
"234","241.2","SR-02",3,0.244444444444444,2.2,8.14814814814815
"235","255.7","SR-02",3,0.55,5.5,20.3703703703704
"236","314.12","SR-02",3,0.145,1.45,5.37037037037037
"237","317.6","SR-02",3,0.55,5.5,20.3703703703704
"238","319.20","SR-02",3,0.46,4.6,17.037037037037
"239","320.16","SR-02",3,0.344444444444444,3.1,11.4814814814815
"240","342.15","SR-02",3,0.38,3.8,14.0740740740741
"241","346.2","SR-02",3,0.49,4.9,18.1481481481481
"242","351.26","SR-02",3,0.52,5.2,19.2592592592593
"243","364.21","SR-02",3,0.44,4.4,16.2962962962963
"244","402.7","SR-02",3,0.31,3.1,11.4814814814815
"245","405.2","SR-02",3,0.48,4.8,17.7777777777778
"246","406.12","SR-02",3,0.42,4.2,15.5555555555556
"247","427.7","SR-02",3,0.66,6.6,24.4444444444444
"248","450.3","SR-02",3,0.51,5.1,18.8888888888889
"249","506.2","SR-02",3,0.41,4.1,15.1851851851852
"250","Canchan","SR-02",3,0.41,4.1,15.1851851851852
"251","Desiree","SR-02",3,0.388888888888889,3.5,12.962962962963
"252","Unica","SR-02",3,0.46,4.6,17.037037037037
"253","102.18","Hyo-02",1,0.47,4.7,17.4074074074074
"254","104.22","Hyo-02",1,1.46,14.6,54.0740740740741
"255","121.31","Hyo-02",1,0.84,8.4,31.1111111111111
"256","141.28","Hyo-02",1,1.745,17.45,64.6296296296296
"257","157.26","Hyo-02",1,1.345,13.45,49.8148148148148
"258","163.9","Hyo-02",1,0.745,7.45,27.5925925925926
"259","221.19","Hyo-02",1,0.77,7.7,28.5185185185185
"260","233.11","Hyo-02",1,1.47,14.7,54.4444444444444
"261","235.6","Hyo-02",1,1.92,19.2,71.1111111111111
"262","241.2","Hyo-02",1,0.87,8.7,32.2222222222222
"263","255.7","Hyo-02",1,1.2,12,44.4444444444444
"264","314.12","Hyo-02",1,1.595,15.95,59.0740740740741
"265","317.6","Hyo-02",1,1.335,13.35,49.4444444444444
"266","319.20","Hyo-02",1,1.28,12.8,47.4074074074074
"267","320.16","Hyo-02",1,0.75,7.5,27.7777777777778
"268","342.15","Hyo-02",1,0.91,9.1,33.7037037037037
"269","346.2","Hyo-02",1,0.915,9.15,33.8888888888889
"270","351.26","Hyo-02",1,1.1,11,40.7407407407407
"271","364.21","Hyo-02",1,1.45,14.5,53.7037037037037
"272","402.7","Hyo-02",1,0.93,9.3,34.4444444444444
"273","405.2","Hyo-02",1,0.675,6.75,25
"274","406.12","Hyo-02",1,1.71,17.1,63.3333333333333
"275","427.7","Hyo-02",1,1.33,13.3,49.2592592592593
"276","450.3","Hyo-02",1,1.65,16.5,61.1111111111111
"277","506.2","Hyo-02",1,1.205,12.05,44.6296296296296
"278","Canchan","Hyo-02",1,1.34,13.4,49.6296296296296
"279","Desiree","Hyo-02",1,0.36,3.6,13.3333333333333
"280","Unica","Hyo-02",1,1.65,16.5,61.1111111111111
"281","102.18","Hyo-02",2,1.09,10.9,40.3703703703704
"282","104.22","Hyo-02",2,1.43,14.3,52.962962962963
"283","121.31","Hyo-02",2,1.39,13.9,51.4814814814815
"284","141.28","Hyo-02",2,1.52,15.2,56.2962962962963
"285","157.26","Hyo-02",2,0.89,8.9,32.962962962963
"286","163.9","Hyo-02",2,0.85,8.5,31.4814814814815
"287","221.19","Hyo-02",2,0.96,9.6,35.5555555555556
"288","233.11","Hyo-02",2,1.26,12.6,46.6666666666667
"289","235.6","Hyo-02",2,2.05,20.5,75.9259259259259
"290","241.2","Hyo-02",2,1.075,10.75,39.8148148148148
"291","255.7","Hyo-02",2,1.34,13.4,49.6296296296296
"292","314.12","Hyo-02",2,1.075,10.75,39.8148148148148
"293","317.6","Hyo-02",2,1.55,15.5,57.4074074074074
"294","319.20","Hyo-02",2,1.78,17.8,65.9259259259259
"295","320.16","Hyo-02",2,0.93,9.3,34.4444444444444
"296","342.15","Hyo-02",2,1.29,12.9,47.7777777777778
"297","346.2","Hyo-02",2,0.85,8.5,31.4814814814815
"298","351.26","Hyo-02",2,1.61,16.1,59.6296296296296
"299","364.21","Hyo-02",2,1.38,13.8,51.1111111111111
"300","402.7","Hyo-02",2,1.365,13.65,50.5555555555556
"301","405.2","Hyo-02",2,1.255,12.55,46.4814814814815
"302","406.12","Hyo-02",2,1.52,15.2,56.2962962962963
"303","427.7","Hyo-02",2,1.675,16.75,62.037037037037
"304","450.3","Hyo-02",2,1.06,10.6,39.2592592592593
"305","506.2","Hyo-02",2,1.32,13.2,48.8888888888889
"306","Canchan","Hyo-02",2,1.24,12.4,45.9259259259259
"307","Desiree","Hyo-02",2,0.12,1.2,4.44444444444444
"308","Unica","Hyo-02",2,2.25,22.5,83.3333333333333
"309","102.18","Hyo-02",3,0.78,7.8,28.8888888888889
"310","104.22","Hyo-02",3,1.445,14.45,53.5185185185185
"311","121.31","Hyo-02",3,1.115,11.15,41.2962962962963
"312","141.28","Hyo-02",3,1.6325,16.325,60.462962962963
"313","157.26","Hyo-02",3,1.1175,11.175,41.3888888888889
"314","163.9","Hyo-02",3,0.7975,7.975,29.537037037037
"315","221.19","Hyo-02",3,0.865,8.65,32.037037037037
"316","233.11","Hyo-02",3,1.365,13.65,50.5555555555556
"317","235.6","Hyo-02",3,1.985,19.85,73.5185185185185
"318","241.2","Hyo-02",3,0.9725,9.725,36.0185185185185
"319","255.7","Hyo-02",3,1.27,12.7,47.037037037037
"320","314.12","Hyo-02",3,1.335,13.35,49.4444444444444
"321","317.6","Hyo-02",3,1.4425,14.425,53.4259259259259
"322","319.20","Hyo-02",3,1.53,15.3,56.6666666666667
"323","320.16","Hyo-02",3,0.84,8.4,31.1111111111111
"324","342.15","Hyo-02",3,1.1,11,40.7407407407407
"325","346.2","Hyo-02",3,0.8825,8.825,32.6851851851852
"326","351.26","Hyo-02",3,1.355,13.55,50.1851851851852
"327","364.21","Hyo-02",3,1.415,14.15,52.4074074074074
"328","402.7","Hyo-02",3,1.1475,11.475,42.5
"329","405.2","Hyo-02",3,0.965,9.65,35.7407407407407
"330","406.12","Hyo-02",3,1.615,16.15,59.8148148148148
"331","427.7","Hyo-02",3,1.5025,15.025,55.6481481481481
"332","450.3","Hyo-02",3,1.355,13.55,50.1851851851852
"333","506.2","Hyo-02",3,1.2625,12.625,46.7592592592593
"334","Canchan","Hyo-02",3,1.29,12.9,47.7777777777778
"335","Desiree","Hyo-02",3,0.24,2.4,8.88888888888889
"336","Unica","Hyo-02",3,1.95,19.5,72.2222222222222
"337","102.18","LM-03",1,1.369,13.69,50.7037037037037
"338","104.22","LM-03",1,1.116,11.16,41.3333333333333
"339","121.31","LM-03",1,1.524,15.24,56.4444444444444
"340","141.28","LM-03",1,1.881,18.81,69.6666666666667
"341","157.26","LM-03",1,1.92405,19.2405,71.2611111111111
"342","163.9","LM-03",1,0.738833333333333,6.6495,27.3641975308642
"343","221.19","LM-03",1,1.25666666666667,11.31,46.5432098765432
"344","233.11","LM-03",1,1.098,10.98,40.6666666666667
"345","235.6","LM-03",1,1.617,16.17,59.8888888888889
"346","241.2","LM-03",1,1.2,12,44.4444444444444
"347","255.7","LM-03",1,1.1461875,9.1695,42.4513888888889
"348","314.12","LM-03",1,1.45625,11.65,53.9351851851852
"349","317.6","LM-03",1,1.929,19.29,71.4444444444444
"350","319.20","LM-03",1,2.224,22.24,82.3703703703704
"351","320.16","LM-03",1,1.245,12.45,46.1111111111111
"352","342.15","LM-03",1,1.0619375,8.4955,39.3310185185185
"353","346.2","LM-03",1,0.829,8.29,30.7037037037037
"354","351.26","LM-03",1,1.764,17.64,65.3333333333333
"355","364.21","LM-03",1,1.17333333333333,10.56,43.4567901234568
"356","402.7","LM-03",1,1.565,15.65,57.962962962963
"357","405.2","LM-03",1,1.255,12.55,46.4814814814815
"358","406.12","LM-03",1,1.17,11.7,43.3333333333333
"359","427.7","LM-03",1,1.793,17.93,66.4074074074074
"360","450.3","LM-03",1,1.1824,11.824,43.7925925925926
"361","506.2","LM-03",1,1.544,15.44,57.1851851851852
"362","Canchan","LM-03",1,1.3495,13.495,49.9814814814815
"363","Desiree","LM-03",1,0.71,6.39,26.2962962962963
"364","Unica","LM-03",1,1.3992,13.992,51.8222222222222
"365","102.18","LM-03",2,1.26,12.6,46.6666666666667
"366","104.22","LM-03",2,1.48888888888889,13.4,55.1440329218107
"367","121.31","LM-03",2,1.731,17.31,64.1111111111111
"368","141.28","LM-03",2,2.454,24.54,90.8888888888889
"369","157.26","LM-03",2,2.25877777777778,20.329,83.6584362139918
"370","163.9","LM-03",2,0.8,8,29.6296296296296
"371","221.19","LM-03",2,0.915,9.15,33.8888888888889
"372","233.11","LM-03",2,1.546,15.46,57.2592592592593
"373","235.6","LM-03",2,1.57,15.7,58.1481481481481
"374","241.2","LM-03",2,1.281,12.81,47.4444444444444
"375","255.7","LM-03",2,1.024,10.24,37.9259259259259
"376","314.12","LM-03",2,1.86666666666667,5.6,69.1358024691358
"377","317.6","LM-03",2,1.578,15.78,58.4444444444444
"378","319.20","LM-03",2,2.68245,26.8245,99.35
"379","320.16","LM-03",2,1.2805,12.805,47.4259259259259
"380","342.15","LM-03",2,0.888888888888889,8,32.9218106995885
"381","346.2","LM-03",2,0.916,9.16,33.9259259259259
"382","351.26","LM-03",2,2.32495,23.2495,86.1092592592593
"383","364.21","LM-03",2,1.8,18,66.6666666666667
"384","402.7","LM-03",2,1.256,12.56,46.5185185185185
"385","405.2","LM-03",2,0.834,8.34,30.8888888888889
"386","406.12","LM-03",2,1.73666666666667,15.63,64.320987654321
"387","427.7","LM-03",2,1.18222222222222,10.64,43.7860082304527
"388","450.3","LM-03",2,2.0192,20.192,74.7851851851852
"389","506.2","LM-03",2,1.227,12.27,45.4444444444444
"390","Canchan","LM-03",2,1.5845,15.845,58.6851851851852
"391","Desiree","LM-03",2,0.835625,6.685,30.9490740740741
"392","Unica","LM-03",2,1.63115,16.3115,60.412962962963
"393","102.18","LM-03",3,1.16,11.6,42.962962962963
"394","104.22","LM-03",3,1.479,14.79,54.7777777777778
"395","121.31","LM-03",3,1.905,19.05,70.5555555555556
"396","141.28","LM-03",3,1.948,19.48,72.1481481481482
"397","157.26","LM-03",3,2.053,20.53,76.037037037037
"398","163.9","LM-03",3,1.05555555555556,9.5,39.0946502057613
"399","221.19","LM-03",3,1.348,13.48,49.9259259259259
"400","233.11","LM-03",3,1.19,11.9,44.0740740740741
"401","235.6","LM-03",3,1.36,13.6,50.3703703703704
"402","241.2","LM-03",3,1.265,12.65,46.8518518518519
"403","255.7","LM-03",3,1.134,11.34,42
"404","314.12","LM-03",3,1.314,13.14,48.6666666666667
"405","317.6","LM-03",3,1.678,16.78,62.1481481481482
"406","319.20","LM-03",3,2.125,21.25,78.7037037037037
"407","320.16","LM-03",3,0.981,9.81,36.3333333333333
"408","342.15","LM-03",3,1.192,11.92,44.1481481481481
"409","346.2","LM-03",3,0.85,8.5,31.4814814814815
"410","351.26","LM-03",3,1.745,17.45,64.6296296296296
"411","364.21","LM-03",3,1.649,16.49,61.0740740740741
"412","402.7","LM-03",3,1.21,12.1,44.8148148148148
"413","405.2","LM-03",3,1.415,14.15,52.4074074074074
"414","406.12","LM-03",3,1.434,14.34,53.1111111111111
"415","427.7","LM-03",3,1.75,17.5,64.8148148148148
"416","450.3","LM-03",3,2.65,18.55,98.1481481481482
"417","506.2","LM-03",3,1.54222222222222,13.88,57.119341563786
"418","Canchan","LM-03",3,1.865,18.65,69.0740740740741
"419","Desiree","LM-03",3,0.676,6.76,25.037037037037
"420","Unica","LM-03",3,1.63,16.3,60.3703703703704
"421","102.18","SR-03",1,6,1.18,7.28395061728395
"422","102.18","SR-03",2,9,2.58,10.6172839506173
"423","102.18","SR-03",3,7,1.88,17.4074074074074
"424","104.22","SR-03",1,6,1.5,9.25925925925926
"425","104.22","SR-03",2,4,0.5,4.62962962962963
"426","104.22","SR-03",3,5,1,7.40740740740741
"427","121.31","SR-03",1,6,0.73,4.50617283950617
"428","121.31","SR-03",2,6,2.54,15.679012345679
"429","121.31","SR-03",3,9,3.3,13.5802469135802
"430","141.28","SR-03",1,6,1.45,8.95061728395062
"431","141.28","SR-03",2,10,5.67,21
"432","141.28","SR-03",3,8,3.56,16.4814814814815
"433","157.26","SR-03",1,10,3.7,13.7037037037037
"434","157.26","SR-03",2,10,4.16,15.4074074074074
"435","157.26","SR-03",3,10,3.93,14.5555555555556
"436","163.9","SR-03",1,7,1.405,7.43386243386243
"437","163.9","SR-03",2,6,1.23,7.59259259259259
"438","163.9","SR-03",3,7,1.58,8.35978835978836
"439","221.19","SR-03",1,9,2.2,9.05349794238683
"440","221.19","SR-03",2,5,0.74,5.48148148148148
"441","221.19","SR-03",3,7,1.47,7.77777777777778
"442","233.11","SR-03",1,5,1.01,7.48148148148148
"443","233.11","SR-03",2,5,0.92,6.81481481481481
"444","233.11","SR-03",3,5,1.1,8.14814814814815
"445","235.6","SR-03",1,10,6.02,22.2962962962963
"446","235.6","SR-03",2,8,2.9,13.4259259259259
"447","235.6","SR-03",3,10,4.18,15.4814814814815
"448","241.2","SR-03",1,10,2.5,9.25925925925926
"449","241.2","SR-03",2,4,0.81,7.5
"450","241.2","SR-03",3,7,1.655,8.75661375661375
"451","255.7","SR-03",1,4,1.78,16.4814814814815
"452","255.7","SR-03",2,4,2.06,19.0740740740741
"453","255.7","SR-03",3,4,1.92,17.7777777777778
"454","314.12","SR-03",1,3,0.108,1.33333333333333
"455","314.12","SR-03",2,2,0.03,0.555555555555556
"456","314.12","SR-03",3,1,0.11,4.07407407407407
