"","Place","Replication","Treatment","Factor","Female","Male","v1","v2","v3","v4","v5"
"35",1,1,35,"progenitor",NA,"TPS-67",0.742,2.9,18.43,14.73,55.02
"36",1,1,36,"Control",NA,NA,1.018,2.3,16.09,10.97,95.13
"37",1,2,1,"progenie","LT-8","TS-15",1.095,1.6,16.11,13.17,102.01
"38",1,2,2,"progenie","LT-8","TPS-13",1.237,2.2,18.27,11.17,117.56
"39",1,2,3,"progenie","LT-8","TPS-67",1.477,2.23,15.48,12.68,137.58
"40",1,2,4,"progenie","TPS-2","TS-15",1.217,2.28,15.19,13.29,98.04
"41",1,2,5,"progenie","TPS-2","TPS-13",1.314,2.45,17.24,16.17,87.42
"42",1,2,6,"progenie","TPS-2","TPS-67",1.058,2.3,17.87,11.04,106.11
"43",1,2,7,"progenie","TPS-25","TS-15",1.256,2.58,15.6,10.84,116.12
"44",1,2,8,"progenie","TPS-25","TPS-13",0.959,2.75,17.56,14.48,69.56
"45",1,2,9,"progenie","TPS-25","TPS-67",0.919,2.4,17.74,12.89,83.81
"46",1,2,10,"progenie","TPS-7","TS-15",1.15,1.88,16.31,14.82,83.09
"47",1,2,11,"progenie","TPS-7","TPS-13",1.019,2.38,17.31,13.83,74.6
"48",1,2,12,"progenie","TPS-7","TPS-67",0.95,2.08,17.54,16.7,35.88
"49",1,2,13,"progenie","MF-I","TS-15",1.274,2.2,15.16,10.37,127.92
"50",1,2,14,"progenie","MF-I","TPS-13",1.193,2.3,16.29,14.23,95.57
"51",1,2,15,"progenie","MF-I","TPS-67",1.058,2.2,18.87,15.5,73.04
"52",1,2,16,"progenie","MF-II","TS-15",1.141,2.03,14.28,13,93.01
"53",1,2,17,"progenie","MF-II","TPS-13",1.048,2.48,15.76,13.23,79.99
"54",1,2,18,"progenie","MF-II","TPS-67",0.984,2.48,16.74,15.83,69.43
"55",1,2,19,"progenie","Serrana","TS-15",1.485,2.7,15.57,14.7,102.51
"56",1,2,20,"progenie","Serrana","TPS-13",1.134,2.53,18.08,14.52,80.86
"57",1,2,21,"progenie","Serrana","TPS-67",1.218,2.9,19.74,15.79,85.1
"58",1,2,22,"progenie","Achirana","TS-15",1.28,2.3,16.02,15.53,88.44
"59",1,2,23,"progenie","Achirana","TPS-13",0.967,2.53,19.56,15.83,67.65
"60",1,2,24,"progenie","Achirana","TPS-67",1.121,2.63,18.51,17.52,66.21
"61",1,2,25,"progenitor","LT-8",NA,0.748,1.5,18.73,9.36,82.82
"62",1,2,26,"progenitor","TPS-2",NA,0.958,1.5,18.76,15.17,64.76
"63",1,2,27,"progenitor","TPS-25",NA,1.013,3.7,16.05,10.47,96.84
"64",1,2,28,"progenitor","TPS-7",NA,0.858,2.4,18.09,16,56.6
"65",1,2,29,"progenitor","MF-I",NA,1.112,2.8,16.08,11.69,98.1
"66",1,2,30,"progenitor","MF-II",NA,1.153,2.15,17.27,14.53,79.33
"67",1,2,31,"progenitor","Serrana",NA,0.832,4,19.05,6.64,134.15
"68",1,2,32,"progenitor","Achirana",NA,0.569,3.15,19.32,7.53,75.8
"69",1,2,33,"progenitor",NA,"TS-15",0.888,1.8,16.86,6.18,150.94
"70",1,2,34,"progenitor",NA,"TPS-13",1.013,2.8,17.21,9.37,112.63
"71",1,2,35,"progenitor",NA,"TPS-67",0.939,3,19.22,15.3,59.79
"72",1,2,36,"Control",NA,NA,0.799,2.35,15.58,11.56,70.6
"73",1,3,1,"progenie","LT-8","TS-15",1.123,1.83,17.02,9.17,138.94
"74",1,3,2,"progenie","LT-8","TPS-13",1.171,2.45,18.23,13.45,91.78
"75",1,3,3,"progenie","LT-8","TPS-67",1.483,1.9,15.8,12.55,129.52
"76",1,3,4,"progenie","TPS-2","TS-15",1.074,2.05,15.38,11.07,97.6
"77",1,3,5,"progenie","TPS-2","TPS-13",1.153,2.25,16.51,12.86,96.21
"78",1,3,6,"progenie","TPS-2","TPS-67",1.042,2.5,17.93,15.47,70.48
"79",1,3,7,"progenie","TPS-25","TS-15",1.083,2.55,14.35,10.59,112.84
"80",1,3,8,"progenie","TPS-25","TPS-13",0.861,2.95,16.8,10.07,87.44
"81",1,3,9,"progenie","TPS-25","TPS-67",0.895,2.45,17.98,13.9,71.41
"82",1,3,10,"progenie","TPS-7","TS-15",1.202,1.8,15.86,17.6,70.83
"83",1,3,11,"progenie","TPS-7","TPS-13",1.098,2.13,18.51,18.23,62.47
"84",1,3,12,"progenie","TPS-7","TPS-67",0.905,2.35,17.86,17.59,55.97
"85",1,3,13,"progenie","MF-I","TS-15",1.293,1.93,15.89,11.53,130.94
"86",1,3,14,"progenie","MF-I","TPS-13",1.224,2.1,17.49,14.07,93.87
"87",1,3,15,"progenie","MF-I","TPS-67",0.992,2.28,19.27,12.82,85.07
"88",1,3,16,"progenie","MF-II","TS-15",1.198,1.98,15.5,13.07,99.81
"89",1,3,17,"progenie","MF-II","TPS-13",1.34,2.1,17.97,13.76,95.42
"90",1,3,18,"progenie","MF-II","TPS-67",1.178,2.15,17.52,16.76,76.66
"91",1,3,19,"progenie","Serrana","TS-15",1.327,2.83,15.36,16.48,85.97
"92",1,3,20,"progenie","Serrana","TPS-13",1.055,2.58,18.18,11.93,87.51
"93",1,3,21,"progenie","Serrana","TPS-67",1.113,2.88,18.94,16.5,71.41
"94",1,3,22,"progenie","Achirana","TS-15",0.968,2.37,17.86,12.97,81.17
"95",1,3,23,"progenie","Achirana","TPS-13",1.029,2.55,17.42,15.97,66.98
"96",1,3,24,"progenie","Achirana","TPS-67",1.253,2.58,18.26,20,68.63
"97",1,3,25,"progenitor","LT-8",NA,0.563,1.4,20.68,6.63,98.6
"98",1,3,26,"progenitor","TPS-2",NA,0.83,1.43,21.09,12.74,65.62
"99",1,3,27,"progenitor","TPS-25",NA,1.087,3.75,15.35,11.9,116.61
"100",1,3,28,"progenitor","TPS-7",NA,0.972,2.53,17.96,16.79,58.37
"101",1,3,29,"progenitor","MF-I",NA,1.065,2.85,15.92,10.41,101.05
"102",1,3,30,"progenitor","MF-II",NA,1.208,2.23,16.88,12.9,94.6
"103",1,3,31,"progenitor","Serrana",NA,0.835,4.18,19.2,6.79,133.63
"104",1,3,32,"progenitor","Achirana",NA,0.543,2.93,19.49,8.48,62.22
"105",1,3,33,"progenitor",NA,"TS-15",0.684,1.95,15.22,5.93,125.02
"106",1,3,34,"progenitor",NA,"TPS-13",1.04,2.93,19.01,9.6,115.39
"107",1,3,35,"progenitor",NA,"TPS-67",0.816,3.14,19.51,14.13,64
"108",1,3,36,"Control",NA,NA,0.914,2.28,15.94,10.93,85.54
"109",2,1,1,"progenie","LT-8","TS-15",1.576,2.65,20.73,24.13,71.67
"110",2,1,2,"progenie","LT-8","TPS-13",1.311,2.26,23.02,17.08,78.82
"111",2,1,3,"progenie","LT-8","TPS-67",1.196,3.35,18.75,15,88.03
"112",2,1,4,"progenie","TPS-2","TS-15",1.301,2.73,20.12,17.67,75.75
"113",2,1,5,"progenie","TPS-2","TPS-13",1.243,3.3,21.57,14.93,88.1
"114",2,1,6,"progenie","TPS-2","TPS-67",0.936,3.11,22.25,15.26,72.13
"115",2,1,7,"progenie","TPS-25","TS-15",1.55,3.47,18.7,14.58,108.66
"116",2,1,8,"progenie","TPS-25","TPS-13",0.876,3.86,19.6,10.42,83.19
"117",2,1,9,"progenie","TPS-25","TPS-67",1.1,3.3,21.39,15.12,76.92
"118",2,1,10,"progenie","TPS-7","TS-15",1.084,2.78,19.82,16.33,66.83
"119",2,1,11,"progenie","TPS-7","TPS-13",1.23,3.62,19.82,15.32,84.06
"120",2,1,12,"progenie","TPS-7","TPS-67",1.238,3.18,21.27,26.92,53.14
"121",2,1,13,"progenie","MF-I","TS-15",1.283,3.1,18.94,16.46,82.74
"122",2,1,14,"progenie","MF-I","TPS-13",1.261,3.28,21.34,14.3,89.4
"123",2,1,15,"progenie","MF-I","TPS-67",1.326,3.4,19.19,12.89,63.8
"124",2,1,16,"progenie","MF-II","TS-15",1.055,2.75,19.69,13,83.24
"125",2,1,17,"progenie","MF-II","TPS-13",0.864,2.52,23.09,13.82,67.38
"126",2,1,18,"progenie","MF-II","TPS-67",0.77,2.58,22.07,14.5,64.06
"127",2,1,19,"progenie","Serrana","TS-15",1.22,3.17,19.5,15.65,82.62
"128",2,1,20,"progenie","Serrana","TPS-13",1.054,3.26,20.91,14.8,77.9
"129",2,1,21,"progenie","Serrana","TPS-67",1.126,3.3,21.49,13.07,90.76
"130",2,1,22,"progenie","Achirana","TS-15",1.141,2.69,21.39,19.22,60.83
"131",2,1,23,"progenie","Achirana","TPS-13",1.063,3.55,21.05,12.96,82.21
"132",2,1,24,"progenie","Achirana","TPS-67",0.77,3.05,22.1,9.89,68.93
"133",2,1,25,"progenitor","LT-8",NA,0.798,2.93,23.28,10.39,79.46
"134",2,1,26,"progenitor","TPS-2",NA,0.9,2.91,24.38,8.8,87.53
"135",2,1,27,"progenitor","TPS-25",NA,1.14,3.54,19.32,10.16,118.32
"136",2,1,28,"progenitor","TPS-7",NA,1.229,3.53,22.78,18,70.83
"137",2,1,29,"progenitor","MF-I",NA,1.408,3.55,17.59,16.44,89.15
"138",2,1,30,"progenitor","MF-II",NA,1.471,2.31,20.71,18.3,80.9
"139",2,1,31,"progenitor","Serrana",NA,0.492,4,19.95,6.48,79.6
"140",2,1,32,"progenitor","Achirana",NA,0.715,3.35,22.1,10.36,69.63
"141",2,1,33,"progenitor",NA,"TS-15",0.877,2.6,19.6,11.8,75.6
"142",2,1,34,"progenitor",NA,"TPS-13",0.897,2.71,24.38,13.46,67.83
"143",2,1,35,"progenitor",NA,"TPS-67",1.062,2.85,23.29,20.16,56
"144",2,1,36,"Control",NA,NA,0.737,3.08,18.81,10.04,71.37
"145",2,2,1,"progenie","LT-8","TS-15",0.942,2.63,22.97,14.75,60.86
"146",2,2,2,"progenie","LT-8","TPS-13",1.263,2.58,20.54,14.23,93.33
"147",2,2,3,"progenie","LT-8","TPS-67",1.547,3.5,18.65,16.4,99.85
"148",2,2,4,"progenie","TPS-2","TS-15",1.306,2.63,19.01,14.28,96.64
"149",2,2,5,"progenie","TPS-2","TPS-13",1.546,3.29,20.53,14.43,114.79
"150",2,2,6,"progenie","TPS-2","TPS-67",1.32,3.04,20.14,16.69,85.21
"151",2,2,7,"progenie","TPS-25","TS-15",1.34,3.5,20.02,15.5,89.2
"152",2,2,8,"progenie","TPS-25","TPS-13",1.228,3.75,21.11,10.86,117.45
"153",2,2,9,"progenie","TPS-25","TPS-67",1.268,3.42,20.79,13.28,97.04
"154",2,2,10,"progenie","TPS-7","TS-15",1.251,2.95,19.61,16.76,76.23
"155",2,2,11,"progenie","TPS-7","TPS-13",1.304,3.72,21.6,14.31,97.44
"156",2,2,12,"progenie","TPS-7","TPS-67",1.175,3.31,20.28,15.96,76.31
"157",2,2,13,"progenie","MF-I","TS-15",1.425,3.67,17.86,14.34,100.36
"158",2,2,14,"progenie","MF-I","TPS-13",1.396,3.37,19.28,15.93,89.51
"159",2,2,15,"progenie","MF-I","TPS-67",1.352,3.34,20.56,18.5,73.68
"160",2,2,16,"progenie","MF-II","TS-15",1.31,2.75,19.61,14.39,97.91
"161",2,2,17,"progenie","MF-II","TPS-13",1.072,2.8,21.75,14.39,75.29
"162",2,2,18,"progenie","MF-II","TPS-67",1.372,3.04,20.71,15.72,86.87
"163",2,2,19,"progenie","Serrana","TS-15",1.246,3.17,18.78,13.67,91.56
"164",2,2,20,"progenie","Serrana","TPS-13",1.161,3.19,20.26,11.56,97.91
"165",2,2,21,"progenie","Serrana","TPS-67",1.277,2.94,21.21,18.36,73.45
"166",2,2,22,"progenie","Achirana","TS-15",1.078,2.94,19.48,13.66,86.97
"167",2,2,23,"progenie","Achirana","TPS-13",0.897,3.08,23.58,11.8,85.27
"168",2,2,24,"progenie","Achirana","TPS-67",1.448,3.3,20.95,27.88,56.45
"169",2,2,25,"progenitor","LT-8",NA,0.728,2.6,23.8,10.52,73.65
"170",2,2,26,"progenitor","TPS-2",NA,0.942,3,22.32,18.61,51.36
"171",2,2,27,"progenitor","TPS-25",NA,1.495,3.77,18.13,10.5,150.66
"172",2,2,28,"progenitor","TPS-7",NA,1.771,3.33,19.03,20.9,85.5
"173",2,2,29,"progenitor","MF-I",NA,1.485,3.13,18.58,14.03,110.24
"174",2,2,30,"progenitor","MF-II",NA,1.578,2.61,20.37,19.14,84.41
"175",2,2,31,"progenitor","Serrana",NA,1.086,4.03,21.16,8.74,123.31
"176",2,2,32,"progenitor","Achirana",NA,0.764,3.03,21.51,10.17,79.18
"177",2,2,33,"progenitor",NA,"TS-15",0.994,2.35,19.8,14.44,71.23
"178",2,2,34,"progenitor",NA,"TPS-13",1.203,2.93,22.71,15.11,83.21
"179",2,2,35,"progenitor",NA,"TPS-67",1.301,3,24.35,27.14,47.24
"180",2,2,36,"Control",NA,NA,0.707,3.28,18.08,9.91,66.25
"181",2,3,1,"progenie","LT-8","TS-15",1.464,2.28,20.09,18.97,81.1
"182",2,3,2,"progenie","LT-8","TPS-13",0.808,2.32,21.26,9.88,95.01
"183",2,3,3,"progenie","LT-8","TPS-67",0.896,3.05,19.35,12.8,70.16
"184",2,3,4,"progenie","TPS-2","TS-15",0.98,2.95,21,15.39,62.8
"185",2,3,5,"progenie","TPS-2","TPS-13",1.326,3.34,20.24,14.73,101.6
"186",2,3,6,"progenie","TPS-2","TPS-67",1.209,2.85,20.72,14.74,85.84
"187",2,3,7,"progenie","TPS-25","TS-15",1.319,3.32,19.23,15.24,87.58
"188",2,3,8,"progenie","TPS-25","TPS-13",0.874,3.49,21.1,8.63,111.48
"189",2,3,9,"progenie","TPS-25","TPS-67",0.776,3.28,21.51,10.44,79.45
"190",2,3,10,"progenie","TPS-7","TS-15",1.091,3.03,17.36,12.24,90.16
"191",2,3,11,"progenie","TPS-7","TPS-13",1.151,3.57,18.87,13.83,90.41
"192",2,3,12,"progenie","TPS-7","TPS-67",0.993,2.77,20.61,14.48,68.9
"193",2,3,13,"progenie","MF-I","TS-15",1.291,3.21,20.08,15.12,86.66
"194",2,3,14,"progenie","MF-I","TPS-13",1.039,3.06,22.4,9.79,105.1
"195",2,3,15,"progenie","MF-I","TPS-67",1.091,3.02,20.43,15.92,75.98
"196",2,3,16,"progenie","MF-II","TS-15",1.046,2.42,20.17,15.13,77.44
"197",2,3,17,"progenie","MF-II","TPS-13",0.999,2.23,21.52,14,74.66
"198",2,3,18,"progenie","MF-II","TPS-67",1.104,2.53,21.12,14.79,76.22
"199",2,3,19,"progenie","Serrana","TS-15",1.006,2.9,20.22,11.33,91.97
"200",2,3,20,"progenie","Serrana","TPS-13",1.203,3.3,20.81,13.3,95.83
"201",2,3,21,"progenie","Serrana","TPS-67",0.953,2.95,20.99,12.88,90.98
"202",2,3,22,"progenie","Achirana","TS-15",0.93,2.9,20.06,15.61,63.83
"203",2,3,23,"progenie","Achirana","TPS-13",0.8,3.1,22.23,11.25,77.41
"204",2,3,24,"progenie","Achirana","TPS-67",0.975,3.25,20.84,13,81.5
"205",2,3,25,"progenitor","LT-8",NA,0.507,2.6,21.71,6.29,77.65
"206",2,3,26,"progenitor","TPS-2",NA,0.907,3,20.86,11.21,86.86
"207",2,3,27,"progenitor","TPS-25",NA,1.347,3.58,19.36,12.38,100.74
"208",2,3,28,"progenitor","TPS-7",NA,1.395,3.02,18.4,20.24,70.93
"209",2,3,29,"progenitor","MF-I",NA,1.503,3.47,16.76,15,105.9
"210",2,3,30,"progenitor","MF-II",NA,1.116,2.31,21.19,11.93,96.78
"211",2,3,31,"progenitor","Serrana",NA,0.546,4.11,18.42,6.72,81.08
"212",2,3,32,"progenitor","Achirana",NA,0.82,3.05,21.05,12.34,70.68
"213",2,3,33,"progenitor",NA,"TS-15",0.873,2.25,19.63,11.48,78.71
"214",2,3,34,"progenitor",NA,"TPS-13",1.265,2.57,21.39,13.35,96.78
"215",2,3,35,"progenitor",NA,"TPS-67",0.846,2.91,21.58,14.83,60.1
"216",2,3,36,"Control",NA,NA,0.953,3,19.03,12.96,73.72
"217",3,1,1,"progenie","LT-8","TS-15",3.128,1.334,0.45,1.061,116.58
"218",3,1,2,"progenie","LT-8","TPS-13",3.011,1.353,0.501,1.027,96.08
"219",3,1,3,"progenie","LT-8","TPS-67",3.12,1.466,0.424,1.081,109.51
"220",3,1,4,"progenie","TPS-2","TS-15",3.098,1.296,0.451,1.169,84.83
"221",3,1,5,"progenie","TPS-2","TPS-13",3.127,1.493,0.451,1.188,86.83
"222",3,1,6,"progenie","TPS-2","TPS-67",3.037,1.449,0.486,1.175,72.77
"223",3,1,7,"progenie","TPS-25","TS-15",3.056,1.442,0.449,1.066,97.77
"224",3,1,8,"progenie","TPS-25","TPS-13",3.025,1.597,0.487,1.022,100.63
"225",3,1,9,"progenie","TPS-25","TPS-67",3.069,1.414,0.477,1.185,76.48
"226",3,1,10,"progenie","TPS-7","TS-15",3.013,1.378,0.475,1.069,87.94
"227",3,1,11,"progenie","TPS-7","TPS-13",3.108,1.459,0.455,1.266,69.55
"228",3,1,12,"progenie","TPS-7","TPS-67",2.917,1.476,0.496,1.148,58.69
"229",3,1,13,"progenie","MF-I","TS-15",3.107,1.353,0.463,1.144,91.91
"230",3,1,14,"progenie","MF-I","TPS-13",3.072,1.5,0.466,1.204,73.69
"231",3,1,15,"progenie","MF-I","TPS-67",3.053,1.466,0.447,1.154,79.26
"232",3,1,16,"progenie","MF-II","TS-15",3.087,1.296,0.448,1.133,90.12
"233",3,1,17,"progenie","MF-II","TPS-13",2.996,1.483,0.478,1.019,94.88
"234",3,1,18,"progenie","MF-II","TPS-67",3.089,1.682,0.463,1.228,72.6
"235",3,1,19,"progenie","Serrana","TS-15",3.168,1.51,0.445,1.291,75.24
"236",3,1,20,"progenie","Serrana","TPS-13",3.125,1.697,0.48,1.218,80.75
"237",3,1,21,"progenie","Serrana","TPS-67",3.101,1.407,0.487,1.285,65.39
"238",3,1,22,"progenie","Achirana","TS-15",3.093,1.371,0.443,1.153,87.1
"239",3,1,23,"progenie","Achirana","TPS-13",3.104,1.688,0.484,1.052,112.81
"240",3,1,24,"progenie","Achirana","TPS-67",2.99,1.396,0.485,1.262,53.46
"241",3,1,25,"progenitor","LT-8",NA,3.08,1.315,0.469,1.073,101.66
"242",3,1,26,"progenitor","TPS-2",NA,3.064,1.245,0.482,1.191,74.76
"243",3,1,27,"progenitor","TPS-25",NA,3.074,1.817,0.478,0.877,157.57
"244",3,1,28,"progenitor","TPS-7",NA,3.016,1.245,0.464,1.165,70.93
"245",3,1,29,"progenitor","MF-I",NA,3.033,1.761,0.451,1.052,95.83
"246",3,1,30,"progenitor","MF-II",NA,3.097,1.265,0.456,1.157,87.01
"247",3,1,31,"progenitor","Serrana",NA,2.928,1.682,0.503,0.929,99.76
"248",3,1,32,"progenitor","Achirana",NA,2.886,1.533,0.501,1.137,56.2
"249",3,1,33,"progenitor",NA,"TS-15",2.921,1.425,0.435,0.903,104.13
"250",3,1,34,"progenitor",NA,"TPS-13",2.703,1.658,0.462,0.816,77.08
"251",3,1,35,"progenitor",NA,"TPS-67",2.88,1.414,0.471,1.041,68.91
"252",3,1,36,"Control",NA,NA,3.078,1.304,0.455,1.01,116.97
"253",3,2,1,"progenie","LT-8","TS-15",3.043,1.296,0.456,1.048,98.95
"254",3,2,2,"progenie","LT-8","TPS-13",3.03,1.414,0.463,1.025,101.26
"255",3,2,3,"progenie","LT-8","TPS-67",3.09,1.483,0.43,1.065,105.76
"256",3,2,4,"progenie","TPS-2","TS-15",3.023,1.323,0.451,1.144,75.79
"257",3,2,5,"progenie","TPS-2","TPS-13",3.01,1.353,0.475,1.024,96.81
"258",3,2,6,"progenie","TPS-2","TPS-67",3.004,1.396,0.453,1.053,89.21
"259",3,2,7,"progenie","TPS-25","TS-15",2.974,1.378,0.454,1.027,88.42
"260",3,2,8,"progenie","TPS-25","TPS-13",2.95,1.581,0.481,1.096,71.56
"261",3,2,9,"progenie","TPS-25","TPS-67",3.07,1.565,0.459,1.074,99.06
"262",3,2,10,"progenie","TPS-7","TS-15",2.978,1.414,0.431,1.091,77.1
"263",3,2,11,"progenie","TPS-7","TPS-13",2.951,1.425,0.469,1.125,66.99
"264",3,2,12,"progenie","TPS-7","TPS-67",2.895,1.36,0.483,1.191,50.6
"265",3,2,13,"progenie","MF-I","TS-15",2.989,1.371,0.438,1.023,92.54
"266",3,2,14,"progenie","MF-I","TPS-13",3.028,1.493,0.47,1.059,93.2
"267",3,2,15,"progenie","MF-I","TPS-67",3.035,1.466,0.463,1.088,88.5
"268",3,2,16,"progenie","MF-II","TS-15",3.029,1.315,0.453,1.054,94.41
"269",3,2,17,"progenie","MF-II","TPS-13",2.993,1.396,0.46,1.08,81.69
"270",3,2,18,"progenie","MF-II","TPS-67",2.958,1.591,0.455,0.991,71.42
"271",3,2,19,"progenie","Serrana","TS-15",2.999,1.543,0.466,1.121,75.52
"272",3,2,20,"progenie","Serrana","TPS-13",3.087,1.703,0.481,1.238,70.54
"273",3,2,21,"progenie","Serrana","TPS-67",2.974,1.414,0.49,1.149,66.72
"274",3,2,22,"progenie","Achirana","TS-15",2.983,1.323,0.481,1.171,64.97
"275",3,2,23,"progenie","Achirana","TPS-13",3.008,1.658,0.462,1.143,73.27
"276",3,2,24,"progenie","Achirana","TPS-67",2.996,1.483,0.477,1.202,62.21
"277",3,2,25,"progenitor","LT-8",NA,3.014,1.245,0.487,1.017,99.23
"278",3,2,26,"progenitor","TPS-2",NA,2.988,1.285,0.487,1.12,73.82
"279",3,2,27,"progenitor","TPS-25",NA,2.969,1.817,0.468,1.039,85.17
"280",3,2,28,"progenitor","TPS-7",NA,2.928,1.353,0.484,1.209,52.39
"281",3,2,29,"progenitor","MF-I",NA,2.918,1.697,0.435,1.003,82.15
"282",3,2,30,"progenitor","MF-II",NA,3.092,1.296,0.45,1.061,107.56
"283",3,2,31,"progenitor","Serrana",NA,2.961,1.871,0.471,0.877,121.29
"284",3,2,32,"progenitor","Achirana",NA,2.995,1.658,0.469,1.176,65.87
"285",3,2,33,"progenitor",NA,"TS-15",2.927,1.432,0.431,0.892,108.08
"286",3,2,34,"progenitor",NA,"TPS-13",2.788,1.575,0.472,0.849,86.85
"287",3,2,35,"progenitor",NA,"TPS-67",2.836,1.581,0.445,0.987,70.57
"288",3,2,36,"Control",NA,NA,3.038,1.323,0.445,1.098,87.13
"289",3,3,1,"progenie","LT-8","TS-15",3.122,1.334,0.447,1.096,106.07
"290",3,3,2,"progenie","LT-8","TPS-13",3.094,1.334,0.493,1.132,91.55
"291",3,3,3,"progenie","LT-8","TPS-67",3.159,1.483,0.439,1.143,103.75
"292",3,3,4,"progenie","TPS-2","TS-15",3.16,1.323,0.446,1.146,103.14
"293",3,3,5,"progenie","TPS-2","TPS-13",3.115,1.425,0.461,1.115,100.03
"294",3,3,6,"progenie","TPS-2","TPS-67",3.021,1.442,0.466,1.144,75.38
"295",3,3,7,"progenie","TPS-25","TS-15",3.017,1.411,0.451,1.047,93.1
"296",3,3,8,"progenie","TPS-25","TPS-13",3.018,1.526,0.492,1.123,78.94
"297",3,3,9,"progenie","TPS-25","TPS-67",3.135,1.526,0.472,1.213,83.57
"298",3,3,10,"progenie","TPS-7","TS-15",2.954,1.476,0.437,1.051,80
"299",3,3,11,"progenie","TPS-7","TPS-13",2.974,1.432,0.453,1.196,59.84
"300",3,3,12,"progenie","TPS-7","TPS-67",3.017,1.396,0.477,1.308,51.14
"301",3,3,13,"progenie","MF-I","TS-15",2.921,1.378,0.424,0.942,95.31
"302",3,3,14,"progenie","MF-I","TPS-13",3.078,1.559,0.458,1.133,88.13
"303",3,3,15,"progenie","MF-I","TPS-67",3.031,1.449,0.496,1.209,66.49
"304",3,3,16,"progenie","MF-II","TS-15",2.947,1.342,0.423,1.055,71.99
"305",3,3,17,"progenie","MF-II","TPS-13",3.079,1.389,0.446,1.106,94.12
"306",3,3,18,"progenie","MF-II","TPS-67",3.137,1.581,0.454,1.308,67.43
"307",3,3,19,"progenie","Serrana","TS-15",3.121,1.543,0.462,1.156,92.23
"308",3,3,20,"progenie","Serrana","TPS-13",3.217,1.682,0.455,1.273,88.04
"309",3,3,21,"progenie","Serrana","TPS-67",2.961,1.466,0.467,1.213,55.92
"310",3,3,22,"progenie","Achirana","TS-15",3.137,1.442,0.445,1.152,96.62
"311",3,3,23,"progenie","Achirana","TPS-13",3.098,1.673,0.468,1.232,73.36
"312",3,3,24,"progenie","Achirana","TPS-67",3.019,1.371,0.5,1.192,67.2
"313",3,3,25,"progenitor","LT-8",NA,2.926,1.225,0.492,0.931,98.78
