"","locality","site","dose","entry","replication","height","stalks","wfr","wff","wfk","roots","FOS","glucose","fructose","sucrose","brix","foliage","dry","IH"
"71","CAJ",1,"F150","CLLUNC118",2,34.1,2.7,2900,1200,3500,16.1,40.1,4.7,14.1,33.6,12,32.2,17.1,0.2465
"72","CAJ",1,"F150","CLLUNC118",3,37.4,2.9,5200,1630,3500,16.9,40.2,4.2,12.8,34.6,12.6,27.2,17.4,0.2748
"73","CAJ",2,"F0","P1385",1,84.2222222222222,2.22222222222222,3900,9050,3500,11.7,26.5,6,36.6,17.2,10.7,14.9,19.8,0.3469
"74","CAJ",2,"F0","P1385",2,97.1666666666667,2.66666666666667,5100,16050,10500,7,38.7,8.12,43.8,1.88,5.8,15.2,28.4,0.3257
"75","CAJ",2,"F0","P1385",3,86.5833333333333,4.33333333333333,4050,12750,6500,7.9,31.4,9.65,41.45,9,7.8,13.2,33.1,0.3221
"76","CAJ",2,"F80","P1385",1,71.5,2.33333333333333,1000,7600,2850,7,32.1,13.47,44.85,2.88,5.7,14.1,27.5,0.2999
"77","CAJ",2,"F80","P1385",2,91.142857142857,3.57142857142857,6800,18350,9450,8.9,50.2,6.19,20.65,14.26,8,14.8,31.8,0.2859
"78","CAJ",2,"F80","P1385",3,106,5.54545454545455,7300,23300,21850,7.7,37.5,4.54,34.8,14.56,5.8,13.4,25.4,0.3187
"79","CAJ",2,"F150","P1385",1,85.1333333333333,4.26666666666667,3000,15650,11000,5.8,30.6,12.37,51.05,1.5,4.8,13.1,25,0.2821
"80","CAJ",2,"F150","P1385",2,110.384615384615,3.69230769230769,4050,21000,13000,6.9,33.4,14.52,45.7,1.5,5.8,12.6,24.3,0.2759
"81","CAJ",2,"F150","P1385",3,87.6363636363636,2.81818181818182,1200,12820,7600,9.3,35.8,8.89,26.95,19.76,9,13.2,22.9,0.2934
"82","CAJ",2,"F0","AMM5150",1,77,2.375,3700,15500,6000,8.2,51.3,3.54,25,13.96,7,14.7,21.7,0.3273
"83","CAJ",2,"F0","AMM5150",2,75.6,1.93333333333333,3150,11850,6100,8.2,36.6,4.82,31.5,19.98,7.4,13.9,22.2,0.3384
"84","CAJ",2,"F0","AMM5150",3,72.5333333333333,1.53333333333333,3350,12000,7300,6.9,29.1,10.24,48.1,5.96,5.3,13.6,20.1,0.3244
"85","CAJ",2,"F80","AMM5150",1,85.3333333333333,2.5,3600,11550,5220,8.1,49.4,8.42,28.2,7.68,6.8,14.4,20.6,0.281
"86","CAJ",2,"F80","AMM5150",2,92.0714285714286,2.78571428571429,3750,15700,6800,8,51.3,7.6,26.6,7.9,6.8,14.7,24.4,0.3032
"87","CAJ",2,"F80","AMM5150",3,109.083333333333,4.08333333333333,6400,20250,17200,7,37.6,8.87,46.05,-0.32,5,12.8,31.2,0.2896
"88","CAJ",2,"F150","AMM5150",1,90.642857142857,3.07142857142857,2800,14150,8000,6.4,32.2,12.19,45.95,2.66,5.6,14.2,24.1,0.2561
"89","CAJ",2,"F150","AMM5150",2,70.9375,2.3125,1150,8300,4750,5.8,29.3,13.97,48.85,0.98,5.4,14.6,24,0.2484
"90","CAJ",2,"F150","AMM5150",3,103.625,3.875,3900,21500,15550,6.9,31.6,11.79,46.45,3.86,5.6,11.8,21.5,0.2871
"91","CAJ",2,"F0","ARB5125 ",1,61.9230769230769,2.92307692307692,6300,13350,8600,8.2,44.3,6.72,25.9,15.68,7.2,12.5,15.9,0.2734
"92","CAJ",2,"F0","ARB5125 ",2,60.7857142857143,4,2350,15850,12250,6.4,36,9.04,36.6,11.96,6,12.5,20.1,0.2963
"93","CAJ",2,"F0","ARB5125 ",3,63.7333333333333,4.86666666666667,5200,18400,11000,7.6,51.2,6.04,23.5,12.56,7,11.5,20.7,0.3127
"94","CAJ",2,"F80","ARB5125 ",1,39.5833333333333,2.75,380,4800,2000,8.4,42.7,9.63,30.95,8.72,6.8,14,21.8,0.2486
"95","CAJ",2,"F80","ARB5125 ",2,44,3.66666666666667,400,7000,4000,6,32.6,15.09,44.85,1.5,5,13.1,22.3,0.249
"96","CAJ",2,"F80","ARB5125 ",3,48.5,3.64285714285714,1000,12300,6200,9.4,60.6,4.87,7.45,19.28,8.9,11.3,19.3,0.2826
"97","CAJ",2,"F150","ARB5125 ",1,75.0625,4.1875,2500,11600,18600,6.4,42.3,8.56,31.7,11.64,6.8,11.8,13.3,0.2566
"98","CAJ",2,"F150","ARB5125 ",2,54.7333333333333,4.2,880,25100,10550,6.8,34.4,11.98,39.5,7.31999999999999,6.4,12.3,22,0.2332
"99","CAJ",2,"F150","ARB5125 ",3,67.8571428571429,3.92857142857143,1700,20000,11500,7.5,45.6,12.87,25.75,10.48,7,11.1,26.2,0.2838
"100","CAJ",2,"F0","AKW5075 ",1,106.555555555556,4.11111111111111,3100,11160,7500,6.4,35.5,9.67,45.85,3.98,5,13.1,21.9,0.3367
"101","CAJ",2,"F0","AKW5075 ",2,63.0625,2.5,1460,7500,5550,5.8,29.6,9.89,46.45,5.46,5,14.8,24.9,0.3462
"102","CAJ",2,"F0","AKW5075 ",3,69.3076923076923,2.15384615384615,1950,7100,5980,4.7,36.5,7.31,45.75,1.5,4.4,15.1,22.2,0.3457
"103","CAJ",2,"F80","AKW5075 ",1,82.5384615384615,3.84615384615385,3900,16250,9300,7.5,40.3,6.8,32.3,15.3,6.9,13.8,25.7,0.2743
"104","CAJ",2,"F80","AKW5075 ",2,90.9090909090909,3.45454545454545,3450,14350,5000,8.6,43.1,5.1,30.8,12.8,7,13.1,23.3,0.299
"105","CAJ",2,"F80","AKW5075 ",3,80.6666666666667,3.33333333333333,1550,12000,6250,6.9,29.9,11.3,45.7,5.8,5.2,12.4,23,0.3123
"106","CAJ",2,"F150","AKW5075 ",1,89.9166666666667,4.33333333333333,3600,22300,13500,8.7,48.6,6.97,20.05,18.28,8.2,12.3,42,0.2853
"107","CAJ",2,"F150","AKW5075 ",2,97.6153846153846,3.76923076923077,7350,20500,10300,6.9,34.7,10.47,37.05,11.08,6.6,11.4,26,0.2523
"108","CAJ",2,"F150","AKW5075 ",3,83.6,4.4,520,10400,9600,4,25.6,12.87,54.15,0.68,4.5,12,23.2,0.3095
"109","CAJ",2,"F0","AMM5136",1,62.3333333333333,1.83333333333333,600,4700,1400,11.5,23,8,13,37.3,10.4,14.6,20.5,0.3114
"110","CAJ",2,"F0","AMM5136",2,60.8571428571429,2.42857142857143,680,3150,1200,7,55.6,8.69,26.85,1.5,6,15.3,18.1,0.3242
"111","CAJ",2,"F0","AMM5136",3,89.5,3,3300,15000,7850,7.6,34.9,7.7,34.1,14.6,6.6,14.3,23.3,0.3421
"112","CAJ",2,"F80","AMM5136",1,62.1111111111111,2.22222222222222,900,4350,1400,6.9,38.6,16.46,37.7,-1.36,5.4,16.9,24.5,0.2958
"113","CAJ",2,"F80","AMM5136",2,64.625,2.75,400,5600,2500,5.8,32.9,18.46,40.2,3.24,5,13.6,24.5,0.2879
"114","CAJ",2,"F80","AMM5136",3,69.5,3,600,7700,3200,7.4,40.5,13.93,31.45,7.32,6,13.6,16.4,0.2756
"115","CAJ",2,"F150","AMM5136",1,85.1666666666667,2.08333333333333,1480,10500,5000,5.2,29.1,14.01,47.95,3.24,5,13.8,18.7,0.2682
"116","CAJ",2,"F150","AMM5136",2,63.7333333333333,2.06666666666667,200,6050,2850,5,29.8,17.67,45.75,-0.82,5,12.9,19.9,0.273
"117","CAJ",2,"F150","AMM5136",3,75.7777777777778,2.55555555555556,380,7000,2900,3.5,30.3,13.5,45.8,3.5,5.6,12.9,20.9,0.2885
"118","CAJ",2,"F0","SAL136",1,71.5,3.42857142857143,6240,20550,7550,10.4,43,8.37,28.05,14.88,8.7,14.6,20.6,0.2874
"119","CAJ",2,"F0","SAL136",2,62.4166666666667,2.41666666666667,5350,13800,6800,7.2,44.2,10.1,26.4,12.9,6.1,11.6,21.6,0.3085
"120","CAJ",2,"F0","SAL136",3,58.3333333333333,2.08333333333333,5300,12950,6600,6.5,39,10.82,33.5,11.48,6,12.6,19.5,0.3098
"121","CAJ",2,"F80","SAL136",1,61.0909090909091,4.45454545454545,2550,12500,6000,6.3,42.2,8.45,28.45,12.5,7,12.2,22.5,0.2693
"122","CAJ",2,"F80","SAL136",2,63.4666666666667,4.26666666666667,5700,18200,7400,10.3,64.8,2.91,6.95,18.64,9.3,12.6,21.4,0.2601
"123","CAJ",2,"F80","SAL136",3,77,5.69230769230769,5300,27800,12850,8,51.5,4.93,24.75,13.62,7.6,12.6,37.4,0.2534
"124","CAJ",2,"F150","SAL136",1,82.625,4.375,5400,33500,15500,8.4,46.7,5.63,25.35,13.92,8,11.2,22.3,0.2527
"125","CAJ",2,"F150","SAL136",2,62.625,4.875,1300,17480,10700,7,39.6,9.41,34.15,9.74,6.2,10.7,20.5,0.2335
"126","CAJ",2,"F150","SAL136",3,60.5,6,1500,19000,8200,8.7,45.8,9.25,25.35,12.5,7.7,11.3,15.2,0.264
"127","CAJ",2,"F0","AMM5163",1,75.3571428571429,2.71428571428571,3400,17690,9000,7,40.1,6.76,34.8,10.84,6.3,12.7,23,0.3326
"128","CAJ",2,"F0","AMM5163",2,94.3125,3.0625,7200,20100,7350,6.5,25.4,8.67,45.45,12.88,5.7,13.9,22.8,0.3256
"129","CAJ",2,"F0","AMM5163",3,91.2,4.66666666666667,6450,15900,8100,6.4,65.5,4.36,15.5,1.5,5.4,12.9,17.2,0.3453
"130","CAJ",2,"F80","AMM5163",1,97.9285714285714,3.85714285714286,4600,21000,8050,9.8,64.5,3.06,10.8,15.84,9.3,15.7,26.6,0.2866
"131","CAJ",2,"F80","AMM5163",2,84.7857142857143,3.42857142857143,2420,13700,6250,6.4,41.8,10,36.4,5.2,6,13.7,29.4,0.2965
"132","CAJ",2,"F80","AMM5163",3,107.571428571429,3.92857142857143,3250,22410,12850,7,37,7.4,43.7,6.3,5.4,14.1,34.9,0.3014
"133","CAJ",2,"F150","AMM5163",1,98.9333333333333,3.8,1800,20850,10150,8.7,49.8,5.56,19.3,19.84,8.4,14.3,33.9,0.2824
"134","CAJ",2,"F150","AMM5163",2,73.1,3.3,550,9600,3200,15,63.6,3.94,3.2,21.06,11.9,15.2,23.2,0.2451
"135","CAJ",2,"F150","AMM5163",3,99.3333333333333,3.66666666666667,700,23750,14300,6.4,55.9,11.38,20.8,1.5,6.2,13.7,29.5,0.3024
"136","CAJ",2,"F0","CLLUNC118",1,59.6,3.2,650,1990,2200,5.8,37.7,8.22,36.4,10.78,5,16.3,14.4,0.3301
"137","CAJ",2,"F0","CLLUNC118",2,54.5,3,2400,3600,4600,7,40.1,5.63,35.65,13.32,5.4,15.9,16.2,0.2655
"138","CAJ",2,"F0","CLLUNC118",3,54,4.16666666666667,690,1550,2000,5.8,34.9,8.64,37.7,10.16,4.9,15.7,18.5,0.3388
"139","CAJ",2,"F80","CLLUNC118",1,54.0833333333333,3,1100,4850,2800,7,38.2,10.26,30,5.5,5,13.3,21.3,0.2656
"140","CAJ",2,"F80","CLLUNC118",2,51.6363636363636,4.54545454545455,2200,6500,5800,5.8,35.1,12.27,39.05,7.68,5,13.7,12.5,0.2732
"141","CAJ",2,"F80","CLLUNC118",3,49.5,3.5,450,1500,1150,5.6,22.8,16,44,4.3,4,14.3,11.8,0.288
"142","CAJ",2,"F150","CLLUNC118",1,56.0769230769231,2.76923076923077,1200,4350,4100,4.7,27.7,11.2,46.2,7.1,4.9,13.8,12.9,0.2792
"143","CAJ",2,"F150","CLLUNC118",2,57.5333333333333,3.66666666666667,3050,3650,5000,4,25.1,11.7,44.7,3.4,4,12.4,14.2,0.2465
"144","CAJ",2,"F150","CLLUNC118",3,46.6153846153846,3.23076923076923,1100,1100,1575,5.8,21.6,11,38.9,10,5,28.6,16.5,0.2748
"145","LIM",3,"F0","P1385",1,180.8125,6.4375,21500,93696,26800,8.6,9.4,27.5,37.8,16.3,7.2,16.4,11.5,0.2353
"146","LIM",3,"F0","P1385",2,190.5,7.75,18500,102200,20500,9.9,20.1,12.3,30.6,29,8,13.2,15.4,0.2572
"147","LIM",3,"F0","P1385",3,168.6875,8,12500,90200,16700,8.6,1.8,25.9,35.7,13.1,6,12.2,12.1,0.2613
"148","LIM",3,"F80","P1385",1,190.8125,8.125,16000,93696,22000,9.8,23.5,12.8,23.8,31.8,6.8,13.5,12.7,0.2715
"149","LIM",3,"F80","P1385",2,172.9375,8.375,22200,102200,15000,12.1,21,12.3,26.3,25.4,6.9,15.5,13.3,0.2961
"150","LIM",3,"F80","P1385",3,204.6875,8.5,11000,90200,20500,9.2,15.3,12.8,30,17.1,4.5,14.8,10.5,0.2659
"151","LIM",3,"F150","P1385",1,197.5,7.375,15000,93696,26000,9.5,26.6,10.4,21,25.3,10,14.9,14.6,0.244
"152","LIM",3,"F150","P1385",2,199.5625,7.9375,9000,102200,19000,7.2,2,14.6,23.6,2.3,5,13.8,10.9,0.2253
"153","LIM",3,"F150","P1385",3,211.3125,6.0625,13400,90200,25500,10.1,3.4,17.5,38.6,7.2,5.4,15.6,9.7,0.2844
"154","LIM",3,"F0","AMM5150",1,151.0625,6,13600,69320,19000,11.9,17.1,13.5,28.9,26.4,8.9,15.8,14.3,0.2838
"155","LIM",3,"F0","AMM5150",2,187.8125,6.6875,18200,88900,26100,10.2,7.6,18.9,32.7,22.5,6.1,15.4,18.6,0.2313
"156","LIM",3,"F0","AMM5150",3,188.125,7.0625,16000,83250,23000,10.8,15.7,12.5,31.7,26,8,14.7,19.6,0.2398
"157","LIM",3,"F80","AMM5150",1,176.75,6.9375,9900,69320,19500,9.7,25.8,14.4,31.4,16.4,5.9,15.9,14,0.244
"158","LIM",3,"F80","AMM5150",2,151.75,6.8125,12600,88900,19500,8,15.9,16.9,32.9,11.8,5.1,12.7,11.4,0.2486
"159","LIM",3,"F80","AMM5150",3,181,7.3125,13000,83250,22900,8.2,10.2,13.5,31.9,20.4,3.1,13.1,11.3,0.2505
"160","LIM",3,"F150","AMM5150",1,205.875,6.5625,10140,69320,25400,12.4,17.9,18.2,32.3,11.5,7.1,13.3,15.8,0.2993
"161","LIM",3,"F150","AMM5150",2,162.375,6.0625,5000,88900,15000,10,5.1,19.6,31.5,8.7,5.5,15,19.1,0.2261
"162","LIM",3,"F150","AMM5150",3,199.4375,10.25,16000,83250,25500,10.1,2.6,15.4,48.4,5.6,6,14,8.6,0.3088
"163","LIM",3,"F0","ARB5125 ",1,96.3125,6.3125,6900,83250,18200,8.9,6.3,20.8,31.2,18,7,10.7,11.3,0.2873
"164","LIM",3,"F0","ARB5125 ",2,102.0625,6.3125,6400,77000,16800,8.1,1,26.9,41.4,0.7,3.9,10.2,9.4,0.2918
"165","LIM",3,"F0","ARB5125 ",3,87,6.1875,4300,46700,14500,12.5,1.1,27,44.4,0.9,3.7,11,8.6,0.3885
"166","LIM",3,"F80","ARB5125 ",1,88.0625,6,4600,83250,19000,8.6,11.8,14.4,22,2,3.9,10.7,9.4,0.2987
"167","LIM",3,"F80","ARB5125 ",2,104.9375,6,6000,77000,20000,6.8,11.8,16.5,33.6,3.9,3.5,8.9,8.6,0.2806
"168","LIM",3,"F80","ARB5125 ",3,98.875,6.0625,5500,46700,19100,7.5,10.8,12.3,34.6,4.4,3.1,14.1,9,0.2441
"169","LIM",3,"F150","ARB5125 ",1,106.25,5.9375,4000,83250,20500,9.2,3.5,23.3,34.1,3.3,5.1,9,9.6,0.3303
"170","LIM",3,"F150","ARB5125 ",2,98.25,7.5625,5500,77000,19400,7.3,1,14.7,27.9,2.8,3,10.6,8.5,0.278
"171","LIM",3,"F150","ARB5125 ",3,117.3125,8.1875,4500,46700,19000,7.7,1.3,20.4,32.9,3.1,4,7.8,7.4,0.3355
"172","LIM",3,"F0","AKW5075 ",1,188.5,6.9375,21400,96600,21000,9.7,3.2,25.1,38.3,15.4,6,13.6,14.9,0.2533
"173","LIM",3,"F0","AKW5075 ",2,196.6875,7,26200,86490,22000,11.9,18.8,15.7,31.5,28.9,9.8,14.6,14.7,0.2889
"174","LIM",3,"F0","AKW5075 ",3,167.5625,7.4375,14400,67100,15000,11.7,3.3,20.2,39.5,18,7,13.5,13.6,0.3011
"175","LIM",3,"F80","AKW5075 ",1,160.75,7.0625,11400,96600,18500,10.2,16.2,21.2,30.2,10.2,5,12.6,13.7,0.2799
"176","LIM",3,"F80","AKW5075 ",2,199.1875,7.0625,17500,86490,24500,9.1,14.2,20.8,33.4,7.7,5,12.4,12.9,0.2642
"177","LIM",3,"F80","AKW5075 ",3,170.1875,8.8125,16500,67100,21000,9.1,18,19.5,31,13.6,5.2,13.4,11.7,0.2653
"178","LIM",3,"F150","AKW5075 ",1,204.875,7.1875,15000,96600,23500,12.1,1.6,16,27.6,18.9,7,14.3,12.6,0.3109
"179","LIM",3,"F150","AKW5075 ",2,195.8125,8.875,20000,86490,20000,8.9,1.7,19.1,30.4,6.1,4.6,13.1,12.2,0.2601
"180","LIM",3,"F150","AKW5075 ",3,210.9375,8.0625,18000,67100,24000,9.9,6.1,16.6,34.3,17.9,6.9,13.6,15.7,0.2519
"181","LIM",3,"F0","AMM5136",1,130.6875,8.0625,14400,74750,22000,9.7,4.8,25.5,31.3,13.5,6.5,14.3,10.3,0.2835
