"","yes","no","x","w","class"
"106",15,5,-0.0099888878082152,"1",2
"107",15,5,-0.222754298303975,"1",2
"108",5,15,-0.878244301451212,"0",2
"109",19,1,0.792153654735301,"0",2
"110",4,16,-1.39283115637103,"1",2
"111",19,1,1.21260457734482,"0",3
"112",18,2,0.485800107969984,"0",2
"113",20,0,-0.0199941820344124,"1",3
"114",7,13,-1.12627120953466,"0",2
"115",0,20,0.100030754853956,"0",1
"116",20,0,-0.10311458226503,"1",3
"117",20,0,0.341857783745195,"0",3
"118",0,20,-0.151414272192791,"0",1
"119",0,20,-0.45495533831127,"1",1
"120",16,4,0.191818529630755,"0",2
"121",18,2,-0.294745887894975,"1",3
"122",17,3,0.00965966778132504,"1",2
"123",20,0,-1.85607762892653,"1",3
"124",19,1,0.697533913707306,"1",2
"125",13,7,-0.175532239597466,"1",2
"126",19,1,-0.62915306292275,"1",3
"127",0,20,0.996773559318243,"1",1
"128",20,0,0.918564350569457,"1",3
"129",20,0,1.71955574297555,"0",2
"130",19,1,0.550760563695713,"0",2
"131",19,1,0.283037324137692,"1",3
"132",0,20,-0.277164160187627,"0",1
"133",19,1,0.507042435508377,"1",3
"134",20,0,2.56575603098085,"1",2
"135",12,8,-0.555907897747349,"0",2
"136",20,0,1.19197193243149,"1",3
"137",20,0,1.7638729654936,"0",2
"138",7,13,-0.678628636763825,"1",2
"139",17,3,0.214329353714262,"0",2
"140",8,12,-0.850849109088155,"0",2
"141",14,6,0.00629472657051145,"0",2
"142",18,2,-0.74206927706155,"0",3
"143",18,2,-0.674767872848462,"1",3
"144",20,0,2.0358909934432,"1",3
"145",10,10,-0.636129683767989,"0",2
"146",11,9,-0.361449731515137,"1",2
"147",12,8,-0.212155550479378,"0",2
"148",1,19,0.264817097233585,"0",1
"149",19,1,0.854611561993928,"1",3
"150",18,2,0.149642041844397,"0",2
"151",20,0,0.122247577747371,"1",3
"152",19,1,0.286245767442481,"0",2
"153",18,2,0.517189108926712,"0",2
"154",18,2,-0.0345186755187311,"0",3
"155",0,20,0.0695369356656944,"1",1
"156",15,5,0.555218774712577,"0",2
"157",0,20,-0.454754341721569,"0",1
"158",0,20,-0.362283276366281,"0",1
"159",13,7,0.114640427471014,"0",2
"160",1,19,0.791240719857737,"1",1
"161",0,20,-0.252863672519885,"1",1
"162",0,20,-0.649015524643391,"0",1
"163",20,0,0.909842712852341,"0",2
"164",3,17,1.5621134454309,"1",1
"165",18,2,0.6787179910118,"0",2
"166",17,3,-1.32370521956458,"0",3
"167",2,18,-1.88300843599373,"0",2
"168",18,2,1.14621576499902,"1",3
"169",18,2,1.18700848598732,"1",3
"170",14,6,0.080055208644254,"0",2
"171",20,0,1.00459749554183,"0",2
"172",19,1,0.590648591228885,"0",2
"173",13,7,-0.15262283993607,"0",2
"174",12,8,-0.44274132347625,"0",2
"175",13,7,-0.291678062398682,"1",2
"176",20,0,-0.407722816500075,"1",3
"177",5,15,-0.748793369416393,"0",2
"178",20,0,-1.64326442825937,"0",3
"179",2,18,0.691832024810554,"1",1
"180",19,1,-1.10966830065992,"1",3
"181",13,7,-0.723469296534668,"1",2
"182",0,20,-0.589837016174611,"0",1
"183",18,2,1.07699217186684,"1",3
"184",18,2,0.916484999201859,"1",3
"185",0,20,-2.03136489765003,"1",2
"186",20,0,-0.886964365069172,"0",3
"187",20,0,2.49462443609875,"0",2
"188",20,0,-0.0541776693247041,"1",3
"189",19,1,1.45388747059565,"0",2
"190",19,1,0.135811923871519,"1",3
"191",19,1,1.82091899559708,"0",2
"192",20,0,-1.45923015164729,"1",3
"193",17,3,-0.127892028182216,"1",3
"194",8,12,1.51931864645751,"1",1
"195",12,8,-0.402106221793111,"0",2
"196",17,3,0.618638020115181,"0",3
"197",19,1,-0.640821898763888,"0",3
"198",20,0,0.535845604134328,"1",3
"199",2,18,-1.13829454502474,"1",2
"200",12,8,-0.771220522037388,"1",2
