"","locus_of_control","self_concept","motivation","read","write","math","science","sex"
"86",0.71,1.19,"3",54.8,48.9,52.4,58,"male"
"87",0.75,1.19,"4",68,61.9,52.2,60.7,"male"
"88",0.06,-0.6,"3",62.7,56,57.3,60.7,"female"
"89",0.43,-1.09,"3",63.3,64.5,52.1,58,"female"
"90",0.3,0.56,"4",44.2,33.3,37.7,30.9,"male"
"91",0.26,0.94,"1",54.8,38.5,46.8,36.3,"female"
"92",0.46,-0.3,"4",53.2,60.6,61.2,56.9,"male"
"93",-0.9,-2.54,"1",44.2,43.7,40.2,39.6,"female"
"94",-0.19,-0.73,"3",73.3,60.6,64.7,66.1,"male"
"95",0.45,0.56,"4",52.1,43.7,41.9,47.1,"female"
"96",0.3,-0.6,"4",49.5,59.3,53.1,60.7,"female"
"97",-1.78,0.56,"2",37.3,43.7,45.4,39,"male"
"98",0.91,0.59,"4",65.4,67.1,67.1,66.1,"male"
"99",-0.6,-0.47,"3",46.9,54.1,49,52.6,"female"
"100",0.68,0.03,"1",44.2,35.9,43.6,47.1,"female"
"101",0.06,-1.07,"1",38.9,48.9,45.2,44.4,"female"
"102",0,0.34,"2",46.9,59.3,53.7,58,"female"
"103",0.46,0.03,"4",60.1,64.5,56.3,63.4,"female"
"104",-0.63,0.44,"2",41.6,43.7,46.8,36.3,"female"
"105",-0.4,-0.26,"2",52.1,54.1,55.3,52.6,"female"
"106",0.44,0.03,"4",55.3,51.5,48,58,"female"
"107",0.91,0.65,"2",54.8,48.9,41.9,52.6,"female"
"108",-1.15,-0.47,"3",44.2,56.7,52.2,44.4,"female"
"109",-0.03,0.63,"3",52.1,54.1,48.2,55.3,"male"
"110",-0.4,-0.47,"4",54.8,59.3,51.8,41.7,"female"
"111",0.02,0.13,"2",73.3,59.9,70.5,60.7,"male"
"112",1.36,0.44,"3",70.7,58,65.4,63.4,"male"
"113",-0.14,0.13,"3",41.6,56.7,51.3,47.1,"female"
"114",-0.17,-0.84,"3",62.7,56.7,54.3,58,"male"
"115",0.93,-1.63,"3",38.9,41.1,40.3,34.1,"male"
"116",-1.99,0.03,"1",39.4,54.1,38.7,47.1,"female"
"117",0.31,1.19,"4",40.5,46.9,40.4,39,"female"
"118",0.71,0.03,"4",54.8,61.2,53.7,48.8,"male"
"119",0.52,0.34,"4",65.4,54.1,61.4,58,"female"
"120",0.42,0.56,"3",70.7,56,62,67.7,"male"
"121",-1.74,0.61,"2",45.8,34.6,37.9,39,"male"
"122",0.06,0.03,"4",41.6,46.3,46.2,39,"female"
"123",1.13,0.87,"4",57.4,54.7,51.7,49.8,"male"
"124",0.75,1.19,"4",60.1,61.9,67.1,49.8,"female"
"125",1.16,1.19,"4",70.7,64.5,72.2,66.1,"female"
"126",0.46,0.63,"3",46.9,52.8,49.3,53.1,"male"
"127",-0.45,-0.6,"3",52.1,59.9,49.5,48.8,"male"
"128",-1.5,0.03,"3",33.6,48.9,38.6,42.3,"male"
"129",0.71,0.34,"1",62.7,64.5,57.4,60.7,"female"
"130",0.46,-0.55,"2",41.6,54.1,50.3,49.8,"female"
"131",0.71,1.19,"2",54.8,59.3,62.5,68.8,"male"
"132",1.36,1.19,"4",65.4,48.9,66.3,58,"male"
"133",0.3,0.03,"3",36.8,59.3,40.7,49.8,"female"
"134",0.93,0.65,"4",62.7,59.3,71.3,68.8,"female"
"135",0.55,0.9,"4",62.7,61.9,59.6,60.7,"female"
"136",0.27,0.03,"3",57.4,41.1,57,55.3,"female"
"137",0.44,-0.16,"3",62.7,48.9,48.8,66.1,"male"
"138",-1.34,1.19,"4",44.2,41.1,44.2,44.4,"female"
"139",0.06,0.94,"3",45.3,54.7,44.3,33.6,"female"
"140",0.26,0.03,"4",60.1,64.5,55.7,63.4,"female"
"141",-1.33,0.65,"1",40.5,38.5,47.1,44.4,"male"
"142",-1.1,-0.28,"3",38.9,41.1,45.9,47.1,"female"
"143",0.96,0.63,"4",65.4,64.5,70.3,66.1,"male"
"144",0.06,0.9,"3",38.9,52.8,54.4,49.8,"female"
"145",0.46,0.03,"1",73.3,61.9,73.1,68.8,"male"
"146",0.68,0.03,"3",71.2,63.2,60.2,65.5,"male"
"147",0.68,0.32,"4",36.3,56.7,41.9,49.8,"female"
"148",-0.44,-1.13,"4",54.8,61.9,69.6,60.7,"female"
"149",0.55,-0.6,"4",54.8,54.1,51.3,41.7,"female"
"150",-0.33,0.38,"3",62.7,59.3,56.5,55.3,"male"
"151",0.5,0.03,"3",68,59.3,58.8,66.1,"female"
"152",1.11,-0.09,"1",44.2,48.9,48,49.8,"male"
"153",-0.43,0.03,"4",52.1,44.3,53.1,58,"male"
"154",0,-0.42,"3",49.5,51.5,52.9,39,"female"
"155",0.71,0.34,"3",68,61.9,64.5,68.8,"female"
"156",0,-1.09,"3",62.7,51.5,45.9,47.1,"female"
"157",0.91,-0.28,"4",60.1,67.1,56.2,37.4,"female"
"158",0.06,0.03,"4",41.6,54.1,41.2,41.7,"female"
"159",-0.59,0.03,"2",33.6,54.1,41,41.7,"female"
"160",0.69,0.34,"4",52.1,56.7,53.4,60.7,"female"
"161",0.68,0.03,"4",65.4,64.5,51.3,66.1,"male"
"162",-0.82,0.63,"4",36.8,36.5,41.5,33.1,"male"
"163",-0.66,-0.47,"4",52.7,41.1,40.2,58,"male"
"164",0.03,0.32,"4",44.7,56.7,50.3,30.9,"male"
"165",0.71,-0.29,"3",57.4,61.9,55.5,58,"female"
"166",0.47,-0.09,"2",33.6,33.9,38.8,39.6,"female"
"167",-1.1,0.03,"4",38.9,38.5,42.8,41.7,"male"
"168",-0.4,-0.76,"3",52.1,35.9,50.3,47.1,"male"
"169",0.23,0.44,"4",49.5,51.5,45.5,49.8,"female"
"170",0.68,-0.47,"2",46.9,61.9,60.5,68.8,"male"
"171",1.36,0.59,"4",62.7,67.1,69.6,68.8,"male"
"172",-0.21,-1.38,"1",34.2,46.3,44.5,39,"male"
"173",0.06,0.56,"2",46.9,41.1,45.3,47.1,"male"
"174",0.91,-1.67,"2",57.4,54.1,54.8,60.7,"female"
"175",-0.4,0.88,"2",54.8,45,45.9,58,"male"
"176",0.29,0.39,"2",41.6,33.3,37.6,28.2,"male"
"177",-0.39,1.19,"4",40.5,59.3,41.9,33.6,"female"
"178",0.3,-0.59,"4",54.8,46.3,45.5,58,"male"
"179",0.31,0.63,"4",38.9,56.7,46.3,58,"female"
"180",0.69,0.03,"3",49.5,39.8,38.6,49.3,"male"
"181",0.52,-0.28,"3",38.9,41.7,33.7,30.9,"female"
"182",-0.38,0.03,"1",52.1,43.7,49.4,55.3,"male"
"183",0.1,1.19,"4",52.1,56.7,62.3,66.1,"female"
"184",0.1,0.03,"2",49.5,56.7,48,47.1,"female"
"185",-0.42,-0.6,"4",54.8,56.7,64.7,58,"male"
"186",0.33,-0.26,"4",52.1,67.1,57,63.4,"female"
"187",0.06,-0.59,"1",44.2,41.1,59.8,44.4,"male"
"188",1.14,1.19,"4",65.9,67.1,67.1,60.7,"female"
"189",0.46,0.03,"3",52.1,56.7,53,47.1,"female"
"190",0.46,0.34,"3",62.2,56.7,51.9,54.7,"male"
"191",0.68,0.94,"4",62.7,52.1,66.1,68.8,"male"
"192",0.1,0.56,"3",54.8,61.9,60.4,55.3,"male"
"193",0.05,0.15,"4",44.2,49.5,40.5,39,"female"
"194",0,0.65,"4",68,64.5,58.3,58.5,"female"
"195",-0.6,0.34,"1",49.5,41.7,50.3,36.3,"male"
"196",-1.57,0.65,"2",52.1,56.7,45.2,55.3,"male"
"197",1.36,0.94,"4",52.1,48.9,51.3,41.7,"female"
"198",0,0.65,"3",46.9,33.3,50.4,47.1,"male"
"199",-0.93,-0.8,"2",52.1,51.5,49.5,55.3,"male"
"200",0.32,0.9,"3",52.1,59.3,58.1,47.1,"female"
"201",0.26,0.03,"4",57.4,51.5,55.3,60.7,"male"
"202",0.2,-0.47,"3",56.4,49.5,51.9,47.1,"male"
"203",0.23,0.15,"2",49.5,51.5,48,52.6,"male"
"204",-0.16,0.65,"4",68,61.9,69.7,71.5,"male"
"205",-0.61,0.36,"1",44.2,48.9,46.1,47.1,"female"
"206",0.66,0.34,"3",54.8,56.7,61.9,63.4,"female"
"207",0.46,0.03,"3",54.8,54.7,56.9,58,"male"
"208",0.29,0.03,"4",49.5,48.9,56.2,47.1,"female"
"209",-0.66,-1.07,"3",49.5,61.9,60.4,47.1,"female"
"210",0.26,1.19,"4",52.1,52.8,37.6,52.6,"male"
"211",0.44,-0.47,"2",62.7,64.5,48,63.4,"male"
"212",-0.19,-0.85,"1",54.8,60.6,55.5,58,"female"
"213",0.52,0.65,"2",54.3,62.5,56.6,54.7,"male"
"214",0.91,0.34,"4",52.1,54.1,58.1,55.8,"male"
"215",0.06,0.32,"3",49.5,43.7,55.5,68.8,"male"
"216",-1.55,0.03,"1",36.3,41.1,43.5,33.6,"male"
"217",0.42,-0.47,"2",73.3,61.2,57.4,54.7,"female"
"218",0.67,0.03,"3",52.1,56.7,51.1,55.3,"female"
"219",0.06,0.59,"4",52.1,51.5,45.4,39,"female"
"220",-0.16,0.03,"2",44.2,59.3,49.5,55.3,"male"
"221",0.49,1.19,"4",46.9,51.5,50.6,49.8,"male"
"222",-0.8,0.15,"2",41.6,41.1,39.5,47.1,"female"
"223",-0.47,0.28,"4",65.4,61.9,47.1,60.7,"female"
"224",0.46,0.03,"4",41.6,64.5,47.1,53.1,"female"
"225",-0.34,0.59,"4",38.9,33.9,35.1,44.4,"female"
"226",0.1,1.19,"4",38.9,35.9,46.8,39,"female"
"227",0.52,-0.59,"3",41.6,59.3,38.6,36.3,"female"
"228",0.23,0.03,"4",52.1,59.3,52.9,60.7,"female"
"229",0.49,0.94,"4",49.5,39.8,44.5,55.3,"male"
"230",0.08,0.03,"4",54.8,67.1,47.4,49.8,"female"
"231",0.48,0.69,"3",62.7,43,58.9,65,"male"
"232",0.57,-2.62,"1",38.9,28.1,38.4,44.4,"female"
"233",-0.38,0.37,"3",44.2,43.7,46.1,47.1,"female"
"234",1.11,-1.05,"2",70.7,67.1,63,63.4,"female"
"235",-0.04,-0.29,"3",41.6,38.5,40.2,33.6,"female"
"236",0.46,0.59,"4",52.1,62.5,53.6,56.3,"female"
"237",-0.83,1.19,"3",38.9,38.5,44.4,26,"male"
"238",0,0.34,"4",62.7,59.9,65.4,53.6,"female"
"239",0.28,0.32,"4",52.1,54.1,56.5,55.3,"male"
"240",-0.22,-1.34,"3",46.9,31.3,43.6,36.3,"male"
"241",0,-0.18,"1",62.7,59.3,55.5,45.5,"female"
"242",-0.44,-0.55,"2",46.9,38.5,47.1,41.7,"male"
"243",0.26,0.88,"4",65.4,59.3,62.3,60.7,"male"
"244",0.46,-0.47,"1",49.5,61.9,41.4,55.3,"female"
"245",1.16,1.19,"2",55.3,46.9,49.1,54.2,"male"
"246",0.01,0.32,"1",52.1,41.1,50.6,52.6,"male"
"247",0.93,0.03,"4",65.9,67.1,70.5,52.6,"female"
"248",1.16,-0.72,"3",56.9,64.5,72.2,54.2,"female"
"249",0.46,0.65,"4",68,59.3,57.9,74.2,"male"
"250",0.89,0.32,"3",46.9,44.3,48.7,53.1,"male"
"251",0.91,0.03,"4",57.4,59.3,55.5,55.3,"female"
"252",0.73,0.03,"4",62.7,62.5,68.9,60.7,"female"
"253",0.46,0.03,"1",49.5,46.3,46.2,41.7,"male"
"254",-0.22,0.32,"2",35.2,38.5,39.9,34.7,"female"
"255",0,0.15,"2",73.3,64.5,75.5,60.7,"male"
"256",0.73,-1.42,"2",38.9,41.1,41,36.3,"female"
"257",0.25,0.34,"4",49.5,61.9,42.9,41.7,"female"
"258",0.31,0.03,"4",54.8,48.9,61.2,60.7,"male"
"259",0.93,0.34,"4",46.9,54.1,54.6,55.3,"male"
"260",0.51,-1.29,"2",39.4,41.7,46.9,35.2,"female"
"261",-0.49,0.03,"1",46.9,37.2,42.8,41.7,"female"
"262",-0.59,1.19,"3",36.3,36.5,35.1,33.6,"male"
"263",-0.59,0.28,"4",46.9,51.5,48.5,49.8,"female"
"264",0.29,0.88,"3",33.6,43.7,40.2,39,"female"
"265",-0.23,0.69,"3",46.9,61.9,48,39,"female"
"266",0.45,0.03,"3",60.1,61.9,51.9,53.1,"female"
"267",0.28,-0.06,"2",44.2,30.7,35.3,47.1,"male"
"268",-0.49,0.03,"2",65.4,59.3,56.8,66.1,"male"
"269",0.44,0.65,"4",52.1,54.1,54.6,41.7,"male"
"270",0.53,0.81,"3",54.8,59.3,61.4,47.1,"female"
"271",0.46,0.03,"2",44.7,38.5,45.9,44.4,"female"
"272",0.48,-0.47,"2",52.1,61.9,55.5,60.7,"female"
"273",-0.39,-0.28,"3",44.2,51.5,51.1,63.4,"male"
"274",-0.43,0.13,"2",38.9,44.3,51.6,43.9,"female"
"275",0.75,-0.72,"3",42.6,46.3,41.2,28.2,"female"
"276",0.91,0.34,"4",68,59.3,53,63.4,"female"
"277",-1.76,-0.93,"3",36.3,38.5,36.4,36.3,"female"
"278",0.46,-0.86,"4",68,59.3,60.5,55.3,"female"
"279",0.66,0.03,"4",52.1,56.7,41.9,52.6,"female"
"280",-1.58,-0.26,"2",62.7,48.9,35.3,66.1,"male"
"281",-0.19,0.03,"2",54.8,51.5,42.8,60.7,"male"
"282",0.46,1.19,"3",65.9,64.5,61.8,60.7,"female"
"283",-0.41,0.28,"2",46.9,35.9,42.6,58,"male"
"284",0,0.65,"4",52.1,61.9,62.1,58,"male"
"285",0.22,0.03,"2",52.1,54.7,49.5,53.6,"female"
"286",0.06,-0.29,"3",57.4,64.5,51.1,63.4,"male"
"287",0.46,0.34,"4",57.4,54.1,59.6,60.7,"female"
"288",0,0.03,"2",52.1,59.3,50.4,60.7,"male"
"289",-0.65,0.03,"2",41.6,39.1,42.3,41.7,"female"
"290",-0.6,-1.18,"3",54.8,59.3,68,49.3,"female"
"291",-0.4,-1.8,"2",50,45,42.9,41.7,"female"
"292",0.71,0.34,"3",52.1,41.1,51.3,60.7,"male"
"293",-0.45,-0.26,"1",38.9,35.9,44.2,55.3,"male"
"294",0.52,0.03,"4",46.9,51.5,53.7,41.7,"female"
"295",-1.15,-1.38,"4",49.5,56.7,46.1,53.6,"female"
"296",1.36,0.63,"4",68,64.5,58.9,63.4,"female"
"297",0.68,1.19,"2",41.6,41.1,57.2,71.5,"male"
"298",0.49,0.44,"3",53.7,43.7,51.1,52,"male"
"299",-0.11,0.25,"4",44.2,44.3,45.6,39,"male"
"300",0.71,0.03,"4",46.9,61.9,46.2,60.7,"male"
"301",-1.58,0.56,"3",49.5,33.3,48.7,44.4,"male"
"302",-0.21,-1.13,"1",38.9,41.1,43.6,55.3,"male"
"303",0.48,-0.82,"2",62.7,64.5,58.2,61.8,"female"
"304",0.26,0.03,"4",62.7,59.3,53.2,63.4,"male"
"305",0.75,-0.49,"2",41.6,41.1,41.2,44.4,"male"
"306",0.06,0.03,"4",54.8,41.1,42.8,47.1,"male"
"307",-0.84,-0.18,"1",33.6,46.3,38.4,36.3,"female"
"308",1.36,0.65,"4",46.9,51.5,57,49.8,"female"
"309",0.23,0.94,"4",57.4,67.1,57.9,60.7,"female"
"310",-0.44,-0.78,"4",58,48.9,43.8,44.4,"female"
"311",-0.38,0.03,"4",60.1,54.1,58,58,"male"
"312",-0.18,0.03,"3",44.2,48.9,56.3,41.7,"male"
"313",1.13,0.63,"3",60.1,64.5,57.9,60.7,"male"
"314",-0.4,0.03,"1",44.2,33.3,47.8,44.4,"male"
"315",1.16,1.19,"4",60.1,59.3,55.3,58,"female"
"316",0.06,0.28,"4",65.9,63.2,50.3,60.1,"female"
"317",0.46,0.03,"3",54.8,64.5,58.6,55.3,"male"
"318",0.28,1.19,"4",56.4,59.3,38.5,55.3,"female"
"319",1.13,0.03,"2",43.2,54.1,54.8,55.3,"female"
"320",0.3,-1.09,"1",51.1,56.7,55.3,47.7,"female"
"321",0.27,-2.52,"2",38.9,32,35.3,46.6,"female"
"322",-1.05,-0.34,"3",44.2,38.5,41.4,42.3,"male"
"323",1.13,0.03,"3",62.7,64.5,64.5,52.6,"female"
"324",0.06,0.03,"1",46.9,51.5,57.2,52.6,"male"
"325",-0.4,-1.34,"4",57.4,61.9,55.5,49.8,"female"
"326",0.91,0.03,"4",60.6,59.3,49.4,44.4,"female"
"327",-0.17,0.03,"3",44.2,59.3,45.7,55.3,"female"
"328",0.68,0.25,"4",44.2,51.5,36.9,49.8,"female"
"329",0.33,0.28,"3",52.1,46.3,48.1,55.3,"male"
"330",-0.16,-0.53,"3",62.7,61.9,67,66.1,"male"
"331",0.68,0.87,"4",54.8,56.7,56.9,58,"male"
"332",-1.09,0.03,"2",46.9,43.7,41.9,41.7,"female"
"333",0.28,0.03,"4",73.3,64.5,68,63.4,"male"
"334",0.47,0.34,"3",33.6,43,41,49.8,"female"
"335",0.46,0.34,"4",52.1,46.3,50.4,52.6,"male"
"336",-0.4,-0.89,"2",41.6,56.7,45,50.4,"female"
"337",-1.28,0.34,"2",31,35.9,46.1,39,"male"
"338",0.46,-0.47,"3",68,64.5,70.6,68.8,"male"
"339",-0.38,0.56,"4",33.6,36.5,45.7,39,"male"
"340",-0.03,0.87,"4",53.2,46.3,43,41.7,"male"
"341",0.49,0.94,"4",54.8,56.7,63.8,60.7,"male"
"342",0.11,-1.42,"4",60.1,59.3,62.1,60.7,"female"
"343",-2.23,1.19,"2",44.2,38.5,41.2,49.8,"male"
"344",1.13,0.03,"2",45.8,41.7,43.1,53.6,"male"
"345",0.47,0.34,"3",44.2,48.9,48,39,"female"
"346",0.22,-0.28,"1",36.3,48.9,39.5,41.7,"female"
"347",0.68,-0.26,"4",62.7,61.9,56.2,47.1,"male"
"348",-0.71,-2.29,"2",65.4,64.5,63.7,58,"female"
"349",0.2,-0.47,"2",38.9,38.5,53,52.6,"male"
"350",0.48,0.32,"4",49.5,54.1,38.7,49.8,"female"
"351",0.91,-0.47,"3",57.4,59.3,57.2,59.1,"female"
"352",0.06,0.03,"3",54.8,54.1,47.1,49.8,"female"
"353",0.02,0.03,"2",41.6,35.9,37.7,41.7,"female"
"354",0.46,0.94,"2",36.3,30.7,44.8,39.6,"male"
"355",-0.89,-1.23,"4",44.2,48.9,43.8,35.2,"female"
"356",0.46,0.32,"3",49.5,54.1,47.8,60.7,"female"
"357",0.26,0.03,"4",49.5,35.9,47.8,52.6,"male"
"358",-0.27,0.88,"4",52.1,64.5,60.6,60.7,"male"
"359",-0.93,0.65,"4",47.4,45.6,49.4,42.3,"female"
"360",0.46,-1.11,"2",65.4,67.1,67,66.1,"female"
"361",0.23,-0.76,"4",65.4,64.5,59.6,66.1,"female"
"362",0.96,0.87,"4",57.4,64.5,48,47.1,"female"
"363",-0.36,-1.67,"4",44.2,43.7,56.4,58,"male"
"364",0.06,0.32,"1",60.1,54.1,49.9,49.8,"female"
"365",0.22,-0.76,"4",31,41.1,49.2,33.6,"female"
"366",-1.05,0.28,"3",62.7,64.5,66.3,58,"male"
"367",-0.19,-1.67,"1",42.1,39.8,42.2,38.5,"female"
"368",-1.33,0.03,"3",41.6,30.7,56.9,47.1,"male"
"369",0.21,-0.28,"3",46.9,41.1,53.6,41.7,"male"
"370",-0.44,1.19,"4",60.1,54.1,59.6,55.3,"male"
"371",-0.23,0.44,"2",33.6,35.2,40.9,29.3,"female"
"372",0.32,-0.88,"2",57.4,54.1,42.2,44.4,"male"
"373",-0.93,-0.22,"3",65.4,64.5,65.5,60.7,"male"
"374",0.48,0.03,"4",60.1,46.3,51.4,52.6,"male"
"375",-1.81,-0.64,"4",41.6,54.1,46.9,47.1,"female"
"376",0.71,-0.05,"3",52.7,47.6,52.2,45,"female"
"377",-0.54,-0.59,"4",38.9,35.9,38.4,33.6,"female"
"378",0.1,0.03,"1",62.7,48.9,42.1,66.1,"male"
"379",0.26,0.94,"4",60.1,59.3,51.8,53.1,"female"
"380",1.11,0.34,"4",73.3,67.1,62.3,58,"female"
"381",-0.84,-2.6,"2",44.2,64.5,53,55.3,"female"
"382",0.02,-2.03,"3",38.9,59.3,39.5,39,"female"
"383",0.66,-0.47,"3",54.8,59.3,50.6,60.7,"female"
"384",0.27,0.03,"3",46.9,56.7,63.8,55.3,"female"
"385",0.45,0.03,"3",41.6,25.5,44.3,36.3,"male"
"386",0.55,0.34,"4",62.7,61.9,72.9,63.4,"male"
"387",0.46,0.65,"4",68,54.1,63,63.4,"male"
"388",-0.37,-0.47,"3",41.6,48.9,42.6,49.8,"male"
"389",-0.4,-1.09,"3",62.7,43.7,47.1,52.6,"male"
"390",0.55,0.63,"4",54.8,59.3,62.3,58,"male"
"391",0.87,0.87,"3",57.4,61.9,62.8,55.3,"female"
"392",0.68,0.34,"4",57.4,56.7,62.8,58,"male"
"393",0.71,0.03,"3",41.6,59.3,41.9,44.4,"female"
"394",-1.33,0.03,"4",41.6,48.9,33.7,44.4,"male"
"395",0.24,-0.35,"4",30.5,35.9,36.9,33.6,"male"
"396",0.43,-0.47,"4",42.6,50.8,44.6,39,"female"
"397",0.65,-0.3,"4",60.1,61.9,74.6,58,"male"
"398",0.75,-0.26,"3",41.6,35.9,42,31.4,"female"
"399",0,-0.82,"3",54.8,67.1,63.8,49.8,"female"
"400",0.06,0.28,"4",44.2,54.1,47.1,58,"female"
"401",0.02,-1.05,"2",60.1,64.5,61.2,60.7,"female"
"402",0.32,0.28,"3",62.7,63.2,68.9,74.2,"male"
"403",-0.88,-0.29,"2",44.2,54.1,41,49.8,"male"
"404",0.43,-0.05,"3",54.8,45.6,51.8,60.7,"male"
"405",-1.28,-1.05,"2",57.4,43.7,57.8,60.7,"male"
"406",-0.35,-0.89,"1",49.5,67.1,66.4,66.1,"female"
"407",-0.16,-2.58,"4",52.1,59.3,58.1,52.6,"female"
"408",-0.16,-0.47,"3",36.3,61.9,52.2,39,"female"
"409",0.7,-0.16,"4",49.5,61.9,50.9,46.1,"male"
"410",0.55,-0.24,"3",46.9,56.7,54.6,47.1,"female"
