"","time","wheat"
"223",1486,425.87
"224",1487,416.21
"225",1488,400.46
"226",1489,408.78
"227",1490,450.6
"228",1491,352.62
"229",1492,519.44
"230",1493,294.28
"231",1494,344.59
"232",1495,438.06
"233",1496,350.12
"234",1497,437.82
"235",1498,428.98
"236",1499,446.66
"237",1500,409.37
"238",1501,463.74
"239",1502,560.29
"240",1503,572.95
"241",1504,477.94
"242",1505,394.91
"243",1506,370.99
"244",1507,446.05
"245",1508,448.95
"246",1509,341.22
"247",1510,235.96
"248",1511,334.07
"249",1512,457.87
"250",1513,614.63
"251",1514,414.79
"252",1515,403.8
"253",1516,501.73
"254",1517,386.21
"255",1518,448.13
"256",1519,374.19
"257",1520,423.79
"258",1521,454.79
"259",1522,390.3
"260",1523,358.65
"261",1524,335.02
"262",1525,321.85
"263",1526,329.94
"264",1527,342.15
"265",1528,584.59
"266",1529,451.13
"267",1530,423.44
"268",1531,442.77
"269",1532,370.56
"270",1533,383.49
"271",1534,428.35
"272",1535,432.89
"273",1536,508.39
"274",1537,554.24
"275",1538,415.83
"276",1539,383.48
"277",1540,287.35
"278",1541,280.27
"279",1542,424.89
"280",1543,376.05
"281",1544,421.94
"282",1545,382.62
"283",1546,508.37
"284",1547,290.79
"285",1548,206.38
"286",1549,308.37
"287",1550,505.04
"288",1551,511.66
"289",1552,596.84
"290",1553,330.39
"291",1554,293.53
"292",1555,560.72
"293",1556,482.61
"294",1557,563.69
"295",1558,295.73
"296",1559,295.19
"297",1560,338.19
"298",1561,407.33
"299",1562,477.14
"300",1563,428.89
"301",1564,614.89
"302",1565,628.98
"303",1566,786.59
"304",1567,472.22
"305",1568,319.54
"306",1569,331.44
"307",1570,317.86
"308",1571,300.61
"309",1572,373.81
"310",1573,401
"311",1574,569.96
"312",1575,349.32
"313",1576,417.3
"314",1577,495.64
"315",1578,465.46
"316",1579,431.26
"317",1580,415.03
"318",1581,466.93
"319",1582,506.33
"320",1583,478.2
"321",1584,486.57
"322",1585,450.41
"323",1586,713.47
"324",1587,754.51
"325",1588,375.6
"326",1589,343.75
"327",1590,551.51
"328",1591,447.13
"329",1592,396.4
"330",1593,474.09
"331",1594,525.82
"332",1595,591.87
"333",1596,654.39
"334",1597,668.46
"335",1598,732.83
"336",1599,531.97
"337",1600,471.77
"338",1601,525.22
"339",1602,415.67
"340",1603,483.73
"341",1604,533.49
"342",1605,534.96
"343",1606,479.64
"344",1607,573.62
"345",1608,599.54
"346",1609,768.71
"347",1610,566.73
"348",1611,570.12
"349",1612,574.29
"350",1613,617.31
"351",1614,638.5
"352",1615,507.23
"353",1616,493.42
"354",1617,642.42
"355",1618,697.01
"356",1619,535.03
"357",1620,432.21
"358",1621,446.66
"359",1622,631.22
"360",1623,703.81
"361",1624,561.97
"362",1625,652.98
"363",1626,709.05
"364",1627,539
"365",1628,458.89
"366",1629,523.21
"367",1630,573.84
"368",1631,766.18
"369",1632,571.81
"370",1633,677.8
"371",1634,580.64
"372",1635,565.14
"373",1636,611.92
"374",1637,569.39
"375",1638,547.63
"376",1639,525.8
"377",1640,523.33
"378",1641,607.71
"379",1642,526.63
"380",1643,515.49
"381",1644,514.28
"382",1645,493.1
"383",1646,495.36
"384",1647,629.82
"385",1648,657.57
"386",1649,669.76
"387",1650,632.46
"388",1651,636.75
"389",1652,610.52
"390",1653,474.27
"391",1654,376.1
"392",1655,330.56
"393",1656,480.97
"394",1657,491.44
"395",1658,582.88
"396",1659,670.05
"397",1660,616.88
"398",1661,645.68
"399",1662,854.13
"400",1663,559.46
"401",1664,603.91
"402",1665,511.72
"403",1666,480.74
"404",1667,397.82
"405",1668,441.76
"406",1669,558.62
"407",1670,484.92
"408",1671,527.55
"409",1672,520.59
"410",1673,550.67
"411",1674,797.42
"412",1675,697.64
"413",1676,504.57
"414",1677,470.89
"415",1678,711.13
"416",1679,757.07
"417",1680,563.3
"418",1681,600.92
"419",1682,546.61
"420",1683,532.03
"421",1684,571.56
"422",1685,683.56
"423",1686,415.58
"424",1687,542.94
"425",1688,458.98
"426",1689,454.34
"427",1690,498.52
"428",1691,470.67
"429",1692,633.98
"430",1693,791.3
"431",1694,905.45
"432",1695,523.65
"433",1696,707.17
"434",1697,720.68
"435",1698,835.48
"436",1699,741.77
"437",1700,671.46
"438",1701,540.95
"439",1702,459.91
"440",1703,512.47
"441",1704,693.51
"442",1705,526.15
"443",1706,389.69
"444",1707,462.1
"445",1708,516.48
"446",1709,798.05
"447",1710,1006.19
"448",1711,588.32
"449",1712,713.47
"450",1713,641.86
"451",1714,838.13
"452",1715,528.2
"453",1716,776.93
"454",1717,707.6
"455",1718,663.77
"456",1719,455.82
"457",1720,546.17
"458",1721,557.09
"459",1722,495.37
"460",1723,570.79
"461",1724,525.78
"462",1725,658.06
"463",1726,659.04
"464",1727,543.52
"465",1728,791.38
"466",1729,750.78
"467",1730,561.69
"468",1731,540.96
"469",1732,451.16
"470",1733,476.54
"471",1734,495.21
"472",1735,617.02
"473",1736,673.62
"474",1737,510.93
"475",1738,503.34
"476",1739,525.76
"477",1740,642.56
"478",1741,820.75
"479",1742,475.15
"480",1743,392.97
"481",1744,381.11
"482",1745,385.35
"483",1746,497.83
"484",1747,549.93
"485",1748,506.81
"486",1749,525.68
"487",1750,497.76
"488",1751,541.69
"489",1752,663.2
"490",1753,678.64
"491",1754,651.17
"492",1755,497.86
"493",1756,583.47
"494",1757,808.68
"495",1758,701.64
"496",1759,551.62
"497",1760,522.52
"498",1761,537.05
"499",1762,537.05
"500",1763,539.26
"501",1764,656.62
"502",1765,651.66
"503",1766,632.86
"504",1767,835.9
"505",1768,841.35
"506",1769,741.25
"507",1770,618.01
"508",1771,777.69
"509",1772,764.89
"510",1773,756.84
"511",1774,801.02
"512",1775,755.34
"513",1776,590.96
"514",1777,744.05
"515",1778,633.14
"516",1779,534.92
"517",1780,572.22
"518",1781,685.11
"519",1782,727.19
"520",1783,720.3
"521",1784,684.2
"522",1785,614.93
"523",1786,575.72
"524",1787,620.94
"525",1788,655.86
"526",1789,772.21
"527",1790,756.25
"528",1791,687.71
"529",1792,603.68
"530",1793,653.91
"531",1794,658.03
"532",1795,875.81
"533",1796,874
"534",1797,622.04
"535",1798,599.86
"536",1799,738.64
"537",1800,919.68
"538",1801,897.71
"539",1802,687.41
"540",1803,645.95
"541",1804,662.24
"542",1805,822.04
"543",1806,736.15
"544",1807,693.71
"545",1808,682.87
"546",1809,786.37
"547",1810,880.52
"548",1811,791.95
"549",1812,914.2
"550",1813,773.57
"551",1814,609.17
"552",1815,588.11
"553",1816,781.7
"554",1817,878.29
"555",1818,761.48
"556",1819,664.59
"557",1820,717.18
"558",1821,691.07
"559",1822,610.89
"560",1823,713.66
"561",1824,787.88
"562",1825,719.53
"563",1826,652.11
"564",1827,695.46
"565",1828,739.78
"566",1829,819.39
"567",1830,824.47
"568",1831,774.19
"569",1832,739.28
"570",1833,710.02
"571",1834,671.53
"572",1835,562.67
"573",1836,625.09
"574",1837,702.37
"575",1838,806.92
"576",1839,822.81
"577",1840,758.54
"578",1841,753.24
"579",1842,725.16
"580",1843,715.06
"581",1844,732.43
"582",1845,692.81
"583",1846,716.5
"584",1847,860.77
"585",1848,714.09
"586",1849,645.9
"587",1850,581.26
"588",1851,555.99
"589",1852,576.22
"590",1853,669.32
"591",1854,854.82
"592",1855,889.11
"593",1856,823.62
"594",1857,653.6
"595",1858,565.62
"596",1859,549.91
"597",1860,639.7
"598",1861,670.66
"599",1862,665.73
"600",1863,528.24
"601",1864,474.14
"602",1865,502.55
"603",1866,594.4
"604",1867,767.06
"605",1868,765.84
"606",1869,589.06
"607",1870,578.99
"608",1871,680.74
"609",1872,644.8
"610",1873,652.78
"611",1874,658.08
"612",1875,552.37
"613",1876,569.73
"614",1877,700.34
"615",1878,605.86
"616",1879,589.14
"617",1880,573.16
"618",1881,597.47
"619",1882,600
"620",1883,553.42
"621",1884,499.14
"622",1885,489.79
"623",1886,472.83
"624",1887,501.34
"625",1888,491.06
"626",1889,453.77
"627",1890,484.71
"628",1891,566.38
"629",1892,457.66
"630",1893,403.04
"631",1894,365
"632",1895,379.49
"633",1896,426.48
"634",1897,479.02
"635",1898,523.12
"636",1899,406.11
"637",1900,399.38
"638",1901,403.81
"639",1902,425.48
"640",1903,399.38
"641",1904,416.23
"642",1905,437.43
"643",1906,410.49
"644",1907,438.55
"645",1908,468.95
"646",1909,531.23
"647",1910,449.37
"648",1911,444.73
"649",1912,470.4
"650",1913,422.93
"651",1914,475.12
"652",1915,578.56
"653",1916,555.82
"654",1917,583.9
"655",1918,494.33
"656",1919,455.6
"657",1920,441.78
"658",1921,430.74
"659",1922,354.89
"660",1923,326.81
"661",1924,382.2
"662",1925,402.06
"663",1926,419.86
"664",1927,399.31
"665",1928,350.37
"666",1929,348.73
"667",1930,294.49
"668",1931,226.73
"669",1932,238.97
"670",1933,221.57
"671",1934,199.37
"672",1935,210.14
"673",1936,283.55
"674",1937,352.49
"675",1938,251.66
"676",1939,180.66
"677",1940,323.39
"678",1941,429.25
"679",1942,435.36
"680",1943,424.63
"681",1944,389.79
"682",1945,362.98
"683",1946,365.56
"684",1947,388.13
"685",1948,447.39
"686",1949,481.22
"687",1950,519.89
"688",1951,525.06
"689",1952,497.16
"690",1953,508.05
"691",1954,451.48
"692",1955,352.42
"693",1956,371.14
"694",1957,302.85
"695",1958,296.23
"696",1959,284.45
"697",1960,286.1
"698",1961,266.88
"699",1962,271.51
"700",1963,256.11
"701",1964,259.78
"702",1965,243.45
"703",1966,236.43
"704",1967,232.8
"705",1968,226.41
"706",1969,222.4
"707",1970,241.52
"708",1971,205.09
"709",1972,227.62
"710",1973,360.59
"711",1974,378.85
"712",1975,289.3
"713",1976,321.45
"714",1977,298.97
"715",1978,296.12
"716",1979,291.2
"717",1980,246.31
"718",1981,247.13
"719",1982,237.6
"720",1983,249.05
"721",1984,218.01
"722",1985,201.32
"723",1986,192.78
"724",1987,184.83
"725",1988,166.84
"726",1989,154.3
"727",1990,147.24
"728",1991,139.44
"729",1992,124.68
"730",1993,113.2
"731",1994,119.97
"732",1995,128.81
"733",1996,128.21
