"","time","wagesuk"
"161",1420,7.22
"162",1421,7.96
"163",1422,7.59
"164",1423,6.85
"165",1424,7.15
"166",1425,6.78
"167",1426,7.15
"168",1427,7.66
"169",1428,7.44
"170",1429,5.82
"171",1430,5.31
"172",1431,6.41
"173",1432,7.22
"174",1433,6.56
"175",1434,6.78
"176",1435,7
"177",1436,7.74
"178",1437,7.96
"179",1438,5.75
"180",1439,4.79
"181",1440,5.23
"182",1441,7.96
"183",1442,8.7
"184",1443,7.59
"185",1444,7.22
"186",1445,8.47
"187",1446,7.74
"188",1447,7.37
"189",1448,7.22
"190",1449,6.93
"191",1450,7.22
"192",1451,6.78
"193",1452,7.59
"194",1453,7.59
"195",1454,7
"196",1455,7.81
"197",1456,7.3
"198",1457,7.96
"199",1458,7.44
"200",1459,7.74
"201",1460,7.59
"202",1461,6.19
"203",1462,6.41
"204",1463,8.4
"205",1464,8.55
"206",1465,6.85
"207",1466,6.78
"208",1467,6.85
"209",1468,6.93
"210",1469,6.85
"211",1470,7.22
"212",1471,7.15
"213",1472,7.07
"214",1473,7.59
"215",1474,7.74
"216",1475,8.18
"217",1476,8.7
"218",1477,9.06
"219",1478,8.25
"220",1479,7.59
"221",1480,7.15
"222",1481,6.41
"223",1482,5.08
"224",1483,4.57
"225",1484,5.75
"226",1485,7.44
"227",1486,8.55
"228",1487,7.15
"229",1488,6.63
"230",1489,6.78
"231",1490,6.93
"232",1491,6.56
"233",1492,7.15
"234",1493,6.26
"235",1494,7.66
"236",1495,8.25
"237",1496,7.81
"238",1497,7.3
"239",1498,7.66
"240",1499,7.44
"241",1500,7.84
"242",1501,6.89
"243",1502,6.04
"244",1503,6.46
"245",1504,6.89
"246",1505,7.16
"247",1506,6.95
"248",1507,7.52
"249",1508,7.37
"250",1509,8.01
"251",1510,7.16
"252",1511,7.6
"253",1512,7.3
"254",1513,6.14
"255",1514,6.25
"256",1515,6.89
"257",1516,6.7
"258",1517,6.64
"259",1518,6.35
"260",1519,5.71
"261",1520,5.38
"262",1521,4.41
"263",1522,4.61
"264",1523,5.42
"265",1524,5.54
"266",1525,5.71
"267",1526,5.54
"268",1527,5.01
"269",1528,4.12
"270",1529,4.64
"271",1530,4.36
"272",1531,4.78
"273",1532,4.12
"274",1533,4.41
"275",1534,5.19
"276",1535,5.8
"277",1536,4.68
"278",1537,5
"279",1538,5.67
"280",1539,5.38
"281",1540,5.06
"282",1541,4.89
"283",1542,4.73
"284",1543,4.8
"285",1544,4.66
"286",1545,4.38
"287",1546,3.4
"288",1547,3.68
"289",1548,4.46
"290",1549,4.16
"291",1550,3.52
"292",1551,3.34
"293",1552,3.56
"294",1553,3.9
"295",1554,3.76
"296",1555,3.94
"297",1556,2.95
"298",1557,2.73
"299",1558,4.98
"300",1559,4.6
"301",1560,4.53
"302",1561,4.34
"303",1562,4.66
"304",1563,2.39
"305",1564,4.59
"306",1565,4.41
"307",1566,4.5
"308",1567,4.63
"309",1568,4.69
"310",1569,4.83
"311",1570,4.48
"312",1571,5.12
"313",1572,5.08
"314",1573,5.05
"315",1574,3.73
"316",1575,4.26
"317",1576,4.6
"318",1577,3.95
"319",1578,4.13
"320",1579,4.48
"321",1580,4.31
"322",1581,4.24
"323",1582,4.3
"324",1583,4.55
"325",1584,4.43
"326",1585,4.36
"327",1586,4.19
"328",1587,3
"329",1588,4.26
"330",1589,4.16
"331",1590,3.72
"332",1591,3.21
"333",1592,3.99
"334",1593,4.14
"335",1594,3.87
"336",1595,2.86
"337",1596,2.92
"338",1597,2.15
"339",1598,2.54
"340",1599,3.11
"341",1600,3.21
"342",1601,2.75
"343",1602,3.13
"344",1603,3.29
"345",1604,3.65
"346",1605,3.29
"347",1606,3.15
"348",1607,3.28
"349",1608,2.9
"350",1609,2.64
"351",1610,2.93
"352",1611,3.18
"353",1612,2.82
"354",1613,2.68
"355",1614,2.6
"356",1615,2.63
"357",1616,2.62
"358",1617,2.74
"359",1618,2.85
"360",1619,3.07
"361",1620,3.16
"362",1621,3.37
"363",1622,3.01
"364",1623,2.7
"365",1624,2.97
"366",1625,3.06
"367",1626,2.99
"368",1627,3.37
"369",1628,3.63
"370",1629,3.35
"371",1630,2.9
"372",1631,2.56
"373",1632,3.05
"374",1633,3.17
"375",1634,2.96
"376",1635,3.07
"377",1636,3.12
"378",1637,3.01
"379",1638,2.67
"380",1639,3.14
"381",1640,3.53
"382",1641,3.32
"383",1642,3.53
"384",1643,3.59
"385",1644,3.77
"386",1645,3.52
"387",1646,3.59
"388",1647,3.09
"389",1648,2.7
"390",1649,2.56
"391",1650,2.52
"392",1651,3.04
"393",1652,3.32
"394",1653,3.75
"395",1654,4.04
"396",1655,4.16
"397",1656,3.96
"398",1657,3.61
"399",1658,3.42
"400",1659,3.16
"401",1660,3.24
"402",1661,3.41
"403",1662,3.29
"404",1663,3.34
"405",1664,3.54
"406",1665,3.54
"407",1666,3.68
"408",1667,3.86
"409",1668,3.86
"410",1669,4.03
"411",1670,4
"412",1671,4.03
"413",1672,4.18
"414",1673,4.21
"415",1674,3.97
"416",1675,3.68
"417",1676,3.86
"418",1677,4.19
"419",1678,4.17
"420",1679,3.95
"421",1680,4.07
"422",1681,4.23
"423",1682,4.24
"424",1683,4.34
"425",1684,4.32
"426",1685,4.22
"427",1686,4.2
"428",1687,4.8
"429",1688,4.82
"430",1689,4.89
"431",1690,4.82
"432",1691,4.75
"433",1692,4.86
"434",1693,4.66
"435",1694,4.2
"436",1695,4.22
"437",1696,4.21
"438",1697,4.19
"439",1698,4.01
"440",1699,3.91
"441",1700,4.5
"442",1701,5.2
"443",1702,5.3
"444",1703,5.64
"445",1704,5.48
"446",1705,6.09
"447",1706,5.42
"448",1707,6.3
"449",1708,6.08
"450",1709,5.29
"451",1710,4.68
"452",1711,4.23
"453",1712,5.68
"454",1713,5.93
"455",1714,5.61
"456",1715,5.57
"457",1716,5.88
"458",1717,6.14
"459",1718,6.3
"460",1719,6.06
"461",1720,5.78
"462",1721,5.92
"463",1722,6.45
"464",1723,6.7
"465",1724,6.37
"466",1725,6.19
"467",1726,5.91
"468",1727,6.3
"469",1728,6.13
"470",1729,5.86
"471",1730,6.42
"472",1731,6.96
"473",1732,6.9
"474",1733,7.26
"475",1734,7.03
"476",1735,6.97
"477",1736,7.16
"478",1737,6.7
"479",1738,6.84
"480",1739,7
"481",1740,6.23
"482",1741,5.77
"483",1742,6.3
"484",1743,6.63
"485",1744,7.42
"486",1745,7.34
"487",1746,6.7
"488",1747,6.93
"489",1748,6.63
"490",1749,6.39
"491",1750,6.56
"492",1751,6.93
"493",1752,6.76
"494",1753,7.04
"495",1754,7.1
"496",1755,7
"497",1756,7.06
"498",1757,6
"499",1758,6.22
"500",1759,6.65
"501",1760,6.84
"502",1761,7.19
"503",1762,7.23
"504",1763,6.86
"505",1764,6.77
"506",1765,6.56
"507",1766,6.55
"508",1767,6.48
"509",1768,6.59
"510",1769,7.38
"511",1770,7.22
"512",1771,6.79
"513",1772,6.26
"514",1773,6.2
"515",1774,6.4
"516",1775,6.62
"517",1776,6.6
"518",1777,7.06
"519",1778,6.59
"520",1779,7.02
"521",1780,7.18
"522",1781,6.94
"523",1782,6.96
"524",1783,6.33
"525",1784,6.55
"526",1785,6.96
"527",1786,7.1
"528",1787,7.29
"529",1788,7.12
"530",1789,7.44
"531",1790,7.1
"532",1791,7.35
"533",1792,7.36
"534",1793,7.03
"535",1794,6.74
"536",1795,6.3
"537",1796,6.07
"538",1797,6.44
"539",1798,6.56
"540",1799,6.18
"541",1800,4.76
"542",1801,4.5
"543",1802,6
"544",1803,6.81
"545",1804,6.71
"546",1805,5.88
"547",1806,6.07
"548",1807,6.18
"549",1808,5.79
"550",1809,5.72
"551",1810,6.02
"552",1811,6.05
"553",1812,5.26
"554",1813,5.13
"555",1814,5.96
"556",1815,6.52
"557",1816,7.24
"558",1817,6.59
"559",1818,6.43
"560",1819,6.49
"561",1820,7.69
"562",1821,8.96
"563",1822,9.97
"564",1823,9.75
"565",1824,8.99
"566",1825,7.67
"567",1826,8.12
"568",1827,8.68
"569",1828,8.95
"570",1829,9.06
"571",1830,9.4
"572",1831,8.56
"573",1832,9.24
"574",1833,9.86
"575",1834,10.69
"576",1835,10.53
"577",1836,9.48
"578",1837,9.27
"579",1838,9.22
"580",1839,8.59
"581",1840,8.44
"582",1841,8.66
"583",1842,9.38
"584",1843,10.57
"585",1844,10.59
"586",1845,10.11
"587",1846,9.73
"588",1847,9.17
"589",1848,10.69
"590",1849,11.21
"591",1850,11.28
"592",1851,11.46
"593",1852,11.4
"594",1853,10.29
"595",1854,9.71
"596",1855,9.84
"597",1856,9.89
"598",1857,9.67
"599",1858,10.73
"600",1859,10.58
"601",1860,10.15
"602",1861,10.29
"603",1862,10.49
"604",1863,10.59
"605",1864,10.88
"606",1865,11.36
"607",1866,11.55
"608",1867,11.77
"609",1868,12.08
"610",1869,12.5
"611",1870,12.83
"612",1871,12.69
"613",1872,12.15
"614",1873,12.15
"615",1874,12.91
"616",1875,13.41
"617",1876,13.55
"618",1877,13.59
"619",1878,14.4
"620",1879,14.85
"621",1880,14.32
"622",1881,14.63
"623",1882,14.8
"624",1883,14.82
"625",1884,15.62
"626",1885,16.69
"627",1886,17.1
"628",1887,17.33
"629",1888,17.37
"630",1889,17.2
"631",1890,17.24
"632",1891,17.27
"633",1892,17.12
"634",1893,17.35
"635",1894,18.32
"636",1895,19.01
"637",1896,19.22
"638",1897,18.97
"639",1898,18.52
"640",1899,19.15
"641",1900,18.17
"642",1901,18.45
"643",1902,18.52
"644",1903,18.39
"645",1904,18.27
"646",1905,18.35
"647",1906,18.23
"648",1907,17.9
"649",1908,18.36
"650",1909,18.25
"651",1910,17.94
"652",1911,17.83
"653",1912,17.36
"654",1913,16.19
"655",1914,17.56
"656",1915,14.95
"657",1916,13.41
"658",1917,11.99
"659",1918,12.33
"660",1919,16.16
"661",1920,19.87
"662",1921,18.77
"663",1922,18.5
"664",1923,19.36
"665",1924,21.12
"666",1925,21.09
"667",1926,21.51
"668",1927,22.17
"669",1928,22.31
"670",1929,22.64
"671",1930,22.82
"672",1931,23.7
"673",1932,24.29
"674",1933,24.22
"675",1934,24.11
"676",1935,25.2
"677",1936,25.23
"678",1937,24.74
"679",1938,25.11
"680",1939,24.95
"681",1940,23.99
"682",1941,22.84
"683",1942,21.77
"684",1943,21.78
"685",1944,22.62
"686",1945,22.69
"687",1946,25.73
"688",1947,26.66
"689",1948,24.91
"690",1949,24.6
"691",1950,24.27
"692",1951,24.17
"693",1952,23.76
"694",1953,24.17
"695",1954,25.18
"696",1955,25.74
"697",1956,26.19
"698",1957,26.68
"699",1958,27.05
"700",1959,27.59
"701",1960,27.78
"702",1961,27.51
"703",1962,28.08
"704",1963,28.57
"705",1964,28.87
"706",1965,28.32
"707",1966,28.35
"708",1967,28.92
"709",1968,29.51
"710",1969,28.64
"711",1970,29.83
"712",1971,30.2
"713",1972,31.99
"714",1973,37.36
"715",1974,37.53
"716",1975,40.09
"717",1976,39.52
"718",1977,37.01
"719",1978,36.98
"720",1979,36.1
"721",1980,35.65
"722",1981,35.96
"723",1982,36.21
"724",1983,37.24
"725",1984,37.58
"726",1985,38.3
"727",1986,39.97
"728",1987,41.42
"729",1988,43.76
"730",1989,45.4
"731",1990,46.19
"732",1991,46.86
"733",1992,49.42
"734",1993,49.51
"735",1994,49.99
