"","name","country.etc","pop","lat","long","capital"
"95","Brownsburg QC","QC",2606,45.68,-74.4,0
"96","Brussels ON","ON",1223,43.75,-81.25,0
"97","Buckingham QC","QC",21448,45.58,-75.42,0
"98","Burford ON","ON",1969,43.11,-80.42,0
"99","Burgeo NL","NL",1591,47.6,-57.63,0
"100","Burns Lake BC","BC",2637,54.22,-125.77,0
"101","Cabano QC","QC",2719,47.68,-68.88,0
"102","Cache Creek BC","BC",1061,50.8,-121.32,0
"103","Caledon East ON","ON",2112,43.87,-79.87,0
"104","Caledon ON","ON",1766,43.81,-79.83,0
"105","Caledonia ON","ON",9180,43.07,-79.95,0
"106","Calgary AB","AB",991432,51.05,-114.06,0
"107","Calmar AB","AB",2023,53.25,-113.78,0
"108","Campbell River BC","BC",33972,49.99,-125.23,0
"109","Campbellford ON","ON",3931,44.3,-77.8,0
"110","Campbellton NB","NB",11967,48,-66.68,0
"111","Camrose AB","AB",15889,53.02,-112.84,0
"112","Canmore AB","AB",12834,51.09,-115.35,0
"113","Cannington ON","ON",2147,44.35,-79.03,0
"114","Canora SK","SK",2022,51.63,-102.43,0
"115","Cap-aux-Meules QC","QC",1692,47.38,-61.87,0
"116","Cap-Chat QC","QC",1471,49.08,-66.68,0
"117","Capreol ON","ON",3713,46.7,-80.92,0
"118","Caraquet NB","NB",4583,47.78,-64.95,0
"119","Carberry MB","MB",1590,49.87,-99.35,0
"120","Carbonear NL","NL",6665,47.75,-53.24,0
"121","Cardinal ON","ON",1860,44.78,-75.37,0
"122","Cardston AB","AB",3697,49.2,-113.32,0
"123","Carleton Centre QC","QC",1098,48.1,-66.1,0
"124","Carleton Place ON","ON",9867,45.13,-76.13,0
"125","Carlisle ON","ON",2332,43.15,-81.54,0
"126","Carlyle SK","SK",1158,49.63,-102.27,0
"127","Carman MB","MB",2975,49.5,-98,0
"128","Carnduff SK","SK",935,49.17,-101.78,0
"129","Caronport SK","SK",956,50.45,-105.82,0
"130","Carrot SK","SK",935,53.28,-103.58,0
"131","Carstairs AB","AB",2398,51.53,-114.1,0
"132","Casselman ON","ON",3113,45.3,-75.08,0
"133","Castlegar BC","BC",8722,49.32,-117.67,0
"134","Catalina NL","NL",1322,48.52,-53.08,0
"135","Causapscal QC","QC",2040,48.35,-67.22,0
"136","Cayuga ON","ON",1757,42.93,-79.95,0
"137","Central Okanagan BC","BC",37041,50.03,-119.87,0
"138","Chandler QC","QC",2873,48.33,-64.67,0
"139","Channel-Port aux Basques NL","NL",4123,47.58,-59.17,0
"140","Chapais QC","QC",1831,49.78,-74.87,0
"141","Chapleau ON","ON",3029,47.83,-83.4,0
"142","Charlottetown PE","PE",43540,46.24,-63.14,2
"143","Chase BC","BC",2473,50.82,-119.68,0
"144","Chateau Lake Louise AB","AB",1107,51.43,-116.18,0
"145","Chateau-Richer MB","MB",1961,49.65,-96.45,0
"146","Chatham ON","ON",44598,42.41,-82.19,0
"147","Chatham-Douglastown NB","NB",13235,47.03,-65.46,0
"148","Chemainus BC","BC",2720,48.92,-123.7,0
"149","Chesley ON","ON",2011,44.3,-81.1,0
"150","Chester NS","NS",1517,44.53,-64.23,0
"151","Chestermere AB","AB",3632,51.06,-113.78,0
"152","Chesterville ON","ON",1602,45.1,-75.22,0
"153","Chetwynd BC","BC",2589,55.7,-121.62,0
"154","Chibougamou QC","QC",7638,49.87,-74.35,0
"155","Chicoutimi-Jonquiere QC","QC",110582,48.43,-71.08,0
"156","Chilliwack BC","BC",51980,49.17,-121.96,0
"157","Chisasibi QC","QC",3536,53.79,-78.94,0
"158","Chute-aux-Outardes BC","BC",2007,49.12,-68.38,0
"159","Clairmont AB","AB",1500,55.27,-118.8,0
"160","Clarenville-Shoal Harbour NL","NL",3402,48.15,-53.97,0
"161","Claresholm AB","AB",3853,50.03,-113.58,0
"162","Clermont QC","QC",2922,47.68,-70.23,0
"163","Clinton ON","ON",3334,43.6,-81.53,0
"164","Clyde River NU","NU",1054,70.46,-68.63,0
"165","Coaldale AB","AB",6391,49.73,-112.62,0
"166","Coalhurst AB","AB",1570,49.74,-112.92,0
"167","Coaticook QC","QC",7045,45.13,-71.8,0
"168","Cobourg ON","ON",18316,43.96,-78.17,0
"169","Cochrane AB","AB",17798,51.19,-114.47,0
"170","Cochrane ON","ON",4463,49.07,-81.02,0
"171","Colborne ON","ON",2182,44.02,-77.88,0
"172","Colchester ON","ON",2336,41.98,-82.93,0
"173","Coleraine QC","QC",1324,45.96,-71.38,0
"174","Collingwood ON","ON",15829,44.49,-80.21,0
"175","Conception Bay South NL","NL",16895,47.5,-53,0
"176","Constance Bay ON","ON",2489,45.25,-75.5,0
"177","Contrecoeur QC","QC",3440,45.89,-73.21,0
"178","Cookshire QC","QC",1574,45.42,-71.62,0
"179","Cookstown ON","ON",1550,44.21,-79.65,0
"180","Corner Brook NL","NL",18387,48.96,-57.96,0
"181","Cornwall ON","ON",48894,45.03,-74.74,0
"182","Cornwall PE","PE",2287,46.23,-63.22,0
"183","Courtenay BC","BC",32817,49.69,-125,0
"184","Cowansville QC","QC",10766,45.21,-72.75,0
"185","Cowichan Valley BC","BC",3179,48.73,-123.62,0
"186","Crabtree QC","QC",2256,45.97,-73.47,0
"187","Cranbrook BC","BC",18624,49.51,-115.77,0
"188","Creemore ON","ON",1409,44.32,-80.1,0
"189","Creston BC","BC",4820,49.1,-116.52,0
"190","Crossfield AB","AB",2541,51.43,-114.03,0
"191","Crystal Beach ON","ON",7152,45.05,-79.4,0
"192","Cultus Lake BC","BC",1262,49.05,-121.96,0
"193","Cumberland BC","BC",2632,49.62,-125.02,0
"194","Dalhousie NB","NB",4104,48.07,-66.37,0
"195","Dallas BC","BC",4366,50.66,-120.46,0
"196","Dalmeny SK","SK",1479,52.33,-106.78,0
"197","Danville QC","QC",1768,45.78,-72.02,0
"198","Dauphin MB","MB",8497,51.15,-100.05,0
"199","Daveluyville QC","QC",1323,46.21,-72.15,0
"200","Davidson SK","SK",951,51.27,-105.97,0
"201","Dawson Creek BC","BC",10810,55.76,-120.24,0
"202","Deep River QC","QC",4350,46.1,-77.5,0
"203","Deer Lake NL","NL",4072,49.18,-57.43,0
"204","Degelis QC","QC",2271,47.56,-68.65,0
"205","Delhi ON","ON",4281,42.85,-80.5,0
"206","Deloraine MB","MB",1078,49.18,-100.5,0
"207","Desbiens QC","QC",1151,48.42,-71.95,0
"208","Deseronto ON","ON",1921,44.2,-77.03,0
"209","Devon AB","AB",5286,53.37,-113.73,0
"210","Didsbury AB","AB",4183,51.67,-114.13,0
"211","Digby NS","NS",2033,44.62,-65.77,0
"212","Disraeli QC","QC",2688,45.9,-71.35,0
"213","Dolbeau QC","QC",12962,48.87,-72.23,0
"214","Donnacona QC","QC",8042,46.67,-71.73,0
"215","Drayton ON","ON",1626,43.75,-80.67,0
"216","Drayton Valley AB","AB",6171,53.22,-114.98,0
"217","Dresden ON","ON",2762,42.58,-82.17,0
"218","Drumheller AB","AB",6549,51.47,-112.71,0
"219","Drummondville QC","QC",59700,45.89,-72.49,0
"220","Dryden ON","ON",7012,49.78,-92.83,0
"221","Duck Lake BC","BC",5632,49.23,-116.63,0
"222","Duncan BC","BC",22215,48.78,-123.7,0
"223","Dundalk ON","ON",2109,44.17,-80.38,0
"224","Dunnville ON","ON",6082,42.91,-79.62,0
"225","Dunville NL","NL",3260,48.28,-53.88,0
"226","Durham ON","ON",2898,44.18,-80.82,0
"227","Dutton ON","ON",1470,42.66,-81.5,0
"228","East Angus QC","QC",3647,45.48,-71.67,0
"229","East Broughton QC","QC",2414,46.22,-71.08,0
"230","Edmonton AB","AB",831979,53.57,-113.54,2
"231","Edmundston NB","NB",18851,47.38,-68.34,0
"232","Edson AB","AB",8069,53.58,-116.42,0
"233","Eganville ON","ON",1316,45.53,-77.1,0
"234","Elk Point AB","AB",1532,53.9,-110.9,0
"235","Elkford BC","BC",2587,50.06,-114.88,0
"236","Elliot Lake ON","ON",12667,46.39,-82.66,0
"237","Elmira ON","ON",8723,43.6,-80.55,0
"238","Elmvale ON","ON",2328,44.58,-79.87,0
"239","Embrun ON","ON",4779,45.29,-75.3,0
"240","Enderby BC","BC",2833,50.55,-119.13,0
"241","Enfield NS","NS",3096,44.93,-63.54,0
"242","Englehart ON","ON",1706,47.82,-79.87,0
"243","Erin ON","ON",3091,43.77,-80.07,0
"244","Espanola ON","ON",4742,46.25,-81.77,0
"245","Essex ON","ON",7490,42.17,-82.82,0
"246","Esterhazy SK","SK",2158,50.65,-102.08,0
"247","Estevan SK","SK",9824,49.14,-103.01,0
"248","Eston SK","SK",963,51.15,-108.75,0
"249","Everett ON","ON",1226,44.25,-80,0
"250","Exeter ON","ON",4762,43.35,-81.48,0
"251","Fairview AB","AB",3351,56.07,-118.4,0
"252","Falher AB","AB",1180,55.74,-117.2,0
"253","Farnham QC","QC",6083,45.28,-72.97,0
"254","Fenelon Falls ON","ON",2005,44.53,-78.75,0
"255","Fergus ON","ON",17898,43.7,-80.37,0
"256","Ferme-Neuve QC","QC",2123,46.7,-75.45,0
"257","Fermont QC","QC",2976,52.79,-67.06,0
"258","Fernie BC","BC",5023,49.5,-115.07,0
"259","Filion QC","QC",1211,45.81,-74.1,0
"260","Flin Flon MB","MB",5932,54.77,-101.89,0
"261","Foam Lake SK","SK",1119,51.65,-103.53,0
"262","Forest ON","ON",3056,43.1,-82,0
"263","Forestville QC","QC",3582,48.73,-69.07,0
"264","Fort Erie ON","ON",16155,42.91,-78.93,0
"265","Fort Frances ON","ON",7834,48.62,-93.42,0
"266","Fort Langley BC","BC",2655,49.03,-122.5,0
"267","Fort MacLeod AB","AB",3096,49.73,-113.4,0
"268","Fort MacPherson NT","NT",1085,67.43,-134.84,0
"269","Fort Nelson BC","BC",4210,58.82,-122.53,0
"270","Fort Qu'Appelle SK","SK",2007,50.77,-103.78,0
"271","Fort Saint James BC","BC",2393,54.43,-124.25,0
"272","Fort Saint John BC","BC",16810,56.25,-120.85,0
"273","Fort-Coulonge QC","QC",2921,45.85,-76.75,0
"274","Fox Creek AB","AB",2486,54.4,-116.84,0
"275","Frankford ON","ON",2660,44.2,-77.6,0
"276","Fraser Lake BC","BC",1275,59.72,-135.05,0
"277","Fredericton NB","NB",51916,45.96,-66.66,2
"278","Fruitvale BC","BC",3793,49.12,-117.55,0
"279","Gambo NL","NL",1578,48.78,-54.22,0
"280","Gananoque ON","ON",5527,44.33,-76.17,0
"281","Gander NL","NL",8624,48.95,-54.65,0
"282","Gaspe QC","QC",3343,48.82,-64.51,0
"283","Gentilly QC","QC",2121,46.35,-72.45,0
"284","Georgetown ON","ON",32575,43.66,-79.93,0
"285","Georgina ON","ON",46775,44.27,-79.25,0
"286","Geraldton ON","ON",2379,49.72,-86.97,0
"287","Gibbons AB","AB",2823,53.84,-113.33,0
"288","Gibsons BC","BC",6826,49.4,-123.5,0
"289","Gimli MB","MB",2028,50.63,-97,0
"290","Glace Bay NS","NS",21604,46.2,-59.97,0
"291","Glencoe ON","ON",2302,42.75,-81.7,0
"292","Goderich ON","ON",8134,43.73,-81.7,0
"293","Gold River BC","BC",1366,49.78,-126.05,0
"294","Golden BC","BC",4041,51.3,-116.97,0
"295","Golden ON","ON",1291,45.58,-77.25,0
"296","Goulds NL","NL",3926,47.4,-52.79,0
"297","Granby QC","QC",54171,45.41,-72.73,0
"298","Grand Bank NL","NL",4777,47.1,-55.76,0
"299","Grand Bend ON","ON",2085,43.32,-81.75,0
"300","Grand Centre AB","AB",12531,54.42,-110.22,0
"301","Grand Falls NB","NB",5630,47.05,-67.73,0
"302","Grand Falls-Windsor NL","NL",11899,48.93,-55.66,0
"303","Grand Forks BC","BC",4211,49.05,-118.47,0
"304","Grand Valley ON","ON",1879,43.9,-80.32,0
"305","Grande Cache AB","AB",4072,53.88,-119.12,0
"306","Grande Prairie AB","AB",42712,55.18,-118.8,0
"307","Grande-Riviere QC","QC",1514,48.38,-64.5,0
"308","Gravelbourg SK","SK",1091,49.88,-106.55,0
"309","Gravenhurst ON","ON",5913,44.92,-79.37,0
"310","Grenfell SK","SK",980,50.42,-102.92,0
"311","Grimshaw AB","AB",2590,56.18,-117.6,0
"312","Guelph ON","ON",117979,43.56,-80.26,0
"313","Gull Lake SK","SK",934,50.1,-108.48,0
"314","Hagersville ON","ON",2657,42.95,-80.05,0
"315","Haileybury ON","ON",11131,47.43,-79.63,0
"316","Haines Junction YT","YT",1191,60.76,-137.51,0
"317","Halifax NS","NS",263547,44.67,-63.61,2
"318","Hamilton ON","ON",661942,43.26,-79.85,0
"319","Hammonds Plains Road NS","NS",1109,44.79,-63.71,0
"320","Hampton NB","NB",2616,45.53,-65.83,0
"321","Hanna AB","AB",3176,51.63,-111.92,0
"322","Hanover ON","ON",7348,44.15,-81.03,0
"323","Hantsport NS","NS",1241,45.07,-64.18,0
"324","Happy Valley-Goose Bay NL","NL",6034,53.34,-60.4,0
"325","Harbour Breton NL","NL",1856,47.48,-55.83,0
"326","Hare Bay NL","NL",946,48.85,-54.02,0
"327","Harriston ON","ON",2176,43.92,-80.88,0
"328","Harrow ON","ON",3140,42.03,-82.92,0
"329","Hastings ON","ON",1292,44.3,-77.95,0
"330","Hauterive QC","QC",12862,49.18,-68.27,0
"331","Havelock ON","ON",1421,44.44,-77.88,0
"332","Havre-Saint-Pierre QC","QC",2976,50.25,-63.58,0
"333","Hawkesbury ON","ON",12439,45.62,-74.6,0
"334","Hay River NT","NT",3064,60.86,-115.75,0
"335","Hearst ON","ON",4806,49.7,-83.67,0
"336","Hebertville QC","QC",1697,48.4,-71.68,0
"337","Hensall ON","ON",1277,43.43,-81.5,0
"338","High Level AB","AB",3664,58.52,-117.13,0
"339","High Prairie AB","AB",2912,55.43,-116.48,0
"340","High River AB","AB",9941,50.58,-113.87,0
"341","Hillsburgh ON","ON",1281,43.81,-80.15,0
"342","Hinton AB","AB",10005,53.4,-117.58,0
"343","Hope BC","BC",4602,49.38,-121.43,0
"344","Hornepayne ON","ON",1403,49.22,-84.78,0
"345","Houston BC","BC",2886,54.4,-126.65,0
"346","Hudson Bay SK","SK",1634,52.85,-102.38,0
"347","Humber Arm South NL","NL",1123,49.07,-58.18,0
"348","Humboldt SK","SK",4743,52.2,-105.12,0
"349","Huntingdon QC","QC",2876,45.08,-74.18,0
"350","Huntsville ON","ON",8073,45.32,-79.22,0
"351","Indian Head SK","SK",1615,50.53,-103.67,0
"352","Ingersoll ON","ON",12093,43.03,-80.88,0
"353","Innisfil ON","ON",7439,44.26,-79.64,0
"354","Inuvik NT","NT",3055,68.37,-133.73,0
"355","Invermere BC","BC",2873,50.5,-116.03,0
"356","Inverness NS","NS",1624,46.24,-61.31,0
"357","Iqaluit NU","NU",6364,63.74,-68.55,2
"358","Iroquois Falls ON","ON",4286,48.77,-80.69,0
"359","Iroquois ON","ON",1314,44.85,-75.32,0
"360","Irricana AB","AB",1104,51.32,-113.62,0
"361","Jarvis ON","ON",2332,42.99,-79.7,0
"362","Jasper AB","AB",3953,52.88,-118.08,0
"363","Joliette QC","QC",34896,46.03,-73.45,0
"364","Kamloops BC","BC",68879,50.68,-120.34,0
"365","Kamsack SK","SK",1846,51.57,-101.9,0
"366","Kanata ON","ON",100433,45.34,-75.88,0
"367","Kangerdlinerk NU","NU",2368,62.82,-92.12,0
"368","Kapuskasing ON","ON",9358,49.43,-82.42,0
"369","Kars ON","ON",1646,49,-84,0
"370","Kedgwick NB","NB",1137,47.63,-67.33,0
"371","Kelowna BC","BC",129691,49.89,-119.46,0
"372","Kelvington SK","SK",925,52.17,-103.52,0
"373","Kemptville ON","ON",4283,45.02,-75.63,0
"374","Kenora ON","ON",13412,49.78,-94.49,0
"375","Kensington PE","PE",1434,46.43,-63.65,0
"376","Kent BC","BC",2535,49.24,-121.81,0
"377","Kentville NS","NS",12519,45.08,-64.51,0
"378","Kerrobert SK","SK",1021,51.92,-109.13,0
"379","Killam AB","AB",1068,52.78,-111.85,0
"380","Killarney MB","MB",2385,49.18,-99.67,0
"381","Kimberley BC","BC",6518,49.68,-115.98,0
"382","Kincardine ON","ON",6857,44.17,-81.63,0
"383","Kindersley SK","SK",4179,51.47,-109.13,0
"384","Kingsey Falls QC","QC",1485,45.85,-72.08,0
"385","Kingston ON","ON",115695,44.23,-76.5,0
"386","Kingston-Greenwood NS","NS",6851,44.98,-64.9,0
"387","Kipling SK","SK",953,50.1,-102.63,0
"388","Kirkland Lake ON","ON",7572,48.17,-80.03,0
"389","Kitchener ON","ON",414309,43.46,-80.5,0
"390","Kitimat BC","BC",10286,54.01,-128.7,0
"391","La Crete AB","AB",1500,59.13,-117.55,0
"392","La Malbaie QC","QC",4463,47.65,-70.17,0
"393","La Pocatiere QC","QC",4235,47.4,-70.01,0
"394","La Ronge SK","SK",3021,55.1,-105.3,0
"395","La Sarre QC","QC",7231,48.8,-79.2,0
"396","La Tuque QC","QC",9252,47.44,-72.78,0
"397","Labelle QC","QC",1243,46.28,-74.73,0
"398","Labrador City NL","NL",10517,52.94,-66.92,0
"399","Lac du Bonnet MB","MB",1145,50.27,-96.05,0
"400","Lac la Biche AB","AB",2953,54.77,-111.96,0
"401","Lac-au-Saumon QC","QC",1203,48.42,-67.33,0
"402","Lac-Etchemin QC","QC",2322,46.4,-70.5,0
"403","Lachute QC","QC",9372,45.65,-74.35,0
"404","Lac-Lapierre QC","QC",2269,45.82,-73.77,0
"405","Lac-Megantic QC","QC",4675,45.58,-70.88,0
"406","Lacolle QC","QC",1533,45.08,-73.37,0
"407","Lacombe AB","AB",10177,52.47,-113.73,0
"408","Ladysmith BC","BC",9042,48.99,-123.82,0
"409","Lake Cowichan BC","BC",2872,48.82,-124.03,0
"410","Lake Echo NS","NS",3497,44.82,-63.44,0
"411","Lakefield ON","ON",2925,44.43,-78.27,0
"412","Lamont AB","AB",1800,53.75,-112.78,0
"413","Langenburg SK","SK",1017,50.83,-101.7,0
"414","Langham SK","SK",1052,52.37,-106.97,0
"415","Lanigan SK","SK",1184,51.85,-105.03,0
"416","L'Annonciation QC","QC",2024,46.4,-74.87,0
"417","Lantz NS","NS",1437,45.12,-63.71,0
"418","L'Ascension-de-Notre-Seigneur QC","QC",1766,48.68,-71.67,0
"419","L'Ascie NL","NL",949,49.97,-55.58,0
"420","Laurentides QC","QC",4939,45.85,-73.77,0
"421","Laurier-Station QC","QC",2424,46.54,-71.63,0
"422","Lavaltrie QC","QC",9166,45.89,-73.29,0
"423","Le Bic QC","QC",1285,48.37,-68.72,0
"424","Leaf Rapids MB","MB",1370,56.46,-100,0
"425","Leamington ON","ON",30814,42.06,-82.6,0
"426","Lebel-sur-Quevillon QC","QC",3301,49.07,-76.99,0
"427","Leduc AB","AB",15682,53.26,-113.56,0
"428","L'Epiphanie QC","QC",4585,45.85,-73.48,0
"429","Les Cedres QC","QC",1439,45.32,-74.06,0
"430","Les Coteaux QC","QC",10659,45.3,-74.22,0
"431","Les Escoumins QC","QC",2049,48.35,-69.42,0
"432","Lethbridge AB","AB",71390,49.69,-112.83,0
"433","Lewisporte NL","NL",2870,49.23,-55.07,0
"434","Lillooet BC","BC",2587,50.68,-121.93,0
"435","Lindsay ON","ON",18012,44.35,-78.74,0
"436","Liniere QC","QC",2175,46.05,-70.52,0
"437","Lions Bay BC","BC",1386,49.46,-123.24,0
"438","Listowel ON","ON",6316,43.73,-80.97,0
"439","Little Current ON","ON",1673,45.97,-81.93,0
"440","Lively ON","ON",7171,46.43,-81.15,0
"441","Liverpool NS","NS",2755,44.03,-64.72,0
"442","Lloydminster SK","SK",23099,53.28,-110.01,0
"443","Logan Lake BC","BC",2191,50.49,-120.83,0
"444","London ON","ON",348681,42.97,-81.24,0
"445","Longlac ON","ON",1870,49.78,-86.55,0
"446","L'Original ON","ON",2175,45.62,-74.68,0
"447","Louisbourg NS","NS",1022,45.92,-59.98,0
"448","Louiseville QC","QC",5840,46.25,-72.93,0
"449","Lucan ON","ON",2150,43.18,-81.4,0
"450","Luceville QC","QC",1378,48.52,-68.33,0
"451","Lucknow ON","ON",1291,43.95,-81.52,0
"452","Lumby BC","BC",1626,50.25,-118.97,0
"453","Lumsden SK","SK",1453,50.65,-104.87,0
"454","Lunenburg NS","NS",2450,44.37,-64.32,0
"455","MacAdam NB","NB",1453,45.58,-67.33,0
"456","Macamic QC","QC",1565,48.77,-79,0
"457","MacEwen NB","NB",1228,46.16,-64.99,0
"458","Mackenzie BC","BC",4982,55.32,-123.08,0
"459","Macklin SK","SK",1236,52.33,-109.95,0
"460","Madoc ON","ON",1851,44.52,-77.48,0
"461","Magog QC","QC",15665,45.26,-72.14,0
"462","Magrath AB","AB",2120,49.42,-112.88,0
"463","Malartic QC","QC",3723,48.13,-78.12,0
"464","Manitouwadge ON","ON",3154,49.13,-85.8,0
"465","Maniwaki QC","QC",4252,46.37,-75.97,0
"466","Manning AB","AB",1375,56.93,-117.61,0
"467","Maple Creek SK","SK",2086,49.92,-109.47,0
"468","Marathon ON","ON",4686,48.75,-86.37,0
"469","Marieville QC","QC",5619,45.43,-73.17,0
"470","Markdale ON","ON",1533,44.32,-80.65,0
"471","Marmora ON","ON",1700,44.48,-77.68,0
"472","Martensville SK","SK",4011,52.29,-106.68,0
"473","Marystown NL","NL",4458,47.17,-55.19,0
"474","Maskinonge QC","QC",1109,46.22,-73.02,0
"475","Matagami QC","QC",1973,49.75,-77.63,0
"476","Matane QC","QC",11868,48.85,-67.53,0
"477","Mattawa ON","ON",2445,46.32,-78.7,0
"478","Mayerthorpe AB","AB",1670,53.95,-115.14,0
"479","Mayo YT","YT",570,63.6,-135.89,0
"480","Meadow Lake SK","SK",4211,54.13,-108.43,0
"481","Meaford ON","ON",4877,44.6,-80.58,0
"482","Medicine Hat AB","AB",65113,50.04,-110.69,0
"483","Melfort SK","SK",5376,52.86,-104.61,0
"484","Melita MB","MB",1178,49.27,-100.98,0
"485","Melville SK","SK",4240,50.94,-102.81,0
"486","Merritt BC","BC",7184,50.12,-120.78,0
"487","Metabetchouan QC","QC",2337,48.43,-71.87,0
"488","Metcalfe ON","ON",1722,42.9,-81.69,0
"489","Middleton NS","NS",1664,44.95,-65.07,0
"490","Midland ON","ON",31902,44.75,-79.89,0
"491","Mildmay ON","ON",1274,44.03,-81.12,0
"492","Millbrook ON","ON",1569,44.15,-78.45,0
"493","Millet AB","AB",2167,53.08,-113.47,0
"494","Milton ON","ON",23771,43.51,-79.89,0
"495","Milverton ON","ON",1826,43.57,-80.93,0
