"","INCOME","SEX","MARITAL.STATUS","AGE","EDUCATION","OCCUPATION","AREA","DUAL.INCOMES","HOUSEHOLD.SIZE","UNDER18","HOUSEHOLDER","HOME.TYPE","ETHNIC.CLASS","LANGUAGE"
"77","[20.000-25.000)","F","Single","25-34","College graduate","Professional/Managerial","10+ years","Not Married","Four","None","Rent","House","Black","Other"
"78","[15.000-20.000)","F","Married","65+","Graduated High Scool","Homemaker",NA,"No","Two","Two","Own","House","White","English"
"79","[50.000-75.000)","F","Together","18-24","College graduate","Professional/Managerial","7-10 years","Not Married","Two","None","Rent","Apartment","White","English"
"80","[25.000-30.000)","M","Married","25-34","College graduate","Student, HS or College","1-3 years","No","Three","None","Rent","House","White","English"
"81","[30.000-40.000)","F",NA,"35-44","College graduate","Homemaker",NA,"No","Five","Three","Own","House","White","English"
"82","[75.000-","M","Married","55-64","College graduate","Professional/Managerial","10+ years","Yes","Two","None","Own","House","White","English"
"83","[10.000-15.000)","F","Married","18-24","Grades 9 to 11","Homemaker","4-6 years","No","Four","Two","Rent","Apartment","White","English"
"84","[10.000-15.000)","F","Together","35-44","1 to 3 years of college","Factory Worker/Laborer/Driver",NA,"Not Married","Two","None","Rent","House","White","English"
"85","[75.000-","F","Married","35-44","Grad Study","Homemaker","1-3 years","No","Four","One","Own","House","White","English"
"86","[20.000-25.000)","M","Married","25-34","1 to 3 years of college","Professional/Managerial","4-6 years","Yes","Two","None","Rent","Apartment","Asian","English"
"87","[15.000-20.000)","M","Single","18-24","1 to 3 years of college","Student, HS or College","7-10 years","Not Married","Two","None","Rent","Apartment","White","English"
"88","[25.000-30.000)","F","Married","18-24","1 to 3 years of college","Sales Worker","10+ years","Yes","Two","None","Rent","Apartment","White","English"
"89","[25.000-30.000)","M","Divorced","55-64","Graduated High Scool","Retired",NA,"Not Married","One","None","Own","Condominium","White","English"
"90","[75.000-","F","Single","18-24","1 to 3 years of college","Student, HS or College","4-6 years","Not Married","Four","None","Family","House","White","English"
"91","[50.000-75.000)","F","Married","55-64","1 to 3 years of college","Clerical/Service Worker","10+ years","Yes","Two","None","Own","House","White","English"
"92","[75.000-","M","Single","18-24","1 to 3 years of college","Student, HS or College","10+ years","Not Married","Three","None","Family","House","White","English"
"93","[75.000-","M","Single","18-24","1 to 3 years of college","Student, HS or College","10+ years","Not Married","Four","None","Own","House","Hispanic","English"
"94","[40.000-50.000)","F","Married","55-64","1 to 3 years of college","Homemaker","1-3 years","Not Married","Two","None","Own","Other","White","Other"
"95","[50.000-75.000)","F","Married","55-64","Graduated High Scool","Sales Worker","10+ years","Yes","Two","None","Own","House","White","English"
"96","[15.000-20.000)","M","Married","65+","Graduated High Scool","Retired","10+ years","No","Two","None","Own","Mobile Home","White","English"
"97","[40.000-50.000)","F","Married","55-64","1 to 3 years of college","Retired","10+ years","No","Two","None","Own","Condominium","White","English"
"98","[25.000-30.000)","F","Married","65+","1 to 3 years of college","Retired",NA,"No","Two","None","Own","House","White","English"
"99","-10.000)","F","Divorced","65+","Graduated High Scool","Retired","10+ years","Not Married","Two","None","Own","House","White","English"
"100","[75.000-","F","Married","45-54","Grad Study","Professional/Managerial","10+ years","Yes","Four","Two","Own","House","White","English"
"101","[20.000-25.000)","F",NA,"35-44","1 to 3 years of college","Professional/Managerial","10+ years","Not Married",NA,"None","Rent",NA,"White",NA
"102","[50.000-75.000)","F","Married","45-54","Grad Study","Professional/Managerial","1-3 years","Yes","Three","None","Own","House","East Indian","Other"
"103","[40.000-50.000)","F","Married","35-44","Graduated High Scool","Homemaker","10+ years","No","Two","None","Own","House","Other","Spanish"
"104","[25.000-30.000)","F","Single","14-17","Graduated High Scool","Unemployed","7-10 years","Not Married","Three","One","Family","House","White","English"
"105","[30.000-40.000)","M","Single","18-24","Graduated High Scool","Student, HS or College","10+ years","Not Married","Two","None","Family","House","White","English"
"106","[50.000-75.000)","M","Single","14-17","Grades 9 to 11","Sales Worker","10+ years","Not Married","Three","One","Family","House","White","English"
"107","-10.000)","M","Single","14-17","Grades 9 to 11","Student, HS or College","10+ years","Not Married","Five","Three","Family","House","White","English"
"108","[40.000-50.000)","F","Single","14-17","Grade 8 or less","Professional/Managerial","1-3 years","Not Married","Seven","Five","Rent","Condominium","Other",NA
"109","-10.000)","F","Single","18-24","Graduated High Scool","Professional/Managerial","10+ years","Not Married","Two","None","Family","Apartment","White","English"
"110","[40.000-50.000)","F","Married","55-64","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Six","None","Own","House","American Indian","English"
"111","[30.000-40.000)","F","Married","45-54","1 to 3 years of college","Homemaker","10+ years","No","Four","None","Own","House","White","English"
"112","[50.000-75.000)","M","Married","25-34","Grad Study","Sales Worker","1-3 years","Yes","Two","None","Rent","Apartment",NA,"English"
"113","[75.000-","M","Single","18-24","Grades 9 to 11","Student, HS or College","10+ years","Not Married","Five","One","Family","House","White","English"
"114","[20.000-25.000)","F","Together","25-34","Graduated High Scool","Clerical/Service Worker","1-3 years","Not Married","Three","One","Rent","Apartment","American Indian","English"
"115","[25.000-30.000)","F",NA,"65+","Graduated High Scool","Retired","10+ years","Not Married","One","None","Rent","Apartment","White","English"
"116","[25.000-30.000)","F","Married","65+","1 to 3 years of college","Retired","10+ years","No","Two","None","Own","House","White","English"
"117","[10.000-15.000)","F","Divorced","25-34","1 to 3 years of college","Clerical/Service Worker",NA,"Not Married","Three","One","Rent","Condominium","White","English"
"118","[15.000-20.000)","F","Married","18-24","College graduate","Sales Worker","1-3 years","Yes","Two","None","Rent","House","White","English"
"119","[30.000-40.000)","M","Single","45-54","Grad Study","Professional/Managerial","-1 year","Not Married","One","None","Rent","Condominium","White","English"
"120","[40.000-50.000)","F","Widowed","65+","Graduated High Scool","Retired","1-3 years","Not Married","Two","None",NA,"Condominium","White","English"
"121","[40.000-50.000)","F","Divorced","65+","College graduate","Retired",NA,"Not Married",NA,"None","Rent","Condominium","White",NA
"122","[40.000-50.000)","F","Divorced","35-44","1 to 3 years of college","Clerical/Service Worker","10+ years","Not Married",NA,"None","Own","House","White","English"
"123","-10.000)","F","Single","14-17","Grade 8 or less","Student, HS or College","10+ years","Not Married",NA,"None","Family","House","White",NA
"124","[75.000-","F","Married","25-34","College graduate","Homemaker","4-6 years","No","Three","One","Own","House","White","English"
"125","[50.000-75.000)","F","Together","45-54","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","Two","None","Own","House","White",NA
"126","[50.000-75.000)","F","Together","45-54","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","Two","None","Own","House","White","English"
"127","-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College",NA,"Not Married","Five","One","Family","House","White","English"
"128","[50.000-75.000)","F","Married","35-44","College graduate","Clerical/Service Worker","4-6 years","Yes","Four","Two","Own","House","White","English"
"129","[40.000-50.000)","F",NA,"35-44","Graduated High Scool",NA,NA,"No","Four","Two","Own","House","White",NA
"130","[30.000-40.000)","F","Divorced","25-34","1 to 3 years of college","Homemaker","10+ years","Not Married","Four","Three","Rent","Condominium","White","English"
"131","[50.000-75.000)","M","Married","55-64","1 to 3 years of college","Retired","10+ years","No",NA,"None",NA,NA,NA,NA
"132","[20.000-25.000)","F","Married","45-54","Grad Study","Clerical/Service Worker","10+ years","No","Three","None","Own","House","White","English"
"133","[75.000-","F","Married","45-54","College graduate","Professional/Managerial","10+ years","Yes","Two","None","Own","House","White","English"
"134","-10.000)","M","Single","14-17","Grade 8 or less","Unemployed","10+ years","Not Married","Five","Three","Family","House","Hispanic","English"
"135","[50.000-75.000)","F","Married","45-54","1 to 3 years of college","Professional/Managerial","7-10 years","Yes","Five","One","Own","House","White","English"
"136","[50.000-75.000)","F","Married","55-64","1 to 3 years of college","Professional/Managerial","10+ years","No","Two","None","Own","House","White","English"
"137","-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College",NA,"Not Married","Eight","Six","Family",NA,"White","English"
"138","[75.000-","F","Married","45-54","Grad Study","Homemaker","1-3 years","No","Three","None","Own","House","White","English"
"139","-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","4-6 years","Not Married","Five","Three","Family","Apartment","Asian","Other"
"140","[40.000-50.000)","M","Married","35-44","1 to 3 years of college","Professional/Managerial","7-10 years","Yes","Six","Two","Rent","House","White","English"
"141","[75.000-","M","Married","35-44","Grad Study","Professional/Managerial","4-6 years","Yes","Five","Three","Own","House","White","English"
"142","[40.000-50.000)","M","Married","65+","Graduated High Scool","Professional/Managerial","10+ years","No","Two","None","Own","House","White","English"
"143","[40.000-50.000)","M","Married","65+","Grad Study","Professional/Managerial","10+ years","No","Three","None","Own","House","White","English"
"144","[20.000-25.000)","M","Single","18-24","1 to 3 years of college","Professional/Managerial",NA,"Not Married","Seven","None","Rent","Condominium","White","English"
"145","[40.000-50.000)","F","Divorced","45-54","1 to 3 years of college","Professional/Managerial","7-10 years","Not Married","Two","None","Own","House","White","English"
"146","-10.000)","F","Single","25-34","Grad Study","Student, HS or College","10+ years","Not Married","Seven","One","Family","House","White","English"
"147","[40.000-50.000)","M","Married","65+","Graduated High Scool","Retired","10+ years","No","Three","None","Own","House","White","English"
"148","-10.000)","M","Single","18-24","1 to 3 years of college","Unemployed","1-3 years","Not Married",NA,"None","Rent","Apartment","Black","English"
"149","[25.000-30.000)","M","Married","65+","Graduated High Scool","Retired","10+ years","No","Two","None","Own","House","White","English"
"150","[75.000-","F","Married","35-44","Grad Study","Professional/Managerial","4-6 years","Yes","Four","Two","Own","House","White","English"
"151","[10.000-15.000)","F","Single","14-17","Grades 9 to 11","Clerical/Service Worker","4-6 years","Not Married","Two","One","Family",NA,"White","English"
"152","[10.000-15.000)","F","Single","14-17","Grades 9 to 11","Clerical/Service Worker","10+ years","Not Married","Three","Two","Family","Apartment","Hispanic","English"
"153","[50.000-75.000)","M","Married","55-64","1 to 3 years of college","Retired","10+ years","No","Two","None","Own","House","White","English"
"154","[50.000-75.000)","F","Married","35-44","1 to 3 years of college","Homemaker","10+ years","No","Four","None","Own","House","White","English"
"155","[75.000-","F","Married","35-44","College graduate","Professional/Managerial","10+ years","Yes","Two","None","Own","House","White","English"
"156","[75.000-","F","Married","25-34","College graduate","Professional/Managerial","4-6 years","Yes","Two","None","Own","Other","White","English"
"157","[75.000-","F","Married","35-44","Grad Study","Professional/Managerial","10+ years","Yes","Three","One","Own","House","White","English"
"158","[75.000-","M","Married","35-44","Grad Study","Professional/Managerial","10+ years","Yes","Two","None","Own","House","Hispanic","English"
"159","-10.000)","M","Single","14-17","Grades 9 to 11","Student, HS or College","4-6 years","Not Married","Six","Three","Family","Other","White","English"
"160","[10.000-15.000)","F","Married","18-24","Graduated High Scool","Professional/Managerial","10+ years","Yes","Two","None","Rent","Apartment","White","English"
"161","[75.000-","M","Married","65+","Grad Study","Professional/Managerial","10+ years","No","Three","Three","Own","House","White","English"
"162","[30.000-40.000)","F","Married","35-44","Graduated High Scool","Professional/Managerial","10+ years","No","Four","Two","Own","House","White","English"
"163","[15.000-20.000)","F","Married","65+","1 to 3 years of college","Retired",NA,"No","Two","None",NA,"Other","White","English"
"164","[20.000-25.000)","F","Divorced","65+","Graduated High Scool","Retired",NA,"Not Married","One","None",NA,"Apartment","Asian","English"
"165","[15.000-20.000)","F","Divorced","55-64","College graduate","Professional/Managerial","10+ years","Not Married","Two","None","Own","House","White","English"
"166","-10.000)","F","Widowed","65+","1 to 3 years of college","Clerical/Service Worker","10+ years","Not Married","One","None","Own","House","White","English"
"167","-10.000)","M","Single","14-17","Grades 9 to 11","Student, HS or College","7-10 years","Not Married","Three","None","Family","Condominium","Hispanic","English"
"168","[30.000-40.000)","F","Married","25-34","Graduated High Scool","Homemaker","10+ years","No","Four","Two","Own","House","White","English"
"169","[25.000-30.000)","M","Single","35-44","1 to 3 years of college","Sales Worker","10+ years","Not Married","One","None","Rent","Apartment","White","English"
"170","[40.000-50.000)","F","Widowed","45-54","1 to 3 years of college","Retired","1-3 years","Not Married","Two","None","Rent","Apartment","White","English"
"171","[40.000-50.000)","M","Single","25-34","1 to 3 years of college","Professional/Managerial","1-3 years","Not Married","Two","None","Own","House","White","English"
"172","[40.000-50.000)","M","Married","65+","Grad Study",NA,"10+ years","No","Two","None","Own","House","White","English"
"173","[25.000-30.000)","F","Married","65+","1 to 3 years of college","Retired","10+ years","No","Two","None","Own",NA,"White","English"
"174","-10.000)","F","Single","18-24","1 to 3 years of college","Student, HS or College","7-10 years","Not Married",NA,"None","Rent","Condominium","White","English"
"175","[25.000-30.000)","M","Married","65+","1 to 3 years of college","Retired","10+ years","No","Two","None","Own","House","White","English"
"176","[10.000-15.000)","F","Single","25-34","1 to 3 years of college","Factory Worker/Laborer/Driver","10+ years","Not Married","One","None","Rent","Apartment","White","English"
"177","[10.000-15.000)","F","Single","25-34","Graduated High Scool","Factory Worker/Laborer/Driver","7-10 years","Not Married","Three","One","Rent","Apartment","White","English"
"178","[20.000-25.000)","F","Widowed","65+","College graduate","Retired","10+ years","Not Married","One","One","Rent","Apartment","White","English"
"179","[50.000-75.000)","F","Married","55-64","College graduate","Sales Worker","10+ years","Yes","Two","None","Own","House","White","English"
"180","[50.000-75.000)","F","Married","35-44","Grad Study","Homemaker","7-10 years","No","Five","Three","Own","House","White","Other"
"181","[20.000-25.000)","M","Married","65+","College graduate","Retired","10+ years","No","Two","None","Own","House","White","English"
"182","[25.000-30.000)","F","Single","25-34","1 to 3 years of college","Clerical/Service Worker","10+ years","Not Married","One","None","Rent","Apartment","White","English"
"183","[20.000-25.000)","F","Single","18-24","1 to 3 years of college","Student, HS or College","10+ years","Not Married","Four","None","Family","House","White","English"
"184","[75.000-","F","Single","18-24","Graduated High Scool","Sales Worker","4-6 years","Not Married","Three","One","Family","House","White","English"
"185","[15.000-20.000)","F","Divorced","65+","Grad Study","Professional/Managerial","10+ years","Not Married","One","None","Rent","House","White","English"
"186","[50.000-75.000)","M","Single","25-34","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","Two","None","Own","House","Pacific Islander","English"
"187","[40.000-50.000)","M","Single","25-34","College graduate","Professional/Managerial","4-6 years","Not Married","Two","None","Rent","Condominium","White","English"
"188","[40.000-50.000)","M","Married","25-34","College graduate","Professional/Managerial","7-10 years","Yes","Three","One","Rent","Apartment","White","Other"
"189","[40.000-50.000)","M","Single","25-34","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","One","None","Rent","Condominium","White","English"
"190","[50.000-75.000)","F","Married","25-34","College graduate","Professional/Managerial","10+ years","Yes","Two","None","Own","House","White","English"
"191","-10.000)","F","Single","14-17","Grades 9 to 11","Student, HS or College","7-10 years","Not Married","Three","One","Family","House","Asian","English"
"192","[50.000-75.000)","F","Married","45-54","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Two","None","Own","House","White","English"
"193","[30.000-40.000)","F","Single","25-34","College graduate","Professional/Managerial","10+ years","Not Married","Two","None","Own","House","Hispanic","English"
"194","[50.000-75.000)","M","Married","55-64","Grad Study","Professional/Managerial","10+ years","Yes","Two","None","Own","House","White","English"
"195","[15.000-20.000)","M","Married","65+","Graduated High Scool","Retired",NA,"No",NA,"None","Own","House","White","English"
"196","[20.000-25.000)","M","Together","25-34","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Four","None","Rent","House","White","English"
"197","[75.000-","F","Married","35-44","1 to 3 years of college","Homemaker","10+ years","No","Five","Three","Own","House","White","English"
"198","[30.000-40.000)","F","Married","45-54","Graduated High Scool","Clerical/Service Worker","10+ years","Yes","Three","None","Own","House","White","English"
"199","[75.000-","F","Married","55-64","College graduate","Homemaker","10+ years","No","Two","None","Own",NA,"White","English"
"200","-10.000)","F","Married","45-54","Graduated High Scool","Professional/Managerial","10+ years","No","Three","One","Own","House","White","English"
"201","[50.000-75.000)","M","Married","35-44","Grad Study","Professional/Managerial","10+ years","Yes","Two","None","Own","Condominium","White","English"
"202","[25.000-30.000)","M","Single","18-24","College graduate","Professional/Managerial","10+ years","Not Married","Three","None","Rent","Apartment","Asian","English"
"203","[25.000-30.000)","F","Divorced","25-34","1 to 3 years of college","Clerical/Service Worker","10+ years","Not Married","Four","One","Own","Mobile Home","Hispanic","English"
"204","[10.000-15.000)","M","Single","18-24","College graduate","Clerical/Service Worker","4-6 years","Not Married","One","None","Family","House","White","English"
"205","[30.000-40.000)","F","Married","45-54","Grades 9 to 11","Homemaker","10+ years","No","Four","One",NA,"Apartment","White","English"
"206","[30.000-40.000)","M","Married","35-44","Grade 8 or less","Sales Worker","10+ years","Yes","Three","One","Rent","Apartment","Hispanic","English"
"207","[50.000-75.000)","F","Single","18-24","Graduated High Scool","Student, HS or College","10+ years","Not Married","Three","None","Family","House","White","English"
"208","[50.000-75.000)","F","Single","18-24","Graduated High Scool","Student, HS or College","10+ years","Not Married","Six","None","Rent","Other","White","English"
"209","-10.000)","F","Single","14-17",NA,"Student, HS or College","4-6 years","Not Married","Four","Two","Family","House","Hispanic","English"
"210","[40.000-50.000)","F","Divorced","35-44","Grad Study","Professional/Managerial","10+ years","Not Married","One","None","Own","House","White","English"
"211","[75.000-","F","Married","25-34","College graduate","Professional/Managerial","7-10 years","Yes","Three","One","Own","House","White","English"
"212","[25.000-30.000)","F","Single","25-34","1 to 3 years of college","Professional/Managerial","10+ years","Not Married","One","One","Own","House","White","English"
"213","[50.000-75.000)","M","Married","65+","College graduate","Retired","10+ years","No","Two","None","Own","House","White","English"
"214","[75.000-","M","Married","45-54","College graduate","Professional/Managerial","10+ years","Yes","Two","None","Own","House","White",NA
"215","-10.000)","M","Single","14-17","Grade 8 or less","Student, HS or College","10+ years","Not Married","Three","One","Family","Condominium","Hispanic","English"
"216","[20.000-25.000)","M","Married","25-34","1 to 3 years of college",NA,"10+ years","Yes","Two","None","Rent","Condominium","White","English"
"217","[50.000-75.000)","M","Married","55-64","1 to 3 years of college","Professional/Managerial","10+ years","Yes","Three","None","Own","House","White","English"
"218","[40.000-50.000)","M","Divorced","45-54","Graduated High Scool","Factory Worker/Laborer/Driver","7-10 years","Not Married","Four","One","Rent","House","White","English"
