"","country","month","year","ISO"
"91","Republic of Singapore","(January)",2006,"SGP"
"92","Republic of Cote D'ivoire","(February)",2006,"CIV"
"93","Department of Guiana","(March)",2006,"GUF"
"94","Republic of Cyprus","(April)",2006,"CYP"
"95","Republic of Peru","(May)",2006,"PER"
"96","Great Socialist People's Libyan Arab Jamahiriya","(June)",2006,"LBY"
"97","Republic of Maldives","(July)",2006,"MDV"
"98","Republic of Namibia","(August)",2006,"NAM"
"99","Elevations in South Louisiana","(September)",2006,NA
"100","Republic of Finland","(October)",2006,"FIN"
"101","Kingdon of Denmark","(November)",2006,"DNK"
"102","Hashemite Kingdom of Jordan","(December)",2006,"JOR"
"103","Republic of Chile","(January)",2007,"CHL"
"104","Tunisian Republic","(February)",2007,"TUN"
"105","Sultanate of Oman","(March)",2007,"OMN"
"106","Lao People's Democratic Republic","(April)",2007,"LAO"
"107","Republic of Cameroon","(May)",2007,"CMR"
"108","Barbados","(June)",2007,"BRB"
"109","Republic of Panama","(June)",2007,"PAN"
"110","Republic of Estonia","(August)",2007,"EST"
"111","Republic of Seychelles","(September)",2007,"SYC"
"112","State of Bahrain","(October)",2007,"BHR"
"113","Department of Martinique","(November)",2007,"MTQ"
"114","Republic of Paraguay","(December)",2007,"PRY"
"115","State of Qatar","(January)",2008,"QAT"
"116","United Republic of Tanzania","(February)",2008,"TZA"
"117","People's Republic of Bangladesh","(March)",2008,"BGD"
"118","Republic of Costa Rica","(April)",2008,"CRI"
"119","Kingdom of Cambodia","(May)",2008,"KHM"
"120","Kingdom of Lesotho","(June)",2008,"LSO"
"121","Guatemala","(July)",2008,"GTM"
"122","The Kingdom of Saudi Arabia","(August)",2008,"SAU"
"123","Sakhalin Island","(September)",2008,NA
"124","Republic of Djibouti","(October)",2008,"DJI"
"125","Arab Republic of Egypt","(November)",2008,"EGY"
"126","Republic of Lithuania","(December)",2008,"LTU"
"127","The Federative Republic of Brazil","(January)",2009,"BRA"
"128","The Federal Republic of Nigeria","(February)",2009,"NGA"
"129","Belize","(March)",2009,"BLZ"
"130","Malaysia","(April)",2009,"MYS"
"131","Republic of Nicaragua","(May)",2009,"NIC"
"132","Islamic Republic of Mauritania","(June)",2009,"MRT"
"133","Islamic Republic of Pakistan","(July)",2009,"PAK"
"134","Territory of Guam","(August)",2009,"GUM"
"135","Republic of Equatorial Guinea","(September)",2009,"GNQ"
"136","Republic of Indonesia","(October)",2009,"IDN"
"137","Republic of Burundi","(November)",2009,"BDI"
"138","Gibraltar","(December)",2009,"GIB"
"139","Democratic Socialist Republic of Sri Lanka","(January)",2010,"LKA"
"140","Federation of Saint Kitts and Nevis","(February)",2010,"KNA"
"141","Republic of The Congo","(March)",2010,"COG"
"142","Republic of Kazakhstan","(April)",2010,"KAZ"
"143","Republic of Senegal","(May)",2010,"SEN"
"144","Republic of Cuba","(June)",2010,"CUB"
"145","Republic of Malta","(July)",2010,"MLT"
"146","The Republic of Cape Verde","(August)",2010,"CPV"
"147","Republic of Azerbaijan","(September)",2010,"AZE"
"148","Republic of Mali","(October)",2010,"MLI"
"149","Republic of China (Taiwan)","(November)",2010,"TWN"
"150","Republic of Guinea-bissau","(January)",2011,"GNB"
"151","Kingdom of Thailand","(February)",2011,"THA"
"152","Republic of Liberia","(March)",2011,"LBR"
"153","Principality of Liechtenstein","(April)",2011,"LIE"
"154","Republic of Malawi","(May)",2011,"MWI"
"155","Montserrat","(June)",2011,"MSR"
"156","Slovak Republic","(July)",2011,"SVK"
"157","The Islands of Samoa","(August)",2011,"WSM"
"158","Republic of Haiti","(September)",2011,"HTI"
"159","Republic of Slovenia","(October)",2011,"SVN"
"160","Republic of Niger","(November)",2011,"NER"
"161","Negara Brunei Darussalam","(December)",2011,"BRN"
"162","Republic of Albania","(January)",2012,"ALB"
"163","Republic of Sierra Leone","(February)",2012,"SLE"
"164","Central African Republic","(March)",2012,"CAF"
"165","Commonwealth of Dominica","(April)",2012,"DOM"
"166","Republic of Macedonia","(May)",2012,"MKD"
"167","Georgia","(June)",2012,"GEO"
"168","Republic of Croatia","(July)",2012,"HRV"
"169","Republic of Uganda","(August)",2012,"UGA"
"170","Republic of South Africa","(September)",2012,"ZAF"
"171","Maps in the Middle of Nowhere","(October)",2012,NA
"172","United Mexican States","(November)",2012,"MEX"
"173","Turkmenistan","(December)",2012,"TKM"
"174","Republic of the Gambia","(January)",2013,"GMB"
"175","Republic of Belarus","(February)",2013,"BLR"
"176","Bosnia and Herzegowina","(March)",2013,"BIH"
"177","Republic of Rwanda","(April)",2013,"RWA"
"178","Republic of Moldova","(May)",2013,"MDA"
"179","Kingdom of Nepal","(June)",2013,"NPL"
"180","Republic of Serbia","(July)",2013,"SRB"
"181","Islamic Republic of Iran","(August)",2013,"IRN"
"182","Federal Republic of Somalia","(September)",2013,"SOM"
"183","State of Burma","(October)",2013,"MMR"
"184","Togolese Republic","(November)",2013,"TGO"
"185","Sao Tome & Principe","(January)",2014,"STP"
"186","The World","(February)",2014,NA
"187","Republic of India","(March)",2014,"IND"
"188","Overseas Lands of French Polynesia","(April)",2014,"PYF"
"189","Kingdom of Tonga","(May)",2014,"TON"
"190","Solomon Islands","(June)",2014,"SLB"
"191","Federated States of Micronesia","(July)",2014,"FSM"
"192","Republic of Chad","(August)",2014,"TCD"
"193","Kyrgyz Republic","(September)",2014,"KGZ"
"194","Republic of Armenia","(October)",2014,"ARM"
"195","Republic of Iraq","(November)",2014,"IRQ"
"196","Republic of Tajikstan","(December)",2014,"TJK"
"197","Republic of the Marshall Islands","(January)",2015,"MHL"
"198","Principality of Andorra","(February)",2015,"AND"
"199","Kingdom of Bhutan","(March)",2015,"BTN"
"200","Republic of Sudan","(April)",2015,"SDN"
"201","Datum Origins with Google Earth","(May)",2015,NA
"202","Federal Republic of Germany","(June)",2015,"DEU"
"203","Democratic Repuglic of Timor-Leste","(July)",2015,"TLS"
"204","Principality of Monaco","(August)",2015,"MCO"
"205","Kingdom of Swaziland","(September)",2015,"SWZ"
"206","Russian Federation","(October)",2015,"RUS"
"207","United States of America","(November)",2015,"USA"
