"","vote","distD66","distPvdA","distVVD","distCDA","relig","class","income","educ","age","urban"
"36","CDA",4.1543724,4.2191998,3.2748336,0.57295639,1,1,0,2.220446e-16,9,0
"37","CDA",2.0495327,1.8336216,2.3792101,1.2066363,1,1,4,2,3,0
"38","VVD",8.4673102,7.8949762,9.5728978,6.7108646,1,2,1,2.220446e-16,11,0
"39","CDA",1.450348,1.4468518,1.1249891,0.038129432,1,2,0,2.220446e-16,12,0
"40","VVD",0.13570275,0.062458866,0.52816558,1.8172999,1,0,1,1,3,0
"41","PvdA",2.0184958,1.8320104,3.2368132,6.759618,0,0,1,2.220446e-16,9,0
"42","PvdA",1.36536,1.2068667,1.5971506,0.82637373,1,2,0,2.220446e-16,12,0
"43","PvdA",4.1297721,3.7454124,5.8981776,9.0536897,0,2,4,2,4,0
"44","PvdA",1.1983687,1.1335713,2.0353486,5.5781767,0,2,6,1,5,0
"45","VVD",0.17183332,0.097728848,0.6547863,2.3636156,1,2,4,2,6,0
"46","VVD",0.85202884,0.86495343,0.60441211,0.13810451,1,3,5,3,9,0
"47","PvdA",1.095309,0.86135362,1.9620061,3.0841376,1,1,0,2.220446e-16,8,0
"48","PvdA",0.46481277,0.39131695,0.61159805,0.72205993,1,2,4,2,1,0
"49","CDA",9.2379358,9.0452767,8.6817573,3.6252034,1,0,0,1,7,0
"50","CDA",0.48649374,0.66171867,0.26649547,2.3911742,1,2,2,1,10,0
"51","PvdA",0.54502467,0.65047206,0.17028442,0.49781461,1,2,5,2.220446e-16,4,0
"52","VVD",2.7438066,2.5398178,2.8969546,1.0608243,1,2,1,1,4,0
"53","CDA",1.7587935,1.9431613,0.95057826,0.40085981,1,2,5,2.220446e-16,6,0
"54","PvdA",2.0108629,1.6966461,2.9419323,3.1559088,1,0,0,2.220446e-16,7,0
"55","VVD",0.2460288,0.35519951,0.010206158,1.0584645,1,2,1.63421,2,5,0
"56","PvdA",3.0349651,2.8107997,3.2239685,1.2536197,1,1,2,2.220446e-16,5,0
"57","VVD",1.9082318,2.0320905,1.1855109,0.12789907,1,3,5,2,4,0
"58","PvdA",1.1330435,1.0110211,1.2715251,0.60708268,1,2,4,3,4,0
"59","PvdA",3.4743497,3.07712,5.0753279,7.2352007,0,2,3,2,2,0
"60","VVD",0.23999685,0.36911189,0.10872586,1.9591253,1,2,2,1,5,0
"61","CDA",0.00091029436,0.021932957,0.14196403,1.657008,1,2,3,2,12,0
"62","D66",1.3951709,1.1298247,2.3672209,3.5175777,0,2,2.2882364,1,0,0
"63","PvdA",1.6656,1.4038356,2.8356964,4.9873966,0,2,3,3,4,0
"64","CDA",1.2827987,1.0361479,2.0422826,2.4593685,1,0,2,2,2,0
"65","PvdA",5.3980294,5.4411948,4.4490263,1.086775,1,2,3,2,4,0
"66","VVD",0.28425807,0.40282864,0.28424072,2.6025559,0,2,5.5020905,2,10,0
"67","PvdA",0.17212357,0.19196228,0.49633577,2.8693252,1,0,3,2.220446e-16,8,0
"68","CDA",0.67655037,0.87881897,0.2154365,1.5967973,1,0,0,2,10,0
"69","PvdA",0.69285858,0.54444178,1.0917988,1.2730105,0,2,2,4,3,0
"70","VVD",1.2648692,1.4618463,0.55262921,0.65290968,0,2,2,3,2,0
"71","PvdA",3.2326039,2.8824193,4.8139404,7.5926349,0,2,0,1,9,0
"72","VVD",4.2109354,4.6995259,3.2541772,6.6032018,0,0,2,2.220446e-16,5,0
"73","PvdA",5.1763798,5.0814472,4.6511413,1.2231412,1,2,0,2,10,0
"74","VVD",0.47235263,0.64256726,0.10879037,1.4710232,0,3,6,3,10,0
"75","PvdA",0.47155928,0.55224925,0.72084934,3.6574731,0,2,3,2.220446e-16,7,0
"76","VVD",1.9800108,2.2538622,1.0257835,1.1335316,1,3,5,1,8,0
"77","CDA",2.1831943,2.4689758,1.9990613,5.9702242,1,3,6,1,8,0
"78","CDA",3.965801,3.9540435,3.315782,0.55120108,1,2,0,3,12,0
"79","CDA",1.6885585,1.7530466,1.1392415,0.011377682,1,2,3,4,9,0
"80","CDA",1.3587146,1.563764,0.61337938,0.67769379,1,2,0,3,4,0
"81","D66",4.8912254,5.4055115,3.9555096,7.7944592,0,2,0,2.220446e-16,1,0
"82","PvdA",0.61911143,0.65106592,1.0728188,4.2486262,0,2,0,2.220446e-16,12,0
"83","PvdA",0.45012735,0.4343412,0.9814004,3.8048462,0,2,3,2,3,0
"84","PvdA",6.2488882,6.0526337,5.9566079,2.107571,1,2,0,3,11,0
"85","PvdA",0.34498162,0.48866774,0.2378091,2.4242072,1,2,1,2,12,0
"86","CDA",1.9707076,1.9968432,1.4743497,0.018688609,1,0.4300904,2.9249418,1,5,0
"87","PvdA",0.66562862,0.6045453,1.3636204,4.2980634,1,0,3,2,5,0
"88","CDA",0.17851162,0.18899481,0.15901317,0.74660277,1,2.1399884,3,2,5,0
"89","PvdA",0.9051641,0.9851839,1.2814907,4.8154631,0,0,2,2.220446e-16,12,0
"90","CDA",3.5111384,3.2234371,3.8974946,1.9083167,1,3,6,4,9,0
"91","PvdA",1.7824158,1.5468358,2.9954175,5.7490002,0,0,4,2.220446e-16,9,0
"92","PvdA",2.1512221,2.4727267,1.7589977,5.2762671,0,0,1,2,3,0
"93","CDA",2.1953333,2.521476,1.18521,1.8178901,1,2,4,1,8,0
"94","PvdA",1.3920425,1.2288091,2.4446748,5.5274329,0,0,3,2.220446e-16,8,0
"95","PvdA",5.366627,5.0590527,5.5860239,2.4973443,1,2,3,1,5,0
"96","CDA",2.8913967,2.8997897,2.3128493,0.19534179,1,2,3,1,2,0
"97","PvdA",3.7336702,3.2925955,5.2555469,6.3728778,1,1,3,1,2,0
"98","PvdA",1.6822218,1.6680272,2.4886352,6.6519447,1,0,3,2.220446e-16,5,0
"99","PvdA",1.0214069,0.7965222,1.8048474,2.6662623,0,0,0,2.220446e-16,11,0
"100","CDA",4.419709,4.6229226,3.192302,0.92348672,1,2,4,2,5,0
"101","CDA",0.72069551,0.86162433,0.23444586,0.56628366,1,2,2,3,3,0
"102","PvdA",2.0416204,2.0186501,2.9292993,7.3482728,1,2,1,1,10,0
"103","PvdA",0.68317942,0.51677782,1.4839698,3.3143941,0,0,2,2.220446e-16,2,0
"104","PvdA",0.031799421,0.082126141,0.047750532,1.4085083,1,0,2,1,3,0
"105","PvdA",0.3631113,0.3002097,0.95827759,3.3734504,1,0,0,2.220446e-16,10,0
"106","CDA",2.6062527,2.6102745,2.0780245,0.13492352,1,2,5,2.220446e-16,5,0
"107","CDA",5.9776921,5.6931392,6.0370469,2.5318105,1,0,0,2.220446e-16,12,0
"108","CDA",6.4855153,6.7262074,4.9704967,1.8941048,1,2,1.0957727,1,8,0
"109","VVD",0.7729869,0.9718246,0.59780115,3.2945206,0,3,6,2,4,0
"110","CDA",5.6732461,5.9345947,4.1977212,1.6231468,1,0,1.6418276,2,0,0
"111","CDA",2.8313443,2.8734809,2.1687811,0.16072973,1,2,2,2,4,0
"112","PvdA",2.8677141,2.7400531,4.1184718,8.687622,0,2,2,4,6,0
"113","PvdA",1.5324369,1.2839003,2.6632056,4.8272445,0,2,6,1,6,0
"114","D66",0.9418416,0.77442488,1.8665162,4.2739885,0,0,1.3052504,1,0,0
"115","PvdA",1.620761,1.5837277,2.4742858,6.5168697,0,2,6,3,6,0
"116","PvdA",2.5872697,2.8935452,2.3909047,6.6140661,0,1,2,1,6,0
"117","PvdA",0.9621417,0.7600735,1.5583601,1.8701374,1,0,1,2.220446e-16,10,0
"118","CDA",3.9946437,4.0626014,3.1246537,0.5158651,1,0,0,2.220446e-16,12,0
"119","PvdA",0.037641296,0.095459534,0.046762799,1.4883601,0,2,0,1,0,0
"120","VVD",2.2593199,2.0285116,2.6130127,1.3295826,1,2,6,2,9,0
"121","PvdA",0.14902177,0.16707687,0.46558792,2.7749908,0,0,0,2.220446e-16,10,0
"122","VVD",0.5492053,0.58410104,0.97382402,4.0550876,0,2,6,2,5,0
"123","PvdA",0.18542046,0.10584631,0.67847691,2.3527544,0,0,4,1,7,0
"124","VVD",2.7651286,2.3847224,4.0252042,4.809728,0,0,2.9228284,2,5,0
"125","VVD",4.6914993,5.0410752,3.1926443,1.8431818,0,4,6,2,5,0
"126","PvdA",0.45117327,0.37840863,1.0982014,3.6119543,0,0,2,1,3,0
"127","CDA",0.14013626,0.065918954,0.56019836,1.9665677,1,2,4,3,5,0
"128","PvdA",0.84608465,0.69835462,1.7249853,4.2118227,1,2,3,1,4,0
"129","CDA",0.028406518,0.072211392,0.053264309,1.3578063,1,1.9023298,2.1464009,1,7,0
"130","CDA",2.311952,1.9760359,3.6029947,5.2096489,1,3,6,3,3,0
"131","PvdA",1.8905926,1.794475,2.9254851,6.9402392,0,1.4732779,0,2,9,0
"132","CDA",1.6499761,1.8767101,0.8104427,0.75282148,1,2,0,1,10,0
"133","PvdA",1.3779337,1.2619457,2.3547295,5.7906145,0,2,4,3,5,0
"134","CDA",1.3444341,1.1205485,1.9047389,1.7142315,1,2,4,2,5,0
"135","PvdA",2.5505408,2.2406924,3.9726339,6.6009179,0,2,3,2,3,0
"136","VVD",1.3766481,1.5401227,0.68172058,0.35721594,1,2,4,2,6,0
"137","PvdA",4.0676211,3.6378983,5.7893641,8.0344638,1,0,4,2,2,0
"138","PvdA",4.664881,4.3406708,6.4776608,10.756664,0,0,2,2.220446e-16,1,0
"139","D66",1.5518115,1.8013429,1.3883938,4.9094176,0,3,6,4,4,0
"140","PvdA",0.78355058,0.94561973,0.25250714,0.69042058,0,0,3,1,4,0
"141","PvdA",0.10729519,0.069320519,0.51637789,2.4193323,0,0,3,2.220446e-16,4,0
"142","PvdA",2.7358686,2.4298156,4.2040698,7.1103503,0,0,4,1,3,0
"143","VVD",0.32333087,0.21012035,0.91692658,2.5623896,0,2,6,1,9,0
"144","PvdA",1.0282878,0.91400787,1.9206513,4.978652,1,2,2,2,5,0
"145","VVD",1.100607,1.153112,1.609245,5.3590843,0,2,3.8244703,1,3,0
"146","PvdA",0.26686012,0.36870153,0.33984175,2.7537925,1,0,4,1,4,0
"147","CDA",1.6895252,1.980114,0.8251589,1.6162084,1,2,3,1,4,0
"148","CDA",0.22835905,0.1332287,0.63176781,1.6416585,1,2,3,2.220446e-16,7,0
"149","CDA",2.0838501,1.9686232,3.1905712,7.2593035,1,2,0,2.220446e-16,12,0
"150","PvdA",1.2083395,1.1138666,2.1084344,5.5034906,0,0,0,2.220446e-16,12,0
"151","PvdA",0.90303673,0.93814202,1.4200085,4.9460887,0,0,3,1,4,0
"152","PvdA",5.2480345,4.7324759,7.1019381,8.6785988,1,1,3,1,4,0
"153","PvdA",0.067884983,0.029724116,0.43155692,2.1145313,0,0,0,2.220446e-16,11,0
"154","VVD",0.27775033,0.24881685,0.77295672,3.224741,1,2,2,2.220446e-16,8,0
"155","CDA",0.2718514,0.39393109,0.24164896,2.4687805,1,2,3,3,6,0
"156","CDA",0.22375711,0.1787393,0.36713295,0.8927432,1,2,4,3,5,0
"157","CDA",2.3964594,2.7653466,1.3925133,2.7023295,1,2,5,3,9,0
"158","PvdA",3.9092935,3.5659283,4.4923262,2.6003455,1,2,3,2,2,0
"159","PvdA",0.9007192,0.70868242,1.4609028,1.7523378,0,2,0,2.220446e-16,11,0
"160","PvdA",2.1988907,2.2839029,1.5172899,0.067780723,0,1,3,1,5,0
"161","CDA",0.59566826,0.70763943,0.19293085,0.48541349,1,0.60901409,0,2.220446e-16,9,0
"162","PvdA",0.46824335,0.40427046,1.1071489,3.7152573,0,0,0,2.220446e-16,9,0
"163","CDA",3.686921,3.4179498,3.9644741,1.7387545,1,2,1,1,3,0
"164","VVD",7.0355411,7.6272931,5.124941,5.4755294,1,3.0447142,4.9460788,2,0,0
"165","PvdA",1.5964865,1.6653628,1.0525515,0.01690933,0,0,2,2,1,0
"166","VVD",2.1343383,2.4639783,1.1488749,1.9524682,0,3,6,4,5,0
"167","CDA",2.6513163,2.2917082,3.6628706,3.5740374,1,2,4,3,5,0
"168","PvdA",0.41143085,0.2949217,1.0764829,3.0136823,0,2,1,1,2,0
"169","PvdA",0.30377628,0.26130705,0.39817223,0.72816751,0,2,0,2.220446e-16,12,0
"170","CDA",1.2089451,1.1194872,1.2073187,0.3662284,1,0,0,2.220446e-16,12,0
"171","PvdA",0.27778885,0.17356427,0.68771097,1.5909681,0,0,1,2.220446e-16,2,0
"172","CDA",0.039539066,0.00926686,0.34972835,1.8964593,0,2,4,4,2,0
"173","D66",2.0216124,1.7295936,3.292151,5.4658114,1,3,1,2,1,0
"174","PvdA",1.082357,0.93221115,1.3518939,0.88809078,1,3,3,3,3,0
"175","CDA",2.5658607,2.8120119,1.5184674,0.76101602,0,2,3,2,1,0
"176","D66",0.93773527,0.97066092,0.61603323,0.098465747,1,2,1,1,1,1
"177","VVD",0.37653057,0.31438188,0.97624162,3.4245551,1,0,0,2.220446e-16,8,1
"178","PvdA",2.1972508,1.860342,3.2873132,3.917818,0,0,0,2.220446e-16,2,1
"179","D66",0.51515838,0.686709,0.35603774,2.7161725,0,2,2.7678273,1,2,1
"180","D66",0.11358693,0.14987143,0.066022868,0.91029943,0,4,4,3,1,1
"181","PvdA",0.87445774,0.68010185,1.7515245,3.5231923,1,3,4,1,9,1
"182","CDA",0.46087449,0.6230006,0.089124455,1.2896585,1,3,6,3,8,1
"183","CDA",0.68585839,0.68676277,0.51434929,0.2298856,1,2,6,2,5,1
"184","D66",1.8868729,2.225722,1.0929031,2.9517579,0,2,3,2,2,1
"185","PvdA",2.9905081,2.6019167,4.4113858,5.8408714,0,2.4712095,3,2,6,1
"186","VVD",0.97983657,0.95070538,1.6869033,5.1488303,0,0,4,1,3,1
"187","VVD",0.12814738,0.20236093,0.006728141,1.0724611,0,0,0,2.220446e-16,7,1
"188","VVD",5.4684135,5.383177,4.8842707,1.3214825,1,2,4,2.220446e-16,7,1
"189","CDA",4.3332547,4.7562463,2.8399359,2.6292227,1,0,1,1,6,1
"190","PvdA",0.10015176,0.057845202,0.32137252,1.2603218,0,2,1,1,1,1
"191","PvdA",0.43204792,0.60179366,0.14032146,1.8389767,1,2,2,1,5,1
"192","PvdA",0.76392706,0.67878553,0.85715968,0.53509031,0,2,4,2.220446e-16,4,1
"193","D66",1.59025,1.3079615,2.6459943,3.9399039,0,0,3,2.220446e-16,4,1
"194","PvdA",1.3039451,1.1910593,2.2592149,5.6391611,0,2,1,2.220446e-16,10,0
"195","CDA",0.50734052,0.42858999,1.1851174,3.7552257,1,2,2,1,2,0
"196","CDA",0.054937455,0.093499295,0.05114333,1.1392349,1,2,5,1,3,0
"197","CDA",2.661527,2.5774326,2.3935966,0.36027193,1,2,0,2,9,0
"198","CDA",3.6944044,4.124762,2.3497757,2.9617106,1,2,4,3,5,0
"199","CDA",0.21446779,0.21920343,0.19359301,0.6875233,1,0,1,1,2,0
"200","VVD",1.6618452,1.8325401,0.89505384,0.33628015,1,2,0,2,2,0
"201","CDA",3.2733755,3.2767451,2.6608372,0.30467589,1,0,-0.67153901,2.220446e-16,9,0
"202","CDA",2.4720664,2.6816027,1.4950214,0.51925445,1,0,0,2.220446e-16,10,0
"203","CDA",2.4572723,2.2203877,2.7994488,1.3688895,1,2,7.2389359,2,3,0
"204","PvdA",3.9272974,3.4718894,5.3402219,5.7193785,1,0,1,2.220446e-16,11,0
"205","CDA",1.5526613,1.5288003,1.2688989,0.072423339,1,2,2.7052798,1,0,0
"206","PvdA",1.544299,1.5050145,2.3896807,6.3592177,1,0,4,2.220446e-16,11,0
"207","CDA",1.8610557,1.7787363,1.7100862,0.26297376,1,2,4,3,4,0
"208","PvdA",0.60843146,0.44113874,1.3373232,2.8104198,0,1,6,2,5,0
"209","VVD",0.7518755,0.56296014,1.4100486,2.2173699,0,0,3,2,1,0
"210","PvdA",1.9290821,2.0210087,2.4667097,6.9524318,0,2,2,1,3,0
"211","D66",2.3140001,2.006962,3.6689876,6.0189435,0,0,1,1,2,0
"212","D66",0.49381698,0.36035568,1.2049777,3.1058418,0,2,4,3,2,0
"213","CDA",1.0275274,1.1738092,0.44361394,0.38951412,1,1,1,2,3,0
"214","VVD",1.5438447,1.3723452,2.6425915,5.8206395,0,0,0,2,1,0
"215","CDA",5.7815369,6.0886482,4.2138318,1.8917653,1,1,6,1,5,0
"216","PvdA",1.3384492,1.0783102,2.2786613,3.3556569,1,0,0,2,4,0
"217","CDA",1.6696384,1.7395153,1.1104063,0.016770401,1,0,0,1,3,0
"218","PvdA",0.014541572,0.056915775,0.08540655,1.5882845,1,0,0,2.220446e-16,11,0
"219","CDA",2.6959362,2.7624918,1.988397,0.1352225,1,0,3,2,2,0
"220","PvdA",0.10163395,0.13605129,0.066636262,0.94271832,0,1,1,2,1,0
"221","PvdA",3.6260653,3.4779323,3.4477899,0.87299478,1,0,2,2.220446e-16,12,0
"222","CDA",3.932134,4.1016556,2.8307842,0.65434077,1,0,1,2.220446e-16,4,0
"223","PvdA",6.9545435,6.5832792,7.2626318,3.6331563,1,0,0,2.220446e-16,3,0
"224","PvdA",3.9814979,3.7607019,4.0246321,1.4077699,1,1,3,2.220446e-16,2,0
"225","CDA",2.5938027,2.5666674,2.1576373,0.18274707,1,2,1,2.220446e-16,9,0
"226","CDA",0.27067301,0.24041551,0.33623192,0.7133378,1,2,5,3,7,0
"227","PvdA",1.3665564,1.1058676,2.3563445,3.6620881,0,3,0,2,0,0
"228","CDA",1.042242,0.87680556,1.3945602,1.0949674,1,2,3,2,4,0
"229","CDA",0.26632777,0.28405442,0.64133794,3.2252501,1,2,3,2,3,0
"230","PvdA",0.19942922,0.10775847,0.66225765,2.0087136,1,1,0,2,7,0
"231","PvdA",0.50642213,0.35420732,1.0705797,1.9843368,1,0,5,1,11,0
"232","PvdA",3.0929277,2.8600825,4.5617655,8.5802174,0,4,1,2.220446e-16,5,0
"233","PvdA",3.0252954,2.7252727,4.5525333,7.8324949,1,2,2,1,3,0
"234","PvdA",0.61641757,0.46482427,1.0746206,1.4911077,1,0.046662103,0,2.220446e-16,12,0
"235","PvdA",7.83976,7.4397763,8.1780951,4.2581518,1,2,0,2.220446e-16,12,0
"236","CDA",2.9139509,2.9722075,3.6984779,8.8547864,1,0,1,2.220446e-16,11,0
"237","CDA",1.2692816,1.3625629,0.73109183,0.092669641,0,3,4,2.220446e-16,7,0
"238","VVD",0.5233342,0.69238377,0.38785375,2.8231463,0,2,6,2,3,0
"239","CDA",0.14634101,0.2318524,0.20955809,2.3294078,1,2,2,2.220446e-16,12,0
"240","VVD",0.76726333,0.58081063,1.3792021,2.0027368,1,2,3,2,7,0
"241","VVD",1.8950699,2.1663153,1.7136873,5.4777763,0,2,5,3,3,0
"242","VVD",6.3933644,7.0053339,4.8010345,6.9799264,1,4,6,2,5,0
"243","CDA",0.29381569,0.33468307,0.1423162,0.55899521,1,2,4,2,0,0
"244","CDA",2.0406962,2.2669355,1.1168222,0.64838214,1,4.2215371,4,2,3,0
"245","CDA",5.1132659,5.2531747,3.9497375,1.0273049,1,2,0,2,5,0
"246","D66",0.20131028,0.24099566,0.47988082,2.9352918,1,2,0,2,9,0
"247","D66",0.017494903,0.021219287,0.14817766,1.351551,0,2,1,3,1,0
"248","PvdA",3.5679777,3.6639622,2.6770729,0.3928848,0,2,5,2.220446e-16,5,0
"249","CDA",1.4394191,1.3330646,1.4502576,0.41278608,1,2,0,2,1,0
"250","VVD",0.46909782,0.60027114,0.5112047,3.221899,1,3,0,2,1,0
"251","CDA",2.8916246,3.0514454,1.9435755,0.35326195,1,2,2,2,2,0
"252","PvdA",0.33842955,0.46393888,0.33807895,2.7599253,0,0,1,1,1,0
"253","CDA",7.1130691,6.8850387,6.8529188,2.676114,1,4,5,3,5,0
"254","VVD",2.4229392,2.1474397,3.8105121,6.7941158,1,2,0,1,4,1
"255","CDA",2.7476475,3.1102039,1.5984008,2.1174592,1,2,5,1,10,1
"256","D66",2.0932886,1.9222771,2.2254599,0.78863583,1,2,2,1,4,1
"257","PvdA",0.29377321,0.27690126,0.30427852,0.62090853,1,2,0,2,3,1
"258","CDA",0.46172464,0.41818035,1.0592405,3.7789197,0,2,3,1,5,1
"259","PvdA",2.4360508,2.1398836,3.077429,2.1795304,1,0,0,2,3,1
"260","PvdA",2.122877,1.8828299,3.4216731,6.5178562,0,3,4,3,2,1
"261","PvdA",1.3294741,1.2921976,2.1296631,5.9135056,0,0,0,2.220446e-16,12,1
"262","CDA",1.0112043,1.0328903,0.70302099,0.079817199,1,1,4,2.220446e-16,4,1
"263","CDA",0.51997155,0.63116317,0.67002556,3.5942038,1,2,5,3,6,1
"264","CDA",1.3709408,1.3117861,1.2320888,0.19387654,1,2,4,1,4,1
"265","CDA",11.987356,12.371653,9.7512794,5.402378,1,2,0,2,1,1
"266","VVD",1.7427752,1.7963361,2.3691837,6.6982102,1,3,5,1,6,1
"267","PvdA",0.53854763,0.40007709,1.2753052,3.2226842,0,3,6,4,10,1
"268","PvdA",1.5636132,1.3355528,2.0732925,1.5774392,1,0,3,3,4,1
"269","PvdA",1.2049358,1.4480851,0.49573507,1.3100756,0,2,5,2,2,1
"270","D66",0.43769024,0.48908336,0.20728237,0.40608237,0,0,0,2.220446e-16,3,1
"271","PvdA",5.3477668,4.8301084,6.728575,6.0110312,0,0,0,1,11,1
"272","PvdA",1.1582635,1.0644867,2.0458196,5.3914604,0,2,1.9290907,3,5,1
"273","CDA",0.11966664,0.086245191,0.53329765,2.5269855,0,2,4,2,4,1
"274","PvdA",0.77886926,0.63301488,1.6315272,4.0212856,1,0,0,1,4,1
"275","PvdA",3.1550467,2.7535053,4.3357217,4.4203364,1,2,2,2.220446e-16,8,1
"276","PvdA",0.22289465,0.13390322,0.747729,2.4312964,0,2,1,1,8,1
"277","CDA",2.4868369,2.1356494,3.5066355,3.5848022,1,2,1,2,11,1
"278","CDA",4.8659636,4.9116155,3.9623266,0.85469394,1,0,2,2,5,1
"279","PvdA",1.4710952,1.205604,2.2769936,2.6305995,1,2,0,2.220446e-16,12,0
"280","VVD",3.0341529,3.4490104,1.8916341,3.2352487,0,3,6,3,2,0
"281","CDA",4.3303689,4.6184877,2.9621261,1.3061655,1,0,2,2.220446e-16,2,0
"282","CDA",3.6220388,3.4863249,4.9883253,9.9879415,1,2,3,2,5,0
"283","PvdA",0.0063089083,0.0037254542,0.22610776,1.7600774,1,2,0,2,4,0
"284","CDA",1.4689818,1.5767512,0.85972192,0.10093378,1,2,0,1,10,0
"285","CDA",2.2285266,2.5309817,1.9685215,5.8294682,0,2,3,1,3,0
"286","CDA",1.1621166,1.3608808,0.47724283,0.73546722,1,1,6,2,3,0
"287","CDA",0.22726916,0.13104926,0.64378512,1.6998487,1,0,3,3,7,0
"288","CDA",2.5735721,2.7746716,1.59428,0.47994523,1,2,4,1,3,0
"289","CDA",0.13766363,0.13914708,0.16745319,0.85439381,1,2,3,2,7,0
"290","CDA",1.2093098,1.1561486,2.0226399,5.6286668,1,0,0,2.220446e-16,9,0
"291","CDA",1.0049894,0.83751419,1.3796528,1.1560283,1,3,4,3,9,0
"292","PvdA",3.4845861,3.8210199,2.1815956,1.569669,0,0,2,2,2,0
"293","PvdA",2.5804363,2.3707077,3.9332316,7.7469806,0,2,5,1,2,0
"294","PvdA",0.70168063,0.54310103,1.5212331,3.5598859,1,3,4,4,6,0
"295","PvdA",0.66384095,0.84782585,0.52123776,3.1487446,1,0,0,1,12,0
"296","PvdA",0.24902369,0.21743157,0.73637818,3.1103344,0,2,4,1,7,0
"297","CDA",0.30271268,0.35114621,0.12993827,0.55950852,1,0,5,1,6,0
"298","D66",0.029484413,0.027844827,0.30026155,2.0923146,1,2,5,1,6,0
"299","CDA",3.2398376,3.2797091,2.5313309,0.26925536,1,0,1,2.220446e-16,11,0
"300","CDA",1.316073,1.4534288,1.5831975,5.4636172,1,4,6,3,8,0
"301","PvdA",1.4978172,1.3214429,1.775103,0.95098334,1,3,6,4,9,0
"302","CDA",3.4488867,3.8559921,2.1445955,2.5971495,1,2,5,1,5,0
"303","PvdA",1.0025431,0.84136333,1.3472291,1.0756271,1,0,2,1,7,0
"304","PvdA",0.37878542,0.49106521,0.062161743,0.7711248,1,0,1,2.220446e-16,4,0
"305","D66",0.19584342,0.21930681,0.13213862,0.70498389,0,2,4,2,5,0
"306","PvdA",0.65116698,0.68304273,0.403823,0.22593708,0,0,2,1,5,0
"307","CDA",5.3527192,5.5267629,4.0878541,1.1979735,1,3,5,3,4,0
"308","PvdA",3.3076158,2.9888977,3.8765443,2.2905279,1,2.6667101,3,2,3,0
