"","Rehnquist","Stevens","O.Connor","Scalia","Kennedy","Souter","Thomas","Ginsburg","Breyer","term","time"
"280",0,1,1,0,0,0,0,1,1,2000,7
"281",0,1,0,0,0,1,0,1,1,2000,7
"282",0,1,0,0,0,1,0,1,1,2000,7
"283",0,0,0,0,0,0,0,1,0,2000,7
"284",0,1,0,1,0,0,1,0,1,2000,7
"285",0,1,1,0,1,1,0,1,1,2000,7
"286",1,NA,NA,0,1,1,0,1,1,2000,7
"287",0,1,0,0,0,1,0,1,1,2000,7
"288",1,1,1,0,1,1,0,1,1,2000,7
"289",0,1,0,0,0,1,0,1,1,2000,7
"290",0,1,1,0,1,1,0,1,1,2000,7
"291",0,1,0,0,0,0,0,0,0,2000,7
"292",0,0,0,1,0,1,1,1,1,2000,7
"293",0,0,1,0,0,1,0,1,1,2000,7
"294",0,1,0,0,0,1,0,1,0,2000,7
"295",0,0,0,0,0,0,0,1,1,2000,7
"296",1,1,1,0,1,1,1,1,1,2000,7
"297",0,1,1,0,0,1,0,1,1,2000,7
"298",0,1,0,0,1,1,0,1,1,2000,7
"299",0,1,0,0,1,1,0,1,1,2000,7
"300",1,1,0,1,1,1,1,0,0,2000,7
"301",0,1,1,0,0,1,0,1,1,2000,7
"302",1,0,1,1,1,1,1,1,0,2000,7
"303",1,0,1,1,1,0,1,0,0,2000,7
"304",0,1,0,0,0,1,0,1,1,2000,7
"305",0,1,0,0,0,1,0,1,1,2000,7
"306",0,1,1,0,0,1,0,1,1,2000,7
"307",0,1,0,0,0,1,0,1,1,2001,8
"308",0,0,1,0,0,1,0,0,0,2001,8
"309",0,1,NA,0,0,0,0,0,1,2001,8
"310",0,1,0,0,0,1,0,1,1,2001,8
"311",0,1,0,0,0,1,0,1,1,2001,8
"312",0,1,1,0,0,1,0,1,1,2001,8
"313",0,1,1,0,1,1,0,1,1,2001,8
"314",0,0,0,0,0,1,1,0,0,2001,8
"315",1,1,1,0,0,1,0,1,1,2001,8
"316",1,1,1,0,1,1,0,1,1,2001,8
"317",0,1,1,0,0,0,0,0,1,2001,8
"318",0,1,1,1,0,0,0,0,0,2001,8
"319",0,1,0,0,0,1,0,0,1,2001,8
"320",0,0,0,1,1,0,1,0,0,2001,8
"321",0,1,0,0,0,0,0,0,0,2001,8
"322",1,1,0,1,1,0,1,0,0,2001,8
"323",0,1,0,0,0,1,0,1,1,2001,8
"324",0,1,0,0,0,1,0,1,1,2001,8
"325",0,1,0,0,1,1,1,1,1,2001,8
"326",1,0,1,0,1,1,0,1,1,2001,8
"327",0,1,1,0,1,1,0,1,1,2001,8
"328",0,0,1,1,1,1,1,0,0,2001,8
"329",0,0,0,0,0,1,0,1,0,2001,8
"330",0,1,0,0,0,1,0,1,1,2001,8
"331",1,1,1,0,1,1,1,1,0,2001,8
"332",0,1,0,0,0,0,0,0,0,2001,8
"333",0,1,1,0,0,1,0,1,1,2001,8
"334",0,1,0,0,0,0,0,0,0,2001,8
"335",0,1,0,0,0,1,0,1,1,2001,8
"336",1,1,1,0,1,1,1,1,1,2001,8
"337",1,1,1,0,0,1,0,1,1,2001,8
"338",0,1,0,0,0,1,0,1,1,2001,8
"339",0,1,0,0,0,1,1,1,1,2001,8
"340",0,1,1,1,1,1,1,1,1,2001,8
"341",0,1,0,0,0,1,0,1,0,2001,8
"342",0,1,1,0,0,1,0,1,1,2001,8
"343",1,1,1,0,1,0,0,1,1,2001,8
"344",0,1,0,0,0,0,0,1,0,2001,8
"345",0,1,1,0,1,1,0,1,1,2001,8
"346",1,0,0,1,1,0,1,0,0,2001,8
"347",0,0,1,1,0,0,0,0,0,2001,8
"348",1,1,0,0,0,1,0,1,1,2001,8
"349",0,1,0,0,0,1,1,1,0,2001,8
"350",0,1,0,1,1,1,1,1,1,2001,8
"351",0,1,0,0,0,1,0,1,1,2001,8
"352",0,1,1,0,1,1,0,1,1,2001,8
"353",1,0,1,1,1,0,1,0,0,2001,8
"354",0,1,1,0,0,1,0,1,0,2001,8
"355",0,1,0,0,0,0,0,0,0,2002,9
"356",0,1,0,0,0,1,0,1,1,2002,9
"357",1,1,0,0,1,1,0,1,1,2002,9
"358",0,1,0,0,0,0,0,0,1,2002,9
"359",0,1,0,0,0,0,0,0,0,2002,9
"360",1,1,1,1,1,1,1,1,0,2002,9
"361",1,1,1,1,1,1,0,1,1,2002,9
"362",0,1,0,0,0,0,0,0,0,2002,9
"363",1,1,1,0,1,1,0,1,1,2002,9
"364",0,1,1,0,0,1,0,1,1,2002,9
"365",0,1,1,0,0,1,0,0,0,2002,9
"366",0,1,0,0,0,1,0,1,1,2002,9
"367",0,1,0,0,0,1,0,1,1,2002,9
"368",0,1,0,0,0,0,0,1,1,2002,9
"369",0,1,0,1,0,1,1,1,0,2002,9
"370",0,0,0,0,0,1,0,1,1,2002,9
"371",0,1,1,0,0,1,0,1,1,2002,9
"372",1,1,0,1,1,1,0,1,1,2002,9
"373",0,1,0,0,0,0,1,0,0,2002,9
"374",1,1,1,0,1,1,0,1,1,2002,9
"375",0,0,0,1,0,0,1,1,0,2002,9
"376",0,0,0,0,0,0,0,1,1,2002,9
"377",0,1,0,0,0,1,0,1,1,2002,9
"378",1,0,1,0,0,1,0,1,1,2002,9
"379",0,1,0,1,0,1,1,1,1,2002,9
"380",1,1,1,0,0,1,0,1,1,2002,9
"381",0,1,0,0,1,0,0,1,0,2002,9
"382",0,0,1,0,0,0,0,0,1,2002,9
"383",1,1,1,0,1,1,0,1,1,2002,9
"384",1,1,1,1,1,1,0,1,1,2002,9
"385",0,1,1,0,1,1,1,0,0,2002,9
"386",0,0,0,1,0,0,1,0,0,2002,9
"387",1,1,0,0,1,1,0,1,1,2002,9
"388",0,1,0,0,0,1,0,1,0,2002,9
"389",0,1,0,0,0,1,0,1,0,2002,9
"390",0,1,1,0,0,1,0,1,1,2002,9
"391",1,0,1,0,1,1,0,0,1,2002,9
"392",1,0,1,0,1,0,1,0,0,2002,9
"393",0,1,0,0,0,1,0,1,1,2002,9
"394",1,1,1,0,1,1,0,1,1,2002,9
"395",0,1,1,0,1,1,0,1,1,2002,9
"396",0,1,1,0,0,1,0,1,1,2002,9
"397",0,0,1,0,1,0,0,0,1,2002,9
"398",0,1,1,0,0,1,0,1,1,2003,10
"399",0,1,0,0,0,1,0,1,0,2003,10
"400",0,1,1,0,0,1,0,1,1,2003,10
"401",0,1,1,0,0,1,0,1,1,2003,10
"402",1,1,1,0,0,1,0,1,1,2003,10
"403",0,1,0,0,0,0,0,1,1,2003,10
"404",1,1,0,0,1,1,1,1,NA,2003,10
"405",1,1,1,0,1,1,0,1,1,2003,10
"406",1,1,1,0,1,1,0,1,1,2003,10
"407",0,1,0,0,0,0,0,0,0,2003,10
"408",0,1,0,0,0,0,0,0,0,2003,10
"409",0,1,0,0,0,1,0,1,0,2003,10
"410",0,0,0,1,0,1,0,0,0,2003,10
"411",0,0,0,0,0,1,0,0,0,2003,10
"412",0,1,0,0,0,1,0,1,1,2003,10
"413",0,1,0,0,1,1,0,0,0,2003,10
"414",1,1,1,0,1,1,0,1,1,2003,10
"415",1,1,1,0,1,1,0,1,1,2003,10
"416",0,1,0,0,0,1,1,1,1,2003,10
"417",0,1,1,0,0,1,0,1,1,2003,10
"418",0,1,0,0,0,1,0,1,1,2003,10
"419",0,1,0,0,0,1,0,0,0,2003,10
"420",0,1,0,0,0,1,0,1,1,2003,10
"421",0,1,1,1,0,1,0,1,1,2003,10
"422",0,1,1,0,0,1,0,1,1,2003,10
"423",1,1,1,1,1,1,0,1,1,2003,10
"424",0,1,0,0,0,1,0,1,1,2003,10
"425",0,0,0,0,0,0,0,1,1,2003,10
"426",1,1,1,1,1,1,1,1,0,2003,10
"427",0,1,1,0,1,1,0,1,1,2003,10
"428",0,1,0,1,0,1,1,1,0,2003,10
"429",0,1,0,0,0,1,0,1,1,2003,10
"430",0,0,0,0,0,1,0,1,0,2003,10
"431",0,1,0,0,0,1,0,1,1,2003,10
"432",1,0,1,1,1,0,1,0,0,2003,10
"433",0,1,1,0,1,1,0,1,1,2003,10
"434",1,1,1,1,1,1,0,1,1,2003,10
"435",0,1,0,0,1,1,0,1,1,2003,10
"436",0,1,0,0,0,1,0,1,1,2003,10
"437",0,1,0,0,0,1,1,1,0,2003,10
"438",0,1,1,0,1,1,0,1,1,2003,10
"439",0,0,0,1,0,0,0,0,0,2004,11
"440",0,1,0,0,0,1,0,1,0,2004,11
"441",0,1,0,0,0,0,0,1,0,2004,11
"442",1,0,1,0,1,0,0,1,1,2004,11
"443",0,1,0,0,0,1,0,1,1,2004,11
"444",0,1,1,1,1,1,0,1,1,2004,11
"445",NA,0,0,0,0,1,0,1,0,2004,11
"446",0,1,1,1,0,1,1,0,0,2004,11
"447",NA,1,1,0,1,1,0,1,1,2004,11
"448",0,1,0,0,1,1,0,1,1,2004,11
"449",NA,1,0,1,0,1,1,1,0,2004,11
"450",0,1,1,1,1,1,0,1,1,2004,11
"451",1,1,1,1,0,1,1,1,1,2004,11
"452",NA,1,0,0,0,1,0,1,0,2004,11
"453",0,1,1,0,0,1,0,1,1,2004,11
"454",0,1,0,0,0,0,0,0,0,2004,11
"455",NA,1,0,1,0,1,0,1,1,2004,11
"456",0,1,0,1,1,0,0,1,0,2004,11
"457",1,1,1,0,1,0,1,0,0,2004,11
"458",NA,1,1,0,0,1,0,1,1,2004,11
"459",0,1,0,0,0,1,0,1,1,2004,11
"460",0,0,0,1,0,0,1,0,0,2004,11
"461",0,0,0,1,1,1,0,1,1,2004,11
"462",0,1,0,0,1,1,0,0,0,2004,11
"463",0,1,0,0,0,1,0,1,0,2004,11
"464",1,1,1,0,1,1,0,1,1,2004,11
"465",1,0,0,1,1,0,1,1,0,2004,11
"466",1,1,1,0,1,1,0,1,1,2004,11
"467",0,1,0,1,1,1,0,1,1,2004,11
"468",0,1,1,0,1,1,0,1,1,2004,11
"469",0,1,0,0,1,1,1,1,1,2004,11
"470",1,1,1,1,1,1,0,1,1,2004,11
"471",0,1,1,0,1,1,0,1,1,2004,11
"472",0,1,0,0,0,1,0,1,1,2004,11
"473",0,1,1,0,0,1,0,1,1,2004,11
"474",0,0,0,0,0,0,0,1,1,2004,11
"475",1,0,1,0,1,0,0,0,0,2004,11
"476",0,1,0,0,1,1,0,1,1,2004,11
"477",0,1,0,0,0,1,0,0,0,2004,11
"478",1,0,0,1,1,1,1,0,0,2004,11
"479",1,1,1,0,1,1,0,1,1,2004,11
"480",0,1,0,0,0,1,0,0,0,2004,11
"481",0,1,1,0,0,1,0,1,0,2004,11
"482",0,1,0,0,0,0,0,1,0,2004,11
"483",0,1,0,0,0,1,0,1,1,2004,11
"484",0,1,1,0,0,1,0,1,1,2004,11
"485",0,0,0,1,0,1,0,1,0,2004,11
