"","date","oil","gas"
"155",2004-02-13,34.56,5.54
"156",2004-02-17,35.19,5.32
"157",2004-02-18,35.45,5.36
"158",2004-02-19,36,5.24
"159",2004-02-20,35.6,5.19
"160",2004-02-23,34.35,5.13
"161",2004-02-24,34.58,5.08
"162",2004-02-25,35.68,5.15
"163",2004-02-26,35.51,5.39
"164",2004-02-27,36.16,5.42
"165",2004-03-01,36.86,5.55
"166",2004-03-02,36.66,5.57
"167",2004-03-03,35.8,5.38
"168",2004-03-04,36.64,5.46
"169",2004-03-05,37.26,5.44
"170",2004-03-08,36.57,5.39
"171",2004-03-09,36.28,5.44
"172",2004-03-10,36.1,5.4
"173",2004-03-11,36.78,5.64
"174",2004-03-12,36.19,5.6
"175",2004-03-15,37.44,5.72
"176",2004-03-16,37.48,5.69
"177",2004-03-17,38.18,5.72
"178",2004-03-18,37.93,5.63
"179",2004-03-19,38.08,5.58
"180",2004-03-22,37.11,5.55
"181",2004-03-23,37.45,5.53
"182",2004-03-24,37.01,5.43
"183",2004-03-25,35.51,5.34
"184",2004-03-26,35.73,5.4
"185",2004-03-29,35.45,5.37
"186",2004-03-30,36.25,5.75
"187",2004-03-31,35.76,5.93
"188",2004-04-01,34.27,5.77
"189",2004-04-02,34.39,5.81
"190",2004-04-05,34.38,5.8
"191",2004-04-06,34.97,5.81
"192",2004-04-07,36.15,5.87
"193",2004-04-08,37.14,5.94
"194",2004-04-12,37.84,6.01
"195",2004-04-13,37.21,5.79
"196",2004-04-14,36.72,5.74
"197",2004-04-15,37.57,5.73
"198",2004-04-16,37.74,5.61
"199",2004-04-19,37.42,5.51
"200",2004-04-20,37.6,5.55
"201",2004-04-21,35.73,5.58
"202",2004-04-22,36.71,5.62
"203",2004-04-23,36.46,5.57
"204",2004-04-26,36.97,5.76
"205",2004-04-27,37.53,5.87
"206",2004-04-28,37.46,5.94
"207",2004-04-29,37.31,5.92
"208",2004-04-30,37.38,5.86
"209",2004-05-03,38.21,6.23
"210",2004-05-04,38.98,6.27
"211",2004-05-05,39.57,6.31
"212",2004-05-06,39.37,6.22
"213",2004-05-07,39.93,6.29
"214",2004-05-10,38.93,6.18
"215",2004-05-11,40.06,6.39
"216",2004-05-12,40.77,6.41
"217",2004-05-13,41.08,6.48
"218",2004-05-14,41.38,6.4
"219",2004-05-17,41.55,6.42
"220",2004-05-18,40.54,6.15
"221",2004-05-19,41.5,6.46
"222",2004-05-20,40.92,6.32
"223",2004-05-21,39.93,6.35
"224",2004-05-24,41.72,6.71
"225",2004-05-25,41.14,6.68
"226",2004-05-26,40.7,6.68
"227",2004-05-27,39.44,6.57
"228",2004-05-28,39.88,6.44
"229",2004-06-01,42.33,6.68
"230",2004-06-02,39.96,6.52
"231",2004-06-03,39.28,6.36
"232",2004-06-04,38.49,6.26
"233",2004-06-07,38.66,6.21
"234",2004-06-08,37.28,6.12
"235",2004-06-09,37.54,6.08
"236",2004-06-10,38.45,6.18
"237",2004-06-14,37.59,6.24
"238",2004-06-15,37.19,6.3
"239",2004-06-16,37.32,6.49
"240",2004-06-17,38.46,6.58
"241",2004-06-18,38.75,6.52
"242",2004-06-21,37.63,6.34
"243",2004-06-22,38.11,6.41
"244",2004-06-23,37.57,6.42
"245",2004-06-24,37.93,6.54
"246",2004-06-25,37.55,6.35
"247",2004-06-28,36.24,6.14
"248",2004-06-29,35.66,6.12
"249",2004-06-30,37.05,6.16
"250",2004-07-01,38.74,6.22
"251",2004-07-02,38.39,6.15
"252",2004-07-06,39.65,6.42
"253",2004-07-07,39.08,6.37
"254",2004-07-08,40.33,6.19
"255",2004-07-09,39.96,6.14
"256",2004-07-12,39.5,5.86
"257",2004-07-13,39.44,5.91
"258",2004-07-14,40.97,5.98
"259",2004-07-15,40.77,5.85
"260",2004-07-16,41.25,5.89
"261",2004-07-19,41.64,5.82
"262",2004-07-20,40.86,5.94
"263",2004-07-21,40.58,5.93
"264",2004-07-22,41.36,6.15
"265",2004-07-23,41.71,6.13
"266",2004-07-26,41.44,5.96
"267",2004-07-27,41.84,6.02
"268",2004-07-28,42.9,6.14
"269",2004-07-29,42.75,6.18
"270",2004-07-30,43.8,6.11
"271",2004-08-02,43.82,5.81
"272",2004-08-03,44.15,5.82
"273",2004-08-04,42.83,5.66
"274",2004-08-05,44.41,5.71
"275",2004-08-06,43.95,5.59
"276",2004-08-09,44.84,5.69
"277",2004-08-10,44.52,5.79
"278",2004-08-11,44.8,5.61
"279",2004-08-12,45.5,5.44
"280",2004-08-13,46.58,5.53
"281",2004-08-16,46.05,5.38
"282",2004-08-17,46.75,5.37
"283",2004-08-18,47.27,5.38
"284",2004-08-19,48.7,5.51
"285",2004-08-20,47.86,5.55
"286",2004-08-23,46.05,5.31
"287",2004-08-24,45.21,5.34
"288",2004-08-25,43.47,5.3
"289",2004-08-26,43.1,5.19
"290",2004-08-27,43.18,5.08
"291",2004-08-30,42.28,5.23
"292",2004-08-31,42.12,5.07
"293",2004-09-01,44,4.97
"294",2004-09-02,44.06,4.77
"295",2004-09-03,43.99,4.68
"296",2004-09-07,43.31,4.79
"297",2004-09-08,42.77,4.63
"298",2004-09-09,44.61,4.66
"299",2004-09-10,42.81,4.57
"300",2004-09-13,43.87,4.85
"301",2004-09-14,44.39,4.93
"302",2004-09-15,43.58,4.82
"303",2004-09-16,43.88,4.72
"304",2004-09-17,45.59,5.11
"305",2004-09-20,46.35,5.25
"306",2004-09-21,47.1,5.61
"307",2004-09-22,48.35,5.63
"308",2004-09-23,48.46,5.56
"309",2004-09-24,48.88,5.39
"310",2004-09-27,49.64,5.26
"311",2004-09-28,49.9,5.72
"312",2004-09-29,49.51,6.91
"313",2004-09-30,49.64,6.8
"314",2004-10-01,50.12,6.77
"315",2004-10-04,49.91,6.73
"316",2004-10-05,51.09,7.16
"317",2004-10-06,52.02,7.05
"318",2004-10-07,52.67,7.26
"319",2004-10-08,53.31,7.16
"320",2004-10-11,53.64,6.99
"321",2004-10-12,52.51,6.64
"322",2004-10-13,53.64,6.85
"323",2004-10-14,54.76,6.8
"324",2004-10-15,54.93,6.71
"325",2004-10-18,53.67,6.81
"326",2004-10-19,53.29,7.12
"327",2004-10-20,54.92,7.62
"328",2004-10-21,54.47,7.7
"329",2004-10-22,55.17,8.11
"330",2004-10-25,54.54,7.89
"331",2004-10-26,55.17,8.4
"332",2004-10-27,52.46,7.63
"333",2004-10-28,50.92,8.68
"334",2004-10-29,51.76,8.73
"335",2004-11-01,50.13,8.72
"336",2004-11-02,49.62,8.57
"337",2004-11-03,50.88,8.75
"338",2004-11-04,48.82,8.2
"339",2004-11-05,49.61,7.95
"340",2004-11-08,49.09,7.6
"341",2004-11-09,47.37,7.47
"342",2004-11-10,48.86,7.68
"343",2004-11-11,47.42,7.24
"344",2004-11-12,47.32,7.18
"345",2004-11-15,46.87,7.44
"346",2004-11-16,46.11,7.12
"347",2004-11-17,46.84,7.28
"348",2004-11-18,46.22,6.87
"349",2004-11-19,48.44,7.12
"350",2004-11-22,48.64,6.76
"351",2004-11-23,48.94,6.79
"352",2004-11-24,49.44,7.98
"353",2004-11-29,49.76,7.84
"354",2004-11-30,49.13,7.62
"355",2004-12-01,45.49,7.41
"356",2004-12-02,43.25,6.81
"357",2004-12-03,42.54,6.8
"358",2004-12-06,42.98,6.92
"359",2004-12-07,41.46,6.62
"360",2004-12-08,41.94,6.68
"361",2004-12-09,42.53,6.89
"362",2004-12-10,40.71,6.84
"363",2004-12-13,41.01,7.17
"364",2004-12-14,41.82,7.33
"365",2004-12-15,44.19,7.24
"366",2004-12-16,44.18,7
"367",2004-12-17,46.28,7.46
"368",2004-12-20,45.64,6.95
"369",2004-12-21,45.76,6.86
"370",2004-12-22,44.24,6.82
"371",2004-12-23,44.18,6.67
"372",2004-12-27,41.32,6.16
"373",2004-12-28,41.77,6.21
"374",2004-12-29,43.64,6.4
"375",2004-12-30,43.45,6.15
"376",2005-01-03,42.12,5.79
"377",2005-01-04,43.91,5.9
"378",2005-01-05,43.39,5.83
"379",2005-01-06,45.56,6.05
"380",2005-01-07,45.43,6
"381",2005-01-10,45.33,6.16
"382",2005-01-11,45.68,6.1
"383",2005-01-12,46.37,5.94
"384",2005-01-13,48.04,6.45
"385",2005-01-14,48.38,6.4
"386",2005-01-18,48.38,6.14
"387",2005-01-19,47.55,6.29
"388",2005-01-20,46.91,6.31
"389",2005-01-21,48.53,6.24
"390",2005-01-24,48.81,6.48
"391",2005-01-25,49.64,6.4
"392",2005-01-26,48.78,6.39
"393",2005-01-27,48.84,6.29
"394",2005-01-28,47.18,6.26
"395",2005-01-31,48.2,6.32
"396",2005-02-01,47.12,6.32
"397",2005-02-02,46.69,6.38
"398",2005-02-03,46.45,6.15
"399",2005-02-04,46.48,6.1
"400",2005-02-07,45.28,5.97
"401",2005-02-08,45.4,6.16
"402",2005-02-09,45.46,6.17
"403",2005-02-10,47.1,6.16
"404",2005-02-11,47.16,6.09
"405",2005-02-14,47.44,6.09
"406",2005-02-15,47.26,6.18
"407",2005-02-16,48.33,6.11
"408",2005-02-17,47.54,5.92
"409",2005-02-18,48.35,5.91
"410",2005-02-22,51.15,6.1
"411",2005-02-23,51.17,6.31
"412",2005-02-24,51.39,6.3
"413",2005-02-25,51.49,6.72
"414",2005-02-28,51.75,6.73
"415",2005-03-01,51.68,6.68
"416",2005-03-02,53.05,6.72
"417",2005-03-03,53.57,6.66
"418",2005-03-04,53.78,6.74
"419",2005-03-07,53.89,6.71
"420",2005-03-08,54.59,6.85
"421",2005-03-09,54.77,6.88
"422",2005-03-10,53.54,6.77
"423",2005-03-11,54.43,6.77
"424",2005-03-14,54.95,7.14
"425",2005-03-15,55.05,7.18
"426",2005-03-16,56.46,7.19
"427",2005-03-17,56.4,7.24
"428",2005-03-18,56.72,7.27
"429",2005-03-21,56.62,7.32
"430",2005-03-22,56.03,7.25
"431",2005-03-23,53.81,7.14
"432",2005-03-24,54.84,7.06
"433",2005-03-28,54.05,7
"434",2005-03-29,54.23,7.32
"435",2005-03-30,53.99,7.46
"436",2005-03-31,55.4,7.65
"437",2005-04-01,57.27,7.75
"438",2005-04-04,57.01,7.59
"439",2005-04-05,56.04,7.57
"440",2005-04-06,55.85,7.56
"441",2005-04-07,54.11,7.37
"442",2005-04-08,53.32,7.24
"443",2005-04-11,53.71,7.31
"444",2005-04-12,51.86,7.09
"445",2005-04-13,50.22,6.98
"446",2005-04-14,51.13,7.07
"447",2005-04-15,50.49,7
"448",2005-04-18,50.37,6.95
"449",2005-04-19,52.29,7.05
"450",2005-04-20,52.44,7.06
"451",2005-04-21,54.2,7.03
"452",2005-04-22,55.39,7.2
"453",2005-04-25,54.57,7.15
"454",2005-04-26,54.2,7.12
"455",2005-04-27,51.61,6.75
"456",2005-04-28,51.77,6.75
"457",2005-04-29,49.72,6.59
"458",2005-05-02,50.92,6.7
"459",2005-05-03,49.5,6.52
"460",2005-05-04,50.13,6.63
"461",2005-05-05,50.83,6.69
"462",2005-05-06,50.96,6.62
"463",2005-05-09,52.03,6.67
"464",2005-05-10,52.07,6.69
"465",2005-05-11,50.45,6.68
"466",2005-05-12,48.54,6.51
"467",2005-05-13,48.67,6.54
"468",2005-05-16,48.61,6.45
"469",2005-05-17,48.97,6.48
"470",2005-05-18,47.25,6.39
"471",2005-05-19,46.92,6.36
"472",2005-05-20,46.8,6.34
"473",2005-05-23,49.16,6.41
"474",2005-05-24,49.67,6.35
"475",2005-05-25,50.98,6.32
"476",2005-05-26,51.01,6.12
"477",2005-05-27,51.85,6.37
"478",2005-05-31,51.97,6.38
"479",2005-06-01,54.6,6.79
"480",2005-06-02,53.63,6.82
"481",2005-06-03,55.03,6.88
"482",2005-06-06,54.49,7.12
"483",2005-06-07,53.76,7.13
"484",2005-06-08,52.54,7
"485",2005-06-09,54.28,7.05
"486",2005-06-10,53.54,6.93
"487",2005-06-13,55.62,7.26
"488",2005-06-14,55,7.23
"489",2005-06-15,55.57,7.44
"490",2005-06-16,56.58,7.61
"491",2005-06-17,58.47,7.69
"492",2005-06-20,59.37,7.67
"493",2005-06-21,58.9,7.47
"494",2005-06-22,58.09,7.44
"495",2005-06-23,59.42,7.47
"496",2005-06-24,59.84,7.36
"497",2005-06-27,60.54,7.14
"498",2005-06-28,58.2,6.98
"499",2005-06-29,57.26,7.09
"500",2005-06-30,56.5,6.98
"501",2005-07-01,58.75,7.17
"502",2005-07-05,59.59,7.48
"503",2005-07-06,61.28,7.69
"504",2005-07-07,60.73,7.4
"505",2005-07-08,59.63,7.47
"506",2005-07-11,58.92,7.5
"507",2005-07-12,60.62,7.89
"508",2005-07-13,60.01,7.9
"509",2005-07-14,57.8,7.84
"510",2005-07-15,58.09,7.85
"511",2005-07-18,57.32,7.65
"512",2005-07-19,57.46,7.59
"513",2005-07-20,56.72,7.55
"514",2005-07-21,57.13,7.3
"515",2005-07-22,58.65,7.38
"516",2005-07-25,59,7.28
"517",2005-07-26,59.2,7.43
"518",2005-07-27,59.11,7.65
"519",2005-07-28,59.94,7.69
"520",2005-07-29,60.57,7.89
"521",2005-08-01,61.57,8.15
"522",2005-08-02,61.89,8.38
"523",2005-08-03,60.86,8.35
"524",2005-08-04,61.38,8.47
"525",2005-08-05,62.31,8.7
"526",2005-08-08,63.94,8.68
"527",2005-08-09,63.07,8.65
"528",2005-08-10,64.9,9.07
"529",2005-08-11,65.8,9.3
"530",2005-08-12,66.86,9.59
"531",2005-08-15,66.27,9.54
"532",2005-08-16,66.08,9.75
"533",2005-08-17,63.25,9.39
"534",2005-08-18,63.27,8.93
"535",2005-08-19,65.35,9.11
"536",2005-08-22,65.45,9.56
"537",2005-08-23,65.71,9.68
"538",2005-08-24,67.32,9.98
"539",2005-08-25,67.49,9.77
"540",2005-08-26,66.13,9.79
"541",2005-08-29,67.2,10.85
"542",2005-08-30,69.81,11.66
"543",2005-08-31,68.94,11.47
"544",2005-09-01,69.47,11.76
"545",2005-09-02,67.57,11.69
"546",2005-09-06,65.96,11.66
"547",2005-09-07,64.37,11.2
"548",2005-09-08,64.49,11.35
"549",2005-09-09,64.08,11.26
"550",2005-09-12,63.34,11.03
"551",2005-09-13,63.11,10.76
"552",2005-09-14,65.09,11.17
"553",2005-09-15,64.75,11.34
"554",2005-09-16,63,11.14
"555",2005-09-19,67.39,12.66
"556",2005-09-20,66.23,12.49
"557",2005-09-21,66.8,12.59
"558",2005-09-22,66.5,12.79
"559",2005-09-23,64.19,12.32
"560",2005-09-26,65.82,12.44
"561",2005-09-27,65.07,12.66
"562",2005-09-28,66.35,13.91
"563",2005-09-29,66.79,14.2
"564",2005-09-30,66.24,13.92
"565",2005-10-03,65.47,14.02
"566",2005-10-04,63.9,14.22
"567",2005-10-05,62.79,14.18
"568",2005-10-06,61.36,13.38
"569",2005-10-07,61.84,13.23
"570",2005-10-10,61.8,12.98
"571",2005-10-11,63.53,13.52
"572",2005-10-12,64.12,13.52
"573",2005-10-13,63.08,13.1
"574",2005-10-14,62.63,13.22
"575",2005-10-17,64.36,13.89
"576",2005-10-18,63.2,13.42
"577",2005-10-19,62.41,13.55
"578",2005-10-20,61.03,12.98
"579",2005-10-21,60.63,12.87
"580",2005-10-24,60.32,13
"581",2005-10-25,62.44,14.34
"582",2005-10-26,60.66,14.04
"583",2005-10-27,61.09,13.83
"584",2005-10-28,61.22,13.06
"585",2005-10-31,59.76,12.21
"586",2005-11-01,59.85,11.86
"587",2005-11-02,59.75,11.6
"588",2005-11-03,61.78,11.69
"589",2005-11-04,60.58,11.42
"590",2005-11-07,59.47,11.87
"591",2005-11-08,59.71,11.79
"592",2005-11-09,58.93,11.67
"593",2005-11-10,57.8,11.38
"594",2005-11-11,57.53,11.71
"595",2005-11-14,57.69,11.61
"596",2005-11-15,56.98,11.56
"597",2005-11-16,57.88,12.33
"598",2005-11-17,56.34,11.94
"599",2005-11-18,56.14,11.41
"600",2005-11-21,57.7,11.33
"601",2005-11-22,58.84,11.61
"602",2005-11-23,58.71,11.62
"603",2005-11-28,57.36,11.18
"604",2005-11-29,56.5,11.74
"605",2005-11-30,57.32,12.59
"606",2005-12-01,58.47,13.03
"607",2005-12-02,59.32,13.93
"608",2005-12-05,59.91,13.66
"609",2005-12-06,59.94,13.49
"610",2005-12-07,59.21,13.7
"611",2005-12-08,60.66,14.99
"612",2005-12-09,59.39,14.31
"613",2005-12-12,61.3,14.84
"614",2005-12-13,61.37,15.38
"615",2005-12-14,60.85,14.68
"616",2005-12-15,59.99,13.78
"617",2005-12-16,58.06,13.63
"618",2005-12-19,57.34,14.04
"619",2005-12-20,57.98,14.08
"620",2005-12-21,58.56,14.27
"621",2005-12-22,58.28,12.92
"622",2005-12-23,58.43,12.28
"623",2005-12-27,58.16,11.02
"624",2005-12-28,59.82,11.43
"625",2005-12-29,60.32,11.22
"626",2005-12-30,61.04,11.23
"627",2006-01-03,63.14,10.63
"628",2006-01-04,63.42,10.2
"629",2006-01-05,62.79,9.5
"630",2006-01-06,64.21,9.63
"631",2006-01-09,63.5,9.36
"632",2006-01-10,63.37,9.34
"633",2006-01-11,63.94,9.24
"634",2006-01-12,63.94,8.94
"635",2006-01-13,63.92,8.79
"636",2006-01-17,66.31,9.17
"637",2006-01-18,65.73,8.69
"638",2006-01-19,66.83,8.91
"639",2006-01-20,68.35,9.28
"640",2006-01-23,68.1,8.57
"641",2006-01-24,67.06,8.68
"642",2006-01-25,65.85,8.46
"643",2006-01-26,66.26,8.23
"644",2006-01-27,67.76,8.4
"645",2006-01-30,68.35,9.39
"646",2006-01-31,67.92,9.32
"647",2006-02-01,66.56,8.72
"648",2006-02-02,64.68,8.35
"649",2006-02-03,65.37,8.61
"650",2006-02-06,65.11,8
"651",2006-02-07,63.09,7.86
"652",2006-02-08,62.55,7.74
"653",2006-02-09,62.62,7.48
"654",2006-02-10,61.84,7.32
"655",2006-02-13,61.24,7.24
"656",2006-02-14,59.57,7.11
"657",2006-02-15,57.65,7.07
"658",2006-02-16,58.46,7.13
"659",2006-02-17,59.88,7.18
"660",2006-02-21,61.1,7.73
"661",2006-02-22,61.01,7.28
"662",2006-02-23,60.54,7.46
"663",2006-02-24,62.91,7.11
"664",2006-02-27,61,6.79
"665",2006-02-28,61.41,6.71
"666",2006-03-01,61.97,6.73
"667",2006-03-02,63.36,6.76
"668",2006-03-03,63.67,6.79
"669",2006-03-06,62.41,6.55
"670",2006-03-07,61.58,6.68
"671",2006-03-08,60.02,6.65
"672",2006-03-09,60.47,6.6
"673",2006-03-10,59.96,6.65
"674",2006-03-13,61.77,7.01
"675",2006-03-14,63.1,7.17
"676",2006-03-15,62.17,7.14
"677",2006-03-16,63.58,7.27
"678",2006-03-17,62.77,7.05
"679",2006-03-20,60.42,6.84
"680",2006-03-21,60.57,6.87
"681",2006-03-22,61.77,6.95
"682",2006-03-23,63.91,7.33
"683",2006-03-24,64.26,7.29
"684",2006-03-27,64.16,7.07
"685",2006-03-28,66.07,7.21
"686",2006-03-29,66.45,7.23
"687",2006-03-30,67.15,7.49
"688",2006-03-31,66.63,7.21
"689",2006-04-03,66.74,7.24
"690",2006-04-04,66.23,7.07
"691",2006-04-05,67.07,7.07
"692",2006-04-06,67.94,6.97
"693",2006-04-07,67.39,6.74
"694",2006-04-10,68.74,6.88
"695",2006-04-11,68.98,6.91
"696",2006-04-12,68.62,6.81
"697",2006-04-13,69.32,7.14
"698",2006-04-17,70.4,7.58
"699",2006-04-18,71.35,8.01
"700",2006-04-19,72.17,8.19
"701",2006-04-20,71.95,8.06
"702",2006-04-21,75.17,7.98
"703",2006-04-24,73.33,7.56
"704",2006-04-25,72.88,7.25
"705",2006-04-26,71.93,7.2
"706",2006-04-27,70.97,6.81
"707",2006-04-28,71.88,6.56
"708",2006-05-01,73.7,6.7
"709",2006-05-02,74.61,6.75
"710",2006-05-03,72.28,6.61
"711",2006-05-04,69.94,6.91
"712",2006-05-05,70.19,6.78
"713",2006-05-08,69.77,6.7
"714",2006-05-09,70.69,6.58
"715",2006-05-10,72.13,6.9
"716",2006-05-11,73.32,6.65
"717",2006-05-12,72.04,6.28
"718",2006-05-15,69.41,6.12
"719",2006-05-16,69.53,6.25
"720",2006-05-17,68.69,6.13
"721",2006-05-18,69.45,6
"722",2006-05-19,68.53,5.96
"723",2006-05-22,69.23,6.28
"724",2006-05-23,71.76,6.26
"725",2006-05-24,69.86,5.96
"726",2006-05-25,71.32,5.98
"727",2006-05-26,71.37,5.93
"728",2006-05-30,72.03,6.12
"729",2006-05-31,71.29,6.38
"730",2006-06-01,70.34,6.45
"731",2006-06-02,72.33,6.62
"732",2006-06-05,72.6,6.46
"733",2006-06-06,72.5,6.39
"734",2006-06-07,70.82,5.97
"735",2006-06-08,70.35,6.19
"736",2006-06-09,71.63,6.17
"737",2006-06-12,70.36,6.22
"738",2006-06-13,68.56,6.16
"739",2006-06-14,69.14,6.59
"740",2006-06-15,69.5,7.21
"741",2006-06-16,69.88,7.19
"742",2006-06-19,68.98,6.89
"743",2006-06-20,68.94,6.5
"744",2006-06-21,70.33,6.59
"745",2006-06-22,70.84,6.44
"746",2006-06-23,70.87,6.23
"747",2006-06-26,71.8,5.97
"748",2006-06-27,71.92,6.11
"749",2006-06-28,72.19,5.89
"750",2006-06-29,73.52,6.14
"751",2006-06-30,73.93,6.1
"752",2006-07-05,75.19,5.77
"753",2006-07-06,75.14,5.66
"754",2006-07-07,74.09,5.52
"755",2006-07-10,73.61,5.61
"756",2006-07-11,74.16,5.63
"757",2006-07-12,74.95,5.78
"758",2006-07-13,76.7,6.13
"759",2006-07-14,77.03,6.35
"760",2006-07-17,75.3,5.78
"761",2006-07-18,73.54,5.56
"762",2006-07-19,72.66,5.86
