"","loss","alae","limit","censored"
"325",3000,10330,500000,0
"326",3000,11561,500000,0
"327",3000,11861,1000000,0
"328",3000,12545,300000,0
"329",3000,14485,500000,0
"330",3000,18206,1000000,0
"331",3000,32390,100000,0
"332",3162,339,300000,0
"333",3250,35,300000,0
"334",3250,10279,500000,0
"335",3269,7081,1000000,0
"336",3300,690,300000,0
"337",3300,3020,500000,0
"338",3333,9251,300000,0
"339",3400,495,300000,0
"340",3409,1974,100000,0
"341",3436,12072,300000,0
"342",3480,15953,500000,0
"343",3486,5374,500000,0
"344",3494,7423,500000,0
"345",3500,378,300000,0
"346",3500,565,1000000,0
"347",3500,784,500000,0
"348",3500,787,500000,0
"349",3500,980,25000,0
"350",3500,2531,500000,0
"351",3500,2691,500000,0
"352",3500,3395,1000000,0
"353",3500,3641,1000000,0
"354",3500,5079,250000,0
"355",3500,5381,100000,0
"356",3500,7615,500000,0
"357",3500,7936,-99,0
"358",3500,11240,300000,0
"359",3500,25176,1000000,0
"360",3600,3063,1000000,0
"361",3685,1716,500000,0
"362",3750,670,-99,0
"363",3750,1369,500000,0
"364",3750,1536,300000,0
"365",3750,3153,500000,0
"366",3750,3556,500000,0
"367",3750,3637,1000000,0
"368",3750,4224,300000,0
"369",3750,9951,300000,0
"370",3903,14319,1000000,0
"371",3941,3689,500000,0
"372",4000,50,-99,0
"373",4000,88,1000000,0
"374",4000,298,300000,0
"375",4000,355,1000000,0
"376",4000,1390,100000,0
"377",4000,1756,50000,0
"378",4000,1773,300000,0
"379",4000,2411,500000,0
"380",4000,2914,300000,0
"381",4000,3370,500000,0
"382",4000,3499,1000000,0
"383",4000,3640,500000,0
"384",4000,3971,500000,0
"385",4000,4439,300000,0
"386",4000,4898,1000000,0
"387",4000,20142,1000000,0
"388",4038,5687,500000,0
"389",4250,2008,500000,0
"390",4250,2115,500000,0
"391",4286,6522,500000,0
"392",4346,18656,100000,0
"393",4350,1786,500000,0
"394",4465,1534,500000,0
"395",4500,392,500000,0
"396",4500,395,-99,0
"397",4500,2316,25000,0
"398",4500,2406,300000,0
"399",4500,3046,500000,0
"400",4500,3358,1000000,0
"401",4500,4420,500000,0
"402",4500,7669,1000000,0
"403",4535,1542,1000000,0
"404",4568,6180,500000,0
"405",4600,6004,500000,0
"406",4675,2588,1000000,0
"407",4700,5586,500000,0
"408",4750,2894,300000,0
"409",4750,5293,500000,0
"410",4750,32362,1000000,0
"411",4833,5588,500000,0
"412",5000,25,-99,0
"413",5000,135,-99,0
"414",5000,137,300000,0
"415",5000,150,-99,0
"416",5000,187,500000,0
"417",5000,310,1000000,0
"418",5000,333,-99,0
"419",5000,492,5000000,0
"420",5000,571,100000,0
"421",5000,622,500000,0
"422",5000,627,-99,0
"423",5000,704,500000,0
"424",5000,721,-99,0
"425",5000,830,5000,1
"426",5000,1000,500000,0
"427",5000,1162,500000,0
"428",5000,1242,400000,0
"429",5000,1316,500000,0
"430",5000,1398,500000,0
"431",5000,1764,100000,0
"432",5000,1764,500000,0
"433",5000,1849,250000,0
"434",5000,1920,500000,0
"435",5000,1965,300000,0
"436",5000,2140,300000,0
"437",5000,2331,-99,0
"438",5000,2391,500000,0
"439",5000,2646,1000000,0
"440",5000,2932,500000,0
"441",5000,3289,500000,0
"442",5000,3427,5000,1
"443",5000,3604,1000000,0
"444",5000,3617,-99,0
"445",5000,4155,1000000,0
"446",5000,4158,1000000,0
"447",5000,4336,40000,0
"448",5000,4445,1000000,0
"449",5000,4618,500000,0
"450",5000,4696,300000,0
"451",5000,4756,-99,0
"452",5000,4885,250000,0
"453",5000,4964,500000,0
"454",5000,5012,500000,0
"455",5000,5235,1000000,0
"456",5000,5614,50000,0
"457",5000,5615,300000,0
"458",5000,5747,300000,0
"459",5000,6226,100000,0
"460",5000,6292,500000,0
"461",5000,6719,1000000,0
"462",5000,6843,500000,0
"463",5000,7009,-99,0
"464",5000,7009,-99,0
"465",5000,7044,-99,0
"466",5000,7204,-99,0
"467",5000,7279,500000,0
"468",5000,7381,500000,0
"469",5000,8085,300000,0
"470",5000,8102,300000,0
"471",5000,8541,2500000,0
"472",5000,8758,250000,0
"473",5000,8897,500000,0
"474",5000,8909,300000,0
"475",5000,9858,500000,0
"476",5000,12812,300000,0
"477",5000,13165,300000,0
"478",5000,13576,500000,0
"479",5000,14683,-99,0
"480",5000,16014,300000,0
"481",5000,16099,1000000,0
"482",5000,25477,25000,0
"483",5000,37264,500000,0
"484",5003,5093,500000,0
"485",5010,6101,100000,0
"486",5097,9437,500000,0
"487",5115,20383,1000000,0
"488",5250,4293,300000,0
"489",5390,44666,-99,0
"490",5400,9318,50000,0
"491",5500,101,500000,0
"492",5500,1293,1000000,0
"493",5500,1309,500000,0
"494",5500,1905,500000,0
"495",5500,2874,300000,0
"496",5500,3412,500000,0
"497",5500,3833,500000,0
"498",5500,7459,500000,0
"499",5500,10344,500000,0
"500",5577,7001,500000,0
"501",5600,4346,500000,0
"502",5600,6387,1000000,0
"503",5619,2798,500000,0
"504",5625,5571,1000000,0
"505",5625,29211,1000000,0
"506",5655,974,500000,0
"507",5750,7897,500000,0
"508",5750,34474,-99,0
"509",6000,492,500000,0
"510",6000,904,-99,0
"511",6000,1307,-99,0
"512",6000,2101,1000000,0
"513",6000,2754,500000,0
"514",6000,3719,25000,0
"515",6000,4389,50000,0
"516",6000,5823,500000,0
"517",6000,7106,500000,0
"518",6000,7313,500000,0
"519",6000,7322,1000000,0
"520",6000,8520,300000,0
"521",6000,10136,500000,0
"522",6000,11741,500000,0
"523",6000,12383,500000,0
"524",6000,149962,1000000,0
"525",6066,1523,500000,0
"526",6075,6244,1000000,0
"527",6240,6765,500000,0
"528",6403,5111,50000,0
"529",6406,274,1000000,0
"530",6441,9084,100000,0
"531",6500,185,-99,0
"532",6500,895,300000,0
"533",6500,1194,-99,0
"534",6500,1789,500000,0
"535",6500,3698,300000,0
"536",6500,4914,500000,0
"537",6500,8154,1000000,0
"538",6500,17397,500000,0
"539",6538,12277,500000,0
"540",6550,3295,300000,0
"541",6666,9046,1000000,0
"542",6719,18254,-99,0
"543",6750,518,500000,0
"544",6750,2524,1000000,0
"545",6750,3919,500000,0
"546",6907,2383,250000,0
"547",7000,50,-99,0
"548",7000,1900,1000000,0
"549",7000,3431,300000,0
"550",7000,3451,1000000,0
"551",7000,3944,1000000,0
"552",7000,10593,-99,0
"553",7000,12909,300000,0
"554",7000,15780,500000,0
"555",7000,16246,500000,0
"556",7500,150,-99,0
"557",7500,266,-99,0
"558",7500,332,500000,0
"559",7500,500,-99,0
"560",7500,508,500000,0
"561",7500,562,500000,0
"562",7500,695,25000,0
"563",7500,754,500000,0
"564",7500,1351,500000,0
"565",7500,1449,500000,0
"566",7500,1557,1000000,0
"567",7500,2615,500000,0
"568",7500,2873,300000,0
"569",7500,3285,1000000,0
"570",7500,3775,-99,0
"571",7500,3986,1000000,0
"572",7500,4057,500000,0
"573",7500,4738,500000,0
"574",7500,4949,1000000,0
"575",7500,5006,500000,0
"576",7500,5244,500000,0
"577",7500,5457,1000000,0
"578",7500,5732,300000,0
"579",7500,7064,250000,0
"580",7500,7083,300000,0
"581",7500,7318,1000000,0
"582",7500,7340,500000,0
"583",7500,7624,500000,0
"584",7500,7894,1000000,0
"585",7500,7904,300000,0
"586",7500,8711,500000,0
"587",7500,11488,500000,0
"588",7500,11724,1000000,0
"589",7500,11949,-99,0
"590",7500,13281,-99,0
"591",7500,13342,500000,0
"592",7500,13620,500000,0
"593",7500,15771,500000,0
"594",7500,17213,1000000,0
"595",7500,17595,1000000,0
"596",7500,28311,1000000,0
"597",7500,65020,500000,0
"598",7525,1687,500000,0
"599",7625,13517,1000000,0
"600",7820,2763,500000,0
"601",7857,479,1000000,0
"602",7875,54266,1000000,0
"603",7961,18113,100000,0
"604",8000,1942,-99,0
"605",8000,2099,-99,0
"606",8000,2335,500000,0
"607",8000,2901,500000,0
"608",8000,2929,500000,0
"609",8000,9671,300000,0
"610",8000,12167,500000,0
"611",8000,13251,500000,0
"612",8036,1450,300000,0
"613",8223,23351,50000,0
"614",8250,1521,1000000,0
"615",8330,5890,-99,0
"616",8333,3379,500000,0
"617",8333,5116,1000000,0
"618",8333,9486,500000,0
"619",8333,31367,1000000,0
"620",8366,5726,300000,0
"621",8500,1060,-99,0
"622",8500,1781,300000,0
"623",8500,2791,-99,0
"624",8500,3484,-99,0
"625",8500,3869,100000,0
"626",8500,5403,500000,0
"627",8500,8721,100000,0
"628",8500,15780,500000,0
"629",8520,4189,100000,0
"630",8555,15987,300000,0
"631",8640,1146,500000,0
"632",8703,11546,300000,0
"633",8750,2682,-99,0
"634",8827,3329,1000000,0
"635",8939,16252,1000000,0
"636",9000,406,-99,0
"637",9000,1694,500000,0
"638",9000,2337,250000,0
"639",9000,2378,1000000,0
"640",9000,2517,500000,0
"641",9000,4602,300000,0
"642",9000,7823,250000,0
"643",9000,11761,300000,0
"644",9000,16732,1000000,0
"645",9093,7998,300000,0
"646",9250,28,-99,0
"647",9250,6238,500000,0
"648",9250,23557,100000,0
"649",9427,1978,100000,0
"650",9500,1966,500000,0
"651",9500,2995,300000,0
"652",9500,3593,1000000,0
"653",9500,11243,500000,0
"654",10000,169,-99,0
"655",10000,255,500000,0
"656",10000,258,500000,0
"657",10000,386,1000000,0
"658",10000,470,1000000,0
"659",10000,699,1000000,0
"660",10000,927,1000000,0
"661",10000,1174,-99,0
"662",10000,1561,500000,0
"663",10000,1573,1500000,0
"664",10000,1656,500000,0
"665",10000,1779,500000,0
"666",10000,1787,1000000,0
"667",10000,1790,300000,0
"668",10000,1844,300000,0
"669",10000,2049,500000,0
"670",10000,2129,500000,0
"671",10000,2223,300000,0
"672",10000,2748,1000000,0
"673",10000,2907,500000,0
"674",10000,2976,500000,0
"675",10000,3526,1000000,0
"676",10000,3628,300000,0
"677",10000,3667,-99,0
"678",10000,4007,-99,0
"679",10000,4348,-99,0
"680",10000,4421,500000,0
"681",10000,4493,1000000,0
"682",10000,5111,500000,0
"683",10000,5192,500000,0
"684",10000,5247,1000000,0
"685",10000,5560,300000,0
"686",10000,5650,500000,0
"687",10000,6422,500000,0
"688",10000,6476,500000,0
"689",10000,7498,500000,0
"690",10000,7700,-99,0
"691",10000,7909,1000000,0
"692",10000,8226,100000,0
"693",10000,8293,500000,0
"694",10000,8623,500000,0
"695",10000,9802,300000,0
"696",10000,9854,500000,0
"697",10000,9875,500000,0
"698",10000,10623,300000,0
"699",10000,10826,50000,0
"700",10000,10829,1000000,0
"701",10000,11065,500000,0
"702",10000,11257,-99,0
"703",10000,11410,250000,0
"704",10000,11499,500000,0
"705",10000,11563,1000000,0
"706",10000,11793,1000000,0
"707",10000,11989,-99,0
"708",10000,12089,300000,0
"709",10000,16301,500000,0
"710",10000,16663,1000000,0
"711",10000,17053,-99,0
"712",10000,18587,500000,0
"713",10000,19425,1000000,0
"714",10000,23461,500000,0
"715",10000,25133,250000,0
"716",10000,25305,500000,0
"717",10000,28942,500000,0
"718",10000,32239,300000,0
"719",10000,36245,-99,0
"720",10000,96952,1000000,0
"721",10081,1303,-99,0
"722",10199,1578,100000,0
"723",10250,16928,300000,0
"724",10250,29077,50000,0
"725",10899,4680,500000,0
"726",11000,809,100000,0
"727",11000,1532,300000,0
"728",11000,2924,1000000,0
"729",11000,3576,500000,0
"730",11000,3970,25000,0
"731",11000,4372,100000,0
"732",11000,4514,500000,0
"733",11000,4707,100000,0
"734",11000,9117,500000,0
"735",11000,23362,300000,0
"736",11097,14580,500000,0
"737",11120,4619,300000,0
"738",11280,14353,1000000,0
"739",11425,16664,250000,0
"740",11500,1076,1000000,0
"741",11667,6845,1000000,0
"742",11723,1316,300000,0
"743",11750,853,-99,0
"744",11920,2869,1000000,0
"745",12000,202,-99,0
"746",12000,1200,100000,0
"747",12000,1580,100000,0
"748",12000,2347,-99,0
"749",12000,2521,500000,0
"750",12000,2748,-99,0
"751",12000,4523,1000000,0
"752",12000,9014,100000,0
"753",12100,16320,500000,0
"754",12500,165,-99,0
"755",12500,325,-99,0
"756",12500,552,1000000,0
"757",12500,673,500000,0
"758",12500,935,100000,0
"759",12500,2530,500000,0
"760",12500,4608,300000,0
"761",12500,4932,250000,0
"762",12500,6160,500000,0
"763",12500,6234,150000,0
"764",12500,6309,300000,0
"765",12500,8375,500000,0
"766",12500,10371,1000000,0
"767",12500,10496,500000,0
"768",12500,11897,500000,0
"769",12500,12297,100000,0
"770",12500,13842,500000,0
"771",12500,14220,100000,0
"772",12500,14266,500000,0
"773",12500,14674,300000,0
"774",12566,3270,1000000,0
"775",12608,2100,1000000,0
"776",12800,4417,1000000,0
"777",12821,47257,1000000,0
"778",12830,26,1000000,0
"779",12875,6721,500000,0
"780",12875,7815,500000,0
"781",13000,26993,500000,0
"782",13000,28847,1000000,0
"783",13242,8814,1000000,0
"784",13333,6667,1000000,0
"785",13450,2368,1000000,0
"786",13500,111,100000,0
"787",13500,700,500000,0
"788",13500,6096,500000,0
"789",13500,15302,50000,0
"790",13750,4295,1000000,0
"791",13750,15352,300000,0
"792",13825,3208,1000000,0
"793",14000,687,500000,0
"794",14000,2201,300000,0
"795",14000,3947,300000,0
"796",14000,8369,-99,0
"797",14000,10969,1000000,0
"798",14500,625,-99,0
"799",14500,3072,1000000,0
"800",14598,3077,500000,0
"801",14721,3959,250000,0
"802",14750,28217,-99,0
"803",14875,263,300000,0
"804",14983,4977,500000,0
"805",15000,24,500000,0
"806",15000,168,1000000,0
"807",15000,480,1000000,0
"808",15000,1103,500000,0
"809",15000,1830,500000,0
"810",15000,2007,300000,0
"811",15000,2072,-99,0
"812",15000,2191,-99,0
"813",15000,2194,1000000,0
"814",15000,2475,500000,0
"815",15000,2561,-99,0
"816",15000,2643,500000,0
"817",15000,2977,250000,0
"818",15000,3003,500000,0
"819",15000,3036,300000,0
"820",15000,3183,1000000,0
"821",15000,3324,300000,0
"822",15000,3429,1000000,0
"823",15000,3525,100000,0
"824",15000,3598,1000000,0
"825",15000,3689,500000,0
"826",15000,4012,-99,0
"827",15000,4541,1000000,0
"828",15000,4587,300000,0
"829",15000,5000,300000,0
"830",15000,5009,500000,0
"831",15000,5110,1000000,0
"832",15000,5531,500000,0
"833",15000,6134,500000,0
"834",15000,6326,1000000,0
"835",15000,6766,1000000,0
"836",15000,6890,1000000,0
"837",15000,7196,1000000,0
"838",15000,7231,300000,0
"839",15000,7288,500000,0
"840",15000,7415,300000,0
"841",15000,7904,500000,0
"842",15000,8060,300000,0
"843",15000,8634,500000,0
"844",15000,9151,500000,0
"845",15000,9357,500000,0
"846",15000,13499,100000,0
"847",15000,14727,500000,0
"848",15000,15604,300000,0
"849",15000,20615,1000000,0
"850",15000,26482,500000,0
"851",15000,58507,1000000,0
"852",15000,59884,100000,0
"853",15000,129435,1000000,0
"854",15001,5174,300000,0
"855",15069,1403,300000,0
"856",15078,16698,500000,0
"857",15086,489,500000,0
"858",15285,7635,100000,0
"859",15500,1319,500000,0
"860",15500,2950,100000,0
"861",15500,3886,100000,0
"862",15552,6290,500000,0
"863",15643,13866,1000000,0
"864",15833,2422,1000000,0
"865",16000,4906,500000,0
"866",16153,3717,300000,0
"867",16486,6490,1000000,0
"868",16500,1117,50000,0
"869",16500,2791,100000,0
"870",16500,4104,500000,0
"871",16500,5144,500000,0
"872",16500,6657,-99,0
"873",16500,8763,500000,0
"874",16500,15819,1000000,0
"875",16666,12105,500000,0
"876",16667,971,500000,0
"877",16667,2333,500000,0
"878",16667,5643,250000,0
"879",17258,25859,-99,0
"880",17327,8706,500000,0
"881",17350,16096,500000,0
"882",17500,2226,300000,0
"883",17500,2520,300000,0
"884",17500,3000,500000,0
"885",17500,5936,1000000,0
"886",17500,7525,-99,0
"887",17500,11575,500000,0
"888",17500,16137,500000,0
"889",17500,21740,250000,0
"890",17500,23586,500000,0
"891",17770,3032,300000,0
"892",18000,358,500000,0
"893",18000,708,-99,0
"894",18000,3100,1000000,0
"895",18000,3419,500000,0
"896",18000,8242,1000000,0
"897",18000,8775,500000,0
"898",18136,11034,1000000,0
"899",18175,312,300000,0
"900",18333,9440,500000,0
"901",18358,8724,100000,0
"902",18444,20203,500000,0
"903",18500,504,500000,0
"904",18500,4015,500000,0
"905",18500,11070,500000,0
"906",18500,12138,50000,0
"907",18544,2441,500000,0
"908",18706,10557,100000,0
"909",18706,13576,100000,0
"910",18750,10747,500000,0
"911",18750,18458,100000,0
"912",19000,4602,300000,0
"913",19000,4870,-99,0
"914",19000,8260,-99,0
"915",19375,3333,1000000,0
"916",19500,7088,1000000,0
"917",19500,12569,1000000,0
"918",19500,13674,300000,0
"919",19500,16744,75000,0
"920",19622,25634,100000,0
"921",19833,212,-99,0
"922",20000,325,1000000,0
"923",20000,1447,500000,0
"924",20000,2336,1000000,0
"925",20000,2760,500000,0
"926",20000,2774,-99,0
"927",20000,2863,1000000,0
"928",20000,3895,500000,0
"929",20000,4137,1000000,0
"930",20000,4436,50000,0
"931",20000,4542,2500000,0
"932",20000,5095,25000,0
"933",20000,5108,-99,0
"934",20000,5647,500000,0
"935",20000,8103,1000000,0
"936",20000,9971,500000,0
"937",20000,10841,500000,0
"938",20000,11888,100000,0
"939",20000,12304,300000,0
"940",20000,13218,300000,0
"941",20000,14078,500000,0
"942",20000,14417,500000,0
"943",20000,14999,500000,0
"944",20000,16223,500000,0
"945",20000,16312,500000,0
"946",20000,17905,-99,0
"947",20000,18124,100000,0
"948",20000,23484,1000000,0
"949",20000,25026,1000000,0
"950",20000,32093,500000,0
"951",20000,36109,300000,0
"952",20000,36572,1000000,0
"953",20000,70435,300000,0
"954",20800,18289,50000,0
"955",20802,12980,100000,0
"956",20863,8694,500000,0
"957",21000,1256,300000,0
"958",21000,2642,500000,0
"959",21000,2727,-99,0
"960",21000,2981,300000,0
"961",21000,13442,300000,0
"962",21013,8176,500000,0
"963",21110,2344,300000,0
"964",21136,11244,500000,0
"965",21274,5424,500000,0
"966",21557,5519,300000,0
"967",21666,5116,1000000,0
"968",21678,15,-99,0
"969",21701,18825,1000000,0
"970",21875,23155,1000000,0
"971",21951,9348,100000,0
"972",22000,3483,-99,0
"973",22000,3884,50000,0
"974",22000,7728,500000,0
"975",22000,43454,500000,0
"976",22035,409,1000000,0
"977",22105,2485,1000000,0
"978",22500,731,-99,0
"979",22500,1179,500000,0
"980",22500,1720,1000000,0
"981",22500,1997,500000,0
"982",22500,4892,1000000,0
"983",22500,5250,1000000,0
"984",22500,7151,300000,0
"985",22500,7309,300000,0
"986",22500,10366,1000000,0
"987",22500,10991,300000,0
"988",22500,12170,500000,0
"989",22940,24987,100000,0
"990",22963,5675,1000000,0
"991",23000,5036,500000,0
"992",23000,10622,100000,0
"993",23000,20237,-99,0
"994",23300,18896,1000000,0
"995",23320,4986,1000000,0
"996",23759,2586,1000000,0
"997",24000,1080,1000000,0
