"","In17","In16","In15","In14","In13","In12","In11","In10","In9","In8","In7","In6","In5","In4","In3","In2","In1","In0","InY","time"
"46",5.58,5.52,5.08,4.34,3.69,3.36,3.26,3.21,3.17,3.12,3.08,3.07,3.07,3.07,3.06,3.04,3.03,3.03,3.01,"03:45"
"47",5.52,5.08,4.34,3.69,3.36,3.26,3.21,3.17,3.12,3.08,3.07,3.07,3.07,3.06,3.04,3.03,3.03,3.03,3.01,"03:50"
"48",5.08,4.34,3.69,3.36,3.26,3.21,3.17,3.12,3.08,3.07,3.07,3.07,3.06,3.04,3.03,3.03,3.03,3.03,3.01,"03:55"
"49",3.08,3.07,3.07,3.07,3.06,3.04,3.03,3.03,3.03,3.03,3.03,3.02,3.02,3.01,3.01,3.01,3.01,3,3,"04:35"
"50",3.03,3.03,3.03,3.03,3.02,3.02,3.01,3.01,3.01,3.01,3,3,3,3,3,3,3,3,3,"05:10"
"51",3,3,3,3,3,3,3,3.01,3.02,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,"06:55"
"52",3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.03,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3,"08:40"
"53",3.03,3.03,3.03,3.03,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3,3,3,"09:15"
"54",3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3,3,3,3,3,3,3,5.05,"09:40"
"55",3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3,3,3,3,3,3,3,3,5.09,"09:45"
"56",3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3,3,3,3,3,3,3,3,3,5.15,"09:50"
"57",3.01,3.01,3.01,3.01,3.01,3.01,3.01,3.01,3,3,3,3,3,3,3,3,3,3,5.16,"09:55"
"58",3.01,3.01,3.01,3.01,3.01,3.01,3.01,3,3,3,3,3,3,3,3,3,3,3.39,5.18,"10:00"
"59",3.01,3.01,3.01,3.01,3.01,3.01,3,3,3,3,3,3,3,3,3,3,3.39,4.23,5.56,"10:05"
"60",3.01,3.01,3.01,3.01,3.01,3,3,3,3,3,3,3,3,3,3,3.39,4.23,5.05,6.24,"10:10"
"61",3.01,3.01,3.01,3.01,3,3,3,3,3,3,3,3,3,3,3.39,4.23,5.05,5.09,6.88,"10:15"
"62",3.01,3.01,3.01,3,3,3,3,3,3,3,3,3,3,3.39,4.23,5.05,5.09,5.15,9.19,"10:20"
"63",3.01,3.01,3,3,3,3,3,3,3,3,3,3,3.39,4.23,5.05,5.09,5.15,5.16,11.75,"10:25"
"64",3.01,3,3,3,3,3,3,3,3,3,3,3.39,4.23,5.05,5.09,5.15,5.16,5.18,13.59,"10:30"
"65",3,3,3,3,3,3,3,3,3,3,3.39,4.23,5.05,5.09,5.15,5.16,5.18,5.56,17.72,"10:35"
"66",3,3,3,3,3,3,3,3,3,3.39,4.23,5.05,5.09,5.15,5.16,5.18,5.56,6.24,19.4,"10:40"
"67",3,3,3,3,3,3,3,3,3.39,4.23,5.05,5.09,5.15,5.16,5.18,5.56,6.24,6.88,25.63,"10:45"
"68",3,3,3,3,3,3,3,3.39,4.23,5.05,5.09,5.15,5.16,5.18,5.56,6.24,6.88,9.19,36.09,"10:50"
"69",3,3,3,3,3,3,3.39,4.23,5.05,5.09,5.15,5.16,5.18,5.56,6.24,6.88,9.19,11.75,49.69,"10:55"
"70",3,3,3,3,3,3.39,4.23,5.05,5.09,5.15,5.16,5.18,5.56,6.24,6.88,9.19,11.75,13.59,56.9,"11:00"
"71",3,3,3,3,3.39,4.23,5.05,5.09,5.15,5.16,5.18,5.56,6.24,6.88,9.19,11.75,13.59,17.72,64.69,"11:05"
"72",3,3,3,3.39,4.23,5.05,5.09,5.15,5.16,5.18,5.56,6.24,6.88,9.19,11.75,13.59,17.72,19.4,70.91,"11:10"
"73",3,3,3.39,4.23,5.05,5.09,5.15,5.16,5.18,5.56,6.24,6.88,9.19,11.75,13.59,17.72,19.4,25.63,83.81,"11:15"
"74",3,3.39,4.23,5.05,5.09,5.15,5.16,5.18,5.56,6.24,6.88,9.19,11.75,13.59,17.72,19.4,25.63,36.09,99.09,"11:20"
"75",3.39,4.23,5.05,5.09,5.15,5.16,5.18,5.56,6.24,6.88,9.19,11.75,13.59,17.72,19.4,25.63,36.09,49.69,106.57,"11:25"
"76",4.23,5.05,5.09,5.15,5.16,5.18,5.56,6.24,6.88,9.19,11.75,13.59,17.72,19.4,25.63,36.09,49.69,56.9,113.69,"11:30"
"77",5.05,5.09,5.15,5.16,5.18,5.56,6.24,6.88,9.19,11.75,13.59,17.72,19.4,25.63,36.09,49.69,56.9,64.69,118.92,"11:35"
"78",5.09,5.15,5.16,5.18,5.56,6.24,6.88,9.19,11.75,13.59,17.72,19.4,25.63,36.09,49.69,56.9,64.69,70.91,124.58,"11:40"
"79",5.15,5.16,5.18,5.56,6.24,6.88,9.19,11.75,13.59,17.72,19.4,25.63,36.09,49.69,56.9,64.69,70.91,83.81,134.56,"11:45"
"80",5.16,5.18,5.56,6.24,6.88,9.19,11.75,13.59,17.72,19.4,25.63,36.09,49.69,56.9,64.69,70.91,83.81,99.09,145.84,"11:50"
"81",5.18,5.56,6.24,6.88,9.19,11.75,13.59,17.72,19.4,25.63,36.09,49.69,56.9,64.69,70.91,83.81,99.09,106.57,156.36,"11:55"
"82",5.56,6.24,6.88,9.19,11.75,13.59,17.72,19.4,25.63,36.09,49.69,56.9,64.69,70.91,83.81,99.09,106.57,113.69,176.25,"12:00"
"83",6.24,6.88,9.19,11.75,13.59,17.72,19.4,25.63,36.09,49.69,56.9,64.69,70.91,83.81,99.09,106.57,113.69,118.92,188.35,"12:05"
"84",6.88,9.19,11.75,13.59,17.72,19.4,25.63,36.09,49.69,56.9,64.69,70.91,83.81,99.09,106.57,113.69,118.92,124.58,212.25,"12:10"
"85",9.19,11.75,13.59,17.72,19.4,25.63,36.09,49.69,56.9,64.69,70.91,83.81,99.09,106.57,113.69,118.92,124.58,134.56,224.36,"12:15"
"86",11.75,13.59,17.72,19.4,25.63,36.09,49.69,56.9,64.69,70.91,83.81,99.09,106.57,113.69,118.92,124.58,134.56,145.84,232.05,"12:20"
"87",13.59,17.72,19.4,25.63,36.09,49.69,56.9,64.69,70.91,83.81,99.09,106.57,113.69,118.92,124.58,134.56,145.84,156.36,245.44,"12:25"
"88",17.72,19.4,25.63,36.09,49.69,56.9,64.69,70.91,83.81,99.09,106.57,113.69,118.92,124.58,134.56,145.84,156.36,176.25,267.45,"12:30"
"89",19.4,25.63,36.09,49.69,56.9,64.69,70.91,83.81,99.09,106.57,113.69,118.92,124.58,134.56,145.84,156.36,176.25,188.35,287.3,"12:35"
"90",25.63,36.09,49.69,56.9,64.69,70.91,83.81,99.09,106.57,113.69,118.92,124.58,134.56,145.84,156.36,176.25,188.35,212.25,306.09,"12:40"
"91",36.09,49.69,56.9,64.69,70.91,83.81,99.09,106.57,113.69,118.92,124.58,134.56,145.84,156.36,176.25,188.35,212.25,224.36,317.69,"12:45"
"92",49.69,56.9,64.69,70.91,83.81,99.09,106.57,113.69,118.92,124.58,134.56,145.84,156.36,176.25,188.35,212.25,224.36,232.05,331.89,"12:50"
"93",56.9,64.69,70.91,83.81,99.09,106.57,113.69,118.92,124.58,134.56,145.84,156.36,176.25,188.35,212.25,224.36,232.05,245.44,340.38,"12:55"
"94",64.69,70.91,83.81,99.09,106.57,113.69,118.92,124.58,134.56,145.84,156.36,176.25,188.35,212.25,224.36,232.05,245.44,267.45,351.33,"13:00"
"95",70.91,83.81,99.09,106.57,113.69,118.92,124.58,134.56,145.84,156.36,176.25,188.35,212.25,224.36,232.05,245.44,267.45,287.3,356.28,"13:05"
"96",83.81,99.09,106.57,113.69,118.92,124.58,134.56,145.84,156.36,176.25,188.35,212.25,224.36,232.05,245.44,267.45,287.3,306.09,368.54,"13:10"
"97",99.09,106.57,113.69,118.92,124.58,134.56,145.84,156.36,176.25,188.35,212.25,224.36,232.05,245.44,267.45,287.3,306.09,317.69,365.89,"13:15"
"98",106.57,113.69,118.92,124.58,134.56,145.84,156.36,176.25,188.35,212.25,224.36,232.05,245.44,267.45,287.3,306.09,317.69,331.89,360.28,"13:20"
"99",113.69,118.92,124.58,134.56,145.84,156.36,176.25,188.35,212.25,224.36,232.05,245.44,267.45,287.3,306.09,317.69,331.89,340.38,355.1,"13:25"
"100",118.92,124.58,134.56,145.84,156.36,176.25,188.35,212.25,224.36,232.05,245.44,267.45,287.3,306.09,317.69,331.89,340.38,351.33,354.57,"13:30"
"101",124.58,134.56,145.84,156.36,176.25,188.35,212.25,224.36,232.05,245.44,267.45,287.3,306.09,317.69,331.89,340.38,351.33,356.28,362.57,"13:35"
"102",134.56,145.84,156.36,176.25,188.35,212.25,224.36,232.05,245.44,267.45,287.3,306.09,317.69,331.89,340.38,351.33,356.28,368.54,362.79,"13:40"
"103",145.84,156.36,176.25,188.35,212.25,224.36,232.05,245.44,267.45,287.3,306.09,317.69,331.89,340.38,351.33,356.28,368.54,365.89,357.42,"13:45"
"104",156.36,176.25,188.35,212.25,224.36,232.05,245.44,267.45,287.3,306.09,317.69,331.89,340.38,351.33,356.28,368.54,365.89,360.28,349.83,"13:50"
"105",176.25,188.35,212.25,224.36,232.05,245.44,267.45,287.3,306.09,317.69,331.89,340.38,351.33,356.28,368.54,365.89,360.28,355.1,342.9,"13:55"
"106",188.35,212.25,224.36,232.05,245.44,267.45,287.3,306.09,317.69,331.89,340.38,351.33,356.28,368.54,365.89,360.28,355.1,354.57,325.45,"14:00"
"107",212.25,224.36,232.05,245.44,267.45,287.3,306.09,317.69,331.89,340.38,351.33,356.28,368.54,365.89,360.28,355.1,354.57,362.57,315.25,"14:05"
"108",224.36,232.05,245.44,267.45,287.3,306.09,317.69,331.89,340.38,351.33,356.28,368.54,365.89,360.28,355.1,354.57,362.57,362.79,294.86,"14:10"
"109",232.05,245.44,267.45,287.3,306.09,317.69,331.89,340.38,351.33,356.28,368.54,365.89,360.28,355.1,354.57,362.57,362.79,357.42,290.64,"14:15"
"110",245.44,267.45,287.3,306.09,317.69,331.89,340.38,351.33,356.28,368.54,365.89,360.28,355.1,354.57,362.57,362.79,357.42,349.83,287.04,"14:20"
"111",267.45,287.3,306.09,317.69,331.89,340.38,351.33,356.28,368.54,365.89,360.28,355.1,354.57,362.57,362.79,357.42,349.83,342.9,272.82,"14:25"
"112",287.3,306.09,317.69,331.89,340.38,351.33,356.28,368.54,365.89,360.28,355.1,354.57,362.57,362.79,357.42,349.83,342.9,325.45,249.59,"14:30"
"113",306.09,317.69,331.89,340.38,351.33,356.28,368.54,365.89,360.28,355.1,354.57,362.57,362.79,357.42,349.83,342.9,325.45,315.25,229.24,"14:35"
"114",317.69,331.89,340.38,351.33,356.28,368.54,365.89,360.28,355.1,354.57,362.57,362.79,357.42,349.83,342.9,325.45,315.25,294.86,213.44,"14:40"
"115",331.89,340.38,351.33,356.28,368.54,365.89,360.28,355.1,354.57,362.57,362.79,357.42,349.83,342.9,325.45,315.25,294.86,290.64,198.43,"14:45"
"116",340.38,351.33,356.28,368.54,365.89,360.28,355.1,354.57,362.57,362.79,357.42,349.83,342.9,325.45,315.25,294.86,290.64,287.04,175.25,"14:50"
"117",351.33,356.28,368.54,365.89,360.28,355.1,354.57,362.57,362.79,357.42,349.83,342.9,325.45,315.25,294.86,290.64,287.04,272.82,156.26,"14:55"
"118",356.28,368.54,365.89,360.28,355.1,354.57,362.57,362.79,357.42,349.83,342.9,325.45,315.25,294.86,290.64,287.04,272.82,249.59,140.8,"15:00"
"119",368.54,365.89,360.28,355.1,354.57,362.57,362.79,357.42,349.83,342.9,325.45,315.25,294.86,290.64,287.04,272.82,249.59,229.24,129.02,"15:05"
"120",365.89,360.28,355.1,354.57,362.57,362.79,357.42,349.83,342.9,325.45,315.25,294.86,290.64,287.04,272.82,249.59,229.24,213.44,111.54,"15:10"
"121",360.28,355.1,354.57,362.57,362.79,357.42,349.83,342.9,325.45,315.25,294.86,290.64,287.04,272.82,249.59,229.24,213.44,198.43,103.17,"15:15"
"122",355.1,354.57,362.57,362.79,357.42,349.83,342.9,325.45,315.25,294.86,290.64,287.04,272.82,249.59,229.24,213.44,198.43,175.25,93.79,"15:20"
"123",354.57,362.57,362.79,357.42,349.83,342.9,325.45,315.25,294.86,290.64,287.04,272.82,249.59,229.24,213.44,198.43,175.25,156.26,91.82,"15:25"
"124",362.57,362.79,357.42,349.83,342.9,325.45,315.25,294.86,290.64,287.04,272.82,249.59,229.24,213.44,198.43,175.25,156.26,140.8,85.98,"15:30"
"125",362.79,357.42,349.83,342.9,325.45,315.25,294.86,290.64,287.04,272.82,249.59,229.24,213.44,198.43,175.25,156.26,140.8,129.02,73.16,"15:35"
"126",357.42,349.83,342.9,325.45,315.25,294.86,290.64,287.04,272.82,249.59,229.24,213.44,198.43,175.25,156.26,140.8,129.02,111.54,67.17,"15:40"
"127",349.83,342.9,325.45,315.25,294.86,290.64,287.04,272.82,249.59,229.24,213.44,198.43,175.25,156.26,140.8,129.02,111.54,103.17,63.21,"15:45"
"128",342.9,325.45,315.25,294.86,290.64,287.04,272.82,249.59,229.24,213.44,198.43,175.25,156.26,140.8,129.02,111.54,103.17,93.79,59.55,"15:50"
"129",325.45,315.25,294.86,290.64,287.04,272.82,249.59,229.24,213.44,198.43,175.25,156.26,140.8,129.02,111.54,103.17,93.79,91.82,56.03,"15:55"
"130",315.25,294.86,290.64,287.04,272.82,249.59,229.24,213.44,198.43,175.25,156.26,140.8,129.02,111.54,103.17,93.79,91.82,85.98,54.23,"16:00"
"131",294.86,290.64,287.04,272.82,249.59,229.24,213.44,198.43,175.25,156.26,140.8,129.02,111.54,103.17,93.79,91.82,85.98,73.16,53.6,"16:05"
"132",290.64,287.04,272.82,249.59,229.24,213.44,198.43,175.25,156.26,140.8,129.02,111.54,103.17,93.79,91.82,85.98,73.16,67.17,50.78,"16:10"
"133",287.04,272.82,249.59,229.24,213.44,198.43,175.25,156.26,140.8,129.02,111.54,103.17,93.79,91.82,85.98,73.16,67.17,63.21,43.18,"16:15"
"134",272.82,249.59,229.24,213.44,198.43,175.25,156.26,140.8,129.02,111.54,103.17,93.79,91.82,85.98,73.16,67.17,63.21,59.55,39.63,"16:20"
"135",249.59,229.24,213.44,198.43,175.25,156.26,140.8,129.02,111.54,103.17,93.79,91.82,85.98,73.16,67.17,63.21,59.55,56.03,44.23,"16:25"
"136",229.24,213.44,198.43,175.25,156.26,140.8,129.02,111.54,103.17,93.79,91.82,85.98,73.16,67.17,63.21,59.55,56.03,54.23,45.25,"16:30"
"137",213.44,198.43,175.25,156.26,140.8,129.02,111.54,103.17,93.79,91.82,85.98,73.16,67.17,63.21,59.55,56.03,54.23,53.6,42.85,"16:35"
"138",198.43,175.25,156.26,140.8,129.02,111.54,103.17,93.79,91.82,85.98,73.16,67.17,63.21,59.55,56.03,54.23,53.6,50.78,40.53,"16:40"
"139",175.25,156.26,140.8,129.02,111.54,103.17,93.79,91.82,85.98,73.16,67.17,63.21,59.55,56.03,54.23,53.6,50.78,43.18,40.85,"16:45"
"140",156.26,140.8,129.02,111.54,103.17,93.79,91.82,85.98,73.16,67.17,63.21,59.55,56.03,54.23,53.6,50.78,43.18,39.63,40.83,"16:50"
"141",140.8,129.02,111.54,103.17,93.79,91.82,85.98,73.16,67.17,63.21,59.55,56.03,54.23,53.6,50.78,43.18,39.63,44.23,39.86,"16:55"
"142",129.02,111.54,103.17,93.79,91.82,85.98,73.16,67.17,63.21,59.55,56.03,54.23,53.6,50.78,43.18,39.63,44.23,45.25,38.57,"17:00"
"143",111.54,103.17,93.79,91.82,85.98,73.16,67.17,63.21,59.55,56.03,54.23,53.6,50.78,43.18,39.63,44.23,45.25,42.85,39.44,"17:05"
"144",103.17,93.79,91.82,85.98,73.16,67.17,63.21,59.55,56.03,54.23,53.6,50.78,43.18,39.63,44.23,45.25,42.85,40.53,41.64,"17:10"
"145",93.79,91.82,85.98,73.16,67.17,63.21,59.55,56.03,54.23,53.6,50.78,43.18,39.63,44.23,45.25,42.85,40.53,40.85,40.37,"17:15"
"146",91.82,85.98,73.16,67.17,63.21,59.55,56.03,54.23,53.6,50.78,43.18,39.63,44.23,45.25,42.85,40.53,40.85,40.83,40.3,"17:20"
"147",85.98,73.16,67.17,63.21,59.55,56.03,54.23,53.6,50.78,43.18,39.63,44.23,45.25,42.85,40.53,40.85,40.83,39.86,40.01,"17:25"
"148",73.16,67.17,63.21,59.55,56.03,54.23,53.6,50.78,43.18,39.63,44.23,45.25,42.85,40.53,40.85,40.83,39.86,38.57,38.88,"17:30"
"149",67.17,63.21,59.55,56.03,54.23,53.6,50.78,43.18,39.63,44.23,45.25,42.85,40.53,40.85,40.83,39.86,38.57,39.44,37.64,"17:35"
"150",63.21,59.55,56.03,54.23,53.6,50.78,43.18,39.63,44.23,45.25,42.85,40.53,40.85,40.83,39.86,38.57,39.44,41.64,37,"17:40"
"151",59.55,56.03,54.23,53.6,50.78,43.18,39.63,44.23,45.25,42.85,40.53,40.85,40.83,39.86,38.57,39.44,41.64,40.37,36.41,"17:45"
"152",56.03,54.23,53.6,50.78,43.18,39.63,44.23,45.25,42.85,40.53,40.85,40.83,39.86,38.57,39.44,41.64,40.37,40.3,36.35,"17:50"
"153",54.23,53.6,50.78,43.18,39.63,44.23,45.25,42.85,40.53,40.85,40.83,39.86,38.57,39.44,41.64,40.37,40.3,40.01,36.32,"17:55"
"154",53.6,50.78,43.18,39.63,44.23,45.25,42.85,40.53,40.85,40.83,39.86,38.57,39.44,41.64,40.37,40.3,40.01,38.88,35.66,"18:00"
"155",50.78,43.18,39.63,44.23,45.25,42.85,40.53,40.85,40.83,39.86,38.57,39.44,41.64,40.37,40.3,40.01,38.88,37.64,34.02,"18:05"
"156",43.18,39.63,44.23,45.25,42.85,40.53,40.85,40.83,39.86,38.57,39.44,41.64,40.37,40.3,40.01,38.88,37.64,37,32.64,"18:10"
"157",39.63,44.23,45.25,42.85,40.53,40.85,40.83,39.86,38.57,39.44,41.64,40.37,40.3,40.01,38.88,37.64,37,36.41,31.72,"18:15"
"158",44.23,45.25,42.85,40.53,40.85,40.83,39.86,38.57,39.44,41.64,40.37,40.3,40.01,38.88,37.64,37,36.41,36.35,28.86,"18:20"
"159",45.25,42.85,40.53,40.85,40.83,39.86,38.57,39.44,41.64,40.37,40.3,40.01,38.88,37.64,37,36.41,36.35,36.32,22.53,"18:25"
"160",42.85,40.53,40.85,40.83,39.86,38.57,39.44,41.64,40.37,40.3,40.01,38.88,37.64,37,36.41,36.35,36.32,35.66,20.9,"18:30"
"161",40.53,40.85,40.83,39.86,38.57,39.44,41.64,40.37,40.3,40.01,38.88,37.64,37,36.41,36.35,36.32,35.66,34.02,19.67,"18:35"
"162",40.85,40.83,39.86,38.57,39.44,41.64,40.37,40.3,40.01,38.88,37.64,37,36.41,36.35,36.32,35.66,34.02,32.64,17.31,"18:40"
"163",40.83,39.86,38.57,39.44,41.64,40.37,40.3,40.01,38.88,37.64,37,36.41,36.35,36.32,35.66,34.02,32.64,31.72,14.18,"18:45"
"164",39.86,38.57,39.44,41.64,40.37,40.3,40.01,38.88,37.64,37,36.41,36.35,36.32,35.66,34.02,32.64,31.72,28.86,12.72,"18:50"
"165",38.57,39.44,41.64,40.37,40.3,40.01,38.88,37.64,37,36.41,36.35,36.32,35.66,34.02,32.64,31.72,28.86,22.53,10.58,"18:55"
"166",39.44,41.64,40.37,40.3,40.01,38.88,37.64,37,36.41,36.35,36.32,35.66,34.02,32.64,31.72,28.86,22.53,20.9,9.18,"19:00"
"167",41.64,40.37,40.3,40.01,38.88,37.64,37,36.41,36.35,36.32,35.66,34.02,32.64,31.72,28.86,22.53,20.9,19.67,7.37,"19:05"
