"","short.run","long.run"
"115",3.824,2.91
"116",3.868,2.882
"117",3.812,2.802
"118",3.898,2.855
"119",3.999,3.007
"120",3.747,2.583
"121",3.855,2.76
"122",3.732,2.972
"123",3.822,2.859
"124",3.758,2.845
"125",3.832,2.917
"126",3.903,2.905
"127",4.003,2.881
"128",4.006,3.053
"129",3.871,3
"130",3.902,2.958
"131",4.036,3.033
"132",4.093,3.148
"133",4.154,3.21
"134",4.114,3.088
"135",3.908,2.89
"136",3.932,3
"137",3.942,2.938
"138",3.989,3.035
"139",4.071,3.257
"140",3.985,3.109
"141",3.972,2.931
"142",3.973,2.876
"143",3.958,3.009
"144",3.917,3.01
"145",3.922,2.993
"146",3.987,2.942
"147",4.019,2.989
"148",4.001,3.081
"149",4.003,3.115
"150",4.022,3.125
"151",4.012,3.461
"152",4.04,3.598
"153",4.105,3.592
"154",4.188,3.673
"155",4.128,3.737
"156",4.175,3.814
"157",4.206,3.777
"158",4.237,3.895
"159",4.264,3.909
"160",4.208,3.812
"161",4.198,3.825
"162",4.157,3.754
"163",4.211,3.737
"164",4.225,3.792
"165",4.191,3.867
"166",4.174,3.877
"167",4.185,4.147
"168",4.219,4
"169",4.195,4.026
"170",4.227,4.141
"171",4.205,4.085
"172",4.196,4.066
"173",4.234,4.068
"174",4.204,3.925
"175",4.223,3.999
"176",4.278,4.105
"177",4.409,4.351
"178",4.456,4.352
"179",4.542,4.44
"180",4.704,4.964
"181",4.792,4.898
"182",5.196,5.133
"183",4.825,4.974
"184",4.947,4.949
"185",4.935,5.055
"186",5.11,5.018
"187",5.26,5.212
"188",5.569,5.945
"189",5.071,5.915
"190",5.078,5.715
"191",5.265,5.477
"192",4.724,5.034
"193",4.617,4.634
"194",4.867,4.681
"195",4.599,4.142
"196",4.943,4.057
"197",4.964,4.039
"198",5.441,5.084
"199",5.347,5.16
"200",5.422,5.315
"201",5.515,5.4
"202",5.711,5.496
"203",5.819,5.754
"204",5.771,5.898
"205",5.731,5.454
"206",5.689,5.507
"207",5.97,5.685
"208",5.925,5.938
"209",5.984,6.169
"210",5.751,5.945
"211",5.532,5.463
"212",5.555,5.412
"213",5.647,5.412
"214",5.79,5.7
"215",5.951,5.858
"216",6.417,6.617
"217",6.338,6.482
"218",6.368,6.505
"219",6.421,6.313
"220",6.335,6.236
"221",6.575,6.599
"222",6.588,7.672
"223",6.479,7.65
"224",6.541,7.531
"225",7.199,7.814
"226",6.717,7.396
"227",7.016,7.843
"228",7.323,7.937
"229",7.439,7.963
"230",6.808,6.892
"231",6.835,6.655
"232",7.714,7.527
"233",7.7,7.452
"234",7.502,7.215
"235",7.604,6.894
"236",7.569,6.781
"237",7.299,6.604
"238",7.197,6.342
"239",6.489,5.161
"240",6.338,4.994
"241",6.174,4.239
"242",6.124,3.746
"243",5.719,3.809
"244",6.149,4.635
"245",6.529,4.972
"246",6.827,6.057
"247",6.946,6.063
"248",6.298,5.273
"249",5.97,5.274
"250",5.96,4.603
"251",5.846,4.752
"252",5.966,4.293
"253",6.399,4.183
"254",6.256,4.24
"255",6.216,5.004
"256",6.209,4.497
"257",6.138,4.561
"258",6.244,5.171
"259",6.401,4.878
"260",6.513,5.37
"261",6.623,5.632
"262",6.448,5.479
"263",6.336,5.363
"264",6.411,5.591
"265",6.446,6.058
"266",6.554,6.391
"267",6.581,6.962
"268",6.574,6.719
"269",6.781,7.048
"270",6.793,7.593
"271",7.336,8.664
"272",7.037,8.465
"273",6.764,7.577
"274",6.891,6.985
"275",6.786,7.425
"276",6.792,7.112
"277",7.004,7.025
"278",7.089,6.989
"279",7.486,8.289
"280",7.894,8.941
"281",7.834,8.73
"282",7.84,8.683
"283",8.009,8.652
"284",8.275,9.74
"285",7.89,8.292
"286",7.746,7.859
"287",7.699,7.512
"288",7.427,7.128
"289",7.479,6.15
"290",7.487,5.919
"291",7.933,6.164
"292",8.129,6.86
"293",7.966,6.071
"294",7.868,6.849
"295",8.03,7.261
"296",8.089,7.461
"297",8.372,7.621
"298",7.927,6.292
"299",8.219,6.568
"300",7.798,6.101
"301",7.885,5.558
"302",7.797,6.111
"303",7.694,6.04
"304",7.687,6.014
"305",7.894,6.661
"306",7.806,6.356
"307",7.845,6.077
"308",7.659,5.827
"309",7.558,5.731
"310",7.459,5.458
"311",7.089,4.882
"312",6.834,4.84
"313",7.375,5.548
"314",7.445,5.516
"315",7.424,5.407
"316",7.449,5.511
"317",7.391,5.701
"318",7.27,5.636
"319",7.384,6.085
"320",7.25,6.262
"321",7.33,6.568
"322",7.547,7.005
"323",7.513,6.869
"324",7.681,6.921
"325",7.815,7.118
"326",7.918,7.159
"327",8.02,7.324
"328",8.102,7.524
"329",8.268,7.779
"330",8.451,8.199
"331",8.386,8.198
"332",8.203,8.302
"333",8.429,8.658
"334",8.662,9.657
"335",8.623,9.757
"336",8.864,10.329
"337",8.717,9.796
"338",8.967,9.971
"339",8.902,9.773
"340",9.123,9.91
"341",8.87,9.612
"342",8.627,9.109
"343",8.821,9.485
"344",8.988,10.213
"345",9.157,10.479
"346",10.311,12.438
"347",10.112,11.331
"348",10.024,11.413
"349",10.903,11.729
"350",12.283,14.904
"351",12.018,15.281
"352",10.709,10.964
"353",10.209,8.686
"354",10.025,8.426
"355",10.698,9.135
"356",11.201,11.142
"357",11.552,11.893
"358",11.986,13.106
"359",12.056,14.448
"360",11.944,13.201
"361",12.192,13.655
"362",12.913,13.997
"363",12.685,12.862
"364",13.499,14.673
"365",12.887,14.686
"366",13.292,14.42
"367",13.888,15.748
"368",14.606,16.345
"369",15.065,15.911
"370",14.211,14.099
"371",12.947,11.564
"372",13.669,13.327
"373",13.802,13.805
"374",13.581,13.751
"375",13.635,13.946
"376",13.306,13.459
"377",13.302,12.867
"378",13.842,14.211
"379",13.277,12.646
"380",12.439,11.168
"381",11.741,10.369
"382",10.869,9.454
"383",10.97,9.321
"384",10.585,8.786
"385",11.037,8.956
"386",10.363,8.608
"387",10.639,9.246
"388",10.321,8.72
"389",10.862,9.318
"390",11.003,9.583
"391",11.779,10.346
"392",11.789,10.363
"393",11.376,9.698
"394",11.642,9.621
"395",11.466,9.71
"396",11.658,9.894
"397",11.532,9.634
"398",11.855,9.985
"399",12.307,10.611
"400",12.599,10.811
"401",13.624,11.927
"402",13.508,11.988
"403",12.647,11.631
"404",12.473,11.669
"405",12.151,11.165
"406",11.554,10.15
"407",11.428,9.531
"408",11.459,9.132
"409",11.119,8.982
"410",11.859,9.65
"411",11.588,9.417
"412",11.404,8.945
"413",10.331,8.011
"414",10.286,7.747
"415",10.653,8.092
"416",10.376,7.976
"417",10.459,8.015
"418",10.078,7.815
"419",9.591,7.746
"420",9.015,7.496
"421",9.28,7.483
"422",8.124,7.327
"423",7.434,6.723
"424",7.475,6.493
"425",8.212,6.87
"426",7.492,6.407
"427",7.639,6.178
"428",7.347,5.485
"429",7.861,5.821
"430",7.642,5.695
"431",7.283,5.701
"432",7.329,5.946
"433",7.347,5.879
"434",7.274,5.889
"435",7.604,6.105
"436",8.355,6.644
"437",8.484,6.911
"438",8.403,6.717
"439",8.752,6.93
"440",9.057,7.232
"441",9.648,7.843
"442",8.982,6.906
"443",9.069,7.032
"444",8.942,7.161
"445",8.319,6.689
"446",8.257,6.58
"447",8.663,6.814
"448",8.952,7.071
"449",9.2,7.575
"450",8.819,7.437
"451",9.125,7.8
"452",9.173,8.192
"453",8.822,8.034
"454",8.59,7.919
"455",8.941,8.492
"456",8.96,8.873
"457",8.793,8.879
"458",9.056,9.283
"459",9,9.49
"460",8.854,9.038
"461",8.47,8.746
"462",8.019,8.05
"463",7.785,7.633
"464",8.156,8.237
"465",8.193,8.352
"466",7.867,7.797
"467",7.82,7.613
"468",7.915,7.742
"469",8.359,7.998
"470",8.459,8.009
"471",8.549,8.224
"472",8.924,8.471
"473",8.506,8.094
"474",8.359,7.963
"475",8.306,7.641
"476",8.827,7.74
"477",8.787,7.663
"478",8.645,7.352
"479",8.316,7.269
"480",8.103,6.842
"481",8.069,6.531
"482",8.069,6.431
