"","X","Y","ReportedDay"
"121",362110,535210,48
"122",340890,564810,48
"123",312700,555800,48
"124",353160,526900,48
"125",352050,527840,48
"126",330340,551150,49
"127",331400,556800,49
"128",334030,552370,49
"129",332150,552250,49
"130",352650,545470,49
"131",346800,534390,49
"132",354210,535840,49
"133",348230,546580,49
"134",343420,546280,49
"135",354700,532340,49
"136",360100,537510,49
"137",361020,535440,49
"138",340840,536100,49
"139",344650,539530,49
"140",345530,537840,49
"141",335830,565970,49
"142",335600,566800,49
"143",349390,570510,49
"144",312280,555220,49
"145",362260,521830,49
"146",341700,551000,50
"147",325490,553510,50
"148",321830,541530,50
"149",316800,549530,50
"150",336050,542910,50
"151",343040,560370,50
"152",342410,534430,50
"153",345170,542950,50
"154",341230,538370,50
"155",345020,535790,50
"156",354790,523200,50
"157",356900,533600,51
"158",319910,546140,51
"159",314370,553680,51
"160",334480,544420,51
"161",333970,550760,51
"162",321550,546500,51
"163",328980,549430,51
"164",309890,550010,51
"165",325200,560790,51
"166",335860,547170,51
"167",334270,561060,51
"168",355430,572470,51
"169",352970,548730,51
"170",338410,542670,51
"171",343800,547100,51
"172",361380,537100,51
"173",334630,571020,51
"174",365030,529600,51
"175",320100,555400,52
"176",334320,543430,52
"177",310870,544240,52
"178",314760,544990,52
"179",334000,538700,52
"180",324230,501430,52
"181",337930,543550,52
"182",325830,554720,52
"183",343080,533700,52
"184",346300,542600,52
"185",354450,533190,52
"186",355280,538940,52
"187",362390,534190,52
"188",346230,535910,52
"189",342450,536560,52
"190",342230,541190,52
"191",334980,572730,52
"192",342260,570580,52
"193",321130,549510,52
"194",356600,524080,52
"195",321560,556210,53
"196",335600,542660,53
"197",336280,542260,53
"198",333060,550560,53
"199",337290,546170,53
"200",348300,562700,53
"201",335850,538390,53
"202",358260,546110,53
"203",360580,535190,53
"204",350880,533730,53
"205",342870,573420,53
"206",350099,570887,53
"207",324671,548603,53
"208",337900,543400,54
"209",327430,554150,54
"210",325390,553280,54
"211",325490,554090,54
"212",320890,555060,54
"213",313000,553300,54
"214",323220,545380,54
"215",309060,542480,54
"216",335370,551280,54
"217",338700,543700,54
"218",332940,552810,54
"219",334110,559670,54
"220",340930,558630,54
"221",357130,570010,54
"222",352820,545050,54
"223",370120,547580,54
"224",354860,536490,54
"225",343040,542480,54
"226",349810,544280,54
"227",339850,573100,54
"228",342450,565030,54
"229",341040,565750,54
"230",337830,553540,54
"231",322870,555980,55
"232",323460,555660,55
"233",334660,542050,55
"234",322930,551740,55
"235",323160,552470,55
"236",324460,551810,55
"237",337750,544070,55
"238",347950,529940,55
"239",355100,536800,55
"240",356930,536450,55
"241",338460,535290,55
"242",341190,529480,55
"243",361680,537660,55
"244",345890,538580,55
"245",342440,539850,55
"246",343960,535150,55
"247",347570,570080,55
"248",356700,522950,55
"249",328390,539440,56
"250",317100,546160,56
"251",327110,547730,56
"252",341165,554732,56
"253",329050,556470,56
"254",333510,555200,56
"255",340660,550040,56
"256",347530,539340,56
"257",350670,536040,56
"258",343200,540500,56
"259",349510,567940,56
"260",348610,574630,56
"261",319130,550460,56
"262",336400,554130,56
"263",359530,524020,56
"264",310450,550490,57
"265",330310,551310,57
"266",330760,545350,57
"267",311340,543970,57
"268",319570,494470,57
"269",351150,553040,57
"270",336290,540750,57
"271",345980,532190,57
"272",358910,539900,57
"273",343300,536130,57
"274",340890,544780,57
"275",348520,570690,57
"276",327250,553090,58
"277",330180,553010,58
"278",318840,544690,58
"279",312370,550990,58
"280",316040,552810,58
"281",330030,549040,58
"282",322640,549970,58
"283",326840,549490,58
"284",309090,543070,58
"285",309820,548760,58
"286",315400,543860,58
"287",339590,545420,58
"288",333870,555960,58
"289",335210,554960,58
"290",352990,572220,58
"291",352150,549650,58
"292",353400,544100,58
"293",364420,532480,58
"294",347540,547310,58
"295",355310,543740,58
"296",341890,539840,58
"297",345420,566180,58
"298",319650,550500,58
"299",365610,528230,58
"300",353250,524810,58
"301",334600,542500,59
"302",313220,543080,59
"303",337680,549630,59
"304",338160,546520,59
"305",337160,544230,59
"306",333200,552300,59
"307",354290,567120,59
"308",334840,539330,59
"309",346380,542650,59
"310",343150,534970,59
"311",367710,526720,59
"312",327920,552490,60
"313",327120,544500,60
"314",325910,550820,60
"315",324930,560280,60
"316",338580,545970,60
"317",334420,554680,60
"318",334810,560220,60
"319",311790,532530,60
"320",310730,528620,60
"321",359580,539650,60
"322",354740,536560,60
"323",342820,546990,60
"324",341670,534560,60
"325",348500,574100,61
"326",331170,553160,61
"327",315680,546220,61
"328",318900,554500,61
"329",335710,544100,61
"330",314790,542330,61
"331",319460,539750,61
"332",335880,545560,61
"333",337380,545180,61
"334",346930,562460,61
"335",335900,532430,61
"336",337840,535570,61
"337",341710,564830,61
"338",337630,566870,61
"339",341200,572950,61
"340",363070,526780,61
"341",366470,525520,61
"342",315130,547850,62
"343",333090,541700,62
"344",332230,550810,62
"345",323770,546000,62
"346",334220,547410,62
"347",336600,553000,62
"348",351850,546090,62
"349",337510,537500,62
"350",343700,543700,62
"351",340120,529690,62
"352",340690,573480,62
"353",341960,574350,62
"354",343760,566280,62
"355",346860,569900,62
"356",339520,564360,62
"357",335900,553820,62
"358",327350,552840,63
"359",328520,552120,63
"360",325980,543410,63
"361",324800,543180,63
"362",313870,552130,63
"363",333730,542500,63
"364",352340,549940,63
"365",354180,557360,63
"366",335530,539710,63
"367",336800,533130,63
"368",341110,542850,63
"369",346300,568200,63
"370",351750,569570,63
"371",375670,512950,63
"372",348600,569900,64
"373",312630,552150,64
"374",322450,550120,64
"375",309960,544070,64
"376",343060,552610,64
"377",339350,535870,64
"378",347850,531370,64
"379",343610,540400,64
"380",378597,514191,64
"381",370528,531105,64
"382",324440,540600,65
"383",316290,549130,65
"384",332520,540400,65
"385",335600,545500,65
"386",332020,548660,65
"387",312090,545150,65
"388",345020,543500,65
"389",344300,546360,65
"390",320270,555540,66
"391",328670,550570,66
"392",327690,542060,66
"393",339430,546740,66
"394",336840,561040,66
"395",345060,533310,66
"396",340700,541210,66
"397",325540,544130,67
"398",319150,550900,67
"399",312100,541600,67
"400",334700,548500,67
"401",335190,548790,67
"402",344060,549680,67
"403",336600,560500,67
"404",342540,559590,67
"405",329200,525050,67
"406",343590,564510,67
"407",365100,527200,67
"408",366740,524280,67
"409",326880,553010,68
"410",315710,550480,68
"411",314140,549710,68
"412",336150,541840,68
"413",334390,540710,68
"414",321360,539950,68
"415",324330,559180,68
"416",339000,549000,68
"417",335850,552230,68
"418",340430,551570,68
"419",310380,538340,68
"420",338940,562480,68
"421",327770,550830,69
"422",347720,550520,69
"423",351700,550160,69
"424",355690,567750,69
"425",343770,547620,69
"426",340980,562330,69
"427",308420,539610,69
"428",316460,546470,70
"429",313010,552940,70
"430",327760,546540,70
"431",311650,548840,70
"432",334580,548860,70
"433",313590,529920,70
"434",354650,557290,70
"435",349960,519150,70
"436",330020,552750,71
"437",318390,546370,71
"438",325790,545610,71
"439",322840,538620,71
"440",339660,547160,71
"441",350310,548910,71
"442",337780,531690,71
"443",340060,543760,71
"444",333460,548430,72
"445",327990,549630,72
"446",340280,548720,72
"447",334360,559570,72
"448",361500,532900,72
"449",358230,538840,72
"450",341240,538800,72
"451",345990,567480,72
"452",340800,574200,72
"453",342320,565920,72
"454",368580,521320,72
"455",295580,512580,73
"456",328290,551560,73
"457",321970,554880,73
"458",325230,550260,73
"459",355200,569680,73
"460",346010,544540,73
"461",322820,542600,74
"462",317690,543750,74
"463",331650,550150,74
"464",328060,542880,74
"465",309785,547190,74
"466",335250,539910,74
"467",344870,575200,74
"468",339660,563410,74
"469",339690,563190,74
"470",295860,513580,75
"471",325010,544140,75
"472",315670,545800,75
"473",313450,547220,75
"474",334250,541570,75
"475",335340,544350,75
"476",331790,554960,75
"477",312620,537620,75
"478",353240,556320,75
"479",335860,539730,75
"480",344600,546000,75
"481",345830,548630,75
"482",347900,567660,75
"483",378080,514720,75
"484",296300,514060,76
"485",324430,556590,76
"486",321640,547530,76
"487",328890,548660,76
"488",321030,561720,76
"489",334700,551300,76
"490",343240,548440,76
"491",310920,538620,76
"492",343445,566131,76
"493",341200,563700,76
"494",318910,553770,77
"495",324630,551200,77
"496",337850,548810,77
"497",313400,531350,77
"498",350540,552010,77
"499",345430,547470,77
"500",342280,541560,77
"501",309780,539900,77
"502",320650,542640,78
"503",318050,545710,78
"504",315430,545440,78
"505",315080,550090,78
"506",333250,543520,78
"507",331100,555400,78
"508",354660,528420,78
"509",324330,555090,79
"510",319580,544450,79
"511",309880,541590,79
"512",338200,560500,79
"513",363530,530570,79
"514",297200,511500,80
"515",325320,543420,80
"516",340030,549090,80
"517",345990,565970,80
"518",323020,541770,81
"519",334260,549140,81
"520",347570,551390,81
"521",358130,561570,81
"522",358090,539100,81
"523",351620,532890,81
"524",324570,554920,82
"525",318200,529940,82
"526",316950,532750,82
"527",345470,575320,82
"528",308550,504610,83
"529",346500,565380,83
"530",319970,539300,84
"531",348150,544260,84
"532",319120,549420,84
"533",355550,526350,84
"534",307350,502960,86
"535",317410,540990,86
"536",325160,538280,86
"537",346840,546220,86
"538",381240,512320,86
"539",355590,525760,86
"540",321840,537630,87
"541",346420,547930,87
"542",310410,539970,88
"543",333400,554140,89
"544",323670,544140,90
"545",366860,571950,90
"546",349340,540340,91
"547",323100,537560,92
"548",342840,561970,92
"549",360170,519220,92
"550",312610,548940,93
"551",348500,545410,93
"552",353950,526530,94
"553",342210,551730,95
"554",344380,553470,95
"555",345310,549370,97
"556",322400,544400,98
"557",352730,532510,98
"558",367740,512370,98
"559",359360,521230,99
"560",322640,547470,100
"561",349530,533040,101
"562",309310,536550,103
"563",345520,543990,107
"564",360080,520810,109
"565",358560,519850,109
"566",308520,537010,110
"567",336540,539430,111
"568",383390,513680,112
"569",357920,518270,112
"570",307400,536500,115
"571",362650,520500,115
"572",360760,521500,117
"573",306890,538770,118
"574",328700,523480,120
"575",307040,539630,120
"576",360440,522930,120
"577",362210,519490,121
"578",362000,524300,123
"579",361430,523810,123
"580",362600,519270,123
"581",361040,516630,124
"582",358470,523190,124
"583",363950,525550,125
"584",363430,516620,126
"585",363750,522070,131
"586",370410,513810,135
"587",370910,512290,137
"588",370900,512560,137
"589",365770,519130,137
"590",343930,552410,139
"591",376840,513910,141
"592",366730,512580,142
"593",372890,513990,142
"594",362200,507900,142
"595",348990,524610,144
"596",360390,515550,145
"597",371640,518150,146
"598",369520,520084,148
"599",372830,509890,148
"600",375240,510900,149
"601",369095,520014,151
"602",359520,506810,151
"603",378140,506330,152
"604",370880,510810,153
"605",376490,507870,155
"606",368600,513800,156
"607",378030,512130,156
"608",360870,514310,157
"609",373190,516320,158
"610",360750,514830,158
"611",376930,511630,161
"612",353670,518350,164
"613",359510,516180,165
"614",378310,506260,166
"615",368700,515070,166
"616",373600,515600,166
"617",357300,519000,168
"618",358300,514700,169
"619",354300,516900,170
"620",321530,540510,171
"621",356200,518400,172
"622",377050,508560,173
"623",355800,517100,173
"624",351200,518300,174
"625",350410,518090,174
"626",361410,514050,176
"627",350550,518750,180
"628",362130,512990,180
"629",356850,513930,180
"630",378770,509530,181
"631",362870,512230,181
"632",356260,520160,181
"633",358160,520550,181
"634",358170,521530,181
"635",357200,513720,181
"636",363400,514130,182
"637",362910,514980,183
"638",349642,514333,183
"639",368594,518992,185
"640",377940,510720,189
"641",359020,516840,189
"642",356260,519170,191
"643",381420,510760,193
"644",377040,504530,193
"645",368562,519944,195
"646",383030,511120,195
"647",366803,521443,197
"648",384530,512170,198
