"","idstud","country","studwgt","R31G01M","R31G02C","R31G03M","R31G04C","R31G05M","R31G06M","R31G07M","R31G08CZ","R31G08CA","R31G08CB","R31G09M","R31G10C","R31G11M","R31G12C","R31G13CZ","R31G13CA","R31G13CB","R31G13CC","R31G14M","R31P01M","R31P02C","R31P03C","R31P04M","R31P05C","R31P06C","R31P07C","R31P08M","R31P09C","R31P10M","R31P11M","R31P12M","R31P13M","R31P14C","R31P15C","R31P16C"
"52",1000052,"AUT",0.81007,1,1,1,9,1,1,1,9,9,9,0,9,1,9,9,9,9,9,1,1,9,1,1,0,1,1,0,1,1,1,1,1,1,0,1
"53",1000053,"AUT",0.80117,1,0,1,0,1,1,0,9,9,9,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"54",1000054,"AUT",0.80117,1,1,0,9,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,9,0,1,1,0,1,1,1,0,0
"55",1000055,"AUT",0.81007,0,1,0,9,0,0,1,1,1,9,1,0,0,0,9,9,9,9,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0
"56",1000056,"AUT",0.80117,0,9,0,9,1,1,0,1,1,9,0,0,0,9,9,9,9,9,9,0,0,0,0,0,1,1,9,9,9,9,9,9,9,9,9
"57",1000057,"AUT",1.85831,1,1,1,1,1,1,0,9,9,9,0,0,1,0,1,1,9,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0
"58",1000058,"AUT",1.85831,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0
"59",1000059,"AUT",1.85831,1,1,0,9,0,0,0,9,9,9,0,9,1,9,9,9,9,9,1,0,9,9,0,0,9,9,0,1,1,0,0,0,9,1,0
"60",1000060,"AUT",1.85831,1,1,1,9,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,9,9,9,9,9,9,1,1,1,0,1,1,0
"61",1000061,"AUT",1.85831,1,1,1,9,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"62",1000062,"AUT",3.22027,1,0,1,0,0,0,1,1,1,0,0,1,1,9,0,0,0,9,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0
"63",1000063,"AUT",3.22027,1,0,1,0,1,1,1,0,0,0,0,0,1,0,9,9,9,9,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0
"64",1000064,"AUT",3.22027,0,9,1,1,1,1,1,9,9,9,1,9,1,0,0,0,9,9,0,1,9,1,0,1,1,9,0,0,0,0,0,1,9,0,9
"65",1000065,"AUT",3.22027,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0
"66",1000066,"AUT",3.22027,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1
"67",1000067,"AUT",3.08609,1,1,0,9,0,1,1,0,0,9,1,9,0,9,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0
"68",1000068,"AUT",3.08609,0,0,0,9,0,1,1,0,0,0,0,0,1,0,9,9,9,9,1,1,0,1,0,0,1,0,1,1,1,0,0,9,1,0,0
"69",1000069,"AUT",3.08609,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,9,0,0
"70",1000070,"AUT",3.08609,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,9,9,0,9,0,0,9,0,0,1,9,1,1,1,1,0,0,1,0,9
"71",1000071,"AUT",3.08609,1,0,1,9,0,1,0,0,0,0,1,9,0,9,0,0,0,9,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,9
"72",1000072,"AUT",1.38221,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1,0,9,0,1,0,9,1,1,9,0,9,9,1,0,0,0
"73",1000073,"AUT",1.38221,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,9,9,0,0
"74",1000074,"AUT",1.38221,1,9,0,9,0,0,1,0,0,9,1,0,0,9,9,9,9,9,0,0,9,0,0,0,1,1,1,0,1,0,0,1,9,0,9
"75",1000075,"AUT",3.08609,1,1,1,9,1,1,1,1,9,1,1,1,1,0,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1
"76",1000076,"AUT",3.08609,1,0,0,9,0,0,0,1,1,0,0,0,0,9,9,9,9,9,1,0,0,0,0,0,0,9,0,0,0,1,1,1,9,0,0
"77",1000077,"AUT",3.08609,1,1,1,1,1,1,1,1,1,9,1,0,1,9,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1
"78",1000078,"AUT",3.08609,1,0,1,1,1,1,1,9,9,9,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,9
"79",1000079,"AUT",0.82186,1,1,1,9,1,1,1,0,9,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,9
"80",1000080,"AUT",0.82186,1,1,1,0,1,1,9,9,9,9,0,0,1,9,1,1,0,0,1,0,1,1,9,9,9,9,9,9,1,0,1,1,1,0,0
"81",1000081,"AUT",0.82186,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,9,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1
"82",1000082,"AUT",0.89034,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,9,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0
"83",1000083,"AUT",0.89034,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"84",1000084,"AUT",0.89437,1,1,1,0,0,1,1,9,9,9,1,0,1,0,1,9,1,1,0,0,1,9,0,9,1,9,0,0,0,0,0,1,9,0,9
"85",1000085,"AUT",0.89437,1,0,1,0,0,1,1,9,9,9,1,1,0,1,9,9,9,9,9,0,0,1,0,9,1,1,1,1,1,1,1,1,0,0,0
"86",1000086,"AUT",0.89437,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0
"87",1000087,"AUT",0.89437,1,0,0,1,1,1,0,0,9,0,0,0,0,9,0,9,0,9,9,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0
"88",1000088,"AUT",0.89437,0,1,1,9,1,1,0,1,1,1,1,0,0,1,9,9,9,9,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0
"89",1000089,"AUT",0.89437,1,0,1,9,0,1,1,0,0,0,1,1,0,1,9,9,9,9,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0
"90",1000090,"AUT",0.89437,1,9,0,9,0,1,1,9,9,9,0,9,0,9,9,9,9,9,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,9
"91",1000091,"AUT",0.62042,1,1,0,0,1,1,1,1,1,9,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1
"92",1000092,"AUT",0.62042,1,1,0,9,1,1,0,9,9,9,1,9,0,1,1,1,9,9,0,1,0,9,0,9,0,9,0,1,1,0,0,1,0,0,9
"93",1000093,"AUT",0.62042,1,1,1,9,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,9,1,1,1,1,1,1,0,1
"94",1000094,"AUT",0.62042,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0
"95",1000095,"AUT",0.62042,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1
"96",1000096,"AUT",0.62042,1,9,0,0,1,0,1,0,0,0,0,1,1,9,0,0,0,0,1,0,9,1,1,1,1,1,1,1,1,0,0,1,1,0,0
"97",1000097,"AUT",0.62042,9,0,1,0,0,1,1,9,9,9,1,0,1,0,1,0,1,0,1,1,1,9,0,1,0,0,1,0,1,1,1,1,0,1,0
"98",1000098,"AUT",0.62042,9,9,9,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1
"99",1000099,"AUT",0.62042,1,0,0,9,0,1,0,9,9,9,0,9,0,9,9,9,9,9,0,1,1,9,0,0,1,9,0,1,0,0,1,1,1,0,9
"100",1000100,"AUT",0.88498,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0,1,1,1,9,9,9,0,0,1,1,1,1,1,1,1,1,1,1,0
"101",1000101,"AUT",0.88498,1,1,1,9,0,1,1,0,0,0,1,0,1,9,9,9,9,9,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0
"102",1000102,"AUT",0.88498,0,0,1,9,0,0,0,1,1,9,0,0,0,9,9,9,9,9,0,1,9,9,0,0,0,9,1,1,1,1,1,1,0,0,0
"103",1000103,"AUT",0.88498,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1
"104",1000104,"AUT",0.83841,1,0,1,0,1,1,1,9,9,9,1,1,1,1,1,1,9,9,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0
"105",1000105,"AUT",0.83841,1,1,1,9,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0
"106",1000106,"AUT",0.83841,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0
"107",1000107,"AUT",1.05156,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"108",1000108,"AUT",1.05156,1,1,1,0,1,1,1,9,9,9,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
"109",1000109,"AUT",1.05156,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"110",1000110,"AUT",1.05156,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"111",1000111,"AUT",1.05156,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0
"112",1000112,"AUT",1.05156,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"113",1000113,"AUT",1.05156,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,9,1,0,1,1,1,1,1,1,1,1,1,1,0
"114",1000114,"AUT",1.05156,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0
"115",1000115,"AUT",1.05156,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
"116",1000116,"AUT",0.71933,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"117",1000117,"AUT",0.71933,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0
"118",1000118,"AUT",0.71933,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
"119",1000119,"AUT",0.71933,1,9,1,0,0,1,0,9,9,9,0,0,0,9,9,9,9,9,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1
"120",1000120,"AUT",0.71933,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0
"121",1000121,"AUT",0.68936,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0
"122",1000122,"AUT",0.68936,1,0,0,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
"123",1000123,"AUT",0.68936,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0
"124",1000124,"AUT",0.68936,1,1,1,0,1,1,0,9,9,9,0,0,0,0,9,9,9,9,0,0,1,1,0,0,1,0,9,1,1,0,1,1,1,1,0
"125",1000125,"AUT",0.68936,1,1,1,0,1,1,0,1,1,0,9,1,1,0,0,0,9,9,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"126",1000126,"AUT",2.49509,1,1,0,0,1,1,1,9,9,9,0,0,1,9,9,9,9,9,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1
"127",1000127,"AUT",2.49509,1,0,0,9,0,0,0,0,0,9,1,0,0,1,9,9,9,9,9,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1
"128",1000128,"AUT",1.03403,0,1,0,9,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,9,0,0,1,1,1,1,1,1,1,1,0,0,1
"129",1000129,"AUT",1.03403,1,1,1,0,1,1,0,9,9,9,0,9,0,0,1,1,1,0,1,1,1,1,1,9,1,1,1,1,1,0,1,1,0,1,1
"130",1000130,"AUT",1.03403,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,9,0,1,1,1,1,1,1,0,1,0,0,0
"131",1000131,"AUT",1.03403,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1
"132",1000132,"AUT",0.88281,1,9,0,9,0,0,0,9,9,9,0,1,0,9,9,9,9,9,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0
"133",1000133,"AUT",0.88281,1,0,0,0,0,1,1,9,9,9,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0
"134",1000134,"AUT",0.88281,1,1,1,9,0,1,0,9,9,9,1,9,1,9,9,9,9,9,9,1,1,9,0,0,1,0,1,1,1,1,1,1,1,0,1
"135",1000135,"AUT",0.88281,1,1,1,1,1,1,0,1,1,1,1,0,9,9,1,1,1,1,0,0,1,1,0,9,1,1,1,1,1,0,1,1,1,0,0
"136",1000136,"AUT",0.88281,0,1,1,0,1,0,0,9,9,9,1,9,1,1,9,9,9,9,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0
"137",1000137,"AUT",0.84603,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1
"138",1000138,"AUT",0.84603,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"139",1000139,"AUT",0.84603,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0
"140",1000140,"AUT",0.84603,0,1,0,0,1,1,0,0,0,0,1,9,1,9,9,9,9,9,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0
"141",1000141,"AUT",0.84603,1,1,1,0,1,1,1,0,9,0,0,0,1,0,1,9,1,9,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0
"142",1000142,"AUT",0.67951,1,1,1,9,0,1,0,0,0,0,0,0,0,9,1,9,1,9,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0
"143",1000143,"AUT",0.67951,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1
"144",1000144,"AUT",0.67951,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,9,1,1,1,1,1,1
"145",1000145,"AUT",0.67951,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0
"146",1000146,"AUT",0.67951,1,1,1,9,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0
"147",1000147,"AUT",0.62042,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1
"148",1000148,"AUT",0.62042,0,0,0,0,1,0,0,0,0,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
"149",1000149,"AUT",0.62042,1,0,0,9,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,9,1,0,0,1,0,1,0,1,1,0,1,0,0,0
"150",1000150,"AUT",0.62042,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"151",1000151,"AUT",1.41005,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0
"152",1000152,"AUT",1.41005,1,1,0,0,0,0,0,9,9,9,0,0,1,1,9,9,9,9,1,1,1,0,0,9,0,1,0,1,0,0,0,1,0,0,0
"153",1000153,"AUT",1.41005,1,1,0,9,0,0,1,1,1,0,0,9,0,1,1,1,0,1,1,0,0,0,0,0,1,9,0,1,1,0,1,1,0,0,0
"154",1000154,"AUT",0.79432,1,1,1,9,0,1,1,9,9,9,0,0,1,9,9,9,9,9,9,0,1,1,0,9,1,0,1,1,9,9,9,9,9,9,0
"155",1000155,"AUT",0.79432,1,9,0,9,1,0,1,9,9,9,1,9,0,9,9,9,9,9,1,0,9,1,1,0,1,9,0,9,1,1,1,0,9,1,0
