"","group","I01","I02","I03","I04","I05","I06","I07","I08","I09","I10","I11"
"235",1,1,2,2,2,1,3,1,2,3,2,1
"236",1,2,2,3,2,2,2,2,3,2,3,3
"237",1,2,3,3,2,2,2,3,3,2,1,3
"238",1,1,2,2,1,2,3,2,3,4,2,3
"239",1,2,3,3,2,2,2,2,2,3,2,3
"240",1,3,3,3,2,1,3,2,3,2,2,2
"241",1,2,3,3,3,2,1,2,2,1,2,1
"242",1,2,2,2,2,2,1,1,3,2,1,2
"243",1,3,3,3,2,3,2,4,4,3,2,2
"244",1,2,3,3,2,2,2,1,3,2,2,2
"245",1,3,2,3,3,2,3,2,4,3,2,2
"246",1,3,3,3,4,3,2,3,3,2,1,3
"247",1,2,2,3,1,3,3,2,3,2,1,2
"248",1,3,4,3,3,3,4,2,3,3,2,3
"249",1,2,1,2,1,2,1,1,2,3,2,3
"250",1,4,3,3,3,2,3,3,2,3,3,3
"251",1,3,2,3,3,3,2,4,4,4,3,3
"252",1,3,3,3,2,2,3,4,4,4,3,4
"253",1,1,2,2,3,2,1,2,4,2,1,1
"254",1,3,3,2,3,4,3,4,2,4,1,3
"255",1,1,2,3,2,2,1,2,3,2,2,3
"256",1,3,2,4,2,3,3,2,3,3,2,4
"257",1,1,3,3,3,3,3,3,3,3,2,3
"258",1,3,4,3,3,3,2,3,3,4,2,3
"259",1,2,1,2,2,2,1,1,3,2,1,2
"260",1,4,4,3,3,2,2,4,3,4,3,3
"261",1,3,2,2,2,2,1,3,3,3,2,1
"262",1,3,3,3,3,3,2,4,3,3,2,3
"263",1,3,2,3,3,2,2,3,4,3,2,3
"264",1,2,4,3,4,2,3,3,3,3,2,2
"265",1,1,2,3,2,3,1,2,3,3,2,2
"266",1,4,4,4,4,4,2,3,4,4,3,3
"267",1,2,2,4,3,1,2,3,4,4,3,3
"268",1,2,2,2,3,2,2,1,1,3,2,2
"269",1,1,1,2,3,2,3,1,1,3,1,2
"270",1,4,4,3,4,2,3,4,3,4,3,3
"271",1,3,4,3,3,3,3,4,4,4,2,4
"272",1,3,3,2,4,3,1,2,2,3,2,2
"273",1,3,3,2,1,3,2,2,4,2,2,2
"274",1,3,3,2,3,2,1,3,3,2,3,3
"275",1,3,2,3,2,2,3,2,3,2,1,2
"276",1,3,3,3,3,2,2,3,3,2,1,4
"277",1,1,3,2,3,2,2,2,2,4,2,2
"278",1,3,2,3,2,2,3,3,3,3,2,3
"279",1,3,2,2,1,1,1,1,2,3,1,2
"280",1,2,2,2,1,2,1,1,2,2,2,3
"281",1,2,1,2,2,2,1,2,3,4,2,2
"282",1,3,1,3,3,2,2,4,3,4,2,3
"283",1,3,2,4,4,3,3,3,4,3,1,3
"284",1,2,3,1,3,2,3,2,4,3,1,2
"285",1,3,4,4,3,4,3,4,2,3,3,4
"286",1,3,2,3,2,2,3,3,2,3,3,3
"287",1,2,1,2,3,2,1,2,2,3,2,2
"288",1,4,3,2,2,3,2,1,2,4,1,2
"289",1,3,3,4,3,3,3,2,3,3,2,3
"290",1,1,2,2,3,2,1,1,2,3,1,2
"291",1,2,3,3,1,4,1,2,3,4,1,2
"292",1,2,2,3,2,2,1,2,2,3,1,2
"293",1,3,2,2,2,3,2,2,2,3,2,2
"294",1,2,2,2,2,2,2,2,2,1,1,1
"295",1,2,2,3,2,2,1,1,1,3,1,1
"296",1,2,3,2,2,3,1,3,3,3,2,3
"297",1,3,4,2,3,2,3,2,3,4,2,3
"298",1,3,2,1,3,2,1,1,3,2,1,2
"299",1,2,2,2,3,2,1,1,3,2,1,1
"300",1,2,2,3,2,2,2,1,2,2,1,1
"301",1,2,2,1,4,2,2,1,3,2,2,2
"302",1,2,3,3,2,1,3,3,3,4,2,2
"303",1,3,2,2,3,2,4,4,4,4,2,3
"304",1,2,2,2,3,1,1,1,2,2,2,2
"305",1,3,3,3,3,3,1,2,3,4,2,3
"306",1,3,2,1,2,1,3,3,3,4,2,3
"307",1,2,2,3,4,4,3,3,4,4,2,4
"308",1,2,2,3,1,2,2,2,2,2,1,2
"309",1,4,3,3,3,2,3,3,4,3,3,3
"310",1,2,3,2,2,3,2,2,3,2,1,2
"311",1,2,3,2,2,3,2,2,2,2,2,3
"312",1,4,3,3,2,3,4,3,4,3,1,3
"313",1,2,2,3,2,1,1,2,2,3,2,2
"314",1,2,2,3,3,2,2,3,4,4,2,3
"315",1,2,2,3,2,3,1,2,2,2,2,3
"316",1,3,2,4,4,4,2,4,4,3,2,3
"317",1,2,3,1,1,2,3,2,2,2,1,2
"318",1,2,2,3,2,4,1,1,2,3,1,3
"319",1,3,2,2,2,4,2,3,3,4,2,2
"320",1,2,2,3,2,2,3,3,2,3,2,2
"321",1,1,3,2,2,2,1,1,3,1,1,2
"322",1,3,2,2,3,2,3,2,2,3,1,2
"323",1,4,3,3,3,4,2,4,3,4,3,4
"324",1,3,2,2,2,2,2,2,2,2,1,2
"325",1,2,3,3,3,2,3,4,3,4,2,3
"326",1,1,3,2,3,1,3,3,2,4,2,2
"327",1,2,4,3,2,2,3,4,4,3,3,3
"328",1,1,2,2,2,1,2,2,3,3,1,2
"329",1,3,3,4,3,4,2,4,4,3,2,3
"330",1,3,1,1,2,1,2,1,2,1,1,1
"331",1,1,2,3,1,2,2,3,3,2,1,1
"332",1,4,3,3,4,3,4,4,4,4,2,4
"333",1,1,3,3,2,2,1,2,2,2,2,2
"334",1,2,2,2,2,2,2,1,4,3,1,3
"335",1,3,3,3,2,2,2,3,3,2,2,3
"336",1,3,4,3,4,3,2,3,3,3,1,2
"337",1,3,3,3,4,3,3,2,1,3,2,3
"338",1,2,2,3,2,4,3,1,2,3,2,2
"339",1,2,4,2,2,1,2,3,3,4,3,3
"340",1,2,2,2,3,3,2,3,4,3,3,3
"341",1,2,2,2,2,3,2,2,2,2,2,2
"342",1,2,2,2,3,3,2,2,4,2,1,2
"343",1,2,3,3,3,1,3,2,3,3,2,2
"344",1,1,2,3,2,1,1,2,2,2,1,2
"345",1,3,3,3,4,2,2,4,3,4,2,3
"346",1,3,1,3,2,3,3,4,4,3,2,3
"347",1,3,3,2,3,3,3,4,3,4,3,3
"348",1,1,2,2,2,2,3,2,2,3,1,3
"349",1,2,2,2,3,2,1,2,1,4,1,2
"350",1,4,4,4,3,3,1,4,4,4,3,4
"351",1,4,2,4,4,4,2,4,4,4,3,4
"352",1,2,3,3,2,2,3,2,2,3,2,3
"353",1,2,2,3,2,2,3,3,3,3,2,3
"354",1,2,4,3,3,3,3,3,3,4,2,3
"355",1,3,3,2,2,2,2,2,2,2,2,3
"356",1,1,3,2,3,3,1,2,3,2,2,2
"357",1,3,2,2,1,1,3,2,2,2,2,2
"358",1,3,2,2,2,3,1,1,3,4,1,3
"359",1,2,2,2,4,1,2,3,1,3,1,3
"360",1,3,3,3,4,4,4,4,4,4,2,3
"361",1,3,4,4,4,3,3,4,3,3,2,4
"362",1,3,1,2,2,2,2,3,2,3,1,3
"363",1,4,3,3,2,4,2,3,3,4,2,3
"364",1,3,1,3,2,2,1,1,3,4,1,2
"365",1,3,2,2,2,3,3,2,2,3,1,3
"366",1,1,1,1,1,3,1,1,2,2,1,1
"367",1,3,2,3,2,3,3,3,3,2,1,2
"368",1,1,2,3,1,2,2,1,2,2,1,1
"369",1,3,3,4,1,3,2,3,3,3,3,3
"370",1,2,3,4,4,3,2,4,3,2,3,3
"371",1,1,2,2,2,2,1,2,1,3,1,2
"372",1,2,3,2,3,2,2,3,2,3,2,2
"373",1,4,3,4,4,3,3,4,2,4,2,4
"374",1,3,4,3,3,3,3,3,3,4,2,3
"375",1,3,3,2,2,1,3,3,4,4,2,2
"376",1,2,4,3,3,3,3,2,2,3,2,3
"377",1,3,3,3,4,4,3,3,4,4,2,3
"378",1,3,3,3,3,3,1,2,2,3,2,3
"379",1,2,3,3,3,3,2,2,3,3,2,3
"380",1,2,2,3,2,2,2,3,3,3,1,3
"381",1,3,3,3,4,2,1,3,4,4,3,4
"382",1,3,3,3,3,2,1,2,3,4,1,2
"383",1,2,4,2,1,2,2,3,3,4,1,3
"384",1,4,3,4,3,3,4,4,4,2,2,4
"385",1,3,4,3,3,3,3,3,4,3,2,3
"386",1,3,3,3,3,2,2,2,3,3,1,2
"387",1,3,3,3,2,2,2,2,1,3,2,2
"388",1,3,3,4,3,4,1,3,4,4,2,4
"389",1,3,2,3,2,2,2,1,3,2,2,2
"390",1,2,3,3,3,1,1,3,4,2,2,2
"391",1,4,3,2,4,2,2,3,3,2,2,4
"392",1,3,2,3,3,3,2,3,2,3,2,3
"393",1,2,2,2,3,3,3,4,2,2,3,2
"394",1,3,3,3,3,2,2,2,3,3,2,2
"395",1,4,4,3,4,3,3,4,4,4,2,4
"396",1,3,3,4,4,3,1,3,3,4,2,3
"397",1,2,2,2,2,3,2,4,3,3,2,2
"398",1,2,1,2,2,1,2,2,2,3,2,2
"399",1,1,2,3,1,2,2,1,3,3,1,2
"400",1,2,2,3,2,3,2,2,3,3,2,2
"401",1,1,3,2,3,1,3,3,4,3,2,3
"402",1,3,3,3,3,2,1,3,3,3,3,3
"403",1,3,3,2,2,2,3,2,3,3,1,2
"404",1,2,2,3,2,3,3,3,2,4,1,2
"405",1,3,3,3,2,3,2,2,4,3,2,2
"406",1,4,2,3,2,4,2,4,3,2,2,4
"407",1,2,2,2,2,3,2,2,4,3,1,1
"408",1,3,2,3,3,3,4,3,2,2,2,3
"409",1,2,2,2,2,3,1,3,2,3,2,2
"410",1,3,2,2,3,3,3,2,3,3,2,3
"411",1,3,3,2,3,3,2,4,3,2,2,3
"412",1,3,1,2,2,3,2,2,2,2,1,2
"413",1,3,2,3,2,2,2,2,3,2,1,2
"414",1,2,3,2,2,3,2,2,3,3,1,3
"415",1,2,2,3,1,1,3,3,4,2,2,3
"416",1,4,2,3,3,3,1,2,3,4,2,3
"417",1,2,2,3,2,1,3,2,2,2,2,1
"418",1,3,3,2,3,3,4,4,3,4,3,3
"419",1,3,2,2,1,3,1,1,2,2,2,3
"420",1,3,2,3,2,3,2,3,2,2,2,2
"421",1,2,3,3,3,3,1,2,2,3,2,3
"422",1,2,2,1,2,2,2,1,2,3,2,2
"423",1,2,3,3,2,2,3,3,2,1,1,3
"424",1,3,2,3,2,3,3,4,2,3,2,3
"425",1,3,2,3,2,2,1,2,2,3,2,2
"426",1,3,3,3,2,2,2,3,2,3,2,4
"427",1,3,2,3,3,2,2,3,3,2,2,3
"428",1,1,3,2,2,2,2,2,2,2,1,1
"429",1,2,3,3,2,3,3,2,1,2,1,2
"430",1,2,2,2,1,1,1,1,2,3,1,2
"431",1,2,1,1,2,2,1,1,2,3,2,1
"432",1,4,3,2,3,3,2,3,1,3,1,3
"433",1,2,2,2,2,3,2,2,3,4,2,2
"434",1,2,1,3,2,3,2,3,2,3,1,2
"435",1,1,2,3,3,3,2,2,3,4,2,3
"436",1,1,1,2,2,2,1,2,3,1,1,2
"437",1,1,3,2,1,2,2,3,3,3,1,2
"438",1,4,3,4,4,3,3,4,4,4,3,4
"439",1,2,2,3,2,3,1,2,3,2,2,2
"440",1,3,3,3,2,1,2,2,4,3,2,3
"441",1,2,2,2,3,2,3,3,4,4,2,3
"442",1,3,3,4,4,3,2,4,4,4,2,4
"443",1,2,2,2,2,3,2,3,1,3,2,1
"444",1,4,4,2,3,1,3,4,2,4,2,3
"445",1,4,3,3,3,3,3,4,4,2,2,4
"446",1,3,4,3,2,2,2,4,4,4,2,4
"447",1,3,3,3,3,1,2,2,3,4,2,3
"448",1,2,1,2,2,1,1,1,1,2,1,1
"449",1,2,2,2,2,2,1,1,2,1,1,1
"450",1,3,3,3,2,4,3,3,2,3,2,3
"451",1,3,3,3,2,3,3,2,4,3,2,2
"452",1,1,2,2,2,1,4,1,3,2,1,1
"453",1,3,3,3,3,2,2,2,2,4,2,3
"454",1,2,2,4,3,1,2,2,4,4,2,3
"455",1,4,3,3,3,2,4,3,3,2,2,3
"456",1,3,2,2,2,2,1,1,1,3,2,2
"457",1,3,2,2,3,3,3,2,3,3,2,2
"458",1,3,3,3,3,2,1,2,3,3,2,3
"459",1,3,3,4,3,3,3,4,3,3,2,3
"460",1,2,2,2,3,2,1,2,2,2,1,2
"461",1,2,2,3,2,3,2,2,3,2,1,2
"462",1,1,1,2,1,1,1,1,2,4,1,1
"463",1,2,2,2,2,2,1,2,2,3,1,2
"464",1,1,1,3,2,2,1,2,3,2,2,3
"465",1,2,3,3,3,3,3,3,4,3,2,3
"466",1,3,3,3,3,2,2,3,4,3,3,3
"467",1,3,2,2,4,2,3,3,3,4,2,4
"468",1,4,3,3,4,3,4,4,4,4,3,4
"469",1,4,2,2,2,3,4,2,4,2,2,3
"470",1,4,4,4,4,4,4,4,4,3,3,4
"471",1,2,1,1,2,2,3,1,3,3,1,1
"472",1,2,2,2,3,2,2,1,2,3,2,3
"473",1,2,4,4,3,3,2,4,3,4,3,4
"474",1,2,3,1,2,1,1,2,2,2,2,1
"475",1,2,2,2,3,2,2,1,3,3,1,2
"476",1,2,3,2,3,2,3,3,4,3,1,3
"477",1,1,3,3,3,3,3,2,4,4,2,3
"478",1,2,1,2,3,1,1,1,2,2,1,1
"479",1,3,2,4,4,2,2,3,4,3,2,3
"480",1,3,2,4,3,3,3,2,2,3,1,2
"481",1,2,2,3,4,3,2,2,4,3,3,3
"482",1,3,3,3,3,2,1,3,2,3,2,2
"483",1,3,3,3,3,1,2,2,3,3,1,2
"484",1,2,1,3,3,2,2,2,3,3,1,2
"485",1,1,2,4,2,3,2,2,2,3,2,2
"486",1,4,3,3,1,3,3,3,3,4,2,2
"487",1,2,2,2,3,3,2,1,2,4,2,2
"488",1,1,2,1,3,1,1,2,3,2,2,1
"489",1,2,3,2,3,3,3,1,3,1,2,2
"490",1,3,3,3,2,2,3,1,3,4,2,3
"491",1,2,2,2,3,3,1,1,2,2,1,1
"492",1,3,3,2,3,2,1,2,3,3,2,1
"493",1,3,3,2,2,3,2,2,3,3,2,3
"494",1,3,2,2,3,2,2,1,3,3,3,2
"495",1,2,2,2,2,2,2,2,4,2,1,2
"496",1,2,1,2,1,1,2,2,3,3,2,2
"497",1,2,3,2,2,2,2,3,4,2,1,2
"498",1,3,2,3,4,2,4,3,3,4,2,3
"499",1,2,3,3,3,3,3,3,4,2,1,3
"500",1,3,3,3,4,2,2,3,2,3,3,3
"501",1,3,3,3,3,2,1,3,4,4,2,2
"502",1,2,2,2,2,3,2,1,3,2,1,1
"503",1,2,2,2,3,1,2,1,2,3,1,2
"504",1,2,3,2,2,4,1,2,3,3,1,2
"505",1,3,2,3,3,3,4,3,3,4,2,3
"506",1,3,3,3,4,2,2,4,3,4,3,3
"507",1,3,2,3,2,3,3,2,3,3,2,3
"508",1,2,1,2,3,2,1,2,2,2,3,1
"509",1,4,3,3,3,4,3,4,4,4,2,3
"510",1,2,3,1,2,3,2,1,1,3,1,3
"511",1,1,4,4,3,3,3,4,4,4,2,4
"512",1,2,2,3,2,3,3,2,3,3,2,3
"513",1,4,4,3,2,3,3,4,3,3,2,2
"514",1,2,2,3,3,2,2,2,2,3,1,3
"515",1,3,2,3,4,1,1,2,3,3,1,1
