"","matchday","home_team","away_team","goals_home","goals_away","result","attend"
"52",6,"Stahl Riesa","FSV Zwickau",2,1,1,1313
"53",6,"FV Dresden-Nord","VfB Zittau",1,1,0,200
"54",6,"Anhalt Dessau","FSV Hoyerswerda",1,1,0,242
"55",7,"Eintracht Sondershausen","VfL Halle 1896",1,0,1,850
"56",7,"VfB Chemnitz","Anhalt Dessau",2,4,2,200
"57",7,"FSV Hoyerswerda","VfB Leipzig",0,1,2,1052
"58",7,"Bischofswerdaer FV 08","FV Dresden-Nord",1,3,2,301
"59",7,"VfB Zittau","Stahl Riesa",2,2,0,720
"60",7,"Energie Cottbus II","1.FC Magdeburg",1,1,0,653
"61",7,"VFC Plauen","Wacker Nordhausen",2,0,1,946
"62",7,"Dynamo Dresden","SV 1919 Grimma",4,1,1,4500
"63",7,"Hallescher FC","FSV Zwickau",0,2,2,2085
"64",8,"VfB Leipzig","VfB Chemnitz",3,0,1,2050
"65",8,"VfL Halle 1896","Dynamo Dresden",3,2,1,2004
"66",8,"SV 1919 Grimma","VFC Plauen",0,2,2,350
"67",8,"Wacker Nordhausen","Energie Cottbus II",2,4,2,713
"68",8,"1.FC Magdeburg","Hallescher FC",7,0,1,3004
"69",8,"FSV Zwickau","VfB Zittau",0,1,2,1855
"70",8,"Stahl Riesa","Bischofswerdaer FV 08",0,0,0,900
"71",8,"FV Dresden-Nord","FSV Hoyerswerda",1,1,0,201
"72",8,"Anhalt Dessau","Eintracht Sondershausen",3,0,1,260
"73",9,"Eintracht Sondershausen","VfB Leipzig",0,2,2,1300
"74",9,"VfB Chemnitz","FV Dresden-Nord",2,1,1,250
"75",9,"FSV Hoyerswerda","Stahl Riesa",1,2,2,711
"76",9,"Bischofswerdaer FV 08","FSV Zwickau",0,2,2,365
"77",9,"1.FC Magdeburg","Wacker Nordhausen",8,0,1,2517
"78",9,"Energie Cottbus II","SV 1919 Grimma",0,2,2,120
"79",9,"VFC Plauen","VfL Halle 1896",3,2,1,1325
"80",9,"Dynamo Dresden","Anhalt Dessau",5,1,1,3340
"81",9,"Hallescher FC","VfB Zittau",3,0,1,1123
"82",10,"VfB Leipzig","Dynamo Dresden",1,1,0,5100
"83",10,"VfL Halle 1896","Energie Cottbus II",3,1,1,620
"84",10,"SV 1919 Grimma","1.FC Magdeburg",1,0,1,1300
"85",10,"Wacker Nordhausen","Hallescher FC",3,7,2,1193
"86",10,"VfB Zittau","Bischofswerdaer FV 08",3,2,1,721
"87",10,"FSV Zwickau","FSV Hoyerswerda",1,1,0,1575
"88",10,"Stahl Riesa","VfB Chemnitz",4,2,1,750
"89",10,"FV Dresden-Nord","Eintracht Sondershausen",4,0,1,200
"90",10,"Anhalt Dessau","VFC Plauen",1,0,1,397
"91",11,"Eintracht Sondershausen","Stahl Riesa",2,1,1,700
"92",11,"VfB Chemnitz","FSV Zwickau",4,2,1,920
"93",11,"FSV Hoyerswerda","VfB Zittau",2,3,2,589
"94",11,"Wacker Nordhausen","SV 1919 Grimma",0,3,2,301
"95",11,"1.FC Magdeburg","VfL Halle 1896",5,2,1,2536
"96",11,"Energie Cottbus II","Anhalt Dessau",4,3,1,78
"97",11,"VFC Plauen","VfB Leipzig",0,0,0,1700
"98",11,"Dynamo Dresden","FV Dresden-Nord",2,2,0,5027
"99",11,"Hallescher FC","Bischofswerdaer FV 08",0,0,0,1084
"100",12,"VfB Leipzig","Energie Cottbus II",0,0,0,2020
"101",12,"VfL Halle 1896","Wacker Nordhausen",4,0,1,752
"102",12,"SV 1919 Grimma","Hallescher FC",1,2,2,915
"103",12,"Bischofswerdaer FV 08","FSV Hoyerswerda",1,1,0,350
"104",12,"VfB Zittau","VfB Chemnitz",2,1,1,604
"105",12,"FSV Zwickau","Eintracht Sondershausen",1,0,1,1127
"106",12,"Stahl Riesa","Dynamo Dresden",3,1,1,5140
"107",12,"FV Dresden-Nord","VFC Plauen",1,3,2,205
"108",12,"Anhalt Dessau","1.FC Magdeburg",2,1,1,2867
"109",13,"Eintracht Sondershausen","VfB Zittau",2,1,1,750
"110",13,"VfB Chemnitz","Bischofswerdaer FV 08",1,4,2,330
"111",13,"SV 1919 Grimma","VfL Halle 1896",0,0,0,400
"112",13,"Wacker Nordhausen","Anhalt Dessau",0,4,2,503
"113",13,"1.FC Magdeburg","VfB Leipzig",0,1,2,4431
"114",13,"Energie Cottbus II","FV Dresden-Nord",0,1,2,96
"115",13,"VFC Plauen","Stahl Riesa",3,1,1,1548
"116",13,"Dynamo Dresden","FSV Zwickau",4,0,1,4457
"117",13,"Hallescher FC","FSV Hoyerswerda",2,1,1,1112
"118",14,"VfB Leipzig","Wacker Nordhausen",4,0,1,2200
"119",14,"VfL Halle 1896","Hallescher FC",3,1,1,4500
"120",14,"FSV Hoyerswerda","VfB Chemnitz",2,2,0,427
"121",14,"Bischofswerdaer FV 08","Eintracht Sondershausen",2,2,0,300
"122",14,"VfB Zittau","Dynamo Dresden",0,1,2,1600
"123",14,"FSV Zwickau","VFC Plauen",1,1,0,1825
"124",14,"Stahl Riesa","Energie Cottbus II",0,0,0,760
"125",14,"FV Dresden-Nord","1.FC Magdeburg",1,1,0,600
"126",14,"Anhalt Dessau","SV 1919 Grimma",2,0,1,200
"127",15,"Eintracht Sondershausen","FSV Hoyerswerda",2,2,0,800
"128",15,"VfB Chemnitz","Hallescher FC",0,1,2,375
"129",15,"SV 1919 Grimma","VfB Leipzig",0,1,2,3100
"130",15,"Wacker Nordhausen","FV Dresden-Nord",0,3,2,350
"131",15,"1.FC Magdeburg","Stahl Riesa",6,2,1,1217
"132",15,"Energie Cottbus II","FSV Zwickau",1,1,0,189
"133",15,"VFC Plauen","VfB Zittau",2,0,1,1368
"134",15,"Dynamo Dresden","Bischofswerdaer FV 08",1,0,1,4830
"135",15,"Anhalt Dessau","VfL Halle 1896",2,3,2,347
"136",16,"VfB Leipzig","VfL Halle 1896",1,0,1,2430
"137",16,"VfB Chemnitz","Eintracht Sondershausen",0,1,2,170
"138",16,"FSV Hoyerswerda","Dynamo Dresden",1,4,2,3034
"139",16,"Bischofswerdaer FV 08","VFC Plauen",1,1,0,300
"140",16,"VfB Zittau","Energie Cottbus II",1,4,2,352
"141",16,"FSV Zwickau","1.FC Magdeburg",1,4,2,2395
"142",16,"Stahl Riesa","Wacker Nordhausen",6,0,1,560
"143",16,"FV Dresden-Nord","SV 1919 Grimma",1,1,0,200
"144",16,"Hallescher FC","Anhalt Dessau",3,1,1,1451
"145",17,"Eintracht Sondershausen","Hallescher FC",1,1,0,1400
"146",17,"VfL Halle 1896","FV Dresden-Nord",5,0,1,547
"147",17,"SV 1919 Grimma","Stahl Riesa",2,1,1,300
"148",17,"Wacker Nordhausen","FSV Zwickau",0,7,2,518
"149",17,"1.FC Magdeburg","VfB Zittau",4,0,1,2257
"150",17,"Energie Cottbus II","Bischofswerdaer FV 08",1,4,2,61
"151",17,"VFC Plauen","FSV Hoyerswerda",2,1,1,1406
"152",17,"Dynamo Dresden","VfB Chemnitz",4,0,1,3950
"153",17,"Anhalt Dessau","VfB Leipzig",2,1,1,1319
"154",18,"Dynamo Dresden","Eintracht Sondershausen",0,2,2,1780
"155",18,"VFC Plauen","VfB Chemnitz",1,0,1,948
"156",18,"Energie Cottbus II","FSV Hoyerswerda",1,0,1,144
"157",18,"1.FC Magdeburg","Bischofswerdaer FV 08",2,0,1,1919
"158",18,"Wacker Nordhausen","VfB Zittau",2,4,2,309
"159",18,"SV 1919 Grimma","FSV Zwickau",0,2,2,270
"160",18,"VfL Halle 1896","Stahl Riesa",1,2,2,516
"161",18,"Anhalt Dessau","FV Dresden-Nord",3,0,1,150
"162",18,"VfB Leipzig","Hallescher FC",4,2,1,3850
"163",19,"FV Dresden-Nord","VfB Leipzig",2,0,1,350
"164",19,"FSV Zwickau","VfL Halle 1896",1,0,1,568
"165",19,"VfB Zittau","SV 1919 Grimma",0,0,0,213
"166",19,"Bischofswerdaer FV 08","Wacker Nordhausen",3,0,1,180
"167",19,"FSV Hoyerswerda","1.FC Magdeburg",2,2,0,1172
"168",19,"VfB Chemnitz","Energie Cottbus II",1,1,0,150
"169",19,"Eintracht Sondershausen","VFC Plauen",0,1,2,500
"170",19,"Hallescher FC","Dynamo Dresden",0,0,0,2700
"171",19,"Stahl Riesa","Anhalt Dessau",1,0,1,418
"172",20,"Energie Cottbus II","Eintracht Sondershausen",3,0,1,90
"173",20,"1.FC Magdeburg","VfB Chemnitz",5,1,1,1800
"174",20,"Wacker Nordhausen","FSV Hoyerswerda",1,2,2,585
"175",20,"SV 1919 Grimma","Bischofswerdaer FV 08",2,2,0,336
"176",20,"VfL Halle 1896","VfB Zittau",3,0,1,651
"177",20,"Anhalt Dessau","FSV Zwickau",1,2,2,425
"178",20,"VfB Leipzig","Stahl Riesa",1,0,1,3550
"179",20,"VFC Plauen","Dynamo Dresden",2,4,2,3279
"180",20,"FV Dresden-Nord","Hallescher FC",3,1,1,450
"181",21,"FSV Zwickau","VfB Leipzig",1,0,1,2555
"182",21,"Bischofswerdaer FV 08","VfL Halle 1896",0,2,2,300
"183",21,"FSV Hoyerswerda","SV 1919 Grimma",0,3,2,264
"184",21,"VfB Chemnitz","Wacker Nordhausen",6,0,1,180
"185",21,"Eintracht Sondershausen","1.FC Magdeburg",0,4,2,2300
"186",21,"Dynamo Dresden","Energie Cottbus II",1,0,1,4450
"187",21,"Hallescher FC","VFC Plauen",0,1,2,1076
"188",21,"Stahl Riesa","FV Dresden-Nord",2,2,0,450
"189",21,"VfB Zittau","Anhalt Dessau",2,1,1,321
"190",22,"Wacker Nordhausen","Eintracht Sondershausen",0,2,2,1357
"191",22,"SV 1919 Grimma","VfB Chemnitz",3,0,1,160
"192",22,"VfL Halle 1896","FSV Hoyerswerda",0,3,2,589
"193",22,"Anhalt Dessau","Bischofswerdaer FV 08",2,2,0,184
"194",22,"VfB Leipzig","VfB Zittau",3,0,1,920
"195",22,"FV Dresden-Nord","FSV Zwickau",3,1,1,185
"196",22,"Energie Cottbus II","VFC Plauen",0,2,2,100
"197",22,"1.FC Magdeburg","Dynamo Dresden",2,1,1,5564
"198",22,"Stahl Riesa","Hallescher FC",2,2,0,585
"199",23,"Bischofswerdaer FV 08","VfB Leipzig",0,1,2,500
"200",23,"VfB Chemnitz","VfL Halle 1896",3,2,1,220
"201",23,"Eintracht Sondershausen","SV 1919 Grimma",2,1,1,660
"202",23,"Dynamo Dresden","Wacker Nordhausen",5,0,1,920
"203",23,"VFC Plauen","1.FC Magdeburg",1,2,2,2104
"204",23,"Hallescher FC","Energie Cottbus II",0,3,2,1110
"205",23,"FSV Zwickau","Stahl Riesa",2,0,1,1364
"206",23,"VfB Zittau","FV Dresden-Nord",1,1,0,308
"207",23,"FSV Hoyerswerda","Anhalt Dessau",4,2,1,263
"208",24,"VfL Halle 1896","Eintracht Sondershausen",3,1,1,511
"209",24,"Anhalt Dessau","VfB Chemnitz",0,2,2,278
"210",24,"VfB Leipzig","FSV Hoyerswerda",3,1,1,2400
"211",24,"FV Dresden-Nord","Bischofswerdaer FV 08",0,0,0,200
"212",24,"Stahl Riesa","VfB Zittau",4,0,1,627
"213",24,"1.FC Magdeburg","Energie Cottbus II",5,1,1,2930
"214",24,"Wacker Nordhausen","VFC Plauen",0,0,0,464
"215",24,"SV 1919 Grimma","Dynamo Dresden",2,0,1,2500
"216",24,"FSV Zwickau","Hallescher FC",1,1,0,1026
"217",25,"VfB Chemnitz","VfB Leipzig",1,3,2,750
"218",25,"Dynamo Dresden","VfL Halle 1896",1,1,0,2850
"219",25,"VFC Plauen","SV 1919 Grimma",3,2,1,917
"220",25,"Energie Cottbus II","Wacker Nordhausen",3,1,1,100
"221",25,"Hallescher FC","1.FC Magdeburg",1,5,2,4624
"222",25,"VfB Zittau","FSV Zwickau",2,1,1,421
"223",25,"Bischofswerdaer FV 08","Stahl Riesa",2,3,2,451
"224",25,"FSV Hoyerswerda","FV Dresden-Nord",2,2,0,211
"225",25,"Eintracht Sondershausen","Anhalt Dessau",4,1,1,550
"226",26,"VfB Leipzig","Eintracht Sondershausen",2,1,1,1850
"227",26,"FV Dresden-Nord","VfB Chemnitz",1,0,1,120
"228",26,"Stahl Riesa","FSV Hoyerswerda",2,3,2,680
"229",26,"FSV Zwickau","Bischofswerdaer FV 08",0,0,0,1005
"230",26,"Wacker Nordhausen","1.FC Magdeburg",0,2,2,1582
"231",26,"SV 1919 Grimma","Energie Cottbus II",1,4,2,312
"232",26,"VfL Halle 1896","VFC Plauen",0,2,2,369
"233",26,"Anhalt Dessau","Dynamo Dresden",0,0,0,823
"234",26,"VfB Zittau","Hallescher FC",3,2,1,725
"235",27,"Dynamo Dresden","VfB Leipzig",0,1,2,4325
"236",27,"Energie Cottbus II","VfL Halle 1896",2,0,1,120
"237",27,"1.FC Magdeburg","SV 1919 Grimma",2,1,1,4867
"238",27,"Hallescher FC","Wacker Nordhausen",3,0,1,962
"239",27,"Bischofswerdaer FV 08","VfB Zittau",4,1,1,350
"240",27,"FSV Hoyerswerda","FSV Zwickau",2,1,1,487
"241",27,"VfB Chemnitz","Stahl Riesa",1,0,1,300
"242",27,"Eintracht Sondershausen","FV Dresden-Nord",0,2,2,675
"243",27,"VFC Plauen","Anhalt Dessau",3,1,1,1106
"244",28,"Stahl Riesa","Eintracht Sondershausen",2,2,0,558
"245",28,"FSV Zwickau","VfB Chemnitz",2,0,1,769
"246",28,"VfB Zittau","FSV Hoyerswerda",1,3,2,502
"247",28,"SV 1919 Grimma","Wacker Nordhausen",5,0,1,138
"248",28,"VfL Halle 1896","1.FC Magdeburg",1,2,2,2096
"249",28,"Anhalt Dessau","Energie Cottbus II",2,2,0,173
"250",28,"VfB Leipzig","VFC Plauen",1,1,0,2050
"251",28,"FV Dresden-Nord","Dynamo Dresden",1,1,0,800
"252",28,"Bischofswerdaer FV 08","Hallescher FC",0,1,2,300
"253",29,"Energie Cottbus II","VfB Leipzig",0,3,2,419
"254",29,"Wacker Nordhausen","VfL Halle 1896",0,3,2,474
"255",29,"Hallescher FC","SV 1919 Grimma",3,1,1,1040
"256",29,"FSV Hoyerswerda","Bischofswerdaer FV 08",2,1,1,357
"257",29,"VfB Chemnitz","VfB Zittau",3,1,1,220
"258",29,"Eintracht Sondershausen","FSV Zwickau",1,2,2,900
"259",29,"Dynamo Dresden","Stahl Riesa",2,0,1,2100
"260",29,"VFC Plauen","FV Dresden-Nord",3,0,1,930
"261",29,"1.FC Magdeburg","Anhalt Dessau",9,1,1,5632
"262",30,"VfB Zittau","Eintracht Sondershausen",1,0,1,342
"263",30,"Bischofswerdaer FV 08","VfB Chemnitz",0,2,2,220
"264",30,"VfL Halle 1896","SV 1919 Grimma",1,1,0,455
"265",30,"Anhalt Dessau","Wacker Nordhausen",2,1,1,125
"266",30,"VfB Leipzig","1.FC Magdeburg",2,5,2,8050
"267",30,"FV Dresden-Nord","Energie Cottbus II",2,1,1,250
"268",30,"Stahl Riesa","VFC Plauen",0,0,0,507
"269",30,"FSV Zwickau","Dynamo Dresden",2,0,1,1469
"270",30,"FSV Hoyerswerda","Hallescher FC",3,0,1,492
"271",31,"Wacker Nordhausen","VfB Leipzig",0,4,2,460
"272",31,"Hallescher FC","VfL Halle 1896",1,1,0,4600
"273",31,"VfB Chemnitz","FSV Hoyerswerda",2,2,0,250
"274",31,"Eintracht Sondershausen","Bischofswerdaer FV 08",1,0,1,723
"275",31,"Dynamo Dresden","VfB Zittau",2,1,1,1002
"276",31,"VFC Plauen","FSV Zwickau",0,0,0,2183
"277",31,"Energie Cottbus II","Stahl Riesa",1,0,1,153
"278",31,"1.FC Magdeburg","FV Dresden-Nord",3,0,1,2909
"279",31,"SV 1919 Grimma","Anhalt Dessau",1,0,1,193
"280",32,"FSV Hoyerswerda","Eintracht Sondershausen",1,1,0,222
"281",32,"Hallescher FC","VfB Chemnitz",0,2,2,759
"282",32,"VfB Leipzig","SV 1919 Grimma",1,1,0,1215
"283",32,"FV Dresden-Nord","Wacker Nordhausen",0,1,2,80
"284",32,"Stahl Riesa","1.FC Magdeburg",1,1,0,1450
"285",32,"FSV Zwickau","Energie Cottbus II",0,0,0,601
"286",32,"VfB Zittau","VFC Plauen",1,0,1,370
"287",32,"Bischofswerdaer FV 08","Dynamo Dresden",1,2,2,1103
"288",32,"VfL Halle 1896","Anhalt Dessau",2,2,0,361
"289",33,"VfL Halle 1896","VfB Leipzig",3,4,2,711
"290",33,"Eintracht Sondershausen","VfB Chemnitz",1,2,2,900
"291",33,"Dynamo Dresden","FSV Hoyerswerda",1,1,0,1049
"292",33,"VFC Plauen","Bischofswerdaer FV 08",2,1,1,916
"293",33,"Energie Cottbus II","VfB Zittau",2,5,2,50
"294",33,"1.FC Magdeburg","FSV Zwickau",5,2,1,1889
"295",33,"Wacker Nordhausen","Stahl Riesa",0,4,2,301
"296",33,"SV 1919 Grimma","FV Dresden-Nord",1,1,0,161
"297",33,"Anhalt Dessau","Hallescher FC",1,3,2,691
"298",34,"Hallescher FC","Eintracht Sondershausen",1,1,0,1122
"299",34,"FV Dresden-Nord","VfL Halle 1896",2,3,2,150
"300",34,"Stahl Riesa","SV 1919 Grimma",1,0,1,500
"301",34,"FSV Zwickau","Wacker Nordhausen",2,2,0,512
"302",34,"VfB Zittau","1.FC Magdeburg",1,3,2,827
"303",34,"Bischofswerdaer FV 08","Energie Cottbus II",1,0,1,150
"304",34,"FSV Hoyerswerda","VFC Plauen",2,2,0,294
"305",34,"VfB Chemnitz","Dynamo Dresden",1,0,1,1400
"306",34,"VfB Leipzig","Anhalt Dessau",8,1,1,1100
