"","I01","I02","I03","I04","I05","I06","I07","I08","I09","I10","I11","I12","I13","I14","I15","I16","I17","I18"
"54",0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0
"55",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"56",1,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1
"57",1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0
"58",1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0
"59",1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
"60",1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1
"61",1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0
"62",0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0
"63",1,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0
"64",1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0
"65",1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0
"66",1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0
"67",0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0
"68",1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0
"69",1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,1
"70",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0
"71",0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0
"72",1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0
"73",1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0
"74",1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0
"75",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
"76",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0
"77",1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0
"78",1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0
"79",1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0
"80",0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0
"81",0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
"82",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"83",1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0
"84",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"85",1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0
"86",1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1
"87",1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0
"88",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"89",0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0
"90",1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
"91",1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0
"92",1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"93",1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0
"94",1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0
"95",0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0
"96",1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0
"97",1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0
"98",1,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,0
"99",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"100",1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0
"101",1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0
"102",1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0
"103",1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1
"104",1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0
"105",1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1
"106",1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1
"107",1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1
"108",1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0
"109",1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0
"110",0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0
"111",1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
"112",1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0
"113",1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0
"114",1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0
"115",1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,0
"116",1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1
"117",1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"118",1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0
"119",1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0
"120",1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0
"121",1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0
"122",1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0
"123",1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
"124",1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0
"125",1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0
"126",0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0
"127",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0
"128",1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0
"129",1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1
"130",1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0
"131",1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0
"132",1,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0
"133",1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0
"134",1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1
"135",1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1
"136",1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
"137",0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
"138",1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0
"139",1,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0
"140",0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0
"141",1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1
"142",1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0
"143",1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0
"144",1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1
"145",1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1
"146",1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0
"147",1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0
"148",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0
"149",1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0
"150",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
"151",1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0
"152",1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0
"153",1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0
"154",1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0
"155",1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1
"156",1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0
"157",1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0
"158",1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1
"159",1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0
"160",0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0
"161",1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1
"162",1,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0
"163",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
"164",1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0
"165",1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0
"166",1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0
"167",1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0
"168",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"169",1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1
"170",1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1
"171",1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0
"172",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"173",1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0
"174",1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1
"175",1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0
"176",1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0
"177",1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1
"178",1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0
"179",1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1
"180",1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0
"181",1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0
"182",1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0
"183",1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0
"184",1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0
"185",1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0
"186",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0
"187",0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0
"188",1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1
"189",1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0
"190",1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0
"191",1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
"192",1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
"193",0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0
"194",1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0
"195",1,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0
"196",1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0
"197",1,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0
"198",1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0
"199",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"200",1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0
