"","idstud","rater","k1","k2","k3","k4","k5"
"125",1035,"R15",3,3,3,2,2
"126",1036,"R03",0,0,1,1,1
"127",1036,"R11",0,0,1,0,2
"128",1037,"R01",0,0,0,1,1
"129",1037,"R02",1,0,1,0,2
"130",1037,"R04",1,1,1,1,2
"131",1037,"R05",2,2,1,1,1
"132",1037,"R06",0,0,0,0,0
"133",1037,"R07",1,1,1,0,2
"134",1037,"R08",0,0,0,0,1
"135",1037,"R09",1,0,1,2,1
"136",1037,"R10",1,0,1,1,1
"137",1037,"R11",1,1,1,1,2
"138",1037,"R12",0,2,0,1,2
"139",1037,"R13",0,2,1,1,2
"140",1037,"R14",0,0,0,0,0
"141",1037,"R15",0,1,1,0,3
"142",1037,"R16",0,0,1,2,2
"143",1038,"R05",0,0,0,0,1
"144",1038,"R09",1,0,1,1,1
"145",1039,"R04",1,0,1,0,2
"146",1039,"R11",0,0,1,1,2
"147",1040,"R04",2,2,2,2,2
"148",1040,"R14",2,2,2,1,1
"149",1041,"R04",3,3,3,3,3
"150",1041,"R13",3,3,3,3,3
"151",1042,"R09",0,0,0,1,0
"152",1042,"R11",0,0,1,1,1
"153",1043,"R03",2,2,2,2,1
"154",1043,"R13",2,2,2,2,1
"155",1044,"R04",2,2,2,2,3
"156",1044,"R06",2,2,1,1,3
"157",1045,"R05",3,1,2,0,0
"158",1045,"R15",2,0,2,1,1
"159",1046,"R08",1,1,1,2,0
"160",1046,"R14",1,2,2,3,0
"161",1047,"R04",2,2,2,2,3
"162",1047,"R05",3,3,3,1,2
"163",1048,"R01",1,1,1,1,1
"164",1048,"R04",1,1,1,1,1
"165",1049,"R09",1,2,2,2,0
"166",1049,"R10",1,2,2,2,1
"167",1050,"R10",0,1,1,1,1
"168",1050,"R11",0,1,1,1,0
"169",1051,"R14",3,3,3,3,3
"170",1051,"R15",2,2,1,2,2
"171",1052,"R09",1,1,1,2,0
"172",1052,"R10",1,1,1,2,0
"173",1053,"R02",1,0,1,0,1
"174",1053,"R09",2,0,2,0,1
"175",1054,"R08",0,0,2,1,2
"176",1054,"R15",2,2,2,2,2
"177",1055,"R11",2,2,2,2,3
"178",1055,"R15",2,2,2,2,2
"179",1056,"R01",2,2,2,2,2
"180",1056,"R02",2,2,2,2,3
"181",1056,"R03",3,3,3,2,3
"182",1056,"R04",3,3,3,3,3
"183",1056,"R05",3,3,3,3,2
"184",1056,"R06",3,2,3,3,3
"185",1056,"R07",3,3,3,3,3
"186",1056,"R08",2,1,1,2,3
"187",1056,"R09",3,3,3,3,3
"188",1056,"R10",3,3,3,3,3
"189",1056,"R11",3,2,3,2,3
"190",1056,"R12",2,3,3,2,3
"191",1056,"R13",3,3,3,3,3
"192",1056,"R14",3,3,2,3,2
"193",1056,"R15",3,3,3,2,3
"194",1056,"R16",3,2,3,3,3
"195",1057,"R10",3,3,3,3,3
"196",1057,"R13",3,3,3,3,2
"197",1058,"R04",2,2,2,2,2
"198",1058,"R15",1,1,1,1,2
"199",1059,"R01",1,0,1,1,0
"200",1059,"R02",1,0,1,0,0
"201",1059,"R03",1,0,1,0,0
"202",1059,"R04",1,0,1,0,0
"203",1059,"R05",2,1,1,0,0
"204",1059,"R06",1,1,1,0,0
"205",1059,"R07",1,0,1,0,0
"206",1059,"R08",0,0,0,0,0
"207",1059,"R09",1,0,1,0,0
"208",1059,"R10",1,0,1,1,0
"209",1059,"R11",0,1,0,0,0
"210",1059,"R12",1,0,1,0,0
"211",1059,"R13",1,0,1,0,0
"212",1059,"R14",0,0,0,0,0
"213",1059,"R15",3,1,2,0,1
"214",1059,"R16",1,0,1,0,0
"215",1060,"R13",3,2,3,3,2
"216",1060,"R15",3,3,3,3,3
"217",1061,"R06",1,1,1,0,0
"218",1061,"R08",0,0,0,0,0
"219",1062,"R02",1,0,1,1,1
"220",1062,"R03",0,0,1,1,1
"221",1063,"R01",0,0,0,0,1
"222",1063,"R02",1,0,0,0,0
"223",1063,"R04",0,0,0,0,0
"224",1063,"R05",0,0,0,0,0
"225",1063,"R06",0,0,0,0,0
"226",1063,"R07",0,0,0,0,0
"227",1063,"R08",0,0,0,0,0
"228",1063,"R09",0,0,0,0,0
"229",1063,"R10",0,0,1,0,0
"230",1063,"R11",0,0,1,0,0
"231",1063,"R12",0,0,0,0,1
"232",1063,"R13",0,0,1,0,0
"233",1063,"R14",0,0,0,0,0
"234",1063,"R15",0,0,1,0,1
"235",1063,"R16",0,0,0,0,1
"236",1064,"R04",2,1,2,1,1
"237",1064,"R08",0,0,0,0,0
"238",1065,"R04",2,2,2,2,2
"239",1065,"R10",2,1,2,2,2
"240",1066,"R11",1,0,0,0,1
"241",1066,"R12",0,0,1,1,1
"242",1067,"R01",2,2,2,2,2
"243",1067,"R02",2,2,2,2,2
"244",1067,"R03",2,2,2,2,2
"245",1067,"R04",3,3,3,3,3
"246",1067,"R05",2,2,3,2,1
"247",1067,"R06",3,3,3,3,2
"248",1067,"R07",2,2,2,3,2
"249",1067,"R08",2,1,2,2,2
"250",1067,"R09",3,3,3,3,3
"251",1067,"R10",3,3,3,3,3
"252",1067,"R11",2,2,2,2,2
"253",1067,"R12",2,3,3,2,1
"254",1067,"R13",2,3,3,3,2
"255",1067,"R14",3,3,3,3,1
"256",1067,"R15",2,2,2,2,2
"257",1067,"R16",3,3,3,3,3
"258",1068,"R07",0,0,0,1,0
"259",1068,"R12",0,0,0,1,0
"260",1069,"R01",1,1,1,2,1
"261",1069,"R02",1,1,2,2,1
"262",1069,"R03",2,2,2,2,0
"263",1069,"R04",3,2,2,2,1
"264",1069,"R05",2,3,3,3,1
"265",1069,"R06",2,2,2,2,1
"266",1069,"R07",2,2,3,3,1
"267",1069,"R08",1,1,2,2,0
"268",1069,"R09",3,2,3,2,0
"269",1069,"R10",2,1,2,2,1
"270",1069,"R11",2,2,2,2,1
"271",1069,"R12",2,2,2,2,1
"272",1069,"R13",2,2,3,1,1
"273",1069,"R14",3,2,2,2,0
"274",1069,"R15",2,2,2,2,1
"275",1069,"R16",3,3,3,3,1
"276",1070,"R07",2,1,1,1,1
"277",1070,"R15",1,1,1,1,2
"278",1071,"R05",3,2,3,2,3
"279",1071,"R11",1,1,2,1,3
"280",1072,"R05",1,0,1,0,0
"281",1072,"R09",1,2,2,1,0
"282",1073,"R07",1,1,1,0,1
"283",1073,"R13",2,3,2,2,2
"284",1074,"R08",0,0,0,0,0
"285",1074,"R13",1,1,1,2,1
"286",1075,"R06",1,1,1,1,1
"287",1075,"R12",2,2,1,1,2
"288",1076,"R01",0,0,1,0,1
"289",1076,"R15",1,1,1,1,1
"290",1077,"R01",1,1,2,1,1
"291",1077,"R10",2,2,2,2,1
"292",1078,"R05",2,2,0,0,1
"293",1078,"R11",2,2,1,1,1
"294",1079,"R03",2,2,2,2,1
"295",1079,"R11",3,3,3,2,1
"296",1080,"R02",1,1,1,1,1
"297",1080,"R07",0,1,1,1,1
"298",1081,"R01",0,0,1,0,2
"299",1081,"R06",1,1,2,1,2
"300",1082,"R03",1,1,0,1,0
"301",1082,"R14",1,0,0,1,0
"302",1083,"R05",1,0,1,0,0
"303",1083,"R12",1,1,1,2,1
"304",1084,"R01",3,3,3,2,1
"305",1084,"R02",2,3,3,2,3
"306",1084,"R03",3,3,3,3,2
"307",1084,"R04",3,2,3,2,3
"308",1084,"R05",3,3,3,2,2
"309",1084,"R06",3,3,3,2,3
"310",1084,"R07",2,2,3,2,2
"311",1084,"R08",2,1,2,0,2
"312",1084,"R09",3,2,3,2,2
"313",1084,"R10",3,3,3,2,2
"314",1084,"R11",3,3,3,2,2
"315",1084,"R12",2,0,3,2,2
"316",1084,"R13",3,3,3,2,2
"317",1084,"R14",3,3,3,0,1
"318",1084,"R15",3,3,3,1,2
"319",1084,"R16",3,3,3,2,2
"320",1085,"R04",2,2,2,2,2
"321",1085,"R07",1,1,1,1,2
"322",1086,"R02",1,2,2,2,2
"323",1086,"R08",1,1,2,2,2
"324",1087,"R01",1,1,1,2,1
"325",1087,"R02",2,1,1,2,2
"326",1087,"R03",2,1,1,1,1
"327",1087,"R04",3,2,2,2,2
"328",1087,"R05",3,2,2,2,1
"329",1087,"R06",2,1,1,2,1
"330",1087,"R07",3,3,2,3,2
"331",1087,"R08",3,2,2,2,2
"332",1087,"R09",3,3,3,3,3
"333",1087,"R10",3,3,3,3,3
"334",1087,"R11",2,2,1,1,1
"335",1087,"R12",2,2,2,2,1
"336",1087,"R13",3,2,2,2,1
"337",1087,"R14",2,1,1,1,0
"338",1087,"R15",2,2,1,2,2
"339",1087,"R16",3,2,2,3,2
"340",1088,"R02",1,1,1,1,3
"341",1088,"R12",1,2,1,2,2
"342",1089,"R08",0,0,0,0,0
"343",1089,"R12",1,0,1,0,0
"344",1090,"R10",3,3,2,3,2
"345",1090,"R11",1,1,1,1,2
"346",1091,"R04",3,3,3,3,3
"347",1091,"R10",3,3,3,3,3
"348",1092,"R01",1,1,1,1,1
"349",1092,"R13",3,2,2,1,1
"350",1093,"R07",2,2,2,1,2
"351",1093,"R11",1,1,1,1,3
"352",1094,"R01",1,0,1,0,2
"353",1094,"R02",1,0,0,0,3
"354",1094,"R03",0,0,1,0,2
"355",1094,"R04",1,0,1,0,2
"356",1094,"R05",1,0,0,0,2
"357",1094,"R06",1,1,1,0,2
"358",1094,"R07",1,0,0,0,1
"359",1094,"R08",1,0,0,0,2
"360",1094,"R09",3,0,1,0,2
"361",1094,"R10",1,0,1,1,1
"362",1094,"R11",1,0,1,1,2
"363",1094,"R12",1,0,0,1,2
"364",1094,"R13",1,1,1,1,2
"365",1094,"R14",0,0,1,0,2
"366",1094,"R15",1,1,1,0,2
"367",1094,"R16",1,1,1,1,2
"368",1095,"R08",0,0,0,0,0
"369",1095,"R13",1,1,1,1,0
"370",1096,"R07",2,1,1,1,1
"371",1096,"R08",0,0,0,0,0
"372",1097,"R01",1,1,2,2,0
"373",1097,"R15",2,2,2,2,0
"374",1098,"R05",3,3,3,3,3
"375",1098,"R14",3,3,3,3,3
"376",1099,"R06",1,0,0,1,1
"377",1099,"R09",1,1,1,0,2
"378",1100,"R03",2,2,2,2,2
"379",1100,"R13",3,3,3,3,2
"380",1101,"R01",1,1,2,2,1
"381",1101,"R02",2,2,2,2,2
"382",1101,"R03",1,1,2,2,2
"383",1101,"R04",3,3,3,3,2
"384",1101,"R05",3,3,2,2,1
"385",1101,"R06",2,1,2,2,2
"386",1101,"R07",3,2,3,3,2
"387",1101,"R08",3,2,2,2,2
"388",1101,"R09",2,2,3,3,2
"389",1101,"R10",3,3,3,2,2
"390",1101,"R11",3,3,3,2,2
"391",1101,"R12",2,3,2,3,1
"392",1101,"R13",3,3,3,3,2
"393",1101,"R14",3,2,3,2,1
"394",1101,"R15",3,2,2,2,2
"395",1101,"R16",3,3,3,3,2
"396",1102,"R06",1,1,1,1,1
"397",1102,"R12",1,1,1,2,0
"398",1103,"R06",0,0,1,0,0
"399",1104,"R01",0,1,1,1,2
"400",1104,"R11",2,1,1,1,2
"401",1105,"R03",1,1,1,1,1
"402",1105,"R08",1,1,1,1,1
"403",1106,"R01",0,1,1,0,2
"404",1106,"R02",1,0,1,1,2
"405",1106,"R03",1,1,1,1,2
"406",1106,"R04",1,1,1,1,2
"407",1106,"R05",0,0,0,1,2
"408",1106,"R06",1,0,1,1,2
"409",1106,"R07",1,0,1,0,2
"410",1106,"R08",0,1,1,1,2
"411",1106,"R09",1,0,0,1,2
"412",1106,"R10",0,0,1,1,1
"413",1106,"R11",1,0,1,1,2
"414",1106,"R12",0,1,1,1,2
"415",1106,"R13",1,2,1,1,2
"416",1106,"R14",0,0,0,0,0
"417",1106,"R15",0,0,1,1,2
"418",1106,"R16",1,0,1,1,2
"419",1107,"R04",2,2,2,2,2
"420",1107,"R14",2,2,2,2,1
"421",1108,"R01",1,1,1,1,1
"422",1108,"R07",2,2,2,1,2
"423",1109,"R08",0,0,0,0,0
"424",1109,"R12",1,0,1,1,0
"425",1110,"R05",3,2,2,1,0
"426",1110,"R14",1,0,1,0,0
"427",1111,"R11",2,1,1,1,2
"428",1111,"R14",1,1,1,1,1
"429",1112,"R10",1,1,2,2,1
"430",1112,"R14",1,1,1,0,2
"431",1113,"R06",2,1,2,2,2
"432",1113,"R10",2,2,2,2,1
"433",1114,"R03",1,1,1,2,1
"434",1114,"R08",2,1,1,0,1
"435",1115,"R01",2,1,2,1,1
"436",1115,"R08",1,1,1,1,2
"437",1116,"R05",2,2,2,2,1
"438",1116,"R13",2,2,2,3,1
"439",1117,"R01",2,2,1,2,2
"440",1117,"R02",2,2,1,2,2
"441",1117,"R03",2,2,2,2,2
"442",1117,"R04",3,2,3,3,2
"443",1117,"R05",3,2,3,3,1
"444",1117,"R06",1,2,2,2,2
"445",1117,"R07",2,2,2,3,2
"446",1117,"R08",3,3,2,2,2
"447",1117,"R09",3,2,2,2,2
"448",1117,"R10",2,2,2,2,2
"449",1117,"R11",2,3,2,2,2
"450",1117,"R12",2,2,2,2,2
"451",1117,"R13",3,2,3,3,2
"452",1117,"R14",3,3,3,3,2
"453",1117,"R15",3,2,3,3,2
"454",1117,"R16",3,3,3,3,3
"455",1118,"R08",0,0,1,1,1
"456",1118,"R14",1,2,3,2,1
"457",1119,"R03",1,1,0,1,0
"458",1119,"R06",1,1,1,1,0
"459",1120,"R01",1,2,2,2,0
"460",1120,"R02",1,1,1,2,0
"461",1120,"R03",1,1,1,1,0
"462",1120,"R04",3,2,2,2,1
"463",1120,"R05",3,3,2,1,0
"464",1120,"R06",1,2,2,1,0
"465",1120,"R07",2,2,1,2,1
"466",1120,"R08",1,1,1,2,0
"467",1120,"R09",2,2,2,3,0
"468",1120,"R10",3,3,3,2,1
"469",1120,"R11",2,1,1,1,0
"470",1120,"R12",2,2,1,2,1
"471",1120,"R13",2,3,3,1,0
"472",1120,"R14",2,1,1,1,0
"473",1120,"R15",2,1,2,2,0
"474",1120,"R16",2,2,2,2,0
"475",1121,"R14",1,1,1,1,1
"476",1121,"R15",2,2,2,1,2
"477",1122,"R11",1,1,1,1,3
"478",1122,"R13",1,2,2,1,2
"479",1123,"R02",3,2,2,2,2
"480",1123,"R03",2,3,3,2,2
"481",1124,"R02",0,0,1,1,2
"482",1124,"R11",0,1,1,1,2
"483",1125,"R09",0,0,1,0,1
"484",1125,"R14",0,0,0,0,0
"485",1126,"R07",1,1,2,0,2
"486",1126,"R10",1,0,1,1,2
"487",1127,"R05",3,2,2,2,2
"488",1127,"R06",2,1,1,2,1
"489",1128,"R09",0,1,1,0,0
"490",1128,"R12",0,1,1,0,1
"491",1129,"R03",1,1,2,2,2
"492",1129,"R04",2,2,2,2,2
"493",1130,"R06",0,0,1,0,1
"494",1130,"R07",0,0,0,0,0
"495",1131,"R09",0,0,1,0,1
"496",1131,"R12",0,0,0,0,1
"497",1132,"R06",1,1,1,1,2
"498",1132,"R13",2,1,2,2,3
"499",1133,"R03",0,1,1,1,1
"500",1133,"R07",1,1,1,1,1
"501",1134,"R04",2,1,2,2,2
"502",1134,"R07",2,1,1,1,2
"503",1135,"R12",1,1,1,2,2
"504",1135,"R15",2,2,1,1,2
"505",1136,"R01",0,1,0,1,1
"506",1137,"R01",1,1,1,1,0
"507",1137,"R02",1,1,1,1,0
"508",1137,"R03",1,1,1,1,0
"509",1137,"R04",2,1,2,1,1
"510",1137,"R05",2,1,1,0,0
"511",1137,"R06",1,1,1,1,0
"512",1137,"R07",1,1,1,1,0
"513",1137,"R08",1,0,1,0,0
"514",1137,"R09",1,1,1,0,0
"515",1137,"R10",2,2,1,1,1
"516",1137,"R11",1,1,1,1,0
"517",1137,"R12",1,2,1,2,1
"518",1137,"R13",1,1,1,2,1
"519",1137,"R14",1,1,1,0,0
"520",1137,"R15",2,2,2,1,1
"521",1137,"R16",1,1,1,1,0
"522",1138,"R02",1,1,1,2,0
"523",1138,"R05",3,1,1,1,0
"524",1139,"R07",1,1,1,1,0
"525",1139,"R12",1,1,1,1,0
"526",1140,"R07",0,0,0,0,0
"527",1141,"R01",0,0,1,0,0
"528",1141,"R02",1,0,0,0,1
"529",1141,"R03",0,0,1,0,1
"530",1141,"R04",1,0,1,0,0
"531",1141,"R05",1,0,1,0,0
"532",1141,"R06",0,0,0,1,0
"533",1141,"R07",0,0,0,0,0
"534",1141,"R08",0,0,0,0,0
"535",1141,"R09",0,0,1,0,0
"536",1141,"R10",0,0,1,0,0
"537",1141,"R11",0,0,1,0,1
"538",1141,"R12",0,0,1,0,1
"539",1141,"R13",0,0,1,0,0
"540",1141,"R14",0,0,0,0,0
"541",1141,"R15",1,0,1,0,1
"542",1141,"R16",0,0,0,1,1
"543",1142,"R05",3,1,1,3,2
"544",1142,"R08",1,1,1,1,2
"545",1143,"R07",2,1,1,2,2
"546",1143,"R14",0,0,0,0,0
"547",1144,"R12",1,2,1,2,1
"548",1144,"R15",2,2,1,3,2
"549",1145,"R06",2,1,2,2,2
"550",1145,"R09",1,1,2,1,3
"551",1146,"R06",2,2,2,2,2
"552",1146,"R15",2,3,3,3,3
"553",1147,"R07",2,2,2,2,2
"554",1147,"R10",1,1,1,1,1
"555",1148,"R06",0,0,0,1,0
"556",1148,"R14",0,0,0,0,0
"557",1149,"R09",1,2,2,1,2
"558",1149,"R13",2,2,2,1,1
"559",1150,"R05",0,1,0,0,0
"560",1150,"R13",2,1,0,0,0
"561",1151,"R03",1,1,2,1,0
"562",1151,"R09",2,1,0,1,0
"563",1152,"R01",0,1,1,0,1
"564",1153,"R04",1,1,1,0,1
"565",1153,"R11",1,0,1,0,2
"566",1154,"R03",1,1,1,1,1
"567",1154,"R04",2,1,1,1,2
"568",1155,"R12",2,2,2,2,1
"569",1155,"R14",1,1,2,1,1
"570",1156,"R02",1,1,1,1,0
"571",1156,"R13",2,1,2,1,1
"572",1157,"R02",1,1,1,1,1
"573",1157,"R10",1,1,1,1,1
"574",1158,"R07",1,1,1,1,2
"575",1158,"R09",0,0,1,1,1
"576",1159,"R01",0,1,1,1,2
"577",1159,"R02",1,1,2,1,2
"578",1160,"R02",3,2,2,2,2
"579",1160,"R14",3,3,2,2,0
"580",1161,"R04",2,1,2,2,2
"581",1161,"R08",1,1,1,1,2
"582",1162,"R10",1,1,1,1,2
"583",1162,"R13",1,2,1,1,1
"584",1163,"R02",1,1,1,1,1
"585",1163,"R12",1,0,1,1,1
"586",1164,"R02",1,1,1,1,2
"587",1164,"R15",1,1,1,0,1
"588",1165,"R01",1,1,1,1,2
"589",1165,"R08",1,0,1,0,1
"590",1166,"R11",0,0,1,0,2
"591",1166,"R12",1,1,0,1,2
"592",1167,"R01",0,0,0,0,0
"593",1167,"R10",0,0,1,0,0
"594",1168,"R13",3,3,3,3,3
"595",1168,"R14",3,3,2,3,3
"596",1169,"R05",1,3,3,1,1
"597",1169,"R07",1,1,1,1,1
"598",1170,"R12",2,2,2,2,1
"599",1170,"R13",3,2,2,1,2
"600",1171,"R01",1,1,1,1,1
"601",1171,"R12",1,1,0,1,2
"602",1172,"R02",1,0,1,1,1
"603",1172,"R06",0,1,1,1,1
"604",1173,"R01",0,0,0,0,1
"605",1173,"R07",0,0,0,0,1
"606",1174,"R12",2,1,2,2,1
"607",1174,"R13",3,2,1,2,2
"608",1175,"R01",3,3,2,2,2
"609",1175,"R14",3,3,3,1,3
"610",1176,"R06",1,1,2,1,2
"611",1176,"R11",0,1,1,1,2
"612",1177,"R07",1,2,1,2,1
"613",1177,"R08",0,1,1,1,1
"614",1178,"R04",2,1,2,1,2
"615",1178,"R09",2,1,3,2,2
