"","WV01","WV02","WV03","WV04","WV05","WV06","WV07","WV08","WV09","WV10","WV11","WV12","WV13","WV14"
"39",0,1,0,0,3,0,0,0,0,0,0,0,1,1
"40",2,0,0,0,3,3,1,0,2,0,0,0,1,2
"41",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",0,3,2,0,1,1,0,1,0,3,0,0,1,1
"43",0,0,0,0,0,0,0,0,0,0,0,0,1,2
"44",0,0,0,0,3,0,0,0,0,2,0,0,0,1
"45",1,0,2,0,3,0,0,0,0,0,2,3,1,2
"46",0,0,0,0,0,0,0,0,0,0,0,0,1,3
"47",2,0,0,3,0,0,0,1,0,2,0,0,3,3
"48",0,0,0,0,3,0,0,1,0,2,1,0,0,3
"49",1,0,1,1,3,0,0,1,0,0,2,0,1,3
"50",1,0,3,0,1,0,0,0,0,3,0,0,0,3
"51",0,3,0,0,0,0,0,1,0,3,0,0,1,3
"52",0,0,2,0,1,1,0,3,0,0,0,2,0,3
"53",0,0,0,0,3,0,0,3,0,3,0,0,1,3
"54",0,0,1,1,1,1,0,0,0,3,0,3,2,0
"55",0,0,0,0,0,0,0,1,0,3,0,0,0,3
"56",0,0,0,0,0,2,0,0,0,0,0,0,1,3
"57",2,0,0,0,0,0,0,0,0,1,0,0,0,2
"58",0,1,0,0,3,0,0,0,0,0,0,1,1,1
"59",0,0,0,0,1,0,0,0,0,2,0,1,0,2
"60",2,0,2,0,1,1,0,2,0,3,0,0,1,2
"61",0,0,0,0,0,2,0,0,0,1,1,0,3,3
"62",0,0,0,0,0,0,0,0,0,0,0,3,0,3
"63",0,0,0,0,3,0,0,0,0,0,0,0,1,0
"64",0,0,0,0,0,0,0,0,0,1,0,3,0,3
"65",0,0,0,0,0,0,0,0,0,1,0,0,0,3
"66",0,0,0,0,0,0,0,0,0,0,0,0,3,3
"67",0,0,0,0,3,0,0,0,0,0,0,0,0,0
"68",0,1,3,0,3,0,1,0,0,3,0,3,1,3
"69",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"70",0,0,0,0,3,3,0,1,0,2,0,0,0,3
"71",0,0,0,2,0,0,0,0,0,2,0,0,0,3
"72",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"73",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",0,0,0,0,0,0,0,0,0,2,0,0,0,0
"75",0,3,0,0,1,0,0,0,0,3,0,0,0,3
"76",0,0,0,0,0,0,0,0,0,0,0,0,1,3
"77",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"78",0,0,0,0,3,0,0,3,0,1,0,0,0,0
"79",0,2,0,0,3,2,0,0,0,1,0,0,0,0
"80",0,0,0,0,1,0,0,1,0,0,0,0,1,3
"81",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82",0,0,0,0,1,0,0,0,0,2,0,0,1,0
"83",0,0,0,0,0,0,0,0,0,0,0,0,3,2
"84",3,0,1,0,3,1,0,1,0,3,0,3,2,1
"85",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"86",2,1,0,0,0,0,0,0,0,2,0,0,3,0
"87",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"88",0,0,0,0,0,0,0,0,0,0,0,0,3,3
"89",0,0,0,2,1,0,0,0,0,0,0,0,1,3
"90",1,0,1,1,0,1,0,1,0,0,1,0,1,2
"91",0,0,0,0,3,0,0,0,0,0,0,0,1,3
"92",3,0,0,0,0,0,2,0,0,0,0,0,0,0
"93",0,0,0,0,0,0,0,0,0,1,0,0,1,3
"94",0,0,0,0,0,0,0,0,0,2,0,0,1,0
"95",0,0,1,0,0,0,0,1,0,2,0,0,0,3
"96",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"97",2,1,1,1,0,2,1,0,0,0,1,0,1,1
"98",0,0,0,2,1,0,0,0,0,0,0,0,0,0
"99",0,3,0,0,0,2,1,1,0,0,2,0,1,2
"100",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101",0,0,0,0,0,0,0,0,0,2,0,0,0,3
"102",2,0,0,0,0,0,0,3,0,3,0,0,1,3
"103",0,0,0,0,3,0,0,0,0,0,0,0,1,3
"104",0,0,0,0,1,1,0,1,0,0,0,0,0,1
"105",0,0,0,0,3,0,0,0,0,3,0,0,0,3
"106",0,0,0,0,1,0,0,0,2,3,0,0,1,3
"107",0,1,0,2,3,0,0,1,0,0,0,0,1,0
"108",2,1,0,0,3,0,0,1,0,3,0,0,0,3
"109",3,3,1,1,3,1,0,1,2,0,3,0,1,2
"110",0,0,0,0,1,0,0,0,0,0,2,1,0,3
"111",0,0,0,0,1,0,0,0,0,0,0,0,0,3
"112",0,0,0,0,0,0,0,0,0,0,0,0,2,0
"113",0,0,0,0,3,0,0,0,0,0,0,0,1,3
"114",0,1,0,3,3,0,0,0,0,0,0,0,0,3
"115",0,1,0,0,3,0,0,1,0,1,0,1,0,3
"116",0,0,0,0,0,0,0,0,0,0,0,0,3,0
"117",0,0,0,0,1,0,0,0,0,3,0,0,0,0
"118",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119",0,0,0,0,1,0,0,0,0,0,0,0,1,0
"120",0,0,0,0,0,0,0,0,0,2,0,0,0,0
"121",0,1,3,0,3,0,0,0,0,3,3,0,0,2
"122",0,2,0,0,1,0,0,0,0,0,2,0,1,3
"123",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"124",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"125",0,0,0,0,1,0,0,0,0,2,0,0,0,0
"126",0,0,0,0,0,0,0,1,0,3,0,0,1,0
"127",0,0,0,0,1,0,0,2,0,3,0,3,0,1
"128",0,0,0,1,1,0,1,0,0,2,0,0,0,3
"129",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"130",3,3,0,0,2,2,0,1,0,3,3,2,0,2
"131",0,1,0,0,3,0,0,1,0,1,0,0,0,3
"132",0,0,0,0,3,3,0,1,3,2,0,2,1,3
"133",2,0,1,0,0,0,0,1,0,3,0,3,1,3
"134",0,0,1,1,3,1,0,3,2,0,3,3,1,0
"135",0,0,0,0,3,0,0,1,0,0,0,0,1,3
"136",0,0,1,1,1,1,2,0,0,3,0,3,1,1
"137",3,0,0,1,3,2,0,1,0,0,0,0,0,1
"138",0,0,0,0,1,0,0,3,0,2,2,0,0,3
"139",0,0,0,0,1,0,0,0,0,0,0,3,0,2
"140",0,0,0,0,1,0,0,0,0,0,0,0,1,2
"141",0,3,0,0,0,0,0,0,0,2,0,3,0,3
"142",2,0,0,0,0,0,0,1,0,3,0,0,1,1
"143",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"144",3,1,1,0,1,3,1,0,0,2,0,0,2,0
"145",3,1,1,0,1,0,2,1,0,3,0,0,1,3
"146",0,0,0,0,1,1,0,0,3,0,0,0,1,1
"147",0,0,0,0,0,0,0,0,0,3,0,0,0,3
"148",2,0,0,0,1,0,0,0,0,0,0,1,0,3
"149",0,0,0,0,1,2,0,1,2,0,0,0,1,3
"150",0,1,0,2,3,0,0,1,0,0,0,0,0,3
"151",0,0,0,0,3,0,0,0,0,0,0,3,0,3
"152",0,0,0,0,3,0,0,1,0,2,0,1,1,2
"153",0,0,2,1,3,0,0,1,0,2,0,0,1,1
"154",2,3,1,0,3,1,3,0,0,3,0,0,1,3
"155",0,0,1,1,3,1,0,0,0,3,0,0,1,2
"156",0,0,0,0,0,0,0,0,0,0,0,0,1,3
"157",2,0,0,0,1,0,0,0,0,0,0,0,0,2
"158",0,1,0,0,1,0,0,0,0,0,0,0,0,3
"159",0,0,3,0,3,0,0,1,0,1,0,0,3,3
"160",0,0,2,0,0,3,0,1,0,2,0,0,0,2
"161",2,0,1,1,1,0,0,1,0,2,0,0,1,1
"162",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"163",0,0,0,0,3,2,0,0,0,0,0,0,1,3
"164",0,1,0,0,0,3,0,0,0,0,0,0,1,0
"165",2,0,3,0,3,0,0,1,0,0,0,0,0,0
"166",0,2,0,2,1,3,0,0,0,3,0,1,3,3
"167",0,0,1,1,3,1,1,0,0,1,0,3,0,3
"168",0,0,0,0,0,0,0,0,0,3,0,0,0,3
"169",0,0,0,0,0,1,0,0,0,3,0,0,3,3
"170",0,2,0,0,1,0,0,1,0,2,3,0,1,3
"171",0,0,0,0,0,0,0,0,0,1,0,0,0,3
"172",0,1,0,0,3,0,0,0,0,0,0,0,0,3
"173",0,0,0,0,0,0,0,0,0,0,0,0,3,0
"174",2,0,1,0,3,2,0,0,2,3,0,1,1,0
"175",0,0,0,0,3,0,0,0,0,2,0,3,0,3
"176",0,0,0,0,1,0,0,0,0,0,0,0,0,3
"177",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"178",0,1,0,0,1,0,0,0,0,3,1,0,1,3
"179",0,0,0,1,0,0,1,0,0,0,0,0,0,2
"180",0,3,0,0,0,0,0,3,0,0,0,0,3,3
"181",0,3,0,0,3,0,0,0,0,1,0,0,0,3
"182",0,0,0,0,3,0,0,0,0,1,0,0,0,3
"183",0,0,0,0,0,0,0,0,0,0,0,0,3,2
"184",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"185",0,1,3,1,0,3,0,0,0,3,0,0,0,1
"186",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"187",0,3,0,0,0,0,0,0,0,0,0,0,0,0
"188",0,0,0,2,3,0,0,1,0,1,0,0,3,3
"189",0,0,0,0,3,0,0,1,0,0,0,0,1,1
"190",0,3,0,0,3,3,0,1,0,3,0,3,1,3
"191",1,0,3,2,3,0,3,3,0,0,0,0,1,1
"192",0,0,0,0,0,0,1,0,0,3,0,0,3,3
"193",0,0,0,0,1,0,0,0,0,3,1,2,3,3
"194",2,0,0,0,0,2,0,0,0,0,0,0,1,3
"195",0,0,0,0,3,0,0,0,0,3,0,0,3,0
"196",3,0,0,0,1,0,0,0,0,2,0,0,0,1
"197",0,0,0,0,1,0,0,2,0,1,0,0,3,1
"198",1,3,1,1,2,0,0,1,2,3,0,0,1,3
"199",0,0,0,0,3,1,0,3,0,1,0,0,1,3
"200",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"201",3,0,0,0,0,0,0,0,0,0,0,0,3,3
"202",0,0,0,0,1,0,0,1,0,0,0,1,1,1
"203",0,1,0,0,3,1,1,0,0,1,0,1,1,1
"204",0,0,0,0,3,0,0,0,0,1,0,0,1,3
"205",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"206",2,0,1,1,1,0,0,1,0,2,0,0,1,2
"207",1,0,1,0,1,0,0,1,0,0,0,0,1,1
"208",0,0,1,1,3,1,0,1,0,0,0,0,0,2
"209",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"210",0,0,0,0,0,0,0,0,0,0,0,0,1,2
"211",0,3,0,0,2,1,0,0,0,0,0,0,1,3
"212",0,0,0,0,3,0,0,1,0,0,0,0,1,3
"213",0,1,1,1,2,0,0,1,0,0,0,0,1,3
"214",0,0,0,0,3,0,0,0,0,0,0,0,0,3
"215",0,0,1,1,3,0,0,1,0,0,0,0,0,3
"216",0,0,1,0,1,0,1,2,0,3,0,3,1,3
"217",0,1,0,0,0,0,0,1,0,1,0,0,1,1
"218",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"219",0,1,0,0,1,1,0,3,0,3,0,0,1,3
"220",0,1,0,0,0,0,0,3,0,1,0,2,0,3
"221",0,1,0,0,0,0,0,0,0,2,0,3,3,0
"222",0,0,0,0,0,0,0,0,0,2,0,2,1,0
"223",0,0,0,2,3,0,0,1,0,0,0,2,0,1
"224",0,0,0,0,1,0,0,0,0,0,0,2,3,3
"225",0,0,0,0,0,0,0,0,0,3,0,0,0,3
"226",0,0,0,0,1,0,0,3,0,3,0,0,1,3
"227",0,1,0,0,0,0,0,0,0,0,0,0,0,3
"228",0,0,0,0,0,0,0,0,0,1,0,3,0,0
"229",2,1,0,1,3,0,2,0,0,1,0,1,2,0
"230",0,1,0,0,0,0,0,3,0,1,2,0,2,1
"231",0,0,0,0,1,1,0,1,0,3,0,2,1,1
"232",0,0,0,0,1,0,0,0,0,3,0,0,0,3
"233",1,1,3,0,3,1,0,0,0,0,0,0,1,3
"234",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"235",0,0,0,0,0,0,0,0,0,0,0,0,1,3
"236",0,1,0,0,0,0,0,0,0,0,0,0,0,3
"237",0,0,0,0,1,0,0,0,0,0,0,3,1,3
"238",0,1,0,0,3,0,0,0,0,0,0,0,3,3
"239",2,0,0,0,3,0,0,1,0,0,0,3,3,1
"240",0,1,0,0,0,0,0,0,0,0,0,0,1,3
"241",0,2,0,0,0,0,0,0,0,0,0,0,1,3
"242",2,0,0,2,1,0,0,0,0,0,0,0,0,2
"243",0,1,0,0,3,0,0,0,0,0,0,0,3,0
"244",0,0,3,0,0,0,0,1,0,0,0,0,1,1
"245",0,1,0,0,3,0,0,0,0,0,0,0,0,3
"246",0,0,0,0,0,0,0,0,0,1,0,0,0,3
"247",0,1,1,1,3,2,1,1,0,0,1,1,1,1
"248",0,1,0,0,0,0,0,0,0,3,0,0,3,1
"249",0,0,0,0,0,0,0,1,2,3,0,0,1,2
"250",0,3,0,0,1,1,0,0,0,3,1,0,1,3
"251",0,1,0,0,0,0,0,3,0,0,0,3,1,3
"252",0,0,0,0,1,0,0,0,0,3,0,0,0,3
"253",0,0,0,0,0,0,1,0,0,1,0,0,0,0
"254",0,0,0,0,0,0,0,1,0,2,0,0,0,3
"255",1,1,0,1,1,0,1,1,0,0,0,1,0,1
"256",0,1,0,2,1,0,0,0,0,3,0,2,1,3
"257",0,0,1,0,3,0,0,1,0,2,0,2,0,3
"258",2,0,1,0,0,0,0,0,0,0,0,2,3,0
"259",0,0,0,0,0,0,0,1,0,3,0,0,1,3
"260",0,1,0,0,0,0,0,0,0,0,0,0,3,3
"261",0,0,0,0,0,0,0,0,0,1,0,0,1,1
"262",0,1,0,0,1,1,0,0,0,3,3,0,3,0
"263",0,0,0,0,1,0,0,0,0,0,0,0,1,0
"264",2,0,0,0,2,0,0,0,2,3,0,0,1,2
"265",3,1,1,0,0,0,1,1,0,0,0,0,1,2
"266",0,3,0,0,3,0,0,1,0,0,0,0,1,0
"267",3,0,0,0,3,0,0,1,3,0,0,0,1,0
"268",0,0,0,0,1,0,0,3,0,3,0,0,0,1
"269",2,0,3,0,3,2,0,1,2,0,0,0,1,3
"270",0,1,0,0,2,0,0,0,0,0,0,0,3,3
"271",2,1,0,0,3,0,0,1,0,0,0,0,1,1
"272",0,0,0,0,0,0,0,0,0,0,0,0,1,3
"273",0,0,0,0,1,1,3,0,0,3,3,2,0,3
"274",0,0,0,0,0,0,0,0,0,2,0,0,0,2
"275",0,1,0,0,3,0,0,0,0,2,0,0,3,3
"276",0,1,0,0,0,0,0,0,0,0,0,0,1,3
"277",0,0,0,0,1,1,0,0,0,3,0,0,1,1
"278",0,1,0,0,1,1,2,0,0,0,0,0,3,0
"279",2,0,0,0,1,2,0,0,0,1,0,0,1,2
"280",1,3,1,0,1,0,0,0,0,0,2,0,1,0
"281",0,1,0,0,0,0,0,0,0,0,0,0,3,3
"282",0,0,0,0,0,0,0,0,0,3,0,0,0,3
"283",2,3,3,1,3,1,3,2,2,0,1,0,1,2
"284",0,0,0,0,3,0,0,1,0,2,0,0,0,0
"285",0,0,3,0,0,0,0,0,0,0,0,0,0,2
"286",2,0,0,0,0,0,0,0,0,3,0,1,0,3
"287",0,3,0,0,2,2,0,1,0,0,0,3,0,2
"288",3,3,1,0,1,1,0,1,0,2,3,0,0,1
"289",0,0,0,0,3,3,0,0,0,3,0,0,3,2
"290",0,3,0,0,1,0,0,1,0,0,0,0,0,3
"291",0,0,0,0,3,0,0,0,0,2,0,0,0,0
"292",3,0,3,2,0,0,0,1,0,2,1,2,1,0
"293",0,3,0,0,1,0,0,0,0,0,0,0,3,0
"294",0,0,0,0,0,0,0,0,0,2,0,0,0,3
"295",2,1,1,0,0,0,3,1,0,3,0,0,0,3
"296",3,0,2,3,3,0,2,1,2,2,2,0,1,1
"297",0,0,0,0,0,0,0,1,0,3,0,0,1,2
"298",2,3,1,1,3,0,0,1,2,2,3,1,1,2
"299",0,3,0,0,1,0,0,0,0,2,0,0,0,3
"300",0,1,0,1,1,0,0,1,0,0,0,0,0,1
"301",0,0,1,0,0,0,0,0,0,2,0,0,0,2
"302",0,1,0,0,0,0,0,1,0,0,0,0,1,2
"303",3,3,2,1,1,0,0,1,2,0,0,0,1,2
"304",0,0,0,0,0,1,0,0,0,3,0,0,0,0
"305",0,0,0,0,0,0,0,1,0,2,0,0,1,2
"306",0,0,0,0,1,0,0,0,0,0,0,1,1,1
"307",1,1,1,1,1,0,0,0,0,3,0,0,1,0
"308",0,0,0,0,0,0,0,0,0,3,0,0,0,3
"309",0,0,3,0,0,3,3,1,0,3,2,0,1,0
"310",0,0,0,0,3,0,0,1,0,0,3,0,0,2
"311",0,1,0,0,3,1,2,1,0,3,0,0,1,3
"312",2,1,0,0,1,0,0,0,0,0,3,0,0,3
"313",0,0,0,0,0,0,0,0,0,3,0,0,1,3
"314",0,0,0,1,0,0,0,1,0,0,0,0,1,3
"315",0,0,3,0,3,1,0,1,0,2,1,0,1,1
"316",0,0,0,0,3,0,0,0,0,0,0,0,0,3
"317",3,0,1,1,3,2,2,1,2,2,0,0,2,1
"318",0,0,0,0,3,0,0,1,0,0,0,0,1,3
"319",0,0,0,0,0,0,0,0,0,2,0,1,1,3
"320",0,1,0,0,0,0,0,0,0,0,0,0,1,3
"321",0,2,0,0,1,0,0,3,0,0,0,0,0,1
"322",3,0,0,0,3,0,2,2,0,2,0,0,3,1
"323",0,0,0,0,1,1,0,0,0,3,0,1,1,0
"324",0,0,0,0,0,0,0,0,0,1,0,0,1,3
"325",0,1,0,0,1,2,0,0,0,2,0,0,0,2
"326",0,0,0,0,0,0,0,2,0,0,0,0,1,3
"327",0,0,0,0,0,0,0,0,0,3,0,0,1,2
"328",0,0,3,0,1,2,0,3,0,0,0,3,1,3
"329",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"330",0,0,0,0,0,0,0,0,0,2,0,0,0,0
"331",3,3,1,1,2,0,2,0,1,0,0,3,1,2
"332",0,0,0,0,0,0,0,0,0,1,0,0,3,3
"333",3,3,1,2,3,3,2,1,2,0,0,3,1,3
"334",0,0,0,0,0,0,0,0,0,0,0,0,3,3
"335",0,0,0,0,0,0,0,3,0,0,0,0,0,2
"336",0,3,0,0,0,1,0,0,0,1,0,0,1,3
"337",0,0,2,3,3,1,0,3,0,2,1,2,0,1
"338",0,0,0,0,0,0,0,0,0,0,0,0,1,3
"339",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"340",0,0,0,0,0,0,0,0,0,0,0,0,1,3
"341",0,0,1,0,1,1,0,0,0,3,0,0,0,3
"342",1,3,1,1,1,0,2,1,0,1,0,0,1,3
"343",0,0,0,0,0,0,0,0,0,0,0,0,0,2
"344",3,0,3,0,1,3,0,1,2,2,0,2,1,3
"345",0,3,0,1,3,2,0,1,2,1,1,0,1,1
"346",0,1,0,2,2,3,0,1,0,0,0,0,3,2
"347",0,0,1,0,0,2,0,0,0,2,0,0,1,0
"348",0,3,0,0,0,0,0,0,0,0,0,3,1,3
"349",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"350",0,2,2,0,0,0,0,0,0,0,3,2,0,3
"351",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"352",0,1,0,0,0,1,0,0,0,0,0,0,0,2
"353",0,0,0,0,3,0,0,0,0,0,0,0,1,3
"354",0,0,0,0,0,0,0,1,0,0,0,0,0,3
"355",0,0,0,0,2,3,1,3,0,2,3,2,3,1
"356",2,3,0,1,2,2,0,1,0,0,0,0,1,3
"357",0,3,0,1,1,1,0,1,0,2,0,2,3,3
"358",0,1,1,1,3,1,0,1,0,3,0,2,2,2
"359",0,0,0,0,1,0,0,0,0,1,0,1,0,2
"360",0,0,0,0,0,0,0,0,0,2,0,0,0,3
"361",0,2,1,1,3,3,0,0,0,3,0,0,3,3
"362",0,0,0,0,3,3,0,1,0,2,0,2,1,3
"363",0,3,1,0,1,3,0,1,0,3,0,0,0,3
"364",0,0,3,0,0,0,0,0,0,0,0,0,0,3
"365",0,1,1,1,3,2,3,1,2,3,0,2,1,3
"366",0,0,2,0,3,0,0,1,0,3,0,0,1,3
"367",0,0,0,0,0,0,0,0,0,0,0,0,3,3
"368",0,0,0,0,0,3,0,0,0,3,0,2,1,3
"369",0,0,0,0,2,0,0,0,0,0,0,0,1,0
"370",0,2,1,0,3,0,0,1,0,1,0,0,3,3
"371",0,0,0,0,0,0,0,0,1,3,0,0,0,0
"372",0,0,0,0,0,0,0,0,0,1,0,0,3,0
"373",0,0,1,0,0,0,0,1,0,2,0,0,0,1
"374",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"375",2,3,2,1,3,2,3,1,2,0,0,3,1,0
"376",0,0,0,0,0,0,0,0,0,1,0,0,0,3
"377",2,0,0,1,2,3,1,1,0,0,1,0,1,1
"378",0,3,1,0,1,0,1,3,0,3,0,0,0,1
"379",2,2,0,1,2,0,0,1,0,2,1,1,1,2
"380",3,0,1,3,3,0,0,3,3,2,0,3,3,0
"381",0,1,2,2,1,3,1,1,0,3,2,0,1,0
"382",0,0,0,0,0,0,2,2,0,3,0,0,1,1
"383",0,0,0,0,0,0,0,0,2,3,0,0,0,0
"384",0,0,0,0,3,2,0,0,0,2,0,0,1,3
"385",1,3,0,2,0,3,0,1,0,3,0,3,1,3
"386",2,0,1,1,0,2,1,1,0,0,1,0,1,1
"387",0,0,0,0,0,0,0,0,0,0,0,3,3,3
"388",0,0,0,0,3,0,0,0,0,0,0,2,0,3
"389",3,0,0,0,0,0,0,0,0,0,0,0,0,1
"390",0,0,0,0,0,0,0,0,0,0,0,0,1,3
"391",0,0,0,0,3,0,0,3,0,2,0,0,1,3
"392",0,0,0,0,0,0,0,1,0,3,0,0,0,3
"393",0,0,0,0,0,2,0,0,0,0,0,0,0,3
"394",0,1,0,1,0,2,0,0,0,1,1,2,1,3
"395",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"396",0,1,0,2,1,0,0,0,2,3,2,0,1,1
"397",0,3,0,0,0,0,0,1,0,1,0,1,0,3
"398",0,0,0,0,3,0,0,0,0,2,0,0,0,3
"399",0,1,2,0,0,0,0,1,0,0,0,0,0,3
"400",0,1,1,0,3,0,0,0,0,2,0,0,0,3
"401",0,0,0,0,3,0,0,0,0,0,0,0,0,2
"402",0,0,0,0,1,0,0,3,0,2,0,0,1,1
"403",0,0,0,0,0,0,0,0,0,3,0,0,0,3
"404",0,0,0,0,0,0,0,0,0,3,0,0,0,3
"405",2,0,0,0,0,0,0,1,0,2,0,0,1,1
"406",3,0,1,0,0,0,0,0,0,1,0,1,1,3
"407",0,0,0,0,1,0,0,0,0,0,0,0,0,3
"408",0,0,0,0,3,0,0,0,0,3,0,3,1,0
"409",3,1,1,0,2,0,0,1,2,0,3,3,1,0
"410",0,1,0,0,0,0,0,0,0,0,0,0,3,0
"411",0,0,0,1,1,0,0,1,0,1,0,3,0,3
"412",0,1,0,0,3,0,1,1,0,3,2,2,0,3
"413",0,1,1,0,1,0,0,0,3,3,0,0,1,0
"414",3,1,1,1,2,0,2,1,2,3,0,0,3,3
"415",0,0,0,0,3,0,0,0,0,3,0,3,3,0
"416",0,1,0,0,3,0,0,0,0,2,0,0,0,3
"417",0,0,1,0,1,0,0,0,0,0,0,2,0,3
"418",0,0,0,0,1,1,0,0,0,3,0,0,1,3
"419",0,0,0,0,0,0,1,0,0,0,0,3,0,0
"420",1,0,1,1,0,0,0,0,0,3,1,1,1,1
"421",0,0,1,1,0,0,0,0,0,0,0,0,1,0
"422",3,0,0,0,0,0,0,0,0,0,0,1,0,0
"423",0,1,0,0,0,0,0,0,0,0,0,0,0,2
"424",0,0,0,0,1,1,0,0,0,3,0,0,0,1
"425",0,0,0,0,0,1,0,0,0,2,0,3,1,0
"426",0,0,0,0,0,0,0,0,0,0,0,3,0,3
"427",2,0,0,0,3,0,0,1,0,0,0,2,1,2
"428",0,0,0,0,1,0,0,0,0,0,0,0,0,2
"429",0,0,0,0,0,0,0,0,0,1,0,1,0,3
"430",2,0,0,0,0,0,0,1,0,1,0,0,0,2
"431",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"432",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"433",0,0,0,0,3,0,0,1,0,3,0,0,0,1
"434",0,0,0,0,3,0,0,0,0,0,0,0,0,3
"435",0,0,2,0,0,3,0,1,0,3,0,2,1,2
"436",0,0,0,1,0,0,0,0,0,0,0,0,3,3
"437",2,0,3,0,3,0,0,1,0,2,0,2,3,0
"438",0,0,0,0,0,1,0,0,0,0,0,0,1,3
"439",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"440",0,0,0,0,0,0,0,3,0,3,0,0,1,3
"441",2,0,0,0,0,0,0,1,0,3,0,0,2,2
"442",2,0,1,0,3,2,0,1,0,0,1,3,1,1
"443",0,2,1,0,0,2,0,0,0,0,0,2,1,1
"444",2,0,1,0,0,0,0,1,3,1,0,0,0,3
"445",0,0,0,3,3,1,0,1,0,3,0,0,3,1
"446",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"447",2,0,2,0,0,2,1,0,0,3,0,0,1,1
