"","I101","I102","I103","I104","I105","I106","I107","I108","I109","I110","I111","I113","I114","I115","I116","I117","I118","I119","I120","I121","I122","I123","I124","I125","I126","I127","I128","I129","I130","I131","I132","I133","I134","I135","I136","I137","I138","I139","I140","I141","I142","I143","I144","I145","I146","I147","I148","I149","I150","I151","I152","I154","I155","I156","I157","I158","I159","I160","I161","I162","I163","I164","I165","I166","I167","I168","I169","I170","I171","I172","I173","I174","I175","I176","I177","I178","I179"
"21",2,NA,1,0,1,NA,NA,1,"9",1,9,NA,NA,9,NA,"F",NA,3,NA,"B",8,3,"9",NA,NA,"F",3,4,2,NA,NA,3,2,NA,1,3,0,2,NA,3,"A",0,2,3,3,1,NA,NA,NA,3,2,9,2,3,NA,1,NA,NA,NA,NA,NA,NA,"C",NA,3,"D","C",2,NA,NA,3,NA,NA,NA,3,3,"E"
"22",0,NA,1,1,2,NA,NA,1,"D",3,9,NA,NA,9,NA,"C",NA,2,NA,"B",3,3,"E",NA,NA,"B",3,4,1,NA,NA,3,1,NA,3,1,0,3,NA,2,"A",9,2,3,3,3,NA,NA,NA,3,3,1,2,3,NA,1,NA,NA,NA,NA,NA,NA,"F",NA,3,"A","C",1,NA,NA,1,NA,NA,NA,3,2,"E"
"23",0,NA,1,1,2,NA,NA,1,"D",3,9,NA,NA,1,NA,"F",NA,3,NA,"B",3,3,"E",NA,NA,"F",1,4,2,NA,NA,3,2,NA,1,1,0,3,NA,2,"A",1,1,3,3,3,NA,NA,NA,3,3,1,2,3,NA,3,NA,NA,NA,NA,NA,NA,"C",NA,3,"A","C",2,NA,NA,3,NA,NA,NA,2,2,"E"
"24",2,2,NA,1,NA,1,2,NA,"A",NA,9,3,2,1,1,"F",3,NA,2,"B",NA,NA,"9",3,3,"B",NA,NA,NA,2,9,NA,NA,1,NA,NA,0,NA,1,NA,"A",1,NA,NA,NA,NA,1,2,2,NA,NA,1,NA,NA,3,NA,1,1,1,1,1,1,"C",1,NA,"D","9",NA,3,1,NA,2,2,9,NA,NA,"E"
"25",0,2,NA,1,NA,1,2,NA,"D",NA,0,3,2,1,1,"F",3,NA,2,"D",NA,NA,"E",3,3,"F",NA,NA,NA,2,2,NA,NA,1,NA,NA,0,NA,1,NA,"A",1,NA,NA,NA,NA,1,3,2,NA,NA,1,NA,NA,3,NA,1,1,1,2,1,1,"C",1,NA,"B","C",NA,2,1,NA,2,2,1,NA,NA,"E"
"26",0,3,NA,1,NA,1,2,NA,"D",NA,9,1,2,9,1,"F",3,NA,3,"B",NA,NA,"E",2,3,"B",NA,NA,NA,1,1,NA,NA,4,NA,NA,0,NA,3,NA,"A",1,NA,NA,NA,NA,1,3,2,NA,NA,1,NA,NA,3,NA,1,8,1,2,2,1,"C",1,NA,"A","C",NA,3,3,NA,2,3,1,NA,NA,"E"
"27",0,1,NA,9,NA,1,2,NA,"C",NA,9,2,3,9,1,"C",3,NA,2,"B",NA,NA,"B",1,3,"A",NA,NA,NA,2,2,NA,NA,3,NA,NA,0,NA,1,NA,"A",9,NA,NA,NA,NA,1,1,2,NA,NA,9,NA,NA,3,NA,1,1,2,2,2,1,"F",1,NA,"F","E",NA,2,1,NA,2,2,1,NA,NA,"E"
"28",2,2,NA,1,NA,1,2,NA,"9",NA,9,9,9,9,1,"F",1,NA,3,"B",NA,NA,"E",1,3,"9",NA,NA,NA,1,9,NA,NA,1,NA,NA,0,NA,1,NA,"A",9,NA,NA,NA,NA,1,3,2,NA,NA,1,NA,NA,3,NA,1,2,9,2,1,9,"C",1,NA,"D","B",NA,2,1,NA,2,2,1,NA,NA,"E"
"29",0,NA,1,1,2,NA,NA,1,"D",3,0,NA,NA,1,NA,"F",NA,3,NA,"B",3,3,"A",NA,NA,"F",1,4,1,NA,NA,3,2,NA,1,1,0,3,NA,2,"A",1,1,3,3,2,NA,NA,NA,3,3,1,2,3,NA,3,NA,NA,NA,NA,NA,NA,"C",NA,3,"E","C",2,NA,NA,3,NA,NA,NA,2,2,"E"
"30",2,2,NA,1,NA,1,1,NA,"8",NA,9,3,2,1,2,"D",1,NA,2,"B",NA,NA,"B",2,2,"F",NA,NA,NA,2,3,NA,NA,4,NA,NA,0,NA,2,NA,"8",1,NA,NA,NA,NA,2,3,3,NA,NA,0,NA,NA,3,NA,2,3,2,3,3,2,"C",4,NA,"9","9",NA,3,2,NA,3,1,3,NA,NA,"E"
"31",0,3,NA,8,NA,1,2,NA,"A",NA,9,3,2,9,1,"C",3,NA,2,"B",NA,NA,"D",3,3,"F",NA,NA,NA,2,2,NA,NA,3,NA,NA,0,NA,1,NA,"A",9,NA,NA,NA,NA,1,3,2,NA,NA,9,NA,NA,3,NA,1,2,2,2,1,1,"F",1,NA,"C","B",NA,3,2,NA,2,2,1,NA,NA,"E"
"32",0,3,NA,1,NA,1,2,NA,"D",NA,0,3,2,1,1,"F",1,NA,2,"B",NA,NA,"E",3,1,"F",NA,NA,NA,1,2,NA,NA,4,NA,NA,0,NA,1,NA,"A",1,NA,NA,NA,NA,1,2,2,NA,NA,1,NA,NA,3,NA,1,1,3,2,1,1,"C",1,NA,"A","C",NA,1,1,NA,2,2,1,NA,NA,"E"
"33",0,NA,1,0,1,NA,NA,1,"A",3,9,NA,NA,8,NA,"C",NA,2,NA,"B",1,3,"E",NA,NA,"F",1,4,1,NA,NA,3,1,NA,1,2,0,2,NA,3,"A",9,1,3,3,2,NA,NA,NA,2,2,9,1,3,NA,2,NA,NA,NA,NA,NA,NA,"F",NA,3,"D","C",3,NA,NA,1,NA,NA,NA,2,3,"E"
"34",0,NA,3,0,3,NA,NA,1,"B",3,0,NA,NA,0,NA,"D",NA,2,NA,"A",1,2,"C",NA,NA,"F",4,1,1,NA,NA,3,3,NA,1,2,0,2,NA,2,"B",0,3,2,3,1,NA,NA,NA,3,2,0,3,2,NA,1,NA,NA,NA,NA,NA,NA,"F",NA,3,"D","A",3,NA,NA,1,NA,NA,NA,3,2,"E"
"35",0,2,NA,0,NA,2,2,NA,"D",NA,9,9,2,0,1,"C",1,NA,2,"B",NA,NA,"E",1,3,"B",NA,NA,NA,1,2,NA,NA,3,NA,NA,0,NA,1,NA,"A",9,NA,NA,NA,NA,1,2,2,NA,NA,9,NA,NA,1,NA,1,1,2,2,1,1,"F",1,NA,"A","C",NA,1,3,NA,2,2,1,NA,NA,"E"
"36",0,3,NA,0,NA,3,3,NA,"B",NA,9,3,2,0,3,"A",1,NA,2,"D",NA,NA,"D",1,2,"F",NA,NA,NA,2,2,NA,NA,3,NA,NA,0,NA,1,NA,"F",0,NA,NA,NA,NA,3,2,3,NA,NA,0,NA,NA,1,NA,1,2,2,3,2,3,"C",1,NA,"A","C",NA,3,1,NA,1,1,2,NA,NA,"E"
"37",0,3,NA,1,NA,1,2,NA,"B",NA,9,9,8,9,1,"D",1,NA,3,"B",NA,NA,"D",2,1,"E",NA,NA,NA,1,2,NA,NA,1,NA,NA,0,NA,1,NA,"A",9,NA,NA,NA,NA,2,1,2,NA,NA,9,NA,NA,4,NA,1,2,3,2,8,1,"F",1,NA,"F","A",NA,2,9,NA,2,2,1,NA,NA,"E"
"38",0,2,NA,9,NA,1,2,NA,"C",NA,9,3,1,9,1,"E",3,NA,2,"D",NA,NA,"D",1,3,"F",NA,NA,NA,2,2,NA,NA,3,NA,NA,0,NA,2,NA,"C",9,NA,NA,NA,NA,2,1,1,NA,NA,9,NA,NA,3,NA,1,2,2,2,1,1,"A",1,NA,"B","A",NA,2,2,NA,2,2,2,NA,NA,"B"
"39",0,1,NA,1,NA,1,2,NA,"F",NA,9,1,2,9,1,"F",1,NA,3,"B",NA,NA,"E",1,1,"B",NA,NA,NA,1,2,NA,NA,3,NA,NA,0,NA,3,NA,"A",9,NA,NA,NA,NA,1,3,2,NA,NA,1,NA,NA,3,NA,1,2,2,2,1,1,"C",1,NA,"A","D",NA,1,3,NA,2,2,1,NA,NA,"E"
"40",0,NA,1,0,1,NA,NA,2,"D",3,0,NA,NA,1,NA,"F",NA,2,NA,"B",3,3,"A",NA,NA,"F",1,4,2,NA,NA,3,2,NA,1,1,0,3,NA,1,"A",1,1,3,3,2,NA,NA,NA,3,3,0,2,3,NA,3,NA,NA,NA,NA,NA,NA,"C",NA,3,"B","C",3,NA,NA,3,NA,NA,NA,2,1,"E"
"41",0,1,NA,0,NA,1,2,NA,"D",NA,9,3,2,0,1,"C",1,NA,2,"B",NA,NA,"B",1,3,"A",NA,NA,NA,1,2,NA,NA,3,NA,NA,0,NA,3,NA,"A",9,NA,NA,NA,NA,1,3,2,NA,NA,9,NA,NA,3,NA,1,2,2,3,1,1,"F",1,NA,"8","C",NA,2,1,NA,2,2,1,NA,NA,"E"
"42",0,1,NA,9,NA,2,2,NA,"A",NA,9,3,3,9,1,"C",3,NA,3,"B",NA,NA,"D",1,2,"C",NA,NA,NA,2,2,NA,NA,3,NA,NA,0,NA,3,NA,"A",9,NA,NA,NA,NA,1,3,1,NA,NA,9,NA,NA,1,NA,2,2,2,1,1,1,"F",4,NA,"E","B",NA,2,1,NA,2,1,2,NA,NA,"E"
"43",0,1,NA,1,NA,1,2,NA,"A",NA,9,3,3,9,1,"F",1,NA,2,"B",NA,NA,"C",3,1,"E",NA,NA,NA,1,2,NA,NA,1,NA,NA,0,NA,1,NA,"A",0,NA,NA,NA,NA,1,1,2,NA,NA,9,NA,NA,1,NA,2,2,3,2,3,1,"C",1,NA,"D","F",NA,3,3,NA,2,1,2,NA,NA,"E"
"44",0,NA,3,1,1,NA,NA,2,"D",3,9,NA,NA,9,NA,"C",NA,2,NA,"B",3,3,"E",NA,NA,"F",1,4,1,NA,NA,3,2,NA,1,1,0,3,NA,2,"A",9,1,3,3,3,NA,NA,NA,3,3,1,2,3,NA,1,NA,NA,NA,NA,NA,NA,"F",NA,8,"A","C",2,NA,NA,3,NA,NA,NA,2,2,"E"
"45",0,2,NA,1,NA,1,2,NA,"D",NA,9,3,2,9,1,"C",1,NA,2,"B",NA,NA,"E",3,3,"B",NA,NA,NA,2,3,NA,NA,1,NA,NA,0,NA,3,NA,"A",9,NA,NA,NA,NA,1,3,2,NA,NA,1,NA,NA,3,NA,1,1,3,2,1,1,"F",1,NA,"A","C",NA,3,1,NA,2,2,2,NA,NA,"E"
"46",0,1,NA,1,NA,1,2,NA,"B",NA,8,2,2,8,3,"C",1,NA,2,"B",NA,NA,"E",1,3,"C",NA,NA,NA,2,2,NA,NA,3,NA,NA,0,NA,3,NA,"A",0,NA,NA,NA,NA,1,3,2,NA,NA,0,NA,NA,3,NA,2,1,2,3,2,1,"F",1,NA,"A","F",NA,3,1,NA,2,2,2,NA,NA,"E"
"47",4,NA,1,1,2,NA,NA,1,"9",3,9,NA,NA,9,NA,"F",NA,3,NA,"B",3,3,"9",NA,NA,"B",1,4,9,NA,NA,3,2,NA,1,1,1,3,NA,3,"A",9,2,3,3,1,NA,NA,NA,9,3,9,9,3,NA,1,NA,NA,NA,NA,NA,NA,"9",NA,2,"9","9",3,NA,NA,3,NA,NA,NA,1,3,"E"
"48",0,NA,8,8,1,NA,NA,1,"A",3,8,NA,NA,0,NA,"C",NA,2,NA,"D",3,3,"E",NA,NA,"B",1,4,2,NA,NA,3,2,NA,3,1,0,3,NA,2,"A",8,3,3,3,2,NA,NA,NA,3,3,8,3,3,NA,1,NA,NA,NA,NA,NA,NA,"F",NA,3,"F","C",2,NA,NA,3,NA,NA,NA,1,1,"B"
"49",0,NA,9,1,1,NA,NA,1,"B",1,8,NA,NA,8,NA,"C",NA,3,NA,"B",3,3,"A",NA,NA,"F",1,4,2,NA,NA,4,2,NA,2,3,0,3,NA,3,"A",8,3,3,3,2,NA,NA,NA,3,2,8,1,3,NA,3,NA,NA,NA,NA,NA,NA,"F",NA,3,"D","C",2,NA,NA,3,NA,NA,NA,2,3,"E"
"50",0,NA,3,1,2,NA,NA,2,"D",3,8,NA,NA,1,NA,"C",NA,3,NA,"B",3,3,"E",NA,NA,"F",1,4,1,NA,NA,3,2,NA,1,1,0,3,NA,2,"A",9,3,3,3,2,NA,NA,NA,3,1,1,2,3,NA,3,NA,NA,NA,NA,NA,NA,"F",NA,3,"A","C",2,NA,NA,3,NA,NA,NA,2,2,"E"
"51",2,2,NA,1,NA,1,2,NA,"9",NA,9,1,1,9,1,"F",3,NA,2,"B",NA,NA,"F",2,1,"9",NA,NA,NA,2,2,NA,NA,3,NA,NA,3,NA,3,NA,"9",9,NA,NA,NA,NA,2,1,2,NA,NA,9,NA,NA,3,NA,2,2,3,3,2,1,"9",1,NA,"B","A",NA,2,2,NA,2,3,1,NA,NA,"9"
"52",0,NA,2,1,2,NA,NA,1,"D",3,8,NA,NA,1,NA,"C",NA,3,NA,"B",3,3,"E",NA,NA,"F",1,4,2,NA,NA,3,2,NA,1,1,0,3,NA,3,"A",8,1,3,3,2,NA,NA,NA,3,3,1,2,3,NA,3,NA,NA,NA,NA,NA,NA,"F",NA,3,"A","C",2,NA,NA,3,NA,NA,NA,2,1,"E"
"53",0,3,NA,1,NA,1,2,NA,"D",NA,9,3,2,0,1,"C",3,NA,2,"B",NA,NA,"A",1,3,"B",NA,NA,NA,2,2,NA,NA,3,NA,NA,0,NA,3,NA,"A",0,NA,NA,NA,NA,1,3,2,NA,NA,9,NA,NA,3,NA,2,1,1,2,1,1,"F",1,NA,"F","C",NA,3,1,NA,2,2,1,NA,NA,"E"
"54",0,3,NA,0,NA,1,2,NA,"D",NA,9,3,2,0,1,"C",1,NA,3,"B",NA,NA,"E",3,2,"F",NA,NA,NA,2,1,NA,NA,3,NA,NA,0,NA,3,NA,"A",9,NA,NA,NA,NA,1,2,2,NA,NA,0,NA,NA,3,NA,1,2,1,2,1,1,"F",1,NA,"B","C",NA,2,1,NA,2,2,3,NA,NA,"E"
"55",0,1,NA,0,NA,3,3,NA,"E",NA,0,2,2,0,3,"C",3,NA,1,"B",NA,NA,"A",1,1,"F",NA,NA,NA,2,3,NA,NA,3,NA,NA,0,NA,3,NA,"E",0,NA,NA,NA,NA,1,1,3,NA,NA,1,NA,NA,3,NA,2,3,2,2,1,2,"F",1,NA,"D","B",NA,1,2,NA,2,1,2,NA,NA,"A"
"56",0,NA,8,1,2,NA,NA,1,"A",3,1,NA,NA,1,NA,"F",NA,2,NA,"B",3,3,"E",NA,NA,"F",1,4,2,NA,NA,3,2,NA,1,1,0,3,NA,2,"A",9,1,2,3,2,NA,NA,NA,1,3,1,2,3,NA,3,NA,NA,NA,NA,NA,NA,"C",NA,3,"B","C",1,NA,NA,1,NA,NA,NA,1,2,"E"
"57",3,NA,3,0,2,NA,NA,1,"B",3,9,NA,NA,0,NA,"C",NA,3,NA,"B",3,3,"E",NA,NA,"9",1,4,1,NA,NA,3,2,NA,1,3,0,3,NA,2,"A",9,1,3,3,3,NA,NA,NA,2,3,1,2,3,NA,3,NA,NA,NA,NA,NA,NA,"F",NA,2,"9","9",1,NA,NA,1,NA,NA,NA,2,2,"E"
"58",0,NA,2,0,2,NA,NA,1,"A",3,9,NA,NA,9,NA,"F",NA,2,NA,"B",1,2,"8",NA,NA,"B",3,4,1,NA,NA,3,2,NA,2,1,0,3,NA,1,"D",0,2,3,3,2,NA,NA,NA,2,2,9,3,2,NA,3,NA,NA,NA,NA,NA,NA,"C",NA,3,"C","F",2,NA,NA,1,NA,NA,NA,3,2,"E"
"59",0,NA,1,0,2,NA,NA,1,"A",3,9,NA,NA,9,NA,"C",NA,3,NA,"B",3,3,"B",NA,NA,"F",1,4,2,NA,NA,3,2,NA,3,2,0,3,NA,3,"A",9,2,3,3,2,NA,NA,NA,2,2,9,2,2,NA,1,NA,NA,NA,NA,NA,NA,"F",NA,2,"D","C",2,NA,NA,3,NA,NA,NA,2,3,"E"
"60",0,NA,1,1,1,NA,NA,3,"A",2,9,NA,NA,9,NA,"F",NA,3,NA,"B",3,3,"8",NA,NA,"B",1,4,3,NA,NA,4,1,NA,1,3,0,3,NA,3,"A",9,1,3,3,2,NA,NA,NA,2,3,9,2,3,NA,3,NA,NA,NA,NA,NA,NA,"8",NA,3,"D","C",1,NA,NA,1,NA,NA,NA,2,3,"E"
"61",0,3,NA,1,NA,1,2,NA,"F",NA,9,2,3,9,2,"F",3,NA,3,"B",NA,NA,"A",2,2,"C",NA,NA,NA,1,2,NA,NA,2,NA,NA,0,NA,3,NA,"A",9,NA,NA,NA,NA,3,3,2,NA,NA,9,NA,NA,1,NA,2,3,2,3,2,1,"C",1,NA,"B","D",NA,2,2,NA,2,2,3,NA,NA,"E"
"62",0,3,NA,1,NA,1,2,NA,"D",NA,9,3,2,9,1,"F",1,NA,2,"B",NA,NA,"E",3,3,"F",NA,NA,NA,2,1,NA,NA,3,NA,NA,1,NA,1,NA,"9",1,NA,NA,NA,NA,1,2,3,NA,NA,1,NA,NA,3,NA,1,1,1,2,1,1,"C",1,NA,"A","C",NA,2,1,NA,2,3,3,NA,NA,"E"
"63",0,NA,1,0,1,NA,NA,1,"A",1,0,NA,NA,9,NA,"E",NA,1,NA,"B",2,3,"B",NA,NA,"F",1,4,2,NA,NA,4,2,NA,3,1,0,3,NA,3,"F",0,3,2,3,2,NA,NA,NA,2,3,8,1,3,NA,1,NA,NA,NA,NA,NA,NA,"C",NA,2,"E","D",2,NA,NA,1,NA,NA,NA,2,3,"A"
"64",0,NA,3,1,2,NA,NA,1,"B",2,9,NA,NA,9,NA,"C",NA,2,NA,"B",3,3,"A",NA,NA,"F",2,4,2,NA,NA,3,2,NA,1,1,0,2,NA,3,"A",0,3,3,3,2,NA,NA,NA,1,2,1,3,3,NA,3,NA,NA,NA,NA,NA,NA,"F",NA,2,"D","C",2,NA,NA,3,NA,NA,NA,3,2,"E"
"65",0,NA,3,0,1,NA,NA,2,"D",3,9,NA,NA,9,NA,"D",NA,3,NA,"B",3,3,"F",NA,NA,"B",3,4,3,NA,NA,3,2,NA,3,2,0,3,NA,3,"A",9,2,1,3,3,NA,NA,NA,3,2,9,3,3,NA,1,NA,NA,NA,NA,NA,NA,"C",NA,2,"C","A",3,NA,NA,2,NA,NA,NA,2,3,"E"
"66",0,NA,2,1,1,NA,NA,1,"D",3,9,NA,NA,1,NA,"F",NA,2,NA,"B",3,3,"F",NA,NA,"B",1,4,2,NA,NA,3,2,NA,1,1,0,3,NA,3,"A",0,2,3,3,3,NA,NA,NA,3,3,9,2,3,NA,3,NA,NA,NA,NA,NA,NA,"C",NA,2,"A","C",2,NA,NA,3,NA,NA,NA,1,2,"E"
"67",0,NA,8,1,2,NA,NA,1,"A",3,0,NA,NA,9,NA,"C",NA,3,NA,"D",3,3,"E",NA,NA,"B",8,4,1,NA,NA,3,2,NA,3,1,0,3,NA,3,"A",0,1,3,3,2,NA,NA,NA,1,2,0,3,3,NA,8,NA,NA,NA,NA,NA,NA,"F",NA,2,"8","C",3,NA,NA,1,NA,NA,NA,3,3,"B"
"68",0,NA,2,1,1,NA,NA,1,"D",3,0,NA,NA,9,NA,"F",NA,3,NA,"B",3,3,"A",NA,NA,"B",1,4,3,NA,NA,3,2,NA,2,1,0,3,NA,3,"A",8,1,3,3,3,NA,NA,NA,3,3,0,2,3,NA,3,NA,NA,NA,NA,NA,NA,"C",NA,3,"F","C",2,NA,NA,1,NA,NA,NA,2,2,"E"
