"","I01","I02","I03","I04","I05","I06","I07","I08","I09","I10","I11","I12","I13","I14","I15","I16","I17","I18","I19","I20","I21","I22","I23","I24","I25","I26","I27","I28","I29","I30","I31","I32","I33","I34","I35","I36","I37"
"30",0,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,1,3,2,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1
"31",1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,4,3,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0
"32",1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,4,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1
"33",1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,2,2,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1
"34",1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,4,3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"35",0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
"36",1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,2,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1
"37",1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,1,4,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0
"38",1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,2,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1
"39",1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,2,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0
"40",0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,4,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
"41",1,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,2,4,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1
"42",1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0,2,4,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1
"43",1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,4,2,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0
"44",1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0
"45",1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,2,3,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1
"46",1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,3,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1
"47",1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,4,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1
"48",1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,2,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1
"49",1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,2,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1
"50",1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,4,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1
"51",1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,2,3,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1
"52",1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,4,4,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1
"53",1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,4,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1
"54",1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,4,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0
"55",0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,4,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1
"56",1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,2,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1
"57",1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,2,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0
"58",1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,3,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0
"59",1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0
"60",1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
"61",1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1
"62",1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,4,3,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1
"63",1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,4,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1
"64",1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0
"65",1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,3,2,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"66",1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0
"67",1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,4,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1
"68",1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1
"69",1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,4,3,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1
"70",1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1
"71",1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,1,1,1,0,2,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1
"72",1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,4,2,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1
"73",1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,4,3,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
"74",0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
"75",0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,4,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0
"76",1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,4,2,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1
"77",1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,2,2,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1
"78",1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1
"79",1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,4,3,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
"80",1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"81",1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1
"82",1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1
"83",1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,4,4,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
"84",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,4,3,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1
"85",1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,2,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
"86",1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,2,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1
"87",1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,2,3,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1
"88",1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,4,4,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0
"89",1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,4,2,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
"90",1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,0,4,3,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
"91",0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
"92",1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,4,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,1
"93",1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,4,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1
"94",1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,4,4,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1
"95",1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,4,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1
"96",1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
"97",1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,2,2,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0
"98",1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,4,0,0,1,0,1,1,1,1,0,1,0,1,0,1,1,0
"99",1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,4,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1
"100",1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,4,3,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1
"101",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1
"102",1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0
"103",1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,4,2,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1
"104",0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,4,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0
"105",1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,4,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1
"106",1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
"107",1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,3,4,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
"108",1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,4,3,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1
"109",1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,4,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1
"110",1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,2,4,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0
"111",1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,4,2,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1
"112",1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,4,3,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
"113",1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,2,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1
"114",0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0
"115",1,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,4,4,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1
"116",1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,4,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1
"117",1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0
"118",1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,4,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0
"119",1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,2,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1
"120",1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,2,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1
"121",1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,2,3,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1
"122",1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,4,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0
"123",1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,3,2,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0
"124",1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,3,3,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0
"125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126",1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,4,3,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
"127",1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,0,4,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0
"128",1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1
"129",1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,4,2,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0
"130",1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,4,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1
"131",1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,4,3,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1
"132",1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,4,3,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1
"133",1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,2,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0
"134",1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0,4,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0
"135",1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,2,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1
"136",1,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,4,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0
"137",1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1
"138",1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,4,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1
"139",1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,4,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1
"140",1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,3,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1
"141",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"142",1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,2,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
"143",0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1
"144",1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0
"145",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"146",1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,4,3,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
"147",1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1
"148",0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,4,0,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0
"149",1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,4,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
"150",1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,2,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1
"151",1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,4,2,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1
"152",1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,4,4,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1
"153",1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,2,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0
"154",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,4,4,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
"155",1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"156",1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,4,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0
"157",1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,4,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0
"158",1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,4,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1
"159",1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,3,3,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1
"160",0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0
"161",1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,4,2,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1
"162",1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,4,2,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0
"163",1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,4,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1
"164",1,1,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,4,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
"165",1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,4,3,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
"166",1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0
"167",1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,3,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1
"168",1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,2,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1
"169",1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0,3,2,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"170",1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1
"171",1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,2,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0
"172",1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,4,3,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1
"173",1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0,4,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1
"174",1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,4,2,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0
"175",1,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,2,2,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1
"176",0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0
"177",1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,2,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
"178",1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,4,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
