"","G30801","G30802","G30803","G30804","G30805","G30806","G30807","G30808","G30809","G30810","G30811","G30812","G30813","G30814","G30815","G30816","G30817","G30818","G30819","G30820"
"201",0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1
"202",1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1
"203",1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1
"204",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"205",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0
"206",0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1
"207",1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
"208",1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1
"209",0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"210",1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
"211",1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"212",0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1
"213",1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1
"214",1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
"215",0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1
"216",1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1
"217",1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1
"218",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0
"219",0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0
"220",1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
"221",1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"222",0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"223",1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0
"224",1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"225",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"226",1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1
"227",1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0
"228",1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1
"229",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"230",1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"231",1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0
"232",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"233",0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
"234",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"235",1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"236",1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
"237",1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0
"238",1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1
"239",0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"240",1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0
"241",0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
"242",1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0
"243",1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0
"244",0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0
"245",0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1
"246",0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1
"247",1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0
"248",0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0
"249",1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0
"250",1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0
"251",1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1
"252",1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1
"253",1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0
"254",0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1
"255",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"256",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"257",0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0
"258",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"259",1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0
"260",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"261",1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0
"262",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
"263",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"264",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
"265",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"266",1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1
"267",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"268",1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1
"269",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"270",1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0
"271",0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1
"272",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"273",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
"274",0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1
"275",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"276",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"277",0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
"278",1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0
"279",1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1
"280",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"281",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
"282",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"283",0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0
"284",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"285",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"286",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
"287",1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1
"288",0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
"289",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"290",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"291",1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1
"292",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"293",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"294",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"295",1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1
"296",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
"297",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"298",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
"299",1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0
"300",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
"301",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
"302",1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
"303",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"304",1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0
"305",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
"306",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
"307",1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1
"308",1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
"309",1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0
"310",1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"311",1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0
"312",1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"313",1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
"314",1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0
"315",1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0
"316",1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"317",0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"318",1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0
"319",1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
"320",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0
"321",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0
