"","idstud","I1T1","I2T1","I3T1","I4T1","I5T1","I6T1","I3T2","I4T2","I5T2","I6T2","I7T2","I8T2"
"179",1179,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA
"180",1180,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"181",1181,1,1,1,1,1,1,1,1,1,1,1,1
"182",1182,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA
"183",1183,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1
"184",1184,1,1,1,1,1,0,NA,NA,NA,NA,NA,NA
"185",1185,1,1,0,1,1,0,NA,NA,NA,NA,NA,NA
"186",1186,1,1,1,1,0,0,1,1,1,0,0,0
"187",1187,1,1,1,1,1,1,1,1,0,1,1,1
"188",1188,1,1,1,0,0,0,1,0,0,0,0,0
"189",1189,1,1,1,1,1,1,1,1,1,1,1,1
"190",1190,1,1,1,1,1,0,1,1,1,1,1,0
"191",1191,1,1,0,1,1,0,1,1,1,0,1,0
"192",1192,1,1,0,0,0,0,1,1,1,0,0,0
"193",1193,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA
"194",1194,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"195",1195,1,1,0,1,1,0,1,1,1,1,1,1
"196",1196,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA
"197",1197,1,1,1,1,1,0,0,1,1,1,0,0
"198",1198,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"199",1199,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"200",1200,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA
