"","idstud","rater","crit2","crit3","crit4","crit6"
"174",10063,807,2,NA,NA,NA
"175",10064,813,3,1,2,3
"176",10064,817,1,2,2,3
"177",10065,821,2,2,3,4
"178",10065,833,3,3,2,4
"179",10066,836,2,2,2,3
"180",10066,832,3,2,3,3
"181",10067,852,3,3,2,3
"182",10067,826,2,2,2,4
"183",10068,842,1,3,2,3
"184",10068,838,1,3,2,3
"185",10069,849,0,1,3,3
"186",10069,809,0,1,1,3
"187",10070,812,2,2,2,4
"188",10070,844,0,2,2,4
"189",10071,833,2,2,2,4
"190",10071,843,2,2,2,2
"191",10072,801,0,0,0,4
"192",10072,831,0,1,1,4
"193",10073,838,2,2,2,3
"194",10073,808,2,2,2,4
"195",10074,816,3,2,2,3
"196",10074,827,1,2,3,4
"197",10075,811,1,2,3,3
"198",10075,851,1,2,2,3
"199",10076,838,0,0,2,3
"200",10076,833,1,2,2,3
"201",10077,852,1,1,2,4
"202",10077,809,2,2,2,4
"203",10078,818,2,2,2,4
"204",10078,810,2,2,2,4
"205",10079,836,2,2,2,4
"206",10079,817,3,2,2,4
"207",10080,815,0,0,2,4
"208",10080,827,1,2,2,3
"209",10081,836,3,3,3,4
"210",10081,840,2,3,2,4
"211",10082,831,3,2,2,4
"212",10082,807,3,2,2,3
"213",10083,837,1,3,2,2
"214",10083,850,1,2,1,2
"215",10084,801,1,1,2,1
"216",10084,849,3,2,2,3
"217",10085,805,1,1,2,3
"218",10085,836,2,2,2,2
"219",10085,830,2,3,2,2
"220",10085,837,2,2,2,2
"221",10085,804,2,1,2,3
"222",10085,824,3,3,3,4
"223",10085,822,2,1,2,3
"224",10085,823,2,1,2,3
"225",10085,801,1,1,2,3
"226",10085,839,1,3,2,2
"227",10085,848,3,3,3,3
"228",10085,820,2,2,2,2
"229",10085,812,2,1,2,1
"230",10085,852,2,3,3,3
"231",10085,813,1,3,2,3
"232",10085,846,2,3,3,2
"233",10085,819,3,3,3,3
"234",10085,840,2,3,2,2
"235",10085,803,1,2,2,2
"236",10085,815,3,3,3,2
"237",10085,842,2,1,1,2
"238",10085,838,1,1,2,3
"239",10085,818,2,2,3,2
"240",10085,816,2,3,2,1
"241",10085,845,2,1,2,3
"242",10085,849,2,1,2,2
"243",10085,828,2,3,2,3
"244",10085,811,2,3,3,3
"245",10085,844,2,3,3,3
"246",10085,808,1,2,2,4
"247",10085,809,2,2,2,1
"248",10085,817,2,3,2,2
"249",10085,821,2,2,2,3
"250",10085,833,1,1,2,3
"251",10085,847,2,1,2,3
"252",10085,850,1,1,2,2
"253",10085,825,2,2,2,3
"254",10085,829,1,2,2,3
"255",10085,831,2,2,3,2
"256",10085,826,2,3,2,3
"257",10085,814,2,2,3,2
"258",10085,834,2,3,2,1
"259",10085,835,1,1,3,3
"260",10085,832,2,0,2,3
"261",10085,841,1,1,2,3
"262",10085,802,3,2,2,4
"263",10085,843,2,3,2,1
"264",10085,806,2,2,2,1
"265",10085,827,1,2,2,3
"266",10085,851,1,1,3,2
"267",10085,810,2,3,2,2
"268",10085,807,2,3,3,3
"269",10086,811,3,3,3,4
"270",10086,829,2,3,2,4
"271",10087,803,0,1,1,3
"272",10087,832,1,0,1,3
"273",10088,816,1,1,NA,2
"274",10088,807,NA,NA,1,NA
"275",10089,840,1,2,2,4
"276",10089,833,1,2,1,3
"277",10090,838,3,3,3,2
"278",10090,833,3,3,3,3
"279",10091,804,2,2,2,3
"280",10091,821,1,1,1,3
"281",10092,822,2,3,3,4
"282",10092,803,0,0,2,3
"283",10093,845,1,2,2,3
"284",10093,808,2,2,2,4
"285",10094,839,0,2,1,3
"286",10094,842,1,1,2,3
"287",10095,808,2,2,3,4
"288",10095,814,1,2,1,4
"289",10096,823,3,2,2,4
"290",10096,820,1,1,1,3
"291",10097,805,3,3,1,4
"292",10097,836,2,2,2,4
"293",10097,830,3,2,2,3
"294",10097,837,3,2,2,4
"295",10097,804,2,2,2,4
"296",10097,824,2,2,1,3
"297",10097,822,3,2,2,3
"298",10097,823,2,2,2,4
"299",10097,801,2,2,2,3
"300",10097,839,3,2,2,3
"301",10097,848,3,2,2,4
"302",10097,820,2,2,2,4
"303",10097,812,3,2,2,4
"304",10097,852,3,2,1,4
"305",10097,813,1,2,2,3
"306",10097,846,3,2,2,3
"307",10097,819,3,2,2,2
"308",10097,840,3,2,3,4
"309",10097,803,3,2,2,2
"310",10097,815,3,3,3,4
"311",10097,842,2,3,2,4
"312",10097,838,1,2,2,4
"313",10097,818,2,2,2,3
"314",10097,816,3,2,2,3
"315",10097,845,2,2,2,3
"316",10097,849,2,2,2,3
"317",10097,828,2,2,2,4
"318",10097,811,2,2,2,4
"319",10097,844,3,2,2,4
"320",10097,808,3,3,2,4
"321",10097,809,2,2,2,2
"322",10097,817,3,3,2,4
"323",10097,821,3,3,2,4
"324",10097,833,2,2,2,4
"325",10097,847,2,1,2,3
"326",10097,850,3,2,2,4
"327",10097,825,3,2,2,3
"328",10097,829,3,2,2,4
"329",10097,831,2,1,2,4
"330",10097,826,2,2,2,3
"331",10097,814,2,2,2,3
"332",10097,834,2,2,2,2
"333",10097,835,2,2,1,3
"334",10097,832,3,2,2,4
"335",10097,841,3,2,1,4
"336",10097,802,2,2,2,4
"337",10097,843,2,2,2,2
"338",10097,806,2,2,2,2
"339",10097,827,2,2,2,3
"340",10097,851,3,3,2,2
"341",10097,810,2,2,2,4
"342",10097,807,3,2,2,4
"343",10098,802,2,2,2,3
"344",10098,810,2,2,2,3
"345",10099,842,1,2,2,4
"346",10099,831,1,2,3,4
"347",10100,815,3,2,2,4
"348",10100,806,1,2,2,4
"349",10101,840,1,2,2,3
"350",10101,826,0,0,2,4
"351",10102,803,0,1,2,3
"352",10102,849,1,2,3,3
"353",10103,839,3,3,2,3
"354",10103,828,3,2,3,3
"355",10104,849,2,2,2,3
"356",10104,832,2,1,2,3
"357",10105,816,1,2,2,2
"358",10105,817,0,2,2,3
"359",10106,820,1,1,1,3
"360",10106,808,3,3,2,4
"361",10107,838,3,3,2,4
"362",10107,807,1,3,3,3
"363",10109,802,2,3,NA,4
"364",10109,807,NA,NA,2,NA
"365",10110,824,2,3,3,3
"366",10110,821,3,3,3,3
"367",10111,838,1,1,3,3
"368",10111,811,1,2,3,3
"369",10112,842,1,1,1,4
"370",10112,834,1,2,3,4
"371",10113,822,3,3,3,3
"372",10113,845,0,1,2,3
"373",10114,845,1,2,2,4
"374",10114,850,2,2,2,3
"375",10115,801,1,1,2,4
"376",10115,814,1,1,1,4
"377",10116,824,1,1,1,4
"378",10116,814,1,1,1,4
"379",10117,836,1,1,2,4
"380",10117,809,1,2,1,4
"381",10118,834,1,2,2,3
"382",10118,806,1,2,2,3
"383",10119,804,3,2,2,4
"384",10119,838,3,3,2,4
"385",10120,848,0,1,1,3
"386",10120,851,1,1,2,3
"387",10121,846,3,3,3,3
"388",10121,829,2,1,2,4
"389",10122,821,2,2,2,3
"390",10123,822,3,2,3,3
"391",10123,851,2,2,2,3
"392",10124,835,1,2,NA,2
"393",10124,807,NA,NA,2,NA
"394",10125,812,2,2,2,4
"395",10125,847,3,2,2,4
"396",10126,847,2,2,2,4
"397",10126,802,2,2,2,4
"398",10127,826,1,1,2,4
"399",10127,834,1,2,2,2
"400",10128,831,2,2,3,3
"401",10128,826,2,2,3,4
"402",10129,848,3,2,2,NA
"403",10129,849,1,1,2,4
"404",10130,840,2,2,2,3
"405",10130,807,3,2,3,3
"406",10131,852,0,0,1,3
"407",10132,836,3,3,3,3
"408",10132,830,2,1,2,2
"409",10132,837,3,2,3,3
"410",10132,804,3,0,2,2
"411",10132,824,3,2,2,3
"412",10132,822,2,3,2,2
"413",10132,823,3,2,3,3
"414",10132,801,3,2,2,2
"415",10132,839,3,3,2,3
"416",10132,848,3,3,2,3
"417",10132,820,2,2,2,3
"418",10132,812,3,2,2,3
"419",10132,852,3,3,3,3
"420",10132,813,3,3,2,3
"421",10132,846,3,3,2,2
"422",10132,819,3,3,2,2
"423",10132,840,3,3,2,3
"424",10132,803,0,0,1,2
"425",10132,815,3,3,3,4
"426",10132,842,3,3,2,3
"427",10133,837,1,2,3,4
"428",10133,801,0,0,2,4
"429",10134,845,2,1,2,3
"430",10135,801,2,2,2,2
"431",10135,847,3,3,3,3
"432",10136,848,2,2,2,4
"433",10136,851,2,2,3,3
"434",10137,808,2,2,2,4
"435",10137,851,2,2,1,3
"436",10138,803,0,2,2,4
"437",10138,815,1,2,2,4
"438",10139,801,2,2,2,2
"439",10139,821,2,2,2,3
"440",10140,846,2,2,2,2
"441",10140,831,2,2,1,3
"442",10141,826,1,0,1,3
"443",10141,810,1,1,1,3
"444",10142,816,2,2,1,1
"445",10142,809,2,2,2,3
"446",10143,828,3,2,3,4
"447",10143,832,3,2,3,4
"448",10144,849,3,2,3,3
"449",10144,833,3,3,3,3
"450",10145,828,2,2,NA,3
"451",10145,807,NA,NA,2,NA
"452",10146,803,2,3,2,3
"453",10146,811,2,3,3,3
"454",10147,824,2,3,2,3
"455",10147,841,3,3,3,3
"456",10148,820,1,1,1,3
"457",10148,825,0,2,1,4
"458",10149,819,3,3,2,4
"459",10149,821,3,2,3,4
"460",10150,808,1,2,1,4
"461",10150,847,1,2,1,4
"462",10151,839,3,2,2,3
"463",10151,829,3,3,2,3
"464",10152,804,3,2,NA,4
"465",10152,807,NA,NA,2,NA
"466",10153,825,2,2,1,4
"467",10153,827,0,2,2,4
"468",10154,812,2,1,2,3
"469",10154,817,1,2,2,3
"470",10155,804,3,2,2,3
"471",10155,833,3,3,2,3
"472",10156,809,2,3,2,2
"473",10156,841,3,3,3,3
"474",10157,838,0,2,NA,3
"475",10157,807,NA,NA,3,NA
"476",10158,822,3,3,2,4
"477",10158,812,3,3,3,4
"478",10159,830,3,2,2,4
"479",10159,839,3,3,3,4
"480",10160,836,2,2,2,3
"481",10160,815,3,3,2,4
"482",10161,836,1,1,2,2
"483",10161,830,1,1,1,2
"484",10161,837,1,2,2,3
"485",10161,804,0,1,2,2
"486",10161,824,0,1,2,3
"487",10161,822,1,1,2,3
"488",10161,823,2,2,2,3
"489",10161,801,0,1,2,3
"490",10161,839,1,1,2,3
"491",10161,848,0,0,2,2
"492",10161,820,1,1,1,3
"493",10161,812,1,2,2,1
"494",10161,852,0,0,1,3
"495",10161,813,0,1,1,3
"496",10161,846,2,3,2,1
"497",10161,819,1,1,2,2
"498",10161,840,0,0,2,1
"499",10161,803,0,0,2,2
"500",10161,815,1,2,1,NA
"501",10161,842,1,0,1,3
"502",10162,836,1,1,1,3
"503",10162,830,2,1,1,3
"504",10162,837,3,3,NA,4
"505",10162,804,1,0,1,3
"506",10162,824,0,1,1,3
"507",10162,822,2,2,2,3
"508",10162,823,2,0,1,3
"509",10162,801,1,1,1,3
"510",10162,839,2,1,1,3
"511",10162,848,1,2,1,3
"512",10162,820,1,1,1,4
"513",10162,812,2,1,2,2
"514",10162,852,0,1,1,3
"515",10162,813,0,1,2,2
"516",10162,846,3,2,1,3
"517",10162,819,1,1,1,4
"518",10162,840,1,1,2,2
"519",10162,803,1,0,1,3
"520",10162,815,1,1,1,4
"521",10162,842,2,2,2,4
"522",10163,836,2,2,2,2
"523",10163,852,3,3,3,3
"524",10164,808,0,0,1,4
"525",10164,814,0,2,1,4
"526",10165,809,2,2,2,3
"527",10165,850,3,2,2,3
"528",10166,844,1,2,2,2
"529",10166,834,2,3,1,2
"530",10167,817,0,2,2,3
"531",10167,829,1,2,2,3
"532",10168,846,2,2,2,3
"533",10168,827,3,1,1,4
"534",10169,838,2,2,2,2
"535",10169,802,2,2,2,2
"536",10170,838,1,1,2,3
"537",10170,826,1,1,2,3
"538",10171,842,1,1,1,4
"539",10171,818,1,1,0,4
"540",10172,808,0,0,0,4
"541",10173,822,2,2,2,3
"542",10173,817,2,2,2,2
"543",10174,813,3,3,2,4
"544",10174,815,3,3,3,4
"545",10176,832,2,3,2,3
"546",10176,802,2,2,2,4
"547",10177,815,2,3,2,4
"548",10177,845,1,2,2,4
"549",10178,836,2,2,2,3
"550",10178,828,2,2,2,3
"551",10179,801,2,3,2,2
"552",10179,839,3,2,2,4
"553",10180,818,0,1,2,2
"554",10180,821,1,2,1,2
"555",10181,834,0,2,2,3
"556",10181,851,1,0,2,3
"557",10182,822,2,1,2,3
"558",10182,835,1,1,2,3
"559",10183,803,0,1,1,3
"560",10183,810,1,1,1,2
"561",10184,814,2,2,2,4
"562",10184,834,2,3,2,4
"563",10185,823,2,1,1,4
"564",10185,816,2,1,1,3
"565",10186,805,1,1,1,3
"566",10186,836,2,2,2,3
"567",10186,830,2,2,2,3
"568",10186,837,2,2,2,3
"569",10186,804,2,1,2,3
"570",10186,824,3,2,2,3
"571",10186,822,2,1,1,3
"572",10186,823,2,1,2,3
"573",10186,801,2,2,1,3
"574",10186,839,2,2,2,3
"575",10186,848,0,2,2,3
"576",10186,820,2,2,2,3
"577",10186,812,2,1,1,3
"578",10186,852,2,2,1,3
"579",10186,813,2,2,2,3
"580",10186,846,2,2,1,3
"581",10186,819,3,1,2,3
"582",10186,840,2,2,2,3
"583",10186,803,1,1,1,3
"584",10186,815,2,2,2,3
"585",10186,842,2,1,1,3
"586",10186,838,1,1,2,3
"587",10186,818,2,1,2,3
"588",10186,816,2,2,1,3
"589",10186,845,2,1,2,3
"590",10186,849,2,1,1,3
"591",10186,828,2,2,2,3
"592",10186,811,1,1,2,3
"593",10186,844,2,1,2,3
"594",10186,808,2,2,2,3
"595",10186,809,2,1,2,3
"596",10186,817,2,2,2,3
"597",10186,821,1,2,1,3
"598",10186,833,2,2,2,3
"599",10186,847,2,2,2,3
"600",10186,850,2,1,2,3
"601",10186,825,2,2,2,3
"602",10186,829,2,1,1,3
"603",10186,831,2,1,1,3
"604",10186,826,2,1,2,4
"605",10186,814,1,2,2,3
"606",10186,834,2,2,2,3
"607",10186,835,2,0,2,3
"608",10186,832,2,2,2,3
"609",10186,841,2,2,2,3
"610",10186,802,2,2,3,3
"611",10186,843,2,2,2,3
"612",10186,806,2,2,2,3
"613",10186,827,3,0,2,3
"614",10186,851,2,2,2,3
"615",10186,810,2,2,2,3
"616",10186,807,2,2,2,3
"617",10187,825,2,2,2,2
"618",10187,835,0,2,1,3
"619",10188,836,1,1,2,3
"620",10188,823,2,2,2,3
"621",10189,811,1,1,2,3
"622",10189,808,2,2,2,3
"623",10190,836,3,3,3,4
"624",10190,806,3,3,3,4
"625",10191,828,1,2,2,2
"626",10191,821,1,1,1,2
"627",10192,814,1,2,2,3
"628",10192,802,2,3,2,4
"629",10193,813,2,2,2,2
"630",10193,832,3,2,2,2
"631",10194,849,3,2,2,3
"632",10194,807,1,2,2,3
"633",10195,837,2,2,2,4
"634",10195,810,1,1,1,4
"635",10196,805,1,0,1,3
"636",10196,836,1,1,1,3
"637",10196,830,2,1,1,3
"638",10196,837,2,2,1,3
"639",10196,804,2,1,1,3
"640",10196,824,2,2,1,3
"641",10196,822,2,2,1,3
"642",10196,823,1,2,1,3
"643",10196,801,1,0,1,3
"644",10196,839,2,2,1,3
"645",10196,848,1,1,1,3
"646",10196,820,1,1,1,4
"647",10196,812,2,1,1,4
"648",10196,852,1,1,0,3
"649",10196,813,1,1,1,3
"650",10196,846,1,2,1,2
"651",10196,819,2,2,1,3
"652",10196,840,1,1,1,3
"653",10196,803,2,1,0,3
"654",10196,815,2,1,1,3
"655",10196,842,2,2,1,4
"656",10196,838,1,1,1,3
"657",10196,818,1,1,1,3
"658",10196,816,2,1,1,3
"659",10196,845,1,1,0,4
"660",10196,849,2,2,1,3
"661",10196,828,1,1,1,NA
"662",10196,811,1,1,1,3
"663",10196,844,2,2,1,3
"664",10196,808,1,1,1,4
"665",10196,809,1,2,1,3
"666",10196,817,1,2,1,4
"667",10196,821,1,1,1,3
"668",10196,833,2,2,1,3
"669",10196,847,2,0,1,3
"670",10196,825,1,1,1,3
"671",10196,829,2,2,0,3
"672",10196,831,1,1,1,3
"673",10196,826,2,2,2,4
"674",10196,814,1,1,1,3
"675",10196,834,1,2,1,3
"676",10196,835,1,1,1,3
"677",10196,832,1,0,1,3
"678",10196,841,0,1,1,3
"679",10196,802,2,1,1,4
"680",10196,843,2,2,1,3
"681",10196,806,2,2,1,3
"682",10196,827,2,2,1,3
"683",10196,851,2,2,1,3
"684",10196,810,1,1,1,3
"685",10196,807,2,2,1,3
"686",10197,848,NA,0,1,3
"687",10197,807,1,NA,NA,NA
"688",10198,845,2,2,1,3
"689",10198,811,2,2,1,3
"690",10199,835,2,2,NA,4
"691",10199,807,NA,NA,2,NA
"692",10200,852,0,0,1,3
"693",10200,813,0,0,2,3
"694",10201,812,1,1,1,3
"695",10201,827,0,0,2,3
"696",10202,848,2,2,1,0
"697",10202,832,1,0,0,0
"698",10203,839,1,2,1,3
"699",10203,813,1,1,2,2
"700",10204,803,0,1,1,0
"701",10204,841,1,1,1,0
"702",10205,840,2,2,2,4
"703",10205,825,3,3,3,4
"704",10206,815,2,2,NA,2
"705",10206,807,NA,NA,1,NA
"706",10207,801,1,1,1,3
"707",10207,846,0,1,1,3
"708",10208,815,2,2,2,3
"709",10208,809,3,2,2,2
"710",10209,824,1,2,2,2
"711",10209,815,3,3,2,3
"712",10210,852,0,2,1,2
"713",10210,828,1,2,1,2
"714",10211,833,1,1,2,2
"715",10211,814,1,2,1,3
"716",10212,821,1,1,1,2
"717",10212,835,0,1,1,3
"718",10213,852,NA,3,1,3
"719",10213,807,2,NA,NA,NA
"720",10214,804,1,0,2,2
"721",10214,823,2,1,1,3
"722",10215,805,0,0,1,3
"723",10215,836,1,1,2,3
"724",10215,830,1,1,1,3
"725",10215,837,0,1,2,3
"726",10215,804,0,1,1,2
"727",10215,824,0,0,1,3
"728",10215,822,1,3,1,0
"729",10215,823,0,0,1,2
"730",10215,801,1,1,2,2
"731",10215,839,1,1,2,3
"732",10215,848,0,1,1,2
"733",10215,820,1,1,1,4
"734",10215,812,1,1,2,3
"735",10215,852,0,0,0,3
"736",10215,813,0,1,1,3
"737",10215,846,1,1,2,2
"738",10215,819,1,0,1,3
"739",10215,840,1,1,2,2
"740",10215,803,0,0,1,3
"741",10215,815,1,1,2,3
"742",10215,842,0,1,1,3
"743",10215,838,1,1,2,3
"744",10215,818,0,0,2,3
"745",10215,816,0,1,2,3
"746",10215,845,0,1,1,4
"747",10215,849,1,1,1,3
"748",10215,828,1,2,2,3
"749",10215,811,0,0,1,3
"750",10215,844,0,0,1,4
"751",10215,808,1,1,2,4
"752",10215,809,1,1,1,3
"753",10215,817,0,1,2,3
"754",10215,821,1,1,1,3
"755",10215,833,1,1,2,3
"756",10215,847,1,1,1,3
"757",10215,850,1,1,1,3
"758",10215,825,1,1,1,3
"759",10215,829,0,0,1,3
"760",10215,831,0,1,1,3
"761",10215,826,1,1,2,4
"762",10215,814,1,1,1,3
"763",10215,834,1,1,1,3
"764",10215,835,1,1,2,3
"765",10215,832,1,1,1,3
"766",10215,841,0,1,1,3
"767",10215,802,1,1,1,3
"768",10215,843,1,1,1,3
"769",10215,806,1,1,1,3
"770",10215,827,0,0,2,3
"771",10215,851,1,0,2,3
"772",10215,810,0,1,2,4
"773",10215,807,1,2,1,4
"774",10216,847,2,1,1,3
"775",10216,807,2,2,2,3
"776",10217,852,1,0,1,1
"777",10217,832,0,0,1,2
"778",10218,839,1,2,2,3
"779",10218,841,2,2,1,3
"780",10219,842,1,2,2,3
"781",10219,831,1,2,2,4
"782",10220,833,2,2,2,4
"783",10220,831,1,2,2,4
"784",10221,846,3,3,2,2
"785",10221,845,0,1,1,2
"786",10222,820,1,1,1,4
"787",10222,840,2,2,2,2
"788",10223,846,2,2,1,2
"789",10223,808,2,3,1,4
"790",10224,830,2,1,1,1
"791",10224,835,1,2,NA,1
"792",10225,838,1,1,2,3
"793",10225,810,2,2,1,2
"794",10226,805,0,0,1,2
"795",10226,836,1,1,2,1
"796",10226,830,1,1,1,1
"797",10226,837,1,1,2,2
"798",10226,804,0,0,1,2
"799",10226,824,0,1,1,0
"800",10226,822,1,2,1,1
"801",10226,823,3,2,2,2
"802",10226,801,0,0,1,0
"803",10226,839,1,1,2,2
"804",10226,848,2,1,1,1
"805",10226,820,1,1,1,0
"806",10226,812,0,0,1,1
"807",10226,852,0,0,0,2
"808",10226,813,0,1,1,2
"809",10226,846,1,1,1,0
"810",10226,819,0,0,1,1
"811",10226,840,0,1,1,1
"812",10226,803,0,0,0,0
"813",10226,815,1,1,1,0
"814",10226,842,0,0,1,2
"815",10226,838,0,0,1,1
"816",10226,818,0,0,1,2
"817",10226,816,1,1,1,0
"818",10226,845,1,0,0,2
"819",10226,849,0,0,1,0
"820",10226,828,0,0,1,2
"821",10226,811,0,0,1,0
"822",10226,844,0,0,0,0
"823",10226,808,2,2,1,2
"824",10226,809,1,1,1,0
"825",10226,817,0,1,1,2
"826",10226,821,1,1,1,2
"827",10226,833,1,0,1,0
"828",10226,847,2,0,1,1
"829",10226,850,2,1,1,1
"830",10226,825,1,0,1,1
"831",10226,829,0,0,1,0
"832",10226,831,0,0,1,2
"833",10226,826,0,0,1,0
"834",10226,814,1,1,1,2
"835",10226,834,0,1,1,0
"836",10226,835,0,2,1,1
"837",10226,832,0,0,1,2
"838",10226,841,0,0,1,1
"839",10226,802,1,1,1,3
"840",10226,843,1,1,1,0
"841",10226,806,1,1,1,0
"842",10226,827,1,2,1,2
"843",10226,851,2,1,1,0
"844",10226,810,1,0,2,1
"845",10226,807,1,0,1,1
"846",10227,819,1,1,2,2
"847",10227,814,1,1,2,3
"848",10228,846,1,1,1,3
"849",10228,819,1,0,1,3
"850",10229,833,1,2,1,2
"851",10229,810,0,1,1,1
"852",10230,839,2,2,2,2
"853",10230,812,NA,2,2,2
"854",10231,813,0,1,2,3
"855",10231,847,1,2,2,3
"856",10232,821,2,2,2,2
"857",10232,847,2,2,2,2
"858",10233,822,1,2,1,2
"859",10233,818,2,2,1,2
"860",10234,812,2,1,2,4
"861",10234,843,2,2,2,4
"862",10235,840,1,1,1,0
"863",10236,814,1,2,1,3
"864",10236,851,1,2,2,3
"865",10237,804,2,1,2,2
"866",10237,826,1,1,1,2
"867",10238,838,0,1,1,2
"868",10238,843,1,1,0,0
