"","A1","A2","A3","A4","B1","B2","B3","B4","C1","C2","C3","C4"
"850",1,1,1,1,1,1,1,1,1,1,1,1
"851",1,1,1,1,1,1,1,1,1,1,1,1
"870",1,1,1,0,1,0,1,0,1,0,1,1
"872",1,1,1,0,1,1,1,1,1,1,1,0
"891",1,1,1,1,1,0,1,1,1,1,1,1
"893",1,1,1,1,1,0,1,1,1,1,1,1
"914",1,1,1,0,1,1,1,1,1,1,1,1
"916",1,1,0,0,1,0,1,1,1,1,1,1
"936",1,1,0,0,1,1,1,1,1,1,1,1
"938",1,1,1,1,1,0,1,1,1,1,1,1
"959",1,1,1,1,1,0,1,1,1,0,1,1
"961",1,1,1,1,1,1,1,1,1,1,1,1
"982",0,1,1,0,1,0,1,1,1,1,1,1
"984",1,1,0,0,0,1,1,0,1,1,1,1
"1005",1,1,0,0,1,0,1,1,0,1,1,0
"1007",1,1,1,1,0,0,1,1,1,1,1,1
"1027",1,1,1,1,1,1,1,1,1,1,1,1
"1028",1,1,0,0,1,1,0,1,1,1,0,1
"1043",1,1,1,1,0,1,1,1,1,0,1,1
"1045",1,1,1,1,1,0,1,1,1,1,1,1
"1064",1,1,0,0,1,1,1,1,1,0,0,0
"1066",1,1,1,1,1,1,1,0,1,1,1,1
"1088",1,0,1,0,0,0,1,1,1,0,1,1
"1089",1,0,1,0,1,1,1,0,1,0,1,0
"1108",1,1,0,1,1,1,1,1,1,1,1,0
"1110",1,1,1,0,1,0,1,1,1,0,1,1
"1125",1,1,0,1,1,0,1,1,1,1,1,1
"1127",1,1,1,1,1,1,1,1,1,1,1,1
"1148",1,1,1,1,1,1,1,1,1,1,1,1
"1150",1,1,1,1,1,0,1,1,1,1,1,1
"1164",1,1,0,0,1,0,1,1,1,1,1,0
"1186",1,0,0,1,1,0,1,1,0,1,1,1
"1188",1,1,1,1,0,0,0,1,1,1,1,1
"1207",1,0,0,1,0,0,0,0,1,1,0,0
"1209",0,0,0,0,0,1,1,0,1,1,1,1
"1229",1,1,0,1,0,0,1,1,1,0,1,1
"1248",1,1,1,1,1,1,1,1,1,1,1,1
"1250",1,1,1,0,1,1,1,1,1,1,1,1
"1270",1,1,0,0,1,1,1,0,1,1,1,1
"1272",1,1,0,1,0,0,1,1,1,1,1,1
"1293",1,1,1,0,1,1,1,1,1,1,1,1
"1295",1,1,0,0,1,0,1,0,1,1,1,1
"1315",0,0,0,0,0,1,1,0,1,0,1,1
"1338",1,1,0,0,1,1,1,1,1,1,1,1
"1358",1,1,1,1,1,0,1,1,1,1,1,1
"1360",1,1,0,0,0,1,1,1,1,0,1,1
"1379",0,0,0,0,0,0,1,1,1,0,1,1
"1381",1,1,1,1,1,1,1,0,1,1,1,1
"1400",0,0,0,0,1,1,1,0,1,1,1,0
"1422",1,1,1,1,1,1,1,1,1,1,1,1
"1424",1,1,1,1,1,1,1,0,1,1,1,1
"1445",1,1,1,1,1,1,1,1,1,1,1,1
"1447",1,1,0,0,0,0,1,0,1,0,1,1
"1467",1,1,1,0,0,0,1,0,1,1,1,1
"1469",0,0,1,0,0,0,1,1,1,0,1,1
"1489",1,0,0,1,1,1,1,1,1,0,0,1
"1491",1,1,1,0,1,1,1,1,1,1,1,1
"1508",0,1,1,0,1,1,1,0,1,1,1,1
"1529",1,1,1,1,1,0,1,0,1,1,1,1
"1530",1,0,0,0,0,0,1,1,0,0,0,0
"1550",1,1,1,1,1,1,1,1,1,1,1,1
"1552",1,0,0,0,1,1,1,1,1,1,1,1
"1571",1,1,1,1,1,0,1,1,1,1,1,1
"1572",1,1,0,1,0,0,1,1,1,1,1,1
"1593",1,1,0,0,0,0,1,0,1,0,1,0
"1615",1,1,1,0,0,0,0,1,1,1,1,0
"1616",1,1,0,1,1,0,1,1,1,1,1,1
"1635",0,1,0,0,1,1,1,0,1,0,1,0
"1637",1,1,0,1,1,0,1,0,1,1,1,1
"1653",1,1,1,1,1,0,1,1,1,1,0,1
"1655",1,1,1,0,0,1,1,1,1,1,1,1
"1675",1,1,1,1,0,0,1,0,1,0,1,0
"1677",1,0,1,0,1,0,1,0,0,0,0,0
"1698",0,1,1,0,1,0,1,0,1,0,1,1
"1700",1,1,0,1,1,1,1,1,1,1,0,1
"1719",1,1,1,1,1,0,1,1,1,1,1,1
"1720",1,0,1,0,1,0,0,0,1,0,1,1
"1741",1,1,1,1,1,1,1,1,0,0,0,0
"1742",1,1,1,1,1,1,1,1,1,1,1,1
"1763",0,1,1,0,1,0,1,1,1,1,1,1
"1765",1,1,1,1,1,1,1,1,1,1,1,1
"1785",1,1,1,1,1,0,1,1,1,1,1,1
"1787",1,0,1,0,1,0,1,1,1,0,1,1
"1808",0,1,0,0,1,0,1,0,1,1,1,1
"1810",1,1,1,1,1,1,1,1,1,1,1,0
"1827",1,1,1,1,1,1,1,1,1,1,1,1
"1846",1,1,1,0,0,0,1,1,1,1,1,1
"1848",1,1,1,0,1,0,1,0,1,1,1,1
"1869",1,0,0,0,1,1,0,1,1,0,1,1
"1891",1,0,0,0,1,0,0,0,1,0,0,0
"1913",1,0,0,0,1,0,1,1,0,0,0,0
"1915",0,0,0,1,1,0,1,0,1,1,1,1
"1932",1,1,0,0,0,1,1,1,1,0,0,0
"1934",0,1,0,0,0,0,1,1,1,1,1,1
"1954",1,1,1,0,1,1,1,1,1,0,1,1
"1956",1,1,1,1,1,1,1,1,1,1,1,0
"1975",1,1,1,1,0,1,1,1,1,1,1,1
"1977",0,0,1,0,1,0,1,0,1,1,1,1
"1998",1,0,0,0,1,0,1,0,1,0,1,0
"2000",0,0,0,0,1,0,1,0,1,0,0,1
"2018",1,1,1,1,1,1,1,1,1,1,1,1
"2020",1,1,1,1,1,0,1,0,1,1,1,1
"2041",1,1,1,1,0,0,1,1,1,1,1,1
"2057",1,1,0,0,1,0,1,0,1,0,1,1
"2059",1,0,1,0,1,1,0,0,1,1,0,1
"2078",1,1,0,0,1,0,1,1,1,0,1,1
"2080",1,1,1,1,1,0,1,1,1,0,1,1
"2101",1,1,0,1,1,1,1,0,1,0,1,1
"2103",1,1,0,1,1,1,1,1,1,1,1,1
"2124",1,1,1,0,1,1,1,1,1,1,1,0
"2144",1,1,1,0,1,0,1,1,1,1,1,1
"2146",0,1,0,1,0,1,1,1,1,1,1,1
"2166",1,1,1,0,0,1,1,1,1,0,0,0
"2168",0,0,0,1,0,1,1,0,1,0,1,1
"2189",1,1,1,1,1,0,1,1,1,1,1,1
"2211",0,0,0,0,1,1,1,1,1,1,1,0
"2229",1,1,0,0,0,0,1,1,1,1,1,0
"2231",1,1,1,0,0,0,1,1,1,1,0,0
"2252",1,1,0,1,0,0,1,1,1,0,1,1
"2253",1,1,1,0,1,1,1,1,1,0,1,1
"2274",1,1,1,0,1,0,1,0,0,0,0,0
"2294",1,0,0,0,1,0,1,0,1,1,1,1
"2296",1,1,1,1,1,1,1,1,1,1,1,1
"2318",1,0,1,0,1,0,0,0,0,0,0,0
"2320",1,1,1,1,1,1,1,1,1,0,1,1
"2340",0,0,0,0,1,0,1,0,1,1,1,1
"2342",1,1,1,0,0,0,1,1,1,1,1,0
"2361",1,0,0,1,0,0,1,0,1,0,1,1
"2362",1,1,1,1,0,1,0,1,1,0,1,1
"2380",1,1,1,0,1,1,1,1,1,1,1,1
"2382",1,1,0,1,1,1,1,0,1,1,1,0
"2408",1,1,1,1,1,1,1,0,1,1,1,0
"2410",1,0,1,1,1,0,1,0,1,0,1,0
"2430",1,1,1,1,0,1,1,1,1,1,1,1
"2432",1,1,1,1,0,1,1,1,1,1,1,1
"2450",1,1,1,1,0,1,1,1,1,1,1,1
"2452",1,1,1,1,1,1,1,1,1,1,1,1
"2471",0,0,0,0,1,1,1,1,1,0,1,1
"2489",1,1,1,0,1,1,1,1,1,1,1,1
"2491",1,1,0,0,1,1,1,1,0,0,0,0
"2511",1,0,0,0,0,0,1,0,1,1,1,1
"2513",1,1,1,0,1,0,1,1,1,1,1,1
"2530",1,1,1,1,1,0,1,1,1,1,1,1
"2532",1,1,1,1,0,1,1,1,1,1,1,1
"2552",1,1,1,0,1,0,1,1,1,1,1,1
"2554",1,1,1,1,0,0,1,0,1,1,1,1
"2575",0,1,1,0,1,1,1,0,1,1,1,1
"2577",1,1,1,1,1,1,1,1,0,0,0,0
"2598",1,1,1,0,1,0,1,0,1,1,1,1
"2600",1,1,1,1,1,1,1,1,1,1,1,1
"2616",1,1,1,1,1,1,1,1,1,1,1,0
"2618",1,1,0,0,0,0,1,1,1,0,0,1
"2638",1,0,0,0,0,0,1,0,1,0,1,1
"2661",0,1,0,0,1,0,1,1,1,0,1,0
"2681",1,1,0,1,1,1,1,1,1,0,1,1
"2682",1,0,1,0,1,1,1,1,1,1,1,1
"2704",1,0,1,1,1,0,1,1,1,1,1,0
"2706",1,1,0,0,1,0,1,1,1,1,1,1
"2727",1,1,1,0,1,0,1,1,1,1,1,1
"2729",1,1,1,1,1,0,1,1,1,1,1,1
"2750",1,1,1,1,0,1,1,1,1,1,1,1
"2752",1,1,0,1,1,1,0,0,1,1,1,1
"2772",0,0,0,1,1,0,1,1,1,1,0,1
"2774",1,0,0,0,0,0,1,1,1,0,1,1
"2793",1,1,1,0,1,1,1,1,1,1,1,1
"2795",1,0,0,1,1,1,1,1,1,1,1,1
"2815",1,1,1,1,1,1,1,1,1,1,1,1
"2817",1,0,1,0,1,0,1,1,1,0,0,1
"2838",1,1,0,1,1,1,1,1,1,1,1,1
"2839",1,1,0,0,1,0,1,1,1,1,1,0
"2855",1,0,1,0,0,1,1,0,1,1,1,0
"2877",1,0,0,1,1,1,1,1,1,0,1,1
"2879",1,1,1,1,1,1,1,1,1,0,1,1
"2900",1,0,0,1,1,1,1,1,1,1,0,1
"2902",0,1,0,1,1,1,1,0,1,0,1,0
"2921",1,0,0,1,1,0,1,1,0,0,0,0
"2923",0,0,1,0,1,0,1,0,1,0,0,0
"2942",0,1,0,0,0,0,1,1,1,1,1,1
"2944",1,1,0,0,0,1,1,0,1,0,1,0
"2964",1,1,1,0,1,1,0,1,1,1,1,1
"2966",1,1,0,1,0,1,1,0,1,1,1,1
"2985",1,0,0,0,1,0,1,0,0,1,1,1
"2987",1,0,0,0,0,1,1,0,1,1,1,1
"3006",1,1,1,0,0,1,1,1,1,1,1,1
"3026",0,0,0,0,1,0,1,1,1,1,1,1
"3028",1,1,1,0,1,0,1,1,1,1,1,1
"3048",1,1,1,1,1,1,1,1,1,1,0,1
"3050",1,0,1,0,0,1,1,0,1,1,1,1
"3071",1,1,1,1,1,1,1,1,1,1,1,0
"3073",1,1,1,0,1,0,1,1,1,1,1,1
"3090",1,0,0,0,1,0,1,0,1,1,1,1
"3092",1,0,1,0,1,0,1,1,1,1,1,1
"3111",0,0,0,0,1,0,1,0,0,0,0,0
"3113",1,0,0,0,0,0,0,0,1,1,1,0
"3126",0,0,0,0,0,0,1,0,1,1,1,1
"3127",1,1,0,1,1,1,1,1,1,1,1,1
"3149",0,0,1,0,1,0,0,0,1,1,1,1
"3171",0,1,0,0,1,0,1,0,1,0,0,1
"3191",1,1,0,0,1,0,1,1,1,1,1,0
"3192",1,1,1,1,1,0,1,1,1,1,1,1
"3212",1,1,1,1,1,0,1,1,1,1,1,1
"3213",1,1,1,1,1,1,1,1,1,1,1,1
"3233",1,1,1,1,1,1,1,1,1,1,1,1
"3252",1,1,1,1,1,1,1,1,0,0,0,0
"3271",1,0,0,0,0,0,0,1,1,1,1,1
"3273",1,1,1,0,0,0,1,1,1,0,0,1
"3293",1,1,0,0,1,0,1,1,1,1,1,1
"3295",1,1,0,0,1,1,1,1,1,1,1,1
"3315",1,0,0,0,0,1,0,1,1,1,1,1
"3317",1,0,0,1,1,0,0,1,1,1,1,1
"3337",1,0,0,0,1,1,1,0,1,1,1,1
"3356",1,1,1,0,0,0,1,0,1,0,1,1
"3358",1,1,1,1,1,1,1,1,1,1,1,1
"3377",1,1,1,1,1,1,1,1,1,1,1,1
"3379",1,1,0,0,1,1,1,1,1,1,1,0
"3400",1,1,1,0,1,1,1,1,1,1,1,0
"3402",1,0,0,0,1,1,1,0,1,0,1,1
"3421",1,1,1,1,1,1,1,1,1,1,1,1
"3423",1,1,1,1,1,1,1,1,1,1,1,1
"3442",0,0,1,0,1,1,1,1,0,0,0,0
"3444",1,1,1,1,0,1,1,1,1,1,1,1
"3463",0,0,0,0,1,0,1,1,1,1,1,1
"3482",1,0,0,1,1,0,1,0,0,1,1,0
"3502",1,1,0,0,0,1,1,1,0,1,0,0
"3504",0,1,0,0,1,1,1,0,1,0,1,0
"3524",0,0,0,1,0,0,1,1,1,1,0,1
"3526",0,0,0,0,0,0,0,0,1,0,1,0
"3545",1,1,1,0,1,1,1,1,1,1,1,1
"3546",1,1,1,0,1,1,1,1,1,1,1,1
"3567",1,1,1,1,1,1,1,1,1,1,1,1
"3569",0,1,0,0,1,0,1,1,1,1,1,0
"3590",1,1,1,0,0,1,1,0,1,0,1,0
"3611",1,1,1,1,1,1,1,0,1,1,0,1
"3612",1,1,1,1,0,0,0,0,0,0,0,0
"3629",0,1,1,0,0,1,1,1,1,1,1,1
"3631",1,1,0,0,0,0,1,0,1,0,1,0
"3651",1,0,0,1,1,0,0,1,1,0,1,1
"3653",1,1,0,0,1,1,1,1,1,1,1,0
"3674",1,0,0,1,1,0,1,0,1,1,1,1
"3675",1,1,1,1,1,1,1,0,1,1,1,1
"3690",1,0,0,1,0,1,1,1,1,1,1,0
"3692",0,1,0,0,0,1,1,1,1,1,1,1
"3712",1,0,0,1,1,0,1,1,1,1,1,1
"3714",1,1,1,1,1,0,1,0,1,1,1,1
"3736",1,1,1,0,0,1,1,1,1,1,1,1
"3769",1,1,1,1,1,1,1,1,1,1,1,1
"3771",1,0,1,0,0,0,1,1,1,1,1,1
"3791",0,0,0,0,0,0,0,0,0,0,0,0
"3793",1,1,1,1,1,1,1,1,1,0,1,0
"3815",1,0,1,1,0,1,0,0,1,1,1,1
"3829",1,1,1,1,1,1,1,1,1,1,1,1
"3850",1,1,1,1,1,0,1,1,1,1,1,1
"3852",0,1,0,1,1,0,0,1,1,0,1,1
