"","LS01","LS02","LS03","LS04","LS05","LS06","LS07","LS08","LS09","LS10","LS11","LS13","LS14","LS15","LS16","LS17","LS18","LS19","LS20","LS21","LS22","LS23","LS24","LS25"
"64",2,2,1,0,0,2,2,1,1,2,2,2,1,2,1,2,2,2,1,2,2,0,1,1
"65",1,2,1,1,2,1,1,0,0,2,2,2,0,1,2,1,2,2,1,2,1,2,0,0
"66",1,2,0,1,0,1,0,0,1,2,2,2,1,2,0,2,2,2,0,2,2,0,2,1
"67",1,2,1,1,0,0,1,0,0,1,2,2,1,2,1,2,2,2,1,2,1,0,1,2
"68",1,2,0,0,0,1,0,1,0,2,1,0,1,2,0,0,2,2,0,0,1,0,1,0
"69",1,2,1,0,0,1,0,1,2,2,2,2,1,2,2,2,2,2,0,2,1,0,2,1
"70",2,2,2,2,0,2,2,0,1,2,2,2,1,2,2,2,2,2,0,2,2,0,2,1
"71",2,2,0,1,2,2,2,0,0,1,2,0,0,2,2,2,2,0,2,2,2,2,0,1
"72",1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,2,1,2,0,0,2,0,1
"73",2,0,1,2,0,1,0,1,2,2,2,0,2,0,1,1,0,2,2,0,2,0,2,2
"74",2,2,2,0,0,2,2,0,0,2,2,2,2,2,2,2,2,2,0,2,2,0,1,2
"75",1,2,0,0,1,1,0,1,1,2,1,2,2,2,1,0,2,2,0,2,0,0,1,0
