"","XDATE","DELAY","CONTRIBUTOR","BID","ASK","FLAG"
"40",199706020044,1,"UOBX",24.8,24.9,0
"41",199706020045,1,"AIGH",24.75,24.85,0
"42",199706020045,1,"AIGH",24.8,24.85,0
"43",199706020049,1,"HKBK",24.77,24.87,0
"44",199706020051,1,"AIGH",24.75,24.85,0
"45",199706020051,1,"AIGH",24.8,24.85,0
"46",199706020102,1,"AIGH",24.82,24.87,0
"47",199706020106,1,"AIGH",24.8,24.85,0
"48",199706020106,1,"UOBX",24.78,24.98,0
"49",199706020107,1,"AIGH",24.72,24.82,0
"50",199706020108,1,"ANZM",24.62,24.82,0
"51",199706020108,1,"AIGH",24.8,24.82,0
"52",199706020111,1,"AIGH",24.8,24.81,0
"53",199706020115,1,"AIGH",24.7,24.8,0
"54",199706020116,1,"AIGH",24.77,24.8,0
"55",199706020120,1,"MBRC",24.75,24.85,0
"56",199706020120,1,"AIGH",24.85,25,0
"57",199706020121,1,"AIGH",24.75,24.85,0
"58",199706020121,1,"UOBX",24.78,25.78,0
"59",199706020121,1,"AIGH",24.85,24.9,0
"60",199706020123,1,"AIGH",24.82,24.87,0
"61",199706020123,1,"AIGH",24.85,24.87,0
"62",199706020124,1,"AIGH",24.75,24.85,0
"63",199706020126,1,"HKBK",24.75,24.85,0
"64",199706020128,1,"AIGH",24.84,24.86,0
"65",199706020129,1,"ANZM",24.75,24.85,0
"66",199706020130,1,"AIGH",24.84,24.85,0
"67",199706020131,1,"GBNP",24.8,24.9,0
"68",199706020132,1,"AIGH",24.8,24.85,0
"69",199706020138,1,"AIGH",24.84,24.89,0
"70",199706020143,1,"AIGH",24.83,24.88,0
"71",199706020144,1,"AIGH",24.82,24.87,0
"72",199706020144,1,"AIGH",24.85,24.87,0
"73",199706020145,1,"AIGH",24.85,24.86,0
"74",199706020147,1,"AIGH",24.8,24.85,0
"75",199706020150,1,"BOAS",24.8,24.85,0
"76",199706020152,1,"AIGH",24.75,24.85,0
"77",199706020154,1,"AIGH",24.84,24.85,0
"78",199706020159,1,"AIGH",24.8,24.85,0
"79",199706020208,2,"BOAT",25,25.84,0
"80",199706020209,1,"AIGH",24.85,24.9,0
"81",199706020209,1,"BOAT",25.1,25.84,0
"82",199706020209,1,"BOAT",25.15,25.84,0
"83",199706020209,2,"AIGH",24.87,24.89,0
"84",199706020210,1,"ABNP",25.2,25.85,0
"85",199706020210,1,"BOAT",25.25,25.84,0
"86",199706020210,1,"BOAT",25.3,25.84,0
"87",199706020210,1,"BOAT",25.35,25.84,0
"88",199706020210,1,"BOAT",25.4,25.84,0
"89",199706020211,1,"BOAT",25.45,25.84,0
"90",199706020213,1,"ANZM",25.25,25.45,0
"91",199706020214,1,"AIGH",24.81,24.86,0
"92",199706020214,2,"ANZM",24.81,24.86,0
"93",199706020217,1,"AIGH",24.8,24.85,0
"94",199706020225,1,"AIGH",24.84,24.89,0
"95",199706020236,1,"BOAS",24.84,24.89,0
"96",199706020247,1,"AIGH",24.81,24.86,0
"97",199706020248,1,"AIGH",24.8,24.85,0
"98",199706020312,1,"AIGH",24.78,24.83,0
"99",199706020315,1,"CTBT",25.835,25.855,0
"100",199706020338,1,"TMBB",25.835,25.855,0
"101",199706020340,1,"ABNP",25.84,25.85,0
"102",199706020358,1,"SCBK",25.83,25.85,0
"103",199706020409,1,"HKBK",25.6,25.8,0
"104",199706020411,1,"HKBK",25.55,25.77,0
"105",199706020412,1,"HKBK",25.5,25.7,0
"106",199706020412,1,"HKBK",25.48,25.68,0
"107",199706020414,1,"HKBK",25.46,25.66,0
"108",199706020421,1,"BOAT",25.84,25.85,0
"109",199706020422,1,"HKBK",25.75,25.95,0
"110",199706020422,1,"HKBK",25.7,25.9,0
"111",199706020422,1,"HKBK",25.5,25.6,0
"112",199706020422,2,"HKBK",25.46,25.56,0
"113",199706020423,1,"BOAT",25.835,25.85,0
"114",199706020423,1,"HKBK",25.46,25.56,0
"115",199706020424,1,"BOAT",25.84,25.85,0
"116",199706020451,1,"AIGH",24.75,24.85,0
"117",199706020451,1,"AIGH",24.7,24.8,0
"118",199706020454,1,"BOAS",24.8,24.85,0
"119",199706020457,2,"HKBK",24.82,24.87,0
"120",199706020503,1,"HKBK",24.84,24.89,0
"121",199706020506,1,"AIGH",24.85,24.86,0
"122",199706020509,1,"UBRC",24.83,24.88,0
"123",199706020510,1,"AIGH",24.84,24.87,0
"124",199706020514,1,"MBRC",24.81,24.86,0
"125",199706020519,1,"MBRC",24.83,24.88,0
"126",199706020528,1,"BBLT",24.88,25.88,0
"127",199706020529,1,"BBLT",25,25.9,0
"128",199706020530,1,"BBLT",25.1,25.95,0
"129",199706020531,1,"MBRC",24.8,24.85,0
"130",199706020531,1,"BBLT",25.1,25.85,0
"131",199706020531,2,"UOBX",24.95,25.95,0
"132",199706020532,1,"BBLT",25.1,25.85,0
"133",199706020532,1,"AIGH",24.84,24.86,0
"134",199706020532,1,"BBLT",25.1,25.85,0
"135",199706020532,1,"AIGH",24.84,24.85,0
"136",199706020533,1,"BBLT",25.05,25.85,0
"137",199706020537,1,"HKBK",24.835,24.885,0
"138",199706020537,1,"AIGH",24.85,24.87,0
"139",199706020548,1,"HKBK",24.82,24.92,0
"140",199706020549,1,"AIGH",24.84,24.86,0
"141",199706020553,1,"BGFX",24.8,24.9,0
"142",199706020554,1,"EMFY",24.8,24.9,0
"143",199706020557,1,"AIGH",24.8,24.85,0
"144",199706020604,1,"NWBO",24.79,24.798,0
"145",199706020607,1,"CHIC",24.8,24.9,0
"146",199706020621,1,"AIGH",24.82,24.85,0
"147",199706020635,1,"BGFX",24.77,24.87,0
"148",199706020637,1,"BBLT",24.87,25.87,0
"149",199706020638,1,"BBLT",25,25.845,0
"150",199706020639,1,"BBLT",25.1,25.85,0
"151",199706020641,2,"MBRC",24.81,24.86,0
"152",199706020644,1,"WBCM",24.8,24.87,0
"153",199706020650,1,"AIGH",24.83,24.86,0
"154",199706020652,1,"HKBK",24.83,24.93,0
"155",199706020702,1,"SCFE",24.75,24.85,0
"156",199706020705,2,"BGFX",24.75,24.85,0
"157",199706020707,1,"BBLT",24.8,25.8,0
"158",199706020707,1,"BBLT",25,25.8,0
"159",199706020708,1,"BOAT",25.305,25.845,0
"160",199706020708,1,"BOAT",25.505,25.845,0
"161",199706020709,1,"BBLT",25.7,25.85,0
"162",199706020709,1,"BOAT",25.805,25.845,0
"163",199706020709,1,"BBLT",25.8,25.85,0
"164",199706020709,1,"BBLT",25.82,25.85,0
"165",199706020709,1,"ABNP",25.81,25.84,0
"166",199706020710,1,"ABNP",25.82,25.85,0
"167",199706020710,1,"BBLT",25.825,25.845,0
"168",199706020710,1,"BOAT",25.825,25.845,0
"169",199706020711,1,"ABNP",25.832,25.842,0
"170",199706020713,1,"BGFX",24.785,24.885,0
"171",199706020714,1,"AIGH",24.87,24.88,0
"172",199706020715,1,"BOAT",25.825,25.84,0
"173",199706020726,1,"SCFE",25.8,25.9,0
"174",199706020732,1,"MBRC",25.8,25.87,0
"175",199706020733,1,"SCFE",24.8,24.9,0
"176",199706020734,1,"AIGH",24.85,24.86,0
"177",199706020744,1,"AIGH",24.86,24.91,0
"178",199706020745,1,"BGFX",24.835,24.935,0
"179",199706020747,1,"HKBK",24.86,24.96,0
"180",199706020749,1,"HKBK",24.87,24.94,0
"181",199706020749,1,"AIGH",24.81,24.86,0
"182",199706020750,1,"AIGH",24.8,24.85,0
"183",199706020752,1,"AIGH",24.79,24.84,0
"184",199706020753,1,"HKBK",24.8,24.9,0
"185",199706020753,1,"AIGH",24.75,24.85,0
"186",199706020757,1,"AIGH",24.73,24.83,0
"187",199706020801,1,"EMFY",24.75,24.85,0
"188",199706020801,1,"HKBK",24.82,24.87,0
"189",199706020802,1,"AIGH",24.82,24.85,0
"190",199706020803,2,"AIGH",24.77,24.82,0
"191",199706020809,1,"AIGH",24.85,24.9,0
"192",199706020813,1,"BGFX",24.825,24.925,0
"193",199706020813,1,"MBRC",24.83,24.88,0
"194",199706020816,1,"UOBX",24.78,25.78,0
"195",199706020826,1,"HKBK",24.8,24.9,0
"196",199706020828,1,"CHIC",24.81,24.91,0
"197",199706020829,1,"CBAX",24.8,24.9,0
"198",199706020841,1,"BNSV",24.8,24.9,0
"199",199706020901,1,"AIGH",24.85,24.95,0
"200",199706020906,1,"BBLT",25,25.9,0
"201",199706020906,1,"BBLT",25,25.8,0
"202",199706020907,1,"BBLT",25.15,25.85,0
"203",199706020910,1,"HKBK",24.83,24.88,0
"204",199706020919,1,"AIGH",24.77,24.87,0
"205",199706020923,1,"BGFX",24.77,24.87,0
"206",199706020931,1,"AIGH",24.75,24.85,0
"207",199706020958,2,"DBBK",24.83,24.84,0
"208",199706021008,0,"SCFE",24.77,24.87,0
"209",199706021011,0,"DBBK",24.83,25.84,0
"210",199706021013,0,"DBBK",24.831,25.841,0
"211",199706021041,0,"SCFE",24.78,24.88,0
"212",199706021043,0,"CBAX",24.75,24.85,0
"213",199706021051,0,"BNST",24.78,24.88,0
"214",199706021056,0,"AIGH",24.8,24.85,0
"215",199706021056,0,"DBBK",24.83,25.84,0
"216",199706021056,0,"DBBK",24.83,24.84,0
"217",199706021104,0,"AIGH",24.8,24.9,0
"218",199706021124,0,"AIGH",24.75,24.85,0
"219",199706021139,0,"CHIC",24.8,24.9,0
"220",199706021142,0,"AIGH",24.82,24.87,0
"221",199706021147,0,"AIGH",24.75,24.85,0
"222",199706021153,0,"AIGH",24.73,24.83,0
"223",199706021159,0,"AIGH",24.83,24.93,0
"224",199706021200,0,"AIGH",24.84,24.89,0
"225",199706021200,0,"AIGH",24.85,24.95,0
"226",199706021203,0,"AIGH",24.8,24.9,0
"227",199706021208,0,"AIGH",24.78,24.88,0
"228",199706021209,0,"AIGH",24.85,24.9,0
"229",199706021212,0,"AIGH",24.85,24.87,0
"230",199706021216,0,"SCEX",24.85,24.9,0
"231",199706021225,0,"BGFX",24.825,24.925,0
"232",199706021314,0,"CBAX",24.8,24.9,0
"233",199706021341,0,"BGFX",24.8,24.9,0
"234",199706022155,0,"CBAP",24.8,24.85,0
"235",199706022156,0,"ANZM",24.79,24.89,0
"236",199706022157,0,"CBAP",24.8,24.9,0
"237",199706022157,0,"CBAP",24.8,24.95,0
"238",199706022157,0,"CBAP",24.8,24.85,0
"239",199706022221,0,"CBAP",24.8,25,0
"240",199706022250,0,"ANZM",24.8,24.85,0
"241",199706022358,0,"HKBK",24.8,24.88,0
"242",199706022358,0,"HKBK",24.8,24.9,0
"243",199706030006,0,"MBRC",24.8,24.9,0
"244",199706030035,0,"ANZS",24.8,24.9,0
"245",199706030046,0,"UOBX",24.79,25.29,0
"246",199706030129,0,"ABNP",24.85,25,0
"247",199706030130,0,"ABNP",24.95,25.1,0
"248",199706030130,0,"ABNP",25,25.4,0
"249",199706030144,0,"SUMS",24.8,24.9,0
"250",199706030159,0,"ANZM",24.85,24.95,0
"251",199706030202,6,"ABNP",25,25.2,0
"252",199706030202,6,"ABNP",25.84,25.87,0
"253",199706030211,0,"ABNP",25.86,25.87,0
"254",199706030212,0,"ABNP",25.855,25.875,0
"255",199706030245,0,"DBBK",25.865,25.875,0
"256",199706030255,0,"ANZM",24.7,24.8,0
"257",199706030256,0,"AIGH",24.67,24.7,0
"258",199706030256,0,"AIGH",24.67,24.77,0
"259",199706030256,0,"HKBK",24.73,24.78,0
"260",199706030319,0,"MBRC",24.73,24.78,0
"261",199706030321,0,"BBLT",24.86,24.87,0
"262",199706030321,0,"BBLT",24.96,24.97,0
"263",199706030322,0,"BBLT",25,25.1,0
"264",199706030322,0,"ANZM",24.73,24.78,0
"265",199706030323,0,"TDBB",25.855,25.875,0
"266",199706030325,0,"ABNP",25.865,25.87,0
"267",199706030326,0,"HKBK",24.74,24.79,0
"268",199706030340,0,"CTBT",25.86,25.87,0
"269",199706030344,0,"TDBB",25.86,25.87,0
"270",199706030349,0,"ABNP",25.858,25.872,0
"271",199706030353,0,"SCBK",25.85,25.87,0
"272",199706030355,0,"BOAT",25.86,25.87,0
"273",199706030355,0,"BOAT",25.86,25.875,0
"274",199706030408,0,"HKBK",24.73,24.78,0
"275",199706030411,0,"BOAS",24.7,24.8,0
"276",199706030446,0,"AIGH",24.65,24.75,0
"277",199706030450,0,"ANZM",24.63,24.73,0
"278",199706030459,0,"MBRC",24.65,24.75,0
"279",199706030501,0,"AIGH",24.59,24.69,0
"280",199706030511,0,"HKBK",24.6,24.7,0
"281",199706030515,0,"ANZM",24.55,24.65,0
"282",199706030516,0,"SUMS",24.6,24.7,0
"283",199706030520,0,"AIGH",24.52,24.62,0
"284",199706030520,0,"HKBK",24.51,24.61,0
"285",199706030525,0,"HKBK",24.55,24.65,0
"286",199706030526,0,"AIGH",24.5,24.6,0
"287",199706030526,0,"BBLS",24.6,24.7,0
"288",199706030528,0,"ANZM",24.53,24.63,0
"289",199706030529,0,"SUMS",24.55,24.65,0
"290",199706030535,1,"ANZM",24.48,24.58,0
"291",199706030536,0,"HKBK",24.52,24.62,0
"292",199706030539,0,"HKBK",24.49,24.59,0
"293",199706030542,0,"HKBK",24.46,24.56,0
"294",199706030543,0,"ANZM",24.45,24.55,0
"295",199706030545,0,"HKBK",24.49,24.59,0
"296",199706030555,0,"NWBO",24.49,24.495,0
"297",199706030557,0,"HKBK",24.42,24.52,0
"298",199706030558,0,"MBRC",24.45,24.55,0
"299",199706030558,0,"NWBO",24.45,24.455,0
"300",199706030600,0,"BGFX",24.4,24.5,0
"301",199706030603,0,"CHIC",24.45,24.55,0
"302",199706030623,0,"SHDR",24.45,24.55,0
"303",199706030625,0,"BBLS",24.55,24.65,0
"304",199706030628,0,"BGFX",24.5,24.6,0
"305",199706030630,0,"CBAX",24.5,24.6,0
"306",199706030630,0,"EMFY",24.5,24.6,0
"307",199706030635,0,"BBLS",24.55,24.6,0
"308",199706030637,0,"BGFX",24.525,24.625,0
"309",199706030637,0,"CTRD",24.5,24.6,0
"310",199706030637,0,"CTRD",24.49,24.59,0
"311",199706030645,0,"NWBO",24.57,24.576,0
"312",199706030646,0,"ANZS",24.6,24.65,0
"313",199706030654,0,"SCFE",24.6,24.7,0
"314",199706030654,0,"WBCM",24.58,24.65,0
"315",199706030701,0,"HKBK",24.65,24.75,0
"316",199706030705,0,"MBRC",24.6,24.7,0
"317",199706030728,0,"CBAX",24.65,24.75,0
"318",199706030731,0,"CHIC",24.67,24.77,0
"319",199706030747,0,"SUMS",24.7,24.75,0
"320",199706030753,0,"NWBO",24.65,24.657,0
"321",199706030759,0,"BBLH",24.68,24.78,0
"322",199706030806,0,"MBRC",24.65,24.75,0
"323",199706030808,0,"AIGH",24.7,24.8,0
"324",199706030814,0,"EMFY",24.65,24.75,0
"325",199706030825,1,"BNSV",24.65,24.75,0
"326",199706030836,0,"HKBK",24.66,24.76,0
"327",199706030847,0,"HKBK",24.7,24.8,0
"328",199706030856,0,"MBRC",24.67,24.77,0
"329",199706030904,0,"BOAS",24.7,24.75,0
"330",199706030929,0,"CHIC",24.66,24.76,0
"331",199706030957,0,"HKBK",24.67,24.77,0
"332",199706031010,0,"DBBK",24.66,24.76,0
"333",199706031012,0,"DBBK",24.66,24.73,0
"334",199706031013,0,"BBLT",24.75,25.85,0
"335",199706031015,0,"BBLT",24.9,25.5,0
"336",199706031015,0,"DBBK",24.65,24.658,0
"337",199706031016,0,"EMFY",24.66,24.76,0
"338",199706031016,0,"DBBK",24.655,24.658,0
"339",199706031016,0,"BBLT",24.9,25.8,0
"340",199706031017,0,"DBBK",24.67,24.74,0
"341",199706031017,0,"BBLT",24.95,25.5,0
"342",199706031019,0,"BBLT",24.95,25.9,0
"343",199706031020,0,"BBLT",24.99,25.89,0
"344",199706031020,0,"BBLT",25,25.85,0
"345",199706031021,0,"BOAT",25,25.875,0
"346",199706031021,0,"BOAT",25.1,25.875,0
"347",199706031021,0,"BBLT",25.1,25.85,0
"348",199706031021,0,"BOAT",25.3,25.875,0
"349",199706031021,0,"BBLT",25.3,25.85,0
"350",199706031022,0,"BBLT",25.7,25.85,0
"351",199706031022,0,"BBLT",25.8,25.85,0
"352",199706031022,0,"BOAT",25.8,25.875,0
"353",199706031022,0,"BOAT",25.82,25.875,0
"354",199706031022,0,"BOAT",25.82,25.85,0
"355",199706031023,0,"CTBT",25.84,25.86,0
"356",199706031023,0,"CTBT",25.845,25.865,0
"357",199706031023,0,"CTBT",25.845,25.855,0
"358",199706031045,0,"CHIC",24.7,24.8,0
"359",199706031056,0,"CHIC",24.69,24.79,0
"360",199706031116,0,"DBBK",24.5,24.6,0
"361",199706031122,0,"BGFX",24.5,24.6,0
"362",199706031126,0,"CHIC",24.72,24.82,0
"363",199706031200,0,"CHIC",24.8,24.9,0
"364",199706031202,0,"CHIC",24.84,24.94,0
"365",199706031204,0,"SCEX",24.9,25,0
"366",199706031214,0,"CHIC",24.87,24.97,0
"367",199706031216,0,"EMFY",24.88,24.98,0
"368",199706031235,0,"SCFE",24.85,24.95,0
"369",199706031250,0,"BGFX",24.85,24.95,0
"370",199706031334,0,"CBAX",24.82,24.92,0
"371",199706031342,0,"EMFY",24.85,24.95,0
"372",199706031412,0,"BNSV",24.85,24.95,0
"373",199706031524,0,"SCEX",24.82,24.92,0
"374",199706031836,0,"SBCN",24.85,24.92,0
"375",199706031836,0,"SBCN",24.85,24.95,0
"376",199706032125,0,"ANZM",24.8,24.9,0
"377",199706032341,0,"MBRC",24.8,24.9,0
"378",199706040027,0,"HKBK",24.82,24.89,0
"379",199706040033,0,"BOAS",24.8,24.9,0
"380",199706040044,0,"HKBK",24.8,24.9,0
"381",199706040046,0,"SUMS",24.75,24.85,0
"382",199706040046,0,"MBRC",24.72,24.82,0
"383",199706040052,0,"MBRC",24.25,24.35,0
"384",199706040052,0,"HKBK",24.25,24.35,0
"385",199706040052,0,"AIGH",24.25,24.3,0
"386",199706040053,0,"MBRC",24.27,24.37,0
"387",199706040055,0,"UOBX",24.28,24.48,0
"388",199706040056,0,"SUMS",24.3,24.5,0
"389",199706040056,0,"MBRC",24.38,24.48,0
"390",199706040057,0,"MBRC",24.33,24.43,0
"391",199706040100,0,"BBLH",24.4,24.5,0
"392",199706040101,0,"BOAS",24.4,24.5,0
"393",199706040111,0,"ABNP",24.2,24.6,0
"394",199706040114,0,"ABNP",24.4,24.6,0
"395",199706040115,0,"SUMS",24.45,24.65,0
"396",199706040117,0,"MBRC",24.45,24.55,0
"397",199706040119,0,"MBRC",24.5,24.6,0
"398",199706040124,0,"AIGH",24.43,24.53,0
"399",199706040145,0,"ABNP",25.845,25.955,0
"400",199706040146,0,"ABNP",25.846,25.856,0
"401",199706040215,0,"TDBB",25.85,25.86,0
"402",199706040216,0,"CTRD",24.55,24.65,0
"403",199706040218,0,"HKBK",24.55,24.65,0
"404",199706040221,0,"SUMS",24.45,24.55,0
"405",199706040223,0,"CTRD",24.5,24.6,0
"406",199706040226,0,"AIGH",24.45,24.55,0
"407",199706040226,0,"BBLH",24.5,24.6,0
"408",199706040229,0,"BOAS",24.5,24.55,0
"409",199706040234,0,"AIGH",24.4,24.5,0
"410",199706040239,0,"DBBK",24.55,24.65,0
"411",199706040239,0,"CTRD",24.49,24.59,0
"412",199706040239,0,"CTRD",24.5,24.6,0
"413",199706040256,0,"BBLS",24.48,24.58,0
"414",199706040313,0,"AIGH",24.47,24.49,0
"415",199706040318,0,"TMBB",25.85,25.855,0
"416",199706040330,0,"ABNP",25.845,25.855,0
"417",199706040338,0,"CTBT",25.847,25.857,0
"418",199706040341,0,"ANZM",25.7,25.9,0
"419",199706040341,0,"ANZM",25.6,25.8,0
"420",199706040342,0,"ANZM",25.5,25.7,0
"421",199706040344,0,"SCBK",25.85,25.855,0
"422",199706040424,0,"MBRC",24.45,24.55,0
"423",199706040426,0,"HKBK",24.43,24.53,0
"424",199706040440,0,"MBRC",24.4,24.5,0
"425",199706040445,0,"BBLS",24.35,24.45,0
"426",199706040457,0,"BBLH",24.4,24.5,0
"427",199706040457,0,"BBLS",24.33,24.43,0
"428",199706040506,0,"MBRC",24.3,24.4,0
"429",199706040510,0,"AIGH",24.25,24.35,0
"430",199706040511,0,"AIGH",24.2,24.3,0
"431",199706040511,0,"AIGH",24.3,24.35,0
"432",199706040513,0,"AIGH",24.25,24.35,0
"433",199706040519,0,"AIGH",24.22,24.32,0
"434",199706040520,0,"AIGH",24.2,24.3,0
"435",199706040521,0,"AIGH",24.18,24.28,0
"436",199706040521,0,"HKBK",24.22,24.32,0
"437",199706040522,0,"BBLH",24.3,24.4,0
"438",199706040522,0,"AIGH",24.3,24.35,0
"439",199706040523,0,"HKBK",24.25,24.35,0
"440",199706040531,0,"CTBT",25.848,25.858,0
"441",199706040535,0,"MBRC",24.25,24.35,0
"442",199706040544,0,"NWBO",24.25,24.253,0
"443",199706040553,0,"BBLH",24.35,24.45,0
"444",199706040553,0,"NWBO",24.33,24.334,0
"445",199706040554,0,"AIGH",24.23,24.33,0
"446",199706040555,0,"NWBO",24.3,24.304,0
"447",199706040555,0,"BOAT",25.845,25.855,0
"448",199706040557,0,"BGFX",24.3,24.4,0
"449",199706040612,0,"CHAB",25.85,25.86,0
"450",199706040613,0,"BOAS",24.3,24.4,0
"451",199706040618,0,"CHIC",24.3,24.4,0
"452",199706040622,0,"BGFX",24.25,24.35,0
"453",199706040627,0,"SUMS",24.2,24.5,0
"454",199706040631,0,"MBRC",24.3,24.4,0
"455",199706040635,0,"CTBT",25.845,25.855,0
"456",199706040635,0,"CHIC",24.35,24.45,0
"457",199706040636,0,"UOBX",24.3,25.3,0
"458",199706040639,0,"CHIC",24.34,24.44,0
"459",199706040640,0,"HKBK",24.32,24.42,0
"460",199706040641,0,"BBLH",24.36,24.46,0
"461",199706040641,0,"CBAX",24.3,24.4,0
"462",199706040648,0,"CHIC",24.4,24.5,0
"463",199706040649,0,"MBRC",24.35,24.45,0
"464",199706040650,0,"NWBO",24.37,24.374,0
"465",199706040656,0,"EMFY",24.35,24.45,0
"466",199706040701,1,"UOBX",24.3,24.6,0
"467",199706040702,0,"INDS",24.4,24.5,0
"468",199706040704,0,"BBLS",24.35,24.45,0
"469",199706040707,0,"WBCM",24.35,24.42,0
"470",199706040713,0,"BGFX",24.335,24.435,0
"471",199706040716,0,"INBT",25.85,25.87,0
"472",199706040717,0,"INDS",24.3,24.4,0
"473",199706040717,0,"INDS",24.35,24.45,0
"474",199706040733,0,"HKBK",24.36,24.42,0
"475",199706040739,0,"ABNP",25.85,25.86,0
"476",199706040746,0,"HKBK",24.35,24.45,0
"477",199706040754,0,"BATH",25.853,25.858,0
"478",199706040755,0,"BNSV",24.38,24.48,0
"479",199706040801,0,"AIGH",24.35,24.45,0
"480",199706040811,0,"AIGH",24.32,24.42,0
"481",199706040812,0,"AIGH",24.3,24.4,0
"482",199706040817,0,"AIGH",24.25,24.35,0
"483",199706040822,0,"NWBO",24.25,24.253,0
"484",199706040826,0,"MBRC",24.3,24.4,0
"485",199706040830,0,"HKBK",24.33,24.43,0
"486",199706040833,0,"SBIC",24.3,24.4,0
"487",199706040835,0,"NWBO",24.35,24.354,0
"488",199706040837,0,"SCFE",24.35,24.45,0
"489",199706040837,0,"SCBK",25.85,25.86,0
"490",199706040845,0,"HKBK",24.35,24.45,0
"491",199706040845,0,"HKBK",24.34,24.44,0
"492",199706040903,0,"ABNP",25.843,25.848,0
"493",199706040905,0,"CHIC",24.41,24.51,0
"494",199706040911,0,"BOAS",24.4,24.5,0
"495",199706040929,0,"AIGH",24.35,24.45,0
"496",199706040931,0,"AIGH",24.36,24.41,0
"497",199706041000,0,"BBLH",24.4,24.5,0
"498",199706041007,0,"AIGH",24.37,24.42,0
"499",199706041021,0,"AIGH",24.32,24.37,0
"500",199706041025,0,"CTBT",25.84,25.85,0
"501",199706041034,0,"SCFE",24.32,24.42,0
"502",199706041044,0,"AIGH",24.26,24.36,0
"503",199706041057,0,"NWBO",24.3,24.304,0
"504",199706041114,0,"CHIC",24.34,24.44,0
"505",199706041155,0,"AIGH",24.28,24.38,0
"506",199706041159,0,"AIGH",24.25,24.35,0
"507",199706041213,0,"AIGH",24.2,24.3,0
"508",199706041217,0,"BGFX",24.2,24.3,0
"509",199706041233,0,"SCEX",24.38,24.48,0
"510",199706041236,0,"AIGH",24.29,24.39,0
"511",199706041303,0,"SCEX",24.35,24.45,0
"512",199706041319,0,"AIGH",24.3,24.4,0
"513",199706041328,0,"EMFY",24.38,24.48,0
"514",199706041329,0,"CHIC",24.32,24.42,0
"515",199706041438,0,"AIGH",24.5,24.55,0
"516",199706041448,0,"AIGH",24.6,24.7,0
"517",199706041509,0,"CHIC",24.5,24.6,0
"518",199706041511,0,"SCFE",24.5,24.6,0
"519",199706041523,0,"AIGH",24.55,24.65,0
"520",199706041524,0,"CHIC",24.47,24.57,0
"521",199706041533,0,"AIGH",24.5,24.6,0
"522",199706041540,0,"AIGH",24.6,24.7,0
"523",199706041555,0,"AIGH",24.5,24.6,0
"524",199706041732,0,"SCEX",24.5,24.6,0
"525",199706041818,0,"SCEX",24.43,24.53,0
"526",199706042036,0,"BNST",24.44,24.45,0
"527",199706042036,0,"BNST",24.43,24.44,0
"528",199706042039,0,"ANZM",24.38,24.48,0
"529",199706042041,0,"BNST",28.05,28.06,0
"530",199706042041,0,"BNST",24.4,24.41,0
"531",199706042220,0,"ANZM",24.45,24.55,0
"532",199706042327,0,"MBRC",24.45,24.5,0
"533",199706042332,0,"SIME",24.4,24.5,0
"534",199706042353,0,"MBRC",24.42,24.52,0
"535",199706050005,0,"HKBK",24.4,24.5,0
"536",199706050008,0,"HKBK",24.5,24.6,0
"537",199706050011,0,"CTBT",25.85,25.86,0
