"","X.Y..m..d.","NYSE"
"250","1966-12-29",43.74
"251","1966-12-30",43.72
"252","1967-01-03",43.74
"253","1967-01-04",43.82
"254","1967-01-05",44.38
"255","1967-01-06",44.71
"256","1967-01-09",45.08
"257","1967-01-10",45.08
"258","1967-01-11",45.45
"259","1967-01-12",45.72
"260","1967-01-13",46.04
"261","1967-01-16",45.96
"262","1967-01-17",46.46
"263","1967-01-18",46.72
"264","1967-01-19",46.74
"265","1967-01-20",46.91
"266","1967-01-23",47.08
"267","1967-01-24",47.17
"268","1967-01-25",46.85
"269","1967-01-26",46.88
"270","1967-01-27",47.08
"271","1967-01-30",47.35
"272","1967-01-31",47.3
"273","1967-02-01",47.24
"274","1967-02-02",47.39
"275","1967-02-03",47.73
"276","1967-02-06",47.64
"277","1967-02-07",47.54
"278","1967-02-08",47.96
"279","1967-02-09",47.77
"280","1967-02-10",47.87
"281","1967-02-13",47.94
"282","1967-02-14",48.26
"283","1967-02-15",48.29
"284","1967-02-16",48.08
"285","1967-02-17",48.09
"286","1967-02-20",47.84
"287","1967-02-21",47.84
"288","1966-02-23",47.89
"289","1967-02-24",47.9
"290","1967-02-27",47.39
"291","1967-02-28",47.56
"292","1967-03-01",48.03
"293","1967-03-02",48.3
"294","1967-03-03",48.37
"295","1967-03-06",48.3
"296","1967-03-07",48.36
"297","1967-03-08",48.43
"298","1967-03-09",48.57
"299","1967-03-10",48.75
"300","1967-03-13",48.52
"301","1967-03-14",48.47
"302","1967-03-15",48.9
"303","1967-03-16",49.35
"304","1967-03-17",49.44
"305","1967-03-20",49.43
"306","1967-03-21",49.3
"307","1967-03-22",49.44
"308","1967-03-23",49.79
"309","1967-03-27",49.77
"310","1967-03-28",49.81
"311","1967-03-29",49.75
"312","1967-03-30",49.77
"313","1967-03-31",49.52
"314","1967-04-03",48.98
"315","1967-04-04",48.99
"316","1967-04-05",49.29
"317","1967-04-06",49.4
"318","1967-04-07",49.1
"319","1967-04-10",48.5
"320","1967-04-11",48.84
"321","1967-04-12",48.79
"322","1967-04-13",49.11
"323","1967-04-14",49.62
"324","1967-04-17",49.95
"325","1967-04-18",50.36
"326","1967-04-19",50.42
"327","1967-04-20",50.53
"328","1967-04-21",50.65
"329","1967-04-24",50.81
"330","1967-04-25",51.08
"331","1967-04-26",51.03
"332","1967-04-27",51.45
"333","1967-04-28",51.54
"334","1967-05-01",51.51
"335","1967-05-02",51.47
"336","1967-05-03",51.6
"337","1967-05-04",51.79
"338","1967-05-05",51.85
"339","1967-05-08",51.93
"340","1967-05-09",51.4
"341","1967-05-10",51.31
"342","1967-05-11",51.56
"343","1967-05-12",51.45
"344","1967-05-15",51.06
"345","1967-05-16",51.29
"346","1967-05-17",51.15
"347","1967-05-18",51.04
"348","1967-05-19",50.83
"349","1967-05-22",50.66
"350","1967-05-23",50.44
"351","1967-05-24",49.85
"352","1967-05-25",50.34
"353","1967-05-26",50.25
"354","1967-05-29",49.99
"355","1967-05-31",49.17
"356","1967-06-01",49.77
"357","1967-06-02",49.56
"358","1967-06-05",48.74
"359","1967-06-06",49.69
"360","1967-06-07",50.13
"361","1967-06-08",50.41
"362","1967-06-09",50.55
"363","1967-06-12",50.85
"364","1967-06-13",51.15
"365","1967-06-14",51.06
"366","1967-06-15",51.14
"367","1967-06-16",51.16
"368","1967-06-19",51.17
"369","1967-06-20",51.15
"370","1967-06-21",51.03
"371","1967-06-22",50.92
"372","1967-06-23",50.94
"373","1967-06-26",50.74
"374","1967-06-27",50.56
"375","1967-06-28",50.59
"376","1967-06-29",50.35
"377","1967-06-30",50.27
"378","1967-07-03",50.43
"379","1967-07-05",50.69
"380","1967-07-06",50.67
"381","1967-07-07",50.91
"382","1967-07-10",51.16
"383","1967-07-11",51.39
"384","1967-07-12",51.39
"385","1967-07-13",51.42
"386","1967-07-14",51.6
"387","1967-07-17",51.63
"388","1967-07-18",52
"389","1967-07-19",52.06
"390","1967-07-20",52.14
"391","1967-07-21",52.18
"392","1967-07-24",52
"393","1967-07-25",52
"394","1967-07-26",52.22
"395","1967-07-27",52.4
"396","1967-07-28",52.5
"397","1967-07-31",52.65
"398","1967-08-01",52.97
"399","1967-08-02",53.16
"400","1967-08-03",53.09
"401","1967-08-04",53.22
"402","1967-08-07",53.08
"403","1967-08-08",53.13
"404","1967-08-09",53.19
"405","1967-08-10",53.05
"406","1967-08-11",52.81
"407","1967-08-14",52.5
"408","1967-08-15",52.56
"409","1967-08-16",52.44
"410","1967-08-17",52.51
"411","1967-08-18",52.59
"412","1967-08-21",52.32
"413","1967-08-22",52.04
"414","1967-08-23",51.98
"415","1967-08-24",51.7
"416","1967-08-25",51.49
"417","1967-08-28",51.46
"418","1967-08-29",51.6
"419","1967-08-30",51.73
"420","1967-08-31",52.07
"421","1967-09-01",52.15
"422","1967-09-05",52.42
"423","1967-09-06",52.51
"424","1967-09-07",52.49
"425","1967-09-08",52.49
"426","1967-09-11",52.58
"427","1967-09-12",52.84
"428","1967-09-13",53.36
"429","1967-09-14",53.44
"430","1967-09-15",53.48
"431","1967-09-18",53.61
"432","1967-09-19",53.37
"433","1967-09-20",53.39
"434","1967-09-21",53.69
"435","1967-09-22",53.85
"436","1967-09-25",54.14
"437","1967-09-26",53.66
"438","1967-09-27",53.69
"439","1967-09-28",53.72
"440","1967-09-29",53.71
"441","1967-10-02",53.51
"442","1967-10-03",53.68
"443","1967-10-04",53.61
"444","1967-10-05",53.74
"445","1967-10-06",54.05
"446","1967-10-09",54.16
"447","1967-10-10",53.78
"448","1967-10-11",53.53
"449","1967-10-12",53.2
"450","1967-10-13",53.32
"451","1967-10-16",52.9
"452","1967-10-17",52.8
"453","1967-10-18",52.93
"454","1967-10-19",52.99
"455","1967-10-20",52.93
"456","1967-10-23",52.7
"457","1967-10-24",52.41
"458","1967-10-25",52.48
"459","1967-10-26",52.71
"460","1967-10-27",52.72
"461","1967-10-30",52.63
"462","1967-10-31",52.13
"463","1967-11-01",51.47
"464","1967-11-02",51.24
"465","1967-11-03",50.96
"466","1967-11-06",50.78
"467","1967-11-08",50.6
"468","1967-11-09",50.81
"469","1967-11-10",51.12
"470","1967-11-13",50.97
"471","1967-11-14",50.6
"472","1967-11-15",50.81
"473","1967-11-16",51.3
"474","1967-11-17",51.47
"475","1967-11-20",50.78
"476","1967-11-21",51.63
"477","1967-11-22",51.96
"478","1967-11-24",52.1
"479","1967-11-27",52.26
"480","1967-11-28",52.47
"481","1967-11-29",52.5
"482","1967-11-30",52.26
"483","1967-12-01",52.52
"484","1967-12-04",52.86
"485","1967-12-05",52.91
"486","1967-12-06",53.11
"487","1967-12-07",53.07
"488","1967-12-08",53.02
"489","1967-12-11",52.92
"490","1967-12-12",52.89
"491","1967-12-13",53.09
"492","1967-12-14",53.18
"493","1967-12-15",52.89
"494","1967-12-18",52.75
"495","1967-12-19",52.71
"496","1967-12-20",53
"497","1967-12-21",53.14
"498","1967-12-22",53.06
"499","1967-12-26",53.14
"500","1967-12-27",53.51
"501","1967-12-28",53.5
"502","1967-12-29",53.83
"503","1968-01-02",53.68
"504","1968-01-03",53.4
"505","1968-01-04",53.25
"506","1968-01-05",53.57
"507","1968-01-08",53.96
"508","1968-01-09",53.9
"509","1968-01-10",53.95
"510","1968-01-11",54.07
"511","1968-01-12",54.17
"512","1968-01-15",54.07
"513","1968-01-16",53.75
"514","1968-01-17",53.7
"515","1968-01-18",53.68
"516","1968-01-19",53.5
"517","1968-01-22",52.78
"518","1968-01-23",52.53
"519","1968-01-24",52.31
"520","1968-01-25",52.35
"521","1968-01-26",52.45
"522","1968-01-29",52.37
"523","1968-01-30",52.08
"524","1968-01-31",51.66
"525","1968-02-01",51.82
"526","1968-02-02",51.67
"527","1968-02-05",51.42
"528","1968-02-06",51.44
"529","1968-02-07",51.52
"530","1968-02-08",50.83
"531","1968-02-09",50.22
"532","1968-02-13",49.72
"533","1968-02-14",50.32
"534","1968-02-15",50.42
"535","1968-02-16",50.21
"536","1968-02-19",50.38
"537","1968-02-20",50.68
"538","1968-02-21",50.91
"539","1968-02-23",50.68
"540","1968-02-26",50.27
"541","1968-02-27",50.45
"542","1968-02-28",50.2
"543","1968-02-29",49.77
"544","1968-03-01",49.58
"545","1968-03-04",48.86
"546","1968-03-05",48.7
"547","1968-03-06",49.55
"548","1968-03-07",49.47
"549","1968-03-08",49.43
"550","1968-03-11",50.07
"551","1968-03-12",50.16
"552","1968-03-13",50.08
"553","1968-03-14",49.07
"554","1968-03-15",49.47
"555","1968-03-18",49.76
"556","1968-03-19",49.45
"557","1968-03-20",49.42
"558","1968-03-21",49.04
"559","1968-03-22",49.05
"560","1968-03-25",48.99
"561","1968-03-26",49.33
"562","1968-03-27",49.75
"563","1968-03-28",49.71
"564","1968-03-29",50.05
"565","1968-04-01",51.27
"566","1968-04-02",51.38
"567","1968-04-03",51.84
"568","1968-04-04",52.07
"569","1968-04-05",51.79
"570","1968-04-08",52.71
"571","1968-04-10",53.11
"572","1968-04-11",53.6
"573","1968-04-15",53.69
"574","1968-04-16",53.74
"575","1968-04-17",53.9
"576","1968-04-18",54.06
"577","1968-04-19",53.39
"578","1968-04-22",53.12
"579","1968-04-23",53.77
"580","1968-04-24",53.92
"581","1968-04-25",54.08
"582","1968-04-26",54.26
"583","1968-04-29",54.41
"584","1968-04-30",54.49
"585","1968-05-01",54.67
"586","1968-05-02",55.03
"587","1968-05-03",55.06
"588","1968-05-06",54.94
"589","1968-05-07",55.25
"590","1968-05-08",55.29
"591","1968-05-09",55
"592","1968-05-10",55.14
"593","1968-05-13",55.01
"594","1968-05-14",54.98
"595","1968-05-15",54.96
"596","1968-05-16",54.71
"597","1968-05-17",54.38
"598","1968-05-20",54.13
"599","1968-05-21",54.42
"600","1968-05-22",54.6
"601","1968-05-23",54.53
"602","1968-05-24",54.63
"603","1968-05-27",54.56
"604","1968-05-28",54.9
"605","1968-05-29",55.07
"606","1968-05-31",55.5
"607","1968-06-03",56.19
"608","1968-06-04",56.47
"609","1968-06-05",56.22
"610","1968-06-06",56.72
"611","1968-06-07",57.11
"612","1968-06-10",57.18
"613","1968-06-11",57.32
"614","1968-06-13",57.1
"615","1968-06-14",57.02
"616","1968-06-17",56.41
"617","1968-06-18",56.35
"618","1968-06-20",56.67
"619","1968-06-21",56.77
"620","1968-06-24",56.58
"621","1968-06-25",56.37
"622","1968-06-27",56.28
"623","1968-06-28",56.08
"624","1968-07-01",55.96
"625","1968-07-02",56.19
"626","1968-07-03",56.88
"627","1968-07-08",57.48
"628","1968-07-09",57.61
"629","1968-07-11",57.69
"630","1968-07-12",57.65
"631","1968-07-15",57.56
"632","1968-07-16",57.26
"633","1968-07-18",57.09
"634","1968-07-19",56.54
"635","1968-07-22",55.81
"636","1968-07-23",55.7
"637","1968-07-25",54.98
"638","1968-07-26",55.16
"639","1968-07-29",54.71
"640","1968-07-30",54.78
"641","1968-08-01",54.5
"642","1968-08-02",54.18
"643","1968-08-05",54.36
"644","1968-08-06",54.6
"645","1968-08-08",54.47
"646","1968-08-09",54.46
"647","1968-08-12",54.99
"648","1968-08-13",55.24
"649","1968-08-15",55.02
"650","1968-08-16",55.35
"651","1968-08-19",55.54
"652","1968-08-20",55.54
"653","1968-08-22",55.37
"654","1968-08-23",55.39
"655","1968-08-26",55.48
"656","1968-08-27",55.38
"657","1968-08-29",55.34
"658","1968-08-30",55.44
"659","1968-09-03",55.65
"660","1968-09-04",56
"661","1968-09-05",56.4
"662","1968-09-06",56.63
"663","1968-09-09",56.69
"664","1968-09-10",56.42
"665","1968-09-12",56.29
"666","1968-09-13",56.5
"667","1968-09-16",56.71
"668","1968-09-17",56.86
"669","1968-09-19",56.96
"670","1968-09-20",57.03
"671","1968-09-23",57.33
"672","1968-09-24",57.54
"673","1968-09-26",57.44
"674","1968-09-27",57.47
"675","1968-09-30",57.7
"676","1968-10-01",57.81
"677","1968-10-03",58.04
"678","1968-10-04",58.23
"679","1968-10-07",58.23
"680","1968-10-08",58.22
"681","1968-10-10",57.98
"682","1968-10-11",57.98
"683","1968-10-14",58.07
"684","1968-10-15",58.2
"685","1968-10-17",58.5
"686","1968-10-18",58.91
"687","1968-10-21",58.99
"688","1968-10-22",58.79
"689","1968-10-24",58.45
"690","1968-10-25",58.63
"691","1968-10-28",58.43
"692","1968-10-29",58.1
"693","1968-10-31",58.17
"694","1968-11-01",57.95
"695","1968-11-04",57.97
"696","1968-11-06",58.08
"697","1968-11-07",58.19
"698","1968-11-08",58.47
"699","1968-11-12",58.93
"700","1968-11-13",59.26
"701","1968-11-14",59.32
"702","1968-11-15",59.65
"703","1968-11-18",59.74
"704","1968-11-19",59.91
"705","1968-11-21",59.86
"706","1968-11-22",60.09
"707","1968-11-25",60.23
"708","1968-11-26",60.65
"709","1968-11-27",60.91
"710","1968-11-29",61.27
"711","1968-12-02",61.14
"712","1968-12-03",61.09
"713","1968-12-05",60.88
"714","1968-12-06",61.03
"715","1968-12-09",60.91
"716","1968-12-10",60.81
"717","1968-12-12",60.78
"718","1968-12-13",60.96
"719","1968-12-16",60.72
"720","1968-12-17",60.46
"721","1968-12-19",60.61
"722","1968-12-20",60.3
"723","1968-12-23",59.67
"724","1968-12-24",59.57
"725","1968-12-26",59.64
"726","1968-12-27",59.42
"727","1968-12-30",58.84
"728","1968-12-31",58.9
"729","1969-01-02",58.94
"730","1969-01-03",58.95
"731","1969-01-06",58.08
"732","1969-01-07",57.35
"733","1969-01-08",57.07
"734","1969-01-09",57.3
"735","1969-01-10",57.14
"736","1969-01-13",56.77
"737","1969-01-14",57.17
"738","1969-01-15",57.5
"739","1969-01-16",57.81
"740","1969-01-17",57.76
"741","1969-01-20",57.63
"742","1969-01-21",57.58
"743","1969-01-22",57.81
"744","1969-01-23",58.11
"745","1969-01-24",58.1
"746","1969-01-27",58.1
"747","1969-01-28",58.1
"748","1969-01-29",58.14
"749","1969-01-30",58.16
"750","1969-01-31",58.38
"751","1969-02-03",58.3
"752","1969-02-04",58.31
"753","1969-02-05",58.42
"754","1969-02-06",58.6
"755","1969-02-07",58.64
"756","1969-02-11",58.7
"757","1969-02-12",58.68
"758","1969-02-13",58.7
"759","1969-02-14",58.64
"760","1969-02-17",57.93
"761","1969-02-18",57.28
"762","1969-02-19",56.83
"763","1969-02-20",56.31
"764","1969-02-24",55.59
"765","1969-02-25",55.19
"766","1969-02-26",55.44
"767","1969-02-27",55.21
"768","1969-02-28",55.19
"769","1969-03-03",55.28
"770","1969-03-04",55.82
"771","1969-03-05",56.01
"772","1969-03-06",55.39
"773","1969-03-07",55.33
"774","1969-03-10",55.51
"775","1969-03-11",55.72
"776","1969-03-12",55.57
"777","1969-03-13",55.18
"778","1969-03-14",54.93
"779","1969-03-17",55.06
"780","1969-03-18",55.22
"781","1969-03-19",55.62
"782","1969-03-20",55.98
"783","1969-03-21",55.87
"784","1969-03-24",55.78
"785","1969-03-25",55.84
"786","1969-03-26",56.21
"787","1969-03-27",56.62
"788","1969-03-28",56.85
"789","1969-04-01",56.77
"790","1969-04-02",56.39
"791","1969-04-03",56.36
"792","1969-04-07",55.89
"793","1969-04-08",56.03
"794","1969-04-09",56.49
"795","1969-04-10",56.77
"796","1969-04-11",56.82
"797","1969-04-14",56.75
"798","1969-04-15",56.72
"799","1969-04-16",56.23
"800","1969-04-17",56.32
"801","1969-04-18",56.56
"802","1969-04-21",56.15
"803","1969-04-22",56.25
"804","1969-04-23",56.32
"805","1969-04-24",56.57
"806","1969-04-25",56.84
"807","1969-04-28",57.03
"808","1969-04-29",57.48
"809","1969-04-30",57.99
"810","1969-05-01",57.93
"811","1969-05-02",58.17
"812","1969-05-05",58.4
"813","1969-05-06",58.66
"814","1969-05-07",58.54
"815","1969-05-08",58.76
"816","1969-05-09",58.76
"817","1969-05-12",58.67
"818","1969-05-13",58.9
"819","1969-05-14",59.32
"820","1969-05-15",59.14
"821","1969-05-16",59.16
"822","1969-05-19",58.66
"823","1969-05-20",58.16
"824","1969-05-21",58.41
"825","1969-05-22",58.5
"826","1969-05-23",58.48
"827","1969-05-26",58.36
"828","1969-05-27",57.9
"829","1969-05-28",57.74
"830","1969-05-29",57.87
"831","1969-06-02",57.58
"832","1969-06-03",57.39
"833","1969-06-04",57.39
"834","1969-06-05",57.45
"835","1969-06-06",57.08
"836","1969-06-09",56.54
"837","1969-06-10",56.09
"838","1969-06-11",55.56
"839","1969-06-12",54.8
"840","1969-06-13",55
"841","1969-06-16",54.81
"842","1969-06-17",54.54
"843","1969-06-18",54.44
"844","1969-06-19",54.01
"845","1969-06-20",53.65
"846","1969-06-23",53.32
"847","1969-06-24",53.9
"848","1969-06-25",53.72
"849","1969-06-26",53.84
"850","1969-06-27",53.88
"851","1969-06-30",54.13
"852","1969-07-01",54.35
"853","1969-07-02",54.82
"854","1969-07-03",55.21
"855","1969-07-07",54.87
"856","1969-07-08",54.12
"857","1969-07-09",53.7
"858","1969-07-10",52.85
"859","1969-07-11",53.05
"860","1969-07-14",52.37
"861","1969-07-15",52.15
"862","1969-07-16",52.7
"863","1969-07-17",52.98
"864","1969-07-18",52.58
"865","1969-07-22",51.78
"866","1969-07-23",51.52
"867","1969-07-24",51.33
"868","1969-07-25",50.82
"869","1969-07-28",49.73
"870","1969-07-29",49.31
"871","1969-07-30",49.55
"872","1969-07-31",50.64
"873","1969-08-01",51.62
"874","1969-08-04",51.35
"875","1969-08-05",51.57
"876","1969-08-06",51.88
"877","1969-08-07",51.94
"878","1969-08-08",51.9
"879","1969-08-11",51.59
"880","1969-08-12",51.17
"881","1969-08-13",51.19
"882","1969-08-14",51.56
"883","1969-08-15",51.98
"884","1969-08-18",52.35
"885","1969-08-19",52.64
"886","1969-08-20",52.64
"887","1969-08-21",52.78
"888","1969-08-22",53.11
"889","1969-08-25",52.61
"890","1969-08-26",52.21
"891","1969-08-27",52.37
"892","1969-08-28",52.58
"893","1969-08-29",52.94
"894","1969-09-02",52.9
"895","1969-09-03",52.55
"896","1969-09-04",52.11
"897","1969-09-05",51.8
"898","1969-09-08",51.28
"899","1969-09-09",51.65
"900","1969-09-10",52.49
"901","1969-09-11",52.15
"902","1969-09-12",52.19
"903","1969-09-15",52.5
"904","1969-09-16",52.6
"905","1969-09-17",52.47
"906","1969-09-18",52.65
"907","1969-09-19",52.84
"908","1969-09-22",53.07
"909","1969-09-23",53.08
"910","1969-09-24",52.98
"911","1969-09-25",52.59
"912","1969-09-26",52.23
"913","1969-09-29",51.85
"914","1969-09-30",51.69
"915","1969-10-01",51.37
"916","1969-10-02",51.8
"917","1969-10-03",51.77
"918","1969-10-06",51.86
"919","1969-10-07",51.74
"920","1969-10-08",51.49
"921","1969-10-09",51.66
"922","1969-10-10",51.98
"923","1969-10-13",52.63
"924","1969-10-14",53.32
"925","1969-10-15",53.36
"926","1969-10-16",53.76
"927","1969-10-17",53.72
"928","1969-10-20",53.88
"929","1969-10-21",54.31
"930","1969-10-22",54.66
"931","1969-10-23",54.49
"932","1969-10-24",54.89
"933","1969-10-27",54.83
"934","1969-10-28",54.68
"935","1969-10-29",54.2
"936","1969-10-30",54.28
"937","1969-10-31",54.45
"938","1969-11-03",54.41
"939","1969-11-04",54.46
"940","1969-11-05",54.7
"941","1969-11-06",54.73
"942","1969-11-07",55.07
"943","1969-11-10",55.12
"944","1969-11-11",54.94
"945","1969-11-12",54.86
"946","1969-11-13",54.56
"947","1969-11-14",54.33
"948","1969-11-17",53.92
"949","1969-11-18",53.9
"950","1969-11-19",53.63
"951","1969-11-20",53.04
"952","1969-11-21",52.68
"953","1969-11-24",52.12
"954","1969-11-25",51.98
"955","1969-11-26",52.16
"956","1969-11-28",52.49
"957","1969-12-01",52.12
"958","1969-12-02",51.78
"959","1969-12-03",51.18
"960","1969-12-04",51.36
"961","1969-12-05",51.2
"962","1969-12-08",50.59
"963","1969-12-08",50.51
"964","1969-12-10",50.47
"965","1969-12-11",50.51
"966","1969-12-12",50.66
"967","1969-12-15",50.52
"968","1969-12-16",50.04
"969","1969-12-17",49.78
"970","1969-12-18",50.58
"971","1969-12-19",51
"972","1969-12-22",50.53
"973","1969-12-23",50.28
"974","1969-12-24",50.87
"975","1969-12-26",51.29
"976","1969-12-29",50.93
"977","1969-12-30",51.23
"978","1969-12-31",51.53
"979","1970-01-02",52.1
"980","1970-01-05",52.36
"981","1970-01-06",52
"982","1970-01-07",51.92
"983","1970-01-08",51.96
"984","1970-01-09",51.82
"985","1970-01-12",51.41
"986","1970-01-13",51.44
"987","1970-01-14",51.34
"988","1970-01-15",51.34
"989","1970-01-16",50.94
"990","1970-01-19",50.27
"991","1970-01-20",50.36
"992","1970-01-21",50.4
"993","1970-01-22",50.43
"994","1970-01-23",49.93
"995","1970-01-26",49.38
"996","1970-01-27",49.04
"997","1970-01-28",48.59
"998","1970-01-29",47.94
"999","1970-01-30",47.54
