"","Family","Genus","Specific","Carid","Epalch","Naven","Huite","Tzonte","Santon","Santia","Mitziton","Chilil","Bazom","Bvista","Cholol","Cruzton","Yalcuk","SJTunas","Barreno"
"25","Solanaceae","Cestrum","guatemalense",0,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0
"26","Rubiaceae","Chioccoca","alba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"27","Sterculiaceae","Chiranthodendron","pentadactylon",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"28","Lauraceae","Cinnamomum","sapatae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"29","Lauraceae","Cinnamomum","sp",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","Verbenaceae","Citharexylum","donnell-smithii",0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
"31","Verbenaceae","Citharexylum","mocinnii",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","Verbenaceae","Citharexylum","sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"33","Clethraceae","Clethra","macrophylla",5,8,0,57,17,3,0,0,0,43,1,1,0,0,0,12
"34","Clethraceae","Clethra","oleoides",0,93,0,7,133,0,0,0,0,0,0,0,0,0,0,0
"35","Clethraceae","Clethra","sp",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"36","Clethraceae","Clethra","suaveolens",0,0,1,0,0,0,0,0,0,0,58,135,98,1,0,0
"37","Theaceae","Cleyera","theaoides",2,57,4,3,138,90,4,20,95,141,140,131,32,75,0,0
"38","Guttiferae","Clusia","mexicana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"39","Guttiferae","Clusia","rosea",0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0
"40","Leguminosae","Cojoba","arborea",0,8,0,0,0,0,0,0,0,0,0,3,1,0,0,0
"41","Rhamnaceae","Colubrina","arborescenses",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"42","Ericaceae","Comarostaphylis","discolor",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"43","Compositae","Genus4","sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"44","Cornaceae","Cornus","disciflora",8,82,1,0,13,0,18,0,69,111,2,36,5,18,0,0
"45","Cornaceae","Cornus","excelsa",4,28,0,5,0,0,0,0,13,2,9,30,25,1,0,0
"46","Lamiaceae","Cornutia","grandiflora",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"47","Rosaceae","Crataegus","pubescens",0,1,0,16,0,0,0,0,0,2,1,0,0,0,0,0
"48","Celastraceae","Crossopetalum","sp1",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","Celastraceae","Crossopetalum","sp2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","Celastraceae","Crossopetalum","parviflorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"51","Euphorbiaceae","Croton","fragilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"52","Euphorbiaceae","Croton","glabellus",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","Euphorbiaceae","Croton","guatemalensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"54","Sapindaceae","Cupania","dentata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"55","Cupressaceae","Cupressus","lusitanica",0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0
"56","Cyatheaceae","Cyathea","fulva",14,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0
"57","Leguminosae","Dalbergia","glomerata",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"58","Leguminosae","Dalbergia","sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"59","Thymelaeaceae","Daphnopsis","selerolum",0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0
"60","Araliaceae","Dendropanax","populifolius",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","Araliaceae","Dendropanax","arboreus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
"62","Rubiaceae","Deppea","grandiflora",0,0,0,5,20,0,0,0,0,0,0,0,0,0,0,0
"63","Leguminosae","Diphysa","americana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"64","Sapindaceae","Dodonaea","viscosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"65","Winteraceae","Drimys","granadensis",0,0,0,7,165,0,0,0,0,0,0,0,0,0,0,0
"66","Boraginaceae","Ehretia","luxiana",0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"67","Boraginaceae","Ehretia","tinifolia",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"68","Turneracea","Erblichia","odorata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"69","Leguminosae","Erythrina","chiapasana",0,0,0,0,0,0,0,0,0,0,0,4,18,0,1,17
"70","Myrtaceae","Eugenia","acapulcensis",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","Myrtaceae","Eugenia","capuli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
"72","Myrtaceae","Eugenia","capulioides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
"73","Compositae","Eupatorium","areolare",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","Compositae","Eupatorium","ligustrinum",0,4,0,9,1,62,0,0,3,0,2,1,1,2,0,0
"75","Compositae","Eupatorium","nubigenum",37,0,0,9,104,1,0,0,1,52,0,0,0,0,0,0
"76","Compositae","Eupatorium","pitierii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"77","Oleaceae","Forestiera","reticulata",0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
"78","Oleaceae","Fraxinus","udhei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"79","Oleaceae","Fraxinus","vellerea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"80","Onagraceae","Fuchsia","paniculata",2,0,0,0,4,0,0,0,0,0,0,2,0,1,0,0
"81","Garryaceae","Garrya","laurifolia",1,6,0,71,3,2,2,0,4,2,4,41,4,4,1,6
"82","Onagraceae","Hauya","elegans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"83","Chloranthaceae","Hedyosmum","mexicanum",15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"84","Rosaceae","Holodiscus","argenteus",0,12,1,25,1,10,0,0,0,0,24,25,4,4,0,0
"85","Aquifoliaceae","Ilex","macfadyenii",0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0
"86","Aquifoliaceae","Ilex","sp",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","Aquifoliaceae","Ilex","vomitoria",0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1
"88","Leguminosae","Inga","oerstediana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"89","Leguminosae","Inga","sp",24,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"90","Pinaceae","Juniperus","gamboana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,17
"91","Asteraceae","Lasianthaea","fruticosum",0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0
"92","Lauraceae","Genus5","sp",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"93","Leguminosae","Genus6","sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"94","Leguminosae","Genus7","sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"95","Lauraceae","Licaria","campechiana",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"96","Verbenaceae","Lippia","substrigosa",0,18,1,0,0,0,0,0,0,0,1,19,3,0,0,0
"97","Hamamelidaceae","Liquidambar","styraciflua",30,170,0,0,0,0,0,0,0,0,0,28,0,0,0,0
"98","Lauraceae","Litsea","glaucescens",0,2,0,25,1,1,0,4,2,0,2,7,0,1,0,0
"99","Leguminosae","Lonchocarpus","rugosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"100","Leguminosae","Lysiloma","divoricatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"101","Magnoliaceae","Magnolia","sharpii",0,0,0,0,1,0,0,0,0,103,0,0,0,3,0,0
"102","Annonaceae","Malmea","depressa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"103","Meliosmaceae","Meliosma","dentata",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104","Meliosmaceae","Meliosma","dives",0,0,0,1,17,0,0,0,0,0,0,0,0,3,0,0
"105","Meliosmaceae","Meliosma","sp",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106","Melastomataceae","Miconia","glaberrima",0,0,0,12,305,0,0,0,0,0,0,0,0,0,0,0
"107","Melastomataceae","Miconia","minutiflora",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108","Celastraceae","Microtropis","contracta",0,0,0,50,86,0,0,0,0,7,0,0,0,0,0,0
"109","Polygalaceae","Monnina","xalapensis",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"110","Compositae","Montanoa","arborescens",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"111","Compositae","Montanoa","leucantha",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112","Urticaceae","Morus","celtidifolia",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3
"113","Myricaceae","Myrica","cerifera",2,29,8,24,0,29,0,0,11,6,5,8,0,11,0,0
"114","Urticaceae","Myriocarpa","longipes",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"115","Myrtaceae","Genus8","sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
"116","Lauraceae","Nectandra","longicaudata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"117","Lauraceae","Nectandra","salicifolia",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118","Lauraceae","Nectandra","sp",12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"119","Cornaceae","Nyssa","silvatica",11,21,0,0,0,0,0,0,0,0,0,50,21,0,0,0
"120","Lauraceae","Ocotea","effusa",135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121","Lauraceae","Ocotea","helicterifolia",56,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"122","Lauraceae","Ocotea","sp",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123","Urticaceae","Olmediella","betschleriana",12,9,0,0,0,3,1,0,21,7,0,0,0,4,0,1
"124","Araliaceae","Oreopanax","arcanus",0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0
"125","Araliaceae","Oreopanax","capitatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"126","Araliaceae","Oreopanax","liebmanii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"127","Araliaceae","Oreopanax","peltatus",3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"128","Araliaceae","Oreopanax","xalapense",10,2,0,48,13,17,0,0,33,29,6,10,32,7,0,8
"129","Cupuliferae","Ostrya","virginiana",0,9,26,11,0,4,29,0,0,0,25,10,7,71,0,20
"130","Myrsinaceae","Parathesis","belizensis",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,20
"131","Myrsinaceae","Parathesis","chiapensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"132","Myrsinaceae","Parathesis","leptopa",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"133","Celastraceae","Perrottetia","ovata",11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"134","Lauraceae","Persea","americana",3,0,0,37,311,0,0,0,1,182,1,29,5,5,0,3
"135","Lauraceae","Persea","liebmannii",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"136","Compositae","Perymenium","grande",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"137","Rosaceae","Photinia","microcarpa",0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
"138","Saxifragaceae","Phyllonoma","laticuspis",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"139","Simaroubaceae","Picramnia","quaternaria",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140","Pinaceae","Pinus","ayacahuite",0,0,0,0,0,34,1,103,10,3,0,0,0,8,0,0
"141","Pinaceae","Pinus","chiapensis",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142","Pinaceae","Pinus","devoniana",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"143","Pinaceae","Pinus","maximinoi",1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"144","Pinaceae","Pinus","montezumae",0,0,0,0,0,4,27,18,10,322,0,0,0,19,0,0
"145","Pinaceae","Pinus","oocarpa",0,0,0,0,0,0,0,0,0,0,0,18,13,0,0,0
"146","Pinaceae","Pinus","pseudostrobus",0,0,14,1,0,103,108,45,120,58,108,26,10,40,100,0
"147","Pinaceae","Pinus","tecunumanii",0,1,12,0,0,60,143,299,398,291,83,22,2,139,0,0
"148","Piperaceae","Piper","psilorhachis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"149","Anacardiaceae","Pistaceae","mexicana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"150","Podocarpaceae","Podocarpus","matudae",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"151","Sapotaceae","Pouteria","lundellii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"152","Rosaceae","Prunus","brachybotrya",1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9
"153","Rosaceae","Prunus","lundelliana",0,0,0,7,111,0,0,0,0,0,0,0,0,1,0,0
"154","Rosaceae","Prunus","rhamnoides",0,0,0,13,82,0,0,0,5,19,0,0,0,0,0,0
"155","Rosaceae","Prunus","serotina",0,0,0,18,0,0,0,1,12,44,6,2,2,5,0,7
"156","Rubiaceae","Psychotria","minarum",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"157","Rubiaceae","Psychotria","costivenia",5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"158","Rubiaceae","Psychotria","marginata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"159","Fagaceae","Quercus","acatenangensis",0,0,0,2,121,0,0,0,0,111,0,0,0,0,0,0
"160","Fagaceae","Quercus","benthamii",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"161","Fagaceae","Quercus","candicans",0,36,6,20,0,0,0,0,0,0,25,1,0,0,0,0
"162","Fagaceae","Quercus","crassifolia",0,20,176,292,0,32,227,38,254,128,148,2,0,73,0,0
"163","Fagaceae","Quercus","crispipilis",0,13,0,24,0,39,109,0,157,5,89,49,76,81,62,22
"164","Fagaceae","Quercus","lancifolia",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"165","Fagaceae","Quercus","laurina",0,0,21,260,15,176,19,61,141,412,0,1,0,50,0,0
"166","Fagaceae","Quercus","peduncularis",0,0,0,8,0,29,20,0,0,0,0,0,0,1,0,0
"167","Fagaceae","Quercus","polymorpha",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20
"168","Fagaceae","Quercus","rugosa",0,0,126,476,0,150,279,37,233,21,0,0,0,119,0,0
"169","Fagaceae","Quercus","sapotaefolia",85,0,0,0,0,0,0,0,0,0,0,150,20,0,0,0
"170","Fagaceae","Quercus","segoviensis",0,0,0,0,0,3,1,0,0,0,68,34,50,0,245,49
"171","Fagaceae","Quercus","skutchii",0,4,1,8,0,3,14,0,10,0,0,0,0,8,0,0
"172","Fagaceae","Quercus","sp",0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0
"173","Rubiaceae","Randia","aculeata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"174","Myrsinaceae","Rapanea","juergensenii",0,0,0,58,88,8,4,3,47,619,7,0,0,17,0,28
"175","Myrsinaceae","Rapanea","myricoides",0,11,0,0,0,0,0,0,0,0,20,21,28,0,0,0
"176","Celastraceae","Rhacoma","standleyi",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"177","Celastraceae","Rhacoma","tonduzii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"178","Rhamnaceae","Rhamnus","capraeifolia",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"179","Rhamnaceae","Rhamnus","sharpii",0,1,0,5,1,1,0,0,1,122,1,18,16,0,0,0
"180","Anacardiaceae","Rhus","schiedeana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"181","Compositae","Roldana","sp",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"182","Rubiaceae","Rondeletia","cordata",0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"183","Rubiaceae","Rondeletia","stenosiphon",0,0,1,0,0,0,0,0,0,0,10,4,9,0,0,0
"184","Sabiaceae","Genus9","sp",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"185","Caprifoliaceae","Sambucus","granadensis",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"186","Caprifoliaceae","Sambucus","mexicana",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"187","Actinidiaceae","Saurauia","latipetala",1,0,0,6,9,0,0,0,1,9,0,0,0,4,0,0
"188","Actinidiaceae","Saurauia","scabrida",0,3,2,0,0,0,0,0,0,0,11,36,15,0,0,1
"189","Euphorbiaceae","Sebastiania","cruenta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
"190","Solanaceae","Solanum","hispidum",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"191","Solanaceae","Solanum","nigricans",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"192","Solanaceae","Solanum","nudum",0,0,0,5,21,0,0,0,0,0,0,0,0,0,0,0
"193","Family1","Genus10","sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"194","Family2","Genus11","sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"195","Family3","Genus12","sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"196","Euphorbiaceae","Stillingia","zelayensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
"197","Styracaceae","Styrax","argenteus",0,0,5,28,17,0,0,0,23,17,0,0,0,3,0,0
"198","Theaceae","Symplococarpon","purpusii",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"199","Styracaceae","Symplocos","limoncillo",0,0,0,11,46,0,0,0,0,21,0,0,0,0,0,0
"200","Styracaceae","Symplocos","longipes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"201","Styracaceae","Symplocos","sp",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"202","Myrsinaceae","Synardisia","venosa",4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"203","Anacardiaceae","Tapirira","mexicana",0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,0
"204","Bignonaceae","Tecoma","stans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
"205","Compositae","Telanthophora","cobanensis",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"206","Compositae","Telanthophora","grandifolium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"207","Theaceae","Ternstroemia","lineata",0,0,0,43,0,9,1,14,12,195,0,0,0,2,0,0
"208","Theaceae","Ternstroemia","oocarpa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
"209","Boraginaceae","Tournefortia","acutifolia",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"210","Tiliaceae","Trichospermum","mexicanum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"211","Moraceae","Trophis","chiapensis",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"212","Moraceae","Trophis","chorizantha",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"213","Sapindaceae","Turpinia","occidentalis",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"214","Urticaceae","Urera","caracasana",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"215","Urticaceae","Genus13","sp",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"216","Ericaceae","Vaccinium","breedlovei",0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"217","Compositae","Verbesina","perymenioides",0,0,0,12,0,21,2,0,7,59,0,0,0,0,0,0
"218","Compositae","Vernonia","canescens",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"219","Compositae","Vernonia","leiocarpa",0,0,1,0,0,0,0,0,0,0,4,1,0,0,3,8
"220","Compositae","Vernonia","scorpioides",7,33,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"221","Caprifoliaceae","Viburnum","acutifolium",0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0
"222","Caprifoliaceae","Viburnum","lautum",0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0
"223","Caprifoliaceae","Viburnum","discolor",0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"224","Caprifoliaceae","Viburnum","elatum",0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
"225","Caprifoliaceae","Viburnum","harwegii",0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,1
"226","Caprifoliaceae","Viburnum","jucundum",0,60,9,163,55,6,7,2,34,14,11,18,23,13,0,0
"227","Saxifragaceae","Weinmannia","pinnata",0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0
"228","Olacaceae","Ximenia","americana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"229","Flacourtiaceae","Xylosma","flexuosum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"230","Rutaceae","Zanthoxylum","melanostictum",0,0,0,3,33,0,0,0,0,11,0,0,0,0,0,0
"231","Celastraceae","Zinowiewia","rubra",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
