"","Family","Genus","Specific","Gengen","Nauta","Maniti","Huanta","Panguana","Ex.Petroleros","San.Antonio","Santa.Ana","Tarapoto"
"43","Annonaceae","Indet","sp.23",0,0,0,0,0,0,0,1,0
"44","Annonaceae","Indet","sp.5",0,0,0,0,0,1,0,0,0
"45","Annonaceae","Indet","sp.8",0,0,0,0,0,1,0,0,0
"47","Caryocaraceae","Anthodiscus","sp.1",0,0,0,0,1,0,0,0,0
"48","Euphorbiaceae","Aparisthmium","cordatum",0,0,0,2,0,0,0,0,0
"49","Tiliaceae","Apeiba","aspera",0,0,0,0,0,1,4,0,2
"50","Apocynaceae","Indet","sp.1",0,0,0,0,0,0,0,1,0
"51","Apocynaceae","Indet","sp.2",0,0,0,0,0,1,0,0,0
"52","Apocynaceae","Indet","sp.3",0,0,0,0,0,1,0,0,0
"53","Apocynaceae","Indet","sp.4",0,0,0,0,1,0,0,0,0
"54","Apocynaceae","Indet","sp.5",0,0,0,0,0,0,1,0,0
"55","Araliaceae","Indet","sp.1",0,0,0,0,0,0,10,0,0
"56","Apocynaceae","Aspidosperma","desmanthum",2,1,0,0,0,0,0,0,0
"58","Apocynaceae","Aspidosperma","rigidum",0,1,0,0,0,0,0,0,0
"60","Apocynaceae","Aspidosperma","sp.1",1,0,0,0,0,0,0,0,0
"61","Apocynaceae","Aspidosperma","sp.2",0,0,0,0,0,2,0,0,0
"64","Apocynaceae","Aspidosperma","sp.5",0,0,0,0,1,0,0,0,0
"65","Apocynaceae","Aspidosperma","sp.6",0,0,0,0,0,1,0,0,0
"66","Apocynaceae","Aspidosperma","spruceanum",0,0,1,0,2,0,0,0,0
"67","Arecaceae","Astrocaryum","chambira",3,1,0,0,0,0,1,3,2
"68","Arecaceae","Astrocaryum","murumuru",0,0,0,0,0,4,1,0,1
"69","Anacardiaceae","Astronium","graveolens",0,1,0,0,0,0,0,0,0
"72","Arecaceae","Bactris","acanthocarpoides",0,2,0,0,0,0,0,0,0
"73","Arecaceae","Bactris","bifida",0,0,4,0,0,0,0,0,0
"75","Arecaceae","Bactris","sp.4",0,0,0,0,0,0,0,0,2
"76","Arecaceae","Bactris","sp.5",0,0,0,0,0,0,0,1,0
"77","Flacourtiaceae","Banara","nitida",1,0,0,0,0,0,0,0,0
"79","Moraceae","Batocarpus","orinocoensis",0,2,0,0,0,1,1,0,0
"80","Bignoniaceae","Indet","sp.1",0,0,0,0,0,0,1,1,0
"81","Bixaceae","Bixa","urucurana",1,0,0,0,0,0,0,0,0
"84","Bombacaceae","Indet","sp.2",0,0,0,0,0,1,0,1,1
"88","Moraceae","Brosimum","acutifolium",0,0,0,0,0,0,0,2,0
"89","Moraceae","Brosimum","guianense",2,0,1,0,0,1,1,0,0
"90","Moraceae","Brosimum","lactescens",0,0,0,0,0,1,3,0,0
"91","Moraceae","Brosimum","parinarioides",0,0,0,0,1,0,1,0,0
"92","Moraceae","Brosimum","potabile",1,0,0,0,0,0,0,0,0
"93","Moraceae","Brosimum","rubescens",0,0,2,0,0,0,0,0,0
"94","Moraceae","Brosimum","sp.2",0,0,0,0,0,0,0,0,1
"95","Moraceae","Brosimum","utile",0,0,2,2,0,0,1,0,0
"96","Fabaceae","Brownea","cauliflora",8,0,0,0,0,0,0,0,4
"98","Combretaceae","Buchenavia","congesta",0,0,0,1,0,0,0,0,0
"102","Combretaceae","Buchenavia","seriocarpa",0,0,1,0,2,0,0,0,0
"103","Combretaceae","Buchenavia","sp.2",0,1,0,0,0,0,0,0,0
"104","Combretaceae","Buchenavia","sp.4",0,0,0,0,1,0,0,0,0
"105","Combretaceae","Buchenavia","sp.5",0,0,0,0,0,1,0,0,0
"106","Combretaceae","Buchenavia","sp.6",0,0,0,0,1,0,0,0,0
"107","Malpighiaceae","Bunchosia","hookeriana",1,0,0,0,0,0,0,0,0
"108","Malpighiaceae","Bunchosia","sp.1",0,0,0,0,0,1,0,0,0
"110","Malpighiaceae","Byrsonima","poeppigiana",0,0,1,0,0,0,0,0,0
"111","Malpighiaceae","Byrsonima","sp.2",0,0,0,1,0,0,0,0,0
"112","Malpighiaceae","Byrsonima","sp.3",0,0,0,0,1,0,0,0,0
"117","Fabaceae","Caesalpinioidae","sp.4",0,0,0,0,2,0,0,0,0
"118","Fabaceae","Caesalpinioidae","sp.5",0,0,0,0,0,0,0,0,1
"120","Fabaceae","Caesalpinioidae","sp.8",0,0,0,0,2,0,0,0,0
"121","Fabaceae","Calliandra","carbonaria",1,0,0,0,0,1,0,0,0
"122","Clusiaceae","Calophyllum","brasiliense",1,0,0,0,1,0,0,0,1
"124","Myrtaceae","Calyptranthes","bipennis",0,3,0,0,0,0,0,0,0
"126","Myrtaceae","Calyptranthes","cuspidata",0,0,1,0,2,0,0,0,0
"127","Myrtaceae","Calyptranthes","densiflora",1,0,0,0,0,0,0,0,0
"128","Myrtaceae","Calyptranthes","longifolia",3,0,0,0,0,1,0,0,3
"131","Myrtaceae","Calyptranthes","sp.1",0,0,0,4,0,0,0,0,0
"135","Capparidaceae","Indet","sp.3",0,0,4,0,0,0,0,0,0
"136","Capparidaceae","Capparis","schunkei",0,0,1,0,0,0,0,0,0
"137","Capparidaceae","Capparis","sola",0,0,1,0,0,0,0,0,0
"138","Capparidaceae","Capparis","sp.1",0,0,0,0,0,0,1,0,0
"140","Lecythidaceae","Cariniana","decandra",0,1,1,0,1,0,1,0,0
"141","Lecythidaceae","Cariniana","multiflora",0,0,0,2,0,0,0,1,0
"142","Flacourtiaceae","Carpotroche","longifolia",5,2,0,1,0,1,1,1,1
"143","Caryocaraceae","Caryocar","glabrum",0,0,0,1,0,1,0,0,0
"144","Lauraceae","Caryodaphnopsis","fosteri",0,0,0,1,0,1,0,1,0
"145","Euphorbiaceae","Caryodendron","orinocoense",1,0,0,0,0,1,0,0,0
"146","Flacourtiaceae","Casearia","javitensis",2,0,0,2,0,1,2,2,0
"147","Flacourtiaceae","Casearia","pitumba",0,1,2,0,0,0,0,0,0
"148","Flacourtiaceae","Casearia","sp.1",0,0,0,0,0,1,0,0,1
"149","Flacourtiaceae","Casearia","sp.10",0,0,0,0,0,2,0,0,0
"150","Flacourtiaceae","Casearia","sp.11",0,0,0,0,0,1,0,0,0
"151","Flacourtiaceae","Casearia","sp.12",0,0,0,0,0,1,0,0,0
"155","Flacourtiaceae","Casearia","sp.4",0,0,0,0,0,0,0,1,0
"156","Flacourtiaceae","Casearia","sp.5",0,1,0,0,0,0,1,0,0
"157","Flacourtiaceae","Casearia","sp.6",0,0,0,0,0,0,0,0,1
"158","Flacourtiaceae","Casearia","sp.7",0,0,0,0,0,0,0,0,1
"159","Flacourtiaceae","Casearia","sp.8",0,0,0,0,0,0,3,0,0
"160","Flacourtiaceae","Casearia","sp.9",0,0,0,0,0,0,0,1,0
"161","Flacourtiaceae","Casearia","sylvestris",1,0,0,0,0,0,0,0,0
"162","Flacourtiaceae","Casearia","ulmifolia",3,0,0,0,0,1,0,0,0
"163","Moraceae","Castilla","ulei",0,0,0,0,0,1,0,0,0
"164","Cecropiaceae","Cecropia","distachya",0,2,3,1,0,0,0,0,0
"165","Cecropiaceae","Cecropia","ficifolia",1,0,0,0,0,1,1,0,0
"166","Cecropiaceae","Cecropia","membranacea",0,1,1,0,0,0,0,0,0
"167","Cecropiaceae","Cecropia","sciadophylla",1,0,0,0,0,0,0,0,1
"170","Celastraceae","Indet","sp.1",0,0,0,0,0,0,0,2,0
"171","Ochnaceae","Cespedesia","spathulata",0,0,0,0,1,0,0,0,0
"172","Hippocrateaceae","Cheiloclinium","cognatum",0,0,1,0,0,1,0,0,0
"173","Hippocrateaceae","Cheiloclinium","sp.1",0,0,0,0,0,0,1,0,0
"175","Rubiaceae","Chomelia","barbellata",0,0,0,1,0,0,0,0,0
"177","Chrysobalanaceae","Indet","sp.10",0,0,0,1,0,0,0,0,0
"178","Chrysobalanaceae","Indet","sp.2",0,0,0,0,1,0,0,0,0
"179","Chrysobalanaceae","Indet","sp.3",0,0,1,0,0,0,0,0,0
"180","Chrysobalanaceae","Indet","sp.4",0,0,0,0,0,1,2,0,0
"181","Chrysobalanaceae","Indet","sp.5",0,0,0,0,0,0,1,0,0
"182","Chrysobalanaceae","Indet","sp.6",1,0,0,0,0,0,0,0,0
"183","Sapotaceae","Chrysophyllum","bombycinum",0,1,0,0,0,0,0,0,0
"185","Sapotaceae","Chrysophyllum","manaosense",0,1,0,0,0,0,0,1,0
"187","Sapotaceae","Chrysophyllum","sanguinolentum",0,0,0,0,0,0,0,1,0
"189","Sapotaceae","Chrysophyllum","sp.2",0,0,0,4,0,0,0,0,0
"190","Sapotaceae","Chrysophyllum","sp.3",0,1,0,0,0,0,0,0,0
"191","Sapotaceae","Chrysophyllum","sp.4",0,0,0,0,1,0,0,0,0
"192","Sapotaceae","Chrysophyllum","sp.5",0,0,0,0,0,0,1,0,0
"194","Sapotaceae","Chrysophyllum","ucuquirana-branca",0,1,0,0,0,0,0,0,0
"195","Moraceae","clarisia","biflora",1,0,0,0,0,0,0,0,2
"196","Moraceae","Clarisia","ilicifolia",0,0,0,0,0,0,1,0,0
"197","Melastomataceae","Cli","pipe",0,0,0,0,1,0,0,0,0
"198","Polygonaceae","Coccoloba","paraensis",1,0,0,0,0,0,0,0,1
"199","Polygonaceae","Coccoloba","sp.1",0,0,0,0,0,0,1,0,0
"200","Polygonaceae","Coccoloba","sp.2",0,0,0,0,0,1,0,0,0
"201","Polygonaceae","Coccoloba","sp.3",0,0,0,0,0,0,0,0,1
"202","Myristicaceae","Compsoneura","capitellata",0,0,1,0,0,0,2,1,1
"203","Myristicaceae","Compsoneura","sprucei",0,0,0,0,0,1,0,0,0
"204","Euphorbiaceae","Conceveiba","martiana",0,1,0,1,0,0,0,0,0
"205","Euphorbiaceae","Conceveiba","rhytidocarpa",6,1,2,1,0,1,6,2,0
"206","Euphorbiaceae","Conceveiba","sp.1",0,0,0,0,0,0,14,0,0
"207","Connaraceae","Connarus","fasciculatus",0,1,0,3,0,0,0,0,0
"208","Boraginaceae","Cordia","mexiana",1,0,0,0,0,0,0,0,0
"209","Boraginaceae","Cordia","nodosa",3,1,0,2,2,2,5,0,2
"210","Boraginaceae","Cordia","sp.1",0,0,0,0,0,0,0,1,0
"212","Boraginaceae","Cordia","trachyphylla",0,0,0,1,1,0,0,0,0
"213","Boraginaceae","Cordia","ucayaliensis",0,0,1,0,0,0,2,4,0
"214","Boraginaceae","Cordia","ulei",1,0,0,0,0,3,0,1,0
"215","Chrysobalanaceae","Couepia","bernardii",0,1,0,2,2,0,1,0,0
"216","Chrysobalanaceae","Couepia","dolichopoda",0,0,0,0,0,0,0,1,0
"217","Chrysobalanaceae","Couepia","guianensis",0,0,1,0,0,0,0,0,0
"218","Chrysobalanaceae","Couepia","obovata",0,0,2,0,0,0,0,0,0
"219","Chrysobalanaceae","Couepia","parillo",1,1,0,0,0,0,0,1,0
"220","Chrysobalanaceae","Couepia","racemosa",0,2,0,0,0,0,0,0,0
"221","Chrysobalanaceae","Couepia","sp.1",0,0,0,0,6,0,0,0,0
"222","Chrysobalanaceae","Couepia","sp.2",0,0,0,0,0,1,0,1,0
"223","Chrysobalanaceae","Couepia","sp.3",0,0,0,0,0,0,1,0,0
"224","Chrysobalanaceae","Couepia","sp.4",0,0,2,0,0,0,0,0,0
"225","Chrysobalanaceae","Couepia","williamsii",0,0,3,0,0,0,0,0,0
"226","Apocynaceae","Couma","macrocarpa",0,0,1,2,1,0,0,0,0
"228","Lecythidaceae","Couratari","sp.1",0,2,0,0,0,0,0,3,0
"229","Cecropiaceae","Coussapoa","orthoneura",0,0,0,0,0,0,1,0,0
"230","Cecropiaceae","Coussapoa","trinervia",0,0,0,0,0,0,1,0,0
"231","Rubiaceae","Coussarea","klugii",3,0,0,0,0,0,0,0,8
"232","Rubiaceae","Coussarea","megalocarpa",1,0,0,0,0,2,0,0,2
"233","Rubiaceae","Coussarea","sp.1",0,1,0,0,0,0,0,0,0
"234","Annonaceae","Cremastosperma","cauliflorum",0,1,0,0,0,0,1,0,0
"235","Burseraceae","Crepidospermum","prancei",0,0,0,1,0,0,0,2,0
"236","Burseraceae","Crepidospermum","rhoifolium",1,0,0,0,0,0,0,1,3
"237","Euphorbiaceae","Croton","palanostigma",0,0,0,0,0,0,1,0,0
"238","Euphorbiaceae","Croton","sp.1",0,0,0,3,0,0,0,0,0
"239","Euphorbiaceae","Croton","sp.2",0,0,0,0,0,0,0,1,0
"240","Euphorbiaceae","Croton","tessmannii",1,0,0,0,0,2,2,0,4
"243","Sapindaceae","Cupania","sp.3",0,0,0,1,0,0,0,0,0
"247","Myrsinaceae","Cybianthus","sp.2",0,0,0,1,0,0,0,0,0
"249","Annonaceae","Cymbopetalum","sanchezii",1,0,0,0,0,0,0,0,0
"250","Burseraceae","Dacryodes","chimantensis",0,0,2,1,2,0,1,0,0
"252","Burseraceae","Dacryodes","peruviana",0,0,0,0,0,0,1,0,0
"253","Burseraceae","Dacryodes","roraimensis",0,1,0,0,0,0,0,0,0
"254","Burseraceae","Dacryodes","sp.1",0,1,0,4,0,0,0,0,0
"255","Burseraceae","Dacryodes","sp.2",0,0,0,0,1,0,0,0,0
"256","Burseraceae","Dacryodes","sp.3",0,0,0,0,1,0,0,0,0
"257","Fabaceae","Dalbergia","monetaria",0,1,0,0,0,0,0,0,0
"258","Icacinaceae","Dendrobangia","boliviana",1,1,0,0,1,0,0,0,0
"259","Icacinaceae","Dendrobangia","multinervia",0,0,0,1,1,0,0,0,0
"260","Araliaceae","Dendropanax","macropodus",2,0,0,0,0,0,0,1,1
"262","Fabaceae","Dialium","guianense",1,1,4,3,1,0,0,0,0
"263","Dichapetalaceae","Dichapetalum","sp.1",0,0,0,0,1,0,0,0,0
"264","Annonaceae","Diclinanona","tessmannii",0,0,3,1,5,0,0,0,0
"265","Passifloraceae","Dilkea","parviflora",0,0,3,0,0,0,1,1,0
"266","Ebenaceae","Diospyros","sp.1",0,0,0,0,0,1,0,0,0
"267","Ebenaceae","Diospyros","sp.2",2,0,0,0,0,0,0,0,0
"268","Ebenaceae","Diospyros","sp.3",0,0,0,3,0,0,0,0,0
"269","Ebenaceae","Diospyros","sp.4",0,0,0,0,0,0,3,0,0
"270","Ebenaceae","Diospyros","sp.5",0,0,0,0,1,0,0,0,0
"271","Ebenaceae","Diospyros","sp.6",0,0,0,0,0,0,0,1,0
"272","Ebenaceae","Diospyros","sp.7",0,0,0,0,0,0,0,1,0
"274","Fabaceae","Diplotropis","purpureus",0,0,1,0,0,0,0,0,0
"276","Fabaceae","Dipteryx","odorata",0,0,1,0,0,0,0,0,0
"278","Icacinaceae","Discophora","guianensis",0,0,4,1,0,0,0,0,1
"279","Euphorbiaceae","Drypetes","amazonica",0,0,0,0,0,0,0,0,2
"280","Annonaceae","Duguetia","flagellaris",0,1,0,0,0,0,0,0,1
"281","Annonaceae","Duguetia","hadrantha",0,0,0,0,0,2,0,0,1
"282","Annonaceae","Duguetia","latifolia",1,1,0,1,2,1,0,0,0
"283","Annonaceae","Duguetia","macrophylla",1,0,0,0,0,0,0,0,0
"284","Annonaceae","Duguetia","quitarensis",1,0,0,0,0,0,0,0,1
"285","Annonaceae","Duguetia","spixiana",0,0,0,0,0,1,0,0,2
"287","Annonaceae","Duguetia","trunciflora",0,3,0,2,3,0,0,0,0
"288","Olacaceae","Dulacia","candida",0,0,0,1,0,0,0,0,0
"289","Rubiaceae","Duroia","hirsuta",0,0,0,0,1,0,3,1,0
"290","Rubiaceae","Duroia","saccifera",0,1,0,0,0,0,0,0,0
"291","Rubiaceae","Duroia","sp.1",0,0,0,0,0,0,0,1,0
"292","Rubiaceae","Duroia","sp.2",0,0,1,0,0,0,0,0,0
"293","Fabaceae","Dussia","tessmannii",1,0,0,0,0,0,0,0,0
"295","Sapotaceae","Ecclinusa","lanceolata",0,1,3,1,2,0,0,0,0
"296","Sapotaceae","Ecclinusa","ramiflora",0,0,2,0,0,0,0,0,0
"297","Rubiaceae","Elaegia","mariae",0,0,0,0,8,0,0,0,0
"300","Lauraceae","Endlicheria","formosa",1,0,0,0,0,0,0,0,0
"301","Lauraceae","Endlicheria","gracilis",0,0,0,0,1,1,0,0,0
"303","Lauraceae","Endlicheria","sericea",0,0,1,0,0,0,0,0,0
"304","Lauraceae","Endlicheria","sprucei",0,0,0,0,0,0,0,1,0
"305","Lauraceae","Endlicheria","tessmannii",2,0,3,0,0,0,0,1,0
"307","Annonaceae","Ephedranthus","guianensis",0,0,0,0,0,1,0,0,0
"308","Bombacaceae","Eriotheca","macrophylla",1,0,0,0,0,0,0,0,0
"309","Bombacaceae","Eriotheca","sp.1",0,0,0,1,0,0,0,0,0
"310","Bombacaceae","Eriotheca","sp.2",2,0,0,0,0,0,0,0,0
"311","Vochysiaceae","Erisma","bicolor",0,6,1,2,0,0,0,1,0
"312","Vochysiaceae","Erisma","sp.1",1,0,0,0,0,1,0,1,0
"314","Erythroxylaceae","Erythroxylum","sp.1",0,0,0,0,0,2,0,0,0
"315","Lecythidaceae","Eschweilera","andina",0,2,13,7,5,0,0,0,1
"316","Lecythidaceae","Eschweilera","bracteosa",0,1,0,0,1,0,1,0,0
"317","Lecythidaceae","Eschweilera","chartaceifolia",0,0,1,0,0,0,2,0,0
"318","Lecythidaceae","Eschweilera","coriacea",10,0,0,0,1,4,4,3,3
"319","Lecythidaceae","Eschweilera","gigantea",0,0,0,0,0,0,0,1,1
"320","Lecythidaceae","Eschweilera","grandiflora",0,2,0,0,0,0,0,0,0
"321","Lecythidaceae","Eschweilera","itayensis",0,1,2,4,0,0,3,4,0
"322","Lecythidaceae","Eschweilera","laevicarpa",0,1,0,1,0,0,0,1,0
"323","Lecythidaceae","Eschweilera","rufifolia",2,0,0,0,0,0,3,0,1
"324","Lecythidaceae","Eschweilera","sp.1",0,6,0,0,14,0,4,1,0
"325","Lecythidaceae","Eschweilera","sp.2",0,0,0,0,0,0,0,1,0
"326","Lecythidaceae","Eschweilera","sp.3",0,0,0,0,0,0,0,1,0
"327","Lecythidaceae","Eschweilera","sp.4",0,0,1,0,0,0,0,0,0
"329","Lecythidaceae","Eschweilera","sp.6",0,0,5,9,3,0,0,1,0
"330","Lecythidaceae","Eschweilera","sp.7",0,1,0,0,1,0,0,0,0
"331","Lecythidaceae","Eschweilera","sp.8",3,6,0,0,0,1,3,1,0
"332","Lecythidaceae","Eschweilera","sp.9",0,3,0,4,0,0,0,0,0
"333","Lecythidaceae","Eschweilera","tessmannii",4,4,0,0,0,1,2,0,0
"334","Myrtaceae","Eugenia","discreta",1,0,0,0,0,2,0,0,1
"335","Myrtaceae","Eugenia","feijoi",0,0,1,0,0,0,0,0,0
"336","Myrtaceae","Eugenia","florida",1,0,1,2,1,1,0,1,0
"337","Myrtaceae","Eugenia","lambertiana",0,0,0,1,0,0,2,0,0
"338","Myrtaceae","Eugenia","muricata",1,1,0,0,0,1,0,0,0
"343","Myrtaceae","Eugenia","sp.5",1,0,0,0,0,0,0,0,0
"345","Myrtaceae","Eugenia","sp.7",1,0,0,0,0,0,0,0,0
"346","Myrtaceae","Eugenia","sp.8",0,0,1,0,0,0,0,0,0
"347","Euphorbiaceae","Euphorbia","elata",1,0,0,0,0,0,0,0,0
"348","Euphorbiaceae","Indet","sp.1",0,0,0,0,0,0,0,8,0
"349","Euphorbiaceae","Indet","sp.2",0,0,0,0,0,0,0,0,1
"350","Euphorbiaceae","Indet","sp.3",0,0,0,0,0,0,1,0,0
"351","Euphorbiaceae","Indet","sp.4",0,0,0,0,0,0,0,0,1
"352","Euphorbiaceae","Indet","sp.5",0,0,0,0,0,0,0,0,1
"353","Euphorbiaceae","Indet","sp.6",0,0,0,0,0,0,0,1,0
"355","Euphorbiaceae","Indet","sp.8",0,0,0,0,0,1,0,0,0
"356","Euphorbiaceae","Indet","sp.9",0,0,0,0,0,1,0,0,0
"358","Arecaceae","Euterpe","precatoria",0,0,4,0,3,1,0,0,0
"359","Rubiaceae","Faramea","anisocalyx",0,0,0,0,0,2,0,0,2
"360","Rubiaceae","Faramea","capillipes",0,2,0,0,0,0,0,0,0
"361","Rubiaceae","Faramea","sp.2",3,0,0,0,0,2,0,0,0
"362","Rubiaceae","Ferdinandusa","clorantha",0,1,0,0,0,0,0,0,0
"363","Rubiaceae","Ferdinandusa","loretensis",0,0,0,0,0,0,1,0,0
"364","Moraceae","Ficus","trigona",0,0,0,0,0,0,0,0,1
"365","Annonaceae","Froesiodendron","amazonicum",0,1,1,1,0,0,0,1,0
"366","Annonaceae","Fusaea","longifolia",1,0,0,0,0,0,0,0,0
"367","Annonaceae","Fusaea","sp.1",0,0,0,0,0,0,0,0,1
"368","Rutaceae","Galipea","sp.1",2,0,0,0,0,0,0,0,0
"369","Clusiaceae","Garcinia","macrophylla",0,0,0,1,0,0,0,0,0
"370","Clusiaceae","Garcinia","madruno",0,2,0,0,0,0,0,0,0
"371","Clusiaceae","Garcinia","sp.1",0,0,1,0,0,0,0,0,0
"372","Clusiaceae","Garcinia","sp.2",0,0,0,0,0,2,2,0,2
"373","Clusiaceae","Garcinia","sp.3",0,0,0,0,0,0,0,0,1
"374","Clusiaceae","Garcinia","sp.4",0,0,0,0,0,0,1,0,1
"375","Euphorbiaceae","Gavarretia","terminalis",0,2,0,0,0,0,0,0,0
"378","Arecaceae","Geonoma","sp.2",0,0,0,0,10,0,0,0,0
"379","Violaceae","Gloeospermum","pilosum",0,1,0,0,0,0,0,0,0
"380","Euphorbiaceae","Glycydendron","amazonicum",0,1,0,0,0,0,0,0,0
"381","Meliaceae","Guarea","carinata",0,0,0,0,1,0,1,3,0
"382","Meliaceae","Guarea","cinnamomea",3,0,0,0,0,4,1,0,1
"383","Meliaceae","Guarea","cristata",0,0,1,1,1,0,0,0,0
"384","Meliaceae","Guarea","ecuadoriensis",4,0,0,0,0,1,1,0,0
"385","Meliaceae","Guarea","glabra",0,0,0,1,5,2,0,1,1
"386","Meliaceae","Guarea","grandifolia",0,2,5,4,0,0,0,0,0
"387","Meliaceae","Guarea","juglandiformis",0,1,2,0,0,0,0,0,0
"388","Meliaceae","Guarea","kunthiana",8,0,0,0,0,1,0,0,0
"389","Meliaceae","Guarea","macrophylla",0,0,0,1,1,0,0,0,0
"390","Meliaceae","Guarea","pubescens",7,0,0,0,0,1,2,0,1
"391","Meliaceae","Guarea","silvatica",0,1,0,2,0,0,0,0,0
"393","Meliaceae","Guarea","sp.10",0,0,1,0,0,2,2,0,0
"394","Meliaceae","Guarea","sp.11",0,0,0,0,0,0,1,1,0
"395","Meliaceae","Guarea","sp.12",0,0,0,0,0,1,0,0,0
"396","Meliaceae","Guarea","sp.13",0,0,0,1,2,0,0,0,0
"397","Meliaceae","Guarea","sp.14",4,0,0,0,0,0,0,0,0
"398","Meliaceae","Guarea","sp.15",0,0,0,0,0,0,0,0,5
"399","Meliaceae","Guarea","sp.16",0,0,0,0,0,0,0,1,0
"400","Meliaceae","Guarea","sp.17",0,0,0,0,0,1,0,0,1
"401","Meliaceae","Guarea","sp.18",0,0,0,0,0,0,1,0,1
"402","Meliaceae","Guarea","sp.19",0,0,0,1,1,0,0,0,0
"404","Meliaceae","Guarea","sp.3",0,0,1,0,0,0,0,2,0
"405","Meliaceae","Guarea","sp.4",1,0,0,0,0,4,0,0,7
"406","Meliaceae","Guarea","sp.5",2,0,0,0,0,1,0,0,0
"407","Meliaceae","Guarea","sp.6",0,0,0,0,2,2,0,0,0
"408","Meliaceae","Guarea","sp.7",0,0,3,0,1,0,0,0,0
"409","Meliaceae","Guarea","sp.8",0,0,0,0,0,0,1,0,0
"410","Meliaceae","Guarea","sp.9",0,0,0,0,0,0,2,0,0
"411","Meliaceae","Guarea","trunciflora",0,2,1,0,1,0,0,0,0
"412","Annonaceae","Guatteria","citriodora",0,0,0,0,1,0,0,0,0
"413","Annonaceae","Guatteria","decurrens",1,0,0,0,0,0,1,0,0
"414","Annonaceae","Guatteria","elata",0,0,0,0,1,0,0,0,0
"415","Annonaceae","Guatteria","hyposericea",0,0,0,1,0,0,0,0,0
"416","Annonaceae","Guatteria","longicuspis",0,0,2,0,0,0,0,0,0
"417","Annonaceae","Guatteria","megalophylla",0,3,4,0,0,1,0,2,0
"418","Annonaceae","Guatteria","multivenia",0,2,0,0,0,2,0,0,0
"419","Annonaceae","Guatteria","olivacea",1,0,0,0,1,3,0,0,0
"420","Annonaceae","Guatteria","sp.1",0,0,0,0,1,0,0,0,0
"421","Annonaceae","Guatteria","sp.10",0,0,0,0,0,0,0,0,1
"422","Annonaceae","Guatteria","sp.2",0,0,0,0,0,0,0,1,0
"423","Annonaceae","Guatteria","sp.3",0,0,0,0,0,0,0,0,1
"424","Annonaceae","Guatteria","sp.4",0,0,0,0,0,0,1,0,0
"425","Annonaceae","Guatteria","sp.5",0,0,0,0,0,0,1,0,0
"426","Annonaceae","Guatteria","sp.6",0,0,0,0,0,0,1,0,0
