""," Valkenburg"," Ijmuiden"," De Kooy"," Schiphol"," Vlieland"," Berkhout"," Hoorn"," De Bilt"," Soesterberg"," Stavoren"," Lelystad"," Leeuwarden"," Marknesse"," Deelen"," Lauwersoog"," Heino"," Hoogeveen"," Eelde"," Hupsel"," Nieuw Beerta"," Twenthe"," Vlissingen"," Westdorpe"," Wilhelminadorp"," Hoek Van Holland"," Woensdrecht"," Rotterdam"," Cabauw"," Gilze-Rijen"," Herwijnen"," Eindhoven"," Volkel"," Ell"," Maastricht"," Arcen"
"1993",334,340,355,360,NA,NA,NA,278,283,376,309,304,293,319,350,293,283,340,257,365,334,360,293,319,309,NA,334,309,324,329,283,273,NA,319,268
"1994",278,319,319,340,NA,NA,NA,278,262,324,283,293,268,262,355,268,262,288,252,288,252,350,268,283,283,NA,283,298,237,273,314,268,NA,298,278
"1995",329,329,309,298,NA,NA,340,257,257,309,283,293,273,252,314,257,304,304,293,283,293,340,288,288,309,NA,283,288,262,309,247,242,NA,283,237
"1996",252,300,280,270,350,NA,280,240,260,280,240,240,230,211,270,206,220,230,230,260,220,290,240,260,298,260,231,250,230,260,230,210,NA,260,221
"1997",320,320,290,360,310,NA,310,250,240,310,260,270,260,250,280,250,280,260,260,300,260,400,290,300,300,280,350,280,240,280,260,270,NA,280,250
"1998",290,350,310,290,330,NA,290,270,260,290,310,300,250,260,290,270,270,270,260,290,270,340,250,280,340,260,270,270,260,300,260,270,NA,270,240
"1999",300,320,320,300,390,NA,320,320,270,310,250,280,250,240,310,240,280,260,250,340,270,310,280,300,330,230,280,280,220,260,280,260,NA,270,260
"2000",290,390,290,270,360,260,300,280,270,300,250,290,290,280,270,250,260,270,260,270,260,340,260,300,320,240,280,270,260,260,250,270,270,290,240
"2001",270,440,300,250,330,280,300,220,230,270,240,290,270,220,280,240,250,240,210,280,240,350,260,260,300,230,250,240,230,270,230,230,230,230,240
"2002",350,390,340,340,340,380,330,280,310,330,330,330,300,330,340,270,290,300,310,320,350,410,320,320,380,320,330,330,280,330,280,310,330,310,280
"2003",250,270,250,250,290,250,280,190,230,260,290,260,270,220,300,300,250,270,230,270,220,260,230,280,280,220,240,230,210,220,210,260,210,250,220
"2004",330,290,270,300,340,290,290,270,270,270,290,250,260,270,300,270,260,280,270,290,270,310,280,290,300,250,300,300,250,290,260,270,300,290,240
"2005",260,390,280,280,320,290,280,240,260,280,280,270,250,260,290,280,320,300,330,300,250,280,230,260,480,240,240,260,290,250,230,220,240,220,220
"2006",270,310,280,270,300,280,280,240,250,300,260,310,250,230,320,250,290,280,250,310,230,300,230,240,290,260,270,260,240,260,230,210,260,280,220
"2007",330,330,330,360,340,350,310,280,320,320,320,310,310,330,360,330,310,310,330,300,320,350,320,370,360,320,350,350,270,340,310,320,270,280,290
"2008",310,340,290,290,310,280,300,240,250,300,260,270,260,240,290,250,250,260,240,300,260,330,260,310,290,270,260,320,300,260,270,240,250,240,220
"2009",260,300,270,290,290,270,290,210,NA,280,250,240,270,220,270,220,240,260,210,240,220,240,240,240,280,210,240,240,210,220,220,240,280,230,220
"2010",250,300,260,250,290,240,280,210,NA,250,290,240,220,300,250,250,220,220,290,260,230,260,270,240,280,220,240,230,230,240,270,340,280,320,290
"2011",270,300,270,250,300,280,270,250,NA,260,250,260,240,230,330,210,220,250,260,250,230,310,220,260,290,210,250,260,230,250,320,250,230,250,220
"2012",260,480,280,250,400,280,330,260,NA,310,240,270,260,250,330,220,280,290,250,270,240,300,330,280,300,270,280,310,230,270,230,240,250,250,220
