"","Q7.1","Q7.2","Q7.4","Q8.1","Q8.2","Q8.3","Q9Nav.3","Q29.2","Q29.3","Q30.1","Q30.2","Q30.3","Q40.1","Q40.3"
"54","1","1","1","1","1","1","2","2","2","2","2","3","3","2"
"55","1","1","1","1","1","1","1","1","1","2","1",NA,"2","2"
"56","1","3","1","1","1","1","1","2","2","1","1","2","1","1"
"57",NA,NA,NA,"1","1","1","2","2","3","1","1","2","3","2"
"58","1","3","1","1","1","1","1","1","2",NA,NA,NA,"3","2"
"59","3","3","1","2","2","1","1","1","2","1","1","2","3","2"
"60","1","1","1","2","2","1","2","1","1","2","1","1","2","1"
"61","1","1","1","1","1","1","2","2","2","1","2","2","2","2"
"62","3","2","1","1","2","1","2","2","2","1","1","2","3","2"
"63","2","3","2","1","1","1",NA,"2",NA,"1","1",NA,"2","2"
"64","1","3","1","2","1","1","2","2","2","2","2","2","3","2"
"65","1","2","1","2","2","1","2","2",NA,"2","2",NA,"3","2"
"66","3","3","1","1","1","1","1","1","3",NA,NA,NA,"3","2"
"67","2","2","1","1","2","1","2","2","3","2","2","3","1","2"
"68","1","1","1","1","1","1","1","1","2","1","1","2","1","1"
"69","2","2","2","2","2","2","2","1","2","1","1","2","3","3"
"70","1","1","1","1","1","1","1","2","2","2","2","2","2","1"
"71","1","1","1","1","1","1","1","1","2","1","1","2","2","2"
"72","1","3","1","1","1","1","2","2","3","2","2","3","2","2"
"73","2","2","2","2","2","2","1","2","2",NA,NA,NA,"3","1"
"74","1","3","1","2","2","2","2","2","2","2","2","2","3","2"
"75","2","2","2","1","1","1","2","2","2",NA,NA,NA,"3","2"
"76","1",NA,"1","1","1","1","1","1","1","1","1",NA,"1","2"
"77","1","1","1","1","1","1","1","1","2","1","1","2","3","2"
"78","1","1","1","1","1","1","2","1","2","1","1","2","1","2"
"79","2","2","1","1","1","1","2","2","1",NA,NA,NA,"2","1"
"80","1","1","1","1","1","1","1","1","1","2","2","1","1","1"
"81","1","1","1","2","1","1","1","2","2","1","1","2","2","2"
"82","3","3","1","2","2","2","1","1","3","1","1",NA,"3","2"
"83",NA,NA,NA,"1","1","1",NA,"2",NA,NA,NA,NA,"1","1"
"84","3","3","3","1","1","1","2",NA,"2",NA,NA,NA,"2","2"
"85","2","3","3","1","1","1","2","1","1","1","1","1","3","3"
"86","1","1","1","1","1","1","1","1","1","1","2","2","2","2"
"87","1","2","2","1","1","1","2","1","1","1","1","1","2","1"
"88","1","1","1","2","1","1","2","2","3","2","2","3","2","2"
"89","1","2","2","1","1","1","1","1","2","1","2","2","3","2"
"90","1","1","1","1","1","1","1","1","1","1","1","1","2","2"
"91","1","1","1","1","1","1","1","2","1",NA,NA,NA,"3","2"
"92","1","2","1","1","1","1","2","2","1","1","1","2","1","2"
"93","2","2","2","2","2","1","1","2",NA,NA,NA,"1","2","2"
"94","1","3","1","1","1","1","2","2","2","1",NA,"2","3","1"
"95","1","1","1","1","1","1","2","2","2","1","2","2","2","2"
"96","3","3","2",NA,NA,NA,"2","2","3","2","2","3","3","2"
"97",NA,NA,NA,NA,NA,NA,NA,"2","3",NA,"2","3","2","2"
"98","1","3","1","1","1","1","1","1","1","1","1","1","1","1"
"99","1","1","1","2","2","1","2","2","2","1","2","2","3","3"
"100","1",NA,"1","1","1","1",NA,NA,NA,NA,NA,NA,"2","1"
"101","1","1","1","1","1","1","1","1","1","1","1","1","3","2"
"102","1","1","1","1","1","1","1","1","1","1","1","2","1","1"
"103","2","2","2","1","2","1","1","2","2",NA,NA,NA,"2","2"
"104","1","3","2","2","2","1","2","2","1","2","2","1","3","2"
"105","1","1","1","1","1","1","2","2","3","1","2","3","2","3"
"106","1","3","3","2","2","1","2","2","1","2","2","2","2","2"
"107","3","3","1","1","1","1","2","1","2","2","2","3","2","2"
"108","2","3","1","1","1","2",NA,"1",NA,"1","1",NA,"2","1"
"109","2","2","2","1","1","1","1","2","2","2","2","3","2","2"
"110","1","1","1","1","1","1","1","1","1","2","2","1","1","1"
"111","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,"2","2"
"112","2","2","2","2","2","1","1","1","1","1","1","1","3","1"
"113","1","3","1","1","1","1","1","2","3","1","1","2","1","2"
"114","1","1","1","1","1","1","1","1",NA,"1","1",NA,"2","2"
"115","3","1","1","1","1","1","1","1","1","1","1","1","3","2"
"116","2","2","1","1","1","1","1","1","2","2","1","2","2","2"
"117","1","1","1","1","1","1","1","2","2",NA,NA,NA,"3","2"
"118","1","2","1","1","1","1","2","2","2","1","2","2","3","3"
"119","1","2","1","1","1","2","2","1","2","1","1","2","3","2"
"120","1","1","1","1","1","1","1","1","2","1","1","2","1","1"
"121","1","1","1","2","1","1","2","2","2","2","2",NA,"2","1"
"122","1","3","1","1","1","1","2","1","2","2","2","2","3","1"
"123",NA,NA,NA,"1","1","1","1","1","2","1","2","2","2","1"
"124","1",NA,"1","1","1","1","1","1","2","1","1","2","3","2"
"125","2","3","2","1","1","1","2","1","2","1","1","3","2","2"
"126","1","3","1","1","1","1","1","1","2","1","1","2","1","2"
"127","1","3","1","1","1","1","1","1","2","2","2",NA,"2","2"
"128","1","3","1","2","2","2","1","1","2","1","1",NA,"2","1"
"129","1","1","1","1","1","1","2","1","2","1","1","2","3","2"
"130","2","2","2","1","1","1","1","1","2","1","2","2","3","2"
"131","1","3","1","2","2","2","1","1",NA,"1","1",NA,"3","1"
"132","1","1","1","1","1","1","2","2","2","1","1","3","2","2"
"133","3","3","1","2","2","1","1","2","2",NA,NA,NA,"2","1"
"134","1","2","2","1","1","1","2","2","2","2","2","2","1","1"
"135","2","3","1","1","1","1","2","1","2","1","1",NA,"3","2"
"136","1","3","1","1","1","1","1","1","1","1","1",NA,"3","2"
"137","1","3","1","2","1","1","1","1","2","1","1","2","1","2"
"138","1","2","1",NA,NA,NA,"2","1","3","1","1","3","2","1"
"139","2","2","1","2","1","1","1","2","2","1","1","2","2","2"
"140","1","1","1","2","1","1","1","1","2",NA,NA,NA,"2","2"
"141","1","1","1","1","1","1","1","1","1",NA,"2","2","1","2"
"142",NA,"2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","3"
"143","1","1","1","1","1","1","1","1","2","1","1","2","2","2"
"144","2","2","1","1","1","1","1","1","2","1","2","3","3","2"
"145","1","1","3","1","1","1","2","2",NA,"1","1",NA,"3","3"
"146","3","3","3","1","1","1","1","1","2",NA,NA,NA,"2","2"
"147","3","3","1","2","2","2","1","1","2","1","2","2","3","3"
"148","1","1","1","2",NA,"1","2","1","2",NA,NA,NA,"2","2"
"149","2","3","1","1","1","1","1",NA,NA,"2","1",NA,"2","2"
"150","2","2","2","2","2","2","2","1",NA,"2","2",NA,"2","2"
"151","1","3","1","1","1","1","2","2",NA,NA,NA,NA,"3","3"
"152","1","1","1","1","1","1","1","1","3",NA,NA,NA,"3","2"
"153","1","3","1","1","1","1","2","2","2","2","2","2","1","2"
"154","2","2","1","1","2","1","2","2","1",NA,NA,NA,"1","1"
"155","1","2","2","1","1","1","1","1","1",NA,"1","1",NA,NA
"156","1","2","1","1","2","1","1","1","2","1","1","2","3","2"
"157","1","1","1","2","1","1","1","2","2","1","2","2","3","2"
"158","1","3","1","1","1","1","1","1","2","1","1","2","2","2"
"159","1","2","3","1","1","1","2","2","3",NA,NA,NA,"2","2"
"160","1","2","1","1","2","2","1","2","1","1","2","1","3","2"
"161","1","2","1","1","1","1","2","1","2","1","2","2","2",NA
"162","2","2","2","2","2","2","2","1","2","1","2","2","2","1"
"163","2","2","1","1","1","1","2","2","3","1","2","3","3","2"
"164","1","3","1","1","1","1","2","1","1",NA,NA,NA,"2","2"
"165","2","2","2","1","1","1","2","2","2","2","2","3","3","2"
"166","1","3","1","1","1","1","1","2","2","2","2","2","2","1"
"167","1","3","1","1","1","1","1","2","2",NA,NA,NA,"2","2"
"168","2","2","1","2","2","2","2","2","2","2","2","2","2","1"
"169","2","3","3","1","1","1","2","2","3",NA,NA,NA,"3","2"
"170","1","2","1","1","1","1","2","2","2","1","1","2","3","2"
"171","3","3","3","2","1","1","2","2","2","2","2","2","2","2"
"172","1","1","1","1","1","1","2","1","2","1","1","2","1","2"
"173","2","2","2","1","1","1","2","2","2","2","2","2","1","1"
"174","2","3","2","1","1","1","2","1","2","2","2","2","2",NA
"175","2","2","1","2","2","2","2","1","3","2","1","3","3","2"
"176","1","3","1","1","1","1","2","2","2","2","2","2","3","2"
"177","1","2","1","1","1","1","1","2","1","1","1","2","2","1"
"178","1","1","1","1","1","1","1","1","2","1","1","3","3","2"
"179","1","1","1","1","1","1","1","1","2","1","1","2","2","1"
"180","1","3","1","2","1","1","1","2",NA,NA,NA,NA,"1","2"
"181","1","3","1",NA,"1","1","1","1","2","1","1","2","2","2"
"182","2","2","1","1","1","1","1","1","1","1","1","2","3","3"
"183","1","1","1","1","1","2","1","2",NA,"2","2","2","2","2"
"184","2","2","2","2","2","2","1","1","1","1","1","2","2","1"
"185","3","3","1","1","2","2","2","1","1","2","1","1","3","2"
"186","1","2","1","1","1","1","1","2","1","2","2","2","2","2"
"187","1","1","1","1","1","1","1","1","1","1","1","2","1","1"
"188","1","1","1","1","1","1","1","1","2","1","1","2","2","2"
"189","1","1","1","1","1","1","1","1","2","1","1",NA,"3","2"
"190","1","1","1","1","1","1","1","1","3","1","1",NA,"3","3"
"191","3","2","1","1","1","1","2","2","2","1","2","1","3","2"
"192","2","2","2","2","2","2","1","2","3","2","2","3","3","2"
"193","3","3","1","1","1","1","2","2","2","2","2","2","3","2"
"194","1","3","2","1","1","1","1","1","2","1","1","2","2","1"
"195","1","1","1","1","1","1","2","2","2","2","2","2","2","1"
"196","1","1","1","1","1","1","1","1","2","1","1","2","3","2"
"197",NA,NA,"1","1","1","1","1","1","3","1","1","1","1","2"
"198","1","1","1","1","2","1","1","1","2","1","1","2","2",NA
"199","1","1","1","1","1","1","2","2","1","2","2","1","2","1"
"200",NA,NA,NA,NA,NA,NA,NA,"2","3",NA,NA,NA,"3","2"
"201","3","3","3","1","1","1","1",NA,NA,"1","1",NA,"1","2"
"202","1","3","1","1","1","1","1","1","2","1","1","2","2","1"
"203","1","2","2","1","1","1","1","1","2","1","1","2","2","1"
"204","2","2","1","2","2","2","1","1","2","1","1","2","3","2"
"205","2","2","2","1","1","1","2","2","2","2","2","2","3","2"
"206","1","1","1","2","2","2","1","1","2","1","1","2","3","1"
"207","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"208","3","3","1","2","1","1","2","1",NA,NA,NA,NA,"2","2"
"209","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,"1","1"
"210","2","3","2","2","2","2","2","1","1","1","1","2","3","1"
"211","1","1","1","1","1","1","1","2","1",NA,NA,NA,"3","2"
"212","1","3","1","1","1","1","2","1","1","2","1","3","2","2"
"213","1","1","1","2","1","1","1","2","2","2","1","2","1","1"
"214","1","1","1","1","1","1","2","2","2","2","2","3","3","2"
"215","1","3","3","1","1","1","2","1","3","1","2","2","2","1"
"216","1","1","1","2","2","1","1","2","1",NA,NA,NA,"3","1"
"217","3","3","1","2","1","1","2","1","1","2","1","1","3","2"
"218","1","3","2","2","2","1","2","2","2","2","2","2","3","2"
"219","1","2","1","2","2","2","2","2","3",NA,NA,NA,"2","2"
"220","1","1","1","2","2","2","1","1","3","1","1","3","2","2"
"221","2","2","1","2","2","1","1","2","2",NA,NA,NA,"2","1"
"222","1","3","1","1","2","1","1","1","1","1","1","2","2","1"
"223","1","1","1","2","1","1","1","2","2","1","1","2","3","2"
"224","1","3","2","2","2","2","2","2",NA,NA,NA,NA,"3","2"
"225","2","1","1","1","1","1","1","1","1","1","1","2","2","1"
"226","1",NA,"1","2","1","1","2","2","2","2","2","2","2","1"
"227","1","1","1","2","2","1","2","1","1","1","1",NA,"3","2"
"228","1","2","1","2","2","2","1","1",NA,"1","1",NA,"2","1"
"229","2","3","2","1","1","1","2","2","2","2","2","2","2","2"
"230","2","2","1","1","1","1",NA,"1","2","2","1","2","2","1"
"231","1","1","1","1","1","1","2","1","2","2","1","2","3","1"
"232","1","2","2","1","1","1","2","1","3","2","2","3","3","2"
"233","1","1","1","1","1","1","1","1","2","1","1","2","3","2"
"234","1","1","1","2","2","1","2","2","2","2","2","2","3","2"
"235","1","2","1","2","2","1","2","2","2","2","2","2","3","1"
"236","3","3","1","1","2","1","2","1","2","2","1","2","3","2"
"237","2","2","1","1","1","1","1","2","2","1","1","2","3","2"
"238","1","1","1","1","1","1","2","2","1","1","2","1","3","1"
"239","2","2","1","1","1","1","1","1","2","1","1","2","2","2"
"240","1","1","1","1","1","1","2","1","1",NA,NA,NA,"3","2"
"241","2","2","2","1","1","1","2","2","2","2","2","2","2","2"
"242","2","2","3","1","1","1","1","2","3","2","2","3","3","2"
"243","2","2","2","2","2","2","2","2","3","2","2","3","1","1"
"244","1","3","1","1","1","1","2","1","2","2","1","2","2","2"
"245","2","2","1","2","1","1","1","2","2","1","1","2","3","2"
"246","1","2","1","1","1","1","1","1","2","1","1","2","3","2"
"247","1","1","1","1","1","1","2","2","2","1","2","2","2","2"
"248","1","3","1","2","1","1","1","1","1","1","1","2","2","2"
"249","1","1","1","2","2","2","1","1",NA,"1","1",NA,"3","2"
"250","1","3","2","1","1","1","1","2",NA,NA,NA,NA,"2","1"
"251","2","2","2","1","1","1","1","1","3","1","1",NA,"3","2"
"252","1","1","2","2","2","2","1","1",NA,"1","1",NA,"1","1"
"253","1","1","1","1","1","1","1","1","2",NA,NA,NA,"1","1"
"254","2","2","1","1","2","1","2","2","2","2","2","2","2","1"
"255","1","1","1","2","1","1","2",NA,"3",NA,NA,NA,"2","2"
"256","1","1","1","1","1","1","1","2","3","1","1","3","2","2"
"257","3","3","1","2","1","1","1","1","2","1","1","2","3","2"
"258","1","2","3","2","2","2","1","1","2","1","1","2","2","2"
"259","1","1","1","1","1","1","1","1","1","1","1","1","2","2"
"260","1","2","1","1","2","1","2","2","1","2","2","1","3","3"
"261","2","2","2","2","2","2","2","1","2",NA,NA,NA,"2","2"
"262","1","3","1","1","2","1","2","2","2","2","2","2","2","2"
"263","1","3","1","1","1","1","1","1","2","1","1","2","3","1"
"264","1","3","3","1","1","1","2","2","1","2","2","3","1","1"
"265","2","2","1","1","1","1","1","2","3","2","2","3","2","2"
"266","1","2","1","1","1","1","1","2","3","1","2","2","2","2"
"267","1","1","2","1","1","1","2","2","2","2","2","2","3","2"
"268","1","1","1","2","1","1","2","1","1","1","1","1","2","1"
"269","1","3","1","1","2","1","1","1","3","1","1","3","1","1"
"270","3","3","1","1","1","1","2","1","2",NA,NA,NA,"3","3"
"271","2","2","1","2","2","1","1","2","3",NA,NA,NA,"2","1"
"272","1","3","2","1","1","1","2","2","2","2","2","3","1","1"
"273","1","1","1","1","2","1","2","1","1","1","1","1","1","1"
"274","2","2","2","1","1","1","2","2","2","2","2","2","3","1"
"275","1","1","1","1","1","1","1","1","2","2","1","2","1","1"
"276","2","2","1","2","2","2","2","2","2","2","2","2","1","2"
"277","1","3","1","1","1","1","1","1","2","2","2","2","2","2"
"278","2","2","1","2","2","2","1","1","2","2","2",NA,"3","2"
"279","2","3","1","2","2","1","2","2","2","2","2","2","2","2"
"280","2","2","3","2","2","1","2","2","2","2","2","2","2","1"
"281","2","3","1","2","2","2","1","1","2",NA,NA,NA,"1","2"
"282","1","1","1","1","1","1","1","1","2","1","1","2","3","2"
"283","1","1","1","2","1","1","1","2","2","1","2","2","3","2"
"284",NA,NA,NA,"2","2","1","1","2","2","2","2","2","2","2"
"285","2","2","3","2","2","2","2","1","2",NA,NA,NA,"3","2"
"286","1","2","3","1","1","1","2","1","2","2","2","2","2","1"
"287","1","1","1","1","1","1","1","1","2","1","1",NA,"3","1"
"288","1","1","1","2","2","2","2","1","2","1","1","2",NA,NA
"289","1","2","1","1","1","1","2","2","2","1","2","2","2","2"
"290","1","1","1","1","1","1","1","1","2",NA,NA,NA,"3","2"
"291","1","1","1","1","1","1","2","1","2",NA,NA,NA,"3","2"
"292","2","2","2","2","2","2","2","2",NA,"2","2","2","1","2"
"293","1","3","1","1","2","1","2","2","2","1","1","2","3","1"
"294","2","2","1","1","2","1","2","2","3","2","2","3","3","1"
"295",NA,NA,NA,"1","1","1","1","2","2",NA,NA,NA,"2","1"
"296","1","3","1","1","1","1","2","1","2",NA,NA,NA,"3","2"
"297","2","2","1","2","2","2","1","1","2","1","1","2","3","2"
"298","1","3","1","1","1","1","2","2","2","2","2","2","2","2"
"299","1","1","1","1","1","1","1","1","2","1","1","2","2","2"
"300","1","1","1","2","1","1","2","2","3","2","2",NA,"1","1"
"301","1","1","1","1","1","1","1","1","1","2","1","1","3","2"
"302","2","2","2","2","2","2","1","1","1","2","1","1","1","2"
"303","2","2","1","2","1","1","2","1","2","1","1","2","1","2"
"304","1","3","1","1","1","1","1","1","1","1","2","2","2","2"
"305","1","3","1","1","1","1","2","1","2","1","1","2","3","2"
"306","2","3","2","1","1","1","2","1","2","1","1","2","1","2"
"307","2","2","2","1","1","1","1","2","3","2","2","3","3","2"
"308","2","1","1","1","1","1","1","1","2","1","1","2","3","1"
"309","1","2","1","2","1","1","2","2","2","2","2","2","2","2"
"310","1","3","2","2","2","2","2","2","3",NA,NA,NA,"2","2"
"311","1","3","1","1","2","1","2","1","1","1","2","2","3","2"
"312","1","2","1","2","1","1","1","1","2","1","2","2","3","1"
"313",NA,NA,NA,"1","1","1",NA,NA,"2",NA,NA,"3","2","2"
"314","1","1","1","1","1","1","1","2","3","1","2","3","3","1"
"315","2","3","2","2","2","2","2","2","2","1","2","2","3","1"
"316","1","2","1","1","1","1","1","1","3","1","1","2","2","2"
"317","1","3","1","1","1","1","1","1","1","2","2","1","3","3"
"318","1","3","1","2","1","1","2","1","2",NA,NA,NA,"3","2"
"319","2","2","2","2","2","2","2","1","1",NA,NA,NA,"1","1"
"320","1","3","1","1","1","1","2","2","2",NA,NA,NA,"2","1"
"321","1","1","1","1","1","1","1","1","2","1","1","3","1","1"
"322","1","1","1","1","1","1","1","1","2","1","1","2","2","1"
"323","1","1","1","1","1","1","1","1","1","2","2","1","3","2"
"324","1","2","1","2","2","2","2","1","1","2","2","1","2","2"
"325","1","2","1","1","1","1","2","1","2","1","1","2","3","2"
"326",NA,NA,NA,NA,NA,NA,NA,"1",NA,"1","1",NA,"2","2"
"327","2","3","2","1","1","1","2","2","2","2","2","2","2","1"
"328","1","1","1","2","1","1","2","1","1","1","1","2","2","2"
"329","1","1","1","1","1","2","1","2","3","2","2","3","3","2"
"330","2","3","1","1","1","1","2","1","2","2","1","2","2","2"
"331","2","2","2","2","2","2","2","2","2",NA,NA,NA,"2","2"
"332","1","1","1","2","2","2","1","1","2","1","1","2","1","2"
"333","1","3","1","1","1","1","1","1",NA,NA,NA,NA,"2","2"
"334","1","3","1",NA,NA,NA,"1","1","3","2","2","3","2","2"
"335","1","1","1","2","2","2","2","2","3","2","2","3","2","2"
"336","1","2","1","1","2","2","2","1","2","1","1","2","2","1"
"337","2","2","1","2","2","2","1","2","1",NA,NA,NA,"1","1"
"338","1","3","1","1","1","1","2","2","1",NA,NA,NA,"3","1"
"339","1","1","1","1","1","1","2","2","1",NA,NA,NA,"2","1"
"340","1","1","1","1","1","1","1","1",NA,"1","1",NA,"2","2"
"341","1","1","1","1","1","1","1","2","2","2","2","2","2","1"
"342","1",NA,"1","1","1","1","2","2","2","1","1","2","2",NA
"343","1","3","1","2","2","1","2","1","3","1","1","2","3","3"
"344","3","3","1","1","1","1","1","1","2",NA,NA,NA,"2","2"
"345","1",NA,"1","1","1","1","2","2","3","2","2","2","2","2"
"346","1","1","1","2","1","1","2","2","2","2","2","2","2","2"
"347","3","2","1","1","1","1","1","1",NA,"1","2",NA,"3","2"
"348","3","2","2","2","2","2","1","1",NA,NA,NA,NA,"2","2"
"349","1","1","3","1","1","1","2","1","1","2","2","1","3","3"
"350","1","2","1","2","2","2","2","1","2","1","1","2","3","2"
"351","1","1","1","2","2","1","2","2","2","1","1","2","2","2"
"352","1","1","1","2","2","2","1","1","2","1","1","2","3","2"
"353","1","1","1","1","1","1","1","2","2","2","2","2","1","2"
"354","1","1","1","1","1","1","1","1","1","1","1","2","1","1"
"355","1","1","1","1","1","1","2","1","2","2","2","2","3","3"
"356",NA,NA,NA,"1","1","1","1","1","1","2","2","2","1","2"
"357","1","1","1","1","1","1","1","1","2","1","1","2","2","2"
"358","1","3","1","2","2","2","2","1","2","2","2","2","2","2"
"359","1","3","1","1","1","1","2","2","3","1","2","3","2","2"
"360","1","1","1","2","2","2","2","1","1","1","1","1","3","2"
"361","2","2","2","2","2","1","1","1","2","2","1","2","2","3"
"362","1","1","1","1","1","1","1","1","2","1","1","2","3","2"
"363","1","3","1","1","1","1","2","2",NA,"2","2",NA,"3","3"
"364","3","3","1","1","1","1","1","2","2","2","2","2","3","2"
"365","2","3","1","2","1","1","2","2","2","1","2","3","1","1"
"366","1","3","3","1","1","1","1","2","3","2","2","3","2","2"
"367","1","2","1","1","1","1","1","1",NA,NA,"2","2","3","1"
"368","2","2","2","1","1","1","2","2","3","2","2","2","3","2"
"369","2","2","1","1","1","1","2","2","1",NA,NA,NA,"2","1"
"370","1","1","1","1","1","1","2",NA,NA,"2","2",NA,"1","1"
"371","3","3","1","2","1","1","2","1","2","2",NA,NA,"2",NA
"372","1","2","2","1","1","1","1","1","2","1","1","2","2","2"
"373","1","1","1","1","1","1","2","2","1","1","2","1","3","2"
"374","1","1","1","1","1","1","1","2","1","1","1","2","2","2"
"375","1","2","1","2","2","2","2","1","2","2","1","2","3","2"
"376","1",NA,"1","1","1","1","1","1","2","1","1","2","1","2"
"377","2","1","1","1","1","1","1","1","2","1","1","2","2","2"
"378","2","2","1","1","1","1","1","1","3","1","1","3","3","2"
"379","1","1","1","1","1","1","1","2","2","2","2","2","2","2"
"380","1","1","1","1","2","1","1","1","1",NA,NA,NA,"3","2"
"381","1","1","1","1","1","1","1","1","1","2","1","2","2","1"
"382","1","2","2","2","1","1","1",NA,NA,NA,NA,NA,"2","1"
"383","2","2","1","2","1","1","1","2","1","1","1","2","3","2"
"384","1","3","1","1","1","1","1","2","2",NA,NA,NA,"2","2"
"385","1","1","1","1","1","1","1","1","1","1","2","2","2","2"
"386","1","3","1","2","2","2","2","2","2","2","2","2","3","2"
"387","2","2","1","1","2","2","1","1","1","1","1","1","3","2"
"388","2","3","1","2","2","2","1","1","2","1","1","2","2","3"
"389","1","1","1","1","1","1","1","2","2","1","1","2","2","2"
"390","1","2","1","2","2","2","1","2","3","1","1","2","3","2"
"391","1","1","1","1","1","1","1",NA,"2","1",NA,"2","3","1"
"392","1","3","2","1","1","1","1","1","1","2","2","1","3","1"
"393","1","1","1","1","2","1","1","2","2","1","1","2","2",NA
"394","1","1","2","1","1","1","2","2","2","2","2","3","2","2"
"395",NA,NA,NA,"1","1","1","2","2","3","2","2","3","3","2"
"396","1","1","1","1","1",NA,"2","2","2","2","2","2","2","2"
"397","1","1","1","1","1","1","1","1","2",NA,NA,NA,"3","2"
"398","1","2","1","1","1","1","2","1","2","2","1","2","3","2"
"399","1","1","1","1","1","1","1","1","2","1","1","2","3","2"
"400","2","3","1","1","1","1",NA,"1","3",NA,NA,NA,"3","2"
"401","2","3","1","1","1","1","1","2","1","1","2","1","3","2"
"402","2","2","1","2","2","2","1","2",NA,"1","1","3","1","1"
"403","1","1","1","1","1","1","1","2","2","1","1","2","2","2"
"404","1","1","1","1","1","1","2","2","2","2","2","3","2","1"
"405","1","1","1","1","1","1","1",NA,NA,NA,NA,NA,"2","2"
"406","1","1","1","1","1","1","1","2","2","1","1","2","3","3"
"407","1","1","1","1","1","1","1","1","2","1","1","2","1","1"
"408","1","1","1","1","1","1","2","2","3","1","2","2","3","3"
"409","1","3","1","1","1","1","1",NA,"1","2",NA,"2","2","1"
"410","2","2","1","1","2","2","1","1","2","1","2","2","2","2"
"411","1","1","1","1","1","1","1","2","1","2","2","3","2","2"
"412","1","1","1","1","1","1","1","1","2","1","1","2","2","2"
