"","CLASS","AGE","SEX","SURV"
"111","1",NA,"1","0"
"112","1",NA,"1","0"
"113","1","1","1","0"
"114",NA,NA,"1","0"
"115","1","1","1","0"
"116","1","1",NA,"0"
"117","1","1","1","0"
"118",NA,"1","1","0"
"119","1","1","1","0"
"120","1","1","1","0"
"121","1","1","1","0"
"122","1","1","1","0"
"123","1","1",NA,NA
"124","1","1","1","0"
"125","1","1","1","0"
"126","1","1","1","0"
"127","1","1","1","0"
"128","1","1","1",NA
"129","1",NA,"1",NA
"130","1","1","1","0"
"131","1","1","1",NA
"132",NA,"1","1","0"
"133","1","1",NA,NA
"134",NA,"1",NA,"0"
"135","1","1","1","0"
"136","1",NA,"1","0"
"137",NA,NA,"1",NA
"138","1","1","1",NA
"139","1","1","1","0"
"140","1","1","1","0"
"141",NA,NA,"1","0"
"142",NA,"1",NA,"0"
"143","1",NA,"1","0"
"144","1","1",NA,NA
"145","1",NA,"1","0"
"146","1","1","1","0"
"147","1",NA,"1","0"
"148","1","1","1","0"
"149","1","1","1","0"
"150","1","1","1","0"
"151","1",NA,"1",NA
"152","1","1","1","0"
"153",NA,"1","1","0"
"154","1","1","1","0"
"155","1","1","1","0"
"156","1","1","1","0"
"157","1","1",NA,"0"
"158",NA,"1","1","0"
"159","1","1","1","0"
"160","1","1","1","0"
"161",NA,"1","1","0"
"162","1","1","1","0"
"163","1",NA,"1","0"
"164","1","1","1",NA
"165","1","1","1","0"
"166","1","1","1","0"
"167",NA,"1","1",NA
"168","1",NA,"1",NA
"169","1","1","1","0"
"170","1",NA,"1","0"
"171","1","1","1","0"
"172","1","1","1","0"
"173","1","1","1","0"
"174","1",NA,"1","0"
"175","1","1","1","0"
"176","1","1","0","1"
"177","1","1","0","1"
"178","1","1",NA,"1"
"179","1",NA,"0","1"
"180",NA,"1","0",NA
"181",NA,"1","0",NA
"182","1","1",NA,"1"
"183",NA,"1","0","1"
"184","1","1","0","1"
"185","1","1",NA,"1"
"186","1","1","0","1"
"187","1","1","0","1"
"188","1","1","0","1"
"189","1",NA,"0","1"
"190",NA,"1",NA,"1"
"191",NA,NA,"0",NA
"192","1","1","0","1"
"193","1","1","0",NA
"194","1","1",NA,"1"
"195","1","1","0","1"
"196","1",NA,"0","1"
"197","1","1",NA,"1"
"198","1","1","0","1"
"199","1","1",NA,"1"
"200","1","1",NA,"1"
"201","1",NA,"0",NA
"202","1","1","0","1"
"203","1","1","0","1"
"204","1","1","0","1"
"205",NA,"1","0","1"
"206","1","1","0",NA
"207","1","1","0","1"
"208","1","1","0","1"
"209","1",NA,"0",NA
"210","1","1","0","1"
"211","1","1","0","1"
"212","1","1","0","1"
"213",NA,"1","0",NA
"214","1","1","0","1"
"215","1","1","0","1"
"216","1","1","0","1"
"217","1","1","0","1"
"218","1","1","0","1"
"219","1","1","0",NA
"220","1","1","0","1"
"221","1","1","0","1"
"222","1",NA,"0","1"
"223",NA,"1","0","1"
"224","1","1","0","1"
"225","1","1",NA,NA
"226","1","1","0",NA
"227","1","1","0",NA
"228",NA,"1","0","1"
"229","1","1","0","1"
"230","1","1","0",NA
"231","1","1","0","1"
"232","1","1","0","1"
"233","1","1","0","1"
"234","1",NA,"0",NA
"235","1",NA,"0","1"
"236","1","1","0","1"
"237",NA,NA,"0","1"
"238","1",NA,NA,"1"
"239","1",NA,"0","1"
"240","1","1","0","1"
"241","1","1","0","1"
"242",NA,"1","0","1"
"243","1","1","0","1"
"244",NA,"1","0","1"
"245",NA,"1","0","1"
"246","1","1","0","1"
"247","1",NA,"0","1"
"248","1","1",NA,"1"
"249","1","1","0","1"
"250",NA,NA,"0","1"
"251",NA,"1","0","1"
"252","1","1","0","1"
"253","1",NA,"0","1"
"254",NA,"1","0",NA
"255",NA,"1","0","1"
"256","1","1","0","1"
"257","1","1","0",NA
"258","1",NA,"0","1"
"259",NA,"1","0","1"
"260","1","1","0","1"
"261","1",NA,"0",NA
"262","1",NA,"0","1"
"263","1","1","0","1"
"264","1","1","0","1"
"265",NA,"1","0","1"
"266","1","1","0",NA
"267","1","1","0","1"
"268","1","1","0","1"
"269","1",NA,NA,"1"
"270","1","1","0",NA
"271","1","1","0",NA
"272","1","1","0",NA
"273","1","1","0","1"
"274","1","1","0","1"
"275","1","1","0","1"
"276",NA,"1","0",NA
"277",NA,"1","0","1"
"278","1","1","0","1"
"279","1","1","0","1"
"280",NA,"1","0","1"
"281","1","1","0","1"
"282","1","1","0",NA
"283","1",NA,"0",NA
"284","1","1","0","1"
"285","1","1","0","1"
"286",NA,NA,"0","1"
"287",NA,NA,"0","1"
"288",NA,"1",NA,"1"
"289","1","1","0","1"
"290",NA,"1","0",NA
"291","1","1","0","1"
"292","1","1",NA,"1"
"293","1","1","0","1"
"294","1","1","0","1"
"295",NA,"1","0","1"
"296","1","1","0",NA
"297","1",NA,"0","1"
"298","1","1","0","1"
"299","1","1","0","1"
"300","1","1","0","1"
"301","1","1","0","1"
"302","1","1","0","1"
"303",NA,"1","0","1"
"304","1","1","0","1"
"305",NA,"1","0","1"
"306","1","1","0","1"
"307","1","1","0","1"
"308","1","1","0",NA
"309",NA,"1","0","1"
"310","1",NA,NA,"1"
"311","1","1","0",NA
"312","1","1","0","1"
"313",NA,"1","0","1"
"314",NA,NA,"0",NA
"315","1","1","0",NA
"316",NA,"1",NA,"0"
"317","1","1","0","0"
"318",NA,"1","0","0"
"319","1","1",NA,"0"
"320","1",NA,NA,"1"
"321","1",NA,"1","1"
"322","1","0","1","1"
"323","1","0","1","1"
"324","1","0","1",NA
"325","1","0","0","1"
"326","2","1","1","1"
"327","2","1","1","1"
"328","2","1","1",NA
"329","2","1","1","1"
"330","2","1","1","1"
"331","2",NA,"1","1"
"332","2",NA,"1",NA
"333","2",NA,NA,"1"
"334","2","1","1","1"
"335","2","1","1","1"
"336","2","1",NA,NA
"337","2","1","1","1"
"338","2","1","1","1"
"339",NA,"1",NA,"1"
"340","2","1","1",NA
"341","2","1","1","0"
"342","2","1","1","0"
"343",NA,NA,"1","0"
"344",NA,"1","1","0"
"345",NA,"1","1","0"
"346","2","1","1","0"
"347","2",NA,"1","0"
"348",NA,"1","1","0"
"349",NA,"1","1",NA
"350","2","1","1","0"
"351","2","1",NA,"0"
"352","2","1",NA,NA
"353","2","1","1","0"
"354","2","1","1",NA
"355","2","1","1","0"
"356","2","1","1","0"
"357",NA,"1","1","0"
"358",NA,"1","1","0"
"359","2","1","1","0"
"360","2","1","1","0"
"361","2","1","1",NA
"362","2","1","1","0"
"363","2","1","1","0"
"364","2",NA,"1","0"
"365","2","1","1","0"
"366",NA,NA,NA,"0"
"367","2",NA,"1",NA
"368","2","1","1",NA
"369","2","1","1","0"
"370","2","1",NA,"0"
"371","2","1","1","0"
"372","2","1","1",NA
"373",NA,"1","1",NA
"374","2","1","1","0"
"375","2","1","1","0"
"376","2","1","1","0"
"377","2","1",NA,NA
"378","2","1","1","0"
"379","2","1","1","0"
"380","2",NA,"1",NA
"381","2","1","1","0"
"382","2","1","1","0"
"383","2",NA,NA,"0"
"384","2","1",NA,"0"
"385","2","1",NA,NA
"386","2","1","1","0"
"387","2","1","1","0"
"388","2","1","1","0"
"389","2","1",NA,"0"
"390","2","1","1",NA
"391","2","1",NA,"0"
"392","2","1","1",NA
"393","2","1",NA,"0"
"394","2","1","1",NA
"395","2","1","1","0"
"396","2","1","1","0"
"397","2","1","1",NA
"398","2","1","1","0"
"399",NA,"1","1",NA
"400","2","1","1","0"
"401","2","1",NA,"0"
"402","2","1","1","0"
"403","2","1","1","0"
"404",NA,"1","1","0"
"405","2","1","1","0"
"406","2","1",NA,NA
"407","2","1","1","0"
"408","2",NA,"1","0"
"409",NA,"1","1",NA
"410",NA,"1","1","0"
"411","2","1","1","0"
"412",NA,"1","1","0"
"413","2",NA,"1","0"
"414","2",NA,"1","0"
"415",NA,"1","1","0"
"416","2",NA,"1","0"
"417",NA,"1","1","0"
"418",NA,"1","1","0"
"419","2","1",NA,NA
"420","2",NA,"1","0"
"421","2","1","1","0"
"422","2",NA,"1",NA
"423","2","1","1",NA
"424","2",NA,NA,"0"
"425","2",NA,"1","0"
"426","2","1","1",NA
"427","2","1","1","0"
"428","2","1","1",NA
"429",NA,"1","1",NA
"430","2","1","1","0"
"431","2","1","1","0"
"432","2",NA,"1","0"
"433","2","1","1","0"
"434","2","1","1","0"
"435","2","1","1","0"
"436","2",NA,"1",NA
"437",NA,"1",NA,"0"
"438","2","1","1",NA
"439","2","1","1","0"
"440","2","1","1","0"
"441","2","1","1","0"
"442","2","1","1","0"
"443","2","1",NA,NA
"444","2",NA,"1","0"
"445","2","1","1",NA
"446","2","1","1","0"
"447","2",NA,NA,"0"
"448","2","1",NA,"0"
"449","2","1","1","0"
"450","2",NA,"1","0"
"451","2","1",NA,"0"
"452","2",NA,"1","0"
"453",NA,"1","1","0"
"454","2",NA,"1","0"
"455","2",NA,"1","0"
"456","2","1","1",NA
"457","2",NA,"1","0"
"458","2","1","1",NA
"459",NA,"1","1","0"
"460","2","1",NA,NA
"461","2","1","1","0"
"462","2","1","1","0"
"463","2","1","1","0"
"464","2","1","1","0"
"465",NA,NA,"1","0"
"466","2",NA,"1",NA
"467","2","1","1",NA
"468","2",NA,"1",NA
"469","2","1","1","0"
"470",NA,"1","1","0"
"471","2","1",NA,"0"
"472",NA,"1","1","0"
"473","2","1","1","0"
"474",NA,"1","1","0"
"475",NA,"1","1","0"
"476","2",NA,"1","0"
"477","2","1",NA,"0"
"478","2","1","1","0"
"479","2","1","1",NA
"480","2",NA,"1","0"
"481","2","1","1",NA
"482","2","1","1","0"
"483","2","1","1","0"
"484","2","1","1","0"
"485","2","1","1","0"
"486","2","1","1","0"
"487","2","1","1","0"
"488","2","1","1","0"
"489","2","1","1",NA
"490",NA,"1","1","0"
"491","2","1","1",NA
"492","2","1","1","0"
"493","2","1","1",NA
"494","2",NA,NA,"1"
"495","2","1","0","1"
"496","2","1","0","1"
"497","2","1","0","1"
"498","2","1","0","1"
"499",NA,"1","0","1"
"500","2","1","0","1"
"501","2","1",NA,"1"
"502","2","1","0","1"
"503","2","1","0","1"
"504",NA,"1","0","1"
"505","2","1","0","1"
"506","2","1","0","1"
"507","2",NA,"0","1"
"508","2","1","0","1"
"509","2",NA,"0",NA
"510","2","1",NA,"1"
"511",NA,"1",NA,"1"
"512","2","1","0",NA
"513","2","1","0","1"
"514",NA,"1","0","1"
"515",NA,NA,"0","1"
"516","2","1",NA,"1"
"517","2","1","0","1"
"518","2","1","0","1"
"519","2","1","0","1"
"520","2","1","0",NA
"521",NA,"1","0","1"
"522","2","1","0","1"
"523","2","1","0","1"
"524","2","1","0","1"
"525","2","1",NA,"1"
"526",NA,"1",NA,"1"
"527","2","1",NA,"1"
"528","2","1","0","1"
"529","2","1","0","1"
"530",NA,"1",NA,"1"
"531",NA,"1","0",NA
"532","2","1","0","1"
"533",NA,"1","0","1"
"534","2","1","0","1"
"535","2","1","0","1"
"536","2",NA,"0","1"
"537","2","1","0","1"
"538","2",NA,"0","1"
"539","2","1","0","1"
"540",NA,NA,"0","1"
"541","2","1","0",NA
"542",NA,"1","0","1"
"543","2","1","0","1"
"544",NA,"1","0","1"
"545","2",NA,"0","1"
"546","2","1","0","1"
"547","2","1","0","1"
"548","2","1","0","1"
"549","2","1","0","1"
"550","2","1",NA,"1"
"551",NA,"1","0","1"
"552",NA,"1",NA,"1"
"553",NA,"1","0","1"
"554","2","1","0","1"
"555","2","1","0","1"
"556","2","1","0",NA
"557",NA,"1","0","1"
"558","2",NA,"0","1"
"559","2","1","0",NA
"560","2","1","0",NA
"561","2","1","0","1"
"562","2","1","0","1"
"563","2","1",NA,"1"
"564","2",NA,"0","1"
"565",NA,"1",NA,"1"
"566",NA,NA,"0","1"
"567","2","1","0","1"
"568",NA,"1","0","1"
"569",NA,"1","0","1"
"570","2","1","0","1"
"571","2","1","0","1"
"572","2","1",NA,"1"
"573",NA,"1","0","1"
"574","2",NA,"0","0"
"575","2","1","0",NA
"576","2","1","0","0"
"577",NA,NA,"0","0"
"578","2",NA,"0","0"
"579",NA,"1","0","0"
"580","2","1","0","0"
"581","2","1","0","0"
"582",NA,NA,"0","0"
"583","2","1","0","0"
"584","2",NA,NA,NA
"585","2",NA,"0","0"
"586",NA,NA,"0","0"
"587","2",NA,"1","1"
"588","2","0","1","1"
"589","2","0","1",NA
"590","2","0","1","1"
"591","2",NA,"1",NA
"592","2","0","1",NA
"593","2","0","1","1"
"594",NA,"0","1","1"
"595","2","0","1","1"
"596","2","0","1","1"
"597","2",NA,"1","1"
"598","2","0","0","1"
"599","2","0","0","1"
"600","2",NA,"0","1"
"601",NA,"0","0","1"
"602","2",NA,"0","1"
"603","2","0","0","1"
"604",NA,"0",NA,"1"
"605","2","0",NA,NA
"606","2","0","0","1"
"607",NA,"0",NA,"1"
"608","2","0","0","1"
"609",NA,"0","0","1"
"610",NA,NA,"0","1"
"611","3",NA,"1","1"
"612","3","1","1","1"
"613","3",NA,"1","1"
"614",NA,NA,NA,"1"
"615","3","1","1","1"
"616","3",NA,NA,"1"
"617","3","1","1","1"
"618","3","1","1",NA
"619",NA,"1","1","1"
"620","3","1","1","1"
"621",NA,"1","1","1"
"622","3","1",NA,"1"
"623","3",NA,NA,"1"
"624","3",NA,"1","1"
"625","3","1","1","1"
"626","3",NA,NA,NA
"627","3","1","1","1"
"628","3","1","1","1"
"629","3","1","1","1"
"630","3","1","1","1"
"631","3","1","1",NA
"632",NA,"1","1","1"
"633","3","1","1","1"
"634","3","1","1","1"
"635","3",NA,"1",NA
"636","3","1","1","1"
"637","3",NA,NA,NA
"638","3",NA,"1","1"
"639","3",NA,"1","1"
"640",NA,NA,NA,"1"
"641",NA,"1",NA,"1"
"642","3","1","1","1"
"643","3","1","1","1"
"644","3",NA,"1",NA
"645",NA,"1","1","1"
"646","3","1","1","1"
"647","3","1","1",NA
"648","3","1","1",NA
"649","3","1",NA,"1"
"650","3","1","1","1"
"651",NA,"1","1","1"
"652","3",NA,NA,"1"
"653",NA,"1","1",NA
"654",NA,"1","1",NA
"655","3","1",NA,"1"
"656","3","1","1","1"
"657","3",NA,"1","1"
"658",NA,"1","1","1"
"659","3","1","1","1"
"660","3","1","1","1"
"661","3","1","1",NA
"662",NA,"1",NA,NA
"663","3",NA,"1","1"
"664","3","1","1","1"
"665","3","1","1","1"
"666",NA,"1","1",NA
"667","3","1","1","1"
"668","3","1","1","1"
"669",NA,"1","1","1"
"670","3","1","1","1"
"671","3","1","1","1"
"672","3","1","1","1"
"673","3","1",NA,"1"
"674","3",NA,"1","1"
"675",NA,"1",NA,"1"
"676","3","1","1",NA
"677","3",NA,"1","1"
"678","3","1",NA,NA
"679","3",NA,"1","1"
"680",NA,"1","1","1"
"681","3",NA,"1",NA
"682","3","1",NA,NA
"683","3","1",NA,"1"
"684","3","1","1",NA
"685","3","1","1","1"
"686","3",NA,"1","0"
"687","3","1","1","0"
"688","3","1","1",NA
"689","3","1","1","0"
"690","3","1","1","0"
"691",NA,"1","1","0"
"692","3","1","1","0"
"693","3","1",NA,"0"
"694","3","1","1","0"
"695",NA,"1","1",NA
"696",NA,NA,NA,"0"
"697",NA,NA,"1",NA
"698","3","1","1","0"
"699","3","1",NA,"0"
"700","3","1","1","0"
"701","3",NA,NA,NA
"702","3",NA,"1","0"
"703","3","1","1","0"
"704","3","1","1","0"
"705","3",NA,NA,"0"
"706",NA,"1","1","0"
"707","3","1","1","0"
"708","3","1","1","0"
"709","3","1","1","0"
"710","3","1","1","0"
"711","3","1","1","0"
"712","3","1",NA,NA
"713","3",NA,"1","0"
"714","3",NA,"1","0"
"715",NA,"1",NA,NA
"716","3","1","1","0"
"717","3","1","1",NA
"718",NA,NA,"1",NA
"719","3",NA,"1","0"
"720","3","1","1",NA
"721","3","1","1","0"
"722","3","1","1","0"
"723","3","1","1","0"
"724","3","1","1","0"
"725",NA,"1",NA,"0"
"726","3",NA,"1","0"
"727","3","1","1",NA
"728","3",NA,NA,"0"
"729",NA,"1","1","0"
"730","3",NA,"1","0"
"731",NA,"1","1","0"
"732","3",NA,"1","0"
"733","3","1","1","0"
"734","3","1","1","0"
"735","3","1","1",NA
"736",NA,"1","1","0"
"737","3","1",NA,"0"
"738","3","1","1",NA
"739","3","1","1","0"
"740","3","1","1","0"
"741","3","1","1",NA
"742","3","1","1","0"
"743","3","1","1",NA
"744","3",NA,"1","0"
"745",NA,"1","1","0"
"746","3","1","1","0"
"747","3",NA,"1","0"
"748","3","1","1","0"
"749","3",NA,"1","0"
"750","3","1","1","0"
"751","3","1","1","0"
"752","3","1","1","0"
"753","3",NA,"1","0"
"754","3",NA,"1","0"
"755","3","1","1","0"
"756","3","1","1",NA
"757","3","1","1","0"
"758","3","1","1",NA
"759","3",NA,NA,"0"
"760","3","1","1","0"
"761","3",NA,"1","0"
"762","3","1","1",NA
"763","3","1","1","0"
"764","3","1","1","0"
"765","3",NA,"1","0"
"766","3","1",NA,"0"
"767","3","1","1","0"
"768","3","1","1","0"
"769","3","1","1","0"
"770","3","1","1","0"
"771",NA,"1","1","0"
"772","3","1","1","0"
"773","3","1","1",NA
"774","3","1","1","0"
"775","3","1","1","0"
"776",NA,NA,"1","0"
"777",NA,"1","1","0"
"778","3","1","1",NA
"779","3","1","1","0"
"780","3","1","1","0"
"781","3","1","1",NA
"782",NA,"1","1","0"
"783","3",NA,NA,"0"
"784","3","1","1","0"
"785","3","1","1","0"
"786","3",NA,"1","0"
"787","3",NA,"1",NA
"788","3","1","1",NA
"789","3",NA,NA,"0"
"790","3","1",NA,"0"
"791","3","1","1",NA
"792","3","1",NA,NA
"793","3","1","1","0"
"794","3","1","1","0"
"795","3","1","1","0"
"796",NA,NA,"1","0"
"797",NA,NA,"1","0"
"798","3","1","1","0"
"799",NA,NA,"1","0"
"800","3","1","1","0"
"801","3","1","1","0"
"802","3",NA,NA,"0"
"803","3",NA,"1","0"
"804","3",NA,NA,NA
"805","3","1","1","0"
"806","3","1","1","0"
"807",NA,"1","1","0"
"808","3","1","1","0"
"809","3","1",NA,"0"
"810","3","1","1","0"
"811","3","1","1","0"
"812","3","1","1",NA
"813","3","1","1",NA
"814","3","1","1","0"
"815",NA,"1","1","0"
"816","3","1","1","0"
"817","3","1","1","0"
"818","3",NA,"1","0"
"819","3","1",NA,"0"
"820","3","1","1","0"
"821","3","1","1","0"
"822","3","1","1","0"
"823","3","1","1","0"
"824","3",NA,"1","0"
"825","3","1","1","0"
"826","3",NA,"1","0"
"827","3",NA,"1","0"
"828",NA,"1","1","0"
"829","3","1","1","0"
"830","3",NA,"1","0"
"831","3","1","1","0"
"832","3","1","1","0"
"833","3","1","1",NA
"834","3","1","1","0"
"835","3","1","1","0"
"836","3","1","1","0"
"837","3","1","1","0"
"838","3","1","1","0"
"839","3",NA,"1","0"
"840","3",NA,"1","0"
"841","3","1","1","0"
"842","3",NA,"1","0"
"843",NA,NA,"1","0"
"844",NA,"1","1","0"
"845","3","1","1",NA
"846","3","1",NA,NA
"847","3","1",NA,NA
"848","3","1","1","0"
"849",NA,"1",NA,NA
"850","3","1","1","0"
"851","3","1","1","0"
"852","3","1","1","0"
"853","3","1","1","0"
"854","3",NA,"1","0"
"855","3","1",NA,"0"
"856","3","1",NA,"0"
"857","3","1","1",NA
"858",NA,"1",NA,"0"
"859","3","1","1","0"
"860","3","1","1","0"
"861",NA,NA,"1","0"
"862",NA,"1","1",NA
"863","3",NA,"1","0"
"864","3","1",NA,"0"
"865","3",NA,NA,"0"
"866","3","1","1","0"
"867","3","1","1","0"
"868","3","1","1","0"
"869",NA,"1","1","0"
"870","3","1","1","0"
"871",NA,"1","1","0"
"872","3","1","1","0"
"873","3",NA,"1",NA
"874",NA,"1","1","0"
"875","3",NA,NA,NA
"876","3","1","1","0"
"877","3","1","1","0"
"878","3","1","1","0"
"879","3",NA,"1",NA
"880",NA,"1","1","0"
"881",NA,"1","1","0"
"882","3","1","1",NA
"883","3","1",NA,"0"
"884","3","1","1",NA
"885","3",NA,"1","0"
"886","3",NA,"1","0"
"887","3",NA,"1","0"
"888","3",NA,"1","0"
"889","3","1","1","0"
"890","3","1",NA,"0"
"891","3","1","1","0"
"892","3",NA,"1","0"
"893","3",NA,"1","0"
"894","3","1",NA,"0"
"895",NA,NA,"1","0"
"896","3","1","1","0"
"897",NA,"1","1","0"
"898","3","1","1","0"
"899","3","1",NA,NA
"900","3",NA,"1","0"
"901","3","1","1","0"
"902","3","1","1",NA
"903",NA,"1",NA,"0"
"904","3","1","1","0"
"905","3","1","1","0"
"906","3","1","1","0"
"907","3","1",NA,"0"
"908","3","1",NA,"0"
"909",NA,NA,NA,"0"
"910","3","1","1","0"
"911","3",NA,"1","0"
"912","3","1","1","0"
"913","3","1","1","0"
"914","3",NA,"1","0"
"915","3","1",NA,"0"
"916","3",NA,"1","0"
"917","3",NA,NA,"0"
"918","3","1","1",NA
"919","3","1","1","0"
"920","3","1","1","0"
"921","3",NA,"1","0"
"922",NA,"1",NA,"0"
"923",NA,NA,"1",NA
"924",NA,"1","1","0"
"925","3","1",NA,NA
"926","3",NA,"1","0"
"927","3","1",NA,"0"
"928","3","1",NA,"0"
"929","3","1","1","0"
"930",NA,"1",NA,"0"
"931",NA,NA,"1",NA
"932","3","1","1","0"
"933",NA,NA,"1","0"
"934",NA,"1","1","0"
"935","3","1","1",NA
"936","3","1","1","0"
"937","3","1","1","0"
"938","3","1","1",NA
"939","3","1","1",NA
"940","3","1","1","0"
"941","3","1",NA,NA
"942","3","1",NA,"0"
"943","3","1","1","0"
"944",NA,"1","1",NA
"945","3","1","1","0"
"946","3","1","1","0"
"947",NA,"1","1","0"
"948","3","1",NA,"0"
"949","3","1","1","0"
"950",NA,"1","1","0"
"951","3","1",NA,NA
"952","3","1",NA,NA
"953",NA,"1","1","0"
"954","3",NA,"1","0"
"955","3","1","1","0"
"956",NA,NA,NA,"0"
"957","3","1","1",NA
"958","3","1","1","0"
"959","3","1","1","0"
"960","3","1","1","0"
"961","3","1","1","0"
"962","3","1","1","0"
"963","3",NA,NA,NA
"964","3","1",NA,"0"
"965","3",NA,"1","0"
"966",NA,"1","1",NA
"967","3","1","1","0"
"968","3","1","1","0"
"969","3","1",NA,"0"
"970",NA,NA,"1",NA
"971",NA,"1","1","0"
"972","3",NA,NA,"0"
"973","3","1","1",NA
"974",NA,"1",NA,"0"
"975","3","1","1","0"
"976","3","1",NA,"0"
"977","3","1","1","0"
"978","3",NA,"1","0"
"979",NA,"1","1","0"
"980","3","1","1","0"
"981",NA,"1","1","0"
"982","3","1","1","0"
"983","3","1","1","0"
"984","3","1","1","0"
"985","3","1","1","0"
"986",NA,NA,"1","0"
"987","3","1","1","0"
"988","3",NA,"1","0"
"989","3","1","1","0"
"990","3","1","1","0"
"991","3","1","1","0"
"992","3","1","1","0"
"993","3","1","1","0"
"994","3",NA,"1","0"
"995","3","1",NA,"0"
"996","3","1",NA,"0"
"997","3",NA,"1","0"
"998",NA,"1","1","0"
"999","3","1","1","0"
"1000","3","1","1","0"
"1001","3","1","1","0"
"1002","3","1","1","0"
"1003",NA,"1","1","0"
"1004","3","1","1","0"
"1005","3","1","1",NA
"1006","3","1","1","0"
"1007","3","1","1","0"
"1008","3","1","1","0"
"1009","3",NA,"1","0"
"1010","3","1",NA,NA
"1011","3","1","1","0"
"1012",NA,NA,"1","0"
"1013","3","1","1","0"
"1014",NA,"1",NA,NA
"1015","3","1","1",NA
"1016",NA,"1","1",NA
"1017",NA,"1","1","0"
"1018","3","1","1","0"
"1019",NA,"1","1","0"
"1020","3","1","1","0"
"1021","3","1","1","0"
"1022","3","1",NA,"0"
"1023","3","1","1","0"
"1024",NA,"1","1",NA
"1025","3","1","1","0"
"1026","3","1","1","0"
"1027","3",NA,"1","0"
"1028","3",NA,"1","0"
"1029","3","1",NA,NA
"1030","3","1","1",NA
"1031","3",NA,"1","0"
"1032","3","1","1","0"
"1033",NA,"1","1","0"
"1034",NA,"1","1","0"
"1035",NA,"1","1","0"
"1036","3","1","1","0"
"1037","3","1",NA,"0"
"1038","3","1","1","0"
"1039","3","1","1","0"
"1040","3","1","1",NA
"1041",NA,"1",NA,"0"
"1042","3","1","1","0"
"1043","3","1","1",NA
"1044","3","1","1","0"
"1045",NA,"1","1","0"
"1046",NA,"1","1","0"
"1047","3","1","1","0"
"1048",NA,"1","1","0"
"1049","3","1",NA,"0"
"1050","3","1","1",NA
"1051","3",NA,"1","0"
"1052","3","1",NA,"0"
"1053","3",NA,"1","0"
"1054","3","1","1","0"
"1055","3",NA,NA,"0"
"1056","3",NA,NA,NA
"1057","3","1","1","0"
"1058",NA,"1","1","0"
"1059",NA,"1","1","0"
"1060","3","1",NA,"0"
"1061",NA,"1",NA,"0"
"1062","3",NA,"1","0"
"1063",NA,NA,"1","0"
"1064","3","1","1","0"
