"","Sex","Age","Married","Income","HoursWk","Race","USCitizen","HealthInsurance","Language"
"282",1,41,1,55,40,"white",1,1,0
"283",0,18,0,5,37,"white",1,1,1
"284",0,39,1,76,42,"white",1,1,0
"285",1,27,1,45,40,"white",1,1,0
"286",0,37,1,97,40,"asian",1,1,1
"287",1,23,0,17.5,40,"white",1,1,0
"288",0,56,1,32,45,"white",1,1,0
"289",0,56,1,3.2,20,"white",1,0,0
"290",0,49,1,30,32,"white",1,1,0
"291",0,38,1,20,30,"white",0,1,1
"292",1,42,1,27,60,"white",1,1,0
"293",0,27,1,12,40,"white",0,0,1
"294",1,27,1,24,40,"other",1,1,1
"295",1,49,1,93,40,"white",1,1,0
"296",0,41,0,18.5,40,"black",1,1,0
"297",1,66,1,38.8,40,"white",1,1,0
"298",0,24,0,18.7,40,"white",1,0,0
"299",0,22,0,5.8,30,"white",1,1,0
"300",1,49,1,71,40,"white",1,1,0
"301",0,25,0,10.8,30,"black",1,1,0
"302",1,52,1,0,60,"black",1,1,0
"303",0,48,1,70,55,"white",1,1,0
"304",0,47,1,110,48,"white",1,1,0
"305",0,27,1,28,32,"other",1,0,1
"306",0,27,1,40,40,"asian",1,1,1
"307",1,49,1,24,45,"white",0,1,1
"308",1,20,0,12,22,"white",1,1,1
"309",0,47,1,12,40,"white",1,1,0
"310",0,32,1,40,45,"white",1,1,0
"311",0,18,0,17.5,32,"white",1,1,0
"312",0,26,0,95,60,"white",1,1,0
"313",1,44,0,75,40,"white",1,1,0
"314",1,44,1,1.8,20,"white",1,0,0
"315",1,43,1,50,40,"white",1,1,0
"316",1,63,0,72,44,"white",1,1,0
"317",1,40,1,30,60,"white",1,1,0
"318",1,74,1,4.6,25,"white",1,1,0
"319",0,53,1,7.2,24,"white",1,1,0
"320",0,34,1,0,40,"white",1,1,0
"321",1,57,1,60,40,"white",1,1,0
"322",1,66,1,84,32,"white",1,1,0
"323",1,36,1,15,40,"black",0,0,1
"324",0,43,0,72,50,"white",1,1,0
"325",0,74,0,1,10,"white",1,1,0
"326",1,62,1,48,40,"white",1,1,0
"327",0,49,1,28.6,28,"white",1,0,0
"328",0,36,0,18,20,"white",1,1,0
"329",0,43,1,55,40,"white",1,1,1
"330",1,31,1,200,40,"asian",0,1,0
"331",1,21,0,26,40,"white",1,1,0
"332",1,40,0,45,40,"white",1,1,0
"333",1,64,0,30,42,"white",1,1,0
"334",0,59,1,30,40,"asian",1,1,0
"335",1,56,1,2.8,18,"white",1,1,0
"336",0,32,0,12,40,"white",1,0,0
"337",1,58,1,175,50,"white",1,1,0
"338",0,58,0,18,29,"white",1,0,0
"339",0,51,0,0,40,"white",1,1,0
"340",1,66,0,25,50,"other",1,1,1
"341",0,50,1,40,40,"black",1,1,1
"342",1,30,0,48.8,60,"white",1,0,0
"343",0,50,1,10,40,"white",1,0,0
"344",1,59,0,24,40,"other",1,1,0
"345",0,48,1,68,40,"black",0,1,1
"346",0,54,0,1.1,4,"white",1,1,0
"347",0,29,1,48,40,"white",1,1,0
"348",0,28,1,0,12,"white",1,1,0
"349",1,43,0,382,50,"white",1,1,0
"350",1,38,0,60,45,"other",1,1,1
"351",0,58,1,17,30,"white",1,1,0
"352",1,33,1,53,45,"white",1,1,0
"353",0,41,0,29,40,"white",1,1,0
"354",0,34,1,68,41,"white",1,1,0
"355",1,41,0,16,40,"other",1,1,0
"356",1,36,1,102,15,"white",1,1,0
"357",0,61,0,80,40,"black",1,1,0
"358",0,54,1,3,13,"white",1,1,0
"359",0,24,0,36,41,"white",1,1,0
"360",0,49,1,40,40,"white",1,1,0
"361",0,54,0,85,40,"white",1,1,0
"362",0,31,1,75,60,"white",0,1,0
"363",0,24,0,9.5,20,"white",1,1,0
"364",0,26,1,28,80,"white",1,1,0
"365",0,54,1,12,24,"white",1,1,0
"366",0,22,0,12,40,"white",1,1,0
"367",1,53,1,86,40,"black",1,1,0
"368",0,48,1,27.5,40,"white",1,1,0
"369",1,43,1,100,45,"white",1,1,0
"370",1,58,1,70,40,"white",1,1,0
"371",1,66,1,24.5,15,"white",1,1,0
"372",0,74,0,13,35,"black",1,1,0
"373",1,38,1,0,60,"white",1,1,0
"374",0,61,1,108,40,"white",1,1,0
"375",0,38,1,17.7,30,"other",0,0,1
"376",1,26,0,0,60,"white",1,0,0
"377",0,36,1,97,40,"white",1,1,0
"378",0,28,0,80,45,"white",1,1,0
"379",0,24,0,24,40,"other",1,1,1
"380",1,56,0,1.2,40,"black",1,0,0
"381",0,32,0,14.4,23,"black",1,0,0
"382",1,22,1,8.4,40,"white",1,1,0
"383",0,57,0,84,40,"white",1,1,0
"384",1,45,1,24,40,"white",1,1,0
"385",1,43,1,18.7,40,"white",0,1,1
"386",1,45,1,24,40,"white",1,1,0
"387",0,42,0,65,40,"white",1,1,0
"388",0,66,1,17.4,22,"white",1,1,0
"389",0,19,0,3.6,15,"asian",1,1,0
"390",0,50,1,19.5,32,"white",1,1,0
"391",0,37,1,51,40,"asian",1,1,1
"392",1,40,1,50,40,"white",1,1,0
"393",0,53,1,12,40,"white",1,1,0
"394",0,33,0,38,40,"white",1,1,0
"395",1,61,1,46,45,"white",1,1,0
"396",0,50,0,54,40,"white",1,1,0
"397",1,44,1,12,60,"asian",0,0,1
"398",1,29,1,66,53,"white",1,1,0
"399",0,56,1,10.6,25,"white",1,1,0
"400",0,22,0,20,40,"white",1,1,0
"401",0,45,0,77,60,"white",1,1,0
"402",0,54,1,40,36,"asian",1,0,1
"403",1,43,1,35,50,"white",1,1,0
"404",1,27,0,160,50,"white",1,1,0
"405",0,43,0,36,40,"white",1,1,0
"406",1,24,0,20,20,"white",1,1,0
"407",1,37,0,103,40,"white",1,1,1
"408",0,51,0,23,25,"white",1,1,0
"409",0,46,1,98,40,"white",1,1,0
"410",1,60,1,0,84,"white",1,1,0
"411",1,60,0,0,20,"white",1,1,0
"412",1,21,0,25,40,"white",1,1,0
"413",1,18,0,3.8,40,"white",1,1,0
"414",1,35,0,70,50,"white",1,0,0
"415",0,38,1,18,24,"white",1,1,0
"416",1,68,1,15.6,40,"white",0,1,1
"417",1,30,0,25,40,"other",0,0,1
"418",1,53,0,49.4,60,"white",1,1,0
"419",0,51,1,22,40,"white",1,1,0
"420",0,46,0,33,40,"white",1,1,0
"421",1,50,0,21.9,40,"white",1,1,0
"422",0,45,0,42,32,"white",1,1,0
"423",1,35,0,70,72,"white",1,1,0
"424",0,50,1,6,40,"white",1,0,0
"425",1,30,0,74,37,"white",1,0,0
"426",1,35,0,111,40,"asian",1,1,0
"427",1,49,1,120,56,"white",1,1,0
"428",0,50,1,32,40,"white",1,1,0
"429",0,30,0,30,30,"black",1,1,0
"430",1,39,1,15,38,"white",1,0,0
"431",0,20,0,3.2,24,"white",1,0,0
