"","Exercise","SAT","GPA","Pulse","Piercings","GenderCode"
"93",5,1200,2.9,77,2,0
"94",4,1250,3.15,80,2,0
"95",8,1120,3.88,70,0,1
"96",14,1390,3.5,65,0,1
"97",5,1350,2.8,57,0,1
"98",15,1370,2.9,84,0,1
"99",3,1470,3.21,56,0,1
"100",12,1180,3.5,69,4,0
"101",12,1250,3.33,62,0,1
"102",6,1260,3,79,0,1
"103",2,1250,3.5,55,0,1
"104",3,1350,3.95,89,0,0
"105",24,1240,2.1,78,0,1
"106",3,950,3,83,5,0
"107",6,1550,3,58,3,0
"108",12,1150,3.75,77,4,0
"109",18,1100,2.5,50,1,1
"110",2,1220,3.4,87,0,1
"111",12,1210,3.4,74,7,0
"112",5,1200,3.14,76,7,0
"113",3,1140,2.6,50,0,1
"114",3,1200,3.4,70,0,1
"115",21,1010,2.7,84,0,1
"116",12,1250,3.15,68,2,0
"117",3,1120,2.2,66,0,1
"118",20,1280,3.5,76,0,1
"119",8,1230,2.9,65,0,1
"120",2,850,2.5,65,4,0
"121",15,1300,3.5,68,0,1
"122",6,1220,3.6,78,2,0
"123",2,1090,3.1,74,2,0
"124",1,1320,3,76,4,0
"125",13,1100,3,79,5,0
"126",12,1230,3.8,81,4,0
"127",10,1270,3.15,56,2,0
"128",10,1110,2.75,48,0,1
"129",10,1060,2.8,68,4,0
"130",3,1240,3,62,2,0
"131",2,1070,3.1,70,2,0
"132",10,1150,2.27,46,0,1
"133",4,1110,2.8,88,2,0
"134",8,1060,3.02,68,0,1
"135",18,1060,2.93,74,0,1
"136",5,1200,3.2,88,2,0
"137",4,820,3,67,3,0
"138",20,1170,3,61,0,0
"139",14,860,2.7,62,0,1
"140",8,1255,3.2,69,0,1
"141",4,1130,2.9,59,5,0
"142",5,1078,3,79,2,0
"143",14,1200,2.72,56,0,1
"144",4,1230,3.3,85,2,0
"145",15,1220,2.22,69,0,1
"146",12,1230,3.26,61,2,0
"147",10,1030,3.5,95,7,0
"148",6,1060,3.1,58,2,0
"149",12,1240,3.3,57,2,0
"150",10,1240,3.29,80,2,0
"151",5,1470,3.69,69,2,0
"152",18,1160,2.65,73,0,1
"153",10,1310,3.25,62,0,1
"154",8,1320,2.8,64,0,1
"155",8,1070,3.36,86,2,0
"156",3,1230,2.97,73,0,1
"157",5,1330,3.31,71,0,1
"158",4,1250,3.05,72,0,1
"159",8,970,2.2,84,4,1
"160",3,1090,3.3,120,4,0
"161",12,1350,3.45,77,6,0
"162",5,1360,3.83,80,4,0
"163",5,1190,3,80,4,0
"164",15,1260,3.35,54,8,0
"165",10,1350,2.4,54,0,1
"166",10,1190,3.1,78,0,1
"167",10,1150,3.4,72,2,0
"168",14,1130,2.82,78,0,1
"169",6,1220,2.9,69,2,0
"170",4,1240,3.4,80,0,1
"171",14,1000,3.2,76,7,0
"172",5,1100,3.2,74,5,0
"173",16,1250,3.8,70,0,0
"174",14,1140,3.57,72,2,0
"175",10,1150,3.33,60,0,1
"176",11,1170,2.9,71,0,1
"177",4,1200,3.2,70,0,0
"178",12,1290,3.1,53,1,1
"179",5,1150,3.25,70,0,1
"180",8,1140,3.4,75,0,1
"181",8,1380,3.8,84,2,0
"182",3,1210,3.38,66,0,1
"183",8,1380,3.88,72,4,0
"184",20,1290,2.75,70,0,1
"185",10,1100,2.9,49,0,1
"186",3,1420,3.6,81,5,0
"187",4,1260,2.8,77,0,1
"188",8,1240,2.2,72,1,1
"189",14,1100,3.3,60,0,0
"190",14,1250,2.85,64,0,1
"191",12,1270,3.37,65,2,0
"192",6,1470,3.5,72,2,0
"193",3,1390,3.55,54,6,0
"194",12,1200,3.2,82,2,0
"195",5,1230,2.47,82,0,1
"196",8,1100,2.72,62,0,1
"197",1,1240,3.4,52,0,1
"198",7,1110,3.4,55,5,0
"199",5,1100,3.1,63,0,1
"200",10,1280,3.1,78,2,0
"201",12,1200,2.94,65,3,0
"202",15,1150,3,64,0,1
"203",7,1170,3.6,70,2,0
"204",15,1190,3.5,71,0,1
"205",10,1260,3.4,54,0,1
"206",15,1190,3.5,71,0,1
"207",12,1430,3,54,0,1
"208",10,1340,2.75,70,0,1
"209",12,1380,3.56,65,0,1
"210",5,900,2.7,82,0,1
"211",14,1370,3.68,63,2,0
"212",3,1060,3.5,71,4,0
"213",12,1190,3.5,75,0,1
"214",15,1300,3.4,60,5,0
"215",3,1110,2.6,54,2,0
"216",25,1250,3.25,68,0,0
"217",5,1220,3.3,70,0,1
"218",6,1260,3.2,90,0,1
"219",27,1210,2.9,72,0,1
"220",8,1340,3.85,41,2,0
"221",3,1420,3.4,80,0,0
"222",17,1280,3.4,68,0,1
"223",5,1040,2.7,78,0,1
"224",0,1540,3.81,65,0,1
"225",27,1400,3.4,64,9,0
"226",3,1400,3.23,78,0,1
"227",3,1000,3.1,42,0,1
"228",11,1250,2.89,60,6,0
"229",2,1220,2.81,59,0,1
"230",9,1030,3,54,4,0
"231",12,1220,3.77,70,0,1
"232",15,1400,3.3,52,0,1
"233",2,1420,3,88,0,1
"234",20,1110,2.9,60,5,1
"235",12,1240,3.5,66,5,1
"236",5,1200,3.6,55,0,1
"237",10,1330,3.7,74,0,1
"238",2,1370,3.2,59,0,1
"239",12,1270,2.87,84,0,1
"240",5,1040,3.3,68,0,0
"241",3,1110,3.3,74,2,0
"242",12,1200,3.45,58,0,1
"243",8,1230,3.1,62,0,1
"244",8,1530,3.71,84,0,1
"245",5,1300,3.3,72,0,1
"246",6,1130,3.3,52,0,1
"247",10,1280,3.73,68,0,1
"248",18,1330,3.13,71,2,0
"249",12,1280,3.89,55,2,0
"250",10,1180,3.05,68,0,1
"251",10,1340,3.2,61,0,1
"252",5,1240,3.25,80,0,1
"253",7,1150,2.9,66,5,0
"254",3,1180,3,70,0,1
"255",7,1410,3.5,78,4,0
"256",3,1250,3.5,88,2,0
"257",4,1410,3.6,72,2,0
"258",8,1150,3.4,65,5,0
"259",7,1190,3.25,63,5,0
"260",7,1240,2.7,70,0,1
"261",3,1470,3.78,72,0,1
"262",7,1360,4,63,2,0
"263",14,1150,3,68,0,1
"264",5,1090,3.3,64,1,1
"265",14,1140,2.8,64,6,0
"266",5,1080,2.5,60,0,1
"267",5,1420,3.5,68,6,0
"268",2,920,2.8,70,2,0
"269",1,1120,3.4,63,4,0
"270",15,1180,3,57,0,1
"271",5,1260,3.27,84,2,0
"272",5,1260,3.5,74,5,1
"273",15,1230,3,61,0,1
"274",5,1240,3.6,78,5,0
"275",20,1210,3.25,65,0,1
"276",3,1220,3,68,0,0
"277",7,1140,2.75,76,6,0
"278",20,1270,2.9,54,0,1
"279",10,1200,3,56,3,0
"280",6,1170,3,88,0,1
"281",6,1140,2.9,77,3,0
"282",10,1120,3.36,52,1,1
"283",9,1080,3.25,62,0,1
"284",1.5,1040,3.5,80,2,0
"285",20,1200,2.76,60,0,1
"286",21,1230,2.75,51,0,1
"287",10,1100,3.25,81,2,0
"288",8,1310,3,62,0,1
"289",10,1300,2.8,84,0,1
"290",18,1120,3.4,75,5,0
"291",15,1230,3.25,60,0,1
"292",8,1400,3.5,76,10,0
"293",6,980,3.05,65,0,1
"294",12,1440,3.18,65,0,1
"295",10,1310,3,64,2,0
"296",7,1050,2.23,75,7,0
"297",5,1230,3.4,93,2,0
"298",6,1270,3.3,75,2,0
"299",5,1260,3.43,82,0,1
"300",5,1170,3.88,80,2,0
"301",30,1050,3.45,69,0,1
"302",5,1100,3,85,2,0
"303",12,1350,3,76,0,1
"304",0,1240,3.18,76,0,1
"305",12,1250,2.2,65,0,1
"306",0,1130,3.29,67,4,0
"307",15,1170,3.5,64,8,0
"308",18,980,2.8,71,0,1
"309",12,1110,2.9,65,2,0
"310",2,1360,3.5,83,0,1
"311",12,1200,2.5,65,0,1
"312",3,1310,3.25,77,0,1
"313",3,1260,2.9,66,0,1
"314",4,1180,3.66,62,0,1
"315",12,1220,3.01,58,4,0
"316",25,1040,2.25,48,3,1
"317",3,1190,3.2,61,0,1
"318",6,1150,3.35,50,0,1
"319",7,1200,3,72,2,0
"320",7,1210,3,74,0,1
"321",6,1200,3.48,80,0,1
"322",6,1250,2.88,90,0,1
"323",13,890,2.6,72,6,0
"324",25,1040,2.75,64,0,1
"325",8,1140,3.3,72,0,1
"326",5,1130,3.25,70,0,1
"327",11,1210,3.3,84,0,1
"328",18,1260,3.2,87,4,0
"329",6,1150,3,60,0,1
"330",2,1290,3.25,80,5,0
"331",5,1150,3.3,70,0,1
"332",5,1150,3.25,78,4,0
"333",6,1090,2.83,75,0,1
"334",10,1110,3.3,42,5,0
"335",4,1430,3.6,80,0,1
"336",5,1360,3.7,72,2,0
"337",17,1320,2.83,96,6,0
"338",7,1330,3.3,95,0,1
"339",2,1090,3.44,80,3,0
"340",8,1220,3,74,0,1
"341",1,990,3.27,78,2,0
"342",14,1100,2.3,72,0,1
"343",12,1010,2.6,91,5,0
