"","DecisionM","DecisionF","LikeM","LikeF","PartnerYesM","PartnerYesF","AgeM","AgeF","RaceM","RaceF","AttractiveM","AttractiveF","SincereM","SincereF","IntelligentM","IntelligentF","FunM","FunF","AmbitiousM","AmbitiousF","SharedInterestsM","SharedInterestsF"
"21",0,1,7,7,7,3,27,30,"Black","Caucasian",6,7,8,9,8,7,8,7,8,10,5,5
"22",0,1,6,6,5,5,23,22,"Caucasian","Caucasian",5,6,8,7,5,7,3,4,3,6,3,6
"23",1,0,7,6,2,4,21,24,"Caucasian","Caucasian",8,3,8,8,8,8,6,5,7,5,5,5
"24",1,0,8,6,8,6,28,23,"Caucasian","Caucasian",9,6,9,8,9,8,9,6,8,7,8,5
"25",1,0,7,6,5,7,28,25,"Caucasian","Caucasian",8,5,9,8,9,8,9,6,7,9,5,6
"26",0,0,6,8,6,3,23,21,"Black","Asian",5,5,8,9,10,9,7,8,9,9,5,5
"27",0,0,4,5,6,4,29,28,"Latino","Caucasian",3,5,6,8,NA,7,5,8,6,8,5,3
"28",1,1,10,8,10,8,22,26,"Other","Latino",10,8,10,9,10,9,10,9,10,8,10,8
"29",0,0,5,3,0,3,27,NA,"Black","",5,3,7,4,6,9,4,2,4,9,6,6
"30",0,1,1,8,1,9,28,NA,"Caucasian","",4,8,7,8,4,9,2,9,3,7,1,8
"31",0,1,7,8,2,4,26,24,"Caucasian","Asian",5,6,7,6,9,9,7,8,5,8,4,5
"32",1,1,9,8,3,7,21,22,"Caucasian","Caucasian",6,10,9,9,8,9,6,8,8,8,6,7
"33",1,0,6,3,7,10,22,23,"Caucasian","Caucasian",7,3,8,10,7,5,5,3,7,5,5,4
"34",0,0,6,6,5,6,22,23,"Caucasian","Other",6,7,8,7,7,7,7,8,6,8,5,5
"35",0,1,5,8,1,8,25,29,"Caucasian","Other",6,9,8,10,8,10,7,9,7,10,5,8
"36",1,1,6,6,7,5,24,27,"Other","Asian",6,8,6,6,7,8,5,5,6,8,5,5
"37",0,0,8,5,6,5,28,26,"Asian","Asian",7,5,7,6,8,7,8,6,6,9,9,5
"38",0,0,5,6,4,6,26,32,"Caucasian","Latino",5,5,7,8,6,7,6,5,6,5,4,4
"39",1,0,9,5,7,5,26,22,"Latino","Caucasian",8,6,8,7,9,7,8,4,NA,NA,8,NA
"40",0,0,6,6,7,5,29,28,"Caucasian","Caucasian",7,8,7,8,8,9,7,8,8,7,7,6
"41",1,1,10,8,2,5,39,22,"Caucasian","Caucasian",10,8,10,9,10,9,NA,6,NA,7,NA,5
"42",0,1,5,7,6,4,28,23,"Caucasian","Asian",6,7,8,8,8,7,6,6,5,5,0,4
"43",1,0,6,4,9,9,30,23,"Other","Caucasian",6,3,8,10,8,9,8,5,6,9,4,5
"44",1,0,9,9,6,8,22,25,"Asian","Other",9,5,8,10,8,10,9,8,7,8,8,7
"45",0,0,4,5,6,5,32,30,"Caucasian","Caucasian",5,5,6,8,7,8,2,6,7,5,3,3
"46",0,0,7,2,5,2,26,34,"Caucasian","Caucasian",6,6,8,NA,9,5,7,NA,7,10,7,NA
"47",0,1,8,7,5,7,27,27,"Caucasian","Asian",6,8,9,8,8,8,6,6,7,8,4,7
"48",1,1,8,NA,10,8,25,25,"Black","Other",8,7,8,10,10,10,9,10,7,10,7,10
"49",1,0,8,9,5,5,22,27,"Latino","Caucasian",8,8,8,10,8,10,8,9,10,10,NA,5
"50",1,1,8,4,9,3,21,35,"Caucasian","Latino",9,8,10,8,9,8,8,7,7,5,6.5,8
"51",1,0,7,7,6,8,24,23,"Caucasian","Caucasian",8,8,9,10,7,10,8,5,5,10,4,8
"52",1,1,7,9,5,3,25,23,"Asian","Latino",7,7,10,10,8,10,8,6,8,10,3,6
"53",1,1,7,7,6,8,28,29,"Caucasian","Caucasian",9,6,NA,9,8,9,8,8,7,8,5,5
"54",0,1,4,7,4,7,27,29,"Asian","Caucasian",5,7,7,7,7,7,5,7,5,7,5,7
"55",0,1,10,8,1,1,22,21,"Other","Caucasian",10,8,10,10,10,9,10,10,10,5,10,5
"56",0,1,5,5,2,7,18,19,"Asian","Latino",6,NA,4,6,5,7,6,8,7,9,7,4
"57",1,0,7,2,8,1,22,21,"Asian","Caucasian",8,4,7,8,6,7,5,5,5,9,5,3
"58",0,0,5,5,7,4,21,20,"Caucasian","Black",5,7,8,5,8,5,6,6,7,5,5,3
"59",1,1,7,7,8,6,22,21,"Caucasian","Caucasian",7,8,7,6,7,6,7,7,5,5,5,6
"60",1,1,9,9,8,9,21,20,"Caucasian","Other",10,9,9,10,8,8,9,8,9,7,7,9
"61",1,0,7,7,7,1,NA,21,"Caucasian","Caucasian",7,7,8,6,10,7,6,8,5,10,6,7
"62",1,1,9,9,5,5,20,20,"Asian","Latino",9,9,6,9,8,9,6,8,6,10,6,2
"63",0,0,NA,NA,NA,NA,19,21,"Asian","Caucasian",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",0,0,7,7,6,7,26,24,"Asian","Asian",6,7,10,7,10,7,6,8,7,6,5,8
"65",0,1,1,7,8,6,32,26,"Caucasian","Caucasian",4,8,6,8,6,8,1,NA,7,NA,1,2
"66",1,0,8,5,8,1,37,NA,"Asian","",8,3,8,8,NA,8,8,5,8,8,NA,1
"67",0,1,6.5,8,7,9,29,23,"Caucasian","Caucasian",6.5,8,8,9,7.5,9,7,9,7,10,NA,7
"68",1,0,7,7,7,7,28,27,"Latino","Caucasian",8,5,7,8,7,8,7,8,7,7,8,7
"69",1,0,9,4,5,9,23,24,"Caucasian","Caucasian",10,4,8,5,8,6,7,4,7,6,5,4
"70",1,0,8,7,7,NA,28,31,"Caucasian","Caucasian",8,5,9,8,9,10,8,8,8,8,5,NA
"71",1,1,6,8,8,10,29,26,"Black","Asian",8,8,10,6,9,7,8,8,8,9,7,7
"72",0,1,5,8,3,7,22,30,"Caucasian","Black",7,8,9,9,10,10,8,7,8,9,4,5
"73",0,0,6,8,3,1,27,24,"Asian","Caucasian",5,9,6,9,7,9,7,8,6,9,5,8
"74",1,1,8,8,5,7,26,28,"Caucasian","Asian",8,8,10,8,8,8,8,8,8,6,6,7
"75",1,1,10,10,10,10,27,36,"Caucasian","Caucasian",9,10,10,9,10,10,8,10,8,8,8,8
"76",1,1,7,9,4,6,30,27,"Caucasian","Asian",8,8,9,8,10,7,5,8,9,8,5,9
"77",1,0,8,7,2,2,26,27,"Other","Asian",8,7,8,8,8,7,8,5,8,5,NA,2
"78",0,0,3,5,4,5,23,33,"Caucasian","Caucasian",3,5,7,6,6,7,4,6,5,4,2,NA
"79",1,0,9,5,9,5,23,27,"Asian","Caucasian",8,5,8,9,8,7,8,5,8,7,8,5
"80",0,1,8,8,9,5,28,27,"Caucasian","Caucasian",9,8,8,8,8,8,8,7,8,8,8,6
"81",1,0,7,4,6,6,28,28,"Asian","Caucasian",8,3,7,8,7,8,8,3,7,7,5,2
"82",1,1,9,7,8,6,29,28,"Caucasian","Caucasian",8,6,7,8,8,8,6,6,9,7,10,NA
"83",0,0,4,7,5,9,27,23,"Caucasian","Caucasian",4,5,7,8,8,7,5,7,6,8,4,7
"84",1,0,7,3,6,7,22,28,"Caucasian","Asian",7,5,8,6,8,5,8,6,8,5,7,6
"85",1,1,10,7,7,9,34,24,"Caucasian","Caucasian",10,8,10,9,10,9,10,7,10,6,10,9
"86",0,0,2,6,8,2,25,28,"Asian","Asian",3,6,8,5,8,6,4,6,7,7,6,4
"87",0,0,4,3,2,5,24,22,"Asian","Caucasian",5,2,5,6,7,7,8,2,5,4,2,2
"88",1,1,5,7,9,8,26,29,"Caucasian","Asian",6,5,8,5,NA,5,NA,5,NA,5,10,7
"89",1,0,6,7,2,7,21,24,"Caucasian","Asian",8,7,8,8,5,8,8,7,5,8,8,5
"90",0,1,6,6,5,6,27,35,"Other","Asian",5,7,8,7,8,7,5,5,5,NA,6,NA
"91",1,0,6,8,4,6,25,22,"Caucasian","Black",7,7,5,8,7,9,7,9,NA,9,NA,8
"92",0,1,5,8,7,8,28,23,"Caucasian","Other",5,1,9,7,8,8,7,8,8,8,8,8
"93",1,0,7,4,9,5,24,30,"Caucasian","Latino",7,6,7,6,8,6,8,6,6,5,4,4
"94",1,1,8,8,7,7,25,22,"Asian","Black",8,8,10,8,8,9,6,8,9,9,9,9
"95",1,1,6,6,6,5,23,25,"Caucasian","Asian",7,5,8,8,8,7,7,9,9,8,5,5
"96",1,0,7,4,6,6,26,24,"Asian","Other",7,8,9,8,9,8,6,8,7,8,4,1
"97",0,1,7,8,5,7,27,31,"Caucasian","Black",5,2,10,8,8,8,7,7,5,8,5,5
"98",1,1,8,8,8,7,26,27,"Caucasian","Latino",6,7,10,10,8,10,8,7,6,10,6,5
"99",0,1,5,6,5,8,24,30,"Caucasian","Caucasian",4,4,4,9,6,9,6,4,6,9,5,4
"100",0,1,5,6,4,6,26,24,"Caucasian","Caucasian",3,8,7,9,NA,8,3,7,4,8,5,6
"101",0,0,7,2,7,2,25,23,"Other","Asian",8,3,8,2,8,8,9,4,8,5,8,4
"102",1,0,6,6,3,7,27,28,"Asian","Caucasian",6,6,5,10,6,10,6,6,7,10,3,10
"103",1,0,6,5,5,2,27,22,"Caucasian","Caucasian",6,2,4,9,7,10,7,4,8,8,2,4
"104",1,0,7,8,7,6,28,25,"Caucasian","Caucasian",8,6,9,10,8,8,8,7,7,8,NA,NA
"105",0,0,7,NA,5,5,32,28,"Caucasian","Black",5,7,8,7,6,10,7,NA,7,8,7,NA
"106",1,0,8,7,7,7,28,25,"Latino","Black",8,5,10,8,9,8,9,9,9,9,6,5
"107",0,1,7,9,6,5,23,29,"Caucasian","Caucasian",6,10,9,10,9,8,7,10,7,NA,7,NA
"108",1,1,9,8,7,9,26,23,"Caucasian","Caucasian",8,8,8,10,7,7,9,9,8,7,8,8
"109",0,0,6,5,3,5,24,25,"Asian","Caucasian",6,5,7,8,7,8,5,4,5,NA,3,NA
"110",1,1,7,7,7,9,28,27,"Caucasian","Caucasian",8,8,9,8,7,9,9,9,5,8,5,6
"111",0,0,3,7,3,9,42,26,"Caucasian","Caucasian",5,6,8,8,8,7,7,7,7,6,3,6
"112",0,0,6,7,6,6,30,25,"Latino","Latino",7,6,7,10,7,10,6,10,7,8,5,7
"113",1,0,8,6,6,6,31,23,"Caucasian","Caucasian",8,6,9,8,8,6,8,6,8,8,7,8
"114",1,0,9,8,6,10,29,22,"Asian","Caucasian",8,6,8,10,8,9,8,NA,9,10,NA,3
"115",0,1,6,7,5,7,27,24,"Caucasian","Asian",6,6,8,7,8,8,5,6,NA,7,NA,5
"116",0,1,3,6,3,6,28,26,"Caucasian","Asian",8,7,6,7,8,6,10,6,9,5,2,5
"117",0,1,6,7,4,7,32,34,"Caucasian","Caucasian",7,6,8,8,6,9,6,8,NA,10,NA,NA
"118",1,0,7,7,3,8,25,27,"Caucasian","Caucasian",6,7,6,9,7,9,NA,9,NA,10,5,6
"119",1,0,5,8,6,6,25,29,"Asian","Asian",5,5,6,10,5,10,5,9,4,6,3,7
"120",0,1,6,8,4,4,27,34,"Other","Caucasian",6,8,7,8,8,7,6,8,3,9,4,6
"121",1,0,9,4,7,5,33,26,"Other","Latino",9,3,8,5,9,NA,9,6,7,10,8,NA
"122",0,1,5,5,6,3,25,22,"Other","Other",5,7,10,5,6,8,7,5,7,8,4,7
"123",1,0,8,5,8,6,33,23,"Other","Caucasian",8,5,9,9,8,8,8,7,8,8,NA,5
"124",1,1,10,8.5,10,7,29,24,"Caucasian","Latino",10,9,9,9,9,9,6,8,9,NA,6,7
"125",0,0,6,6,7,7,24,24,"Latino","Asian",4,6,8,7,8,6,5,5,9,6,NA,4
"126",1,0,5,5,7,6,21,26,"Caucasian","Caucasian",5,5,8,6,7,7,7,5,5,8,6,5
"127",1,1,7,7,7,6,26,23,"Caucasian","Asian",7,7,9,7,8,8,7,7,5,6,5,8
"128",1,1,9,8,10,10,25,25,"Caucasian","Caucasian",8,7,8,3,8,10,9,10,NA,7,NA,7
"129",0,0,5,5,2,5,32,27,"Caucasian","Asian",5,6,5,8,5,7,3,7,5,5,5,4
"130",0,1,7,8,3,8,25,25,"Caucasian","Caucasian",7,8,9,9,5,8,7,8,6,7,5,7
"131",1,0,6,5,3,5,25,23,"Caucasian","Caucasian",6,5,6,4,6,8,5,4,4,4,5,6
"132",1,0,8,4,6,8,27,28,"Caucasian","Latino",10,4,8,6,8,8,8,6,5,6,5,10
"133",1,0,7,8,2,2,23,32,"Black","Caucasian",7,9,7,8,7,8,0,8,7,6,0,2
"134",1,1,6,7,9,9,27,24,"Asian","Caucasian",8,7,8,10,9,7,9,6,9,9,9,3
"135",0,0,7,7,2,5,27,29,"Caucasian","Caucasian",5,8,9,8,NA,8,6,6,NA,7,NA,6
"136",1,1,4.5,7,8,7,24,33,"Other","Asian",5,6,5,8,5,8,4,6,4,7,4,6
"137",1,0,5,8,5,5,22,26,"Caucasian","Black",8,6,7,10,8,10,7,9,5,10,8,5
"138",1,0,7,5,6,5,22,26,"Asian","Asian",7,5,7,5,5,5,5,5,6,5,9,5
"139",0,0,5,3,5,5,27,22,"Caucasian","Caucasian",5,5,5,9,7,8,5,6,5,8,5,2
"140",1,0,7,5,5,3,28,24,"Asian","Caucasian",7,5,8,7,6,7,6,9,6,9,5,3
"141",0,1,4,7,3,5,34,26,"Caucasian","Asian",5,7,7,8,8,7,6,6,7,6,3,8
"142",1,1,7,7,7,8,27,28,"Asian","Caucasian",7,7,9,8,9,9,8,9,5,9,8,6
"143",0,0,3,5,4,6,28,26,"Black","Asian",5,5,10,5,7,6,4,7,5,7,4,7
"144",0,1,6,7,7,6,28,25,"Latino","Other",5,6,8,7,7,9,8,3,6,6,7,4
"145",0,0,8,7,5,8,27,29,"Asian","Asian",8,5,9,8,8,8,7,7,6,7,7,6
"146",0,0,5,6,8,1,32,28,"Caucasian","Caucasian",8,7,10,8,10,9,8,3,10,5,4,5
"147",0,1,6,6,5,7,25,30,"Caucasian","Caucasian",6,6,7,9,7,10,5,5,6,5,4,NA
"148",0,1,7,7,8,5,29,27,"Asian","Asian",5,7.5,8,8,6,8,7,7,5,7,6,5.5
"149",1,0,9,7,6,8,23,33,"Caucasian","Caucasian",9,6,8,10,8,9,6,8,7,8,9,7
"150",0,0,7,6,7,5,27,28,"Caucasian","Caucasian",6,6,8,9,7,8,8,7,6,5,6,5
"151",0,0,4,3,4,2,32,35,"Other","Caucasian",5,4,7,9,7,10,4,6,5,9,4,2
"152",1,0,9,7,5,6,27,30,"Caucasian","Asian",9,6,8,8,10,8,7,6,7,6,7,6
"153",1,1,7,9,7,8,25,24,"Caucasian","Asian",5,10,8,10,7,10,8,10,5,10,5,8
"154",0,1,4,7,7,6,30,22,"Caucasian","Caucasian",4,9,8,7,7,8,4,7,6,7,2,5
"155",0,1,7,6,1,6,29,34,"Other","Caucasian",7,5,7,10,7,10,6,5,7,10,6,2
"156",1,1,9,7,9,10,26,21,"Caucasian","Caucasian",9,3,9,10,7,10,8,8,9,9,8,10
"157",0,0,9,4,5,7,36,21,"Caucasian","Caucasian",5,6,8,9,6,8,10,6,5,8,NA,NA
"158",0,0,6,6,5,6,29,22,"Caucasian","Asian",4,6,8,6,7,8,7,6,5,6,6,4
"159",1,1,10,3,10,5,30,23,"Asian","Caucasian",10,1,10,10,9,10,10,6,10,5,10,1
"160",0,1,8,7,6,5,23,30,"Caucasian","Latino",5,7,8,7,7,7,7,7,6,5,6,5
"161",0,1,5,6,8,7,29,34,"Asian","Caucasian",5,10,8,8,7,7,7,6,5,6,7,7
"162",0,1,6,6,4,7,24,30,"Caucasian","Caucasian",5,8,8,7,6,8,6,8,6,8,6,8
"163",0,0,4,5,1,8,25,22,"Latino","Asian",6,4,3,9,7,8,6,4,9,7,1,4
"164",1,0,6,7,6,4,28,29,"Caucasian","Caucasian",7,6,9,8,8,8,6,6,6,7,6,3
"165",1,0,6,8,7,3,27,29,"Other","Caucasian",8,8,8,8,8,8,7,8,8,8,7,3
"166",1,1,8,10,7,5,NA,34,"","Asian",8,10,7,NA,7,10,8,10,9,8,7,10
"167",0,1,5,8,5,6,NA,36,"","Black",4,8,8,10,6,9,5,8,5,8,7,5
"168",0,0,9,5,8,6,34,27,"Caucasian","Caucasian",9,4,10,8,9,7,8,5,9,NA,7,5
"169",1,0,8,6,8,5,30,NA,"Caucasian","",8,7,8,8,7,9,7,7,7,9,8,3
"170",0,1,5,6,6,5,23,25,"Asian","Asian",5,6,7,8,6,8,5,7,6,6,4,NA
"171",1,1,9,8,7,7,27,35,"Latino","Asian",9,8,9,8,9,8,9,8,9,8,7,8
"172",0,1,5,7,5,5,30,24,"Caucasian","Caucasian",3,10,8,9,6,9,6,7,5,9,2,7
"173",0,1,6,9,6,7,27,29,"Caucasian","Other",6,9,8,8,7,8,6,9,5,6,5,9
"174",0,1,4,8,6,6,27,24,"Caucasian","Other",4,7,9,6,7,6,5,7,7,7,4,6
"175",1,1,6.5,7,6,7,24,31,"Other","Caucasian",7,6,8,10,7,9,8,8,7,6,6,6
"176",1,1,10,8,10,10,25,22,"Caucasian","Caucasian",10,5,9,10,10,8,10,10,10,6,10,10
"177",0,0,5,8,4,2,28,23,"Caucasian","Asian",6,8,9,8,7,8,7,8,5,8,3,5
"178",0,1,6,7,10,6,27,33,"Caucasian","Latino",6,7,10,7,9,NA,5,7,5,8,5,NA
"179",1,1,9,7,7,8,27,33,"Caucasian","Caucasian",9,7,9,8,9,8,9,7,8,6,NA,NA
"180",1,0,9,5,8,7,29,27,"Latino","Asian",9,6,10,8,9,7,9,6,9,9,NA,NA
"181",0,0,5,2,5,2,30,26,"Asian","Caucasian",5,7,7,5,5,5,5,5,4,6,3,1
"182",0,1,3,8,5,7,27,24,"Caucasian","Caucasian",2,9,4,6,4,7,2,7,5,7,2,7
"183",1,1,10,10,10,10,25,26,"Asian","Asian",10,10,10,10,10,10,10,10,10,10,10,10
"184",1,1,7,7,6,7,26,26,"Asian","Latino",8,6,8,7,8,7,7,7,6,6,5,8
"185",0,1,6,7,5,5,29,32,"Caucasian","Caucasian",5,7,7,7,8,7,6,8,9,NA,4,NA
"186",0,1,6,6,6,5,24,33,"Caucasian","Black",6,4,8,7,8,7,7,5,7,7,7,7
"187",1,1,10,9,6,8,29,25,"Caucasian","Caucasian",10,8,8,9,9,9,10,9,NA,9,NA,8
"188",1,1,9,6,8,9,29,24,"Caucasian","Caucasian",7,6,10,7,9,8,8,6,6,8,NA,6
"189",1,1,6.5,6,8,6,26,33,"Caucasian","Caucasian",5,8,7,6,8,7,7,7,7,9,8,NA
"190",0,1,5,7,6,7,31,26,"Caucasian","Caucasian",1,7,8,8,8,8,5,7,5,8,NA,NA
"191",1,0,8,4,9,8,29,27,"Asian","Caucasian",7,3,9,9,5,9,7,8,5,8,6,NA
"192",0,0,5,5,2,6,22,26,"Caucasian","Caucasian",5,2,7,10,7,8,4,7,4,9,2,2
"193",1,1,8,6,4,5,23,28,"Caucasian","Caucasian",7,8,7,8,7,8,5,6,5,8,5,4
"194",0,1,NA,6,NA,7,30,25,"Black","Asian",NA,5,NA,8,NA,9,NA,8,NA,9,NA,7
"195",0,1,2,8,6,8,27,30,"Asian","Asian",2,8,4,10,4,10,5,8,4,8,4,NA
"196",0,1,10,10,5,10,24,24,"Caucasian","Caucasian",10,10,10,10,10,10,10,10,10,10,10,10
"197",1,0,7,8,8,3,24,38,"Latino","Caucasian",7,7,6,9,8,8,7,9,7,8,6,9
"198",1,1,8,7,7,7,23,23,"Caucasian","Caucasian",7,7,9,10,8,10,8,6,7,8,6,7
"199",1,1,7,7,3,8,27,28,"Caucasian","Caucasian",7,7,8,9,8,8,4,8,5,6,8,6
"200",0,0,6,7,7,6,34,24,"Caucasian","Caucasian",6,9.5,9,7,8,7,7,8,4,9,5,6
"201",1,0,7,7,4,7,27,21,"Caucasian","Caucasian",8,5,8,10,9,9,9,5,8,10,7,NA
"202",0,0,7,7,7,7,26,22,"Caucasian","Caucasian",6,8,8,8,6,8,6,7,6,7,5,6
"203",1,1,8,7,5,6,29,25,"Caucasian","Caucasian",10,7,10,9,10,9,10,7,10,9,5,NA
"204",1,0,5,2,5,6,31,24,"Caucasian","Caucasian",5,6,5,6,5,8,5,4,5,10,5,1
"205",0,1,7,7,7,6,26,25,"Caucasian","Asian",9,6,8,9,8,8,7,8,NA,9,7,1
"206",0,0,7,6,5,6,30,29,"Caucasian","Caucasian",6,6,9,8,6,7,6,4,6,8,4,5
"207",1,0,8,6,6,6,24,25,"Asian","Asian",7,7,7,8,8,7,8,5,8,5,7,5
"208",1,0,8,3,6,5,28,25,"Caucasian","Latino",5,3,8,5,9,7,8,4,7,8,6,2
"209",0,0,4,2,6,6,24,29,"Caucasian","Caucasian",3,3,8,3,5,4,4,3,2,8,7,2
"210",0,1,8,6,8,8,28,28,"Caucasian","Caucasian",6,8,10,8,9,8,8,5,8,5,9,5
"211",1,0,7,8,6,6,27,25,"Asian","Asian",7,6,7,8,7,9,6,7,NA,9,NA,6
"212",1,0,7,6,7,8,27,22,"Caucasian","Caucasian",7,7,9,6,9,7,9,5,7,7,6,3
"213",0,0,4,6,5,5,21,30,"Caucasian","Other",6,8,9,7,8,7,9,5,8,5,8,7
"214",0,1,7,10,7,10,24,23,"Caucasian","Caucasian",9,10,9,10,9,10,10,10,8,10,5,10
"215",1,0,5,8,3,10,25,23,"Caucasian","Caucasian",8,7,1,10,5,8,5,10,5,8,0,7
"216",0,1,6,9,7,9,27,28,"Latino","Caucasian",7,8,9,10,6,9,5,9,3,10,5,9
"217",0,1,7,10,5,9,26,28,"Caucasian","Caucasian",7,10,9,10,8,10,7,10,7,10,NA,9
"218",0,1,7,8,8,5,30,23,"Caucasian","Caucasian",7,7,9,7,7,8,6,9,5,9,6,8
"219",1,0,8,7,5,8,28,27,"Latino","Caucasian",8,7,10,5,9,5,8,3,5,3,3,5
"220",0,0,4,5,3,1,26,29,"Asian","Caucasian",4,7,5,7,6,9,5,3,5,9,4,0
"221",1,1,6,10,6,9,22,22,"Caucasian","Black",5,9,7,9,8,10,6,10,6,9,7,NA
"222",1,0,7,5,1,2,23,22,"Other","Asian",10,5,7,6,8,9,7,8,8,8,5,5
"223",1,0,7,5,6,1,25,29,"Caucasian","Caucasian",8,5,7,9,7,10,7,5,5,9,5,5
"224",1,0,6,3,4,5,30,23,"Asian","Caucasian",6,2,6,7,5,10,6,2,5,10,4,2
"225",1,0,8,5,7,5,29,27,"Asian","Asian",8,7,9,7,7,8,8,8,6,8,7,3
"226",1,0,4,5,4,1,27,29,"Asian","Caucasian",5,3,5,10,5,10,4,3,5,10,4,0
"227",0,1,9,9,10,7,33,27,"Caucasian","Caucasian",5,9,10,9,8,9,8,9,7,9,7,9
"228",0,0,5,5,6,5,27,24,"Other","Asian",5,5,5,7,7,7,6,6,6,7,7,7
"229",1,0,7,1,4,1,33,26,"Asian","Asian",8,2,6,10,7,5,6,1,7,5,4,2
"230",1,0,6,5,3,5,23,29,"Asian","Asian",5,6,6,8,6,8,5,7,7,9,5,3
"231",0,1,5,7,1,1,33,55,"Asian","Asian",5,8,9,7,9,8,5,8,4,8,2,6
"232",0,0,8,5,3,3,23,29,"Caucasian","Asian",5,5,NA,5,NA,3,NA,4,9,1,5,2
"233",1,0,7,6,6,7,23,27,"Caucasian","Latino",5,6,8,8,7,7,7,3,8,3,5,6
"234",0,0,6,6,4,4,30,25,"Caucasian","Caucasian",6,6,6,7,7,7,6,6,6,8,6,5
"235",0,0,8,3,8,6,28,27,"Caucasian","Caucasian",9,3,10,6,10,7,10,5,8,4,5,1
"236",1,0,7,5,6,10,31,25,"Asian","Latino",7,2,5,10,9,10,8,7,9,10,NA,1
"237",1,0,9,5,6,4,29,27,"Black","Latino",10,5,10,6,10,6,10,4,9,NA,8,6
"238",1,0,9,6,8,NA,32,26,"Latino","Caucasian",8,8,8,9,8,8,8,6,8,7,6,7
"239",1,0,8,7,6,5,24,30,"Asian","Black",7,4,6,10,7,9,7,5,7,7,5,5
"240",1,1,8,7,5,7,29,29,"Asian","Asian",8,5,8,5,8,5,8,8,8,5,8,5
"241",1,1,7,7,8,7,28,30,"Caucasian","Asian",6,7,8,7,9,7,7,7,8,7,6,6
"242",1,0,7,6,6,7,29,25,"Caucasian","Other",8,3,7,8,7,8,6,4,6,8,8,8
"243",0,1,5,NA,5,NA,29,26,"Latino","Caucasian",6,5,6,7,6,7,6,7,6,7,6,NA
"244",0,0,10,5,2,5,30,24,"Other","Caucasian",10,7,10,6,10,8,10,5,10,7,1,1
"245",0,1,6,7,2,5,20,24,"Asian","Caucasian",9,9,8,10,9,8,8,10,NA,9,5,8
"246",0,1,6,10,6,8,30,34,"Caucasian","Asian",8,10,8,9,9,10,6,10,9,10,5,9
"247",1,0,7,6,6,2,32,25,"Other","Asian",7,4,7,4,6,8,5,6,5,7,5,3
"248",1,0,9,8,10,9,26,24,"Asian","Caucasian",9,6,8,9,8,8,8,8,8,10,8,6
"249",1,0,7,6,6,5,25,26,"Caucasian","Caucasian",6,5,8,8,5,8,6,7,5,7,7,6
"250",1,0,8,6,8,5,23,23,"Caucasian","Asian",8,6,10,7,10,8,8,7,7,9,7,6
"251",0,0,7,5,3,5,27,26,"Asian","Caucasian",5,5,8,5,9,4,6,2,8,8,6,1
