"","Movie","LeadStudio","RottenTomatoes","AudienceScore","Story","Genre","TheatersOpenWeek","BOAverageOpenWeek","DomesticGross","ForeignGross","WorldGross","Budget","Profitability","OpeningWeekend"
"86","Colombiana","Sony",28,55,"Revenge","Action",2614,3982,36.67,24.3,60.965,40,1.524125,10.41
"87","What's Your Number","20th Century Fox",24,50,"Transformation","Comedy",3002,1806,14.01,16.42,30.426,20,1.5213,5.42
"88","30 Minutes or Less","Independent",43,48,"Comedy","Comedy",2888,4616,37.05,3.49,40.546,28,1.448071429,13.33
"89","The Change Up","Relativity Media",24,53,"Metamorphosis","Comedy",2913,4645,37.08,33.75,70.833,52,1.362173077,13.53
"90","Priest","Sony",17,37,"Monster Force","Action",2864,5221,29.14,49.17,78.308,60,1.305133333,14.95
"91","The Mechanic","Independent",53,52,"Revenge","Action",2703,4226,29.2,22,51.2,40,1.28,11.4
"92","Don't Be Afraid Of The Dark","Miramax Films",59,37,"Monster Force","Horror",2760,3089,24.05,7.5,31.546,25,1.26184,8.53
"93","Fright Night","DreamWorks",75,68,"Rivalry","Horror",3114,2477,18.3,18.8,37.102,30,1.236733333,7.71
"94","The Descendants","20th Century Fox",89,88,"Discovery","Drama",29,41038,24.54,NA,24.541,20,1.22705,4.38
"95","Arthur","Warner Bros",26,49,"Sacrifice","Comedy",3276,3731,33.04,12.7,45.735,40,1.143375,12.22
"96","Winnie The Pooh","Disney",91,79,"Quest","Animation",2405,3267,26.69,6.46,33.152,30,1.105066667,7.86
"97","Green Lantern","Warner Bros",27,48,"Metamorphosis","Action",3816,13935,116.6,103.25,219.851,200,1.099255,53.17
"98","Sucker Punch","Legendary Pictures",23,48,"Quest","Action",3033,6284,36.39,53.4,89.792,82,1.09502439,19.06
"99","The Eagle","Universal",39,43,"Quest","Action",2296,3782,19.49,7.63,27.121,25,1.08484,8.68
"100","Cowboys and Aliens","Universal",44,50,"Monster Force","Action",3750,9715,100.24,74.58,174.821,163,1.072521472,36.43
"101","Jack and Jill","Happy Madison",4,59,"Comedy","Comedy",3438,7273,68.91,15,83.911,79,1.062164557,25
"102","J.Edgar","Warner Bros",42,84,"Wretched Excess","Drama",1910,5873,35.06,NA,35.057,35,1.001628571,11.22
"103","The Dilemma","Spyglass Entertainment",23,31,"Comedy","Comedy",2940,6060,48.5,21.2,69.7,70,0.995714286,17.8
"104","Warrior","Lionsgate",83,93,"Rivalry","Action",1869,2805,13.66,9.4,23.057,25,0.92228,5.24
"105","My Week with Marilyn","The Weinstein Company",83,84,"Love","Drama",247,7174,5.31,2.95,8.258,10,0.8258,1.75
"106","Happy Feet 2","Village Roadshow Pictures",41,59,"Journey and Return","Animation",3606,5889,57.31,49.2,106.507,135,0.788940741,21.24
"107","Dream House","Morgan Creek Productions",7,38,"The Riddle","Horror",2661,3055,21.3,17.2,38.502,50,0.77004,8.13
"108","Killer Elite","Independent",25,48,"Rivalry","Action",2986,3132,25.12,27.84,52.961,70,0.756585714,9.35
"109","The Thing","Universal",36,52,"Monster Force","Horror",2996,2835,16.93,10.5,27.428,38,0.721789474,8.49
"110","Cedar Rapids","20th Century Fox",86,61,"Maturation","Comedy",NA,NA,6.86,NA,6.861,10,0.6861,0.3
"111","Drive Angry","Independent",45,38,"Rescue","Action",2290,2265,10.72,18.21,28.931,45,0.642911111,5.19
"112","Arthur Christmas","Aardman Animations",92,82,"Journey and Return","Animation",3376,3537,33.7,57.5,91.203,150,0.60802,12.07
"113","The Conspirator","Independent",56,65,"Underdog","Drama",707,4960,11.54,2.67,14.211,25,0.56844,3.51
"114","Everything Must Go","Reliance Entertainment",74,53,"Discovery","Drama",NA,NA,2.71,NA,2.711,5,0.5422,0.79
"115","Conan the Barbarian","Lionsgate",22,34,"Quest","Action",3015,3324,21.3,27.5,48.795,90,0.542166667,10.02
"116","Your Highness","Universal",26,36,"Comedy","Comedy",2769,3380,21.6,3.26,24.856,49.9,0.498116232,9.36
"117","The Rum Diary","Independent",50,48,"Discovery","Drama",2273,2259,13.07,8.48,21.552,45,0.478933333,5.14
"118","Anonymous","Relativity Media",46,66,"Tragedy","Drama",265,3856,4.46,9.73,14.19,30,0.473,1.02
"119","A Dangerous Method","Independent",79,89,"Love","Drama",NA,NA,0.54,8.44,8.972895,20,0.44864475,0.17
"120","The Company Men","Weinstein Company",66,55,"Discovery","Drama",106,6111,4.4,0.4,4.8,15,0.32,0.64
"121","Take Shelter","Independent",92,85,"Sacrifice","Drama",NA,NA,1.57,NA,1.573,5,0.3146,0.05
"122","The Beaver","Summit Entertainment",62,57,"Transformation","Drama",22,4890,0.97,5.4,6.37,21,0.303333333,0.11
"123","Take Me Home Tonight","Relativity",28,46,"Discovery","Comedy",2003,1730,6.93,NA,6.928,25,0.27712,3.46
"124","Red State","Independent",57,59,"Escape","Horror",NA,NA,1.1,NA,1.104,4,0.276,NA
"125","Mars Needs Moms","Disney",36,43,"Rescue","Animation",3117,2218,21.39,17.6,38.992,150,0.259946667,6.91
"126","Dylan Dog: Dead of Night","Independent",6,28,"Monster Force","Horror",NA,NA,1.19,3.45,4.633,20,0.23165,0.75
"127","The Big Year","Independent",38,62,"Transformation","Comedy",2150,1513,7.17,0.24,7.41,41,0.180731707,3.25
"128","Vanishing on 7th Street","Independent",52,62,"Monster Force","Horror",NA,NA,0.02,1.05,1.067,10,0.1067,0
"129","Trespass","Independent",11,24,"Escape","Thriller",NA,NA,0.02,3.1,3.124,35,0.089257143,0.02
"130","Hesher","Independent",54,68,"Wretched Excess","Drama",NA,NA,0.38,NA,0.382,7,0.054571429,0.13
"131","Machine Gun Preacher","Lionsgate",29,71,"Transformation","Action",NA,NA,0.54,0.57,1.103,30,0.036766667,0.05
"132","Waiting For Forever","Independent",6,53,"Love","Romance",3,2972,0.03,NA,0.025,5,0.005,0.01
"133","The Son Of No One","Independent",18,61,"Discovery","Thriller",NA,NA,0.03,NA,0.03,15,0.002,0.02
"134","Hugo","Paramount",93,84,"","Adventure",1277,8899,NA,NA,NA,NA,NA,11.36
"135","Jane Eyre","Universal",85,77,"Love","Romance",NA,NA,11.24,18.91,30.147,NA,NA,0.18
"136","Never Back Down 2: The Beatdown","Sony",NA,44,"Rivalry","Action",NA,NA,NA,NA,NA,3,0,8.6
