"","CorrTimeDist"
"623",0.796
"624",0.795
"625",0.825
"626",0.703
"627",0.809
"628",0.812
"629",0.836
"630",0.797
"631",0.844
"632",0.772
"633",0.853
"634",0.827
"635",0.766
"636",0.746
"637",0.756
"638",0.818
"639",0.769
"640",0.871
"641",0.836
"642",0.815
"643",0.765
"644",0.835
"645",0.845
"646",0.833
"647",0.811
"648",0.861
"649",0.772
"650",0.786
"651",0.776
"652",0.823
"653",0.808
"654",0.789
"655",0.8
"656",0.805
"657",0.821
"658",0.838
"659",0.856
"660",0.846
"661",0.88
"662",0.787
"663",0.729
"664",0.81
"665",0.844
"666",0.765
"667",0.777
"668",0.788
"669",0.773
"670",0.836
"671",0.843
"672",0.763
"673",0.849
"674",0.798
"675",0.828
"676",0.861
"677",0.801
"678",0.789
"679",0.85
"680",0.855
"681",0.839
"682",0.772
"683",0.743
"684",0.784
"685",0.727
"686",0.823
"687",0.792
"688",0.848
"689",0.828
"690",0.836
"691",0.822
"692",0.858
"693",0.731
"694",0.84
"695",0.827
"696",0.842
"697",0.819
"698",0.863
"699",0.784
"700",0.832
"701",0.835
"702",0.797
"703",0.793
"704",0.822
"705",0.853
"706",0.84
"707",0.802
"708",0.804
"709",0.858
"710",0.785
"711",0.846
"712",0.768
"713",0.812
"714",0.809
"715",0.867
"716",0.821
"717",0.74
"718",0.761
"719",0.868
"720",0.813
"721",0.796
"722",0.771
"723",0.83
"724",0.712
"725",0.833
"726",0.839
"727",0.752
"728",0.816
"729",0.71
"730",0.821
"731",0.779
"732",0.818
"733",0.79
"734",0.744
"735",0.814
"736",0.816
"737",0.788
"738",0.741
"739",0.746
"740",0.827
"741",0.814
"742",0.847
"743",0.787
"744",0.829
"745",0.746
"746",0.798
"747",0.783
"748",0.838
"749",0.788
"750",0.817
"751",0.833
"752",0.825
"753",0.824
"754",0.864
"755",0.787
"756",0.744
"757",0.813
"758",0.838
"759",0.813
"760",0.8
"761",0.744
"762",0.837
"763",0.827
"764",0.798
"765",0.78
"766",0.816
"767",0.81
"768",0.811
"769",0.833
"770",0.836
"771",0.864
"772",0.822
"773",0.781
"774",0.847
"775",0.841
"776",0.733
"777",0.754
"778",0.819
"779",0.772
"780",0.757
"781",0.804
"782",0.777
"783",0.699
"784",0.791
"785",0.789
"786",0.795
"787",0.836
"788",0.857
"789",0.816
"790",0.811
"791",0.78
"792",0.783
"793",0.809
"794",0.81
"795",0.742
"796",0.81
"797",0.811
"798",0.865
"799",0.837
"800",0.785
"801",0.801
"802",0.808
"803",0.8
"804",0.807
"805",0.864
"806",0.842
"807",0.815
"808",0.831
"809",0.731
"810",0.815
"811",0.811
"812",0.758
"813",0.821
"814",0.752
"815",0.781
"816",0.791
"817",0.807
"818",0.819
"819",0.85
"820",0.828
"821",0.798
"822",0.828
"823",0.795
"824",0.781
"825",0.81
"826",0.811
"827",0.758
"828",0.837
"829",0.874
"830",0.767
"831",0.83
"832",0.801
"833",0.878
"834",0.791
"835",0.808
"836",0.781
"837",0.846
"838",0.78
"839",0.836
"840",0.786
"841",0.774
"842",0.735
"843",0.787
"844",0.776
"845",0.804
"846",0.753
"847",0.78
"848",0.808
"849",0.766
"850",0.799
"851",0.833
"852",0.754
"853",0.848
"854",0.804
"855",0.851
"856",0.881
"857",0.844
"858",0.793
"859",0.8
"860",0.809
"861",0.795
"862",0.826
"863",0.839
"864",0.824
"865",0.841
"866",0.753
"867",0.817
"868",0.858
"869",0.843
"870",0.743
"871",0.859
"872",0.825
"873",0.826
"874",0.806
"875",0.796
"876",0.871
"877",0.767
"878",0.823
"879",0.831
"880",0.815
"881",0.789
"882",0.756
"883",0.806
"884",0.802
"885",0.798
"886",0.811
"887",0.749
"888",0.823
"889",0.783
"890",0.805
"891",0.868
"892",0.85
"893",0.834
"894",0.858
"895",0.801
"896",0.755
"897",0.773
"898",0.769
"899",0.777
"900",0.875
"901",0.816
"902",0.756
"903",0.848
"904",0.858
"905",0.849
"906",0.773
"907",0.859
"908",0.832
"909",0.842
"910",0.795
"911",0.767
"912",0.819
"913",0.843
"914",0.797
"915",0.794
"916",0.836
"917",0.809
"918",0.85
"919",0.812
"920",0.765
"921",0.825
"922",0.742
"923",0.77
"924",0.798
"925",0.806
"926",0.837
"927",0.723
"928",0.846
"929",0.826
"930",0.799
"931",0.794
"932",0.766
"933",0.852
"934",0.782
"935",0.794
"936",0.84
"937",0.8
"938",0.834
"939",0.836
"940",0.839
"941",0.848
"942",0.753
"943",0.862
"944",0.765
"945",0.792
"946",0.846
"947",0.795
"948",0.813
"949",0.785
"950",0.814
"951",0.854
"952",0.753
"953",0.781
"954",0.752
"955",0.781
"956",0.855
"957",0.782
"958",0.837
"959",0.813
"960",0.861
"961",0.832
"962",0.833
"963",0.815
"964",0.846
"965",0.803
"966",0.841
"967",0.819
"968",0.779
"969",0.766
"970",0.703
"971",0.833
"972",0.844
"973",0.778
"974",0.863
"975",0.786
"976",0.829
"977",0.83
"978",0.759
"979",0.807
"980",0.754
"981",0.771
"982",0.83
"983",0.832
"984",0.802
"985",0.835
"986",0.8
"987",0.801
"988",0.84
"989",0.798
"990",0.825
"991",0.832
"992",0.778
"993",0.802
"994",0.778
"995",0.744
"996",0.807
"997",0.842
"998",0.826
"999",0.827
"1000",0.78
