"","Country","LandArea","Population","Energy","Rural","Military","Health","HIV","Internet","Developed","BirthRate","ElderlyPop","LifeExpectancy"
"19","New Zealand",263310,4268900,16935,13.44,NA,18.32653377,0.1,71.37670126,3,15.15,12.5430821,80.35121951
"20","Kuwait",17820,2728040.839,26291,1.64,14.42208166,6.108475974,NA,36.65634273,3,17.705,2.086836831,77.96963415
"21","Lithuania",62670,3358115,9177,33.04,4.850804451,12.81203769,0.1,54.6092674,2,10.4,15.96770944,71.81219512
"22","Peru",1280000,28836700,14710,28.6,6.499068388,15.58879256,0.4,24.71970787,1,21.107,5.730707744,73.26190244
"23","Uganda",197100,31656865,NA,87.02,17.03535006,10.45284394,6.4,7.897181228,NA,46.151,2.561760301,52.66678049
"24","Luxembourg",2590,488650,4119,17.56,NA,13.71566311,0.3,80.87567789,3,11.5,14.03650407,80.08780488
"25","Lesotho",30360,2049429,NA,74.54,3.144950906,8.22961439,23.6,3.576605972,NA,28.942,4.749813119,44.99492683
"26","Ukraine",579320,46258200,136143,32.02,7.163484969,8.577685681,1.1,22.4825004,2,11,15.90376231,68.25146341
"27","Central African Republic",622980,4339263,NA,61.42,NA,10.96359743,5.1,0.437862374,NA,35.422,3.879946378,46.95860976
"28","Moldova",32890,3633369,3150,58.24,1.856942687,12.97056248,0.4,23.39426576,1,12.32,11.13695487,68.43714634
"29","Gambia, The",10000,1660200,NA,43.58,NA,11.5987628,1.7,6.878689315,NA,36.761,2.818395374,55.93239024
"30","Malta",320,411950,819,5.74,1.506890703,12.28287021,0.1,49.53392402,2,10,14.01736126,79.43170732
"31","Djibouti",23180,849245,NA,12.7,NA,15.34013114,2.6,2.26083168,NA,28.435,3.166083996,55.3892439
"32","Turkmenistan",469930,5043618,18814,51.38,NA,7.03255786,NA,1.487027765,1,21.933,4.310162453,64.82121951
"33","Bosnia and Herzegovina",51200,3773100,5990,52.56,3.366404225,14.04785193,NA,34.65545573,1,9.097,13.78757886,75.10631707
"34","Chile",743530,16803952,31446,11.56,17.94063197,15.56843554,0.4,32.46999872,2,14.942,8.755320846,78.61395122
"35","Uzbekistan",425400,27313700,50501,63.18,NA,8.633140865,0.1,9.039419778,1,21.6805348,4.569655482,67.75612195
"36","Niger",1266700,14704318,NA,83.46,NA,14.8296074,0.8,0.544057875,NA,53.536,1.979493236,51.40146341
"37","Slovenia",20140,2021316,7735,51.4,4.079257489,12.91105809,0.1,57.50332951,3,10.8,16.02675567,78.76585366
"38","Azerbaijan",82620,8680100,13367,48.08,22.88424775,2.541835611,0.1,28.16269398,1,17.8,6.767799858,70.17768293
"39","Libya",1759540,6294181,18221,22.46,NA,5.501682378,NA,5.131724048,2,23.299,4.130242162,74.329
"40","Armenia",28480,3077087,2997,36.14,16.06258246,7.235004951,0.1,6.207169313,1,15.299,11.56305775,73.53739024
"41","Portugal",91470,10622413,24159,40.54,4.801709145,15.43569354,0.5,44.3569366,2,9.8,17.50128149,78.52439024
"42","Fiji",18270,844046,NA,47.64,NA,10.16884817,0.1,12.20312637,NA,20.945,4.626040225,68.86573171
"43","Australia",7682300,21431800,130113,11.26,7.709264162,17.09892756,0.1,70.78266874,3,13.8,13.41461655,81.39512195
"44","Mexico",1943950,106350433.7,180605,22.8,NA,14.95710258,0.3,21.87139929,1,18.32806384,6.225068165,75.06545258
"45","Belgium",30280,10708433,58583,2.64,2.747224697,14.84269414,0.2,70.46451147,3,11.7,17.24259512,80.42682927
"46","Israel",21640,7308800,22009,8.34,17.12338507,10.02470757,0.2,47.88747811,3,21.5,10.04248814,81.00243902
"47","United Arab Emirates",83600,4484935,58439,22.12,NA,8.891462255,NA,71.99999554,3,14.004,1.007373133,77.74807317
"48","Costa Rica",51060,4519126,4897,36.74,NA,26.09258138,0.3,32.30713195,1,16.677,6.183363774,78.91802439
"49","Sri Lanka",62710,20156204.34,8935,84.9,18.53627278,7.881231892,0.1,5.77238641,1,18.8,7.254076004,74.12712195
"50","Panama",74340,3398823,2899,26.8,NA,13.54090141,0.9,27.55377376,1,20.64,6.3800672,75.6607561
