"","City","Age","Distance","Time","Sex"
"175","St. Louis",39,2,5,"F"
"176","St. Louis",61,22,30,"M"
"177","St. Louis",22,4,5,"M"
"178","St. Louis",24,10,20,"F"
"179","St. Louis",53,10,15,"F"
"180","St. Louis",68,2,5,"M"
"181","St. Louis",30,6,15,"F"
"182","St. Louis",47,10,25,"F"
"183","St. Louis",44,12,25,"M"
"184","St. Louis",24,5,10,"M"
"185","St. Louis",41,5,20,"M"
"186","St. Louis",32,10,20,"F"
"187","St. Louis",28,4,5,"M"
"188","St. Louis",45,10,20,"F"
"189","St. Louis",47,65,65,"M"
"190","St. Louis",30,30,40,"F"
"191","St. Louis",35,7,15,"M"
"192","St. Louis",30,10,20,"F"
"193","St. Louis",44,6,30,"M"
"194","St. Louis",40,15,20,"M"
"195","St. Louis",51,5,20,"F"
"196","St. Louis",38,5,15,"M"
"197","St. Louis",17,5,10,"F"
"198","St. Louis",47,28,40,"M"
"199","St. Louis",46,22,35,"F"
"200","St. Louis",56,27,40,"F"
"201","St. Louis",51,3,5,"M"
"202","St. Louis",22,15,15,"F"
"203","St. Louis",23,0,5,"M"
"204","St. Louis",54,3,10,"F"
"205","St. Louis",46,20,25,"F"
"206","St. Louis",45,22,25,"M"
"207","St. Louis",42,36,40,"M"
"208","St. Louis",56,35,45,"F"
"209","St. Louis",60,5,20,"F"
"210","St. Louis",59,80,105,"F"
"211","St. Louis",34,15,20,"M"
"212","St. Louis",35,21,25,"F"
"213","St. Louis",71,20,30,"M"
"214","St. Louis",37,17,30,"M"
"215","St. Louis",37,8,10,"M"
"216","St. Louis",44,19,30,"M"
"217","St. Louis",28,10,15,"F"
"218","St. Louis",45,18,25,"M"
"219","St. Louis",17,10,20,"M"
"220","St. Louis",25,8,15,"M"
"221","St. Louis",30,3,5,"M"
"222","St. Louis",25,25,30,"M"
"223","St. Louis",64,6,10,"M"
"224","St. Louis",58,3,3,"F"
"225","St. Louis",27,23,45,"M"
"226","St. Louis",17,15,15,"M"
"227","St. Louis",60,11,15,"F"
"228","St. Louis",45,15,25,"F"
"229","St. Louis",52,10,15,"F"
"230","St. Louis",25,4,7,"F"
"231","St. Louis",47,14,20,"M"
"232","St. Louis",16,12,20,"M"
"233","St. Louis",50,15,35,"M"
"234","St. Louis",35,22,30,"F"
"235","St. Louis",49,6,15,"M"
"236","St. Louis",61,5,10,"M"
"237","St. Louis",34,30,30,"F"
"238","St. Louis",84,0,5,"M"
"239","St. Louis",52,37,75,"F"
"240","St. Louis",54,3,10,"M"
"241","St. Louis",57,26,35,"M"
"242","St. Louis",50,26,45,"F"
"243","St. Louis",26,35,35,"M"
"244","St. Louis",45,30,30,"F"
"245","St. Louis",42,3,7,"M"
"246","St. Louis",54,18,35,"F"
"247","St. Louis",38,7,20,"F"
"248","St. Louis",56,5,7,"M"
"249","St. Louis",68,3,5,"M"
"250","St. Louis",19,20,25,"F"
"251","St. Louis",20,5,5,"M"
"252","St. Louis",31,12,25,"F"
"253","St. Louis",26,3,5,"F"
"254","St. Louis",23,25,25,"M"
"255","St. Louis",32,30,130,"M"
"256","St. Louis",56,26,45,"M"
"257","St. Louis",23,25,25,"M"
"258","St. Louis",50,4,4,"F"
"259","St. Louis",34,5,10,"M"
"260","St. Louis",54,20,40,"F"
"261","St. Louis",66,33,45,"M"
"262","St. Louis",37,22,30,"M"
"263","St. Louis",35,20,25,"F"
"264","St. Louis",24,1,2,"F"
"265","St. Louis",42,10,15,"F"
"266","St. Louis",42,27,35,"F"
"267","St. Louis",30,32,35,"F"
"268","St. Louis",60,3,10,"M"
"269","St. Louis",57,8,15,"F"
"270","St. Louis",30,30,35,"F"
"271","St. Louis",21,4,5,"M"
"272","St. Louis",61,12,15,"F"
"273","St. Louis",39,5,20,"F"
"274","St. Louis",52,8,20,"M"
"275","St. Louis",61,15,20,"M"
"276","St. Louis",55,5,8,"M"
"277","St. Louis",29,15,15,"F"
"278","St. Louis",58,15,15,"F"
"279","St. Louis",34,23,45,"F"
"280","St. Louis",51,15,25,"F"
"281","St. Louis",42,17,30,"M"
"282","St. Louis",21,15,15,"F"
"283","St. Louis",56,15,20,"M"
"284","St. Louis",23,10,45,"F"
"285","St. Louis",44,0,4,"M"
"286","St. Louis",28,10,15,"M"
"287","St. Louis",60,22,25,"M"
"288","St. Louis",24,5,20,"F"
"289","St. Louis",37,1,2,"F"
"290","St. Louis",50,35,45,"F"
"291","St. Louis",34,15,15,"F"
"292","St. Louis",56,20,20,"M"
"293","St. Louis",34,9,15,"F"
"294","St. Louis",28,40,50,"M"
"295","St. Louis",42,30,45,"M"
"296","St. Louis",49,24,40,"M"
"297","St. Louis",30,3,5,"M"
"298","St. Louis",51,6,10,"F"
"299","St. Louis",27,9,45,"M"
"300","St. Louis",42,25,35,"F"
"301","St. Louis",23,7,15,"M"
"302","St. Louis",18,3,5,"F"
"303","St. Louis",40,10,15,"F"
"304","St. Louis",48,4,10,"F"
"305","St. Louis",23,8,15,"F"
"306","St. Louis",23,12,20,"M"
"307","St. Louis",59,7,30,"M"
"308","St. Louis",50,10,20,"M"
"309","St. Louis",32,11,20,"F"
"310","St. Louis",27,30,45,"F"
"311","St. Louis",34,6,15,"M"
"312","St. Louis",57,30,30,"M"
"313","St. Louis",36,1,5,"F"
"314","St. Louis",17,10,15,"M"
"315","St. Louis",50,20,25,"F"
"316","St. Louis",52,8,10,"F"
"317","St. Louis",31,1,4,"F"
"318","St. Louis",43,7,8,"M"
"319","St. Louis",20,4,10,"F"
"320","St. Louis",43,8,15,"F"
"321","St. Louis",55,2,5,"F"
"322","St. Louis",49,36,38,"M"
"323","St. Louis",47,15,15,"M"
"324","St. Louis",30,40,45,"F"
"325","St. Louis",34,39,45,"M"
"326","St. Louis",60,10,15,"M"
"327","St. Louis",45,5,5,"F"
"328","St. Louis",20,8,15,"F"
"329","St. Louis",34,25,45,"M"
"330","St. Louis",27,2,3,"M"
"331","St. Louis",58,25,25,"M"
"332","St. Louis",46,10,15,"F"
"333","St. Louis",47,8,10,"M"
"334","St. Louis",53,10,15,"F"
"335","St. Louis",56,3,10,"F"
"336","St. Louis",47,12,15,"F"
"337","St. Louis",45,20,40,"M"
"338","St. Louis",56,15,25,"M"
"339","St. Louis",30,25,30,"F"
"340","St. Louis",40,10,20,"M"
"341","St. Louis",28,18,75,"M"
"342","St. Louis",24,8,20,"M"
"343","St. Louis",16,1,5,"M"
"344","St. Louis",50,33,35,"M"
"345","St. Louis",50,18,40,"F"
"346","St. Louis",37,6,15,"F"
"347","St. Louis",63,35,45,"F"
"348","St. Louis",51,15,35,"M"
"349","St. Louis",47,15,30,"M"
"350","St. Louis",54,8,10,"M"
"351","St. Louis",38,23,40,"M"
"352","St. Louis",69,2,15,"M"
"353","St. Louis",52,9,15,"M"
"354","St. Louis",51,6,15,"M"
"355","St. Louis",38,25,40,"M"
"356","St. Louis",25,40,40,"M"
"357","St. Louis",45,10,15,"M"
"358","St. Louis",52,1,3,"M"
"359","St. Louis",41,12,15,"F"
"360","St. Louis",73,10,20,"M"
"361","St. Louis",37,20,30,"M"
"362","St. Louis",72,0,2,"F"
"363","St. Louis",54,2,15,"F"
"364","St. Louis",36,20,20,"F"
"365","St. Louis",42,30,40,"M"
"366","St. Louis",46,35,45,"F"
"367","St. Louis",33,18,20,"F"
"368","St. Louis",16,4,7,"F"
"369","St. Louis",63,6,10,"F"
"370","St. Louis",27,10,15,"F"
"371","St. Louis",41,6,15,"M"
"372","St. Louis",20,13,15,"F"
"373","St. Louis",49,9,20,"F"
"374","St. Louis",20,30,30,"M"
"375","St. Louis",54,17,20,"M"
"376","St. Louis",28,12,30,"F"
"377","St. Louis",65,12,14,"M"
"378","St. Louis",37,10,10,"M"
"379","St. Louis",40,15,20,"M"
"380","St. Louis",22,20,30,"F"
"381","St. Louis",64,5,30,"F"
"382","St. Louis",18,20,20,"F"
"383","St. Louis",56,4,13,"F"
"384","St. Louis",54,20,20,"F"
"385","St. Louis",38,10,10,"F"
"386","St. Louis",40,10,10,"M"
"387","St. Louis",57,4,10,"F"
"388","St. Louis",49,12,20,"F"
"389","St. Louis",48,20,25,"M"
"390","St. Louis",45,5,12,"F"
"391","St. Louis",42,8,15,"F"
"392","St. Louis",48,9,13,"F"
"393","St. Louis",41,20,25,"M"
"394","St. Louis",58,5,10,"M"
"395","St. Louis",30,0,1,"M"
"396","St. Louis",24,5,10,"M"
"397","St. Louis",55,2,10,"M"
"398","St. Louis",39,10,15,"M"
"399","St. Louis",29,2,5,"M"
"400","St. Louis",52,20,35,"M"
"401","St. Louis",41,2,5,"M"
"402","St. Louis",25,25,30,"M"
"403","St. Louis",47,10,30,"M"
"404","St. Louis",16,5,10,"F"
"405","St. Louis",19,7,15,"M"
"406","St. Louis",41,5,20,"F"
"407","St. Louis",47,18,20,"M"
"408","St. Louis",67,15,20,"M"
"409","St. Louis",52,7,8,"M"
"410","St. Louis",27,12,25,"F"
"411","St. Louis",57,10,10,"M"
"412","St. Louis",22,12,20,"F"
"413","St. Louis",26,30,40,"F"
"414","St. Louis",57,1,35,"M"
"415","St. Louis",29,15,20,"M"
"416","St. Louis",46,30,30,"M"
"417","St. Louis",64,15,20,"M"
"418","St. Louis",29,25,30,"M"
"419","St. Louis",24,15,20,"F"
"420","St. Louis",23,5,10,"F"
"421","St. Louis",40,10,15,"M"
"422","St. Louis",58,3,10,"F"
"423","St. Louis",39,13,17,"F"
"424","St. Louis",51,30,45,"M"
"425","St. Louis",54,28,40,"F"
"426","St. Louis",60,15,30,"M"
"427","St. Louis",26,30,45,"F"
"428","St. Louis",43,23,35,"F"
"429","St. Louis",17,5,10,"M"
"430","St. Louis",40,2,15,"M"
"431","St. Louis",31,20,25,"F"
"432","St. Louis",17,17,20,"F"
"433","St. Louis",50,10,30,"M"
"434","St. Louis",46,12,25,"F"
"435","St. Louis",46,1,1,"F"
"436","St. Louis",20,3,3,"F"
"437","St. Louis",27,3,5,"M"
"438","St. Louis",53,30,35,"M"
"439","St. Louis",62,8,15,"M"
"440","St. Louis",46,30,35,"M"
"441","St. Louis",39,15,30,"M"
"442","St. Louis",50,10,15,"F"
"443","St. Louis",55,6,10,"M"
"444","St. Louis",45,27,40,"F"
"445","St. Louis",43,22,30,"M"
"446","St. Louis",65,6,20,"M"
"447","St. Louis",24,10,10,"M"
"448","St. Louis",27,15,20,"M"
"449","St. Louis",39,5,7,"F"
"450","St. Louis",23,3,5,"F"
"451","St. Louis",54,6,15,"M"
"452","St. Louis",19,11,15,"F"
"453","St. Louis",39,24,35,"F"
"454","St. Louis",32,10,17,"M"
"455","St. Louis",51,13,30,"F"
"456","St. Louis",23,18,20,"M"
"457","St. Louis",39,20,30,"M"
"458","St. Louis",37,10,10,"F"
"459","St. Louis",46,25,30,"M"
"460","St. Louis",51,23,28,"F"
"461","St. Louis",51,1,2,"M"
"462","St. Louis",46,12,12,"F"
"463","St. Louis",29,25,45,"F"
"464","St. Louis",45,20,25,"F"
"465","St. Louis",35,15,15,"M"
"466","St. Louis",45,15,15,"F"
"467","St. Louis",51,13,20,"F"
"468","St. Louis",56,12,20,"M"
"469","St. Louis",31,20,20,"M"
"470","St. Louis",46,17,20,"M"
"471","St. Louis",52,35,35,"F"
"472","St. Louis",28,35,50,"F"
"473","St. Louis",56,14,20,"M"
"474","St. Louis",47,6,15,"F"
"475","St. Louis",58,12,25,"M"
"476","St. Louis",64,10,10,"M"
"477","St. Louis",45,10,10,"M"
"478","St. Louis",24,8,15,"M"
"479","St. Louis",44,8,20,"F"
"480","St. Louis",37,7,10,"M"
"481","St. Louis",55,15,20,"F"
"482","St. Louis",57,27,40,"M"
"483","St. Louis",16,7,17,"M"
"484","St. Louis",40,35,40,"F"
"485","St. Louis",37,21,25,"M"
"486","St. Louis",42,10,20,"F"
"487","St. Louis",71,7,20,"F"
"488","St. Louis",40,30,40,"M"
"489","St. Louis",36,23,30,"M"
"490","St. Louis",52,4,5,"F"
"491","St. Louis",34,45,45,"M"
"492","St. Louis",43,10,15,"F"
"493","St. Louis",44,8,15,"M"
"494","St. Louis",25,20,30,"M"
"495","St. Louis",16,17,20,"M"
"496","St. Louis",49,10,15,"F"
"497","St. Louis",57,2,5,"F"
"498","St. Louis",35,0,5,"F"
"499","St. Louis",32,10,30,"M"
"500","St. Louis",35,8,10,"F"
