"","Sex","Age","Married","Income","HoursWk","Race","USCitizen","HealthInsurance","Language"
"184",1,36,1,85,38,"white",1,1,0
"185",1,30,0,9,20,"black",1,0,0
"186",0,60,1,0,NA,"white",1,1,0
"187",1,63,1,82,32,"asian",1,1,1
"188",1,35,1,62,70,"asian",1,1,1
"189",1,22,0,0.7,25,"white",1,1,0
"190",1,16,0,0,NA,"white",1,1,0
"191",0,41,0,59,68,"black",1,1,0
"192",1,10,0,NA,NA,"white",1,1,0
"193",0,21,0,8,40,"white",1,1,0
"194",1,29,0,2,20,"asian",0,0,1
"195",1,17,0,0,NA,"white",1,1,0
"196",0,68,1,0,NA,"white",1,1,0
"197",1,31,0,22.1,45,"white",1,1,0
"198",1,40,1,30,45,"white",1,1,0
"199",0,45,0,25,40,"white",1,1,0
"200",1,5,0,NA,NA,"other",1,1,1
"201",0,19,0,2,25,"white",1,1,0
"202",0,86,1,0,NA,"white",1,1,0
"203",0,41,0,31.2,40,"white",1,1,0
"204",0,26,1,51,45,"white",1,1,0
"205",0,32,1,0,NA,"white",1,1,0
"206",0,33,0,0,NA,"white",1,1,0
"207",0,77,0,0,NA,"white",1,1,0
"208",0,9,0,NA,NA,"white",1,1,0
"209",1,30,1,16,20,"other",0,0,1
"210",0,54,0,0,NA,"white",1,1,0
"211",0,23,0,0,NA,"white",1,0,0
"212",0,37,1,28.9,40,"white",1,1,0
"213",0,0,0,NA,NA,"white",1,1,0
"214",0,46,1,0.8,23,"white",1,1,0
"215",0,3,0,NA,NA,"black",1,1,0
"216",1,8,0,NA,NA,"black",1,1,0
"217",0,28,0,105,50,"white",1,1,0
"218",0,56,1,27,40,"white",1,1,0
"219",0,47,1,10,8,"white",1,0,1
"220",0,29,1,0,NA,"white",1,1,0
"221",1,21,0,0,NA,"asian",1,0,1
"222",0,56,1,0,NA,"white",1,1,0
"223",0,34,1,36,40,"white",1,1,0
"224",1,14,0,NA,NA,"white",1,1,0
"225",0,83,0,0,NA,"white",1,1,0
"226",0,16,0,0,NA,"black",1,1,0
"227",1,32,1,40,40,"white",1,1,0
"228",0,64,1,83,40,"white",1,1,0
"229",1,79,1,3.6,60,"white",1,1,0
"230",0,6,0,NA,NA,"other",1,1,0
"231",0,36,1,20,40,"white",0,1,1
"232",1,10,0,NA,NA,"white",1,1,0
"233",0,61,1,0,NA,"white",1,1,1
"234",1,52,0,72,36,"white",1,1,0
"235",0,59,0,0,17,"white",1,1,0
"236",1,78,0,0,NA,"white",1,1,0
"237",0,34,1,0.4,40,"white",1,1,0
"238",0,56,1,0,10,"asian",0,0,1
"239",0,43,1,0,NA,"white",1,0,0
"240",1,52,0,0,NA,"other",1,1,0
"241",0,62,0,5.9,25,"other",1,0,0
"242",1,51,1,2,30,"asian",1,1,0
"243",1,4,0,NA,NA,"white",1,1,0
"244",1,51,1,80,40,"white",1,1,0
"245",1,69,1,0,40,"white",0,1,1
"246",1,58,1,22.4,40,"asian",1,1,1
"247",0,3,0,NA,NA,"black",1,1,0
"248",0,47,1,9,22,"white",1,1,0
"249",0,74,0,0,NA,"white",1,1,0
"250",1,63,1,0,NA,"white",1,1,0
"251",1,6,0,NA,NA,"black",1,1,0
"252",0,75,0,7.7,32,"black",1,1,0
"253",0,16,0,0,NA,"white",1,1,0
"254",1,26,1,19,40,"white",1,0,0
"255",1,53,0,8,46,"white",1,0,0
"256",1,31,1,0.5,48,"white",1,1,0
"257",0,6,0,NA,NA,"white",1,1,0
"258",0,60,1,60,40,"white",1,1,0
"259",1,82,1,0.9,7,"white",1,1,0
"260",0,61,0,0,NA,"other",1,1,0
"261",1,66,1,37,42,"white",0,1,1
"262",0,81,1,0,NA,"asian",1,1,1
"263",0,47,1,0,NA,"white",1,1,0
"264",1,49,0,40,50,"white",1,0,0
"265",1,8,0,NA,NA,"white",1,1,0
"266",0,25,0,41,45,"asian",1,1,1
"267",0,20,0,14.4,40,"white",1,0,0
"268",1,78,1,0,NA,"white",1,1,1
"269",0,0,0,NA,NA,"white",1,1,0
"270",0,70,0,0,NA,"white",1,1,0
"271",1,29,0,30,40,"white",1,1,1
"272",0,5,0,NA,NA,"black",1,1,0
"273",1,17,0,0,NA,"black",1,0,0
"274",1,72,1,67,80,"white",1,1,0
"275",1,52,1,115,40,"black",1,1,0
"276",0,55,0,55,40,"white",1,1,0
"277",1,50,0,0,NA,"asian",1,0,1
"278",1,76,1,5,40,"white",1,1,0
"279",0,65,1,0,NA,"white",1,1,0
"280",1,61,1,20.2,55,"white",1,1,0
"281",1,25,0,7.7,40,"white",1,1,0
"282",0,94,0,0,NA,"white",1,1,0
"283",0,49,1,0,NA,"white",1,1,0
"284",0,67,1,15,30,"white",1,1,0
"285",0,15,0,0,NA,"white",1,1,0
"286",1,47,1,0,NA,"white",1,1,0
"287",1,54,1,0,NA,"white",1,1,0
"288",1,64,1,15,30,"white",1,1,0
"289",0,55,1,0,NA,"black",1,1,0
"290",1,46,1,0,40,"white",1,1,0
"291",1,59,1,0,NA,"black",1,1,0
"292",0,43,1,0,NA,"white",1,1,0
"293",1,44,0,0,20,"asian",1,0,0
"294",1,21,0,0,NA,"white",1,0,0
"295",0,9,0,NA,NA,"white",1,1,0
"296",1,73,1,8,20,"white",1,1,0
"297",1,24,0,52,44,"white",1,1,0
"298",1,8,0,NA,NA,"white",1,0,1
"299",0,19,1,0,NA,"white",0,1,1
"300",1,11,0,NA,NA,"white",1,1,0
"301",1,32,1,60,50,"white",1,1,0
"302",0,39,0,57,40,"black",1,1,0
"303",1,25,0,15,32,"white",1,0,0
"304",0,62,1,0,NA,"white",1,1,0
"305",0,19,0,1.5,25,"white",1,1,0
"306",0,18,0,0,NA,"white",1,0,0
"307",0,44,1,21,24,"white",1,1,0
"308",1,31,0,92,60,"black",1,1,0
"309",1,50,0,0,6,"white",1,1,0
"310",0,6,0,NA,NA,"white",1,1,0
"311",1,32,0,65,70,"white",1,1,0
"312",1,8,0,NA,NA,"other",1,1,1
"313",1,12,0,NA,NA,"white",0,1,1
"314",1,47,1,36,40,"white",1,1,0
"315",0,63,0,0,NA,"white",1,1,0
"316",0,42,0,60,40,"black",1,1,0
"317",1,4,0,NA,NA,"white",1,1,0
"318",1,58,1,42,40,"white",1,1,1
"319",1,61,1,108,45,"white",1,1,0
"320",0,81,0,0,NA,"white",1,1,0
"321",0,38,1,41,40,"white",1,1,0
"322",1,25,1,5,70,"white",1,1,0
"323",1,20,0,0,NA,"other",1,0,1
"324",1,60,1,37,40,"white",1,1,0
"325",0,10,0,NA,NA,"white",1,0,1
"326",1,85,1,0,NA,"white",1,1,0
"327",1,6,0,NA,NA,"black",1,1,0
"328",1,69,0,0,NA,"white",1,1,1
"329",0,10,0,NA,NA,"white",1,1,0
"330",0,77,0,0,NA,"white",1,1,0
"331",0,46,1,0,NA,"white",1,1,0
"332",0,78,1,0,NA,"white",1,1,0
"333",1,69,1,0,NA,"asian",0,1,1
"334",0,34,1,0,NA,"other",1,1,0
"335",1,4,0,NA,NA,"asian",1,1,0
"336",0,54,1,0,NA,"white",1,1,0
"337",0,70,0,0,NA,"other",1,1,0
"338",1,11,0,NA,NA,"other",1,1,1
"339",0,71,1,0,NA,"white",1,1,0
"340",1,4,0,NA,NA,"black",1,1,0
"341",0,51,1,0,NA,"white",1,1,0
"342",1,60,1,60,40,"white",1,1,0
"343",0,16,0,0.49,8,"white",1,1,0
"344",1,59,1,21.6,30,"white",1,1,0
"345",0,3,0,NA,NA,"white",1,1,0
"346",1,77,0,0,NA,"white",1,1,0
"347",0,3,0,NA,NA,"white",1,1,0
"348",1,45,0,10,50,"black",1,1,0
"349",1,53,0,0,NA,"white",1,1,0
"350",1,86,1,0,NA,"white",1,1,0
"351",1,49,1,50,37,"black",1,1,0
"352",1,13,0,NA,NA,"other",1,1,1
"353",0,27,0,2,40,"asian",1,1,1
"354",1,49,1,56,40,"white",1,1,0
"355",1,56,1,80,40,"asian",1,1,1
"356",1,28,0,28,37,"asian",1,1,1
"357",1,61,1,0,NA,"white",1,1,1
"358",1,54,1,46,40,"asian",1,1,1
"359",0,59,0,16,40,"white",1,0,0
"360",0,62,0,0,1,"white",1,1,0
"361",0,19,0,2.1,8,"white",1,1,0
"362",0,22,0,1.9,16,"white",1,1,0
"363",0,35,0,0,NA,"black",1,1,0
"364",1,6,0,NA,NA,"other",0,1,1
"365",1,16,0,0,NA,"white",1,1,0
"366",0,38,1,46,44,"white",1,1,0
"367",0,41,1,24.7,24,"black",1,1,0
"368",0,12,0,NA,NA,"white",1,1,0
"369",1,35,1,0,40,"white",1,1,0
"370",1,32,0,40,40,"white",0,1,1
"371",1,9,0,NA,NA,"white",1,1,1
"372",0,24,1,0,NA,"white",1,0,0
"373",0,27,0,14.4,30,"white",1,1,0
"374",0,53,1,29,40,"white",1,1,0
"375",0,38,0,32,40,"white",1,1,0
"376",1,36,0,0,NA,"black",1,0,0
"377",0,74,0,5,10,"white",1,1,0
"378",1,40,1,52,40,"white",1,1,0
"379",1,7,0,NA,NA,"black",1,1,0
"380",0,83,0,0,NA,"white",1,1,0
"381",0,24,0,10,35,"white",1,0,1
"382",0,50,0,13.1,50,"white",1,1,0
"383",0,76,1,0,NA,"white",1,1,0
"384",1,63,1,19.3,15,"white",1,1,0
"385",0,26,1,9,20,"white",1,1,0
"386",0,20,0,17,35,"white",1,0,0
"387",1,54,1,60,40,"white",1,1,0
"388",0,66,0,0,NA,"black",1,1,0
"389",0,42,1,0,NA,"white",1,1,0
"390",0,23,0,1.8,40,"white",1,1,0
"391",0,68,0,0,NA,"white",1,1,0
"392",0,33,0,0,NA,"white",1,1,0
"393",0,47,1,11,30,"white",1,1,0
"394",1,13,0,NA,NA,"white",0,1,1
"395",1,51,1,47,40,"black",1,1,0
"396",1,73,1,0,NA,"white",1,1,0
"397",1,23,0,5.3,35,"white",1,1,0
"398",0,4,0,NA,NA,"white",1,1,0
"399",1,0,0,NA,NA,"black",1,1,0
"400",0,78,1,0,NA,"white",1,1,0
"401",1,18,0,0.3,4,"white",1,1,1
"402",0,59,0,18,40,"other",1,1,1
"403",0,62,1,0,NA,"asian",1,1,1
"404",0,6,0,NA,NA,"white",1,1,0
"405",0,56,1,0,NA,"white",1,1,0
"406",0,7,0,NA,NA,"black",1,1,0
"407",0,4,0,NA,NA,"white",1,1,0
"408",0,51,0,0,NA,"white",1,1,0
"409",1,63,1,69,80,"white",1,1,0
"410",0,15,0,0,NA,"white",1,1,0
"411",0,58,1,65,55,"white",1,1,0
"412",1,0,0,NA,NA,"white",1,1,0
"413",0,53,1,110,55,"white",1,1,0
"414",1,25,0,27,40,"black",1,0,0
"415",0,72,0,0,NA,"white",1,1,0
"416",0,47,0,35.3,38,"white",1,1,0
"417",1,72,1,0,NA,"white",1,1,0
"418",0,90,0,0,NA,"white",1,1,1
"419",1,20,0,0.7,20,"white",1,0,0
"420",0,34,0,0,NA,"black",1,0,0
"421",1,2,0,NA,NA,"white",1,1,0
"422",1,32,1,0,99,"white",1,0,1
"423",1,11,0,NA,NA,"white",1,1,0
"424",0,5,0,NA,NA,"white",1,1,0
"425",1,40,0,318,40,"white",1,1,0
"426",1,13,0,NA,NA,"other",1,1,0
"427",0,25,0,23,25,"white",1,1,0
"428",0,10,0,NA,NA,"white",1,1,0
"429",1,10,0,NA,NA,"white",1,1,0
"430",1,28,0,0,NA,"black",1,0,0
"431",0,50,0,0,NA,"black",1,1,0
"432",1,22,0,0,NA,"white",1,1,0
"433",1,72,1,0,NA,"white",1,1,0
"434",0,31,1,22,30,"white",1,1,0
"435",1,10,0,NA,NA,"black",1,1,0
"436",1,58,0,0,NA,"black",1,1,0
"437",1,39,1,48,40,"white",1,1,0
"438",1,45,1,0.78,20,"white",1,1,0
"439",1,56,0,0,NA,"white",1,0,0
"440",1,67,1,0,NA,"white",1,1,1
"441",0,56,1,0,10,"white",1,1,0
"442",1,69,0,0,NA,"white",1,1,0
"443",0,10,0,NA,NA,"asian",1,1,0
"444",0,38,1,7,17,"white",1,0,1
"445",0,42,1,32,24,"white",1,1,0
"446",0,7,0,NA,NA,"asian",1,1,0
"447",0,15,0,0,NA,"white",1,1,0
"448",0,80,0,0,NA,"white",1,1,1
"449",1,62,1,19.2,8,"white",1,1,0
"450",1,41,0,0,40,"white",0,0,1
"451",0,21,0,3.8,25,"white",1,1,0
"452",0,72,1,0,NA,"white",1,1,0
"453",1,25,0,40,40,"other",1,1,1
"454",0,28,0,18,36,"black",0,0,0
"455",0,19,0,0,NA,"white",1,1,0
"456",0,75,0,0,NA,"black",1,1,0
"457",1,48,0,24,40,"other",1,0,1
"458",0,4,0,NA,NA,"white",1,1,0
"459",0,68,0,0,NA,"white",1,1,0
"460",1,50,1,41.7,40,"white",1,1,1
"461",0,59,1,0,NA,"white",1,1,0
"462",1,54,1,35,43,"white",1,1,0
"463",0,29,1,0,20,"other",1,0,0
"464",0,49,1,0,NA,"white",1,1,0
"465",1,1,0,NA,NA,"white",1,1,0
"466",1,7,0,NA,NA,"asian",1,1,0
"467",0,62,1,0,NA,"white",1,1,0
"468",0,59,0,48.3,40,"white",1,1,0
"469",0,16,0,0,NA,"white",1,1,0
"470",1,63,1,0,NA,"asian",1,0,1
"471",0,43,0,0,NA,"white",1,1,0
"472",1,6,0,NA,NA,"white",1,1,0
"473",0,0,0,NA,NA,"other",0,0,0
"474",0,28,1,36,40,"white",1,1,0
"475",0,59,0,0,NA,"white",1,0,0
"476",0,57,1,27,40,"white",1,1,0
"477",0,75,0,0,NA,"white",1,1,0
"478",0,62,1,0,NA,"white",1,1,0
"479",1,47,0,10.3,27,"white",1,1,0
"480",0,53,0,5,40,"white",1,0,0
"481",0,54,0,54,39,"white",1,1,0
"482",1,61,1,22.5,40,"white",1,1,0
"483",0,76,0,0,NA,"white",1,1,0
"484",0,59,1,16.5,40,"white",1,1,0
"485",1,27,0,45,40,"white",1,1,0
"486",1,17,0,0,NA,"white",1,1,0
"487",1,82,1,0,NA,"white",1,1,0
"488",0,67,0,0,6,"white",1,1,0
"489",1,37,0,29,40,"white",1,1,0
"490",0,71,1,0,NA,"white",1,1,0
"491",1,14,0,NA,NA,"white",1,1,0
"492",1,63,1,67,46,"white",1,1,0
"493",1,9,0,NA,NA,"white",1,1,0
"494",0,55,0,32,40,"white",1,1,0
"495",0,20,0,0.5,20,"white",1,1,0
"496",0,3,0,NA,NA,"other",1,1,0
"497",0,7,0,NA,NA,"white",1,0,0
"498",0,16,0,0,NA,"white",1,0,0
"499",0,16,0,0.1,2,"white",1,1,1
"500",1,66,1,0,NA,"white",1,1,0
"501",0,56,0,0,NA,"white",1,1,1
"502",1,7,0,NA,NA,"asian",1,1,1
"503",1,4,0,NA,NA,"black",1,1,0
"504",1,53,0,2,16,"white",1,1,0
"505",1,22,1,15,42,"asian",1,1,0
"506",0,50,1,0,NA,"other",0,1,1
"507",0,13,0,NA,NA,"white",1,1,1
"508",1,28,1,35,40,"white",1,1,0
"509",1,1,0,NA,NA,"white",1,1,0
"510",0,36,1,0.54,30,"black",1,1,1
"511",0,4,0,NA,NA,"other",1,1,0
"512",1,24,0,2,10,"white",1,1,0
"513",0,2,0,NA,NA,"white",1,1,0
"514",1,37,1,0,NA,"white",1,1,0
"515",1,29,1,0,NA,"white",1,1,0
"516",1,18,0,3.7,32,"white",1,1,0
"517",0,80,0,0,NA,"white",1,1,1
"518",0,15,0,0,NA,"white",1,1,0
"519",1,1,0,NA,NA,"white",1,0,0
"520",1,51,1,78,40,"white",1,1,0
"521",0,18,0,0.7,15,"white",1,1,0
"522",1,78,1,0,NA,"white",1,1,0
"523",1,46,0,25,55,"white",1,1,1
"524",1,39,1,80,40,"white",1,1,0
"525",1,63,1,18.2,40,"black",1,1,0
"526",0,46,1,40,56,"other",1,1,1
"527",1,45,1,45.7,40,"asian",0,1,1
"528",0,13,0,NA,NA,"black",1,1,0
"529",0,40,1,1.9,20,"white",1,0,0
"530",0,59,0,8,24,"white",1,1,0
"531",0,30,1,5,48,"white",0,1,1
"532",1,41,1,0,NA,"white",1,1,0
"533",0,5,0,NA,NA,"white",1,1,0
"534",0,84,1,0,NA,"white",1,1,0
"535",1,40,1,21.1,40,"white",1,1,0
"536",1,29,0,47,75,"asian",1,1,0
"537",0,35,1,0,NA,"white",0,1,1
"538",1,3,0,NA,NA,"white",1,1,0
"539",0,11,0,NA,NA,"white",1,1,0
"540",0,43,0,0,NA,"black",1,1,0
"541",0,29,1,32,40,"white",1,1,0
"542",0,35,1,0,NA,"white",0,1,1
"543",1,45,1,50,40,"white",1,1,0
"544",1,24,0,0,NA,"black",1,0,0
"545",1,45,0,0,NA,"white",1,1,0
"546",1,35,0,16,60,"white",1,0,0
"547",0,18,0,0,NA,"black",1,1,0
"548",1,11,0,NA,NA,"white",1,1,0
"549",0,80,0,0,NA,"asian",1,1,0
"550",1,14,0,NA,NA,"white",1,1,0
"551",0,41,0,25,65,"white",1,1,0
"552",1,4,0,NA,NA,"white",1,1,0
"553",1,24,0,5.6,10,"white",1,1,0
"554",1,56,0,0,NA,"black",1,1,0
"555",1,77,1,0,NA,"white",1,1,0
"556",1,57,1,27,40,"white",1,1,0
"557",1,43,1,40,40,"white",0,1,1
"558",1,40,1,42,40,"white",1,1,0
"559",1,48,1,330,65,"white",1,1,0
"560",1,43,1,52,40,"other",1,1,1
"561",1,32,1,45,50,"white",1,1,0
"562",0,66,0,0,NA,"black",1,1,0
"563",1,7,0,NA,NA,"white",1,1,0
"564",1,62,0,35,32,"asian",1,1,1
"565",0,71,0,0,NA,"white",1,1,0
"566",0,77,0,0,NA,"asian",1,1,1
"567",0,59,0,0,60,"white",1,0,0
"568",1,46,1,50,40,"white",1,1,0
"569",1,32,1,70,40,"asian",1,1,1
"570",1,0,0,NA,NA,"white",1,1,0
"571",0,27,0,36,45,"white",1,1,0
"572",1,14,0,NA,NA,"white",1,1,0
"573",0,21,0,6,30,"white",1,1,0
"574",1,67,1,0,NA,"white",1,1,0
"575",0,21,1,19,38,"white",1,1,0
"576",1,28,0,0,NA,"white",1,1,0
"577",0,59,1,0,NA,"white",1,1,0
"578",0,59,1,0,NA,"white",0,0,1
"579",0,26,0,0,10,"white",1,1,1
"580",1,61,1,25,50,"white",1,1,0
"581",0,19,0,7,20,"white",1,1,0
"582",1,7,0,NA,NA,"white",1,1,1
"583",0,73,1,0,NA,"white",1,1,0
"584",1,38,0,22,60,"asian",1,1,0
"585",1,58,1,18,40,"white",1,1,0
"586",0,9,0,NA,NA,"white",1,1,0
"587",0,27,1,0,40,"white",0,0,1
"588",1,49,0,0,NA,"white",1,0,0
"589",0,13,0,NA,NA,"white",1,1,1
"590",0,49,1,22.7,36,"white",1,1,0
"591",1,13,0,NA,NA,"black",1,1,0
"592",0,41,1,110,40,"black",1,1,0
"593",1,53,0,26,40,"white",1,1,0
"594",1,49,0,32,40,"white",1,1,0
"595",0,20,0,3.5,15,"white",1,1,0
"596",1,10,0,NA,NA,"white",1,0,0
"597",0,7,0,NA,NA,"other",1,1,0
"598",1,33,0,125,40,"white",1,1,1
"599",0,74,1,0,NA,"black",1,1,0
"600",1,20,0,0,NA,"white",1,0,1
"601",0,15,0,0,NA,"white",1,1,1
"602",1,44,1,96,40,"white",1,1,1
"603",0,50,0,40,99,"white",1,0,0
"604",0,90,0,0,NA,"white",1,1,0
