"","Gender","Age","Class","UsuallyDrink","FavBotWatBrand","Preference","First","Second","Third","Fourth"
"46","F",9,"O","Filtered","AQUAFINA","DCAB","Tap","Fiji","SamsChoice","Aquafina"
"47","F",18,"F","Filtered","AQUAFINA","ABDC","SamsChoice","Aquafina","Tap","Fiji"
"48","F",18,"F","Tap","NONE","CDBA","Fiji","Tap","Aquafina","SamsChoice"
"49","F",19,"SO","Bottled","DEER PARK","CBAD","Fiji","Aquafina","SamsChoice","Tap"
"50","F",21,"J","Filtered","AQUAFINA","CADB","Fiji","SamsChoice","Tap","Aquafina"
"51","F",45,"O","Tap","NONE","CDBA","Fiji","Tap","Aquafina","SamsChoice"
"52","M",18,"F","Bottled","NESTLES","CDBA","Fiji","Tap","Aquafina","SamsChoice"
"53","F",21,"J","Bottled","PURE LIFE","ACDB","SamsChoice","Fiji","Tap","Aquafina"
"54","F",20,"J","Bottled","NONE","BCDA","Aquafina","Fiji","Tap","SamsChoice"
"55","M",46,"O","Tap","NONE","CDBA","Fiji","Tap","Aquafina","SamsChoice"
"56","F",48,"O","Bottled","DASANI","BACD","Aquafina","SamsChoice","Fiji","Tap"
"57","F",21,"SR","Filtered","DASANI","CBAD","Fiji","Aquafina","SamsChoice","Tap"
"58","F",18,"F","Filtered","PURE LIFE","DBCA","Tap","Aquafina","Fiji","SamsChoice"
"59","M",20,"J","Filtered","AQUAFINA","DBAC","Tap","Aquafina","SamsChoice","Fiji"
"60","F",19,"SO","Tap","AQUAFINA","ACBD","SamsChoice","Fiji","Aquafina","Tap"
"61","M",21,"SR","Bottled","DEER PARK","BCAD","Aquafina","Fiji","SamsChoice","Tap"
"62","F",19,"F","Filtered","AQUAFINA","ABDC","SamsChoice","Aquafina","Tap","Fiji"
"63","M",18,"F","Bottled","SPRING WATER","DBCA","Tap","Aquafina","Fiji","SamsChoice"
"64","F",21,"SR","Bottled","DASANI","BCDA","Aquafina","Fiji","Tap","SamsChoice"
"65","F",22,"SR","Filtered","AQUAFINA","BDAC","Aquafina","Tap","SamsChoice","Fiji"
"66","F",21,"O","Tap","NONE","BCAD","Aquafina","Fiji","SamsChoice","Tap"
"67","F",19,"SO","Bottled","NONE","BADC","Aquafina","SamsChoice","Tap","Fiji"
"68","F",17,"F","Bottled","NONE","CADB","Fiji","SamsChoice","Tap","Aquafina"
"69","F",20,"J","Bottled","AQUAFINA","CDBA","Fiji","Tap","Aquafina","SamsChoice"
"70","F",18,"F","Tap","NONE","ACDB","SamsChoice","Fiji","Tap","Aquafina"
"71","M",19,"SO","Tap","NONE","BACD","Aquafina","SamsChoice","Fiji","Tap"
"72","M",19,"SO","Bottled","DASANI","BDAC","Aquafina","Tap","SamsChoice","Fiji"
"73","F",20,"J","Filtered","NONE","ADBC","SamsChoice","Tap","Aquafina","Fiji"
"74","F",19,"SO","Filtered","FIJI","BACD","Aquafina","SamsChoice","Fiji","Tap"
"75","M",48,"O","Filtered","FIJI","ABCD","SamsChoice","Aquafina","Fiji","Tap"
"76","M",21,"SO","Tap","NONE","BACD","Aquafina","SamsChoice","Fiji","Tap"
"77","M",20,"J","Filtered","NONE","CBAD","Fiji","Aquafina","SamsChoice","Tap"
"78","F",19,"SO","Bottled","NONE","CABD","Fiji","SamsChoice","Aquafina","Tap"
"79","M",19,"SO","Filtered","SAM'S","ACDB","SamsChoice","Fiji","Tap","Aquafina"
"80","F",40,"O","Bottled","PERRIER","DACB","Tap","SamsChoice","Fiji","Aquafina"
"81","M",50,"O","Tap","PERRIER","CDBA","Fiji","Tap","Aquafina","SamsChoice"
"82","M",23,"O","Bottled","SAM'S","BDAC","Aquafina","Tap","SamsChoice","Fiji"
"83","F",19,"SO","Filtered","DEER PARK","CABD","Fiji","SamsChoice","Aquafina","Tap"
"84","M",19,"SO","Filtered","SAM'S","CABD","Fiji","SamsChoice","Aquafina","Tap"
"85","M",22,"SR","Tap","DEER PARK","BACD","Aquafina","SamsChoice","Fiji","Tap"
"86","F",20,"J","Bottled","DEER PARK","BDAC","Aquafina","Tap","SamsChoice","Fiji"
"87","F",21,"SR","Bottled","KIRKLAND","ADBC","SamsChoice","Tap","Aquafina","Fiji"
"88","F",22,"SR","Filtered","NONE","CABD","Fiji","SamsChoice","Aquafina","Tap"
"89","F",27,"O","Filtered","NONE","ACDB","SamsChoice","Fiji","Tap","Aquafina"
"90","F",20,"J","Tap","NONE","CDAB","Fiji","Tap","SamsChoice","Aquafina"
"91","F",19,"J","Bottled","AQUAFINA","ACBD","SamsChoice","Fiji","Aquafina","Tap"
"92","M",18,"J","Bottled","DEER PARK","CABD","Fiji","SamsChoice","Aquafina","Tap"
"93","F",33,"O","Bottled","NONE","CDAB","Fiji","Tap","SamsChoice","Aquafina"
"94","F",36,"O","Tap","NONE","CABD","Fiji","SamsChoice","Aquafina","Tap"
"95","F",18,"F","Tap","NONE","CDBA","Fiji","Tap","Aquafina","SamsChoice"
"96","F",18,"F","Bottled","NONE","BCAD","Aquafina","Fiji","SamsChoice","Tap"
"97","M",18,"F","Tap","NONE","ADCB","SamsChoice","Tap","Fiji","Aquafina"
"98","F",19,"SO","Tap","DASANI","ABCD","SamsChoice","Aquafina","Fiji","Tap"
"99","F",9,"O","Bottled","AQUAFINA","DCBA","Tap","Fiji","Aquafina","SamsChoice"
"100","F",18,"F","Bottled","DASANI","ABCD","SamsChoice","Aquafina","Fiji","Tap"
