"","Inductee","FemaleMembers","Category","People"
"172","Scotty Moore","No","Sideman",1
"173","Van Morrison","No","Performer",1
"174","Jelly Roll Morton","No","Early Influence",1
"175","Syd Nathan","No","Non-performer",1
"176","Ricky Nelson","No","Performer",1
"177","Laura Nyro","Yes","Performer",1
"178","The O'Jays","No","Performer",3
"179","Spooner Oldham","No","Sideman",1
"180","Roy Orbison","No","Performer",1
"181","The Orioles","No","Early Influence",5
"182","Mo Ostin","No","Non-performer",1
"183","Johnny Otis","No","Non-performer",1
"184","Earl Palmer","No","Sideman",1
"185","Parliament-Funkadelic","Yes","Performer",16
"186","Les Paul","No","Early Influence",1
"187","Carl Perkins","No","Performer",1
"188","Tom Petty and the Heartbreakers","No","Performer",6
"189","Sam Phillips","No","Non-performer",1
"190","Wilson Pickett","No","Performer",1
"191","Pink Floyd","No","Performer",4
"192","Gene Pitney","No","Performer",1
"193","The Platters","Yes","Performer",5
"194","The Police","No","Performer",3
"195","Doc Pomus","No","Non-performer",1
"196","Elvis Presley","No","Performer",1
"197","The Pretenders","Yes","Performer",4
"198","Lloyd Price","No","Performer",1
"199","Prince","No","Performer",1
"200","Professor Longhair","No","Early Influence",1
"201","Queen","No","Performer",4
"202","Ma Rainey","Yes","Early Influence",1
"203","Bonnie Raitt","Yes","Performer",1
"204","Ramones","No","Performer",4
"205","Red Hot Chili Peppers","No","Performer",4
"206","Otis Redding","No","Performer",1
"207","Jimmy Reed","No","Performer",1
"208","R.E.M.","No","Performer",4
"209","Righteous Brothers","No","Performer",2
"210","Smokey Robinson","No","Performer",1
"211","Jimmie Rodgers","No","Early Influence",1
"212","The Rolling Stones","No","Performer",5
"213","The Ronettes","Yes","Performer",3
"214","Run-D.M.C.","No","Performer",3
"215","Art Rupe","No","Non-performer",1
"216","Leon Russell","No","Sideman",1
"217","Sam and Dave","No","Performer",2
"218","Santana","No","Performer",6
"219","Pete Seeger","No","Early Influence",1
"220","Bob Seger","No","Performer",1
"221","Sex Pistols","No","Performer",4
"222","Del Shannon","No","Performer",1
"223","The Shirelles","Yes","Performer",4
"224","Mort Shuman","No","Non-performer",1
"225","Simon and Garfunkel","No","Performer",2
"226","Paul Simon","No","Performer",1
"227","Percy Sledge","No","Performer",1
"228","Sly and the Family Stones","Yes","Performer",7
"229","The Small Faces/The Faces","No","Performer",4
"230","Bessie Smith","Yes","Early Influence",1
"231","Patti Smith","Yes","Performer",1
"232","The Soul Stirrers","No","Early Influence",5
"233","Phil Spector","No","Non-performer",1
"234","Dusty Springfield","Yes","Performer",1
"235","Bruce Springsteen","No","Performer",1
"236","The Staple Singers","Yes","Performer",5
"237","Steely Dan","No","Performer",2
"238","Seymour Stein","No","Lifetime Achievement",1
"239","Jim Stewart","No","Non-performer",1
"240","Rod Stewart","No","Performer",1
"241","Jesse Stone","No","Non-performer",1
"242","The Stooges","No","Performer",5
"243","The Supremes","Yes","Performer",3
"244","Talking Heads","Yes","Performer",4
"245","James Taylor","No","Performer",1
"246","The Temptations","No","Performer",5
"247","Allen Toussaint","No","Non-performer",1
"248","Traffic","No","Performer",4
"249","Big Joe Turner","No","Performer",1
"250","Ike and Tina Turner","Yes","Performer",2
"251","U2","No","Performer",4
"252","Ritchie Valens","No","Performer",1
"253","Van Halen","No","Performer",4
"254","The Velvet Underground","Yes","Performer",4
"255","The Ventures","No","Performer",4
"256","Gene Vincent","No","Performer",1
"257","Tom Waits","No","Performer",1
"258","T-Bone Walker","No","Early Influence",1
"259","Dinah Washington","Yes","Early Influence",1
"260","Muddy Waters","No","Performer",1
"261","Jann S. Wenner","No","Lifetime Achievement",1
"262","Jerry Wexler","No","Non-performer",1
"263","The Who","No","Performer",4
"264","Hank Williams","No","Early Influence",1
"265","Jackie Wilson","No","Performer",1
"266","Bobby Womack","No","Performer",1
"267","Stevie Wonder","No","Performer",1
"268","Jimmy Yancey","No","Early Influence",1
"269","The Yardbirds","No","Performer",5
"270","Neil Young","No","Performer",1
"271","The (Young) Rascals","No","Performer",4
"272","Frank Zappa","No","Performer",1
"273","ZZ Top","No","Performer",3
