"","Calcium","GillRate"
"263",8.14,47
"264",8.14,57
"265",8.14,64
"266",8.14,58
"267",8.14,73
"268",8.14,53
"269",8.14,68
"270",8.14,78
"271",8.19,57
"272",8.19,46
"273",8.19,62
"274",8.19,45
"275",8.19,53
"276",8.19,77
"277",8.19,52
"278",8.19,35
"279",8.19,62
"280",8.19,32
"281",8.19,85
"282",8.19,41
"283",8.19,43
"284",8.19,63
"285",8.19,38
"286",8.19,63
"287",8.19,88
"288",8.19,36
"289",8.19,27
"290",8.19,47
"291",8.19,83
"292",8.19,84
"293",8.19,57
"294",8.19,68
"295",8.19,63
"296",8.19,42
"297",8.19,57
"298",8.19,44
"299",8.19,37
"300",8.19,54
"301",18.24,59
"302",18.24,45
"303",18.24,63
"304",18.24,52
"305",18.24,59
"306",18.24,78
"307",18.24,72
"308",18.24,53
"309",18.24,69
"310",18.24,68
"311",18.24,57
"312",18.24,63
"313",18.24,68
"314",18.24,83
"315",18.24,38
"316",18.24,85
"317",18.24,68
"318",18.24,63
"319",18.24,58
"320",18.24,48
"321",18.24,42
"322",18.24,42
"323",18.24,80
"324",18.24,42
"325",18.24,52
"326",18.24,37
"327",18.24,57
"328",18.24,62
"329",18.24,40
"330",18.24,42
"331",32.07,45
"332",32.07,37
"333",32.07,46
"334",32.07,75
"335",32.07,44
"336",32.07,63
"337",32.07,38
"338",32.07,57
"339",32.07,73
"340",32.07,33
"341",32.07,84
"342",32.07,36
"343",32.07,48
"344",32.07,42
"345",32.07,42
"346",32.07,41
"347",32.07,57
"348",32.07,79
"349",32.07,44
"350",32.07,51
"351",32.07,38
"352",32.07,65
"353",32.07,73
"354",32.07,56
"355",32.07,46
"356",32.07,53
"357",32.07,75
"358",32.07,41
"359",32.07,50
"360",32.07,36
