"","Count","Phat"
"313",98,0.49
"314",99,0.495
"315",107,0.535
"316",98,0.49
"317",97,0.485
"318",89,0.445
"319",103,0.515
"320",93,0.465
"321",115,0.575
"322",87,0.435
"323",108,0.54
"324",95,0.475
"325",100,0.5
"326",102,0.51
"327",98,0.49
"328",100,0.5
"329",102,0.51
"330",104,0.52
"331",100,0.5
"332",90,0.45
"333",99,0.495
"334",99,0.495
"335",98,0.49
"336",95,0.475
"337",95,0.475
"338",103,0.515
"339",96,0.48
"340",106,0.53
"341",91,0.455
"342",97,0.485
"343",94,0.47
"344",108,0.54
"345",91,0.455
"346",94,0.47
"347",111,0.555
"348",107,0.535
"349",110,0.55
"350",97,0.485
"351",95,0.475
"352",106,0.53
"353",107,0.535
"354",103,0.515
"355",101,0.505
"356",104,0.52
"357",108,0.54
"358",95,0.475
"359",91,0.455
"360",102,0.51
"361",99,0.495
"362",104,0.52
"363",93,0.465
"364",94,0.47
"365",105,0.525
"366",88,0.44
"367",96,0.48
"368",98,0.49
"369",102,0.51
"370",99,0.495
"371",91,0.455
"372",91,0.455
"373",103,0.515
"374",108,0.54
"375",98,0.49
"376",96,0.48
"377",98,0.49
"378",92,0.46
"379",97,0.485
"380",109,0.545
"381",97,0.485
"382",106,0.53
"383",103,0.515
"384",108,0.54
"385",96,0.48
"386",97,0.485
"387",103,0.515
"388",94,0.47
"389",94,0.47
"390",99,0.495
"391",99,0.495
"392",102,0.51
"393",93,0.465
"394",97,0.485
"395",98,0.49
"396",92,0.46
"397",99,0.495
"398",103,0.515
"399",97,0.485
"400",103,0.515
"401",93,0.465
"402",105,0.525
"403",94,0.47
"404",94,0.47
"405",84,0.42
"406",106,0.53
"407",102,0.51
"408",107,0.535
"409",99,0.495
"410",100,0.5
"411",95,0.475
"412",103,0.515
"413",89,0.445
"414",102,0.51
"415",104,0.52
"416",108,0.54
"417",98,0.49
"418",90,0.45
"419",96,0.48
"420",107,0.535
"421",103,0.515
"422",105,0.525
"423",108,0.54
"424",102,0.51
"425",101,0.505
"426",96,0.48
"427",114,0.57
"428",107,0.535
"429",105,0.525
"430",90,0.45
"431",97,0.485
"432",102,0.51
"433",99,0.495
"434",102,0.51
"435",105,0.525
"436",95,0.475
"437",90,0.45
"438",93,0.465
"439",105,0.525
"440",93,0.465
"441",94,0.47
"442",100,0.5
"443",104,0.52
"444",97,0.485
"445",102,0.51
"446",101,0.505
"447",100,0.5
"448",100,0.5
"449",109,0.545
"450",105,0.525
"451",105,0.525
"452",101,0.505
"453",96,0.48
"454",94,0.47
"455",98,0.49
"456",89,0.445
"457",105,0.525
"458",103,0.515
"459",102,0.51
"460",112,0.56
"461",96,0.48
"462",95,0.475
"463",111,0.555
"464",100,0.5
"465",106,0.53
"466",100,0.5
"467",115,0.575
"468",87,0.435
"469",92,0.46
"470",106,0.53
"471",111,0.555
"472",101,0.505
"473",96,0.48
"474",98,0.49
"475",89,0.445
"476",95,0.475
"477",110,0.55
"478",92,0.46
"479",99,0.495
"480",93,0.465
"481",95,0.475
"482",109,0.545
"483",103,0.515
"484",87,0.435
"485",93,0.465
"486",92,0.46
"487",95,0.475
"488",103,0.515
"489",98,0.49
"490",81,0.405
"491",104,0.52
"492",96,0.48
"493",96,0.48
"494",99,0.495
"495",108,0.54
"496",113,0.565
"497",102,0.51
"498",91,0.455
"499",97,0.485
"500",97,0.485
"501",106,0.53
"502",102,0.51
"503",102,0.51
"504",114,0.57
"505",97,0.485
"506",103,0.515
"507",95,0.475
"508",115,0.575
"509",118,0.59
"510",105,0.525
"511",93,0.465
"512",91,0.455
"513",103,0.515
"514",100,0.5
"515",83,0.415
"516",96,0.48
"517",111,0.555
"518",108,0.54
"519",109,0.545
"520",103,0.515
"521",105,0.525
"522",99,0.495
"523",95,0.475
"524",100,0.5
"525",102,0.51
"526",92,0.46
"527",102,0.51
"528",111,0.555
"529",99,0.495
"530",112,0.56
"531",107,0.535
"532",106,0.53
"533",93,0.465
"534",91,0.455
"535",103,0.515
"536",92,0.46
"537",100,0.5
"538",94,0.47
"539",95,0.475
"540",101,0.505
"541",96,0.48
"542",98,0.49
"543",107,0.535
"544",101,0.505
"545",103,0.515
"546",91,0.455
"547",96,0.48
"548",105,0.525
"549",80,0.4
"550",111,0.555
"551",112,0.56
"552",91,0.455
"553",86,0.43
"554",92,0.46
"555",91,0.455
"556",105,0.525
"557",89,0.445
"558",95,0.475
"559",111,0.555
"560",106,0.53
"561",110,0.55
"562",110,0.55
"563",93,0.465
"564",86,0.43
"565",97,0.485
"566",104,0.52
"567",110,0.55
"568",100,0.5
"569",107,0.535
"570",99,0.495
"571",87,0.435
"572",96,0.48
"573",97,0.485
"574",100,0.5
"575",113,0.565
"576",89,0.445
"577",101,0.505
"578",93,0.465
"579",108,0.54
"580",93,0.465
"581",101,0.505
"582",98,0.49
"583",103,0.515
"584",103,0.515
"585",92,0.46
"586",102,0.51
"587",103,0.515
"588",99,0.495
"589",101,0.505
"590",96,0.48
"591",102,0.51
"592",102,0.51
"593",103,0.515
"594",102,0.51
"595",93,0.465
"596",102,0.51
"597",97,0.485
"598",105,0.525
"599",113,0.565
"600",98,0.49
"601",100,0.5
"602",97,0.485
"603",97,0.485
"604",102,0.51
"605",103,0.515
"606",98,0.49
"607",104,0.52
"608",111,0.555
"609",103,0.515
"610",109,0.545
"611",109,0.545
"612",102,0.51
"613",94,0.47
"614",98,0.49
"615",103,0.515
"616",99,0.495
"617",99,0.495
"618",105,0.525
"619",105,0.525
"620",101,0.505
"621",99,0.495
"622",117,0.585
"623",103,0.515
"624",107,0.535
"625",103,0.515
"626",102,0.51
"627",92,0.46
"628",96,0.48
"629",100,0.5
"630",105,0.525
"631",113,0.565
"632",112,0.56
"633",87,0.435
"634",97,0.485
"635",107,0.535
"636",92,0.46
"637",93,0.465
"638",96,0.48
"639",90,0.45
"640",92,0.46
"641",95,0.475
"642",105,0.525
"643",103,0.515
"644",99,0.495
"645",92,0.46
"646",102,0.51
"647",97,0.485
"648",111,0.555
"649",103,0.515
"650",107,0.535
"651",106,0.53
"652",110,0.55
"653",99,0.495
"654",101,0.505
"655",105,0.525
"656",87,0.435
"657",100,0.5
"658",104,0.52
"659",91,0.455
"660",98,0.49
"661",84,0.42
"662",99,0.495
"663",117,0.585
"664",100,0.5
"665",98,0.49
"666",100,0.5
"667",95,0.475
"668",103,0.515
"669",109,0.545
"670",99,0.495
"671",103,0.515
"672",97,0.485
"673",91,0.455
"674",101,0.505
"675",95,0.475
"676",100,0.5
"677",89,0.445
"678",105,0.525
"679",101,0.505
"680",101,0.505
"681",98,0.49
"682",112,0.56
"683",106,0.53
"684",113,0.565
"685",100,0.5
"686",95,0.475
"687",103,0.515
"688",111,0.555
"689",83,0.415
"690",100,0.5
"691",90,0.45
"692",107,0.535
"693",96,0.48
"694",97,0.485
"695",84,0.42
"696",90,0.45
"697",101,0.505
"698",103,0.515
"699",93,0.465
"700",104,0.52
"701",90,0.45
"702",95,0.475
"703",99,0.495
"704",104,0.52
"705",89,0.445
"706",94,0.47
"707",96,0.48
"708",104,0.52
"709",96,0.48
"710",107,0.535
"711",107,0.535
"712",101,0.505
"713",106,0.53
"714",99,0.495
"715",103,0.515
"716",100,0.5
"717",117,0.585
"718",107,0.535
"719",108,0.54
"720",108,0.54
"721",98,0.49
"722",98,0.49
"723",97,0.485
"724",102,0.51
"725",106,0.53
"726",95,0.475
"727",98,0.49
"728",95,0.475
"729",109,0.545
"730",98,0.49
"731",99,0.495
"732",111,0.555
"733",99,0.495
"734",94,0.47
"735",96,0.48
"736",100,0.5
"737",93,0.465
"738",106,0.53
"739",115,0.575
"740",96,0.48
"741",97,0.485
"742",94,0.47
"743",102,0.51
"744",103,0.515
"745",96,0.48
"746",117,0.585
"747",111,0.555
"748",107,0.535
"749",90,0.45
"750",104,0.52
"751",92,0.46
"752",92,0.46
"753",103,0.515
"754",93,0.465
"755",95,0.475
"756",91,0.455
"757",96,0.48
"758",101,0.505
"759",90,0.45
"760",108,0.54
"761",95,0.475
"762",107,0.535
"763",98,0.49
"764",90,0.45
"765",107,0.535
"766",103,0.515
"767",102,0.51
"768",93,0.465
"769",107,0.535
"770",92,0.46
"771",99,0.495
"772",100,0.5
"773",96,0.48
"774",113,0.565
"775",90,0.45
"776",102,0.51
"777",112,0.56
"778",89,0.445
"779",94,0.47
"780",99,0.495
"781",98,0.49
"782",98,0.49
"783",94,0.47
"784",92,0.46
"785",106,0.53
"786",110,0.55
"787",102,0.51
"788",103,0.515
"789",96,0.48
"790",105,0.525
"791",102,0.51
"792",87,0.435
"793",103,0.515
"794",84,0.42
"795",88,0.44
"796",96,0.48
"797",88,0.44
"798",104,0.52
"799",108,0.54
"800",105,0.525
"801",112,0.56
"802",99,0.495
"803",84,0.42
"804",108,0.54
"805",104,0.52
"806",89,0.445
"807",104,0.52
"808",91,0.455
"809",101,0.505
"810",94,0.47
"811",99,0.495
"812",101,0.505
"813",102,0.51
"814",104,0.52
"815",97,0.485
"816",111,0.555
"817",101,0.505
"818",92,0.46
"819",109,0.545
"820",99,0.495
"821",100,0.5
"822",92,0.46
"823",111,0.555
"824",98,0.49
"825",97,0.485
"826",98,0.49
"827",101,0.505
"828",115,0.575
"829",87,0.435
"830",95,0.475
"831",102,0.51
"832",96,0.48
"833",102,0.51
"834",104,0.52
"835",100,0.5
"836",111,0.555
"837",99,0.495
"838",96,0.48
"839",106,0.53
"840",98,0.49
"841",96,0.48
"842",99,0.495
"843",104,0.52
"844",98,0.49
"845",107,0.535
"846",106,0.53
"847",111,0.555
"848",90,0.45
"849",104,0.52
"850",94,0.47
"851",91,0.455
"852",106,0.53
"853",100,0.5
"854",106,0.53
"855",97,0.485
"856",106,0.53
"857",108,0.54
"858",91,0.455
"859",107,0.535
"860",98,0.49
"861",106,0.53
"862",107,0.535
"863",99,0.495
"864",97,0.485
"865",106,0.53
"866",107,0.535
"867",101,0.505
"868",106,0.53
"869",101,0.505
"870",108,0.54
"871",91,0.455
"872",101,0.505
"873",99,0.495
"874",96,0.48
"875",90,0.45
"876",88,0.44
"877",93,0.465
"878",106,0.53
"879",107,0.535
"880",91,0.455
"881",100,0.5
"882",95,0.475
"883",110,0.55
"884",96,0.48
"885",95,0.475
"886",90,0.45
"887",97,0.485
"888",95,0.475
"889",113,0.565
"890",93,0.465
"891",98,0.49
"892",91,0.455
"893",98,0.49
"894",106,0.53
"895",104,0.52
"896",95,0.475
"897",104,0.52
"898",91,0.455
"899",105,0.525
"900",105,0.525
"901",100,0.5
"902",105,0.525
"903",91,0.455
"904",86,0.43
"905",87,0.435
"906",102,0.51
"907",100,0.5
"908",94,0.47
"909",89,0.445
"910",108,0.54
"911",98,0.49
"912",92,0.46
"913",99,0.495
"914",98,0.49
"915",100,0.5
"916",99,0.495
"917",99,0.495
"918",95,0.475
"919",100,0.5
"920",105,0.525
"921",92,0.46
"922",101,0.505
"923",93,0.465
"924",99,0.495
"925",95,0.475
"926",87,0.435
"927",106,0.53
"928",101,0.505
"929",96,0.48
"930",98,0.49
"931",103,0.515
"932",103,0.515
"933",97,0.485
"934",111,0.555
"935",104,0.52
"936",91,0.455
"937",114,0.57
"938",107,0.535
"939",101,0.505
"940",99,0.495
"941",106,0.53
"942",101,0.505
"943",91,0.455
"944",92,0.46
"945",97,0.485
"946",116,0.58
"947",105,0.525
"948",96,0.48
"949",102,0.51
"950",99,0.495
"951",95,0.475
"952",112,0.56
"953",98,0.49
"954",105,0.525
"955",107,0.535
"956",97,0.485
"957",89,0.445
"958",101,0.505
"959",99,0.495
"960",96,0.48
"961",95,0.475
"962",92,0.46
"963",97,0.485
"964",96,0.48
"965",103,0.515
"966",110,0.55
"967",102,0.51
"968",102,0.51
"969",107,0.535
"970",91,0.455
"971",97,0.485
"972",98,0.49
"973",92,0.46
"974",94,0.47
"975",103,0.515
"976",114,0.57
"977",95,0.475
"978",96,0.48
"979",103,0.515
"980",96,0.48
"981",98,0.49
"982",101,0.505
"983",102,0.51
"984",101,0.505
"985",95,0.475
"986",108,0.54
"987",87,0.435
"988",89,0.445
"989",103,0.515
"990",102,0.51
"991",96,0.48
"992",105,0.525
"993",96,0.48
"994",92,0.46
"995",106,0.53
"996",107,0.535
"997",105,0.525
"998",108,0.54
"999",93,0.465
"1000",109,0.545
"1001",107,0.535
"1002",115,0.575
"1003",96,0.48
"1004",103,0.515
"1005",97,0.485
"1006",108,0.54
"1007",100,0.5
"1008",94,0.47
"1009",101,0.505
"1010",110,0.55
"1011",108,0.54
"1012",85,0.425
"1013",97,0.485
"1014",111,0.555
"1015",93,0.465
"1016",103,0.515
"1017",109,0.545
"1018",103,0.515
"1019",102,0.51
"1020",101,0.505
"1021",96,0.48
"1022",102,0.51
"1023",93,0.465
"1024",106,0.53
"1025",97,0.485
"1026",110,0.55
"1027",90,0.45
"1028",98,0.49
"1029",101,0.505
"1030",109,0.545
"1031",103,0.515
"1032",97,0.485
"1033",104,0.52
"1034",99,0.495
"1035",95,0.475
"1036",93,0.465
"1037",107,0.535
"1038",117,0.585
"1039",96,0.48
"1040",87,0.435
"1041",105,0.525
"1042",110,0.55
"1043",92,0.46
"1044",77,0.385
"1045",90,0.45
"1046",99,0.495
"1047",102,0.51
"1048",105,0.525
"1049",112,0.56
"1050",100,0.5
"1051",107,0.535
"1052",100,0.5
"1053",97,0.485
"1054",99,0.495
"1055",103,0.515
"1056",99,0.495
"1057",98,0.49
"1058",96,0.48
"1059",115,0.575
"1060",95,0.475
"1061",97,0.485
"1062",80,0.4
"1063",110,0.55
"1064",93,0.465
"1065",123,0.615
"1066",93,0.465
"1067",97,0.485
"1068",95,0.475
"1069",102,0.51
"1070",100,0.5
"1071",92,0.46
"1072",108,0.54
"1073",99,0.495
"1074",110,0.55
"1075",106,0.53
"1076",111,0.555
"1077",88,0.44
"1078",118,0.59
"1079",96,0.48
"1080",107,0.535
"1081",100,0.5
"1082",107,0.535
"1083",102,0.51
"1084",94,0.47
"1085",99,0.495
"1086",94,0.47
"1087",105,0.525
"1088",94,0.47
"1089",95,0.475
"1090",110,0.55
"1091",97,0.485
"1092",103,0.515
"1093",104,0.52
"1094",109,0.545
"1095",112,0.56
"1096",110,0.55
"1097",114,0.57
"1098",92,0.46
"1099",99,0.495
"1100",100,0.5
"1101",109,0.545
"1102",99,0.495
"1103",111,0.555
"1104",107,0.535
"1105",109,0.545
"1106",99,0.495
"1107",94,0.47
"1108",98,0.49
"1109",105,0.525
"1110",94,0.47
"1111",98,0.49
"1112",108,0.54
"1113",93,0.465
"1114",99,0.495
"1115",103,0.515
"1116",103,0.515
"1117",101,0.505
"1118",94,0.47
"1119",96,0.48
"1120",89,0.445
"1121",90,0.45
"1122",106,0.53
"1123",93,0.465
"1124",103,0.515
"1125",106,0.53
"1126",95,0.475
"1127",100,0.5
"1128",95,0.475
"1129",104,0.52
"1130",116,0.58
"1131",90,0.45
"1132",106,0.53
"1133",118,0.59
"1134",99,0.495
"1135",104,0.52
"1136",100,0.5
"1137",106,0.53
"1138",97,0.485
"1139",99,0.495
"1140",98,0.49
"1141",100,0.5
"1142",104,0.52
"1143",105,0.525
"1144",102,0.51
"1145",102,0.51
"1146",92,0.46
"1147",101,0.505
"1148",90,0.45
"1149",104,0.52
"1150",83,0.415
"1151",95,0.475
"1152",101,0.505
"1153",96,0.48
"1154",101,0.505
"1155",113,0.565
"1156",99,0.495
"1157",94,0.47
"1158",101,0.505
"1159",90,0.45
"1160",99,0.495
"1161",108,0.54
"1162",97,0.485
"1163",102,0.51
"1164",100,0.5
"1165",94,0.47
"1166",105,0.525
"1167",96,0.48
"1168",119,0.595
"1169",94,0.47
"1170",98,0.49
"1171",105,0.525
"1172",91,0.455
"1173",103,0.515
"1174",90,0.45
"1175",104,0.52
"1176",84,0.42
"1177",110,0.55
"1178",99,0.495
"1179",101,0.505
"1180",99,0.495
"1181",110,0.55
"1182",94,0.47
"1183",99,0.495
"1184",111,0.555
"1185",93,0.465
"1186",100,0.5
"1187",99,0.495
"1188",98,0.49
"1189",101,0.505
"1190",105,0.525
"1191",106,0.53
"1192",99,0.495
"1193",97,0.485
"1194",106,0.53
"1195",91,0.455
"1196",94,0.47
"1197",104,0.52
"1198",110,0.55
"1199",90,0.45
"1200",115,0.575
"1201",103,0.515
"1202",109,0.545
"1203",103,0.515
"1204",91,0.455
"1205",108,0.54
"1206",106,0.53
"1207",100,0.5
"1208",100,0.5
"1209",105,0.525
"1210",102,0.51
"1211",99,0.495
"1212",98,0.49
"1213",99,0.495
"1214",98,0.49
"1215",113,0.565
"1216",93,0.465
"1217",104,0.52
"1218",102,0.51
"1219",99,0.495
"1220",102,0.51
"1221",107,0.535
"1222",92,0.46
"1223",87,0.435
"1224",91,0.455
"1225",94,0.47
"1226",105,0.525
"1227",102,0.51
"1228",109,0.545
"1229",90,0.45
"1230",95,0.475
"1231",106,0.53
"1232",94,0.47
"1233",116,0.58
"1234",116,0.58
"1235",94,0.47
"1236",82,0.41
"1237",96,0.48
"1238",90,0.45
"1239",101,0.505
"1240",103,0.515
"1241",94,0.47
"1242",103,0.515
"1243",102,0.51
"1244",103,0.515
"1245",93,0.465
"1246",104,0.52
"1247",102,0.51
"1248",100,0.5
"1249",99,0.495
"1250",94,0.47
"1251",96,0.48
"1252",102,0.51
"1253",100,0.5
"1254",93,0.465
"1255",99,0.495
"1256",93,0.465
"1257",101,0.505
"1258",108,0.54
"1259",101,0.505
"1260",100,0.5
"1261",86,0.43
"1262",111,0.555
"1263",108,0.54
"1264",97,0.485
"1265",106,0.53
"1266",98,0.49
"1267",100,0.5
"1268",109,0.545
"1269",101,0.505
"1270",98,0.49
"1271",91,0.455
"1272",102,0.51
"1273",95,0.475
"1274",102,0.51
"1275",85,0.425
"1276",87,0.435
"1277",108,0.54
"1278",93,0.465
"1279",109,0.545
"1280",107,0.535
"1281",103,0.515
"1282",98,0.49
"1283",100,0.5
"1284",99,0.495
"1285",107,0.535
"1286",87,0.435
"1287",78,0.39
"1288",108,0.54
"1289",89,0.445
"1290",99,0.495
"1291",90,0.45
"1292",108,0.54
"1293",104,0.52
"1294",85,0.425
"1295",103,0.515
"1296",99,0.495
"1297",103,0.515
"1298",93,0.465
"1299",101,0.505
"1300",112,0.56
"1301",95,0.475
"1302",92,0.46
"1303",105,0.525
"1304",92,0.46
"1305",91,0.455
"1306",91,0.455
"1307",98,0.49
"1308",111,0.555
"1309",104,0.52
"1310",98,0.49
"1311",87,0.435
"1312",90,0.45
"1313",106,0.53
"1314",86,0.43
"1315",100,0.5
"1316",94,0.47
"1317",110,0.55
"1318",94,0.47
"1319",104,0.52
"1320",102,0.51
"1321",101,0.505
"1322",108,0.54
"1323",94,0.47
"1324",107,0.535
"1325",107,0.535
"1326",83,0.415
"1327",104,0.52
"1328",104,0.52
"1329",113,0.565
"1330",98,0.49
"1331",98,0.49
"1332",90,0.45
"1333",100,0.5
"1334",113,0.565
"1335",109,0.545
"1336",100,0.5
"1337",100,0.5
"1338",107,0.535
"1339",97,0.485
"1340",102,0.51
"1341",92,0.46
"1342",97,0.485
"1343",107,0.535
"1344",106,0.53
"1345",104,0.52
"1346",93,0.465
"1347",102,0.51
"1348",92,0.46
"1349",118,0.59
"1350",106,0.53
"1351",103,0.515
"1352",103,0.515
"1353",92,0.46
"1354",98,0.49
"1355",106,0.53
"1356",83,0.415
"1357",110,0.55
"1358",101,0.505
"1359",101,0.505
"1360",86,0.43
"1361",103,0.515
"1362",88,0.44
"1363",83,0.415
"1364",98,0.49
"1365",100,0.5
"1366",112,0.56
"1367",107,0.535
"1368",99,0.495
"1369",107,0.535
"1370",105,0.525
"1371",100,0.5
"1372",104,0.52
"1373",101,0.505
"1374",98,0.49
"1375",106,0.53
"1376",92,0.46
"1377",101,0.505
"1378",103,0.515
"1379",98,0.49
"1380",91,0.455
"1381",95,0.475
"1382",97,0.485
"1383",109,0.545
"1384",99,0.495
"1385",92,0.46
"1386",104,0.52
"1387",105,0.525
"1388",109,0.545
"1389",94,0.47
"1390",98,0.49
"1391",93,0.465
"1392",113,0.565
"1393",101,0.505
"1394",95,0.475
"1395",104,0.52
"1396",90,0.45
"1397",91,0.455
"1398",92,0.46
"1399",103,0.515
"1400",112,0.56
"1401",87,0.435
"1402",103,0.515
"1403",95,0.475
"1404",86,0.43
"1405",105,0.525
"1406",97,0.485
"1407",103,0.515
"1408",93,0.465
"1409",93,0.465
"1410",99,0.495
"1411",97,0.485
"1412",92,0.46
"1413",102,0.51
"1414",99,0.495
"1415",112,0.56
"1416",97,0.485
"1417",104,0.52
"1418",96,0.48
"1419",101,0.505
"1420",107,0.535
"1421",89,0.445
"1422",99,0.495
"1423",105,0.525
"1424",111,0.555
"1425",104,0.52
"1426",101,0.505
"1427",99,0.495
"1428",93,0.465
"1429",118,0.59
"1430",107,0.535
"1431",92,0.46
"1432",102,0.51
"1433",102,0.51
"1434",114,0.57
"1435",98,0.49
"1436",101,0.505
"1437",100,0.5
"1438",109,0.545
"1439",95,0.475
"1440",102,0.51
"1441",103,0.515
"1442",104,0.52
"1443",97,0.485
"1444",98,0.49
"1445",98,0.49
"1446",88,0.44
"1447",97,0.485
"1448",93,0.465
"1449",97,0.485
"1450",104,0.52
"1451",101,0.505
"1452",105,0.525
"1453",96,0.48
"1454",104,0.52
"1455",101,0.505
"1456",98,0.49
"1457",102,0.51
"1458",107,0.535
"1459",109,0.545
"1460",100,0.5
"1461",99,0.495
"1462",93,0.465
"1463",97,0.485
"1464",95,0.475
"1465",104,0.52
"1466",89,0.445
"1467",100,0.5
"1468",109,0.545
"1469",100,0.5
"1470",91,0.455
"1471",88,0.44
"1472",102,0.51
"1473",101,0.505
"1474",102,0.51
"1475",105,0.525
"1476",88,0.44
"1477",108,0.54
"1478",104,0.52
"1479",107,0.535
"1480",98,0.49
"1481",104,0.52
"1482",100,0.5
"1483",108,0.54
"1484",99,0.495
"1485",103,0.515
"1486",104,0.52
"1487",96,0.48
"1488",88,0.44
"1489",106,0.53
"1490",95,0.475
"1491",88,0.44
"1492",105,0.525
"1493",103,0.515
"1494",92,0.46
"1495",109,0.545
"1496",106,0.53
"1497",80,0.4
