"","V1","rain"
"143",1,"0"
"144",1,"0"
"145",1,"0"
"146",1,"0"
"147",2,"1-5"
"148",2,"1-5"
"149",2,"1-5"
"150",3,"6+"
"151",1,"0"
"152",2,"1-5"
"153",2,"1-5"
"154",2,"1-5"
"155",2,"1-5"
"156",1,"0"
"157",2,"1-5"
"158",1,"0"
"159",1,"0"
"160",2,"1-5"
"161",1,"0"
"162",1,"0"
"163",1,"0"
"164",1,"0"
"165",1,"0"
"166",2,"1-5"
"167",1,"0"
"168",1,"0"
"169",1,"0"
"170",1,"0"
"171",3,"6+"
"172",3,"6+"
"173",2,"1-5"
"174",1,"0"
"175",1,"0"
"176",1,"0"
"177",1,"0"
"178",1,"0"
"179",2,"1-5"
"180",1,"0"
"181",1,"0"
"182",2,"1-5"
"183",1,"0"
"184",1,"0"
"185",1,"0"
"186",2,"1-5"
"187",1,"0"
"188",1,"0"
"189",1,"0"
"190",2,"1-5"
"191",1,"0"
"192",1,"0"
"193",1,"0"
"194",1,"0"
"195",3,"6+"
"196",2,"1-5"
"197",2,"1-5"
"198",1,"0"
"199",1,"0"
"200",1,"0"
"201",1,"0"
"202",1,"0"
"203",1,"0"
"204",1,"0"
"205",1,"0"
"206",1,"0"
"207",1,"0"
"208",2,"1-5"
"209",2,"1-5"
"210",2,"1-5"
"211",1,"0"
"212",1,"0"
"213",1,"0"
"214",3,"6+"
"215",3,"6+"
"216",2,"1-5"
"217",1,"0"
"218",2,"1-5"
"219",1,"0"
"220",1,"0"
"221",1,"0"
"222",1,"0"
"223",1,"0"
"224",1,"0"
"225",3,"6+"
"226",2,"1-5"
"227",1,"0"
"228",1,"0"
"229",1,"0"
"230",1,"0"
"231",1,"0"
"232",2,"1-5"
"233",1,"0"
"234",1,"0"
"235",2,"1-5"
"236",1,"0"
"237",1,"0"
"238",1,"0"
"239",2,"1-5"
"240",1,"0"
"241",1,"0"
"242",1,"0"
"243",1,"0"
"244",1,"0"
"245",1,"0"
"246",1,"0"
"247",1,"0"
"248",1,"0"
"249",1,"0"
"250",1,"0"
"251",1,"0"
"252",1,"0"
"253",1,"0"
"254",1,"0"
"255",1,"0"
"256",1,"0"
"257",1,"0"
"258",1,"0"
"259",1,"0"
"260",1,"0"
"261",1,"0"
"262",1,"0"
"263",1,"0"
"264",1,"0"
"265",1,"0"
"266",2,"1-5"
"267",2,"1-5"
"268",1,"0"
"269",1,"0"
"270",1,"0"
"271",2,"1-5"
"272",3,"6+"
"273",2,"1-5"
"274",1,"0"
"275",3,"6+"
"276",1,"0"
"277",1,"0"
"278",1,"0"
"279",1,"0"
"280",1,"0"
"281",3,"6+"
"282",1,"0"
"283",1,"0"
"284",1,"0"
"285",1,"0"
"286",1,"0"
"287",1,"0"
"288",1,"0"
"289",1,"0"
"290",1,"0"
"291",3,"6+"
"292",1,"0"
"293",1,"0"
"294",1,"0"
"295",1,"0"
"296",1,"0"
"297",1,"0"
"298",1,"0"
"299",2,"1-5"
"300",3,"6+"
"301",2,"1-5"
"302",1,"0"
"303",1,"0"
"304",1,"0"
"305",2,"1-5"
"306",1,"0"
"307",1,"0"
"308",1,"0"
"309",1,"0"
"310",2,"1-5"
"311",1,"0"
"312",3,"6+"
"313",1,"0"
"314",1,"0"
"315",1,"0"
"316",1,"0"
"317",1,"0"
"318",1,"0"
"319",1,"0"
"320",1,"0"
"321",1,"0"
"322",1,"0"
"323",1,"0"
"324",1,"0"
"325",1,"0"
"326",1,"0"
"327",3,"6+"
"328",3,"6+"
"329",1,"0"
"330",1,"0"
"331",1,"0"
"332",2,"1-5"
"333",2,"1-5"
"334",2,"1-5"
"335",2,"1-5"
"336",3,"6+"
"337",3,"6+"
"338",3,"6+"
"339",3,"6+"
"340",1,"0"
"341",1,"0"
"342",1,"0"
"343",1,"0"
"344",1,"0"
"345",1,"0"
"346",1,"0"
"347",2,"1-5"
"348",3,"6+"
"349",3,"6+"
"350",2,"1-5"
"351",1,"0"
"352",1,"0"
"353",2,"1-5"
"354",1,"0"
"355",2,"1-5"
"356",2,"1-5"
"357",1,"0"
"358",3,"6+"
"359",3,"6+"
"360",3,"6+"
"361",3,"6+"
"362",3,"6+"
"363",2,"1-5"
"364",3,"6+"
"365",1,"0"
"366",1,"0"
"367",1,"0"
"368",1,"0"
"369",1,"0"
"370",1,"0"
"371",2,"1-5"
"372",1,"0"
"373",1,"0"
"374",1,"0"
"375",1,"0"
"376",1,"0"
"377",2,"1-5"
"378",1,"0"
"379",1,"0"
"380",3,"6+"
"381",3,"6+"
"382",2,"1-5"
"383",1,"0"
"384",1,"0"
"385",2,"1-5"
"386",1,"0"
"387",1,"0"
"388",1,"0"
"389",1,"0"
"390",3,"6+"
"391",2,"1-5"
"392",1,"0"
"393",2,"1-5"
"394",2,"1-5"
"395",2,"1-5"
"396",2,"1-5"
"397",3,"6+"
"398",2,"1-5"
"399",1,"0"
"400",3,"6+"
"401",1,"0"
"402",2,"1-5"
"403",2,"1-5"
"404",1,"0"
"405",3,"6+"
"406",2,"1-5"
"407",1,"0"
"408",1,"0"
"409",1,"0"
"410",1,"0"
"411",2,"1-5"
"412",3,"6+"
"413",3,"6+"
"414",2,"1-5"
"415",2,"1-5"
"416",1,"0"
"417",2,"1-5"
"418",3,"6+"
"419",1,"0"
"420",1,"0"
"421",2,"1-5"
"422",2,"1-5"
"423",3,"6+"
"424",3,"6+"
"425",1,"0"
"426",1,"0"
"427",1,"0"
"428",1,"0"
"429",3,"6+"
"430",3,"6+"
"431",2,"1-5"
"432",1,"0"
"433",1,"0"
"434",2,"1-5"
"435",1,"0"
"436",2,"1-5"
"437",1,"0"
"438",1,"0"
"439",2,"1-5"
"440",2,"1-5"
"441",1,"0"
"442",1,"0"
"443",1,"0"
"444",1,"0"
"445",2,"1-5"
"446",1,"0"
"447",2,"1-5"
"448",1,"0"
"449",1,"0"
"450",1,"0"
"451",1,"0"
"452",2,"1-5"
"453",1,"0"
"454",3,"6+"
"455",3,"6+"
"456",3,"6+"
"457",2,"1-5"
"458",3,"6+"
"459",3,"6+"
"460",3,"6+"
"461",3,"6+"
"462",3,"6+"
"463",3,"6+"
"464",3,"6+"
"465",1,"0"
"466",2,"1-5"
"467",1,"0"
"468",1,"0"
"469",1,"0"
"470",1,"0"
"471",2,"1-5"
"472",2,"1-5"
"473",2,"1-5"
"474",2,"1-5"
"475",1,"0"
"476",1,"0"
"477",1,"0"
"478",1,"0"
"479",1,"0"
"480",3,"6+"
"481",3,"6+"
"482",3,"6+"
"483",2,"1-5"
"484",1,"0"
"485",1,"0"
"486",3,"6+"
"487",3,"6+"
"488",3,"6+"
"489",2,"1-5"
"490",2,"1-5"
"491",1,"0"
"492",3,"6+"
"493",1,"0"
"494",3,"6+"
"495",1,"0"
"496",1,"0"
"497",2,"1-5"
"498",1,"0"
"499",1,"0"
"500",1,"0"
"501",1,"0"
"502",1,"0"
"503",1,"0"
"504",3,"6+"
"505",2,"1-5"
"506",2,"1-5"
"507",1,"0"
"508",2,"1-5"
"509",2,"1-5"
"510",3,"6+"
"511",3,"6+"
"512",3,"6+"
"513",3,"6+"
"514",3,"6+"
"515",3,"6+"
"516",3,"6+"
"517",2,"1-5"
"518",2,"1-5"
"519",3,"6+"
"520",2,"1-5"
"521",2,"1-5"
"522",3,"6+"
"523",3,"6+"
"524",2,"1-5"
"525",1,"0"
"526",1,"0"
"527",2,"1-5"
"528",2,"1-5"
"529",1,"0"
"530",1,"0"
"531",1,"0"
"532",2,"1-5"
"533",1,"0"
"534",1,"0"
"535",2,"1-5"
"536",2,"1-5"
"537",1,"0"
"538",1,"0"
"539",1,"0"
"540",1,"0"
"541",1,"0"
"542",1,"0"
"543",1,"0"
"544",2,"1-5"
"545",3,"6+"
"546",1,"0"
"547",3,"6+"
"548",2,"1-5"
"549",2,"1-5"
"550",3,"6+"
"551",2,"1-5"
"552",2,"1-5"
"553",2,"1-5"
"554",2,"1-5"
"555",2,"1-5"
"556",2,"1-5"
"557",2,"1-5"
"558",2,"1-5"
"559",1,"0"
"560",1,"0"
"561",2,"1-5"
"562",1,"0"
"563",3,"6+"
"564",3,"6+"
"565",3,"6+"
"566",3,"6+"
"567",2,"1-5"
"568",2,"1-5"
"569",1,"0"
"570",1,"0"
"571",1,"0"
"572",2,"1-5"
"573",2,"1-5"
"574",3,"6+"
"575",1,"0"
"576",1,"0"
"577",1,"0"
"578",1,"0"
"579",1,"0"
"580",2,"1-5"
"581",3,"6+"
"582",3,"6+"
"583",3,"6+"
"584",2,"1-5"
"585",1,"0"
"586",1,"0"
"587",1,"0"
"588",1,"0"
"589",2,"1-5"
"590",1,"0"
"591",1,"0"
"592",1,"0"
"593",1,"0"
"594",1,"0"
"595",2,"1-5"
"596",2,"1-5"
"597",2,"1-5"
"598",3,"6+"
"599",3,"6+"
"600",1,"0"
"601",1,"0"
"602",1,"0"
"603",1,"0"
"604",1,"0"
"605",1,"0"
"606",1,"0"
"607",1,"0"
"608",1,"0"
"609",1,"0"
"610",1,"0"
"611",1,"0"
"612",1,"0"
"613",2,"1-5"
"614",1,"0"
"615",1,"0"
"616",2,"1-5"
"617",1,"0"
"618",3,"6+"
"619",3,"6+"
"620",3,"6+"
"621",3,"6+"
"622",1,"0"
"623",1,"0"
"624",1,"0"
"625",1,"0"
"626",1,"0"
"627",2,"1-5"
"628",1,"0"
"629",1,"0"
"630",1,"0"
"631",1,"0"
"632",1,"0"
"633",3,"6+"
"634",3,"6+"
"635",2,"1-5"
"636",3,"6+"
"637",2,"1-5"
"638",3,"6+"
"639",1,"0"
"640",3,"6+"
"641",3,"6+"
"642",3,"6+"
"643",3,"6+"
"644",3,"6+"
"645",2,"1-5"
"646",3,"6+"
"647",3,"6+"
"648",3,"6+"
"649",1,"0"
"650",1,"0"
"651",1,"0"
"652",3,"6+"
"653",3,"6+"
"654",1,"0"
"655",1,"0"
"656",1,"0"
"657",1,"0"
"658",3,"6+"
"659",3,"6+"
"660",2,"1-5"
"661",2,"1-5"
"662",2,"1-5"
"663",3,"6+"
"664",1,"0"
"665",2,"1-5"
"666",2,"1-5"
"667",3,"6+"
"668",1,"0"
"669",1,"0"
"670",2,"1-5"
"671",2,"1-5"
"672",3,"6+"
"673",2,"1-5"
"674",1,"0"
"675",3,"6+"
"676",3,"6+"
"677",2,"1-5"
"678",2,"1-5"
"679",3,"6+"
"680",3,"6+"
"681",2,"1-5"
"682",1,"0"
"683",3,"6+"
"684",2,"1-5"
"685",2,"1-5"
"686",2,"1-5"
"687",3,"6+"
"688",3,"6+"
"689",2,"1-5"
"690",1,"0"
"691",2,"1-5"
"692",3,"6+"
"693",3,"6+"
"694",3,"6+"
"695",2,"1-5"
"696",3,"6+"
"697",1,"0"
"698",3,"6+"
"699",2,"1-5"
"700",1,"0"
"701",3,"6+"
"702",1,"0"
"703",1,"0"
"704",1,"0"
"705",3,"6+"
"706",3,"6+"
"707",1,"0"
"708",2,"1-5"
"709",2,"1-5"
"710",2,"1-5"
"711",2,"1-5"
"712",3,"6+"
"713",2,"1-5"
"714",1,"0"
"715",1,"0"
"716",3,"6+"
"717",3,"6+"
"718",2,"1-5"
"719",1,"0"
"720",1,"0"
"721",3,"6+"
"722",2,"1-5"
"723",1,"0"
"724",1,"0"
"725",2,"1-5"
"726",3,"6+"
"727",2,"1-5"
"728",1,"0"
"729",1,"0"
"730",2,"1-5"
"731",3,"6+"
"732",3,"6+"
"733",3,"6+"
"734",3,"6+"
"735",3,"6+"
"736",3,"6+"
"737",3,"6+"
"738",3,"6+"
"739",3,"6+"
"740",3,"6+"
"741",3,"6+"
"742",3,"6+"
"743",2,"1-5"
"744",3,"6+"
"745",3,"6+"
"746",1,"0"
"747",3,"6+"
"748",2,"1-5"
"749",1,"0"
"750",1,"0"
"751",2,"1-5"
"752",3,"6+"
"753",2,"1-5"
"754",2,"1-5"
"755",2,"1-5"
"756",1,"0"
"757",3,"6+"
"758",1,"0"
"759",2,"1-5"
"760",1,"0"
"761",1,"0"
"762",1,"0"
"763",1,"0"
"764",3,"6+"
"765",3,"6+"
"766",2,"1-5"
"767",3,"6+"
"768",3,"6+"
"769",3,"6+"
"770",3,"6+"
"771",2,"1-5"
"772",1,"0"
"773",2,"1-5"
"774",3,"6+"
"775",3,"6+"
"776",3,"6+"
"777",3,"6+"
"778",3,"6+"
"779",3,"6+"
"780",3,"6+"
"781",3,"6+"
"782",2,"1-5"
"783",3,"6+"
"784",3,"6+"
"785",2,"1-5"
"786",1,"0"
"787",1,"0"
"788",2,"1-5"
"789",1,"0"
"790",1,"0"
"791",2,"1-5"
"792",1,"0"
"793",1,"0"
"794",1,"0"
"795",1,"0"
"796",2,"1-5"
"797",1,"0"
"798",1,"0"
"799",2,"1-5"
"800",2,"1-5"
"801",1,"0"
"802",1,"0"
"803",1,"0"
"804",2,"1-5"
"805",1,"0"
"806",2,"1-5"
"807",3,"6+"
"808",3,"6+"
"809",2,"1-5"
"810",3,"6+"
"811",3,"6+"
"812",2,"1-5"
"813",2,"1-5"
"814",2,"1-5"
"815",1,"0"
"816",1,"0"
"817",2,"1-5"
"818",2,"1-5"
"819",3,"6+"
"820",3,"6+"
"821",2,"1-5"
"822",3,"6+"
"823",2,"1-5"
"824",3,"6+"
"825",2,"1-5"
"826",3,"6+"
"827",1,"0"
"828",2,"1-5"
"829",3,"6+"
"830",3,"6+"
"831",2,"1-5"
"832",2,"1-5"
"833",2,"1-5"
"834",3,"6+"
"835",3,"6+"
"836",3,"6+"
"837",2,"1-5"
"838",1,"0"
"839",3,"6+"
"840",3,"6+"
"841",2,"1-5"
"842",3,"6+"
"843",3,"6+"
"844",1,"0"
"845",3,"6+"
"846",3,"6+"
"847",3,"6+"
"848",1,"0"
"849",1,"0"
"850",2,"1-5"
"851",2,"1-5"
"852",2,"1-5"
"853",3,"6+"
"854",3,"6+"
"855",2,"1-5"
"856",3,"6+"
"857",3,"6+"
"858",2,"1-5"
"859",2,"1-5"
"860",3,"6+"
"861",3,"6+"
"862",2,"1-5"
"863",1,"0"
"864",1,"0"
"865",1,"0"
"866",2,"1-5"
"867",1,"0"
"868",1,"0"
"869",1,"0"
"870",1,"0"
"871",1,"0"
"872",1,"0"
"873",1,"0"
"874",1,"0"
"875",1,"0"
"876",1,"0"
"877",1,"0"
"878",2,"1-5"
"879",3,"6+"
"880",1,"0"
"881",2,"1-5"
"882",1,"0"
"883",1,"0"
"884",1,"0"
"885",2,"1-5"
"886",3,"6+"
"887",1,"0"
"888",2,"1-5"
"889",2,"1-5"
"890",1,"0"
"891",2,"1-5"
"892",2,"1-5"
"893",2,"1-5"
"894",3,"6+"
"895",3,"6+"
"896",1,"0"
"897",2,"1-5"
"898",1,"0"
"899",3,"6+"
"900",3,"6+"
"901",1,"0"
"902",1,"0"
"903",1,"0"
"904",2,"1-5"
"905",1,"0"
"906",1,"0"
"907",1,"0"
"908",1,"0"
"909",2,"1-5"
"910",1,"0"
"911",2,"1-5"
"912",1,"0"
"913",2,"1-5"
"914",3,"6+"
"915",2,"1-5"
"916",1,"0"
"917",1,"0"
"918",1,"0"
"919",1,"0"
"920",1,"0"
"921",1,"0"
"922",3,"6+"
"923",1,"0"
"924",1,"0"
"925",2,"1-5"
"926",1,"0"
"927",1,"0"
"928",1,"0"
"929",2,"1-5"
"930",1,"0"
"931",1,"0"
"932",1,"0"
"933",1,"0"
"934",2,"1-5"
"935",1,"0"
"936",2,"1-5"
"937",1,"0"
"938",1,"0"
"939",1,"0"
"940",1,"0"
"941",2,"1-5"
"942",2,"1-5"
"943",1,"0"
"944",1,"0"
"945",1,"0"
"946",1,"0"
"947",2,"1-5"
"948",1,"0"
"949",1,"0"
"950",1,"0"
"951",1,"0"
"952",1,"0"
"953",1,"0"
"954",1,"0"
"955",1,"0"
"956",1,"0"
"957",1,"0"
"958",1,"0"
"959",2,"1-5"
"960",1,"0"
"961",1,"0"
"962",1,"0"
"963",1,"0"
"964",1,"0"
"965",2,"1-5"
"966",2,"1-5"
"967",1,"0"
"968",1,"0"
"969",1,"0"
"970",1,"0"
"971",1,"0"
"972",1,"0"
"973",1,"0"
"974",1,"0"
"975",1,"0"
"976",1,"0"
"977",2,"1-5"
"978",1,"0"
"979",1,"0"
"980",1,"0"
"981",1,"0"
"982",1,"0"
"983",2,"1-5"
"984",1,"0"
"985",1,"0"
"986",1,"0"
"987",1,"0"
"988",2,"1-5"
"989",2,"1-5"
"990",1,"0"
"991",1,"0"
"992",1,"0"
"993",2,"1-5"
"994",1,"0"
"995",1,"0"
"996",1,"0"
"997",1,"0"
"998",1,"0"
"999",3,"6+"
"1000",2,"1-5"
"1001",1,"0"
"1002",2,"1-5"
"1003",1,"0"
"1004",1,"0"
"1005",1,"0"
"1006",1,"0"
"1007",1,"0"
"1008",2,"1-5"
"1009",1,"0"
"1010",1,"0"
"1011",2,"1-5"
"1012",3,"6+"
"1013",1,"0"
"1014",1,"0"
"1015",2,"1-5"
"1016",1,"0"
"1017",1,"0"
"1018",1,"0"
"1019",2,"1-5"
"1020",1,"0"
"1021",2,"1-5"
"1022",1,"0"
"1023",3,"6+"
"1024",2,"1-5"
"1025",3,"6+"
"1026",2,"1-5"
"1027",3,"6+"
"1028",3,"6+"
"1029",3,"6+"
"1030",2,"1-5"
"1031",3,"6+"
"1032",3,"6+"
"1033",2,"1-5"
"1034",1,"0"
"1035",2,"1-5"
"1036",1,"0"
"1037",1,"0"
"1038",1,"0"
"1039",1,"0"
"1040",1,"0"
"1041",3,"6+"
"1042",3,"6+"
"1043",1,"0"
"1044",2,"1-5"
"1045",2,"1-5"
"1046",3,"6+"
"1047",2,"1-5"
"1048",1,"0"
"1049",1,"0"
"1050",2,"1-5"
"1051",3,"6+"
"1052",3,"6+"
"1053",1,"0"
"1054",1,"0"
"1055",2,"1-5"
"1056",1,"0"
"1057",2,"1-5"
"1058",3,"6+"
"1059",1,"0"
"1060",2,"1-5"
"1061",1,"0"
"1062",3,"6+"
"1063",3,"6+"
"1064",3,"6+"
"1065",3,"6+"
"1066",3,"6+"
"1067",3,"6+"
"1068",1,"0"
"1069",3,"6+"
"1070",3,"6+"
"1071",1,"0"
"1072",1,"0"
"1073",1,"0"
"1074",1,"0"
"1075",1,"0"
"1076",2,"1-5"
"1077",2,"1-5"
"1078",1,"0"
"1079",3,"6+"
"1080",2,"1-5"
"1081",1,"0"
"1082",1,"0"
"1083",1,"0"
"1084",1,"0"
"1085",3,"6+"
"1086",3,"6+"
"1087",1,"0"
"1088",1,"0"
"1089",1,"0"
"1090",1,"0"
"1091",1,"0"
"1092",2,"1-5"
"1093",1,"0"
"1094",3,"6+"
"1095",3,"6+"
"1096",2,"1-5"
