"","A","B","C","D","E"
"247","6","1","6","4","4"
"248","6","6","6","4","4"
"249","6","6","1","4","4"
"250","1","1","6","3","3"
"251","6","6","6","2","2"
"252","6","6","6","2","2"
"253","6","1","1","2","2"
"254","2","1","6","6","6"
"255","1","6","1","2","6"
"256","2","1","1","2","6"
"257","2","3","6","2","2"
"258","2","3","6","6","6"
"259","2","3","6","2","2"
"260","2","5","6","6","6"
"261","2","1","6","2","2"
"262","3","6","6","6","6"
"263","6","6","6","2","2"
"264","6","6","6","2","2"
"265","6","6","1","2","2"
"266","6","6","6","2","2"
"267","6","6","6","2","2"
"268","2","6","1","3","2"
"269","6","6","6","2","2"
