"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"11",0.91087,0.87189,0.91018,1.05367,0.94528,0.91336,0.82733,0.86525,0.91983,0.86168,0,1.02546,1.08887,0.97333,1.08819,1.33568,1.17268,0.95216,1.06392,0.96352,0.85031,1.05026,1.07089,0.10278,0.94531,1.00561,0.98621,1.04174,0.88024,0.98587,0.96582,0.92242,1.01051,0.95047,0.83495,0.96319,0.9408,0.99378,1.16484,0.96388,0.92599,1.188,1.21355,1.03262,0.95074,0.94369,0.9191,0.96423,1.05317,0.95564
"12",1.0084,0.95194,0.58854,1.1512,0.20342,0.98752,0.97155,0.92689,1.05215,0.97268,1.02546,0,1.20279,1.06784,1.14526,1.49634,1.26841,1.08345,1.1428,0.92851,0.96254,0.73485,1.11847,1.02128,0.25675,1.11648,1.08004,1.13447,0.83257,0.93872,0.63973,0.2382,0.96436,1.0097,0.92673,1.02557,0.95079,1.10242,1.24245,1.03994,1.01673,1.14208,1.18261,1.1228,0.20616,1.04691,1.03134,1.02138,1.16136,0.21815
"13",0.9149,1.01575,1.09298,1.16432,1.10634,1.05441,0.75478,0.96843,1.05049,0.94544,1.08887,1.20279,0,1.11273,1.19143,1.53075,1.32452,1.1305,1.27201,1.12463,0.96561,1.24978,1.20616,1.07541,1.13496,1.14106,1.14954,1.13993,1.0649,1.18955,1.09543,1.09094,1.23088,1.07475,0.97572,0.76662,1.14283,0.89022,1.29441,1.08298,1.00834,1.29398,1.44306,1.20129,1.10765,0.91645,0.8269,1.08141,0.94175,1.09207
"14",0.98919,0.74191,0.99944,1.06151,0.99194,0.92305,0.831,0.87709,0.95304,0.86154,0.97333,1.06784,1.11273,0,0.96865,1.39102,1.22813,0.39054,1.07756,1.04954,0.86665,1.11659,1.1891,0.96186,1.00022,1.01952,1.01549,1.0515,0.93724,1.06552,1.00269,0.97622,1.11093,0.95783,0.477,0.98975,1.0428,0.97182,1.03373,0.96098,0.92026,1.19743,1.27612,1.00861,1.02299,1.04295,0.91703,0.94982,1.00891,1.01
"15",1.13922,0.74051,1.09653,1.18543,1.09392,1.04912,0.96917,1.0076,1.06899,1.01241,1.08819,1.14526,1.19143,0.96865,0,1.55766,1.33532,0.97331,1.22066,1.13065,0.9988,1.20987,1.26904,1.09745,1.12599,1.17856,1.16339,1.16676,1.0238,1.16114,1.09862,1.11005,1.21081,1.0699,0.82132,1.07983,1.13378,1.10756,1.06111,1.08084,1.02018,1.31447,1.40362,1.1222,1.08773,1.12125,1.05033,1.06133,1.17171,1.09586
"16",1.41103,1.38947,1.43232,1.54212,1.41207,1.41064,1.28465,1.34607,1.4023,1.30754,1.33568,1.49634,1.53075,1.39102,1.55766,0,1.6164,1.38892,1.52226,1.4126,1.32495,1.52789,1.60226,1.29115,1.40306,1.51124,1.40425,1.49132,1.35285,1.46718,1.42494,1.38998,1.49742,1.43045,1.27904,1.42363,1.40291,1.46135,1.57137,1.42383,1.38327,1.73354,1.69791,1.45125,1.4228,1.45573,1.3831,1.4185,1.48213,1.45193
"17",1.18232,1.11358,1.15659,1.27319,1.22441,1.15502,1.04867,1.09788,1.17685,1.12918,1.17268,1.26841,1.32452,1.22813,1.33532,1.6164,0,1.2059,1.33978,1.21702,1.10035,1.31941,1.31459,1.15995,1.20033,1.2411,0.64193,1.23537,1.13871,1.23399,1.20253,1.18461,1.29926,1.21589,1.05872,1.19988,1.21299,1.22004,1.37047,1.14145,1.09914,1.30686,1.53481,1.20081,1.2239,1.22307,1.13748,1.13503,1.27906,1.20877
"18",0.99766,0.7583,1.00108,1.04921,1.00645,0.9184,0.81534,0.88571,1.00486,0.84683,0.95216,1.08345,1.1305,0.39054,0.97331,1.38892,1.2059,0,1.11961,1.05494,0.90137,1.15127,1.16009,0.9439,1.04392,1.05674,1.03271,1.04519,0.91557,1.04665,1.05279,1.01399,1.07944,0.96089,0.46198,0.94459,1.06005,0.98279,1.08509,0.96134,0.91073,1.19313,1.2844,1.01305,1.02158,1.01981,0.92029,0.95537,1.04699,1.01512
"19",1.11093,0.94661,1.05508,0.96371,1.10115,0.97244,0.96309,0.74693,0.97923,0.91485,1.06392,1.1428,1.27201,1.07756,1.22066,1.52226,1.33978,1.11961,0,1.12516,0.90662,1.1656,1.30186,1.07344,1.08261,1.05713,1.14933,0.96221,1.01114,1.18376,1.11909,1.05041,1.15942,1.03446,0.94869,1.0868,1.11528,1.12315,1.33096,1.05607,0.9683,1.23399,1.34108,1.09527,1.09444,1.14911,1.008,1.04108,1.16775,1.10967
"20",0.99527,0.95328,0.8558,1.12875,0.86719,0.94887,0.92972,0.93543,0.98229,0.92819,0.96352,0.92851,1.12463,1.04954,1.13065,1.4126,1.21702,1.05494,1.12516,0,0.92475,1.0151,1.09908,0.93715,0.86773,1.07722,1.03631,1.09299,0.53029,0.44132,0.88411,0.83654,0.4738,0.96919,0.90156,0.98055,0.07938,1.06821,1.20039,1.01994,0.96984,1.11941,0.87872,1.05732,0.87101,1.01637,0.99615,1.00695,1.14274,0.88014
"21",0.8889,0.76537,0.87844,0.84298,0.87958,0.78969,0.71288,0.65051,0.65491,0.29386,0.85031,0.96254,0.96561,0.86665,0.9988,1.32495,1.10035,0.90137,0.90662,0.92475,0,0.99619,1.02002,0.85241,0.89488,0.73626,0.90409,0.79865,0.80956,0.93623,0.85714,0.86417,0.95915,0.81522,0.75194,0.7776,0.93949,0.9004,1.05945,0.78643,0.72783,1.08635,1.1125,0.83857,0.88736,0.90348,0.80739,0.76948,0.92564,0.8971
"22",1.07881,0.97468,0.29392,1.15217,0.66406,0.99554,0.9383,0.98412,1.07904,1.01193,1.05026,0.73485,1.24978,1.11659,1.20987,1.52789,1.31941,1.15127,1.1656,1.0151,0.99619,0,1.10874,1.02167,0.67312,1.14327,1.13972,1.14683,0.88015,1.04033,0.47684,0.64742,1.0379,1.07758,0.96357,1.05378,1.01184,1.08357,1.30808,1.10158,1.01049,1.23197,1.19867,1.16366,0.67314,1.05968,1.03387,1.07965,1.16889,0.69093
"23",1.15017,1.03086,1.00432,1.17773,1.02538,1.10457,1.00536,1.00038,1.13402,1.0579,1.07089,1.11847,1.20616,1.1891,1.26904,1.60226,1.31459,1.16009,1.30186,1.09908,1.02002,1.10874,0,1.07243,1.04377,1.21207,1.15549,1.20711,1.00303,1.15032,0.99392,1.02678,1.13859,1.12153,1.01818,1.10833,1.06381,1.16722,1.33615,1.08475,1.05755,0.68481,1.31907,1.17672,1.02489,1.12968,1.08938,1.07573,1.24024,1.0602
"24",0.9164,0.8675,0.91535,1.06635,0.92785,0.92343,0.84024,0.88956,0.90716,0.8517,0.10278,1.02128,1.07541,0.96186,1.09745,1.29115,1.15995,0.9439,1.07344,0.93715,0.85241,1.02167,1.07243,0,0.94488,0.98014,0.96994,1.0006,0.8774,0.98533,0.97713,0.92758,1.00029,0.96209,0.82225,0.9421,0.93155,0.98715,1.18357,0.96901,0.90991,1.18253,1.21757,1.0091,0.94258,0.93128,0.90578,0.95414,1.06122,0.93853
"25",0.93448,0.90501,0.53347,1.04917,0.20165,0.92858,0.87256,0.8864,0.99362,0.91636,0.94531,0.25675,1.13496,1.00022,1.12599,1.40306,1.20033,1.04392,1.08261,0.86773,0.89488,0.67312,1.04377,0.94488,0,1.04176,1.02975,1.06689,0.78299,0.89259,0.56469,0.04901,0.92588,0.9764,0.87961,0.95553,0.86608,1.00633,1.19848,0.96101,0.93733,1.09404,1.08801,1.05691,0.1991,0.97814,0.94766,0.94381,1.06501,0.20995
"26",1.00474,0.92815,1.01122,1.01258,1.04528,0.93217,0.88974,0.80769,0.21535,0.72012,1.00561,1.11648,1.14106,1.01952,1.17856,1.51124,1.2411,1.05674,1.05713,1.07722,0.73626,1.14327,1.21207,0.98014,1.04176,0,1.085,0.99044,0.98016,1.09847,1.05033,1.02344,1.13469,0.96991,0.91805,0.97392,1.11057,1.04306,1.28198,0.99311,0.88135,1.25221,1.28479,1.00515,1.05074,1.05218,0.94403,0.96797,1.07566,1.05611
"27",1.00417,0.91064,0.9951,1.09913,1.01377,0.99922,0.85503,0.91759,0.99631,0.91833,0.98621,1.08004,1.14954,1.01549,1.16339,1.40425,0.64193,1.03271,1.14933,1.03631,0.90409,1.13972,1.15549,0.96994,1.02975,1.085,0,1.12309,0.93438,1.0749,1.00843,1.0135,1.085,1.00582,0.91643,1.02858,1.0319,1.07062,1.2356,0.99699,0.96224,1.15664,1.32634,1.06626,1.02567,1.03087,0.96481,0.98463,1.06826,1.03142
"28",1.03874,0.97754,1.04918,0.55217,1.07576,0.94148,0.90833,0.68799,0.91808,0.83113,1.04174,1.13447,1.13993,1.0515,1.16676,1.49132,1.23537,1.04519,0.96221,1.09299,0.79865,1.14683,1.20711,1.0006,1.06689,0.99044,1.12309,0,0.95139,1.11943,1.04598,1.04441,1.17925,0.99205,0.91417,0.99715,1.08564,1.03679,1.25461,0.95744,0.88352,1.22344,1.31621,1.00174,1.08439,1.10678,0.9546,0.95598,1.07226,1.0871
"29",0.94273,0.84145,0.72019,0.96166,0.7517,0.83935,0.78869,0.81429,0.89094,0.81541,0.88024,0.83257,1.0649,0.93724,1.0238,1.35285,1.13871,0.91557,1.01114,0.53029,0.80956,0.88015,1.00303,0.8774,0.78299,0.98016,0.93438,0.95139,0,0.55073,0.75582,0.75402,0.58236,0.88714,0.77863,0.8924,0.54305,0.93105,1.12009,0.88358,0.84778,1.02956,0.5951,0.94316,0.75385,0.93203,0.86155,0.8687,1.02011,0.77037
"30",1.03149,0.93551,0.90392,1.11086,0.88526,0.94583,0.9373,0.96605,1.00867,0.96843,0.98587,0.93872,1.18955,1.06552,1.16114,1.46718,1.23399,1.04665,1.18376,0.44132,0.93623,1.04033,1.15032,0.98533,0.89259,1.09847,1.0749,1.11943,0.55073,0,0.88353,0.85821,0.29488,0.99529,0.90812,1.04202,0.45058,1.06281,1.24845,1.03114,0.97886,1.16507,0.87872,1.05426,0.87581,1.09102,1.01378,1.01174,1.14199,0.89884
"31",1.00357,0.8994,0.31218,1.04763,0.55103,0.92145,0.81019,0.87786,0.96822,0.8562,0.96582,0.63973,1.09543,1.00269,1.09862,1.42494,1.20253,1.05279,1.11909,0.88411,0.85714,0.47684,0.99392,0.97713,0.56469,1.05033,1.00843,1.04598,0.75582,0.88353,0,0.54177,0.92911,0.96371,0.87236,0.92371,0.88911,1.00678,1.2243,0.99133,0.9083,1.06649,1.06411,1.05791,0.55182,0.98349,0.90859,0.96009,1.04941,0.559
"32",0.91216,0.8841,0.50227,1.03284,0.17686,0.92215,0.84333,0.8652,0.95202,0.87594,0.92242,0.2382,1.09094,0.97622,1.11005,1.38998,1.18461,1.01399,1.05041,0.83654,0.86417,0.64742,1.02678,0.92758,0.04901,1.02344,1.0135,1.04441,0.75402,0.85821,0.54177,0,0.90198,0.9595,0.8499,0.92178,0.83013,0.96686,1.18115,0.94053,0.90623,1.08413,1.07404,1.03838,0.17443,0.95652,0.92441,0.92339,1.0362,0.18299
"33",1.06285,0.93203,0.90041,1.16227,0.90514,0.98453,0.96578,0.97697,1.02052,0.93133,1.01051,0.96436,1.23088,1.11093,1.21081,1.49742,1.29926,1.07944,1.15942,0.4738,0.95915,1.0379,1.13859,1.00029,0.92588,1.13469,1.085,1.17925,0.58236,0.29488,0.92911,0.90198,0,1.03312,0.91454,1.03952,0.47868,1.07764,1.27197,1.02795,0.95362,1.20153,0.89578,1.04152,0.91751,1.09842,1.02925,1.01096,1.14916,0.93044
"34",0.92667,0.84733,0.92846,0.97651,0.94473,0.09493,0.8321,0.82261,0.87301,0.82698,0.95047,1.0097,1.07475,0.95783,1.0699,1.43045,1.21589,0.96089,1.03446,0.96919,0.81522,1.07758,1.12153,0.96209,0.9764,0.96991,1.00582,0.99205,0.88714,0.99529,0.96371,0.9595,1.03312,0,0.83924,0.91881,0.98987,1.03833,1.19523,0.7792,0.56256,1.19969,1.28226,0.66577,0.95442,0.97451,0.92678,0.77147,1.03136,0.95791
"35",0.83414,0.5973,0.85629,0.91945,0.85788,0.80606,0.69684,0.7076,0.84363,0.72088,0.83495,0.92673,0.97572,0.477,0.82132,1.27904,1.05872,0.46198,0.94869,0.90156,0.75194,0.96357,1.01818,0.82225,0.87961,0.91805,0.91643,0.91417,0.77863,0.90812,0.87236,0.8499,0.91454,0.83924,0,0.81195,0.89505,0.83271,0.90481,0.81814,0.75927,1.08046,1.12854,0.9031,0.85966,0.86002,0.78412,0.80779,0.93223,0.85993
"36",0.75164,0.82375,0.90763,0.9813,0.93938,0.87464,0.5699,0.78964,0.89192,0.77926,0.96319,1.02557,0.76662,0.98975,1.07983,1.42363,1.19988,0.94459,1.0868,0.98055,0.7776,1.05378,1.10833,0.9421,0.95553,0.97392,1.02858,0.99715,0.8924,1.04202,0.92371,0.92178,1.03952,0.91881,0.81195,0,0.99747,0.72299,1.1634,0.91908,0.85548,1.19243,1.21469,0.97236,0.95383,0.751,0.66578,0.90943,0.78184,0.95646
"37",1.02868,0.94213,0.86706,1.12667,0.8639,0.98181,0.9246,0.93305,0.98726,0.92239,0.9408,0.95079,1.14283,1.0428,1.13378,1.40291,1.21299,1.06005,1.11528,0.07938,0.93949,1.01184,1.06381,0.93155,0.86608,1.11057,1.0319,1.08564,0.54305,0.45058,0.88911,0.83013,0.47868,0.98987,0.89505,0.99747,0,1.08947,1.22102,1.01739,0.97519,1.12295,0.88089,1.08375,0.87298,1.04146,0.98838,1.00868,1.15458,0.88073
"38",0.67063,0.89939,0.9871,1.05053,0.98784,0.98717,0.33944,0.87419,0.96688,0.91886,0.99378,1.10242,0.89022,0.97182,1.10756,1.46135,1.22004,0.98279,1.12315,1.06821,0.9004,1.08357,1.16722,0.98715,1.00633,1.04306,1.07062,1.03679,0.93105,1.06281,1.00678,0.96686,1.07764,1.03833,0.83271,0.72299,1.08947,0,1.12492,0.97752,0.91317,1.2309,1.26977,1.0003,0.99818,0.66994,0.15785,0.97485,0.43088,1.00439
"39",1.17888,0.88163,1.17526,1.23494,1.21888,1.15435,1.00411,1.10134,1.15522,1.07954,1.16484,1.24245,1.29441,1.03373,1.06111,1.57137,1.37047,1.08509,1.33096,1.20039,1.05945,1.30808,1.33615,1.18357,1.19848,1.28198,1.2356,1.25461,1.12009,1.24845,1.2243,1.18115,1.27197,1.19523,0.90481,1.1634,1.22102,1.12492,0,1.15403,1.13132,1.41243,1.45616,1.22782,1.22333,1.16924,1.07899,1.15542,1.20769,1.23703
"40",0.95281,0.86576,0.9776,0.9769,0.9517,0.7298,0.79688,0.80778,0.89266,0.80744,0.96388,1.03994,1.08298,0.96098,1.08084,1.42383,1.14145,0.96134,1.05607,1.01994,0.78643,1.10158,1.08475,0.96901,0.96101,0.99311,0.99699,0.95744,0.88358,1.03114,0.99133,0.94053,1.02795,0.7792,0.81814,0.91908,1.01739,0.97752,1.15403,0,0.72678,1.09502,1.22757,0.83662,0.9642,0.97812,0.89568,0.02121,1.02231,0.96156
"41",0.87329,0.77578,0.89267,0.90633,0.91388,0.53262,0.75127,0.7375,0.82663,0.74031,0.92599,1.01673,1.00834,0.92026,1.02018,1.38327,1.09914,0.91073,0.9683,0.96984,0.72783,1.01049,1.05755,0.90991,0.93733,0.88135,0.96224,0.88352,0.84778,0.97886,0.9083,0.90623,0.95362,0.56256,0.75927,0.85548,0.97519,0.91317,1.13132,0.72678,0,1.14192,1.23304,0.26631,0.92417,0.89982,0.83691,0.71232,0.94345,0.92596
"42",1.2522,1.08676,1.05893,1.24076,1.08929,1.17209,1.07827,1.06577,1.1813,1.11457,1.188,1.14208,1.29398,1.19743,1.31447,1.73354,1.30686,1.19313,1.23399,1.11941,1.08635,1.23197,0.68481,1.18253,1.09404,1.25221,1.15664,1.22344,1.02956,1.16507,1.06649,1.08413,1.20153,1.19969,1.08046,1.19243,1.12295,1.2309,1.41243,1.09502,1.14192,0,1.33142,1.26947,1.09133,1.29651,1.14973,1.08223,1.32515,1.12321
"43",1.27207,1.17675,1.04873,1.34655,1.07483,1.21217,1.14156,1.14004,1.23309,1.16682,1.21355,1.18261,1.44306,1.27612,1.40362,1.69791,1.53481,1.2844,1.34108,0.87872,1.1125,1.19867,1.31907,1.21757,1.08801,1.28479,1.32634,1.31621,0.5951,0.87872,1.06411,1.07404,0.89578,1.28226,1.12854,1.21469,0.88089,1.26977,1.45616,1.22757,1.23304,1.33142,0,1.28358,1.07565,1.30244,1.21825,1.20784,1.39541,1.09305
"44",0.98347,0.89306,1.04746,1.01453,1.07474,0.63983,0.86554,0.86281,0.96498,0.85798,1.03262,1.1228,1.20129,1.00861,1.1222,1.45125,1.20081,1.01305,1.09527,1.05732,0.83857,1.16366,1.17672,1.0091,1.05691,1.00515,1.06626,1.00174,0.94316,1.05426,1.05791,1.03838,1.04152,0.66577,0.9031,0.97236,1.08375,1.0003,1.22782,0.83662,0.26631,1.26947,1.28358,0,1.07459,1.01286,0.93679,0.82637,1.05704,1.07695
"45",0.9598,0.87982,0.52581,1.09442,0.03556,0.91014,0.86432,0.87714,0.96193,0.90863,0.95074,0.20616,1.10765,1.02299,1.08773,1.4228,1.2239,1.02158,1.09444,0.87101,0.88736,0.67314,1.02489,0.94258,0.1991,1.05074,1.02567,1.08439,0.75385,0.87581,0.55182,0.17443,0.91751,0.95442,0.85966,0.95383,0.87298,0.99818,1.22333,0.9642,0.92417,1.09133,1.07565,1.07459,0,0.99743,0.93632,0.93897,1.07339,0.05608
"46",0.2933,0.90438,1.00184,1.02549,0.98119,0.96126,0.53631,0.87329,0.96864,0.90485,0.94369,1.04691,0.91645,1.04295,1.12125,1.45573,1.22307,1.01981,1.14911,1.01637,0.90348,1.05968,1.12968,0.93128,0.97814,1.05218,1.03087,1.10678,0.93203,1.09102,0.98349,0.95652,1.09842,0.97451,0.86002,0.751,1.04146,0.66994,1.16924,0.97812,0.89982,1.29651,1.30244,1.01286,0.99743,0,0.60248,0.96648,0.71098,1.00233
"47",0.59983,0.82241,0.91321,0.97406,0.92741,0.89261,0.27502,0.81265,0.89008,0.8097,0.9191,1.03134,0.8269,0.91703,1.05033,1.3831,1.13748,0.92029,1.008,0.99615,0.80739,1.03387,1.08938,0.90578,0.94766,0.94403,0.96481,0.9546,0.86155,1.01378,0.90859,0.92441,1.02925,0.92678,0.78412,0.66578,0.98838,0.15785,1.07899,0.89568,0.83691,1.14973,1.21825,0.93679,0.93632,0.60248,0,0.89357,0.37151,0.93812
"48",0.93364,0.84619,0.95511,0.96785,0.9262,0.72122,0.79168,0.78909,0.87211,0.80428,0.96423,1.02138,1.08141,0.94982,1.06133,1.4185,1.13503,0.95537,1.04108,1.00695,0.76948,1.07965,1.07573,0.95414,0.94381,0.96797,0.98463,0.95598,0.8687,1.01174,0.96009,0.92339,1.01096,0.77147,0.80779,0.90943,1.00868,0.97485,1.15542,0.02121,0.71232,1.08223,1.20784,0.82637,0.93897,0.96648,0.89357,0,1.01612,0.94077
"49",0.7105,0.94787,1.04264,1.10486,1.06494,0.98616,0.41476,0.90351,0.98414,0.94276,1.05317,1.16136,0.94175,1.00891,1.17171,1.48213,1.27906,1.04699,1.16775,1.14274,0.92564,1.16889,1.24024,1.06122,1.06501,1.07566,1.06826,1.07226,1.02011,1.14199,1.04941,1.0362,1.14916,1.03136,0.93223,0.78184,1.15458,0.43088,1.20769,1.02231,0.94345,1.32515,1.39541,1.05704,1.07339,0.71098,0.37151,1.01612,0,1.06832
"50",0.97611,0.89729,0.53694,1.09308,0.05613,0.93065,0.86691,0.88742,0.96977,0.9256,0.95564,0.21815,1.09207,1.01,1.09586,1.45193,1.20877,1.01512,1.10967,0.88014,0.8971,0.69093,1.0602,0.93853,0.20995,1.05611,1.03142,1.0871,0.77037,0.89884,0.559,0.18299,0.93044,0.95791,0.85993,0.95646,0.88073,1.00439,1.23703,0.96156,0.92596,1.12321,1.09305,1.07695,0.05608,1.00233,0.93812,0.94077,1.06832,0
"51",0,0.97731,1.1114,0.31792,0.5394,0.60976,0.89419,0.60123,1.01588,0.9123,0.49895,0.8893,0.89392,1.0465,1.18172,0.83978,0.91851,1.13137,0.78277,0.83468,0.92247,0.94032,1.0659,1.08897,0.30848,0.96906,0.9938,0.79731,1.10426,0.58839,0.76485,0.783,0.85756,0.88294,0.90723,0.81027,0.81349,0.82194,0.92332,0.60819,0.87085,0.85506,0.98761,1.09675,1.12595,0.51671,0.93886,0.7715,1.06822,0.87618
"52",0.97731,0,1.13495,0.95217,0.91029,1.00105,0.94293,0.99246,1.13642,0.25934,0.96042,0.98105,0.94067,1.15683,1.27003,0.93248,0.63816,0.90063,0.89749,0.9715,0.6407,1.04921,1.11403,0.80464,0.91756,1.09406,1.17718,0.94132,1.16711,0.97355,0.92335,0.97778,0.91838,0.97277,1.0193,0.91825,0.95952,0.94194,1.038,1.05327,0.93057,0.97873,1.15034,1.14391,0.43007,0.97122,1.0396,1.12546,0.76868,1.02029
"53",1.1114,1.13495,0,1.05918,1.03277,1.0914,1.02821,1.07982,1.25381,1.10642,1.05941,0.92996,1.01744,1.28861,1.24913,1.02085,1.07995,1.36666,1.00268,1.00799,1.10178,1.13075,1.05842,1.23878,1.04664,1.10998,1.24822,1.02947,0.71611,1.07542,0.99834,1.07263,0.88482,0.91447,1.08085,0.98754,1.08444,1.03904,1.24219,1.13675,0.65094,1.10163,1.23854,0.85687,1.32797,1.05439,1.15184,1.21129,1.21504,1.08344
"54",0.31792,0.95217,1.05918,0,0.53284,0.57711,0.8558,0.56631,1.02944,0.91614,0.48956,0.87136,0.87075,1.0288,1.17868,0.84599,0.87694,1.13571,0.76256,0.81348,0.88678,0.90994,1.01524,1.05871,0.06105,0.9561,0.95753,0.77916,1.07042,0.5673,0.77004,0.77251,0.85813,0.87189,0.88292,0.769,0.78587,0.79954,0.89586,0.59926,0.82821,0.86857,0.95863,1.07548,1.05794,0.49146,0.93815,0.75275,1.05891,0.87541
