"","hypo.p","kidney.p","liver.p"
"1415722_a_at",0.347097764,0.096789901,0.319699604
"1415723_at",0.189947094,0.221842471,0.56493517
"1415724_a_at",0.823744748,0.656671597,0.635157024
"1415725_at",0.082790292,0.003270098,0.767814051
"1415726_at",0.105467923,0.010312925,0.915714742
"1415727_at",0.102114171,0.100744421,0.601861735
"1415728_at",0.340653006,0.038618781,0.266821615
"1415729_at",0.016191948,0.033730424,0.912907855
"1415730_at",0.430995051,0.090753244,0.7876269
"1415731_at",0.228742738,0.326912618,0.901831797
"1415732_at",0.291324882,0.187888725,0.55329228
"1415733_a_at",0.955124463,0.764951367,0.20685504
"1415734_at",0.496125519,0.367239717,0.063502954
"1415735_at",0.257638484,0.782547812,0.78638865
"1415736_at",0.694630094,0.739586913,0.396370232
"1415737_at",0.210655817,0.81674087,0.109788504
"1415738_at",0.297266618,0.188185751,0.993145176
"1415739_at",0.287684609,0.857371978,0.495403822
"1415740_at",0.890095361,0.229635292,0.398414801
"1415741_at",0.949569575,0.20584886,0.468711739
"1415742_at",0.079771839,0.007786898,0.616082524
"1415743_at",0.018687272,0.025413495,0.100494276
"1415744_at",0.433859843,0.832150402,0.129325093
"1415745_a_at",0.938025832,0.768212973,0.593886201
"1415746_at",0.063267944,0.006537496,0.960584253
"1415747_s_at",0.626605903,0.965860487,0.170776466
"1415748_a_at",0.864267769,0.219613942,0.693858815
"1415749_a_at",0.54467644,0.303683148,0.680805197
"1415750_at",0.223006083,0.618764107,0.848643328
"1415751_at",0.388412272,0.170923124,0.301151656
"1415752_at",0.915693796,0.840416921,0.460346808
"1415753_at",0.373115069,0.795764395,0.295032586
"1415754_at",0.19101763,0.239121463,0.967315783
"1415755_a_at",0.856383121,0.261984528,0.668458205
"1415756_a_at",0.702142997,0.026862179,0.180619234
"1415757_at",0.400504952,0.947230613,0.337200073
"1415758_at",0.194487025,0.001992691,0.803933089
"1415759_a_at",0.121427871,0.082275237,0.912341343
"1415760_s_at",0.142231137,0.082559035,0.39786414
"1415761_at",0.261847619,0.115460489,0.602891008
"1415762_x_at",0.364603913,0.13444604,0.639308588
"1415763_a_at",0.966835991,0.93074581,0.495024397
"1415764_at",0.056381033,0.024773531,0.925320009
"1415765_at",0.339042339,0.45929061,0.969133372
"1415766_at",0.034293574,0.027425417,0.899786584
"1415767_at",0.799548398,0.287084244,0.46301402
"1415768_a_at",0.455289056,0.115865649,0.427628986
"1415769_at",0.918810318,0.454350751,0.207312238
"1415771_at",0.652133612,0.082115979,0.975572791
"1415773_at",0.707905854,0.153078406,0.773860619
"1415775_at",0.5177602,0.320336422,0.704502339
"1415778_at",0.10500718,0.004752736,0.70324494
"1415779_s_at",0.404478356,0.211967906,0.246982349
"1415781_a_at",0.689445881,0.159004883,0.460935923
"1415782_at",0.994499167,0.243402379,0.278135134
"1415783_at",0.878235286,0.839108883,0.618445655
"1415784_at",0.671136748,0.899820399,0.462734287
"1415785_a_at",0.548852041,0.909061861,0.483284013
"1415787_at",0.661432079,0.54551091,0.453941231
"1415788_at",0.500336888,0.289362977,0.921556916
"1415789_a_at",0.355674422,0.226542588,0.898528849
"1415790_at",0.630923423,0.551764109,0.873085359
"1415791_at",0.299201077,0.597328697,0.372074929
"1415792_at",0.675840618,0.501948342,0.740601135
"1415794_a_at",0.030381659,0.002060608,0.902112828
"1415795_at",0.300307104,0.005204662,0.955098041
"1415796_at",0.209596479,0.19699889,0.606181335
"1415799_at",0.478082139,0.833908481,0.077312277
"1415800_at",0.027524808,1.66e-06,0.067380259
"1415802_at",0.049534685,0.665851122,0.437689425
"1415807_s_at",0.797883151,0.395430791,0.170233369
"1415812_at",0.079276822,0.195479788,0.189837072
"1415813_at",0.840576818,0.963499006,0.621204349
"1415814_at",0.346608805,0.227408173,0.173051201
"1415816_at",0.332682475,0.707809818,0.039010026
"1415817_s_at",0.22466673,0.970983427,0.045401788
"1415819_a_at",0.288461237,0.010778855,0.660871762
"1415820_x_at",0.632701993,0.214837088,0.294942892
"1415821_at",0.091029423,0.02134475,0.593053108
"1415822_at",0.419000385,5.12e-05,0.138800146
"1415824_at",0.006113911,2.61e-06,0.382200876
"1415825_s_at",0.47557333,0.099690628,0.567475863
"1415826_at",0.560605781,0.804696106,0.845325743
"1415827_a_at",0.5333862,0.127905307,0.314740435
"1415828_a_at",0.075559617,0.046685498,0.385589404
"1415829_at",0.354253959,0.708062612,0.394507852
"1415830_at",0.554911987,0.891391771,0.298626516
"1415831_at",0.93977562,0.597496742,0.312062066
"1415833_x_at",0.819288664,0.134974505,0.155763409
"1415838_at",0.025837264,0.028258061,0.280915389
"1415839_a_at",0.888352965,0.395832542,0.424440916
"1415840_at",0.125371077,0.179603713,0.744341363
"1415841_at",0.862279213,0.245335487,0.172181465
"1415849_s_at",0.622187052,0.007254442,0.261333136
"1415851_a_at",0.192507626,0.771169811,0.129420526
"1415852_at",0.082938591,0.94944842,0.06603955
"1415856_at",0.168230899,0.006622692,0.219341208
"1415858_at",0.242416213,0.816028472,0.352634334
"1415859_at",0.316785094,0.978909578,0.224885483
"1415860_at",0.324447309,0.544835138,0.022626186
"1415863_at",0.906919025,0.92859319,0.863428293
"1415866_at",0.944848721,0.878078182,0.835178461
"1415867_at",0.168382022,0.633807772,0.173305324
"1415869_a_at",0.940362014,0.333106594,0.026608386
"1415870_at",0.745616668,0.482808233,0.63808456
"1415872_at",0.146617707,0.005749653,0.163985706
"1415873_a_at",0.825607624,0.276794628,0.27907121
"1415876_a_at",0.774465971,0.486899718,0.525803369
"1415879_a_at",0.664905746,0.135521732,0.714637279
"1415880_a_at",0.09857237,0.06693221,0.303544274
"1415881_at",0.23012158,0.523241741,0.089853339
"1415882_at",0.580717879,0.572813201,0.53301645
"1415887_at",0.832192692,0.639264486,0.940955824
"1415888_at",0.03098007,0.061073003,0.208557142
"1415889_a_at",0.717199013,0.873360172,0.384600994
"1415891_at",0.097071175,0.017379784,0.816144871
"1415894_at",0.903663707,0.624678547,0.916110556
"1415897_a_at",0.437573219,0.109950864,0.787861922
"1415903_at",0.008113742,0.001888988,0.847136327
"1415904_at",0.963583861,0.379750209,0.087726086
"1415906_at",0.258098234,0.022065746,0.759311379
"1415908_at",0.065806139,0.03257304,0.69215671
"1415909_at",0.826033189,0.04146352,0.278880377
"1415912_a_at",0.978785565,0.435216275,0.564999796
"1415914_at",0.336387628,0.929741676,0.769014825
"1415915_at",0.989448933,0.963171956,0.305720633
"1415918_a_at",0.362138938,0.125376758,0.313213275
"1415920_at",0.250450125,0.347840088,0.695154934
"1415922_s_at",0.795021242,0.00226879,0.0407256
"1415925_a_at",0.202221169,0.952690356,0.011872769
"1415928_a_at",0.42009849,0.537010227,0.200066054
"1415929_at",0.441825914,0.613024474,0.176559353
"1415930_a_at",0.960256757,0.496046399,0.998825616
"1415932_x_at",0.159182871,0.036671769,0.752782242
"1415933_a_at",0.898852348,0.471329518,0.678454884
"1415934_at",0.594116254,0.490947114,0.259494781
"1415936_at",0.582060613,0.280298444,0.327220616
"1415942_at",0.306216812,0.232555542,0.092408898
"1415947_at",0.70973787,0.038445675,0.281402169
"1415948_at",0.890835666,0.184082094,0.322055867
"1415950_a_at",0.084155278,0.17568803,0.203203752
"1415953_s_at",0.551687929,0.440715039,0.593527102
"1415957_a_at",0.977035738,0.077477774,0.027627991
"1415961_at",0.146617899,0.00056545,0.525427713
"1415962_at",0.68537155,0.808588021,0.470705258
"1415963_at",0.100642011,0.182333146,0.779360377
"1415964_at",0.005933427,0.259778338,0.120066107
"1415965_at",0.002769924,0.915580206,0.161864653
"1415966_a_at",0.224385561,0.008212862,0.19663737
"1415967_at",0.124941408,0.028846457,0.22862954
"1415968_a_at",0.008271149,0.000718553,0.083904165
"1415970_at",0.63513529,0.894795278,0.761983838
"1415971_at",0.003361861,9.36e-05,0.729555803
"1415972_at",0.001783136,1.79e-05,0.533682366
"1415975_at",0.577987233,0.185032806,0.898519725
"1415979_x_at",0.658076989,0.772475557,0.999701833
"1415980_at",0.530772181,0.356954324,0.09762446
"1415981_at",0.426996433,0.53804334,0.955228819
"1415982_at",0.234012126,0.334062917,0.111317414
"1415984_at",0.239977423,0.023738865,0.061616176
"1415985_at",0.739651631,0.300301499,0.673212655
"1415986_at",0.214453272,0.064158748,0.443935489
"1415987_at",0.126508355,0.135951009,0.944703538
"1415989_at",0.242981992,0.766814354,0.835631156
"1415990_at",0.043711213,0.688884243,0.196455423
"1415991_a_at",0.910588296,0.309097111,0.069443727
"1415992_at",0.087666177,0.033266149,0.942483353
"1415993_at",0.129172475,0.580004077,0.015511544
"1415994_at",0.228406535,0.033676294,0.084838502
"1415998_at",0.435666486,0.291880928,0.069164907
"1416000_a_at",0.709891317,0.101638262,0.311175625
"1416004_at",0.039798308,0.003415388,0.987673145
"1416005_at",0.597483257,0.447615898,0.664626197
"1416009_at",0.83033785,0.053471379,0.655618475
"1416010_a_at",0.040156876,0.00237273,0.339199545
"1416013_at",0.974131491,0.059996608,0.488544599
"1416015_s_at",0.244970307,0.746722833,0.586567761
"1416018_at",0.550889961,0.321848831,0.303445557
"1416019_at",0.043669697,0.111347325,0.051632038
"1416020_a_at",0.579226013,0.08809799,0.096282895
"1416021_a_at",0.002839995,0.004912676,0.666175426
"1416022_at",0.006388592,0.010134208,0.664554764
"1416024_x_at",0.494679281,0.792990948,0.097365192
"1416026_a_at",0.813397875,0.850933147,0.643159329
"1416027_at",0.653418042,0.405068833,0.335602195
"1416028_a_at",0.320588639,0.61001,0.011718958
"1416029_at",0.566716651,0.670976025,0.838388972
"1416034_at",0.029304133,0.709547779,0.926978134
"1416036_at",0.683385403,0.073186984,0.089937748
"1416037_a_at",0.214147464,0.748960045,0.254016438
"1416045_a_at",0.935489796,0.268393413,0.087419504
"1416046_a_at",0.01330907,0.041845433,0.044984982
"1416048_at",0.524780812,0.088532843,0.996262591
"1416050_a_at",0.84895175,0.488696044,0.26773072
"1416054_at",0.62967,0.85205821,0.664205927
"1416056_a_at",0.760798207,0.609637204,0.081165757
"1416057_at",0.917685357,0.568079064,0.051422222
"1416058_s_at",0.248941824,0.0762352,0.302061771
"1416059_at",0.379806394,0.795869938,0.830871783
"1416060_at",0.309839664,0.849496856,0.666077144
"1416064_a_at",0.852267186,0.823075052,0.534504237
"1416065_a_at",0.920349145,0.281094273,0.175142517
"1416067_at",0.386823914,0.041214322,0.144957427
"1416068_at",0.09547205,0.487200765,0.908190039
"1416070_a_at",0.094361061,0.121257118,0.403853445
"1416071_at",0.050276643,0.209877451,0.185704173
"1416074_a_at",0.584401348,0.927625368,0.924244217
"1416078_s_at",0.903130812,0.875924161,0.937140166
"1416079_a_at",0.704155624,0.694284398,0.286218816
"1416082_at",0.570278173,0.581343987,0.41571943
"1416083_at",0.087720713,0.009126067,0.876251815
"1416085_s_at",0.273506637,0.048247659,0.622086712
"1416086_at",0.876290708,0.901554869,0.710655164
"1416087_at",0.582415761,0.149936091,0.692222069
"1416088_a_at",0.706052927,0.326331759,0.689155365
"1416089_at",0.999486007,0.329230426,0.920758728
"1416090_at",0.42405925,0.359554121,0.560297152
"1416091_at",0.279709373,0.006340568,0.185363169
"1416092_a_at",0.675519617,0.108492702,0.172999301
"1416093_a_at",0.108502601,0.054406208,0.33220811
"1416094_at",0.638614271,0.909050049,0.187150198
"1416095_x_at",0.866309831,0.781701921,0.393902824
"1416096_at",0.224873266,0.844742133,0.840180963
"1416099_at",0.292064589,0.535099425,0.723309565
"1416100_at",0.400159298,0.894136585,0.3804115
"1416101_a_at",0.363011856,0.412238244,0.118337518
"1416102_at",0.371743155,0.022113271,0.682989372
"1416104_at",0.22012358,0.071765511,0.472250177
"1416105_at",0.067267382,0.004488882,0.200599307
"1416106_at",0.276895452,0.041243447,0.915751028
"1416108_a_at",0.098667712,0.61727606,0.407538014
"1416109_at",0.006585915,0.002499021,0.745337819
"1416110_at",0.151262504,0.54241575,0.100198585
"1416112_at",0.980433914,0.914240402,0.012020303
"1416113_at",0.83727432,0.728987773,0.528571422
"1416115_at",0.323076039,0.266466385,0.960078881
"1416119_at",0.533827893,0.2776556,0.121899757
"1416125_at",0.167467519,0.78617521,0.630970526
"1416127_a_at",0.116986894,0.169391597,0.188454009
"1416128_at",0.154044586,0.148636903,0.660300132
"1416129_at",0.334749284,0.001434452,0.021210259
"1416130_at",0.40320848,0.031685995,0.273617793
"1416131_s_at",0.818239144,0.949827403,0.946871047
"1416132_at",0.42316468,0.538220656,0.104765693
"1416133_at",0.483268986,0.356358614,0.848928985
"1416135_at",0.927248904,0.830418353,0.238982906
"1416138_at",0.592447244,0.343157903,0.187152885
"1416140_a_at",0.700002012,0.419698546,0.078035409
"1416141_a_at",0.6508849,0.214940696,0.802917232
"1416143_at",0.710438863,0.543548778,0.815644542
"1416144_a_at",0.498170165,0.95022721,0.665087137
"1416145_at",0.960598056,0.98713494,0.836420972
"1416146_at",0.110614503,0.186647817,0.164198194
"1416148_at",0.29642428,0.953921633,0.205331862
"1416150_a_at",0.995370171,0.770147866,0.247842423
"1416151_at",0.342601313,0.34938109,0.367549509
"1416152_a_at",0.240755029,0.157788182,0.224443883
"1416153_at",0.527621511,0.111365983,0.135310098
"1416155_at",0.249242635,0.694030394,0.477059248
"1416156_at",0.670291802,0.318080205,0.835623941
"1416161_at",0.741919496,0.481716609,0.318697596
"1416162_at",0.432657662,0.864741348,0.801818906
"1416163_at",0.312747094,0.513319825,0.135802632
"1416164_at",0.005584295,0.005314569,0.095160136
"1416166_a_at",0.622860928,0.178660591,0.370607702
"1416167_at",0.207318003,0.180207659,0.463208575
"1416168_at",0.031000478,0.151387729,0.562847939
"1416170_at",0.025221216,0.001949995,0.246725275
"1416171_at",0.762462268,0.256599628,0.426092887
"1416172_at",0.058915995,0.187336559,0.630462857
"1416175_a_at",0.51810632,0.65554536,0.190227488
"1416176_at",0.19347931,0.413880519,0.160866152
"1416177_at",0.469330281,0.045324837,0.256863306
"1416179_a_at",0.658169026,0.32270516,0.38146981
"1416180_a_at",0.759308893,0.651743571,0.323499166
"1416181_at",0.174433977,0.533045256,0.145996469
"1416184_s_at",0.663211943,0.250970669,0.914970169
"1416185_a_at",0.526768403,0.037043968,0.160425432
"1416186_at",0.973669735,0.658334195,0.736060043
"1416187_s_at",0.883758116,0.544952078,0.760652638
"1416188_at",0.095071615,0.932016464,0.637784852
"1416189_a_at",0.460513053,0.385110177,0.425214594
"1416190_a_at",0.346520232,0.395134436,0.77812412
"1416191_at",0.34106682,0.68090279,0.418408456
"1416197_at",0.267428258,0.178267613,0.251925597
"1416198_at",0.622281478,0.98519533,0.946328223
"1416199_at",0.686354419,0.382820953,0.942745514
"1416202_at",0.131067391,0.048708615,0.471460561
"1416205_at",0.030766558,0.210222884,0.212272966
"1416207_at",0.399081965,0.364570205,0.124067967
"1416208_at",0.099824377,0.044056045,0.659306946
"1416209_at",0.148042817,0.66422362,0.013357054
"1416210_at",0.27490207,0.334081314,0.805238856
"1416212_at",0.568705629,0.811886957,0.359259043
"1416214_at",0.480578193,0.224103571,0.630278085
"1416216_at",0.698217173,0.344451243,0.795658264
"1416217_a_at",0.377564186,0.86848196,0.40475094
"1416218_x_at",0.789438617,0.994096485,0.726094072
"1416219_at",0.852609981,0.764516064,0.633005763
"1416220_at",0.285350751,0.487253338,0.332221152
"1416222_at",0.311391953,0.24921895,0.591816747
"1416226_at",0.101587591,0.328954027,0.625079448
"1416228_at",0.667059653,0.423894503,0.160917143
"1416229_at",0.981672406,0.782163482,0.450796286
"1416230_at",0.708072375,0.657896834,0.165685013
"1416233_at",0.368275715,0.448919785,0.732126965
"1416234_at",0.872867159,0.197124375,0.304354723
"1416235_at",0.867585774,0.291381616,0.160225403
"1416239_at",0.108169017,4.94e-06,0.003545276
"1416240_at",0.528938184,0.830206885,0.466495276
"1416241_at",0.256695127,0.138719632,0.694718444
"1416243_a_at",0.855762737,0.910251167,0.601758206
"1416244_a_at",0.511365006,0.510684028,0.714118
"1416245_at",0.140423637,0.065781728,0.500495975
"1416247_at",0.688008175,0.361955248,0.481175006
"1416248_at",0.484199106,0.234803465,0.306789807
"1416250_at",0.457333365,0.323383834,0.534365496
"1416252_at",0.512414544,0.80523131,0.815629066
"1416254_a_at",0.873529199,0.356185923,0.646001193
"1416256_a_at",0.039702702,2.33e-05,0.407628113
"1416259_at",0.14583594,0.015160128,0.450677013
"1416260_a_at",0.054037251,0.386108698,0.259913025
"1416267_at",0.18211696,0.222064129,0.341920566
"1416269_at",0.884336506,0.303944217,0.396103041
"1416270_at",0.852803006,0.411836706,0.631921091
"1416272_at",0.699543001,0.389691164,0.740197536
"1416274_at",0.68928561,0.745797585,0.950768061
"1416276_a_at",0.646776351,0.172169057,0.149110686
"1416277_a_at",0.877192301,0.328027961,0.32940088
"1416278_a_at",0.52617837,0.464456651,0.26282348
"1416279_at",0.739208479,0.909597363,0.280379237
"1416280_at",0.697222815,0.646831884,0.233954592
"1416281_at",0.87790845,0.679600405,0.823664068
"1416282_at",0.0763892,0.153383242,0.11732139
"1416283_at",0.299830584,0.287814056,0.835975605
"1416284_at",0.178429535,0.055045947,0.191915415
"1416285_at",0.043485184,0.096956967,0.805313761
"1416288_at",0.971984429,0.415009939,0.190218877
"1416290_a_at",0.768884384,0.667510194,0.714726993
"1416291_at",0.642165215,0.641776472,0.942213905
"1416292_at",0.371422848,0.337056973,0.173415043
"1416294_at",0.389472735,0.494247765,0.209948034
"1416300_a_at",0.78994159,0.573528091,0.203306356
"1416303_at",0.449854745,0.620093551,0.282630416
"1416307_at",0.271154454,0.461875865,0.381152041
"1416308_at",0.496801545,0.693259577,0.017380466
"1416312_at",0.484387899,0.997293019,0.851303385
"1416315_at",0.288783291,0.503793914,0.091360734
"1416317_a_at",0.640218284,0.779257714,0.134668942
"1416319_at",0.563344842,0.020151456,0.067510877
"1416320_at",0.105642052,0.034105427,0.93409215
"1416324_s_at",0.242216375,0.087347516,0.623523453
"1416327_at",0.461538421,0.2220544,0.249247923
"1416328_a_at",0.044743536,0.021286142,0.61134047
"1416329_at",0.227585074,0.208905525,0.402845639
"1416330_at",0.748798107,0.183085039,0.192010695
"1416331_a_at",0.483371129,0.002355647,0.97152418
"1416332_at",0.609090657,0.412728249,0.268136145
"1416333_at",0.731423511,0.636810308,0.923695531
"1416335_at",0.475071033,0.878449308,0.074350993
"1416336_s_at",0.766970271,0.344425224,0.09444763
"1416337_at",0.741246102,0.128513807,0.412936676
"1416338_at",0.133609341,0.451628947,0.130799943
"1416339_a_at",0.454019015,0.51527976,0.412907788
"1416340_a_at",0.177259267,0.056261489,0.028394337
"1416341_at",0.342431835,0.720264564,0.692346466
"1416343_a_at",0.145574816,0.002600245,0.193660585
"1416344_at",0.255725378,0.004395898,0.037248193
"1416346_at",0.470266741,0.006283937,0.169281228
"1416347_at",0.690856226,0.565014384,0.720104634
"1416349_at",0.364695363,0.134067879,0.097557468
"1416351_at",0.046146148,0.030379992,0.291054151
"1416352_s_at",0.129471855,0.017846292,0.177251537
"1416353_at",0.275103206,0.272936585,0.518861322
"1416356_at",0.369021865,0.161455386,0.46396742
"1416359_at",0.655341465,0.370801151,0.115785074
"1416362_a_at",0.052085088,0.496386138,0.047416386
"1416364_at",0.460549955,0.015415388,0.64752711
"1416365_at",0.152444223,0.000404449,0.422044306
"1416366_at",0.927933845,0.571281689,0.48546167
"1416367_at",0.208962189,0.026277279,0.262896273
"1416368_at",0.504105672,0.694437774,0.357415545
"1416369_at",0.192142417,0.358145441,0.089125694
"1416370_at",0.051193574,0.140353302,0.201487666
"1416372_at",0.989784821,0.401444144,0.829165844
"1416373_at",0.206129306,0.009515857,0.287872157
"1416374_at",0.752924335,0.766040321,0.703596182
"1416381_a_at",0.049264474,0.001832521,0.087727861
"1416382_at",0.823237491,0.16243333,0.29898092
"1416383_a_at",0.422520774,0.032011024,0.01660389
"1416384_a_at",0.556381065,0.846264736,0.347790264
"1416385_a_at",0.759517291,0.765505352,0.23178783
"1416386_a_at",0.580903882,0.726458848,0.223736315
"1416387_at",0.098740773,0.167659215,0.29502879
"1416389_a_at",0.665720139,0.283063419,0.884862538
"1416390_at",0.640785221,0.622694083,0.839090555
"1416392_a_at",0.800116279,0.341894302,0.493554074
"1416393_at",0.316923276,0.097052581,0.900223798
"1416394_at",0.022335145,0.124968428,0.20797678
"1416395_at",0.426034481,0.635589502,0.451427807
"1416399_a_at",0.409116607,0.286937352,0.156086105
"1416401_at",0.314791208,0.017556163,0.029025246
"1416404_s_at",0.973510821,0.662291655,0.848932029
"1416405_at",0.021781549,0.185170455,0.296544916
"1416407_at",0.137328735,0.005665734,0.992488704
"1416415_a_at",0.406388834,0.591334625,0.091645625
"1416416_x_at",0.414053055,0.081926045,0.206677197
"1416417_a_at",0.479279069,0.296588879,0.83055806
"1416418_at",0.735144725,0.352633097,0.01228271
"1416419_s_at",0.596707757,0.705156009,0.004455106
"1416420_a_at",0.357298609,0.162547716,0.824803991
"1416422_a_at",0.266504353,0.330235834,0.909227476
"1416425_at",0.250724546,0.036392852,0.228345612
"1416426_at",0.045576845,0.083126703,0.382263255
"1416427_at",0.92490238,0.163769746,0.920478764
"1416428_at",0.496894875,0.636157944,0.978962329
"1416429_a_at",0.711814952,0.055194035,0.02398759
"1416430_at",0.864597101,0.042778514,0.019105449
"1416435_at",0.305262604,0.087685881,0.124711295
"1416438_at",0.91211456,0.463576469,0.246955122
"1416439_at",0.217158485,0.026368508,0.553261268
"1416440_at",0.349119617,0.043303519,0.727538791
"1416441_at",0.10856057,0.02177245,0.315915173
"1416442_at",0.678798417,0.340065933,0.694133145
"1416443_a_at",0.869524883,0.216067054,0.159498117
"1416445_at",0.431867181,0.914870026,0.163038482
"1416446_at",0.09268037,0.591957002,0.460719368
"1416447_at",0.043878294,0.374032936,0.461490708
"1416452_at",0.332248165,0.049601321,0.161605813
"1416453_x_at",0.918788226,0.605700503,0.598587579
"1416459_at",0.678156078,0.446487242,0.996172974
"1416461_at",0.832589404,0.936717344,0.356760676
"1416462_at",0.635234215,0.734730458,0.612524612
"1416463_at",0.167287191,0.215659873,0.94811508
"1416465_a_at",0.664190056,0.199023731,0.812485992
"1416466_at",0.91168837,0.26851732,0.482145345
"1416470_a_at",0.075045215,0.559571411,0.366545879
"1416472_at",0.286907994,0.119834668,0.367634698
"1416475_at",0.544725564,0.858508974,0.119358053
"1416476_a_at",0.667554401,0.658894594,0.468264599
"1416477_at",0.883307268,0.290800672,0.412922965
"1416478_a_at",0.608016128,0.382542001,0.096669452
"1416479_a_at",0.135738915,0.422094736,0.19230418
"1416480_a_at",0.589300408,0.311216002,0.339172974
"1416481_s_at",0.06853064,0.107582789,0.687850715
"1416485_at",0.249611075,0.052269084,0.741572578
"1416486_at",0.415242692,0.972716631,0.122613674
"1416488_at",0.892489783,0.505856215,0.194726189
"1416493_at",0.17402431,0.506923778,0.990659063
"1416494_at",0.778895291,0.574496615,0.675638721
"1416495_s_at",0.901047859,0.644824984,0.666977354
"1416496_at",0.680915242,0.037836677,0.391436011
"1416499_a_at",0.959936019,0.577987518,0.201431242
"1416500_at",0.190189057,0.361426205,0.092823322
"1416502_a_at",0.835262613,0.230626208,0.278495082
"1416505_at",0.887410444,0.008962775,0.062789096
"1416506_at",0.440089712,0.27842953,0.117601456
"1416508_at",0.008250876,0.040765937,0.366877114
"1416509_at",0.273671154,0.554626242,0.463008328
"1416510_at",0.066186947,0.0523704,0.397603748
"1416511_a_at",0.997157779,0.667415233,0.321770135
"1416517_at",0.884609914,0.295945226,0.552161269
"1416519_at",0.517637771,0.648519018,0.3876567
"1416520_x_at",0.478250293,0.365594986,0.675067994
"1416521_at",0.138313003,0.009637936,0.209555508
"1416522_a_at",0.30587899,0.678262897,0.9735493
"1416524_at",0.007001198,0.049810719,0.53274571
"1416525_at",0.009554226,0.056705017,0.411285558
"1416526_a_at",0.226196084,0.02817257,0.183015866
"1416528_at",0.649900584,0.031750484,0.974663479
"1416530_a_at",0.733969951,0.114292139,0.032191198
"1416532_at",0.143236174,0.000452488,0.227516213
"1416533_at",0.315766259,0.514909372,0.088719659
"1416534_at",0.456809473,0.371637658,0.363879192
"1416536_at",0.290116579,0.78692213,0.014005899
"1416540_at",0.120322666,0.893004054,0.152712802
"1416543_at",0.328946614,0.284137249,0.509974404
"1416544_at",0.07532604,0.507264872,0.050366245
"1416546_a_at",0.545898475,0.651695281,0.826127799
"1416547_at",0.761581922,0.550292552,0.267265668
"1416549_at",0.374359024,0.191671804,0.165696273
"1416551_at",0.017454766,0.004680374,0.343872059
"1416555_at",0.598480071,0.434654087,0.057334018
"1416565_at",0.395385467,0.895795265,0.007121012
"1416566_at",0.480258453,0.5160172,0.247215743
"1416567_s_at",0.349201538,0.063622493,0.72847879
"1416568_a_at",0.855799654,0.350884558,0.201985418
"1416569_at",0.012471389,0.025649847,0.18647199
"1416570_s_at",0.122728105,0.004394188,0.110587932
"1416577_a_at",0.780723572,0.272780116,0.879748096
"1416580_a_at",0.970031819,0.249115899,0.659872488
"1416581_at",0.868428721,0.55634854,0.91464293
"1416584_at",0.044943294,0.033916409,0.27965344
"1416585_at",0.118850812,0.969819685,0.138067353
"1416589_at",0.406185319,0.000395489,0.232425791
"1416591_at",0.039863722,0.94808742,0.579635594
