"","Pval1","Pval2"
"100986_at",0.604554099,0.477555557
"100990_g_at",0.134922712,9.06e-05
"101000_at",0.136310981,0.068968466
"101002_at",0.238719075,0.000758359
"101004_f_at",0.679167532,0.224251397
"101007_at",0.008063894,0.450215543
"101011_at",0.420789794,0.033363903
"101013_at",0.892673987,0.913366694
"101016_at",0.515730307,0.460545306
"101023_f_at",0.257354905,0.701567312
"101025_f_at",0.467590563,0.051140933
"101029_f_at",0.861158469,0.262832191
"101030_at",0.007212215,0.536121582
"101035_at",0.770711741,0.03560052
"101039_at",0.099317003,0.175610273
"101042_f_at",0.214324313,0.542275408
"101044_at",0.902155978,0.886450344
"101045_at",0.370265814,0.680303231
"101046_at",0.523399111,0.954434263
"101047_at",0.000136986,0.30501236
"101050_at",0.322400158,0.147446212
"101054_at",0.826560676,0.080936982
"101056_at",0.630545307,0.45445971
"101057_at",0.468224234,0.469970731
"101058_at",0.000188168,0.579105264
"101060_at",0.148436222,0.001886997
"101061_at",0.125458329,0.048868402
"101064_at",0.677278009,0.987977814
"101067_at",0.348225685,0.651110914
"101069_g_at",0.745252259,0.694998971
"101072_at",0.80982144,0.91754977
"101073_at",0.95968032,0.707737198
"101078_at",0.574991157,0.834496779
"101081_at",0.275640645,0.72222853
"101085_at",0.231693567,0.719290139
"101086_f_at",0.435167164,0.063102455
"101088_f_at",0.383031128,0.052885562
"101093_at",0.000978739,0.013995092
"101094_at",0.895358987,0.292423582
"101096_s_at",0.953256449,0.66789919
"101101_at",0.983350773,0.198820979
"101102_at",0.587111681,0.88350197
"101104_at",0.539124985,0.440785798
"101105_at",0.674761299,0.541918711
"101106_at",0.430896863,0.345488857
"101107_at",0.751461605,0.506176375
"101112_g_at",0.86698004,0.766463907
"101113_at",0.545088659,0.608692732
"101119_at",0.148289981,0.440384569
"101123_at",0.178517864,0.382494081
"101129_at",0.306685382,0.025485094
"101137_at",0.125965902,0.237748603
"101165_at",0.921076973,0.952124908
"101168_at",0.647691826,0.692171324
"101179_at",0.003312729,0.579333885
"101186_at",0.048005355,0.968371495
"101207_at",0.383206127,0.140584348
"101212_at",0.09641214,0.059258542
"101213_at",0.714617336,0.040558297
"101214_f_at",0.085486563,0.154375887
"101217_at",0.022708064,6.76e-06
"101226_at",0.220830845,0.521090648
"101254_at",0.504242752,0.678102793
"101255_at",1,0.956723958
"101290_at",0.838797028,0.779845223
"101300_at",0.502168809,0.400891304
"101344_at",0.950792914,0.397720134
"101346_at",0.739300512,0.99055807
"101363_at",0.841503485,0.900463573
"101370_at",0.868242175,0.929876877
"101376_at",0.869282568,0.722328642
"101389_at",0.336394324,0.585794226
"101394_at",0.532955562,1.87e-08
"101395_at",0.49506442,0.865200387
"101406_at",0.914342059,0.971741461
"101407_at",0.621783021,0.039657216
"101416_f_at",0.326556893,0.637867358
"101430_at",0.371828964,0.955339427
"101441_i_at",1.97e-08,0.26435944
"101446_at",0.278691987,0.255149072
"101451_at",2.42e-06,1.78e-07
"101459_at",0.995164857,0.099673504
"101461_f_at",0.413344857,0.197948518
"101462_r_at",0.319803446,0.683026063
"101464_at",0.644815451,0.848773446
"101465_at",0.939948566,0.00560723
"101470_at",0.903750527,0.759732074
"101476_at",0.089013975,0.453228098
"101482_at",0.067688808,0.542495388
"101487_f_at",0.243010764,0.072548681
"101489_at",0.015990751,0.373524291
"101490_at",0.517420395,0.584867229
"101495_at",0.986290206,0.381199903
"101499_at",0.355342033,0.426566178
"101502_at",0.120373478,0.563981217
"101509_at",0.408283346,0.027114359
"101510_at",0.009533839,0.583093314
"101513_at",0.946857698,0.002732464
"101514_at",0.77334609,0.088894357
"101515_at",3.31e-05,0.678536375
"101516_at",5.49e-05,0.00442379
"101517_at",0.346615277,0.067979201
"101519_at",0.925344264,0.656672596
"101520_at",0.652577857,0.222675113
"101523_at",0.763109269,0.096452235
"101525_at",0.365262386,0.337451533
"101527_at",0.805278311,0.866533276
"101528_at",0.722629592,0.897466541
"101531_at",0.222394069,0.472407269
"101542_f_at",0.242373748,0.002370088
"101543_f_at",0.317067184,0.006741239
"101548_at",0.462942066,0.523204879
"101552_at",0.479599628,0.594026304
"101553_at",0.613777436,0.404777144
"101555_at",0.246112884,0.492024129
"101557_at",0.881956131,0.821869358
"101558_s_at",0.000128979,0.093626549
"101561_at",0.004009392,2.27e-05
"101565_f_at",1,0.185496923
"101566_f_at",0.004988365,0.002468127
"101573_f_at",0.539191968,0.086007776
"101574_f_at",1,0.327304312
"101575_i_at",0.891307077,0.883516575
"101576_f_at",1,0.52974021
"101577_at",0.248292456,0.146275589
"101578_f_at",0.777475066,0.117682169
"101580_at",0.033133951,0.527824159
"101581_at",0.520549451,0.202696345
"101585_at",0.709751929,0.052038824
"101589_at",0.002329182,0.025507119
"101590_at",0.379554746,0.205526131
"101595_at",0.715273981,0.059741601
"101603_g_at",0.506617157,0.085877879
"101607_at",0.362576627,0.865694204
"101625_at",0.134437388,0.221148967
"101632_at",0.990349824,0.615231467
"101634_at",0.657752431,0.001162473
"101661_r_at",0.637778796,0.028865775
"101664_at",0.010214648,0.008450537
"101665_at",0.81453007,0.661628247
"101668_at",0.401198083,0.459734963
"101680_at",0.155171001,0.363304865
"101681_f_at",0.529504598,0.495645118
"101684_r_at",0.002106586,0.049659001
"101694_f_at",0.294229298,0.689019664
"101697_f_at",0.344448702,0.22323286
"101703_at",0.948210179,0.954365114
"101716_at",0.104568629,0.861399253
"101741_at",3.19e-07,0.000701088
"101769_at",0.59414331,0.868759525
"101781_f_at",0.676762303,0.37013379
"101787_f_at",0.067765804,0.585485045
"101806_at",0.884411248,0.596479203
"101830_at",0.984814542,0.71202994
"101836_at",0.737292689,0.349101557
"101837_g_at",0.713258262,0.01732737
"101844_at",0.022613531,0.8126599
"101851_at",0.261530394,0.985189555
"101853_f_at",0.773294644,0.053761356
"101854_r_at",0.400447979,0.219347246
"101858_at",0.976273765,0.417469358
"101867_at",2.32e-07,0.06179729
"101869_s_at",0.98243029,0.368665287
"101876_s_at",0.149804727,0.059570741
"101877_at",0.010710262,0.108862086
"101886_f_at",0.814107983,0.023021723
"101889_s_at",0.601918344,0.678233052
"101890_f_at",0.765294095,0.187537492
"101892_f_at",0.603310389,0.284781588
"101897_g_at",0.068136206,0.694667713
"101898_s_at",0.412993676,0.569150369
"101905_at",0.943955464,0.853020541
"101906_at",0.529479279,0.080959104
"101914_at",0.187357325,0.244609538
"101921_at",0.098228165,0.161922488
"101922_at",0.637852082,0.340124481
"101929_at",0.59705311,0.845518305
"101930_at",0.498764176,0.399634432
"101933_at",0.504248118,0.370635456
"101943_at",0.007121223,0.200848097
"101945_g_at",0.221888451,0.161974801
"101946_at",0.086463397,0.604178149
"101954_at",0.186767794,0.81127991
"101955_at",0.433354542,1.54e-05
"101958_f_at",0.589376444,0.479496867
"101959_r_at",0.049831099,0.591060243
"101960_at",0.845938015,0.962823924
"101961_at",0.182531538,0.857376327
"101963_at",0.12048613,0.000824479
"101965_at",0.474766044,0.169159392
"101971_at",0.849873143,0.93025166
"101973_at",0.464452031,0.191686283
"101977_at",0.8876812,0.856698714
"101984_at",1.03e-05,0.22796354
"101989_at",0.744217352,0.448867715
"101991_at",0.303535758,0.000314109
"101992_at",0.785875196,0.266402942
"101995_at",0.00894368,0.619468849
"102000_f_at",2.36e-05,0.032681848
"102002_at",0.606252975,0.17925416
"102016_at",8.57e-11,1.6e-06
"102018_at",0.773491381,0.481173148
"102019_at",0.180002946,0.146622491
"102022_at",0.953532057,0.001136782
"102026_s_at",0.791926371,0.430770793
"102028_at",0.399146896,0.667393108
"102029_at",0.665312972,0.949641588
"102039_at",0.926054844,0.001056771
"102047_at",0.364637011,0.054591324
"102056_f_at",0.092247413,0.095003516
"102060_at",0.550817816,0.390304264
"102083_at",0.794060279,0.515061413
"102091_f_at",0.310634283,0.057347791
"102094_f_at",0.842238351,0.318864397
"102098_at",0.239245082,0.900628227
"102103_f_at",0.634886726,0.771968966
"102104_f_at",0.784404657,0.974033966
"102108_f_at",0.502972375,0.004805211
"102109_at",0.604167304,0.509655431
"102114_f_at",0.064926781,1.18e-05
"102118_at",0.813006491,0.319140033
"102124_f_at",0.606696307,0.218814857
"102126_at",0.845703361,0.073185317
"102134_f_at",0.187532801,0.538947068
"102141_f_at",0.604123329,0.924733793
"102142_r_at",0.971674591,0.674061844
"102144_f_at",0.6917811,0.002563052
"102171_r_at",0.676354101,0.604591955
"102193_at",0.957239745,0.52240156
"102194_at",0.352732711,0.675095515
"102196_at",0.165750581,0.244160977
"102201_s_at",0.356823078,0.960439335
"102213_at",0.161315173,3.89e-05
"102223_at",0.804749949,0.355717422
"102228_at",0.756859218,0.925394659
"102233_at",0.011269476,0.187314827
"102242_at",0.852151821,0.583453821
"102250_at",0.101377986,0.979055345
"102255_at",0.09316337,0.048969325
"102271_at",0.591700572,0.614970386
"102272_at",0.739141589,0.869994181
"102273_at",0.431885347,0.091773755
"102300_at",0.417167029,0.920975875
"102302_at",2.8e-05,0.030093816
"102308_at",0.38894798,0.906773578
"102313_at",0.230902181,0.118541211
"102322_at",0.001748688,0.338782994
"102332_at",0.813918544,0.290203785
"102336_at",0.529524128,0.981444237
"102344_s_at",0.000677608,0.00049674
"102348_at",0.021092492,0.000274342
"102356_at",0.220682392,0.167248439
"102364_at",0.910837486,0.713896363
"102370_at",0.677203596,0.989730474
"102372_at",0.052122098,0.809220773
"102373_at",0.240485882,0.702352907
"102381_at",0.126743141,0.775140321
"102382_at",0.003953722,0.500865839
"102384_at",0.978563537,0.004666482
"102387_at",0.357137044,0.4250256
"102389_s_at",0.53220596,0.870317358
"102395_at",0.000699989,0.956831992
"102402_at",0.244555384,0.72570877
"102409_at",0.381917069,0.900762668
"102414_i_at",0.000390007,0.025631648
"102415_r_at",0.004591632,0.071058471
"102423_at",0.316892881,0.566181057
"102425_at",0.67801465,0.018698463
"102427_at",0.028655674,0.028603354
"102476_f_at",0.544210407,0.435796762
"102478_f_at",0.185167275,0.979899453
"102557_at",0.700771078,0.728380539
"102561_at",0.898216452,0.864637603
"102599_at",0.762269403,0.667895616
"102644_at",0.768409157,0.06468691
"102659_at",0.494769178,0.624387733
"102668_at",0.410108224,0.00799142
"102691_at",0.872430748,0.044970216
"102695_at",0.217695003,0.46576432
"102698_at",0.873972318,0.050867924
"102704_at",4.59e-08,0.001466799
"102720_at",0.533562857,0.399115467
"102752_at",0.61612546,0.092468904
"102754_at",0.582460031,0.733043155
"102765_at",0.982246408,0.827228001
"102767_at",0.925217924,0.627607872
"102768_i_at",2.21e-13,0.000864906
"102773_at",0.720838637,0.002648496
"102776_at",0.234655111,0.248878108
"102781_at",0.459685355,0.852135411
"102783_at",0.247642677,0.849876811
"102786_at",0.653256125,0.98251027
"102790_at",0.02292144,0.885410923
"102792_at",0.433320022,0.414775804
"102797_at",0.965245029,0.715587047
"102804_at",0.699504509,0.954661092
"102807_at",0.082250705,0.45048116
"102812_i_at",0.000184517,1.17e-05
"102813_f_at",0.02748368,0.200742857
"102815_at",0.472836774,0.002767906
"102821_s_at",0.203566174,0.81524495
"102827_at",0.368655231,0.03954905
"102840_at",0.789521491,0.280828942
"102841_at",0.264387458,0.933993363
"102866_at",0.793170406,0.71490265
"102876_at",0.438812759,0.465011342
"102878_at",0.836269184,0.824878288
"102879_s_at",0.531088493,0.878162812
"102887_at",0.281445704,0.829498303
"102899_at",0.727356946,0.362553817
"102906_at",0.01445756,0.041725005
"102924_at",0.636529279,0.797857777
"102926_at",0.813400089,0.835446706
"102952_g_at",0.747757747,0.182902837
"102955_at",0.006687221,0.013390247
"102957_at",0.049729729,0.685661826
"102965_at",0.309084029,0.343577214
"102980_at",0.758561222,0.722638358
"102983_at",0.43668459,0.045090715
"102984_g_at",0.297512845,0.058598891
"102986_at",0.120632227,0.954195303
"102991_s_at",0.966815627,0.515283619
"102996_at",0.887992695,0.997510768
"103002_at",0.346597412,0.747488855
"103006_at",0.9998576,0.058188126
"103015_at",0.109905116,0.271682689
"103018_at",0.15067622,0.504657585
"103020_s_at",0.738847441,0.007428332
"103021_r_at",0.017738439,0.741136511
"103027_at",0.289260619,0.045606791
"103028_at",0.527067269,0.473321122
"103029_at",0.742572023,0.815989858
"103031_g_at",0.136463447,0.04325921
"103033_at",0.228496769,0.042278068
"103037_at",0.531601986,0.808205668
"103047_at",0.504503018,0.872193962
"103052_r_at",0.105175164,0.774051555
"103067_at",0.821698134,0.008211143
"103074_f_at",0.104889689,0.596672079
"103076_at",0.004840371,0.008556778
"103082_at",0.581647756,0.006143098
"103085_at",0.003051317,0.008670697
"103086_at",0.118635046,0.337458928
"103097_at",0.890469323,0.167383794
"103099_f_at",0.785381688,0.770079861
"103202_at",0.009075491,0.154737756
"103217_at",0.473871765,0.777100735
"103218_at",0.332156397,0.282585966
"103220_at",0.266688075,0.691431528
"103242_at",0.351194243,0.908480388
"103254_at",0.685983919,0.159535578
"103269_f_at",0.60028437,0.018968389
"103275_at",0.095262991,0.266531261
"103288_at",0.126730611,0.089050049
"103294_at",0.098683592,3.7e-07
"103300_at",0.278489266,0.580094037
"103302_r_at",0.702562004,0.953337061
"103303_at",0.411639085,0.922788112
"103309_at",0.298477419,0.025867104
"103312_f_at",0.124396312,0.117137903
"103318_at",0.921058334,0.309275485
"103322_at",0.149229825,0.549923528
"103328_at",0.24968317,0.038077969
"103342_at",0.47933181,0.89665632
"103344_at",0.424983726,0.875880795
"103350_at",0.616434165,0.094648426
"103352_at",0.977639841,0.780850174
"103364_f_at",0.95219391,0.968952083
"103370_at",0.941408938,0.183531884
"103371_at",0.137999725,0.637392783
"103377_at",0.401243738,0.827635259
"103379_at",0.389232356,0.882396842
"103381_at",0.999048892,0.201340251
"103388_at",0.600830697,0.828076075
"103389_at",0.85183933,0.452313808
"103400_at",0.767511,0.006448457
"103401_at",0.625787319,0.465573614
"103406_at",0.268884811,0.234957214
"103416_at",0.604960478,0.624342017
"103420_at",0.959831496,0.639345388
"103421_at",0.217811087,0.826544041
"103422_at",0.003101885,0.064250473
"103424_at",0.872554244,0.61454425
"103429_i_at",0.008825644,0.826740212
"103438_at",0.788806203,0.411771252
"103440_at",0.023303549,0.553997715
"103442_at",0.138051667,0.315844344
"103443_at",0.185209697,0.013870887
"103448_at",0.03157457,0.086638487
"103451_at",0.460955056,0.357899736
"103455_at",0.748885051,0.729376854
"103456_at",0.655063627,0.780249109
"103471_at",0.428412555,0.360698583
"103498_at",0.250126287,0.308275219
"103500_at",0.80412458,0.049208299
"103501_at",0.36442483,0.523444263
"103534_at",0.064489661,0.007556914
"103541_at",0.851901532,0.716004306
"103555_at",0.910090601,0.673942386
"103557_at",0.69911284,0.851021276
"103558_at",0.466897202,0.214433382
"103559_at",0.881814277,0.408414274
"103565_at",0.637822339,0.34913193
"103567_at",0.390291507,0.78799241
"103569_at",0.543206881,0.143990046
"103574_at",0.015071231,0.084624953
"103581_at",0.106093492,2.12e-09
"103582_r_at",0.448346815,0.744074433
"103584_at",0.405060304,0.408318878
"103585_at",0.25333424,0.991026165
"103606_r_at",0.943228078,0.262128897
"103608_at",0.679357157,0.367307892
"103611_at",3.16e-06,0.851482517
"103619_at",0.060661476,0.453098987
"103620_s_at",0.311928691,0.136342637
"103630_at",0.401489723,0.164733693
"103635_at",0.775871078,0.474217407
"103636_at",0.776548811,0.653456674
"103642_at",0.546543131,0.294336906
"103646_at",0.03522862,0.138538319
"103656_at",0.000311931,0.018818012
"103664_r_at",0.362512129,0.773076976
"103667_at",0.682141437,0.004824412
"103670_at",0.606005019,0.390115814
"103672_at",0.956316968,0.237728986
"103673_at",0.832616544,0.78844927
"103681_at",0.703003799,0.801839018
"103695_f_at",0.017041472,3.62e-06
"103697_at",0.440850158,0.367384461
"103704_at",0.776097509,0.620919098
"103706_at",0.28712591,0.622145659
"103709_at",0.077362001,0.965210622
"103713_at",0.765333712,0.726899001
"103720_at",0.707558891,0.604486227
"103736_at",0.365636237,0.11169724
"103745_at",0.709103948,0.702162505
"103753_at",0.838830042,0.153670316
"103754_at",0.078353658,0.124580318
"103755_at",0.87308214,0.865928996
"103774_at",0.536710943,0.857212747
"103780_at",0.050986706,0.855357825
"103783_at",0.480563835,0.923121074
"103790_at",0.861348954,0.858718793
"103807_at",0.792261661,0.711026276
"103808_at",0.578376849,0.702566685
"103809_r_at",0.908314803,0.600428077
"103810_at",0.248355351,0.613024107
"103814_at",0.862192557,0.616130439
"103817_at",0.516174335,0.376264156
"103826_at",0.488658649,0.113477152
"103842_at",0.379768363,0.010481679
"103845_at",0.960289305,0.434833496
"103852_at",0.207726295,0.010541194
"103858_at",0.502395302,0.49365931
"103862_r_at",0.080669801,0.63942556
"103873_i_at",0.186874133,0.121583703
"103874_r_at",0.063964164,0.048840666
"103875_at",0.011690686,0.380185474
"103877_at",0.807692282,0.884098769
"103878_at",0.486208144,0.23279995
"103881_at",0.414236592,0.240722754
"103891_i_at",0.54380594,0.045332855
"103892_r_at",0.479195647,0.103011622
"103894_at",0.872712247,0.763849538
"103906_f_at",0.319233328,0.008698019
"103910_at",0.866895841,0.175459487
"103914_at",0.009577218,0.614743392
"103924_at",0.444938481,0.251329599
"103932_at",0.065601294,0.49984992
"103934_at",0.364188427,0.98259221
"103947_at",0.435145089,0.192838587
"103949_at",0.949740969,0.999649493
"103953_at",0.223965476,0.248741089
"103958_g_at",0.353590397,0.93964129
"103963_f_at",0.145309879,0.342063563
"103969_at",0.624162594,0.00019979
"103971_at",0.911063299,0.759452098
"103978_at",0.292978004,0.613962791
"103992_f_at",0.972229847,0.633168317
"103994_at",0.108943382,0.10797709
"104004_at",0.578465975,0.422617351
"104007_at",0.035551715,0.841306362
"104014_at",0.642636452,0.0158388
"104015_at",0.464954246,0.306931959
"104030_at",0.589577655,0.557717999
"104031_at",0.927500156,0.144829413
"104033_at",0.785316914,0.096198628
"104042_at",0.756133192,0.878185285
"104044_at",0.507573532,0.540607686
"104046_at",0.393199878,0.051850152
"104047_at",0.063298907,0.704687642
"104050_at",0.397482074,0.113447633
"104057_at",0.132952083,0.335344079
"104058_at",0.982073551,0.95880671
"104060_at",0.141909762,0.473461112
"104063_at",0.966713061,0.003344975
"104069_at",0.22192642,0.699433698
"104070_at",0.689439326,0.835552806
"104071_at",0.739156935,0.821033111
"104074_at",0.987314543,0.842926294
"104080_at",0.194666203,0.969481158
"104082_at",0.874274054,0.090396574
"104096_at",0.676987412,0.967590798
"104100_at",0.100645699,0.702586654
"104101_at",0.201643138,0.451385347
"104105_at",0.563669769,0.864309305
"104106_at",0.71220101,0.050986595
"104109_at",0.287578476,0.033284172
"104110_at",0.858435995,0.754845785
"104112_at",0.550774539,0.875965177
"104115_at",0.263942746,0.147626793
"104116_at",0.33335639,0.562345387
"104118_at",0.366136685,0.756453507
"104126_at",0.059965106,0.967410105
"104132_at",0.600560023,0.501034488
"104143_at",0.230305357,0.419537574
"104149_at",0.610473407,0.518462252
"104150_at",0.484310133,0.809283968
"104153_at",0.011673139,0.259658911
"104155_f_at",0.02765927,2.06e-09
"104163_at",0.729068021,0.173912117
"104173_at",0.35296061,0.996449443
"104187_at",0.924431741,0.957310732
"104188_at",0.779684146,0.537314163
"104189_at",0.72194658,0.675143601
"104195_at",0.275077712,0.459614649
"104199_at",0.441830608,0.869948194
"104201_at",0.92758297,0.862604292
"104211_at",0.812632969,0.309018513
"104212_at",0.591251878,0.561589055
"104215_at",0.00435633,0.51898161
"104220_at",0.091046725,0.813065842
"104235_at",0.0607545,0.903161003
"104241_at",0.21745552,0.838478188
"104242_f_at",0.299533689,0.523716764
"104245_at",0.80029874,0.232918302
"104250_at",0.281734647,0.892476645
"104258_at",0.003440521,0.036252899
"104262_at",0.742883845,0.718342903
"104267_at",0.62019315,0.334082305
"104277_at",0.181892024,0.876994047
"104279_at",0.765823873,0.687990935
"104286_at",0.756759466,0.005017479
"104288_at",0.104060927,0.03116792
"104294_at",0.229842767,0.008145499
"104298_at",0.543732748,0.975120588
"104302_f_at",0.16740449,0.829471697
"104305_at",0.245136502,0.821883046
"104313_at",0.031699383,0.011366316
"104315_at",0.258390163,0.331501161
"104317_at",0.498102735,0.890907246
"104320_at",0.576117571,0.950022854
"104327_at",0.349249744,0.938143334
"104331_at",0.393718696,0.080293074
"104337_f_at",0.902510633,0.386336901
"104341_at",0.900779313,0.679626496
"104349_at",0.548268946,0.243302354
"104350_at",0.461769631,0.062282462
"104354_at",0.586269739,0.361473972
"104360_at",0.627631339,0.157369649
"104363_at",0.767462621,0.910580133
"104367_at",0.68443173,0.15356882
"104371_at",0.227248439,0.274577117
"104376_at",0.236906486,0.854268604
"104390_at",0.431480616,0.615120866
"104403_at",0.341532288,0.080308773
"104404_at",0.201464568,0.361374811
"104408_s_at",0.842952636,7.42e-06
"104410_at",0.341425237,0.813299713
"104419_at",0.858532516,0.22331924
"104434_at",0.681039877,0.445335193
"104437_at",0.339562816,0.058502907
"104442_at",0.672354406,0.167777909
"104444_at",0.232104838,0.447568863
"104445_at",0.424497344,0.008536765
"104451_at",0.098735603,0.496102998
"104471_at",0.606745538,0.705167824
"104491_at",0.734915277,0.154198127
"104492_at",0.452665856,0.787386225
"104506_at",0.96990422,0.942625284
"104513_at",0.09149932,0.992769535
"104514_at",0.943877725,0.512361834
"104531_at",0.91699787,0.179686308
"104537_at",0.213003502,0.005541884
"104545_at",0.561902721,0.069800646
"104554_at",0.961639878,0.609070984
"104557_at",0.139487245,0.219256205
"104559_at",0.597760603,0.858216397
"104560_at",0.237206245,0.439055402
"104562_at",0.581414839,0.347545456
"104565_at",0.217425745,0.426443087
"104572_at",0.626528688,0.308400875
"104574_at",0.634993518,0.556279524
"104576_at",0.449133246,0.372544385
