"","CASEID","WEIGHT","PROVINCP","URBRUR","URBSIZEP","HHINCTOT","M101"
"270",4245,172,10,1,1,140000,10260
"271",6542,251,10,1,2,72000,4261
"272",5514,215,10,1,1,64000,725
"273",3113,136,10,1,1,60000,2485
"274",5607,218,10,1,1,160000,3230
"275",5489,214,10,1,1,60000,2924
"276",2999,132,10,1,1,160000,11983
"277",2477,115,10,1,1,70000,5097
"278",7197,275,10,1,1,72000,2143
"279",1952,98,10,1,1,48000,-1220
"280",1795,92,10,1,1,24000,410
"281",6325,241,10,1,1,97000,4150
"282",3858,159,10,1,1,80000,2000
"283",5283,206,10,1,1,62000,2260
"284",4185,170,10,1,1,51000,7558
"285",1951,98,10,1,1,23000,1055
"286",4380,176,10,1,2,35000,810
"287",2218,106,10,1,2,31000,631
"288",4379,176,10,1,1,49000,1020
"289",3084,135,10,1,1,58000,754
"290",3112,136,10,1,1,79000,6805
"291",2217,106,10,1,1,59000,1460
"292",1648,88,10,1,1,85000,2277
"293",3923,160,10,1,1,18000,1000
"294",3737,156,10,1,1,36000,1711
"295",2503,116,10,1,1,37000,1620
"296",1440,78,10,1,1,99000,820
"297",4518,180,10,1,1,15000,735
"298",3694,155,10,1,1,19000,641
"299",5513,215,10,1,1,13000,195
"300",3137,137,10,1,1,56000,1545
"301",2143,104,10,1,1,70000,3556
"302",3693,155,10,1,1,78000,2733
"303",3292,142,10,1,1,14000,1323
"304",1414,77,10,1,1,21000,801
"305",2998,132,10,1,1,160000,8394
"306",4411,177,10,1,1,40000,1470
"307",3692,155,10,1,2,11000,1101
"308",3736,156,10,1,1,50000,1710
"309",1565,84,10,1,1,34000,876
"310",2300,109,10,1,1,43000,1355
"311",5001,194,10,1,1,110000,5293
"312",4592,182,10,1,1,76000,11613
"313",5714,223,10,1,1,81000,2955
"314",2377,111,10,1,1,18000,0
"315",3607,152,10,1,1,90000,3975
"316",7158,273,10,1,1,34000,640
"317",3386,145,10,1,1,120000,10986
"318",6953,265,10,1,1,75000,2245
"319",3265,141,10,1,1,6500,125
"320",3632,153,10,1,1,44000,2665
"321",1460,79,10,1,1,36000,3256
"322",5151,200,10,1,1,55000,1815
"323",4378,176,10,1,1,60000,988
"324",1078,57,10,1,2,19000,860
"325",6876,263,10,1,1,53000,1038
"326",1115,60,10,1,2,27000,1085
"327",3291,142,10,1,1,11000,0
"328",4125,167,10,1,1,38000,2665
"329",1889,96,10,1,1,64000,959
"330",4184,170,10,1,1,55000,1436
"331",2376,111,10,1,2,14000,520
"332",321,32,10,1,1,29000,4624
"333",2178,105,10,1,1,68000,5255
"334",802,47,10,1,1,18000,1019
"335",3526,150,10,1,1,10000,756
"336",2050,101,10,1,1,93000,2387
"337",3476,148,10,1,1,78000,1023
"338",6459,247,10,1,1,60000,3012
"339",6458,247,10,1,1,89000,4494
"340",320,32,10,1,1,29000,444
"341",2535,117,10,1,1,140000,4112
"342",2030,100,10,1,1,54000,5025
"343",6733,258,10,1,1,1e+05,1785
"344",2336,110,10,1,2,47000,3405
"345",1846,95,10,1,2,40000,1996
"346",1223,66,10,1,2,57000,2458
"347",4282,173,10,1,1,43000,1586
"348",4410,177,10,1,1,58000,5095
"349",6324,241,10,1,1,28000,1330
"350",3385,145,10,1,1,220000,19130
"351",6669,255,10,1,1,70000,7573
"352",3417,146,10,1,1,75000,3235
"353",3857,159,10,1,1,16000,2006
"354",1888,96,10,1,2,12000,516
"355",7366,282,10,1,1,78000,3828
"356",2954,131,10,1,1,41000,772
"357",8295,335,10,1,1,23000,1047
"358",1845,95,10,1,1,54000,2242
"359",2882,128,10,1,1,49000,1544
"360",5231,204,10,1,1,78000,3551
"361",2299,109,10,1,1,66000,2394
"362",3321,143,10,1,1,39000,3400
"363",6024,232,10,1,1,37000,5150
"364",1394,76,10,1,1,85000,2695
"365",2881,128,10,1,1,80000,680
"366",6929,264,10,1,1,13000,298
"367",1267,69,10,1,1,1e+05,1330
"368",2649,121,10,1,1,43000,0
"369",4314,174,10,1,1,77000,2336
"370",2727,123,10,1,1,53000,2832
"371",1335,73,10,1,1,45000,40
"372",3111,136,10,1,1,150000,4480
"373",4969,193,10,1,1,99000,7530
"374",4409,177,10,1,1,110000,11825
"375",4745,187,10,1,1,38000,1877
"376",4169,169,10,1,1,85000,4055
"377",1747,91,10,1,1,27000,1720
"378",1746,91,10,1,1,66000,925
"379",4935,192,10,1,1,62000,3815
"380",437,36,10,1,1,42000,2041
"381",1922,97,10,1,1,61000,568
"382",1950,98,10,1,1,52000,1628
"383",4150,168,10,1,1,28000,1825
"384",2049,101,10,1,1,95000,1810
"385",2851,127,10,1,1,66000,-545
"386",3525,150,10,1,1,75000,7060
"387",2648,121,10,1,1,90000,2650
"388",2618,120,10,1,1,140000,6700
"389",3136,137,10,1,1,6600,2514
"390",4567,181,10,1,1,45000,1901
"391",2412,112,10,1,1,110000,3315
"392",5282,206,10,1,1,110000,5379
"393",2375,111,10,1,1,57000,5154
"394",5032,195,10,1,1,120000,6520
"395",3441,147,10,1,1,64000,3030
"396",3667,154,10,1,1,130000,7885
"397",4744,187,10,1,1,52000,1700
"398",2029,100,10,1,1,14000,554
"399",7649,294,10,1,1,39000,600
"400",6952,265,10,1,1,37000,367
"401",3230,140,10,1,1,21000,1018
"402",4377,176,10,1,1,67000,3576
"403",2901,129,10,1,1,33000,3685
"404",2455,114,10,1,1,71000,3293
"405",3199,139,10,1,1,18000,911
"406",3135,137,10,1,1,15000,233
"407",1921,97,10,1,1,76000,5131
"408",2617,120,10,1,1,54000,1589
"409",3167,138,10,1,1,52000,3983
"410",1413,77,10,1,1,52000,1130
"411",5126,199,10,1,1,120000,3578
"412",4168,169,10,2,3,20000,1176
"413",1551,83,10,2,3,36000,574
"414",2028,100,10,2,3,13000,408
"415",5488,214,10,2,3,55000,1528
"416",2298,109,10,2,3,13000,95
"417",5752,224,10,2,3,14000,700
"418",4810,188,10,2,3,5400,11
"419",7947,310,10,2,3,55000,1127
"420",3384,145,10,2,3,37000,1184
"421",2551,118,10,2,3,39000,1289
"422",2027,100,10,2,3,11000,420
"423",2177,105,10,2,3,32000,2110
"424",7520,289,10,2,3,34000,2970
"425",3110,136,10,2,3,81000,13960
"426",4443,178,10,2,3,88000,5907
"427",2997,132,10,2,3,43000,1917
"428",2026,100,10,2,3,14000,427
"429",5031,195,10,2,3,51000,4147
"430",1695,89,10,2,3,44000,480
"431",2252,107,10,2,3,21000,600
"432",2176,105,10,2,3,27000,540
"433",1459,79,10,2,3,14000,110
"434",4809,188,10,2,3,6200,50
"435",1694,89,10,2,3,53000,979
"436",1920,97,10,2,3,45000,2796
"437",2297,109,10,2,3,61000,12130
"438",2792,125,10,2,3,9000,0
"439",4481,179,10,2,3,17000,762
"440",5345,209,10,2,3,23000,1010
"441",2142,104,10,2,3,41000,5709
"442",1693,89,10,2,3,23000,480
"443",1692,89,10,2,3,20000,1159
"444",6042,233,10,2,3,40000,1820
"445",5198,202,10,2,3,27000,8309
"446",3416,146,10,2,3,48000,2268
"447",8042,316,10,2,3,5000,765
"448",4808,188,10,2,3,7200,567
"449",2175,105,10,2,3,25000,938
"450",2296,109,10,2,3,16000,670
"451",3631,153,10,2,3,1e+05,8659
"452",2025,100,10,2,3,12000,881
"453",8278,334,10,2,3,37000,752
"454",2550,118,10,2,3,41000,2395
"455",5751,224,10,2,3,9700,480
"456",5150,200,10,2,3,68000,0
"457",3775,157,10,2,3,28000,780
"458",2647,121,10,2,3,5500,0
"459",1526,82,10,2,3,8300,600
"460",2791,125,10,2,3,6500,432
"461",1581,85,10,2,3,82000,2719
"462",3109,136,10,2,3,62000,624
"463",3606,152,10,2,3,41000,240
"464",1326,72,10,2,3,24000,258
"465",3774,157,10,2,3,23000,1856
"466",4919,191,10,2,3,60000,5016
"467",1745,91,10,2,3,21000,10060
"468",2141,104,10,2,3,47000,576
"469",2140,104,10,2,3,38000,5595
"470",1691,89,10,2,3,20000,420
"471",1690,89,10,2,3,28000,420
"472",4837,189,10,2,3,35000,1736
"473",1412,77,10,2,3,34000,585
"474",3666,154,10,2,3,69000,12069
"475",3264,141,10,2,3,21000,420
"476",3229,140,10,2,3,26000,1025
"477",1077,57,10,2,3,25000,1430
"478",5000,194,10,2,3,56000,1060
"479",759,45,10,2,3,20000,720
"480",4918,191,10,2,3,67000,1637
"481",3922,160,10,2,3,62000,3850
"482",1887,96,10,2,3,35000,438
"483",2434,113,10,2,3,80000,2399
"484",2216,106,10,2,3,47000,942
"485",2476,115,10,2,3,34000,904
"486",3494,149,10,2,3,55000,480
"487",5030,195,10,2,3,11000,420
"488",2757,124,10,2,3,25000,1549
"489",3735,156,10,2,3,12000,480
"490",6517,250,10,2,3,16000,480
"491",2251,107,10,2,3,19000,450
"492",1689,89,10,2,3,24000,554
"493",3493,149,10,2,3,34000,966
"494",1494,81,10,2,3,17000,960
"495",2174,105,10,2,3,46000,3855
"496",2024,100,10,2,3,14000,510
"497",1919,97,10,2,3,42000,1997
"498",1688,89,10,2,3,35000,427
"499",4099,166,10,2,3,66000,2220
"500",1629,87,10,2,3,31000,540
"501",1550,83,10,2,3,33000,395
"502",2048,101,10,2,3,41000,12020
"503",4183,170,10,2,3,59000,1003
"504",731,44,10,2,3,32000,866
"505",1918,97,10,2,3,55000,4706
"506",2880,128,10,2,3,2700,333
"507",2597,119,10,2,3,26000,1479
"508",829,49,10,2,3,35000,642
"509",1949,98,10,2,3,68000,13490
"510",4313,174,10,2,3,79000,13705
"511",3134,137,10,2,3,61000,3665
"512",1647,88,10,2,3,52000,4540
"513",1325,72,10,2,3,15000,1214
"514",3050,134,10,2,3,47000,2134
"515",5067,196,10,2,3,51000,11535
"516",5230,204,10,2,3,70000,11158
"517",2879,128,10,2,3,89000,1337
"518",4008,163,10,2,3,150000,5050
"519",2596,119,10,2,3,45000,8684
"520",2023,100,10,2,3,87000,18015
"521",3524,150,10,2,3,87000,6810
"522",2824,126,10,2,3,9000,1150
"523",2823,126,10,2,3,97000,1833
"524",3665,154,10,2,3,15000,0
"525",2022,100,10,2,3,17000,500
"526",5750,224,10,2,3,91000,3761
"527",1076,57,10,2,3,14000,1254
"528",4917,191,10,2,3,98000,4143
"529",3773,157,10,2,3,48000,-1597
"530",5588,217,10,2,3,120000,6736
"531",2173,105,10,2,3,13000,549
"532",1549,83,10,2,3,28000,1022
"533",2822,126,10,2,3,22000,1570
"534",3985,162,10,2,3,53000,3710
"535",3290,142,10,2,3,18000,792
"536",3691,155,10,2,3,26000,6169
"537",2726,123,10,2,3,8500,994
"538",2646,121,10,2,3,16000,188
"539",1687,89,10,2,3,23000,448
"540",2021,100,10,2,3,13000,40
"541",2277,108,10,2,3,17000,782
"542",2139,104,10,2,3,33000,673
"543",3108,136,10,2,3,14000,932
"544",2756,124,10,2,3,15000,423
"545",2411,112,10,2,3,32000,3078
"546",4149,168,10,2,3,33000,3056
"547",4281,173,10,2,3,110000,1905
"548",1886,96,10,2,3,24000,9014
"549",8534,352,10,2,3,5400,592
"550",1808,93,10,2,3,57000,2228
"551",2595,119,10,2,3,92000,5582
"552",1458,79,10,2,3,35000,2961
"553",2020,100,10,2,3,32000,1919
"554",2725,123,10,2,3,5100,0
"555",6372,243,10,2,3,78000,8608
"556",1686,89,10,2,3,28000,457
"557",1989,99,10,2,3,83000,2065
"558",2454,114,10,2,3,20000,422
"559",1744,91,10,2,3,120000,1844
"560",3166,138,10,2,3,26000,504
"561",2594,119,10,2,3,52000,3971
"562",4148,168,10,2,3,54000,2547
"563",3133,137,10,2,3,43000,1402
"564",3289,142,10,2,3,37000,4718
"565",4069,165,10,2,3,27000,2249
"566",4968,193,10,2,3,77000,3093
"567",2172,105,10,2,3,9500,172
"568",2374,111,10,2,3,31000,3165
"569",1685,89,10,2,3,26000,525
"570",2534,117,10,2,3,16000,870
"571",3664,154,10,2,3,51000,1475
"572",4807,188,10,2,3,5600,0
"573",5029,195,10,2,3,64000,250
"574",1948,98,10,2,3,68000,643
"575",4999,194,10,2,3,41000,516
"576",3734,156,10,2,3,13000,554
"577",2453,114,10,2,3,29000,790
"578",4678,185,10,2,3,8100,420
"579",4041,164,10,2,3,32000,733
"580",4225,171,10,2,3,17000,1902
"581",3818,158,10,2,3,54000,1795
"582",1684,89,10,2,3,18000,720
"583",3383,145,10,2,3,69000,2164
"584",2373,111,10,2,3,29000,3071
"585",3355,144,10,2,3,40000,793
"586",1683,89,10,2,3,20000,120
"587",5773,225,10,2,3,71000,3246
"588",4998,194,10,2,3,16000,1748
"589",4098,166,10,2,3,20000,1237
"590",2295,109,10,2,3,38000,1145
"591",5028,195,10,2,3,23000,1910
"592",2171,105,10,2,3,24000,1280
"593",4442,178,10,2,3,35000,2100
"594",2821,126,10,2,3,30000,0
"595",1525,82,10,2,3,15000,624
"596",292,31,10,2,3,35000,715
"597",1003,54,10,2,3,81000,15260
"598",5772,225,10,2,3,27000,225
"599",1057,56,10,2,3,14000,0
"600",2452,114,10,2,3,22000,598
"601",4870,190,10,2,3,49000,3770
"602",3083,135,10,2,3,69000,5435
"603",4280,173,10,2,3,55000,10460
"604",3817,158,10,2,3,56000,5185
"605",1947,98,10,2,3,54000,1580
"606",4068,165,10,2,3,41000,3050
"607",4224,171,10,2,3,48000,1610
"608",1682,89,10,2,3,21000,150
"609",3957,161,10,2,3,15000,1928
"610",2593,119,10,2,3,30000,828
"611",2019,100,10,2,3,12000,70
"612",2475,115,10,2,3,1400,20
"613",5713,223,10,2,3,35000,2280
"614",3263,141,10,2,3,42000,2067
"615",3630,153,10,2,3,19000,11247
"616",3025,133,10,2,3,14000,1900
"617",3733,156,10,2,3,2800,221
"618",3605,152,10,2,3,17000,905
"619",7384,283,10,2,3,23000,2496
"620",3475,148,10,2,3,29000,1350
"621",4517,180,10,2,3,27000,1894
"622",4806,188,10,2,3,6700,680
"623",1379,75,10,2,3,21000,1050
"624",4480,179,10,2,3,13000,800
"625",3440,147,10,2,3,47000,1811
"626",4279,173,10,2,3,10000,780
"627",4067,165,10,2,3,28000,450
"628",2953,131,10,2,3,44000,2340
"629",5664,221,10,2,3,20000,658
"630",1126,61,10,2,3,24000,594
"631",1681,89,10,2,3,19000,408
"632",3772,157,10,2,3,60000,1626
"633",3262,141,10,2,3,39000,1873
"634",2138,104,10,2,3,49000,2722
"635",4836,189,10,2,3,12000,456
"636",2170,105,10,2,3,22000,1189
"637",6023,232,10,2,3,23000,1198
"638",6270,239,10,2,3,49000,14598
"639",1628,87,10,2,3,11000,420
"640",4621,183,10,2,3,26000,3890
"641",1056,56,10,2,3,12000,670
"642",2276,108,10,2,3,30000,2345
"643",1988,99,10,2,3,41000,931
"644",1580,85,10,2,3,13000,150
"645",4805,188,10,2,3,4500,869
"646",2169,105,10,2,3,16000,850
"647",2790,125,10,2,3,73000,2660
"648",1411,77,10,2,3,21000,1313
"649",1680,89,10,2,3,21000,421
"650",2109,103,10,2,3,54000,2128
"651",3562,151,10,2,3,49000,9925
"652",1102,59,10,2,3,44000,860
"653",2681,122,10,2,3,34000,1831
"654",1679,89,10,2,3,19000,427
"655",1743,91,10,2,3,75000,2676
"656",2878,128,10,2,3,82000,3666
"657",4566,181,10,2,3,16000,505
"658",4376,176,10,2,3,43000,1228
"659",1678,89,10,2,3,19000,285
"660",4066,165,10,2,3,51000,2996
"661",7229,276,10,2,3,31000,2501
"662",3024,133,10,2,3,18000,4416
"663",1987,99,10,2,3,22000,1216
"664",5587,217,10,2,3,14000,384
"665",3956,161,10,2,3,15000,993
"666",3629,153,10,2,3,19000,579
"667",1266,69,10,2,3,68000,10266
"668",2018,100,10,2,3,13000,394
"669",1548,83,10,2,3,44000,2493
"670",5344,209,10,2,3,39000,11676
"671",2451,114,10,2,3,51000,2741
"672",2137,104,10,2,3,42000,1167
"673",1885,96,10,2,3,45000,30
"674",1324,72,10,2,3,23000,476
"675",2680,122,10,2,3,64000,10947
"676",2017,100,10,2,3,17000,985
"677",7196,275,10,2,3,50000,8115
"678",1844,95,10,2,3,60000,2050
"679",2724,123,10,2,3,64000,2015
"680",1075,57,10,2,3,60000,1112
"681",1884,96,10,2,3,28000,1836
"682",1547,83,10,2,3,31000,1064
"683",2016,100,10,2,3,12000,336
"684",4677,185,10,2,3,32000,2448
"685",2679,122,10,2,3,11000,420
"686",4804,188,10,2,3,6200,12
"687",1742,91,10,2,3,14000,550
"688",173,26,10,2,3,61000,410
"689",2616,120,10,2,3,45000,2442
"690",1627,87,10,2,3,12000,502
"691",1626,87,10,2,3,12000,451
"692",2015,100,10,2,3,16000,30
"693",2502,116,10,2,3,29000,2560
"694",1364,74,10,2,3,26000,1421
"695",1794,92,10,2,3,29000,1118
"696",1493,81,10,2,3,15000,38
"697",2108,103,10,2,3,13000,680
"698",1741,91,10,2,3,24000,359
"699",1946,98,10,2,3,19000,1198
"700",2645,121,10,2,3,46000,1374
"701",3082,135,10,2,3,75000,1326
"702",3690,155,10,2,3,31000,3030
"703",2275,108,10,2,3,33000,11020
"704",2107,103,10,2,3,13000,426
"705",3523,150,10,2,3,25000,874
"706",3261,141,10,2,3,36000,2939
"707",3165,138,10,2,3,45000,1777
"708",2952,131,10,2,3,54000,1910
