"","IG","price","crime","rooms","sales","driveshop","type"
"54","S02000590",131.5,568,3,40,2.1,"semi"
"55","S02000591",167.5,370,4,33,1.35,"semi"
"56","S02000592",91,763,3,27,1,"flat"
"57","S02000593",132.5,220,4,115,0.75,"flat"
"58","S02000594",90,327,4,47,1.15,"flat"
"59","S02000595",94.15,540,4,86,0.55,"flat"
"60","S02000596",195,303,4,81,0.8,"flat"
"61","S02000597",61,846,3,50,1.4,"flat"
"62","S02000598",145.75,275,4,58,1.15,"flat"
"63","S02000599",104,292,3,149,1,"flat"
"64","S02000600",97,319,4,69,1,"flat"
"65","S02000601",85,579,4,11,1.1,"flat"
"66","S02000602",115,658,3,77,0.65,"flat"
"67","S02000603",117.5,609,3,123,0.3,"flat"
"68","S02000604",131,359,3,149,0.85,"flat"
"69","S02000605",123.45,420,3,108,0.35,"flat"
"70","S02000606",95.595,596,4,25,1,"flat"
"71","S02000607",130,687,3,152,0.8,"flat"
"72","S02000608",149.5,285,5,104,1.5,"semi"
"73","S02000609",128.835,676,3,114,0.45,"flat"
"74","S02000610",93,626,3,68,1.1,"flat"
"75","S02000611",128,312,4,49,1.6,"semi"
"76","S02000612",240.5,578,5,116,1.1,"flat"
"77","S02000613",102.379,245,4,30,2,"terrace"
"78","S02000614",118.5,948,3,177,0.3,"flat"
"79","S02000615",95,656,3,53,0.9,"flat"
"80","S02000616",91,829,3,120,0.6,"flat"
"81","S02000617",91.611,667,4,36,1.5,"flat"
"82","S02000618",151.5,412,3,124,2.6,"flat"
"83","S02000619",72,747,3,23,0.9,"flat"
"84","S02000620",113.07,829,3,136,1.5,"flat"
"85","S02000621",124,325,4,73,1.8,"flat"
"86","S02000622",146,594,4,135,0.4,"flat"
"87","S02000623",175,186,4,41,1.8,"detached"
"88","S02000624",162.75,605,4,90,0.8,"flat"
"89","S02000625",95.5,1047,4,53,1.05,"flat"
"90","S02000626",95,239,4,29,2.5,"terrace"
"91","S02000627",96.5,474,4,75,0.6,"flat"
"92","S02000628",131.125,692,3,64,0.65,"flat"
"93","S02000629",82.998,797,3,52,1.1,"flat"
"94","S02000630",87.25,775,3,84,0.8,"flat"
"95","S02000631",95,683,3,57,0.9,"flat"
"96","S02000632",85,718,3,79,0.6,"flat"
"97","S02000633",70,1994,3,47,0.5,"flat"
"98","S02000634",121.55,1872,3,77,0.8,"flat"
"99","S02000635",115.5,1279,3,169,0.8,"flat"
"100","S02000636",140,316,4,43,2.1,"semi"
"101","S02000637",91,456,3,40,0.8,"flat"
"102","S02000638",90.25,521,3,50,0.7,"flat"
"103","S02000639",91,333,4,69,1.1,"flat"
"104","S02000640",85,668,3,45,1.05,"flat"
"105","S02000641",92.5,618,4,50,1.4,"flat"
"106","S02000642",115,577,3,88,0.7,"flat"
"107","S02000643",122.5,830,3,109,1.45,"flat"
"108","S02000644",84.75,1213,3,65,0.45,"flat"
"109","S02000645",137,234,4,56,2.3,"semi"
"110","S02000646",88,1026,3,37,2,"flat"
"111","S02000647",131.75,682,3,120,0.6,"flat"
"112","S02000648",70,913,3,79,0.95,"flat"
"113","S02000649",90.25,1109,3,47,0.9,"flat"
"114","S02000650",120,570,3,108,0.3,"flat"
"115","S02000651",153.5,576,3,135,0.65,"flat"
"116","S02000652",104,1399,3,7,1.15,"flat"
"117","S02000653",64,584,3,53,2.25,"flat"
"118","S02000654",97.225,693,3,54,1.9,"flat"
"119","S02000656",66.5,1548,3,31,0.85,"flat"
"120","S02000657",96,455,3,48,1.8,"flat"
"121","S02000658",140,1830,3,229,1.1,"flat"
"122","S02000659",117.725,559,3,168,0.6,"flat"
"123","S02000660",108.5,912,3,69,1.4,"flat"
"124","S02000661",141.25,772,3,158,0.9,"flat"
"125","S02000662",60.5,1155,3,4,1.45,"flat"
"126","S02000663",116.25,819,3,72,1.6,"flat"
"127","S02000664",167.5,765,3,175,0.4,"flat"
"128","S02000665",204.225,643,4,140,0.5,"flat"
"129","S02000666",95,687,3,22,0.85,"flat"
"130","S02000667",100.5,907,3,70,1.9,"flat"
"131","S02000668",155,487,3,168,0.5,"flat"
"132","S02000669",124,755,3,49,0.35,"flat"
"133","S02000670",123.725,554,3,36,0.6,"flat"
"134","S02000671",142,408,3,79,0.55,"flat"
"135","S02000672",230.564,711,4,122,0.5,"flat"
"136","S02000673",124.5,825,3,69,1.55,"flat"
"137","S02000674",151.5,893,4,138,0.9,"flat"
"138","S02000675",125,565,3,97,0.8,"flat"
"139","S02000676",122.995,1014,3,55,0.9,"flat"
"140","S02000677",200,292,4,103,0.35,"flat"
"141","S02000678",120.495,614,3,68,1.6,"flat"
"142","S02000679",191.25,320,4,94,1.2,"flat"
"143","S02000680",91.5,439,3,51,1.15,"flat"
"144","S02000681",245,409,4,136,0.6,"flat"
"145","S02000682",190,328,5,44,1.6,"terrace"
"146","S02000683",217,453,4,101,1,"flat"
"147","S02000684",95,910,3,27,0.9,"flat"
"148","S02000685",116.25,1503,3,42,0.85,"flat"
"149","S02000686",245,389,3,57,1.2,"flat"
"150","S02000687",100,803,3,18,1.75,"flat"
"151","S02000688",140,580,3,119,0.75,"flat"
"152","S02000689",240.25,304,4,144,1,"flat"
"153","S02000690",235,336,4,108,1.25,"flat"
"154","S02000691",90,779,3,53,0.9,"flat"
"155","S02000692",148.25,1010,3,106,1.05,"flat"
"156","S02000693",80,795,3,13,0.6,"flat"
"157","S02000694",78,586,3,57,1.1,"flat"
"158","S02000695",189,217,4,165,0.9,"semi"
"159","S02000696",97,730,3,81,1.3,"flat"
"160","S02000697",95,663,4,31,1.7,"flat"
"161","S02000698",141.25,681,3,52,1.3,"flat"
"162","S02000699",120,666,3,45,0.5,"flat"
"163","S02000700",92.498,1411,3,22,1.2,"flat"
"164","S02000701",90,748,3,55,1.9,"flat"
"165","S02000702",130,434,3,103,0.6,"flat"
"166","S02000703",122,361,3,27,1.5,"flat"
"167","S02000704",114,686,3,47,1.5,"flat"
"168","S02000705",144.5,313,3,202,1,"flat"
"169","S02000706",117,510,3,41,1.4,"flat"
"170","S02000707",139.995,271,4,51,1.5,"terrace"
"171","S02000708",93,705,3,17,1.9,"flat"
"172","S02000709",115,453,3,74,1.9,"flat"
"173","S02000710",93,632,4,51,1.95,"flat"
"174","S02000711",146,250,4,44,1.4,"terrace"
"175","S02000712",69.25,767,3,24,1.65,"flat"
"176","S02000713",150,416,3,67,2.65,"flat"
"177","S02000714",88,865,3,26,0.7,"flat"
"178","S02000715",105,1048,3,13,1.65,"flat"
"179","S02000716",98,1065,3,11,1,"flat"
"180","S02000771",186,163,5,51,0.5,"detached"
"181","S02000772",168,142,5,51,2.05,"detached"
"182","S02000773",182,248,5,141,8.5,"detached"
"183","S02000774",83,563,4,33,1,"terrace"
"184","S02000775",50,736,4,98,1.4,"flat"
"185","S02000776",135.998,509,4,116,2.9,"flat"
"186","S02000777",123.75,246,4,58,4.55,"detached"
"187","S02000778",113,613,3,75,3.7,"flat"
"188","S02000779",88.5,481,3,64,3.4,"flat"
"189","S02000780",66,918,3,97,2.8,"flat"
"190","S02000781",84,1172,3,77,2.65,"flat"
"191","S02000782",75,919,4,27,4.2,"terrace"
"192","S02000783",82.75,592,4,52,4,"flat"
"193","S02000784",105,641,4,111,2.45,"flat"
"194","S02000785",99.75,558,3,76,2.5,"flat"
"195","S02000786",120,277,4,88,2.55,"flat"
"196","S02000787",207.163,254,5,82,2.8,"flat"
"197","S02000923",160.75,237,4,70,2.75,"semi"
"198","S02000925",132,556,4,58,4.5,"flat"
"199","S02000926",94.75,333,3,32,5.6,"terrace"
"200","S02000927",152.5,128,4,69,5.7,"semi"
"201","S02000983",135.25,181,4,44,4.95,"flat"
"202","S02000984",267.5,327,5,88,3.8,"detached"
"203","S02000985",93.75,519,4,38,3.9,"terrace"
"204","S02000986",95.5,454,4,38,3.1,"flat"
"205","S02000987",95,390,4,39,3.9,"terrace"
"206","S02000988",91,467,4,50,2.5,"terrace"
"207","S02000989",138.5,188,4,71,2.4,"semi"
"208","S02000990",135,139,4,71,2.8,"detached"
"209","S02000991",93,474,3,144,1.8,"flat"
"210","S02000992",90,520,4,58,1.6,"flat"
"211","S02000993",165,334,5,73,1.95,"flat"
"212","S02000994",112,849,3,77,1.05,"flat"
"213","S02000995",96,423,3,83,2,"flat"
"214","S02000996",122.5,375,4,56,2.6,"flat"
"215","S02000997",95,570,4,34,1.5,"flat"
"216","S02000998",97,647,3,46,0.55,"flat"
"217","S02000999",148.5,427,4,108,1.7,"semi"
"218","S02001000",89.998,1318,3,266,0.9,"flat"
"219","S02001001",90,1170,3,116,1.4,"flat"
"220","S02001002",216,137,5,63,1.2,"semi"
"221","S02001003",81.6,1006,3,38,1.6,"flat"
"222","S02001004",101.5,504,3,122,0.5,"flat"
"223","S02001005",83,589,3,37,0.85,"flat"
"224","S02001006",92.5,317,4,48,1.8,"terrace"
"225","S02001007",80.25,635,3,82,0.9,"flat"
"226","S02001008",179,299,5,74,0.7,"detached"
"227","S02001009",165.25,85,5,51,3.6,"detached"
"228","S02001010",78.75,1374,3,74,1.2,"flat"
"229","S02001011",97,472,4,82,1.25,"flat"
"230","S02001012",170,144,5,42,2.95,"detached"
"231","S02001013",119.5,344,4,96,1,"semi"
"232","S02001014",108,565,3,135,0.75,"flat"
"233","S02001015",242.253,897,5,52,3.25,"detached"
"234","S02001016",152,832,3,230,0.45,"flat"
"235","S02001017",160,138,4,63,2.35,"detached"
"236","S02001018",125,261,4,48,1.7,"terrace"
"237","S02001019",124.995,127,4,59,1.2,"terrace"
"238","S02001020",180,122,5,39,4,"semi"
"239","S02001146",202,722,4,78,1.8,"flat"
"240","S02001148",153,555,4,48,1.5,"flat"
"241","S02001149",110,351,4,47,1.25,"semi"
"242","S02001150",155,484,4,57,1.1,"flat"
"243","S02001152",108,505,4,41,0.85,"flat"
"244","S02001153",202.5,402,5,54,0.7,"flat"
"245","S02001154",184,474,5,51,0.45,"semi"
"246","S02001156",165,313,5,108,2.2,"detached"
"247","S02001157",118,747,4,71,1.7,"flat"
"248","S02001158",100,361,4,59,0.9,"flat"
"249","S02001159",152,219,4,119,1,"flat"
"250","S02001160",86,837,3,41,1,"flat"
"251","S02001161",86,1126,3,60,0.5,"flat"
"252","S02001162",130,572,3,82,0.7,"flat"
"253","S02001184",86.5,1101,3,38,1.3,"flat"
"254","S02001185",126,1470,3,97,0.7,"flat"
"255","S02001186",90,900,4,57,0.7,"flat"
"256","S02001187",103.5,662,3,52,1.25,"flat"
"257","S02001188",110,797,3,53,0.7,"flat"
"258","S02001189",115,515,3,53,1.6,"flat"
"259","S02001190",123.75,265,4,78,1.5,"flat"
"260","S02001191",93,855,3,65,2.6,"flat"
"261","S02001192",95,637,3,175,0.65,"flat"
"262","S02001193",143.45,347,4,50,2.45,"flat"
"263","S02001194",130,329,4,78,1.7,"flat"
"264","S02001195",112.5,827,3,86,1.4,"flat"
"265","S02001196",122.498,743,3,62,2.1,"flat"
"266","S02001197",77,641,3,69,2,"terrace"
"267","S02001198",86.25,547,3,58,1.4,"flat"
"268","S02001199",128.5,655,4,59,1.2,"flat"
"269","S02001200",95,787,3,72,1.4,"flat"
"270","S02001201",125,547,4,51,2.4,"semi"
