"","IG","year","sales","stock"
"151","S02000687",2003,17,1807
"152","S02000688",2003,212,2922
"153","S02000689",2003,220,2924
"154","S02000690",2003,171,2557
"155","S02000691",2003,103,2316
"156","S02000692",2003,89,2735
"157","S02000693",2003,30,2735
"158","S02000694",2003,71,2229
"159","S02000695",2003,197,2101
"160","S02000696",2003,85,1994
"161","S02000697",2003,31,1490
"162","S02000698",2003,112,1666
"163","S02000699",2003,49,1998
"164","S02000700",2003,32,1757
"165","S02000701",2003,41,1820
"166","S02000702",2003,178,1982
"167","S02000703",2003,42,1268
"168","S02000704",2003,22,1736
"169","S02000705",2003,238,2881
"170","S02000706",2003,36,1938
"171","S02000707",2003,33,1245
"172","S02000708",2003,22,1802
"173","S02000709",2003,89,2876
"174","S02000710",2003,72,1779
"175","S02000711",2003,37,1162
"176","S02000712",2003,21,1570
"177","S02000713",2003,71,1762
"178","S02000714",2003,25,1440
"179","S02000715",2003,20,1479
"180","S02000716",2003,14,1562
"181","S02000771",2003,91,1183
"182","S02000772",2003,66,1366
"183","S02000773",2003,124,1925
"184","S02000774",2003,36,2344
"185","S02000775",2003,48,2851
"186","S02000776",2003,74,2467
"187","S02000777",2003,72,1901
"188","S02000778",2003,62,2790
"189","S02000779",2003,78,2193
"190","S02000780",2003,98,2499
"191","S02000781",2003,84,4013
"192","S02000782",2003,39,2183
"193","S02000783",2003,65,2599
"194","S02000784",2003,171,2767
"195","S02000785",2003,85,2222
"196","S02000786",2003,112,2049
"197","S02000787",2003,71,2078
"198","S02000923",2003,135,2157
"199","S02000925",2003,78,1668
"200","S02000926",2003,59,1493
"201","S02000927",2003,80,1248
"202","S02000983",2003,73,1176
"203","S02000984",2003,68,1185
"204","S02000985",2003,61,1718
"205","S02000986",2003,65,1620
"206","S02000987",2003,54,2741
"207","S02000988",2003,75,2354
"208","S02000989",2003,87,1280
"209","S02000990",2003,118,2064
"210","S02000991",2003,131,3327
"211","S02000992",2003,66,2388
"212","S02000993",2003,108,1417
"213","S02000994",2003,52,1809
"214","S02000995",2003,119,2572
"215","S02000996",2003,57,1554
"216","S02000997",2003,45,1968
"217","S02000998",2003,98,1704
"218","S02000999",2003,91,2242
"219","S02001000",2003,383,4070
"220","S02001001",2003,133,2408
"221","S02001002",2003,67,2034
"222","S02001003",2003,68,2227
"223","S02001004",2003,179,3267
"224","S02001005",2003,47,2129
"225","S02001006",2003,81,1894
"226","S02001007",2003,75,2797
"227","S02001008",2003,104,2007
"228","S02001009",2003,80,1304
"229","S02001010",2003,102,2468
"230","S02001011",2003,99,2470
"231","S02001012",2003,76,1198
"232","S02001013",2003,122,2467
"233","S02001014",2003,138,3050
"234","S02001015",2003,65,1342
"235","S02001016",2003,131,1635
"236","S02001017",2003,140,2171
"237","S02001018",2003,114,2099
"238","S02001019",2003,119,2433
"239","S02001020",2003,67,1934
"240","S02001146",2003,54,2179
"241","S02001148",2003,73,1705
"242","S02001149",2003,57,2077
"243","S02001150",2003,82,2248
"244","S02001152",2003,49,1365
"245","S02001153",2003,95,1668
"246","S02001154",2003,86,1442
"247","S02001156",2003,264,1828
"248","S02001157",2003,83,1493
"249","S02001158",2003,129,1519
"250","S02001159",2003,100,2421
"251","S02001160",2003,41,1804
"252","S02001161",2003,102,1948
"253","S02001162",2003,57,1732
"254","S02001184",2003,51,2288
"255","S02001185",2003,105,2284
"256","S02001186",2003,48,2780
"257","S02001187",2003,54,2354
"258","S02001188",2003,111,3243
"259","S02001189",2003,88,1725
"260","S02001190",2003,121,2299
"261","S02001191",2003,51,2401
"262","S02001192",2003,189,3037
"263","S02001193",2003,79,1925
"264","S02001194",2003,62,1871
"265","S02001195",2003,79,2790
"266","S02001196",2003,97,2680
"267","S02001197",2003,82,2457
"268","S02001198",2003,103,2337
"269","S02001199",2003,75,1909
"270","S02001200",2003,129,2659
"271","S02001201",2003,81,2633
"272","S02000260",2004,146,2130
"273","S02000261",2004,47,913
"274","S02000262",2004,81,1731
"275","S02000263",2004,62,1202
"276","S02000264",2004,81,2319
"277","S02000265",2004,33,1109
"278","S02000266",2004,41,1129
"279","S02000267",2004,52,1353
"280","S02000268",2004,63,2202
"281","S02000269",2004,53,1341
"282","S02000270",2004,73,2170
"283","S02000271",2004,70,1646
"284","S02000272",2004,46,1431
"285","S02000273",2004,43,1215
"286","S02000274",2004,44,1294
"287","S02000275",2004,65,1411
"288","S02000276",2004,75,1575
"289","S02000277",2004,54,1975
"290","S02000278",2004,38,1102
"291","S02000279",2004,69,1902
"292","S02000280",2004,46,1547
"293","S02000281",2004,128,1945
"294","S02000282",2004,63,1423
"295","S02000283",2004,23,1345
"296","S02000284",2004,40,1405
"297","S02000285",2004,67,1059
"298","S02000286",2004,40,1584
"299","S02000287",2004,71,1792
"300","S02000310",2004,88,1980
"301","S02000311",2004,136,2434
"302","S02000312",2004,88,1326
"303","S02000313",2004,141,2114
"304","S02000314",2004,72,2356
"305","S02000316",2004,104,1389
"306","S02000317",2004,110,2190
"307","S02000318",2004,136,2173
"308","S02000319",2004,55,1078
"309","S02000320",2004,60,1438
"310","S02000321",2004,83,2235
"311","S02000322",2004,43,1734
"312","S02000323",2004,59,1230
"313","S02000324",2004,64,1689
"314","S02000325",2004,72,1877
"315","S02000326",2004,83,1992
"316","S02000327",2004,69,1713
"317","S02000328",2004,107,2756
"318","S02000329",2004,53,1291
"319","S02000584",2004,48,1644
"320","S02000585",2004,35,2993
"321","S02000586",2004,83,1345
"322","S02000587",2004,74,2268
"323","S02000588",2004,97,1890
"324","S02000589",2004,61,2584
"325","S02000590",2004,47,1235
"326","S02000591",2004,38,1173
"327","S02000592",2004,43,2253
"328","S02000593",2004,102,2170
"329","S02000594",2004,50,1472
"330","S02000595",2004,115,1778
"331","S02000596",2004,83,2155
"332","S02000597",2004,45,2389
"333","S02000598",2004,68,1452
"334","S02000599",2004,213,2854
"335","S02000600",2004,105,1783
"336","S02000601",2004,11,1962
"337","S02000602",2004,153,3160
"338","S02000603",2004,155,2250
"339","S02000604",2004,199,2150
"340","S02000605",2004,163,1937
"341","S02000606",2004,32,1403
"342","S02000607",2004,242,2795
"343","S02000608",2004,249,2546
"344","S02000609",2004,195,2235
"345","S02000610",2004,45,3193
"346","S02000611",2004,91,1704
"347","S02000612",2004,160,2319
"348","S02000613",2004,35,1217
"349","S02000614",2004,313,3015
"350","S02000615",2004,87,2158
"351","S02000616",2004,174,2868
"352","S02000617",2004,47,1944
"353","S02000618",2004,173,1981
"354","S02000619",2004,25,2656
"355","S02000620",2004,83,2571
"356","S02000621",2004,60,2354
"357","S02000622",2004,164,1626
"358","S02000623",2004,70,1559
"359","S02000624",2004,102,1761
"360","S02000625",2004,62,1756
"361","S02000626",2004,45,1772
"362","S02000627",2004,96,2437
"363","S02000628",2004,140,3655
"364","S02000629",2004,102,1888
"365","S02000630",2004,96,2048
"366","S02000631",2004,70,1999
"367","S02000632",2004,107,2691
"368","S02000633",2004,46,2957
"369","S02000634",2004,181,2852
"370","S02000635",2004,298,3431
"371","S02000636",2004,47,1718
"372","S02000637",2004,57,1951
"373","S02000638",2004,60,2372
"374","S02000639",2004,88,1697
"375","S02000640",2004,68,2528
"376","S02000641",2004,45,2326
"377","S02000642",2004,124,1842
"378","S02000643",2004,16,1737
"379","S02000644",2004,85,2080
"380","S02000645",2004,88,1609
"381","S02000646",2004,46,2103
"382","S02000647",2004,90,2282
"383","S02000648",2004,97,2926
"384","S02000649",2004,29,1566
"385","S02000650",2004,196,2106
"386","S02000651",2004,187,2175
"387","S02000652",2004,43,1949
"388","S02000653",2004,65,1372
"389","S02000654",2004,46,2881
"390","S02000655",2004,236,2792
"391","S02000656",2004,46,3226
"392","S02000657",2004,48,1810
"393","S02000658",2004,213,5134
"394","S02000659",2004,203,3368
"395","S02000660",2004,163,3303
"396","S02000661",2004,219,3635
"397","S02000662",2004,1,1666
"398","S02000663",2004,45,2516
"399","S02000664",2004,206,3574
"400","S02000665",2004,171,2863
"401","S02000666",2004,28,3255
"402","S02000667",2004,58,2384
"403","S02000668",2004,117,1869
"404","S02000669",2004,88,1901
"405","S02000670",2004,7,2222
"406","S02000671",2004,137,2314
"407","S02000672",2004,154,2685
"408","S02000673",2004,59,1926
"409","S02000674",2004,48,1560
"410","S02000675",2004,185,3402
"411","S02000676",2004,56,2165
"412","S02000677",2004,149,2136
"413","S02000678",2004,23,1645
"414","S02000679",2004,125,2235
"415","S02000680",2004,74,2502
"416","S02000681",2004,128,2259
"417","S02000682",2004,44,1133
"418","S02000683",2004,113,1870
"419","S02000684",2004,50,2022
"420","S02000685",2004,15,2899
"421","S02000686",2004,77,1870
"422","S02000687",2004,16,1787
"423","S02000688",2004,211,2959
"424","S02000689",2004,180,2900
"425","S02000690",2004,175,2622
"426","S02000691",2004,74,2372
"427","S02000692",2004,58,2869
"428","S02000693",2004,32,2650
"429","S02000694",2004,85,2261
"430","S02000695",2004,198,2113
"431","S02000696",2004,90,2004
"432","S02000697",2004,29,1490
"433","S02000698",2004,69,1812
"434","S02000699",2004,52,1997
"435","S02000700",2004,23,1542
"436","S02000701",2004,50,1810
"437","S02000702",2004,242,2178
"438","S02000703",2004,35,1268
"439","S02000704",2004,32,1753
"440","S02000705",2004,179,3046
"441","S02000706",2004,48,1938
"442","S02000707",2004,39,1258
"443","S02000708",2004,25,1717
"444","S02000709",2004,105,2878
"445","S02000710",2004,55,1795
"446","S02000711",2004,36,1164
"447","S02000712",2004,29,1565
"448","S02000713",2004,76,1764
"449","S02000714",2004,25,1435
"450","S02000715",2004,9,1638
"451","S02000716",2004,19,1485
"452","S02000771",2004,82,1189
"453","S02000772",2004,95,1410
"454","S02000773",2004,177,2008
"455","S02000774",2004,49,2306
"456","S02000775",2004,48,2869
"457","S02000776",2004,85,2500
"458","S02000777",2004,86,1913
"459","S02000778",2004,53,2824
"460","S02000779",2004,72,2184
"461","S02000780",2004,76,2486
"462","S02000781",2004,80,4012
"463","S02000782",2004,51,2184
"464","S02000783",2004,50,2588
"465","S02000784",2004,160,2888
"466","S02000785",2004,92,2228
"467","S02000786",2004,114,2079
"468","S02000787",2004,79,2091
"469","S02000923",2004,105,2250
"470","S02000925",2004,86,1699
"471","S02000926",2004,58,1509
"472","S02000927",2004,78,1254
"473","S02000983",2004,97,1229
"474","S02000984",2004,56,1200
"475","S02000985",2004,45,1688
"476","S02000986",2004,60,1591
"477","S02000987",2004,63,2550
"478","S02000988",2004,43,2340
"479","S02000989",2004,68,1286
"480","S02000990",2004,120,2075
"481","S02000991",2004,138,3293
"482","S02000992",2004,57,2303
"483","S02000993",2004,167,1509
"484","S02000994",2004,56,1810
"485","S02000995",2004,120,2524
"486","S02000996",2004,75,1578
"487","S02000997",2004,72,1970
"488","S02000998",2004,102,1726
"489","S02000999",2004,84,2241
"490","S02001000",2004,349,4198
"491","S02001001",2004,118,2440
"492","S02001002",2004,67,2034
"493","S02001003",2004,78,2174
"494","S02001004",2004,194,3290
"495","S02001005",2004,45,2134
"496","S02001006",2004,50,1926
"497","S02001007",2004,80,2828
"498","S02001008",2004,111,2026
"499","S02001009",2004,82,1304
"500","S02001010",2004,112,2410
"501","S02001011",2004,91,2470
"502","S02001012",2004,57,1202
"503","S02001013",2004,109,2467
"504","S02001014",2004,168,2925
"505","S02001015",2004,52,1419
"506","S02001016",2004,129,1716
"507","S02001017",2004,105,2172
"508","S02001018",2004,93,2099
"509","S02001019",2004,103,2433
"510","S02001020",2004,56,1914
"511","S02001146",2004,51,2180
"512","S02001148",2004,102,1740
"513","S02001149",2004,64,2093
"514","S02001150",2004,68,2248
"515","S02001152",2004,37,1364
"516","S02001153",2004,87,1666
"517","S02001154",2004,102,1477
"518","S02001156",2004,245,1994
"519","S02001157",2004,126,1633
"520","S02001158",2004,99,1519
"521","S02001159",2004,121,2433
"522","S02001160",2004,49,1812
"523","S02001161",2004,99,1969
"524","S02001162",2004,71,1701
"525","S02001184",2004,73,2380
"526","S02001185",2004,99,2245
"527","S02001186",2004,55,2781
"528","S02001187",2004,67,2352
"529","S02001188",2004,79,3196
"530","S02001189",2004,83,1719
"531","S02001190",2004,138,2370
"532","S02001191",2004,61,2381
"533","S02001192",2004,248,3071
"534","S02001193",2004,70,1925
"535","S02001194",2004,88,1885
"536","S02001195",2004,74,2752
"537","S02001196",2004,68,2601
"538","S02001197",2004,63,2386
"539","S02001198",2004,97,2369
"540","S02001199",2004,70,1966
"541","S02001200",2004,144,2712
"542","S02001201",2004,86,2521
"543","S02000260",2005,136,2179
"544","S02000261",2005,55,921
"545","S02000262",2005,72,1731
"546","S02000263",2005,65,1202
"547","S02000264",2005,110,2320
"548","S02000265",2005,44,1109
"549","S02000266",2005,55,1129
"550","S02000267",2005,66,1353
"551","S02000268",2005,122,2269
"552","S02000269",2005,67,1341
"553","S02000270",2005,81,2171
"554","S02000271",2005,81,1647
"555","S02000272",2005,78,1430
"556","S02000273",2005,53,1215
"557","S02000274",2005,50,1296
"558","S02000275",2005,85,1411
"559","S02000276",2005,93,1575
"560","S02000277",2005,53,1980
"561","S02000278",2005,38,1102
"562","S02000279",2005,80,1915
"563","S02000280",2005,52,1546
"564","S02000281",2005,132,1951
"565","S02000282",2005,102,1452
"566","S02000283",2005,27,1345
"567","S02000284",2005,52,1405
"568","S02000285",2005,65,1058
"569","S02000286",2005,52,1585
"570","S02000287",2005,71,1794
"571","S02000310",2005,87,1979
"572","S02000311",2005,131,2439
"573","S02000312",2005,68,1326
"574","S02000313",2005,130,2115
"575","S02000314",2005,79,2355
"576","S02000316",2005,65,1385
"577","S02000317",2005,125,2190
"578","S02000318",2005,132,2178
"579","S02000319",2005,42,1078
"580","S02000320",2005,75,1439
"581","S02000321",2005,85,2251
"582","S02000322",2005,56,1734
"583","S02000323",2005,76,1244
"584","S02000324",2005,70,1689
"585","S02000325",2005,74,1877
"586","S02000326",2005,79,1992
"587","S02000327",2005,87,1715
"588","S02000328",2005,102,2798
"589","S02000329",2005,46,1291
"590","S02000584",2005,33,1633
"591","S02000585",2005,29,2471
"592","S02000586",2005,96,1266
"593","S02000587",2005,80,2267
"594","S02000588",2005,42,1885
"595","S02000589",2005,78,2610
"596","S02000590",2005,45,1187
"597","S02000591",2005,50,1179
"598","S02000592",2005,57,2250
"599","S02000593",2005,144,2246
"600","S02000594",2005,74,1472
"601","S02000595",2005,138,1778
"602","S02000596",2005,95,2157
"603","S02000597",2005,65,2513
"604","S02000598",2005,80,1452
"605","S02000599",2005,231,2854
"606","S02000600",2005,96,1784
"607","S02000601",2005,15,1918
"608","S02000602",2005,148,3254
"609","S02000603",2005,182,2291
"610","S02000604",2005,248,2202
"611","S02000605",2005,158,1937
"612","S02000606",2005,29,1402
"613","S02000607",2005,226,2814
"614","S02000608",2005,217,2658
"615","S02000609",2005,208,2236
"616","S02000610",2005,42,3163
"617","S02000611",2005,72,1704
"618","S02000612",2005,161,2321
"619","S02000613",2005,35,1217
"620","S02000614",2005,293,3018
"621","S02000615",2005,84,2158
"622","S02000616",2005,183,2866
"623","S02000617",2005,43,1949
"624","S02000618",2005,133,2003
"625","S02000619",2005,26,2397
"626","S02000620",2005,95,2574
"627","S02000621",2005,128,2311
"628","S02000622",2005,159,1679
"629","S02000623",2005,82,1579
"630","S02000624",2005,102,1777
"631","S02000625",2005,71,1757
"632","S02000626",2005,46,1772
"633","S02000627",2005,117,2437
"634","S02000628",2005,238,3519
"635","S02000629",2005,121,1879
"636","S02000630",2005,89,2050
"637","S02000631",2005,91,1997
"638","S02000632",2005,122,2714
"639","S02000633",2005,77,3013
"640","S02000634",2005,215,3033
"641","S02000635",2005,197,3452
"642","S02000636",2005,78,1718
"643","S02000637",2005,56,1948
"644","S02000638",2005,76,2374
"645","S02000639",2005,123,1698
"646","S02000640",2005,78,2547
"647","S02000641",2005,79,2260
"648","S02000642",2005,181,1886
"649","S02000643",2005,18,1747
"650","S02000644",2005,76,2070
"651","S02000645",2005,102,1622
"652","S02000646",2005,78,2156
"653","S02000647",2005,148,2341
"654","S02000648",2005,100,2944
"655","S02000649",2005,23,1568
"656","S02000650",2005,235,2202
"657","S02000651",2005,176,2294
"658","S02000652",2005,4,1746
"659","S02000653",2005,64,1358
"660","S02000654",2005,55,2867
"661","S02000655",2005,154,2895
"662","S02000656",2005,45,3228
"663","S02000657",2005,48,1811
"664","S02000658",2005,195,5331
"665","S02000659",2005,274,3450
"666","S02000660",2005,140,3360
"667","S02000661",2005,269,3730
"668","S02000662",2005,5,1690
"669","S02000663",2005,47,2513
"670","S02000664",2005,192,3578
"671","S02000665",2005,178,2877
"672","S02000666",2005,30,3286
"673","S02000667",2005,78,2378
"674","S02000668",2005,230,2149
"675","S02000669",2005,57,1895
"676","S02000670",2005,18,2221
"677","S02000671",2005,172,2352
"678","S02000672",2005,180,2695
"679","S02000673",2005,64,1952
"680","S02000674",2005,69,1515
"681","S02000675",2005,167,3415
"682","S02000676",2005,74,2114
"683","S02000677",2005,160,2137
"684","S02000678",2005,41,1647
"685","S02000679",2005,146,2254
"686","S02000680",2005,57,2497
"687","S02000681",2005,156,2269
"688","S02000682",2005,48,1133
"689","S02000683",2005,143,1870
"690","S02000684",2005,53,2022
"691","S02000685",2005,15,2937
"692","S02000686",2005,73,1870
"693","S02000687",2005,22,1769
"694","S02000688",2005,232,3134
"695","S02000689",2005,227,2917
"696","S02000690",2005,146,2622
"697","S02000691",2005,80,2361
"698","S02000692",2005,51,2814
"699","S02000693",2005,29,2589
"700","S02000694",2005,84,2261
"701","S02000695",2005,197,2113
"702","S02000696",2005,105,2016
"703","S02000697",2005,27,1490
"704","S02000698",2005,78,1811
"705","S02000699",2005,43,1997
"706","S02000700",2005,24,1490
"707","S02000701",2005,68,1895
"708","S02000702",2005,158,2180
"709","S02000703",2005,43,1267
"710","S02000704",2005,28,1742
"711","S02000705",2005,177,3073
"712","S02000706",2005,47,1938
"713","S02000707",2005,32,1258
"714","S02000708",2005,19,1717
"715","S02000709",2005,96,2875
"716","S02000710",2005,88,1826
"717","S02000711",2005,46,1164
"718","S02000712",2005,21,1565
"719","S02000713",2005,59,1765
"720","S02000714",2005,81,1478
"721","S02000715",2005,20,1664
"722","S02000716",2005,7,1387
"723","S02000771",2005,71,1196
"724","S02000772",2005,77,1440
"725","S02000773",2005,141,2089
"726","S02000774",2005,49,2276
"727","S02000775",2005,54,2784
"728","S02000776",2005,97,2497
"729","S02000777",2005,86,1929
"730","S02000778",2005,71,2732
"731","S02000779",2005,65,2170
"732","S02000780",2005,95,2553
"733","S02000781",2005,82,3968
"734","S02000782",2005,61,2096
"735","S02000783",2005,61,2218
"736","S02000784",2005,180,2998
"737","S02000785",2005,94,2231
"738","S02000786",2005,146,2082
"739","S02000787",2005,103,2102
"740","S02000923",2005,140,2373
"741","S02000925",2005,70,1723
"742","S02000926",2005,33,1476
"743","S02000927",2005,87,1289
"744","S02000983",2005,65,1238
"745","S02000984",2005,75,1216
"746","S02000985",2005,57,1688
"747","S02000986",2005,71,1561
"748","S02000987",2005,64,2550
"749","S02000988",2005,67,2316
"750","S02000989",2005,61,1286
"751","S02000990",2005,115,2078
"752","S02000991",2005,136,3277
"753","S02000992",2005,85,2175
"754","S02000993",2005,117,1515
"755","S02000994",2005,63,1811
"756","S02000995",2005,144,2560
"757","S02000996",2005,68,1579
"758","S02000997",2005,80,2001
"759","S02000998",2005,85,1744
"760","S02000999",2005,81,2261
"761","S02001000",2005,354,4311
"762","S02001001",2005,116,2459
"763","S02001002",2005,72,2034
"764","S02001003",2005,87,2078
"765","S02001004",2005,201,3343
"766","S02001005",2005,60,2140
"767","S02001006",2005,67,1926
"768","S02001007",2005,142,2863
"769","S02001008",2005,111,2032
"770","S02001009",2005,102,1304
"771","S02001010",2005,131,2547
"772","S02001011",2005,97,2470
"773","S02001012",2005,55,1199
"774","S02001013",2005,136,2466
"775","S02001014",2005,158,2987
"776","S02001015",2005,55,1436
"777","S02001016",2005,122,1732
"778","S02001017",2005,134,2179
"779","S02001018",2005,87,2098
"780","S02001019",2005,116,2433
"781","S02001020",2005,63,1914
"782","S02001146",2005,41,2001
"783","S02001148",2005,114,1876
"784","S02001149",2005,56,1994
"785","S02001150",2005,80,2247
"786","S02001152",2005,44,1364
"787","S02001153",2005,65,1667
"788","S02001154",2005,78,1522
"789","S02001156",2005,196,2099
"790","S02001157",2005,113,1811
"791","S02001158",2005,96,1517
"792","S02001159",2005,127,2471
"793","S02001160",2005,82,1824
"794","S02001161",2005,116,2010
"795","S02001162",2005,64,1727
"796","S02001184",2005,61,2380
"797","S02001185",2005,132,2322
"798","S02001186",2005,57,2781
"799","S02001187",2005,77,2352
"800","S02001188",2005,70,3198
"801","S02001189",2005,75,1725
"802","S02001190",2005,146,2370
"803","S02001191",2005,64,2423
"804","S02001192",2005,242,3097
"805","S02001193",2005,81,1927
"806","S02001194",2005,116,1910
"807","S02001195",2005,70,2752
"808","S02001196",2005,88,2599
"809","S02001197",2005,129,2407
"810","S02001198",2005,132,2371
"811","S02001199",2005,120,1995
"812","S02001200",2005,119,2720
"813","S02001201",2005,99,2574
"814","S02000260",2006,102,2197
"815","S02000261",2006,40,921
"816","S02000262",2006,75,1731
"817","S02000263",2006,96,1275
"818","S02000264",2006,111,2321
"819","S02000265",2006,63,1109
"820","S02000266",2006,53,1128
"821","S02000267",2006,70,1352
"822","S02000268",2006,81,2270
"823","S02000269",2006,67,1345
"824","S02000270",2006,97,2170
"825","S02000271",2006,61,1659
"826","S02000272",2006,66,1432
"827","S02000273",2006,69,1215
"828","S02000274",2006,55,1297
"829","S02000275",2006,89,1412
"830","S02000276",2006,78,1576
"831","S02000277",2006,70,1981
"832","S02000278",2006,35,1107
"833","S02000279",2006,83,1914
"834","S02000280",2006,60,1545
"835","S02000281",2006,168,1964
"836","S02000282",2006,82,1453
"837","S02000283",2006,42,1345
"838","S02000284",2006,60,1405
"839","S02000285",2006,57,1058
"840","S02000286",2006,61,1586
"841","S02000287",2006,65,1798
"842","S02000310",2006,111,1980
"843","S02000311",2006,157,2444
"844","S02000312",2006,92,1326
"845","S02000313",2006,178,2147
"846","S02000314",2006,111,2356
"847","S02000316",2006,82,1392
"848","S02000317",2006,93,2190
"849","S02000318",2006,152,2178
"850","S02000319",2006,45,1079
"851","S02000320",2006,95,1439
"852","S02000321",2006,106,2224
"853","S02000322",2006,48,1592
"854","S02000323",2006,72,1245
"855","S02000324",2006,77,1686
"856","S02000325",2006,98,1877
"857","S02000326",2006,84,1992
"858","S02000327",2006,88,1705
"859","S02000328",2006,103,2798
"860","S02000329",2006,60,1298
"861","S02000584",2006,43,1647
"862","S02000585",2006,37,2470
"863","S02000586",2006,232,1454
"864","S02000587",2006,76,2075
"865","S02000588",2006,55,1855
"866","S02000589",2006,96,2469
"867","S02000590",2006,64,1187
"868","S02000591",2006,61,1179
"869","S02000592",2006,58,2248
"870","S02000593",2006,169,2273
"871","S02000594",2006,81,1472
"872","S02000595",2006,146,1778
"873","S02000596",2006,165,2215
