"","IG","observed","expected","incomedep","SMR"
"115","S02000714",96,68.87211038,38.5,1.39388788103519
"116","S02001186",106,128.8913491,32,0.822398095296219
"117","S02001187",88,118.3272927,22.5,0.743699935932025
"118","S02001188",109,132.7412533,28,0.821146382832894
"119","S02001190",78,114.9102606,9,0.678790558760599
"120","S02001194",64,96.64764554,10,0.662199266649616
"121","S02001199",95,94.00919372,22,1.01053946152279
"122","S02000684",106,71.73843154,34,1.47759015250977
"123","S02000703",70,62.87341343,27,1.11334817343637
"124","S02000707",110,86.82163237,25.5,1.26696535180567
"125","S02000696",60,73.41191634,35,0.817306004138565
"126","S02001184",87,94.86185741,32,0.917123092203219
"127","S02001185",102,109.0560986,29,0.935298450150132
"128","S02001192",87,147.8272867,12.5,0.588524635350694
"129","S02001196",69,105.8473201,23,0.651882352191929
"130","S02001197",83,103.7825066,28,0.799749425208044
"131","S02001198",82,110.3828715,15.5,0.742868878891233
"132","S02001200",98,126.0165501,20,0.777675630083766
"133","S02001201",65,121.8470114,16,0.533455841494689
"134","S02001195",140,129.1427597,28.5,1.08407161443058
