"","Chromosome","Genome.Order","gm05296","gm03563","gm01535","gm07081","gm01750","gm03134","gm13330","gm13031","gm01524"
"75",1,2196,0.128374,-0.03546,-0.03546,-0.015821,-0.006275,0.084008,-0.073581,0.080396,0.107686
"76",1,2207,0.012954,NA,NA,0.063151,-0.049964,-0.028144,NA,-0.078198,0.041121
"77",1,2218,-0.026812,-0.059963,-0.059963,NA,0.102919,0.005723,NA,-0.056657,0.047869
"78",1,2229,-0.000278,0.036411,0.036411,-0.043264,0.027951,0.031451,0.032877,-0.041903,0.050459
"79",1,2241,-0.011843,-0.072179,-0.072179,-0.028468,0.101728,-0.08506,-0.046077,-0.024023,0.049411
"80",1,2252,0.058913,-0.041743,-0.041743,0.013345,-0.007695,0.078283,-0.002524,0.100961,0.13915
"81",1,2263,0.032282,0.108468,0.108468,0.044266,0.062789,0.069326,0.104172,0.068492,-0.005246
"82",1,2274,0.10056,0.021106,0.021106,0.017683,-0.042827,0.086803,-0.073959,0.111625,-0.040091
"83",1,2285,0.142153,-0.027645,-0.027645,-0.096876,0.084889,-0.017868,0.068077,-0.039458,-0.20216
"84",1,2296,0.262504,NA,NA,0.183679,-0.015639,0.213979,NA,0.270154,NA
"85",1,2307,-0.048899,0.02227,0.02227,-0.00353,-0.006317,-0.00811,0.069847,0.045362,0.080626
"86",1,2318,-0.048117,-0.053895,-0.053895,-0.01955,0.048019,-0.031139,-0.031959,0.035265,0.084028
"87",1,2329,-0.003886,0.021112,0.021112,0.0305,0.086548,0.015043,0.026172,0.10507,0.130981
"88",1,2340,0.047613,-0.0185,-0.0185,0.016622,-0.070489,0.027051,0.002197,0.039969,0.086026
"89",1,2352,-0.052265,0.039431,0.039431,0.030029,0.214578,-0.026585,0.043291,-0.053155,0.092583
"90",1,2363,0.19298,-0.012699,-0.012699,0.096382,0.113259,0.176231,-0.03229,0.150365,0.092015
"91",1,2374,0.035928,-0.042647,-0.042647,0.039116,0.160377,0.050572,-0.095741,0.051107,0.054333
"92",1,2385,0.099558,0.022262,0.022262,0.133826,0.080216,0.035407,0.637827,0.0697,0.042833
"93",1,2396,0.070758,-0.036766,-0.036766,-0.050811,0.05343,0.017705,0.514469,0.019202,0.042271
"94",1,2407,-0.021757,0.024056,0.024056,-0.061156,0.260562,-0.020349,0.586579,-0.019301,0.025849
"95",1,2418,0.086241,0.015679,0.015679,0.036588,0.044087,0.028108,0.574612,0.061646,0.041112
"96",1,2429,0.059642,-0.080577,-0.080577,-0.004843,0.056704,-0.00287,0.486016,0.028592,0.108626
"97",1,2440,-0.007326,-0.078572,-0.078572,0.002517,0.031178,-0.055805,0.48569,-0.030907,0.1849
"98",1,2451,0.006002,-0.031169,-0.031169,-0.034403,-0.057773,-0.013161,0.440543,-0.041794,-0.039215
"99",1,2,-0.038933,-0.134115,-0.134115,-0.03517,-0.035041,NA,0.321383,-0.039122,-0.060889
"100",1,2463,-0.037396,-0.013302,-0.013302,-0.007504,0.121379,-0.033714,0.54201,0.013468,0.041321
"101",1,23,0.127727,0.009766,0.009766,0.103401,0.059797,0.078497,0.578051,0.112937,0.087712
"102",1,34,-0.017152,-0.064797,-0.064797,0.018229,0.060124,-0.024929,0.496034,0.008427,0.165256
"103",1,45,-0.041573,-0.088343,-0.088343,-0.08293,0.016642,-0.012144,0.4553,-0.00558,0.135917
"104",1,56,-0.034379,-0.012675,-0.012675,-0.017189,-0.000926,-0.017408,0.597476,0.022349,-0.007101
"105",1,67,0.043413,-0.159659,-0.159659,-0.008093,0.027193,-0.006045,NA,-0.031885,0.056044
"106",1,78,-0.021055,0.054414,0.054414,0.032306,0.013274,0.015292,0.57928,0.038583,0.138562
"107",1,89,-0.013771,-0.175615,-0.175615,0.019924,0.02463,-0.045688,0.387259,-0.005648,-0.001772
"108",1,100,-0.003725,-0.172138,-0.172138,-0.003842,0.092346,-0.103606,0.346849,-0.072601,-0.041332
"109",1,112,0.031748,-0.066215,-0.066215,-0.090773,0.237243,-0.028608,0.531371,0.002951,-0.002393
"110",1,123,-0.01756,0.075333,0.075333,NA,0.13055,0.079787,0.703231,NA,-0.088937
"111",1,134,0.134116,0.105887,0.105887,0.060516,0.11573,0.167415,0.638199,0.158337,0.094705
"112",1,145,0.074466,0.224994,0.224994,0.094824,0.100044,0.214818,0.581391,NA,0.305768
"113",1,156,0.055195,0.142807,0.142807,0.028023,0.063065,0.057845,0.706151,0.118723,0.03552
"114",1,167,0.212079,0.0692,0.0692,0.044285,0.173655,0.176106,0.647533,0.219096,0.044503
"115",1,178,0.109432,0.168801,0.168801,0.058252,0.09597,0.12157,0.733567,0.175336,0.144377
"116",1,189,0.048433,NA,NA,NA,0.123162,0.070979,NA,NA,NA
"117",1,200,0.15288,-0.088957,-0.088957,0.119406,0.031931,0.092037,0.37591,0.152108,0.134528
"118",1,211,0.090067,0.051839,0.051839,0.058219,0.198649,0.09229,0.630318,0.1458,0.081584
"119",1,223,0.120208,0.045331,0.045331,0.217585,-0.0587,0.121796,0.576944,0.216804,0.377245
"120",1,234,-0.001124,-0.010117,-0.010117,0.020334,0.078947,-0.01102,0.622442,-0.1163,0.000291
"121",1,245,0.046596,-0.017349,-0.017349,0.04932,-0.039212,0.0371,0.474616,0.067846,0.012744
"122",1,256,-0.029086,0.00384,0.00384,-0.030863,-0.000452,0.010105,0.509632,0.021927,0.07727
"123",1,267,0.123064,NA,NA,-0.010305,-0.007036,0.081094,NA,0.048771,NA
"124",1,278,-0.039338,0.016987,0.016987,NA,0.006525,-0.005005,0.584449,-0.043709,0.095259
"125",1,289,-0.05478,-0.025262,-0.025262,-0.005903,0.013277,-0.063832,0.523455,-0.02879,0.052854
"126",1,300,-0.075982,-0.04755,-0.04755,-0.01948,0.056335,-0.039885,0.516729,0.006975,0.220701
"127",1,311,-0.004553,-0.05149,-0.05149,0.026393,0.008239,-0.022325,0.483662,-0.051673,0.00216
"128",1,322,0.003484,-0.053933,-0.053933,0.017278,-0.019603,0.000934,0.467887,-0.080231,0.016805
"129",1,334,-0.013971,0.032357,0.032357,-0.076183,0.040713,-0.065632,0.447533,-0.085911,-0.187835
"130",1,345,-0.019083,-0.128505,-0.128505,0.100402,0.143085,-0.002751,0.325083,-0.069074,0.037498
"131",1,356,0.033579,-0.053254,-0.053254,0.133456,-0.068355,0.052681,0.773187,0.018546,0.016517
"132",1,367,-0.079342,0.053306,0.053306,-0.000357,0.070588,NA,NA,-0.012425,0
"133",1,378,0.054599,0.019068,0.019068,-0.068826,0.013485,-0.074651,0.615311,0.003328,-0.111084
"134",1,389,-0.017135,0.057133,0.057133,-0.000316,0.086036,0.051563,0.564766,0.031811,0.154917
"135",1,400,0.062351,0.014029,0.014029,0.139699,-0.093996,0.145484,0.58752,0.146521,0.081508
"136",1,411,0.03027,-0.213509,-0.213509,-0.05575,NA,0.05104,0.298978,-0.02554,-0.191845
"137",1,422,NA,-0.046348,-0.046348,0.095826,-0.024948,NA,0.415166,-0.029651,0.061216
"138",1,433,-0.124253,-0.064451,-0.064451,NA,0.120989,-0.022516,0.49822,-0.041374,0.044661
"139",1,445,0.007088,0.086442,0.086442,0.018634,-0.030864,0.047807,0.519878,0.076321,0.169403
"140",1,456,-0.249959,-0.084889,-0.084889,0.009324,-0.032481,-0.046448,0.397833,-0.039561,-0.044666
"141",1,467,-0.069497,0.041562,0.041562,-0.055558,-0.080989,-0.021734,0.090946,0.089794,-0.032538
"142",1,478,-0.054893,0.211381,0.211381,NA,-0.018782,NA,0.469953,0.004764,-0.149325
"143",2,489,-0.015367,0.004996,0.004996,-0.001066,0.08922,0.034637,-0.063783,-0.025669,-0.063832
"144",2,500,0.025547,-0.037177,-0.037177,0.031779,0.06886,-0.011701,-0.081999,0.096319,0.084877
"145",2,511,-0.013906,0.02439,0.02439,0.029106,0.037674,6.7e-05,0.07363,0.041455,0.05397
"146",2,522,-0.011551,0.098318,0.098318,-0.089008,0.083334,6.6e-05,0.122591,-0.014456,0.016774
"147",2,533,0.028237,0.048798,0.048798,0.011846,0.071034,0.044991,0.049098,0.136218,0.147844
"148",2,544,-0.025129,0.019975,0.019975,0.033692,NA,0.047668,0.026406,0.005571,0.1475
"149",2,556,NA,-0.023801,-0.023801,0.02803,NA,NA,0.012074,-0.034001,0.048868
"150",2,567,NA,0.007656,0.007656,0.039721,0.055186,NA,-0.029743,0.035402,0.081222
"151",2,578,0.058062,0.051501,0.051501,0.039327,-0.051349,0.041074,0.007366,0.058187,0.09539
"152",2,589,-0.070414,0.061569,0.061569,0.000192,-0.080007,0.002695,0.063576,-0.017558,0.03084
"153",2,600,-0.082277,-0.14831,-0.14831,-0.165616,-0.002011,-0.117553,-0.131855,-0.172811,-0.077071
"154",2,611,0.029889,-0.094839,-0.094839,0.054956,0.078101,0.011045,-0.175248,-0.018707,0.066697
"155",2,622,0.035007,-0.004804,-0.004804,0.087213,0.095588,0.032325,0.009395,0.089614,0.19523
"156",2,633,0.050741,-0.058029,-0.058029,0.003175,0.061316,-0.040638,-0.023252,0.128648,0.075067
"157",2,644,-0.014971,0.054268,0.054268,0.041081,0.077016,0.022129,0.084107,0.097777,0.080489
"158",2,655,0.027122,0.135357,0.135357,0.001398,0.034642,0.206711,0.066322,0.084178,0.034246
"159",2,667,0.076119,0.06905,0.06905,0.117639,-0.027493,0.092639,0.044744,0.112526,0.079247
"160",2,678,-0.080422,-0.245975,-0.245975,-0.019967,0.029521,-0.083627,-0.249403,-0.110791,-0.022022
"161",2,689,0.07505,0.022891,0.022891,-0.035842,0.109779,0.076995,0.006637,0.054386,0.072616
"162",2,700,0.137227,0.009746,0.009746,0.085255,0.081358,0.147528,-0.048498,0.147956,0.156354
"163",2,711,0.025142,0.03846,0.03846,0.029104,-0.00254,0.00589,0.121032,0.062783,0.018154
"164",2,722,-0.058886,-0.104733,-0.104733,-0.017788,0.028186,-0.038584,-0.116387,-0.090184,0.01985
"165",2,733,-0.016059,-0.070347,-0.070347,0.033625,0.135218,-0.042643,-0.049748,-0.124392,-0.141603
"166",2,744,0.035648,0.067029,0.067029,0.055356,0.135883,0.096521,0.112403,0.145382,-0.041211
"167",2,755,-0.011214,0.047992,0.047992,0.042709,0.127603,0.024033,0.098043,0.075757,0.094688
"168",2,766,0.065366,0.060661,0.060661,0.116727,0.155092,0.119265,0.029323,0.142819,0.121046
"169",2,778,0.020566,0.095214,0.095214,0.076551,0.021746,0.057444,0.096276,0.111409,0.153459
"170",2,789,-0.011986,-0.029688,-0.029688,-0.00373,-0.026312,-0.015122,-0.000633,-0.0287,0.113761
"171",2,800,-0.081582,0.00413,0.00413,0.030535,-0.094926,-0.030284,0.021572,0.02887,0.162401
"172",2,811,0.03111,-0.217955,-0.217955,-0.065191,0.084681,-0.069411,-0.13447,-0.04146,NA
"173",2,822,0.021979,0.063661,0.063661,0.022589,0.042847,-0.005236,-0.007152,NA,0.05476
"174",2,833,NA,NA,NA,NA,-0.055302,NA,-0.305171,-0.089905,NA
"175",2,844,-0.033946,-0.103222,-0.103222,0.190038,0.07028,0.04942,-0.044295,0.000889,NA
"176",2,855,-0.005358,-0.24408,-0.24408,0.013089,0.069561,0.028385,-0.284216,-0.021174,-0.091955
"177",2,866,0.229043,0.117414,0.117414,0.374358,NA,NA,0.11033,0.103727,0.210632
"178",2,877,NA,NA,NA,NA,0.040559,NA,NA,NA,NA
"179",2,889,0.000675,-0.064443,-0.064443,0.038872,NA,0.000517,-0.035912,0.005288,0.109782
"180",2,900,NA,NA,NA,NA,0.054586,NA,NA,NA,NA
"181",2,911,-0.048785,-0.102592,-0.102592,-0.021333,0.089851,-0.018758,-0.125949,-0.001388,0.056563
"182",2,922,0.031526,-0.019685,-0.019685,0.030234,0.045638,0.025245,0.020105,-0.008422,0.165334
"183",2,933,0.006682,-0.035407,-0.035407,0.047802,-0.054816,0.008372,-0.002375,0.035656,0.144698
"184",2,944,-0.054298,-0.2286,-0.2286,-0.018082,NA,-0.02772,-0.23791,NA,-0.131915
"185",2,955,-0.064186,-0.133095,-0.133095,-0.01676,-0.05883,-0.052762,-0.106809,-0.005553,-0.03607
"186",2,966,-0.082237,-0.142703,-0.142703,-0.136938,-0.011887,-0.076977,-0.131985,-0.158589,-0.015173
"187",2,977,-0.038062,-0.019262,-0.019262,0.090208,-0.022604,0.01282,-0.119878,-0.080301,0.087962
"188",2,988,-0.033718,-0.035064,-0.035064,-0.009508,0.072707,-0.040583,-0.025904,-0.024531,0.061625
"189",2,1000,0.010225,0.028928,0.028928,-0.012525,0.039432,0.010882,0.046033,0.098344,0.08804
"190",2,1011,-0.03156,-0.045583,-0.045583,0.049837,0.089309,-0.028816,-0.03407,0.034,0.135522
"191",2,1022,0.003753,-0.056896,-0.056896,0.002022,-0.063113,-0.015815,-0.09889,0.035139,0.087709
"192",2,1033,-0.088095,-0.160394,-0.160394,-0.070159,0.002838,-0.037983,-0.14493,-0.075974,-0.038368
"193",2,1044,-0.006211,-0.076666,-0.076666,0.067017,0.181086,0.026693,-0.048383,-0.0461,0.046441
"194",2,1055,0.072393,-0.024943,-0.024943,0.048082,-0.013885,0.066085,-0.059933,0.153833,0.138512
"195",2,1066,-0.134335,-0.130884,-0.130884,0.047786,0.13042,-0.060884,-0.111587,-0.067917,-0.08349
"196",2,1077,0.123135,-0.069216,-0.069216,0.019781,0.093488,0.132007,-0.111731,0.086287,0.134825
"197",2,1088,0.029464,-0.03354,-0.03354,-0.015681,-0.013411,0.041783,-0.04485,0.055281,0.06751
"198",2,1099,-0.006917,0.015689,0.015689,0.021638,0.012151,0.020305,0.063119,0.00327,0.119046
"199",2,1112,-0.045684,-0.005452,-0.005452,-0.026249,-0.137567,-0.029531,0.019249,0.006713,0.084258
"200",2,1123,NA,0.140953,0.140953,NA,0.130074,NA,NA,0.026214,-0.118678
"201",2,1134,0.046025,-0.000154,-0.000154,0.103455,0.05051,0.059146,0.045749,0.120803,0.067768
"202",2,1145,0.009455,-0.051477,-0.051477,0.018773,0.095981,0.008696,-0.015892,0.03317,0.069918
"203",2,1156,-0.004757,-0.092146,-0.092146,0.035168,0.102111,-0.008976,-0.119243,-0.037582,0.045769
"204",2,1167,0.07724,0.062381,0.062381,0.089843,0.036954,0.049586,0.094012,0.003149,0.138591
"205",2,1178,0.001559,0.016531,0.016531,0.056587,0.083436,0.017279,0.053451,0.076547,0.076296
"206",2,1189,0.002854,-0.062904,-0.062904,0.058394,0.157676,0.014384,-0.034742,0.057518,0.009374
"207",2,1200,0.086867,0.06013,0.06013,0.134154,-0.032052,0.10931,0.030478,0.173248,0.061868
"208",2,1211,-0.026143,0.040083,0.040083,-0.051306,0.067786,-0.028596,0.042358,-0.005343,-0.046376
"209",2,1223,-0.038057,0.07077,0.07077,0.02033,0.123857,0.014629,0.079796,0.064193,0.153736
"210",2,1234,0.040999,0.052814,0.052814,0.04573,0.09832,0.234434,0.098489,0.071507,0.031453
"211",2,1245,0.05534,0.110226,0.110226,0.056546,0.332094,0.082127,0.048014,0.072506,0.116104
"212",2,1256,0.272888,NA,NA,0.306475,-0.104604,0.024515,0.48957,0.360096,-0.074213
"213",3,1267,-0.072318,-0.001461,-0.001461,0.029828,0.052171,-0.032592,-0.122622,-0.065715,-0.020889
"214",3,1278,0.008502,-0.12198,-0.12198,0.002969,-0.013217,-0.03784,-0.156586,0.007402,-0.019361
"215",3,1289,-0.089874,-0.171231,-0.171231,-0.067832,0.046035,-0.108953,-0.171522,-0.177648,-0.02891
"216",3,1300,0.120815,0.072474,0.072474,0.050281,-0.00933,0.088067,0.073345,0.089218,0.064121
"217",3,1311,-0.002818,-0.026599,-0.026599,-0.060532,0.187842,-0.003884,-0.036919,-0.061067,0.091887
"218",3,1322,0.142023,0.051671,0.051671,0.060684,-0.023859,0.103627,0.046808,0.146201,0.032779
"219",3,1334,-0.0476,-0.0177,-0.0177,-0.023268,-0.024543,-0.050719,-0.114506,-0.091515,-0.177295
"220",3,1345,0.020546,-0.003992,-0.003992,-0.018553,-0.106178,0.001812,-0.017653,-0.018461,-0.030725
"221",3,1356,-0.065116,-0.163221,-0.163221,0.001429,-0.069278,-0.056357,-0.061554,-0.019322,-0.11783
"222",3,1367,-0.045287,0.080603,0.080603,-0.032019,-0.050429,-0.003118,NA,0.019772,NA
"223",3,1378,-0.076233,0.26406,0.26406,-0.104113,0.023661,-0.049903,-0.0844,-0.034137,0.061698
"224",3,1389,-0.003472,-0.024241,-0.024241,0.030757,0.000953,-0.015132,0.005686,0.042298,-0.039015
"225",3,1400,-0.026379,0.003172,0.003172,-0.09037,NA,0.024376,0.02026,-0.015778,0.072277
"226",3,1411,-0.056217,-0.170453,-0.170453,-0.086641,-0.028982,-0.066853,-0.167709,-0.064404,-0.069213
"227",3,1422,-0.099818,-0.082626,-0.082626,0.008045,NA,-0.040811,-0.031501,-0.042182,0.078712
"228",3,1433,NA,0.033233,0.033233,-0.05765,0.010949,-0.032841,-0.040079,-0.024683,-0.106063
"229",3,1445,0.042507,0.013731,0.013731,0.047794,0.018369,0.046798,0.04381,0.056211,0.065625
"230",3,1456,-0.014595,-0.129023,-0.129023,-0.046998,0.005802,-0.043407,-0.089555,-0.109049,-0.00279
"231",3,1467,0.002882,0.218013,0.218013,-0.028418,0.023968,-0.017378,-0.201272,-0.029443,0.11378
"232",3,1478,0.097277,-0.108799,-0.108799,0.002138,0.235463,0.038363,-0.06203,0.064367,0.007087
"233",3,1489,0.118844,0.003838,0.003838,0.115647,-0.060836,0.097777,-0.014721,0.156953,0.105601
"234",3,1500,0.060052,0.005759,0.005759,0.03268,0.082374,0.058937,0.027183,0.08561,-0.044249
"235",3,1511,-0.033411,0.015541,0.015541,0.062279,0.115342,0.060423,-0.014941,0.056419,-0.01515
"236",3,1522,0.058263,0.026977,0.026977,0.040518,NA,0.050512,0.039131,0.056075,-0.00836
"237",3,1533,NA,NA,NA,NA,0.057017,NA,NA,NA,NA
"238",3,1544,0.014104,-0.033541,-0.033541,-0.089471,-0.038297,-0.004196,-0.042088,0.049095,0.050764
"239",3,1556,-0.03161,0.044644,0.044644,0.036747,-0.103153,-0.015145,0.076247,0.018649,0.052758
"240",3,1567,-0.060076,0.005159,0.005159,-0.047422,-0.11535,-0.044797,0.034742,-0.099377,-0.157294
"241",3,1578,-0.103428,0.524619,0.524619,0.011858,0.108757,NA,NA,0.076105,-0.170835
"242",3,1589,0.039638,0.042869,0.042869,0.057657,0.008299,0.033012,0.044513,0.105123,0.060678
"243",3,1600,-0.053356,0.050695,0.050695,-0.014147,NA,-0.059759,-0.014957,-0.017014,-0.053214
"244",3,1611,NA,NA,NA,NA,-0.034248,NA,NA,NA,NA
"245",3,1622,-0.033408,-0.113508,-0.113508,-0.055645,0.184122,-0.06738,-0.119073,-0.131372,-0.127833
"246",3,1627,NA,NA,NA,NA,0.080711,NA,NA,NA,NA
"247",3,1628,0.082645,-0.029398,-0.029398,0.01242,0.044698,0.050919,-0.048755,0.099736,0.105867
"248",3,1629,0.009974,-0.004985,-0.004985,-0.016279,0.095433,-0.031639,-0.025221,-0.038833,0.024402
"249",3,1631,0.04315,-0.082772,-0.082772,0.071597,-0.000976,0.00313,-0.060511,-0.027699,-0.012131
"250",3,1632,-0.054681,0.131216,0.131216,0.021866,0.026626,0.020329,-0.019454,-0.022558,0.027411
"251",3,1633,0.009481,-0.011119,-0.011119,0.005076,NA,-0.02379,0.010537,-0.018632,0.093153
"252",3,1634,NA,NA,NA,NA,0.044912,NA,NA,NA,-0.0962
