"","pupil","school","popular","sex","texp","const","teachpop"
"109",7,6,4,0,8,1,3
"110",8,6,4,0,8,1,2
"111",9,6,6,1,8,1,4
"112",10,6,5,1,8,1,3
"113",11,6,3,0,8,1,3
"114",12,6,4,1,8,1,3
"115",13,6,4,1,8,1,3
"116",14,6,NA,0,8,1,2
"117",15,6,NA,1,8,1,4
"118",16,6,NA,0,8,1,2
"119",17,6,4,0,8,1,3
"120",18,6,4,0,8,1,4
"121",19,6,4,0,8,1,3
"122",20,6,4,0,8,1,3
"123",1,7,NA,1,17,1,5
"124",2,7,6,1,17,1,5
"125",3,7,4,0,17,1,4
"126",4,7,NA,0,17,1,4
"127",5,7,5,0,17,1,4
"128",6,7,7,1,17,1,5
"129",7,7,5,0,17,1,4
"130",8,7,7,1,17,1,5
"131",9,7,NA,0,17,1,4
"132",10,7,6,1,17,1,6
"133",11,7,5,0,17,1,4
"134",12,7,5,0,17,1,4
"135",13,7,NA,0,17,1,5
"136",14,7,6,1,17,1,5
"137",15,7,5,0,17,1,4
"138",16,7,NA,0,17,1,4
"139",17,7,7,1,17,1,5
"140",18,7,NA,0,17,1,4
"141",19,7,8,1,17,1,5
"142",20,7,7,1,17,1,5
"143",21,7,4,0,17,1,5
"144",1,8,7,1,12,1,6
"145",2,8,NA,0,12,1,4
"146",3,8,NA,1,12,1,5
"147",4,8,7,1,12,1,5
"148",5,8,6,0,12,1,6
"149",6,8,7,1,12,1,5
"150",7,8,NA,0,12,1,5
"151",8,8,6,1,12,1,6
"152",9,8,NA,0,12,1,4
"153",10,8,6,1,12,1,5
"154",11,8,NA,0,12,1,4
"155",12,8,NA,0,12,1,5
"156",13,8,NA,0,12,1,5
"157",14,8,7,1,12,1,5
"158",15,8,4,0,12,1,5
"159",16,8,NA,0,12,1,5
"160",17,8,7,1,12,1,5
"161",18,8,NA,1,12,1,5
"162",19,8,7,1,12,1,5
"163",20,8,6,1,12,1,5
"164",1,9,4,0,9,1,2
"165",2,9,5,1,9,1,4
"166",3,9,5,1,9,1,4
"167",4,9,6,1,9,1,4
"168",5,9,NA,1,9,1,4
"169",6,9,NA,0,9,1,4
"170",7,9,3,0,9,1,3
"171",8,9,NA,0,9,1,3
"172",9,9,4,0,9,1,2
"173",10,9,NA,0,9,1,4
"174",11,9,NA,0,9,1,2
"175",12,9,NA,1,9,1,2
"176",13,9,3,0,9,1,4
"177",14,9,3,0,9,1,2
"178",15,9,NA,0,9,1,3
"179",16,9,NA,0,9,1,4
"180",17,9,NA,1,9,1,4
"181",18,9,NA,1,9,1,3
"182",19,9,NA,1,9,1,3
"183",20,9,NA,0,9,1,3
"184",1,10,5,0,21,1,5
"185",2,10,5,1,21,1,5
"186",3,10,4,0,21,1,3
"187",4,10,5,1,21,1,4
"188",5,10,NA,0,21,1,3
"189",6,10,NA,1,21,1,4
"190",7,10,5,0,21,1,3
"191",8,10,5,0,21,1,5
"192",9,10,5,1,21,1,4
"193",10,10,5,1,21,1,3
"194",11,10,NA,0,21,1,5
"195",12,10,5,0,21,1,3
"196",13,10,NA,1,21,1,4
"197",14,10,5,0,21,1,4
"198",15,10,NA,0,21,1,4
"199",16,10,NA,0,21,1,4
"200",17,10,NA,0,21,1,4
"201",18,10,NA,0,21,1,3
"202",19,10,NA,1,21,1,3
"203",20,10,NA,1,21,1,4
"204",21,10,5,1,21,1,4
"205",22,10,5,1,21,1,3
"206",23,10,5,1,21,1,4
"207",24,10,NA,1,21,1,4
"208",1,11,5,0,11,1,4
"209",2,11,NA,1,11,1,4
"210",3,11,5,1,11,1,4
"211",4,11,5,0,11,1,4
"212",5,11,NA,0,11,1,4
"213",6,11,6,1,11,1,5
"214",7,11,4,0,11,1,4
"215",8,11,6,1,11,1,6
"216",9,11,6,1,11,1,5
"217",10,11,NA,1,11,1,4
"218",11,11,NA,0,11,1,4
"219",12,11,NA,0,11,1,5
"220",13,11,5,0,11,1,4
"221",14,11,6,1,11,1,5
"222",15,11,6,1,11,1,5
"223",16,11,NA,0,11,1,4
"224",17,11,5,0,11,1,4
"225",18,11,5,0,11,1,5
"226",19,11,NA,0,11,1,5
"227",20,11,7,1,11,1,4
"228",21,11,6,1,11,1,6
"229",22,11,5,0,11,1,4
"230",1,12,NA,0,16,1,5
"231",2,12,NA,1,16,1,4
"232",3,12,6,1,16,1,5
"233",4,12,5,1,16,1,4
"234",5,12,5,1,16,1,5
"235",6,12,6,0,16,1,4
"236",7,12,NA,0,16,1,5
"237",8,12,NA,0,16,1,5
"238",9,12,5,1,16,1,5
"239",10,12,5,1,16,1,4
"240",11,12,5,0,16,1,4
"241",12,12,5,0,16,1,4
"242",13,12,5,1,16,1,4
"243",14,12,NA,0,16,1,4
"244",15,12,5,0,16,1,5
"245",16,12,NA,0,16,1,4
"246",17,12,NA,0,16,1,5
"247",2,13,7,1,19,1,5
"248",3,13,NA,1,19,1,5
"249",4,13,NA,0,19,1,4
"250",5,13,5,0,19,1,4
"251",6,13,NA,1,19,1,6
"252",7,13,5,1,19,1,4
"253",8,13,NA,0,19,1,4
"254",9,13,NA,1,19,1,6
"255",10,13,5,0,19,1,4
"256",11,13,NA,0,19,1,6
"257",12,13,7,1,19,1,4
"258",13,13,NA,1,19,1,6
"259",14,13,NA,0,19,1,4
"260",15,13,NA,1,19,1,5
"261",16,13,NA,0,19,1,4
"262",17,13,6,0,19,1,5
"263",18,13,7,1,19,1,4
"264",19,13,NA,1,19,1,4
"265",20,13,7,1,19,1,4
"266",21,13,6,1,19,1,4
"267",1,14,3,0,2,1,2
"268",2,14,NA,0,2,1,2
"269",3,14,NA,1,2,1,3
"270",4,14,3,0,2,1,4
"271",5,14,4,1,2,1,3
"272",6,14,NA,0,2,1,3
"273",7,14,3,0,2,1,4
"274",8,14,4,0,2,1,3
"275",9,14,NA,0,2,1,4
"276",10,14,NA,0,2,1,2
"277",11,14,NA,0,2,1,4
"278",12,14,4,1,2,1,4
"279",13,14,NA,0,2,1,2
"280",14,14,5,1,2,1,3
"281",15,14,NA,0,2,1,2
"282",16,14,5,1,2,1,4
"283",17,14,NA,0,2,1,3
"284",1,15,5,0,8,1,5
"285",2,15,NA,0,8,1,5
"286",3,15,NA,0,8,1,4
"287",4,15,NA,0,8,1,4
"288",5,15,NA,0,8,1,4
"289",6,15,5,1,8,1,4
"290",7,15,NA,1,8,1,4
"291",8,15,5,1,8,1,4
"292",9,15,NA,0,8,1,4
"293",10,15,5,0,8,1,5
"294",11,15,5,1,8,1,5
"295",12,15,6,0,8,1,5
"296",13,15,NA,0,8,1,4
"297",14,15,NA,1,8,1,4
"298",15,15,5,0,8,1,4
"299",16,15,6,1,8,1,4
"300",17,15,NA,0,8,1,5
"301",18,15,7,1,8,1,5
"302",19,15,5,0,8,1,4
"303",20,15,NA,1,8,1,4
"304",21,15,6,0,8,1,4
"305",22,15,5,0,8,1,4
"306",23,15,NA,0,8,1,4
"307",24,15,5,0,8,1,4
"308",1,16,NA,1,11,1,6
"309",2,16,7,1,11,1,6
"310",3,16,NA,1,11,1,7
"311",4,16,NA,1,11,1,6
"312",5,16,NA,1,11,1,6
"313",6,16,5,0,11,1,6
"314",7,16,7,1,11,1,5
"315",8,16,5,0,11,1,6
"316",9,16,NA,1,11,1,6
"317",10,16,NA,1,11,1,6
"318",11,16,NA,1,11,1,5
"319",12,16,NA,1,11,1,6
"320",13,16,7,1,11,1,6
"321",14,16,5,0,11,1,5
"322",15,16,NA,1,11,1,5
"323",16,16,6,1,11,1,6
"324",17,16,8,1,11,1,6
"325",1,17,5,0,16,1,4
"326",2,17,5,1,16,1,4
"327",3,17,NA,0,16,1,4
"328",4,17,3,0,16,1,4
"329",5,17,4,1,16,1,4
"330",6,17,NA,0,16,1,4
"331",7,17,NA,1,16,1,5
"332",8,17,5,1,16,1,4
"333",9,17,NA,1,16,1,4
"334",10,17,5,1,16,1,5
"335",11,17,NA,1,16,1,4
"336",12,17,NA,0,16,1,5
"337",13,17,NA,0,16,1,4
"338",14,17,4,1,16,1,4
"339",15,17,5,0,16,1,4
"340",16,17,5,1,16,1,4
"341",17,17,NA,1,16,1,4
"342",18,17,4,1,16,1,5
"343",19,17,5,0,16,1,4
"344",20,17,5,1,16,1,4
"345",21,17,5,1,16,1,5
"346",22,17,4,0,16,1,4
"347",23,17,4,0,16,1,5
"348",24,17,5,0,16,1,5
"349",25,17,NA,0,16,1,5
"350",26,17,NA,0,16,1,4
"351",1,18,NA,0,21,1,5
"352",2,18,7,1,21,1,5
"353",3,18,NA,0,21,1,6
"354",4,18,NA,0,21,1,6
"355",5,18,NA,0,21,1,5
"356",6,18,7,1,21,1,5
"357",7,18,NA,0,21,1,4
"358",8,18,NA,1,21,1,5
"359",9,18,6,0,21,1,5
"360",10,18,6,1,21,1,6
"361",11,18,7,0,21,1,5
"362",12,18,8,1,21,1,6
"363",13,18,6,0,21,1,5
"364",14,18,NA,0,21,1,5
"365",15,18,7,1,21,1,6
"366",16,18,NA,0,21,1,4
"367",17,18,NA,0,21,1,5
"368",18,18,8,1,21,1,5
"369",19,18,7,1,21,1,5
"370",20,18,NA,1,21,1,5
"371",21,18,NA,0,21,1,5
"372",1,19,5,1,16,1,4
"373",2,19,5,0,16,1,4
"374",3,19,4,0,16,1,4
"375",4,19,6,1,16,1,5
"376",5,19,6,0,16,1,4
"377",6,19,5,0,16,1,4
"378",7,19,4,0,16,1,4
"379",8,19,6,1,16,1,4
"380",9,19,NA,0,16,1,4
"381",10,19,6,1,16,1,4
"382",11,19,6,1,16,1,4
"383",12,19,NA,0,16,1,5
"384",14,19,6,1,16,1,4
"385",15,19,6,1,16,1,4
"386",16,19,4,0,16,1,5
"387",17,19,NA,1,16,1,4
"388",18,19,NA,1,16,1,4
"389",19,19,NA,0,16,1,4
"390",20,19,6,1,16,1,4
"391",21,19,NA,0,16,1,5
"392",1,20,5,1,10,1,4
"393",2,20,5,1,10,1,4
"394",3,20,NA,1,10,1,4
"395",4,20,NA,1,10,1,4
"396",5,20,5,1,10,1,4
"397",6,20,NA,1,10,1,4
"398",7,20,5,1,10,1,5
"399",8,20,NA,0,10,1,3
"400",9,20,5,1,10,1,5
"401",10,20,NA,0,10,1,4
"402",11,20,NA,0,10,1,3
"403",12,20,NA,1,10,1,3
"404",13,20,NA,0,10,1,3
"405",14,20,6,1,10,1,5
"406",15,20,6,1,10,1,5
"407",17,20,3,0,10,1,3
"408",18,20,NA,1,10,1,4
"409",19,20,4,1,10,1,5
"410",20,20,NA,1,10,1,4
"411",21,20,3,0,10,1,3
"412",1,21,6,1,17,1,5
"413",2,21,NA,1,17,1,5
"414",3,21,NA,1,17,1,5
"415",4,21,8,1,17,1,5
"416",5,21,NA,0,17,1,5
"417",6,21,5,0,17,1,5
"418",7,21,6,0,17,1,5
"419",8,21,6,1,17,1,5
"420",9,21,6,0,17,1,5
"421",10,21,6,0,17,1,5
"422",11,21,7,1,17,1,5
"423",12,21,NA,0,17,1,5
"424",13,21,5,0,17,1,5
"425",14,21,NA,0,17,1,5
"426",15,21,7,1,17,1,5
"427",16,21,NA,0,17,1,5
"428",17,21,NA,0,17,1,5
"429",18,21,8,1,17,1,5
"430",19,21,7,1,17,1,6
"431",20,21,NA,1,17,1,6
"432",21,21,NA,1,17,1,5
"433",22,21,5,1,17,1,5
"434",23,21,NA,1,17,1,5
"435",1,22,5,1,11,1,4
"436",2,22,4,1,11,1,3
"437",3,22,6,1,11,1,5
"438",4,22,5,1,11,1,3
"439",5,22,4,0,11,1,4
"440",6,22,4,0,11,1,3
"441",7,22,4,0,11,1,5
"442",8,22,5,1,11,1,4
"443",9,22,NA,1,11,1,4
"444",10,22,4,0,11,1,4
"445",11,22,3,0,11,1,3
"446",12,22,4,0,11,1,4
"447",13,22,5,1,11,1,5
"448",14,22,4,1,11,1,4
"449",15,22,NA,0,11,1,3
"450",16,22,4,1,11,1,3
"451",17,22,4,0,11,1,5
"452",18,22,5,1,11,1,5
"453",19,22,5,1,11,1,3
"454",20,22,5,1,11,1,5
"455",1,23,NA,0,15,1,5
"456",2,23,6,1,15,1,5
"457",3,23,6,1,15,1,5
"458",4,23,5,0,15,1,5
"459",5,23,NA,1,15,1,5
"460",6,23,6,1,15,1,5
"461",7,23,5,1,15,1,5
"462",8,23,4,0,15,1,5
"463",9,23,6,0,15,1,5
"464",10,23,NA,0,15,1,5
"465",11,23,5,0,15,1,5
"466",12,23,6,1,15,1,6
"467",13,23,5,0,15,1,5
"468",14,23,7,1,15,1,6
"469",15,23,6,1,15,1,6
"470",16,23,NA,0,15,1,5
"471",17,23,5,1,15,1,4
"472",18,23,NA,0,15,1,4
"473",19,23,6,1,15,1,5
"474",20,23,4,0,15,1,5
"475",21,23,NA,0,15,1,5
"476",22,23,5,0,15,1,5
"477",1,24,3,0,6,1,4
"478",2,24,4,0,6,1,2
"479",3,24,NA,1,6,1,3
"480",4,24,5,1,6,1,4
"481",5,24,4,1,6,1,3
"482",6,24,NA,1,6,1,4
"483",7,24,4,0,6,1,3
"484",8,24,4,1,6,1,3
"485",9,24,NA,0,6,1,3
"486",10,24,4,1,6,1,3
"487",11,24,4,0,6,1,2
"488",12,24,4,0,6,1,4
"489",13,24,3,0,6,1,4
"490",14,24,4,0,6,1,2
"491",15,24,3,0,6,1,4
"492",16,24,6,1,6,1,4
"493",17,24,4,1,6,1,2
"494",18,24,6,1,6,1,4
"495",19,24,3,0,6,1,3
"496",1,25,6,0,19,1,5
"497",2,25,7,1,19,1,5
"498",3,25,7,1,19,1,5
"499",4,25,NA,1,19,1,5
"500",5,25,NA,1,19,1,5
"501",6,25,6,0,19,1,5
"502",7,25,NA,0,19,1,5
"503",8,25,7,1,19,1,6
"504",9,25,7,1,19,1,6
"505",10,25,6,0,19,1,5
"506",11,25,7,1,19,1,6
"507",12,25,6,0,19,1,5
"508",13,25,NA,1,19,1,5
"509",14,25,6,1,19,1,5
"510",15,25,NA,1,19,1,5
"511",16,25,NA,0,19,1,5
"512",17,25,5,0,19,1,5
"513",18,25,7,0,19,1,5
"514",19,25,6,0,19,1,5
"515",20,25,6,0,19,1,5
"516",1,26,4,1,10,1,3
"517",2,26,4,1,10,1,4
"518",3,26,NA,0,10,1,4
"519",4,26,NA,1,10,1,3
"520",5,26,4,0,10,1,3
"521",6,26,5,1,10,1,4
"522",7,26,NA,1,10,1,4
"523",8,26,4,0,10,1,3
"524",9,26,NA,0,10,1,4
"525",10,26,NA,0,10,1,4
"526",11,26,5,1,10,1,3
"527",12,26,4,0,10,1,3
"528",13,26,NA,1,10,1,4
"529",14,26,4,0,10,1,3
"530",15,26,4,0,10,1,4
"531",16,26,4,1,10,1,3
"532",17,26,5,1,10,1,4
"533",18,26,NA,1,10,1,4
"534",19,26,4,0,10,1,4
"535",20,26,3,0,10,1,3
"536",21,26,5,1,10,1,4
"537",1,27,5,0,10,1,4
"538",2,27,5,0,10,1,5
"539",3,27,6,0,10,1,4
"540",4,27,5,0,10,1,4
"541",5,27,5,0,10,1,4
"542",6,27,NA,0,10,1,5
"543",7,27,6,0,10,1,6
"544",8,27,NA,0,10,1,4
"545",9,27,6,1,10,1,5
"546",10,27,NA,0,10,1,6
"547",11,27,NA,1,10,1,4
"548",12,27,6,1,10,1,4
"549",13,27,NA,0,10,1,4
"550",14,27,NA,1,10,1,4
"551",15,27,NA,1,10,1,6
"552",16,27,6,1,10,1,4
"553",17,27,5,0,10,1,4
"554",18,27,6,0,10,1,6
"555",19,27,NA,0,10,1,5
"556",20,27,5,0,10,1,4
"557",1,28,NA,0,13,1,5
"558",2,28,5,1,13,1,5
"559",3,28,NA,0,13,1,4
"560",4,28,3,0,13,1,4
"561",5,28,5,1,13,1,4
"562",6,28,6,1,13,1,4
"563",7,28,4,0,13,1,5
"564",8,28,5,1,13,1,4
"565",9,28,NA,1,13,1,4
"566",10,28,5,1,13,1,4
"567",11,28,NA,0,13,1,5
"568",12,28,NA,0,13,1,4
"569",13,28,NA,1,13,1,4
"570",14,28,NA,0,13,1,4
"571",15,28,5,1,13,1,4
"572",16,28,4,0,13,1,4
"573",17,28,NA,1,13,1,5
"574",18,28,4,0,13,1,4
"575",19,28,5,1,13,1,4
"576",20,28,5,1,13,1,5
"577",1,29,5,1,22,1,5
"578",2,29,NA,0,22,1,4
"579",3,29,NA,0,22,1,4
"580",4,29,NA,0,22,1,4
"581",5,29,6,1,22,1,5
"582",6,29,6,1,22,1,4
"583",7,29,NA,0,22,1,4
"584",8,29,6,1,22,1,4
"585",9,29,5,1,22,1,4
"586",10,29,5,1,22,1,5
"587",12,29,NA,0,22,1,4
"588",13,29,4,0,22,1,4
"589",14,29,5,1,22,1,5
"590",15,29,NA,1,22,1,5
"591",16,29,5,1,22,1,4
"592",17,29,NA,1,22,1,4
"593",18,29,4,0,22,1,4
"594",1,30,NA,0,6,1,4
"595",2,30,NA,0,6,1,4
"596",3,30,5,1,6,1,4
"597",4,30,5,0,6,1,4
"598",5,30,6,1,6,1,5
"599",6,30,NA,0,6,1,4
"600",7,30,4,0,6,1,5
"601",8,30,NA,1,6,1,4
"602",9,30,4,0,6,1,4
"603",10,30,7,1,6,1,4
"604",11,30,NA,0,6,1,5
"605",12,30,NA,1,6,1,4
"606",13,30,6,1,6,1,4
"607",14,30,NA,0,6,1,5
"608",15,30,NA,1,6,1,4
"609",16,30,6,1,6,1,4
"610",17,30,6,1,6,1,4
"611",1,31,NA,0,6,1,4
"612",2,31,NA,1,6,1,5
"613",4,31,5,1,6,1,4
"614",5,31,NA,1,6,1,4
"615",6,31,NA,0,6,1,4
"616",7,31,6,1,6,1,4
"617",8,31,5,1,6,1,5
"618",9,31,5,1,6,1,4
"619",10,31,NA,0,6,1,4
"620",11,31,NA,0,6,1,4
"621",12,31,NA,0,6,1,5
"622",13,31,NA,0,6,1,4
"623",14,31,4,0,6,1,4
"624",15,31,NA,0,6,1,5
"625",16,31,5,0,6,1,4
"626",17,31,NA,1,6,1,5
"627",18,31,NA,0,6,1,5
"628",19,31,NA,0,6,1,4
"629",20,31,NA,1,6,1,4
"630",1,32,6,1,12,1,5
"631",2,32,NA,0,12,1,4
"632",3,32,6,1,12,1,5
"633",4,32,6,1,12,1,4
"634",5,32,4,0,12,1,4
"635",6,32,NA,0,12,1,4
"636",7,32,4,0,12,1,4
"637",8,32,NA,1,12,1,6
"638",9,32,NA,0,12,1,4
"639",10,32,7,1,12,1,6
"640",11,32,7,1,12,1,5
"641",12,32,4,0,12,1,4
"642",13,32,7,1,12,1,6
"643",14,32,4,0,12,1,5
"644",15,32,6,1,12,1,4
"645",16,32,5,0,12,1,4
"646",17,32,NA,0,12,1,4
"647",18,32,4,0,12,1,4
"648",19,32,NA,0,12,1,4
"649",20,32,NA,1,12,1,5
"650",21,32,NA,0,12,1,5
"651",22,32,6,1,12,1,4
"652",23,32,7,1,12,1,6
"653",1,33,4,0,3,1,4
"654",2,33,6,1,3,1,4
"655",3,33,NA,0,3,1,4
"656",4,33,NA,1,3,1,5
"657",5,33,NA,0,3,1,4
"658",6,33,NA,0,3,1,4
"659",7,33,6,1,3,1,4
"660",8,33,NA,1,3,1,5
"661",9,33,4,0,3,1,4
"662",10,33,NA,1,3,1,5
"663",11,33,5,1,3,1,4
"664",12,33,4,1,3,1,4
"665",13,33,5,1,3,1,5
"666",14,33,NA,0,3,1,4
"667",15,33,5,1,3,1,4
"668",16,33,NA,0,3,1,5
"669",17,33,NA,1,3,1,4
"670",18,33,NA,1,3,1,5
"671",19,33,NA,1,3,1,4
"672",1,34,5,0,8,1,5
"673",2,34,NA,0,8,1,5
"674",3,34,6,1,8,1,6
"675",4,34,NA,0,8,1,5
"676",5,34,5,0,8,1,5
"677",6,34,4,0,8,1,5
"678",7,34,5,0,8,1,5
"679",8,34,5,0,8,1,5
"680",9,34,6,1,8,1,6
"681",10,34,NA,0,8,1,4
"682",11,34,5,0,8,1,5
"683",12,34,6,1,8,1,5
"684",13,34,NA,0,8,1,5
"685",14,34,NA,0,8,1,5
"686",15,34,6,1,8,1,6
"687",16,34,5,0,8,1,5
"688",17,34,NA,0,8,1,4
"689",18,34,6,1,8,1,5
"690",19,34,5,0,8,1,5
"691",20,34,6,0,8,1,5
"692",21,34,6,1,8,1,5
"693",22,34,NA,1,8,1,5
"694",1,35,7,0,25,1,5
"695",2,35,6,1,25,1,5
"696",3,35,7,1,25,1,5
"697",4,35,6,1,25,1,6
"698",5,35,7,1,25,1,5
"699",6,35,6,1,25,1,5
"700",7,35,7,0,25,1,5
"701",8,35,7,1,25,1,5
"702",9,35,7,0,25,1,5
"703",10,35,8,1,25,1,7
"704",11,35,NA,0,25,1,5
"705",12,35,NA,0,25,1,5
"706",13,35,7,1,25,1,5
"707",14,35,7,0,25,1,5
"708",15,35,7,1,25,1,5
"709",16,35,6,1,25,1,6
"710",17,35,NA,1,25,1,6
"711",18,35,NA,0,25,1,5
"712",19,35,NA,0,25,1,6
"713",20,35,6,1,25,1,5
"714",1,36,6,1,15,1,4
"715",2,36,4,0,15,1,4
"716",3,36,NA,0,15,1,4
"717",4,36,NA,0,15,1,4
"718",5,36,NA,0,15,1,4
"719",6,36,6,1,15,1,5
"720",7,36,6,1,15,1,5
"721",8,36,6,1,15,1,4
"722",9,36,NA,0,15,1,5
"723",10,36,NA,1,15,1,5
"724",11,36,NA,0,15,1,5
"725",12,36,4,0,15,1,4
"726",13,36,6,1,15,1,4
"727",14,36,5,1,15,1,4
"728",15,36,NA,0,15,1,4
"729",16,36,6,1,15,1,4
"730",17,36,NA,0,15,1,5
"731",18,36,5,0,15,1,5
"732",19,36,NA,0,15,1,4
"733",1,37,7,0,20,1,5
"734",2,37,6,1,20,1,6
"735",3,37,6,1,20,1,5
"736",4,37,8,1,20,1,5
"737",5,37,NA,0,20,1,5
"738",6,37,6,0,20,1,5
"739",7,37,7,0,20,1,5
"740",8,37,NA,1,20,1,6
"741",9,37,6,0,20,1,5
"742",10,37,5,0,20,1,5
"743",11,37,6,1,20,1,5
"744",12,37,6,0,20,1,5
"745",13,37,6,0,20,1,5
"746",14,37,5,0,20,1,5
"747",15,37,NA,0,20,1,5
"748",16,37,NA,0,20,1,5
"749",17,37,NA,0,20,1,5
"750",18,37,6,1,20,1,5
"751",19,37,7,1,20,1,5
"752",1,38,NA,0,18,1,5
"753",2,38,5,0,18,1,4
"754",3,38,6,0,18,1,5
"755",4,38,5,1,18,1,4
"756",5,38,5,1,18,1,5
"757",6,38,4,1,18,1,5
"758",7,38,NA,1,18,1,4
"759",8,38,6,0,18,1,6
"760",9,38,NA,1,18,1,4
"761",10,38,6,0,18,1,4
"762",11,38,6,0,18,1,4
"763",12,38,5,0,18,1,4
"764",13,38,NA,0,18,1,4
"765",14,38,5,0,18,1,4
"766",15,38,NA,1,18,1,6
"767",16,38,5,1,18,1,5
"768",17,38,NA,0,18,1,4
"769",1,39,6,1,19,1,5
"770",2,39,5,1,19,1,5
"771",3,39,4,0,19,1,5
"772",4,39,5,0,19,1,4
"773",5,39,6,1,19,1,5
"774",6,39,6,1,19,1,6
"775",7,39,NA,1,19,1,5
"776",8,39,7,1,19,1,6
"777",9,39,6,1,19,1,6
"778",10,39,5,1,19,1,5
"779",11,39,5,0,19,1,4
"780",12,39,NA,0,19,1,5
"781",13,39,5,0,19,1,5
"782",14,39,NA,1,19,1,6
"783",15,39,4,0,19,1,5
"784",16,39,6,1,19,1,6
"785",1,40,6,1,2,1,5
"786",2,40,NA,0,2,1,4
"787",3,40,6,1,2,1,5
"788",4,40,6,1,2,1,6
"789",5,40,5,1,2,1,4
"790",6,40,NA,0,2,1,5
"791",7,40,6,0,2,1,5
"792",8,40,6,0,2,1,5
"793",9,40,NA,1,2,1,4
"794",10,40,NA,0,2,1,4
"795",11,40,5,0,2,1,4
"796",12,40,NA,0,2,1,6
"797",13,40,5,1,2,1,4
"798",14,40,4,1,2,1,4
"799",15,40,NA,1,2,1,4
"800",16,40,5,0,2,1,4
"801",17,40,NA,0,2,1,5
